 3207 ; Бона иностранная ;  ;  ;  ;  ; 50 ; Him ; 348 
 2356 ; 1 чиао. Маньчжурия ; 20 век ;  ; Cu-Ni ; VF+ ; 55 ; Лифтер ; 138 
 2357 ; 2 пиастра. Египет ; 1980 ;  ; Al/Br ; XF ; 24 ; АТ ; 46 
 2358 ; Фартинг. Великобритания ; 1831 ;  ; Cu ; F+ ; 31 ; Arhara ; 200 
 2359 ; 8 долларов. Галапогосские острова ; 2008 ;  ; Ag ; AU ; 51 ; Tche ; 983 
 2360 ; 1 доллар. Сомали. Пума ; 2008 ;  ; Cu-Ni,эмал ; AU ; 44 ; rbcrf ; 267 
 2361 ; 1 доллар. Сомали. Белый медведь ; 2008 ;  ; Cu-Ni,эмал ; AU ; 29 ; rbcrf ; 387 
 2362 ; 1 доллар. Сомали. Бурый медведь ; 2008 ;  ; Cu-Ni,эмал ; AU ; 20 ; rbcrf ; 267 
 2363 ; 1 доллар. Сомали. Волк ; 2008 ;  ; Cu-Ni,эмал ; AU ; 11 ; rbcrf ; 267 
 2364 ; 1 доллар. Сомали. Зубр ; 2008 ;  ; Cu-Ni,эмал ; AU ; 7 ; SUNNY67 ; 255 
 2365 ; 1 доллар. Сомали. Олень ; 2008 ;  ; Cu-Ni,эмал ; AU ; 7 ; SUNNY67 ; 255 
 2366 ; 1 доллар. США. Эйзенхауэр. 200 лет ; 1976S ;  ; Ag ; AU ; 115 ; mirmirmir ; 514 
 2367 ; 1/2 доллара. США. Кеннеди. 200 лет ; 1976S ;  ; Ag ; Unc/AU ; 35 ; udaw ; 326 
 2368 ; 1/4 доллара. США. Вашингтон. 200 лет ; 1976S ;  ; Ag ; Unc/AU ; 82 ; af ; 403 
 2369 ; 5 крон. Исландия ; 1970 ;  ; Cu-Ni ; XF+ ; 52 ; митька ; 73 
 2370 ; 10 риалов. Иран ; 1977 ;  ; Cu-Ni ; VF+ ; 15 ; SadKo ; 43 
 2371 ; 10 миллимов. Египет ; 1960 ;  ; Al-Br ; F-VF ; 17 ; surf2k5 ; 18 
 2372 ; 5 пиастров. Египет ; 1984 ;  ; Al-Br ; VF ; 11 ; surf2k5 ; 26 
 2373 ; 10 пиастров. Египет ; 1972 ;  ; Cu-Ni ; F-VF ; 21 ; rasti ; 67 
 2374 ; 20 пиастров. Египет ; 1992 ;  ; Cu-Ni ; VF-XF ; 47 ; rasti ; 67 
 2375 ; 10 пенсов. Великобритания ; 1992 ;  ; Cu-Ni ; VF-XF ; 33 ; capitan.71 ; 42 
 2376 ; 5 раппен. Швейцария ; 1969 ;  ; Cu-Ni ; XF+ ; 18 ; xct ; 26 
 2377 ; 10 крон. Исландия ; 1984 ;  ; Cu-Ni ; VF-XF ; 21 ; vc57 ; 29 
 2378 ; 10 центов. Сингапур ; 1979 ;  ; Cu-Ni ; AU ; 57 ; Лифтер ; 112 
 2379 ; 1 крона. Эстония ; 2000 ;  ; Латунь ; AU ; 20 ; Smergol ; 62 
 2380 ; 5 сентаво. Куба ; 1946 ;  ; Cu-Ni ; F-VF ; 3 ; SANTA ; 14 
 2381 ; 100 лей. Румыния ; 1944 ;  ; Ni-St ; VF+ ; 13 ; Lena6975 ; 27 
 2382 ; 2 лей. Румыния ; 1924 ;  ; Cu-Ni ; F-VF ; 5 ; АТ ; 28 
 2383 ; 10 пенни. Ирландия ; 1978 ;  ; Cu-Ni ; VF ; 25 ; Smergol ; 76 
 2384 ; 2 злотых. Польша ; 1932 ;  ; Ag ; VF ; 50 ; Хирург ; 152 
 2385 ; 25 центов. Цейлон ; 1971 ;  ; Cu-Ni ; VF+ ; 15 ; Лифтер ; 19 
 2386 ; 5 пиастров. Египет ; 2005 ;  ; Латунь ; AU ; 5 ; dimentor ; 23 
 2387 ; 1 евро. Германия ; 2002G ;  ; Би/м ; AU ; 6 ; spsmaalex ; 79 
 2388 ; 1 евро. Финляндия ; 1999 ;  ; Би/м ; VF ; 4 ; alex995 ; 51 
 2389 ; 1 евро. Испания ; 2003 ;  ; Би/м ; XF+ ; 19 ; nikoniko ; 81 
 2390 ; 20 евроцентов. Финляндия ; 2001 ;  ; Латунь ; AU ; 7 ; rasti ; 11 
 2391 ; 20 евроцентов. Нидерланды ; 2002 ;  ; Латунь ; AU ; 10 ; Saneck ; 57 
 2392 ; 10 евроцентов. Австрия ; 2002 ;  ; Латунь ; AU ; 17 ; Vico ; 31 
 2393 ; 10 евроцентов. Бельгия ; 1999 ;  ; Латунь ; XF+ ; 6 ; alex995 ; 19 
 2394 ; 10 евроцентов. Австрия ; 2002 ;  ; Латунь ; AU ; 6 ; Vico ; 22 
 2395 ; 10 евроцентов. Греция ; 2002 ;  ; Латунь ; AU ; 31 ; serggei ; 42 
 2396 ; 5 евроцентов. Греция ; 2002 ;  ; Cu/St ; XF+ ; 35 ; serggei ; 51 
 2397 ; 1 евроцент. Ирландия ; 2006 ;  ; Cu/St ; AU ; 27 ; serggei ; 204 
 2398 ; 1 евроцент. Португалия ; 2002 ;  ; Cu/St ; AU ; 13 ; Saneck ; 35 
 2399 ; 5 эре. Швеция ; 1947 ;  ; Fe ; VF-XF ; 38 ; capitan.71 ; 39 
 2300 ; 200 эскудо. Португалия. Португальское президентство ; 1992 ;  ; Cu-Ni ; AU ; 60 ; SUNNY67 ; 155 
 2301 ; 200 эскудо. Португалия. Хуан Родригес Кабрильо ; 1992 ;  ; Cu-Ni ; AU ; 52 ; shais1 ; 200 
 2302 ; 200 эскудо. Португалия. Новый мир - Америка ; 1992 ;  ; Cu-Ni ; AU ; 46 ; shais1 ; 200 
 2303 ; 1 песо. Куба. Гриф ; 2007 ;  ; Cu-Ni ; AU ; 19 ; SUNNY67 ; 203 
 2304 ; 1 песо. Куба. Осел ; 2007 ;  ; Cu-Ni ; AU ; 53 ; SUNNY67 ; 203 
 2305 ; 1 песо. Куба. Испанский мастиф ; 2007 ;  ; Cu-Ni ; AU ; 24 ; SUNNY67 ; 203 
 2306 ; 1 песо. Куба. Кот ; 2007 ;  ; Cu-Ni ; AU ; 46 ; rbcrf ; 275 
 2307 ; 1 песо. Куба. Тетерев ; 2007 ;  ; Cu-Ni ; AU ; 15 ; SUNNY67 ; 203 
 2308 ; 1 песо. Куба. Козы ; 2007 ;  ; Cu-Ni ; AU ; 16 ; SUNNY67 ; 203 
 2309 ; 50 тенге. Казахстан. Звезда Ордена ; 2006 ;  ; Cu-Ni ; AU ; 39 ; rbcrf ; 124 
 2310 ; 50 тенге. Казахстан. Знак Ордена ; 2006 ;  ; Cu-Ni ; AU ; 37 ; Qersej ; 77 
 2311 ; 50 тенге. Казахстан. Ахмет Жубанов ; 2006 ;  ; Cu-Ni ; AU ; 21 ; 7GT ; 77 
 2312 ; 50 тенге. Казахстан. Догони девушку ; 2008 ;  ; Cu-Ni ; AU ; 45 ; rbcrf ; 260 
 2313 ; 50 тенге. Казахстан. Звезда Ордена ; 2008 ;  ; Cu-Ni ; AU ; 20 ; dimentor ; 51 
 2314 ; 50 тенге. Казахстан. Тусау кесу ; 2007 ;  ; Cu-Ni ; AU ; 25 ; rbcrf ; 140 
 2315 ; 5 юаней. Китай. Осетр ; 1999 ;  ; Br ; AU ; 24 ; Лифтер ; 475 
 2316 ; 5 юаней. Китай. Фазан ; 1998 ;  ; Br ; AU ; 16 ; Лифтер ; 475 
 2317 ; 5 юаней. Китай. Ибис ; 1997 ;  ; Br ; AU ; 16 ; Лифтер ; 475 
 2318 ; 5 юаней. Китай. Тигр ; 1996 ;  ; Br ; AU ; 19 ; Лифтер ; 475 
 2319 ; 5 юаней. Китай. Бабочка ; 1999 ;  ; Br ; AU ; 12 ; Лифтер ; 500 
 2320 ; 5 юаней. Китай. Журавль ; 1997 ;  ; Br ; AU ; 18 ; Лифтер ; 475 
 2321 ; 5 юаней. Китай. Крокодил ; 1998 ;  ; Br ; AU ; 18 ; Лифтер ; 461 
 2322 ; 5 юаней. Китай. Дельфин ; 1996 ;  ; Br ; AU ; 29 ; Лифтер ; 475 
 2323 ; 1000 боливаров. Венесуэла ; 2005 ;  ; Би/м ; AU ; 15 ; DmitriyNK ; 76 
 2324 ; 20 риалов. Йемен ; 21 век ;  ; Би/м ; AU ; 12 ; оскол ; 104 
 2325 ; 5 долларов. Галапагосские острова. Черепаха ; 2008 ;  ; Би/м ; AU ; 77 ; rbcrf ; 318 
 2326 ; 2 доллара. Галапагосские острова ; 2008 ;  ; Би/м ; AU ; 37 ; rbcrf ; 318 
 2327 ; 1 доллар. Галапагосские острова ; 2008 ;  ; Латунь ; AU ; 76 ; ppp ; 117 
 2328 ; 50 сентаво. Галапагосские острова ; 2008 ;  ; St ; AU ; 54 ; SUNNY67 ; 82 
 2329 ; 25 сентаво. Галапагосские острова ; 2008 ;  ; St ; AU ; 40 ; vasja ; 150 
 2330 ; 10 сентаво. Галапагосские острова ; 2008 ;  ; St ; AU ; 54 ; smel ; 114 
 2331 ; 5 сентаво. Галапагосские острова ; 2008 ;  ; St ; AU ; 21 ; Gorn93 ; 72 
 2332 ; 1 сентаво. Галапагосские острова ; 2008 ;  ; Cu/St ; AU ; 33 ; KiraCoins ; 53 
 2333 ; 1 квача. Малави ; 2003 ;  ; Латунь/St ; AU ; 20 ; Dom Perignon ; 34 
 2334 ; 1 лилангени. Свазиленд ; 2003 ;  ; Латунь ; AU ; 55 ; tigris ; 57 
 2335 ; 10 донг. Вьетнам ; 1974 ;  ; Латунь/St ; AU ; 43 ; Лифтер ; 91 
 2336 ; 20 сентаво. Колумбия ; 1968 ;  ; Ni/St ; XF+ ; 5 ; SANTA ; 19 
 2337 ; 2 злотых. Польша ; 1932 ;  ; Ag ; VF+ ; 73 ; Хирург ; 173 
 2338 ; 10 новых пенсов. Джерси ; 1968 ;  ; Cu-Ni ; VF+ ; 24 ; nikolay ; 41 
 2339 ; 2 злотых. Польша ; 1933 ;  ; Ag ; VF ; 49 ; Хирург ; 162 
 2340 ; Монета. Непал ; 20 век ;  ; Cu-Ni ; AU ; 10 ; Лифтер ; 59 
 2341 ; 20 сантимов. Латвия ; 1922 ;  ; Ni ; F+ ; 3 ; alex995 ; 12 
 2342 ; 10 сен. Малазия ; 1977 ;  ; Cu-Ni ; AU ; 22 ; keldish ; 41 
 2343 ; 5 миллимов. Египет ; 1917 ;  ; Cu-Ni ; VF- ; 16 ; Doro ; 75 
 2344 ; 10 лепт. Греция ; 1912 ;  ; Cu-Ni ; VF ; 62 ; Doro ; 107 
 2345 ; 10 сантимов. Бельгийское Конго ; 1911 ;  ; Cu-Ni ; VF+ ; 27 ; егор ; 159 
 2346 ; 2 франка. Франция ; 1924 ;  ; Al/Br ; VF+ ; 39 ; Komod ; 51 
 2347 ; 5 франков. Бельгия ; 1988 ;  ; Латунь ; VF-XF ; 3 ; Sundi ; 4 
 2348 ; 100 эскудо. Чили ; 1974 ;  ; Ni/Латунь ; VF ; 28 ; vc57 ; 39 
 2349 ; 1/2 пенни. Фиджи ; 1952 ;  ; Cu-Ni ; AU ; 25 ; Dim888 ; 136 
 2250 ; 2 франка. Франция ; 1979 ;  ; Cu-Ni ; VF-XF ; 14 ; АТ ; 26 
 2251 ; 1 франк. Франция ; 1916 ;  ; Cu-Ni ; XF- ; 32 ; vc57 ; 89 
 2252 ; 1 франк. Франция ; 1939 ;  ; Al-Br ; XF+ ; 25 ; Komod ; 53 
 2253 ; 1 франк. Франция ; 1960 ;  ; Cu-Ni ; VF-XF ; 3 ; negoro2008 ; 13 
 2254 ; 1 франк. Франция ; 1966 ;  ; Cu-Ni ; VF- ; 12 ; rasti ; 13 
 2255 ; 1 франк. Франция ; 1976 ;  ; Cu-Ni ; VF+ ; 11 ; alex995 ; 12 
 2256 ; 1/2 франка. Франция ; 1991 ;  ; Cu-Ni ; VF-XF ; 39 ; rasti ; 40 
 2257 ; 10 сантимов. Франция ; 1976 ;  ; Br ; VF+ ; 24 ; rasti ; 31 
 2258 ; 20 динар. Сербия. Милутин Миланкович ; 2009 ;  ; Cu/Ni ; AU ; 49 ; alskr ; 59 
 2259 ; 10 динар. Сербия. XXV универсиада ; 2009 ;  ; Cu/Ni ; AU ; 64 ; СанЭД ; 110 
 2260 ; 1 шиллинг. Новая Зеландия, Елизавета II ; 1969 ;  ; Cu/Ni ; VF ; 19 ; xct ; 24 
 2261 ; 3 пенса. Новая Зеландия, Елизавета II ; 1964 ;  ; Cu/Ni ; XF+ ; 21 ; rasti ; 53 
 2262 ; 5 новых пенсов. Джерси, Елизавета II ; 1968 ;  ; Cu/Ni ; XF ; 43 ; nikolay ; 77 
 2263 ; 10 центов. Свазиленд ; 1996 ;  ; Cu/Ni ; AU ; 37 ; Dom Perignon ; 55 
 2264 ; 5 центов. Нидерландские Антиллы ; 1971 ;  ; Cu/Ni ; AU ; 40 ; vc57 ; 83 
 2265 ; 3 пенса. Гернси, Елизавета II ; 1959 ;  ; Cu/Ni ; XF+ ; 64 ; vc57 ; 150 
 2266 ; 1 пенни. Великобритания, Георг V ; 1936 ;  ; Br ; VF+ ; 36 ; rasti ; 36 
 2267 ; 1/2 пенни. Великобритания, Елизавета II ; 1967 ;  ; Br ; AU ; 39 ; udaw ; 107 
 2268 ; 2 новых пенса. Джерси, Елизавета II ; 1971 ;  ; Br ; AU ; 69 ; митька ; 157 
 2269 ; 2 пенса. Джерси, Елизавета II ; 1988 ;  ; Br ; XF- ; 52 ; vc57 ; 127 
 2270 ; 2 пенса. Джерси ; 1979 ;  ; Br ; VF-XF ; 63 ; vc57 ; 132 
 2271 ; 2 пенса. Гернси, Елизавета II ; 1986 ;  ; Br ; AU ; 43 ; vc57 ; 79 
 2272 ; 5 милс. Кипр, Елизавета II ; 1956 ;  ; Br ; VF+ ; 42 ; егор ; 175 
 2273 ; 1 пенни. Гернси ; 1971 ;  ; Br ; VF+ ; 37 ; kamensk61 ; 59 
 2274 ; 1/2 пенни. Гернси ; 1971 ;  ; Br ; AU ; 19 ; Dim888 ; 99 
 2275 ; 1 пенни. Гибралтар, Елизавета II ; 1993 ;  ; Br ; AU ; 15 ; Dom Perignon ; 42 
 2276 ; 1 пенни. Гана ; 1958 ;  ; Br ; VF+ ; 29 ; Dom Perignon ; 44 
 2277 ; 1 цент. Южная Африка ; 1969 ;  ; Br ; AU ; 40 ; nikolay ; 46 
 2278 ; 2 цента. Свазиленд ; 1975 ;  ; Br ; AU ; 48 ; АТ ; 57 
 2279 ; 20 сантимов. Ватикан ; 1942 ;  ; Ni/St ; AU ; 79 ; SS20 ; 301 
 2280 ; 2 тамбала. Малави ; 1991 ;  ; Cu/Fe ; AU ; 15 ; vc57 ; 26 
 2281 ; 5 центов. Западные Каррибские Штаты, Елизавета II ; 1986 ;  ; Al ; VF+ ; 19 ; rasti ; 63 
 2282 ; 1 сантим. Андорра ; 2002 ;  ; Al ; AU ; 45 ; Скрудж ; 51 
 2283 ; 2 гривны. Украина. Юрий Кондратюк (1897-1942) ; 1997 ;  ; Cu/Ni ; Unc/AU ; 32 ; MAKESI ; 1377 
 2284 ; 1 рубель. Белорусь. Давыд Гарадзенски (1314-1326) ; 2008 ;  ; Cu/Ni ; Proof ; 28 ; vc57 ; 231 
 2285 ; 20 монго. Монголия ; 1925 ;  ; Ag ; VF ; 125 ; ВМШ ; 395 
 2286 ; 1 кина. Папуа Новой Гвинеи ; 1975 ;  ; Cu/Ni ; VF ; 33 ; крк18 ; 69 
 2287 ; Флорин-2шиллинга. Ирландия ; 1966 ;  ; Cu/Ni ; VF+ ; 34 ; vc57 ; 139 
 2288 ; Шиллинг. Танзания ; 1987 ;  ; Cu/Ni ; VF+ ; 31 ; vc57 ; 49 
 2289 ; 50 сен. Бруней ; 1979 ;  ; Cu/Ni ; XF+ ; 40 ; Lena6975 ; 65 
 2290 ; 1 крона. Гибралтар, Елизавета II ; 1969 ;  ; Cu/Ni ; AU ; 72 ; udaw ; 238 
 2291 ; 2 лева. Болгария ; 1882 ;  ; Ag ; VF- ; 35 ; митька ; 400 
 2292 ; 1 лев. Болгария ; 1913 ;  ; Ag ; XF ; 39 ; митька ; 327 
 2293 ; 1 лев. Болгария ; 1913 ;  ; Ag ; VF ; 20 ; env ; 257 
 2294 ; 5 лева. Болгария. Международная детская ассамблея ; 1985 ;  ; Cu-Ni ; AU ; 31 ; kai2009 ; 263 
 2295 ; 1 лев. Болгария. Первенство по футболу ; 1980 ;  ; Cu-Ni ; AU ; 65 ; СанЭД ; 202 
 2296 ; 1 лев. Болгария. XV Зимние олимпийские игры ; 1987 ;  ; Cu-Ni ; Proof-Like ; 33 ; kai2009 ; 195 
 2297 ; 1 доллар. Ямайка ; 1999 ;  ; Cu-Ni ; XF ; 48 ; rasti ; 57 
 2298 ; 1 пенни. Великобритания ; 1918 ;  ; Br ; VF- ; 4 ; 4А ; 20 
 2299 ; 200 эскудо. Португалия. XXV Олимпиада ; 1992 ;  ; Cu-Ni ; AU ; 77 ; env ; 203 
 2200 ; 2 франка. Швейцария ; 1921B ;  ; Ag ; VF+ ; 50 ; Graphic ; 238 
 2201 ; 1 франк. Швейцария ; 1920B ;  ; Ag ; VF+ ; 18 ; vc57 ; 149 
 2202 ; 1/2 франка. Швейцария ; 1976B ;  ; Ni ; AU ; 13 ; rasti ; 55 
 2203 ; Крона. Великобритания ; 1889 ;  ; Ag ; VF+ ; 71 ; Rober ; 1171 
 2204 ; Двойной флорин. Великобритания ; 1887 ;  ; Ag ; VF ; 67 ; tigris ; 1185 
 2205 ; Флорин. Великобритания ; 1887 ;  ; Ag ; VF-XF ; 75 ; q1ai ; 918 
 2206 ; 1/2 кроны. Великобритания ; 1885 ;  ; Ag ; VF+ ; 69 ; dasha ; 1148 
 2207 ; 100 шиллингов. Австрия. 20 лет договору ; 1975 ;  ; Ag ; AU ; 7 ; дед морос ; 328 
 2208 ; 50 шиллингов. Австрия. 300 лет Инсбрукскому университету ; 1970 ;  ; Ag ; AU ; 29 ; SS20 ; 403 
 2209 ; 25 шиллингов. Австрия. 200 лет со дня рождения Моцарта ; 1956 ;  ; Ag ; VF-XF/XF+ ; 8 ; Rober ; 229 
 2210 ; 50 центов. Канада ; 1965 ;  ; Ag ; AU ; 27 ; Sky2 ; 383 
 2211 ; 6 пенсов. Великобритания ; 1918 ;  ; Ag ; VF+ ; 40 ; митька ; 100 
 2212 ; 1 шиллинг. Великобритания ; 1948 ;  ; Cu-Ni ; VF-XF ; 23 ; juchok_93rus ; 51 
 2213 ; 10 динаров. Сербия ; 1943 ;  ; Zn ; VF ; 21 ; tigris ; 44 
 2214 ; 2 гроша. Польша ; 1936 ;  ; Br ; VF ; 22 ; АТ ; 62 
 2215 ; 2 гроша. Польша ; 1937 ;  ; Br ; VF-XF ; 18 ; Komod ; 72 
 2216 ; 5 филлеров. Венгрия ; 1957 ;  ; Al ; AU ; 57 ; 542 ; 107 
 2217 ; 25 центов. Канада. Ванкувер ; 2008 ;  ; St/Ni ; AU ; 26 ; Dom Perignon ; 26 
 2218 ; 1 доллар. США. Морган ; 1921 ;  ; Ag ; Unc/AU ; 47 ; зело ; 1110 
 2219 ; 1 крона. Австрия ; 1893 ;  ; Ag ; XF ; 52 ; 525 ; 251 
 2220 ; 1 франк. Бельгия ; 1912 ;  ; Ag ; XF ; 59 ; sina ; 270 
 2221 ; 1 доллар (1 унция серебра). США ; 2006 ;  ; Ag ; Unc/AU ; 36 ; Синоптик ; 1000 
 2222 ; 50 евроцентов. Бельгия ; 2008 ;  ; Латунь ; AU ; 7 ; ten137 ; 44 
 2223 ; 10 сантимов. Бельгия ; 1905 ;  ; Cu-Ni ; VF+ ; 36 ; rasti ; 41 
 2224 ; 25 бани. Молдова ; 2004 ;  ; Al ; VF-XF ; 7 ; dimentor ; 7 
 2225 ; 5 пиастров. Объединенная Арабская Республика ; 1960 ;  ; Al/Br ; VF- ; 11 ; NFV ; 16 
 2226 ; 10 пиастров. Объединенная Арабская Республика ; 1960 ;  ; Al/Br ; VF+ ; 11 ; NFV ; 23 
 2227 ; 5 миллим. Объединенная Арабская Республика ; 1967 ;  ; Al ; F-VF ; 7 ; Smergol ; 19 
 2228 ; 10 копеек. Украина ; 2008 ;  ; Al/Br ; XF+ ; 5 ; dimentor ; 5 
 2229 ; 10 копеек. Украина ; 2002 ;  ; Al/Br ; XF+ ; 2 ; dimentor ; 3 
 2230 ; 10 копеек. Украина ; 2007 ;  ; Al/Br ; AU ; 3 ; NFV ; 4 
 2231 ; 5 копеек. Украина ; 1992 ;  ; St ; XF+ ; 2 ; dimentor ; 3 
 2232 ; 1 гривна. Украина ; 2004 ;  ; Al/Br ; AU ; 15 ; Smergol ; 72 
 2233 ; 1 гривна. Украина ; 2006 ;  ; Al/Br ; AU ; 10 ; Lena6975 ; 28 
 2234 ; 10 пфеннигов. ФРГ ; 1950F ;  ; Al/Br ; VF+ ; 12 ; surf2k5 ; 13 
 2235 ; 10 пфеннигов. ФРГ ; 1950F ;  ; Al/Br ; VF- ; 5 ; alskr ; 7 
 2236 ; 10 центов. Лаос ; 1952 ;  ; Al ; AU ; 5 ; Лифтер ; 150 
 2237 ; 20 центов. Лаос ; 1952 ;  ; Al ; AU ; 45 ; оскол ; 215 
 2238 ; 5 пиас. Мьянма ; 1966 ;  ; Al ; VF ; 18 ; alskr ; 31 
 2239 ; 25 пиас. Мьянма ; 1966 ;  ; Al ; VF+ ; 39 ; alskr ; 36 
 2240 ; 1 киат. Мьянма ; 1975 ;  ; Cu-Ni ; XF+ ; 20 ; alskr ; 31 
 2241 ; 1 дирхам. ОАЭ. 25 лет международному женскому союзу ; 2000 ;  ; Cu-Ni ; XF+ ; 15 ; benzin ; 79 
 2242 ; 10 сентаво. Бразилия ; 1996 ;  ; St ; AU ; 6 ; rasti ; 14 
 2243 ; 5 крузеэйро. Бразилия ; 1984 ;  ; St ; AU ; 8 ; rasti ; 20 
 2244 ; 50 сентесимо. Уругвай ; 1994 ;  ; St ; AU ; 6 ; Sterh ; 14 
 2245 ; 10 крузеэйро. Бразилия ; 1990 ;  ; St ; AU ; 8 ; rasti ; 16 
 2246 ; 100 крузеэйро. Бразилия ; 1992 ;  ; St ; AU ; 12 ; rasti ; 20 
 2247 ; Жетон. 25 гендае. На вход в замок Гравенштайн город Гент. 800 лет замку. Бельгия ; 1980 ;  ; Al/Br ; AU ; 25 ; Скрудж ; 34 
 2248 ; 10 франков. Франция ; 1990 ;  ; Би/м ; XF ; 29 ; DmitriyNK ; 36 
 2249 ; 5 франков. Франция ; 1972 ;  ; Cu-Ni ; XF- ; 7 ; negoro2008 ; 18 
 2150 ; 1 доллар-модель. Фолклендские ос-ва, Эдуард VIII ; 1936 ;  ; Al/Br ; AU ; 14 ; overshtag ; 3126 
 2151 ; 1 доллар-модель. Бермудские ос-ва, Эдуард VIII ; 1936 ;  ; Al/Br ; AU ; 10 ; overshtag ; 3192 
 2152 ; 1 рупия. Киат. Бирма ; 1852 ;  ; Ag ; VF+ ; 48 ; overshtag ; 1137 
 2153 ; 1 крона. Великобритания, Виктория ; 1892 ;  ; Ag ; VF-XF ; 95 ; Abbat ; 3001 
 2154 ; 1 гинея-модель. Великобритания, Георг III ; 1794 ;  ; Al/Br ; VF+ ; 25 ; overshtag ; 111 
 2155 ; 1 шиллинг. Великобритания, Георг V ; 1918 ;  ; Ag ; XF- ; 66 ; overshtag ; 392 
 2156 ; Фартинг. Великобритания, Виктория ; 1881Н ;  ; Br ; VF+ ; 35 ; Sky2 ; 208 
 2157 ; Весовая гирька-эквивалент 1 соверен. Великобритания, Виктория ; 1843 ;  ; Al/Br ; VF- ; 71 ; Sky2 ; 663 
 2158 ; 1 шиллинг. Австралия, Мельбург, Георг V ; 1916М ;  ; Ag ; VF-XF ; 12 ; overshtag ; 354 
 2159 ; 10 центов. Гон-Конг, Виктория ; 1863 ;  ; Ag ; VF-XF ; 18 ; kamensk61 ; 467 
 2160 ; 5 центов. Гон-Конг, Виктория ; 1899 ;  ; Ag ; VF-XF ; 18 ; overshtag ; 340 
 2161 ; 5 центов. Канада, Эдуард VII ; 1902 ;  ; Ag ; VF+ ; 6 ; Sc ; 347 
 2162 ; 1/2 рупии. Британские Сейшельские ос-ва, Георг VI ; 1939 ;  ; Ag ; VF- ; 10 ; overshtag ; 580 
 2163 ; 2 пиастра. Британский протекторат Египта ; 1917 ;  ; Ag ; VF- ; 44 ; overshtag ; 354 
 2164 ; 25 центов. Британский Гондурас, Георг V ; 1952 ;  ; Cu/Ni ; XF- ; 10 ; overshtag ; 259 
 2165 ; 20 центов. Стрейтс-Сетлементс(Британская Малая), Эдуард VII ; 1910 ;  ; Ag ; VF-XF ; 51 ; Sc ; 2212 
 2166 ; 1/2 цента. Стрейтс -Сетлементс (Британская Малайя), Виктория ; 1862 ;  ; Cu ; VF- ; 24 ; shest ; 1591 
 2167 ; 1/4 анны. Султанат Мускат и Оман ; 1315 л.х. ;  ; Cu ; VF- ; 32 ; оскол ; 1000 
 2168 ; 1/4 рупии. Для колоний Англии в Индийском океане (Маврикий), Георг IV ; 1822 ;  ; Ag ; VF+ ; 38 ; overshtag ; 3060 
 2169 ; 1 рупия. Индия ;  ;  ; Ag ; VF+ ; 12 ; Tilla ; 637 
 2170 ; 1 рупия. Британская Индия, Мадрас ; 1172 л.х. ;  ; Ag ; VF ; 19 ; overshtag ; 847 
 2171 ; 1 фанам. Индия, штат Траванкор. 1116 л.х. Деформация ; 1941 ;  ; Ag ; F-VF ; 10 ; mido137 ; 550 
 2172 ; 1 пенни. Токен. Великобритания, Шеффилд ; 1812 ;  ; Cu ; VF- ; 41 ; overshtag ; 513 
 2173 ; 1 пенни. Токен. Великобритания, ирландия, Кронебан ; 1789 ;  ; Cu ; VF- ; 9 ; overshtag ; 459 
 2174 ; 1/2 пенни. Великобритания, Перт ; 1797 ;  ; Cu ; VF- ; 51 ; swed ; 850 
 2175 ; 1/2 пенни. Великобритания, Брут ;  ;  ; Cu ; F-VF ; 48 ; overshtag ; 229 
 2176 ; Фартинг. Великобритания, Норвич ; 1839 ;  ; Cu ; VF- ; 35 ; overshtag ; 340 
 2177 ; Фартинг. Великобритания, Лондон. Воздухо-Плавательная ассоциация Оксфорда ; 1823 ;  ; Cu ; F+ ; 20 ; overshtag ; 818 
 2178 ; 1 франк. Франция, 3-я республика ; 1895А ;  ; Ag ; VF ; 63 ; 542 ; 248 
 2179 ; 5 пфенингов. Саксония, Иоган (1854-1873) ; 1862B ;  ; Br ; VF- ; 41 ; хяня ; 305 
 2180 ; 4 пфенинга. Пруссия, Фридрих Вильгельм IV (1840-1861) ; 1856A ;  ; Br ; VF- ; 46 ; хяня ; 322 
 2181 ; 3 пфенинга. Пруссия, Вильгельм I (1861-1888) ; 1863A ;  ; Br ; VF- ; 51 ; хяня ; 201 
 2182 ; 2 пфенинга. Пруссия, Фридрих Вильгельм IV (1840-1861) ; 1861A ;  ; Br ; VF- ; 34 ; kurrent ; 327 
 2183 ; 1 пфенинг. Пруссия, Фридрих Вильгельм III (1797-1840) ; 1839D ;  ; Br ; F-VF ; 31 ; kurrent ; 96 
 2184 ; 10 пфенингов. Германия. Нотгельд города Кверфурт ; 1918 ;  ; Fe ; VF- ; 12 ; smel ; 92 
 2185 ; 10 пфенингов. Германия. Нотгельд города Буер ; 1919 ;  ; Fe ; VF- ; 31 ; smel ; 90 
 2186 ; 5 пфенингов. Германия. Нотгельд города Цвайбрюкен ; 1919 ;  ; Fe ; VF+ ; 19 ; smel ; 93 
 2187 ; 5 пфенингов. Германия. Нотгельд города Йёштадт ; 1918 ;  ; Fe ; VF ; 18 ; smel ; 93 
 2188 ; 5 пфенингов. Германия. Нотгельд города Треухтлинген ; 1918 ;  ; Fe ; VF+ ; 26 ; Let ; 92 
