 5516 ; Открытка "Советская Антарктическая экспедиция" 70 лет М.М.Сомова 7.04.78 ;  ;  ;  ;  ; 7 ; doc2 ; 102 
 3892 ; 1 доллар. США. Джон Квинси Адамс ; 2008P ;  ; Cu-Ni-Zn ; AU ; 18 ; fuzzyfly ; 128 
 3893 ; 1 доллар. США. Эндри Джексон ; 2008D ;  ; Cu-Ni-Zn ; AU ; 18 ; Carbon ; 108 
 3894 ; 1 доллар. США. Джон Квинси Адамс ; 2008P ;  ; Cu-Ni-Zn ; AU ; 39 ; Tyz-13 ; 114 
 3895 ; 1 доллар. США. Мартин ван Бюрен ; 2008P ;  ; Cu-Ni-Zn ; AU ; 17 ; Tyz-13 ; 136 
 3896 ; 1 доллар. США. Джеймс Мэдисон ; 2007P ;  ; Cu-Ni-Zn ; AU ; 12 ; Tyz-13 ; 111 
 3897 ; 1 доллар. США. Томас Джефферсон ; 2007D ;  ; Cu-Ni-Zn ; AU ; 18 ; Tyz-13 ; 141 
 3898 ; 1 доллар. США. Джордж Вашингтон ; 2007P ;  ; Cu-Ni-Zn ; AU ; 19 ; Kamsky ; 108 
 3899 ; 2 марки. ФРГ ; 1992J ;  ; Cu-Ni ; XF ; 23 ; uhfvv7 ; 153 
 3900 ; 50 тенге. Казахстан ; 2013 ;  ; Cu-Ni ; AU ; 12 ; pelmen761 ; 101 
 3901 ; 50 тенге. Казахстан ; 2014 ;  ; Cu-Ni ; AU ; 13 ; pelmen761 ; 102 
 3902 ; 50 тенге. Казахстан ; 2012 ;  ; Cu-Ni ; AU ; 18 ; pelmen761 ; 101 
 3903 ; 50 тенге. Казахстан ; 2012 ;  ; Cu-Ni ; AU ; 15 ; pelmen761 ; 101 
 3904 ; 50 тенге. Казахстан ; 2014 ;  ; Cu-Ni ; AU ; 8 ; pelmen761 ; 102 
 3905 ; 50 тенге. Казахстан ; 2015 ;  ; Cu-Ni ; AU ; 8 ; pelmen761 ; 102 
 3906 ; 50 тенге. Казахстан ; 2015 ;  ; Cu-Ni ; AU ; 8 ; pelmen761 ; 102 
 3907 ; 50 тенге. Казахстан ; 2013 ;  ; Cu-Ni ; AU ; 12 ; pelmen761 ; 101 
 3908 ; 50 тенге. Казахстан ; 2015 ;  ; Cu-Ni ; AU ; 10 ; pelmen761 ; 101 
 3909 ; 5 гривен. Украина. День Святого Николая ; 2016 ;  ; Cu-Ni ; AU ; 17 ; u10257 ; 261 
 3910 ; 5 гривен. Украина. Петриковская роспись ; 2016 ;  ; Cu-Ni ; AU ; 41 ; an78gg ; 329 
 3911 ; 5 гривен. Украина. Древний Вышгород ; 2016 ;  ; Cu-Ni ; AU ; 23 ; Graphic ; 455 
 3912 ; 5 гривен. Украина. Пожарный автомобиль ; 2016 ;  ; Cu-Ni ; AU ; 19 ; Graphic ; 304 
 3913 ; 5 гривен. Украина. Украина - непостоянный член Совета Безопасности ООН ; 2016 ;  ; Cu-Ni ; AU ; 7 ; Один54 ; 203 
 3914 ; 5 гривен. Украина. Геноцид крымскотатарского народа ; 2016 ;  ; Cu-Ni ; AU ; 27 ; Graphic ; 465 
 3915 ; 5 гривен. Украина. Подгорецкий замок ; 2015 ;  ; Cu-Ni ; AU ; 14 ; Graphic ; 304 
 3916 ; 5 гривен. Украина. Ледокол "Капитан Белоусов" ; 2004 ;  ; Cu-Ni ; AU ; 35 ; SKeeper ; 394 
 3917 ; 5 гривен. Украина. Древний Малин ; 2016 ;  ; Cu-Ni ; AU ; 19 ; Valera G ; 225 
 3918 ; 5 гривен. Украина. Луцк ; 2010 ;  ; Cu-Ni ; AU ; 24 ; 333985 ; 237 
 3919 ; 5 гривен. Украина. Синагога ; 2012 ;  ; Cu-Ni ; AU ; 32 ; Valera G ; 227 
 3920 ; 5 гривен. Украина. Конный трамвай ; 2016 ;  ; Cu-Ni ; AU ; 11 ; Valera G ; 225 
 3921 ; 5 гривен. Украина. Ан-124 "Руслан" ; 2005 ;  ; Cu-Ni ; XF+ ; 37 ; Один54 ; 301 
 3922 ; 2 гривны. Украина. 20 лет Конституции Украины ; 2016 ;  ; Cu-Ni ; AU ; 21 ; Graphic ; 204 
 3923 ; 2 гривны. Украина. Олимпийские игры в Рио ; 2016 ;  ; Cu-Ni ; AU ; 15 ; SKeeper ; 596 
 3924 ; 2 гривны. Украина. 50 лет ТНЭУ ; 2016 ;  ; Cu-Ni ; AU ; 18 ; Один54 ; 150 
 3925 ; 2 гривны. Украина. Михаил Вербицкий ; 2015 ;  ; Cu-Ni ; AU ; 24 ; Graphic ; 204 
 3826 ; 1 куна. Папуа Новая Гвинея ; 2004 ;  ; Cu-Ni ; AU ; 42 ; dsp ; 163 
 3827 ; 1 крона. Швеция ; 1969 ;  ; Cu-Ni ; VF ; 35 ; chief com ; 138 
 3828 ; 1 доллар. США ; 2000 ;  ; Cu-Ni-Zn ; XF ; 7 ; dsp ; 75 
 3829 ; 50 сантимов. Конго ; 2002 ;  ; Al ; AU ; 20 ; valerdon ; 138 
 3830 ; 2 евро. Бельгия ; 2002 ;  ; би/м ; XF ; 11 ; Maxnum ; 102 
 3831 ; 50 центов. Бельгия ; 2008 ;  ; лат ; XF+ ; 18 ; ag58 ; 61 
 3832 ; 2 евро. Германия. Саксония ; 2016F ;  ; Би/м ; AU ; 12 ; kirkar ; 179 
 3833 ; 2 евро. Италия. Турин ; 2006 ;  ; Би/м ; AU ; 6 ; Maxnum ; 118 
 3834 ; 2 евро. Португалия. Олимпиада ; 2016 ;  ; Би/м ; AU ; 14 ; bcg ; 206 
 3835 ; 2 евро. Австрия. 200 лет Национальному Банку Австрии ; 2016 ;  ; Би/м ; AU ; 16 ; bcg ; 204 
 3836 ; 2 евро. Мальта ; 2016 ;  ; Би/м ; AU ; 15 ; Кузон ; 302 
 3837 ; 2 евро. Германия. Саксония ; 2016A ;  ; Би/м ; AU ; 15 ; kirkar ; 184 
 3838 ; 2 евро. Германия. Гессен ; 2015J ;  ; Би/м ; AU ; 10 ; u10257 ; 165 
 3839 ; 2 евро. Германия. Саксония ; 2016D ;  ; Би/м ; AU ; 12 ; kirkar ; 184 
 3840 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 11 ; SKeeper ; 124 
 3841 ; 2 евро. Германия. Гессен ; 2015F ;  ; Би/м ; AU ; 10 ; sub215 ; 138 
 3842 ; 2 евро. Финляндия. Георг Генри Райт ; 2016 ;  ; Би/м ; AU ; 14 ; MasterDyn ; 193 
 3843 ; 2 евро. Германия. Гессен ; 2015D ;  ; Би/м ; AU ; 6 ; vasek ; 118 
 3844 ; 2 евро. Германия. Саксония ; 2016G ;  ; Би/м ; AU ; 15 ; kirkar ; 184 
 3845 ; 2 евро. Сан-Марино ; 2013 ;  ; Би/м ; AU ; 14 ; MasterDyn ; 199 
 3846 ; 2 евро. Германия. Гессен ; 2015G ;  ; Би/м ; AU ; 9 ; u10257 ; 124 
 3847 ; 1 евро. Сан-Марино ; 2014 ;  ; Би/м ; AU ; 21 ; S.A.I. ; 101 
 3848 ; 50 евроцентов. Сан-Марино ; 2014 ;  ; Латунь ; AU ; 35 ; BSR ; 138 
 3849 ; 50 евроцентов. Мальта ; 2008 ;  ; Латунь ; XF+ ; 13 ; тарнум ; 110 
 3850 ; 2 евро. Германия. Саксония ; 2016J ;  ; Би/м ; AU ; 23 ; kirkar ; 189 
 3851 ; 500 лир. Италия ; 1982 ;  ; Би/м ; AU ; 7 ; 3ТЭП75 ; 21 
 3852 ; 10 чентезимо. Италия ; 1941 ;  ; Al/Br ; VF+ ; 11 ; SER 888 ; 20 
 3853 ; 100 лир. Италия ; 1974 ;  ; St ; AU ; 19 ; А.А.Д ; 82 
 3854 ; 10 лир. Италия ; 1975 ;  ; Al ; XF ; 6 ; А.А.Д ; 13 
 3855 ; 500 лир. Италия ; 1965 ;  ; Ag ; AU ; 26 ; nz7070 ; 531 
 3856 ; 500 лир. Ватикан ; 1972 ;  ; Ag ; AU ; 29 ; Moryak ; 654 
 3857 ; 500 лир. Сан-Марино ; 1976 ;  ; Ag ; AU ; 14 ; gladkochub ; 579 
 3858 ; 2 лиры. Италия ; 1908 ;  ; Ag ; VF+ ; 22 ; Мотя ; 929 
 3859 ; 200 лир. Италия ; 1993 ;  ; Al/Br ; AU ; 18 ; альтаир ; 45 
 3860 ; 50 тенге. Казахстан ; 2014 ;  ; Cu-Ni ; AU ; 32 ; вавилон ; 204 
 3861 ; 100 тенге. Казахстан ; 2016 ;  ; Cu-Ni ; AU ; 18 ; pelmen761 ; 102 
 3862 ; 100 тенге. Казахстан ; 2016 ;  ; Cu-Ni ; AU ; 12 ; pelmen761 ; 102 
 3863 ; 100 тенге. Казахстан ; 2016 ;  ; Cu-Ni ; AU ; 10 ; pelmen761 ; 102 
 3864 ; 100 тенге. Казахстан ; 2016 ;  ; Cu-Ni ; AU ; 11 ; pelmen761 ; 102 
 3865 ; 25 сентимес. Испания ; 1937 ;  ; Cu-Ni ; XF ; 18 ; А.А.Д ; 34 
 3866 ; 20 франков. Бельгия ; 1980 ;  ; Ж/м ; XF ; 21 ; vasilyi66 ; 57 
 3867 ; 20 центов. Австралия ; 2004 ;  ; Cu-Ni ; XF- ; 12 ; А.А.Д ; 34 
 3868 ; 50 форинтов. Венгрия ; 1994 ;  ; Cu-Ni ; VF+ ; 9 ; птичка16 ; 105 
 3869 ; 10 метикас. Мозамбик ; 1980 ;  ; Cu-Ni ; XF ; 11 ; fadeev.dima ; 184 
 3870 ; 10 новых пенсов. Великобритания ; 1969 ;  ; Cu-Ni ; VF+ ; 14 ; А.А.Д ; 34 
 3871 ; 20 форинтов. Венгрия ; 1982 ;  ; Cu-Ni ; XF+ ; 7 ; А.А.Д ; 20 
 3872 ; 100 лей. Румыния ; 1992 ;  ; Cu-Ni ; XF- ; 15 ; fadeev.dima ; 57 
 3873 ; 10 крон. Исландия ; 1978 ;  ; Cu-Ni ; XF ; 15 ; гудзон ; 22 
 3874 ; 50 аурар. Исландия ; 1969 ;  ; Ж/м ; VF+ ; 28 ; chief com ; 134 
 3875 ; 10 аурар. Исландия ; 1970 ;  ; Al ; VF-XF ; 7 ; Maksss163 ; 10 
 3776 ; 20 пара. Турция ; 1255 ;  ; Br ; VF ; 38 ; mkm1968 ; 450 
 3777 ; 2 сантима. Бельгия ; 1876 ;  ; Br ; VF ; 15 ; Ыукут ; 55 
 3778 ; 2 пфеннига. Германия ; 1937 ;  ; Br ; VF ; 4 ; fadeev.dima ; 101 
 3779 ; 1/4 шиллинга. Швеция ; 1806 ;  ; Br ; F-VF ; 16 ; evg ; 123 
 3780 ; 2 сантима. Латвия ; 1932 ;  ; Br ; VF ; 16 ; Maxnum ; 29 
 3781 ; 5 эре. Дания ; 1928 ;  ; Br ; VF ; 9 ; папашаГарпагон ; 23 
 3782 ; 5 эре. Дания ; 1921 ;  ; Br ; VF ; 16 ; DVZ ; 242 
 3783 ; 5 эре. Норвегия ; 1899 ;  ; Br ; F-VF ; 10 ; А.А.Д ; 108 
 3784 ; 5 сантимов. Франция ; 1900 ;  ; Br ; VF ; 21 ; Markgraf ; 60 
 3785 ; 1 цент. Британские Карибские территории ; 1965 ;  ; Br ; VF ; 5 ; teso ; 25 
 3786 ; 2 евро. Кипр. 10 лет евро ; 2009 ;  ; би/м ; AU ; 16 ; ВЯЗЪ ; 212 
 3787 ; 2 евро. Бельгия. Атомиум ; 2006 ;  ; би/м ; AU ; 93 ; кузяка ; 633 
 3788 ; 2 евро. Монако ; 2015 ;  ; би/м ; AU ; 15 ; SKeeper ; 246 
 3789 ; 2 евро. Германия ; 2002J ;  ; би/м ; XF ; 4 ; SKeeper ; 118 
 3790 ; 2 евро. Италия ; 2002 ;  ; би/м ; XF ; 9 ; u10257 ; 175 
 3791 ; 2 евро. Латвия ; 2014 ;  ; би/м ; XF ; 10 ; SKeeper ; 181 
 3792 ; 2 евро. Финляндия ; 2003 ;  ; би/м ; XF- ; 7 ; SKeeper ; 118 
 3793 ; 2 евро. Финляндия ; 2006 ;  ; би/м ; XF- ; 15 ; SKeeper ; 181 
 3794 ; 2 евро. Финляндия ; 2001 ;  ; би/м ; XF- ; 6 ; SKeeper ; 118 
 3795 ; 2 евро. Италия ; 2002 ;  ; би/м ; VF+ ; 4 ; SKeeper ; 118 
 3796 ; 2 евро. Италия ; 2002 ;  ; би/м ; XF- ; 5 ; u10257 ; 118 
 3797 ; 2 евро. Мальта ; 2008 ;  ; би/м ; XF ; 11 ; Матроскин ; 138 
 3798 ; 2 евро. Франция ; 2001 ;  ; би/м ; VF+ ; 4 ; von_Schwarz ; 115 
 3799 ; 2 евро. Франция ; 2001 ;  ; би/м ; XF- ; 4 ; von_Schwarz ; 115 
 3800 ; 2 евро. Франция ; 2001 ;  ; би/м ; VF+ ; 4 ; von_Schwarz ; 115 
 3801 ; 2 евро. Бельгия ; 2014 ;  ; Би/м ; AU ; 11 ; domovoy ; 184 
 3802 ; 1 доллар. США ; 2001D ;  ; Cu-Zn-Ni ; XF ; 23 ; dsp ; 115 
 3803 ; 1 доллар. США ; 2011P ;  ; Cu-Zn-Ni ; XF ; 19 ; Carbon ; 106 
 3804 ; 1 доллар. США ; 2000P ;  ; Cu-Zn-Ni ; XF ; 7 ; вмонетав ; 72 
 3805 ; 1 доллар. США ; 2007D ;  ; Cu-Zn-Ni ; XF ; 16 ; Матроскин ; 86 
 3806 ; 1 доллар. США ; 2007P ;  ; Cu-Zn-Ni ; XF ; 25 ; Tyz-13 ; 110 
 3807 ; 1 доллар. США ; 2007P ;  ; Cu-Zn-Ni ; XF ; 10 ; Матроскин ; 97 
 3808 ; 1 доллар. США ; 2007P ;  ; Cu-Zn-Ni ; AU ; 15 ; вмонетав ; 105 
 3809 ; 1 доллар. США ; 1979P ;  ; Cu-Ni ; XF- ; 20 ; dsp ; 116 
 3810 ; 1 доллар. США ; 1980P ;  ; Cu-Ni ; XF ; 27 ; dsp ; 128 
 3811 ; 1 доллар. США ; 2007P ;  ; Cu-Zn-Ni ; XF ; 26 ; вмонетав ; 108 
 3812 ; 1 доллар. США ; 2011P ;  ; Cu-Zn-Ni ; XFXF ; 17 ; вмонетав ; 95 
 3813 ; 1 доллар. США ; 2007P ;  ; Cu-Zn-Ni ; XF ; 16 ; Матроскин ; 82 
 3814 ; 1 доллар. США ; 2007P ;  ; Cu-Zn-Ni ; XF ; 7 ; Матроскин ; 80 
 3815 ; 1 доллар. США ; 2011P ;  ; Cu-Zn-Ni ; XF ; 8 ; вмонетав ; 84 
 3816 ; 1 доллар. США ; 2007P ;  ; Cu-Zn-Ni ; XF ; 21 ; Матроскин ; 93 
 3817 ; 1 доллар. США ; 2011P ;  ; Cu-Zn-Ni ; XF ; 20 ; вмонетав ; 111 
 3818 ; 1 доллар. США ; 2011P ;  ; Cu-Zn-Ni ; XF ; 16 ; вмонетав ; 108 
 3819 ; 1 доллар. США ; 2000P ;  ; Cu-Zn-Ni ; XF ; 5 ; Boxing ; 60 
 3820 ; 1 доллар. США ; 2000P ;  ; Cu-Zn-Ni ; XF ; 10 ; dim66 ; 80 
 3821 ; 1 доллар. США ; 2010P ;  ; Cu-Zn-Ni ; XF ; 32 ; Tyz-13 ; 124 
 3822 ; 10 пиастров. Египет ; 1992 ;  ; Al/Br ; AU ; 12 ; А.А.Д ; 30 
 3823 ; 1 рубль. Беларусь. Белая цапля ; 2008 ;  ; Cu-Ni ; Proof ; 25 ; Vol4en0k ; 603 
 3824 ; 10 матикас. Мозамбик ; 1994 ;  ; Латунь ; XF ; 24 ; fadeev.dima ; 89 
 3825 ; 10 крон. Швеция ; 1992 ;  ; Латунь ; XF- ; 7 ; кротик ; 45 
 3726 ; 2 филлера. Венгрия ; 1935 ;  ; Br ; VF ; 10 ; prostor.71 ; 23 
 3727 ; 1 эре. Швеция ; 1857 ;  ; Br ; VF ; 19 ; Недорого ; 101 
 3728 ; 1 цент. Канада ; 1967 ;  ; Br ; VF ; 4 ; Vox ; 26 
 3729 ; 1/3 скиллинга. Швеция ; 1836 ;  ; Br ; VF ; 55 ; spiritusvini ; 379 
 3730 ; 1 эре. Дания ; 1912 ;  ; Br ; VF ; 8 ; Shundr ; 88 
 3731 ; 1 сент. Эстония ; 1929 ;  ; Br ; VF ; 8 ; krugerrand ; 85 
 3732 ; 1 раппен. Швейцария ; 1941 ;  ; Br ; VF-XF ; 22 ; А.А.Д ; 90 
 3733 ; 1 крейцер. Австрия ; 1860 ;  ; Br ; VF ; 15 ; ag58 ; 41 
 3734 ; 1 цент. Родезия ; 1970 ;  ; Br ; XF ; 21 ; valerdon ; 101 
 3735 ; Монета Восток ;  ;  ; Br ; VF- ; 18 ; цеховик ; 204 
 3736 ; 1 чентезимо. Панама ; 1993 ;  ; Br ; VF ; 27 ; fadeev.dima ; 101 
 3737 ; 1 пенни. ЮАР ; 1959 ;  ; Br ; VF-XF ; 53 ; Markgraf ; 125 
 3738 ; 3 марки. Эстония ; 1925 ;  ; Ni/Br ; VF- ; 28 ; DVZ ; 360 
 3739 ; 2 эре. Швеция ; 1766 ;  ; Br ; VF ; 22 ; калинов мост ; 365 
 3740 ; 10 чентезимо. Италия ; 1939 ;  ; Br ; VF- ; 8 ; А.А.Д ; 46 
 3741 ; 1 скиллинг Швеция ; 1842 ;  ; Br ; VF ; 28 ; сама71 ; 442 
 3742 ; 2/3 скиллинга Швеция ; 1839 ;  ; Br ; VF- ; 42 ; spiritusvini ; 477 
 3743 ; 1/4 скиллинга Швеция ; 1803 ;  ; Br ; F ; 19 ; evg ; 108 
 3744 ; 1/6 скиллинга Швеция ; 1855 ;  ; Br ; VF ; 10 ; igrtlk ; 169 
 3745 ; 2 эре. Швеция ; 1899 ;  ; Br ; VF ; 30 ; andreyg ; 57 
 3746 ; 1 пфенниг. Германия ; 1876 ;  ; Br ; VF ; 13 ; птичка16 ; 99 
 3747 ; 2 раппен. Швейцария ; 1937 ;  ; Br ; VF ; 32 ; СВТ69 ; 88 
 3748 ; 1/2 скиллинга Швеция ; 1801 ;  ; Br ; VF ; 17 ; andy2012 ; 535 
 3749 ; 2  хеллера. Австрия ; 1912 ;  ; Br ; VF-XF ; 12 ; А.А.Д ; 34 
 3750 ; 2 эре. Дания ; 1914 ;  ; Br ; VF ; 8 ; krugerrand ; 63 
 3751 ; 1 филлер. Венгрия ; 1927 ;  ; Br ; VF ; 31 ; DVZ ; 170 
 3752 ; 1 хеллер. Венгрия ; 1902 ;  ; Br ; VF ; 13 ; DVZ ; 114 
 3753 ; 1 сантим. Бельгия ; 1894 ;  ; Br ; VF ; 18 ; Markgraf ; 51 
 3754 ; 20 хеллеров. Чехословакия ; 1948 ;  ; Br ; XF ; 41 ; teso ; 245 
 3755 ; 1 эре. Швеция ; 1902 ;  ; Br ; VF ; 6 ; фрегат ; 28 
 3756 ; 1 пфенниг. Германия ; 1937A ;  ; Br ; VF ; 5 ; fadeev.dima ; 107 
 3757 ; 5 эре. Норвегия ; 1876 ;  ; Br ; VF- ; 16 ; папашаГарпагон ; 123 
 3758 ; 5 чентезимо. Италия ; 1923 ;  ; Br ; VF-XF ; 26 ; А.А.Д ; 101 
 3759 ; 1/2 шиллинга. Швеция ; 1821 ;  ; Br ; F-VF ; 22 ; orex ; 72 
 3760 ; 2 эре. Дания ; 1902 ;  ; Br ; F+ ; 17 ; Vox ; 31 
 3761 ; 1/3 скиллинга. Швеция ; 1855 ;  ; Br ; VF ; 41 ; spiritusvini ; 363 
 3762 ; 4 хеллера. Германия ; 1815 ;  ; Br ; F ; 17 ; jj ; 299 
 3763 ; 1/2 эре. Швеция ; 1857 ;  ; Br ; F+ ; 12 ; лексан 98 ; 101 
 3764 ; 1 скиллинг. Швеция ; 1813 ;  ; Br ; F+ ; 31 ; t_v_v ; 86 
 3765 ; 2 хеллера. Венгрия ; 1915 ;  ; Br ; VF ; 55 ; qver ; 59 
 3766 ; 1 цент. США ; 1905 ;  ; Br ; VF ; 19 ; bubel ; 216 
 3767 ; 2 эре. Швеция ; 1907 ;  ; Br ; VF ; 13 ; Shundr ; 34 
 3768 ; 2 пфеннига. Германия ; 1874A ;  ; Br ; VF ; 14 ; vihufa ; 217 
 3769 ; 10 дирхем. Катар и Дубаи ; 1966 ;  ; Br ; XF ; 29 ; Cruiser ; 446 
 3770 ; 25 центов. Эфиопия ;  ;  ; Br ; VF ; 28 ; лексан 98 ; 50 
 3771 ; 5 эре. Швеция ; 1900 ;  ; Br ; VF ; 23 ; kergudu ; 68 
 3772 ; 1 скиллинг. Дания ; 1856 ;  ; Br ; VF ; 17 ; Недорого ; 119 
 3773 ; 5 чентезимо. Италия ; 1861 ;  ; Br ; VF ; 14 ; DVZ ; 61 
 3774 ; 1/6 скиллинга. Швеция ; 1835 ;  ; Br ; VF ; 29 ; igrtlk ; 211 
 3775 ; 10 чентезимо. Италия ; 1870 ;  ; Br ; F-VF ; 9 ; DVZ ; 101 
 3676 ; 100 эскудо. Португалия ; 1990 ;  ; Би/м ; XF ; 11 ; 3ТЭП75 ; 26 
 3677 ; 100 эскудо. Португалия ; 1995 ;  ; Би/м ; XF ; 18 ; Jon Snow ; 120 
 3678 ; 500 лир. Италия ; 1993 ;  ; Би/м ; XF ; 13 ; жора ; 100 
 3679 ; 1000 лир. Италия ; 2001 ;  ; Би/м ; XF ; 27 ; тарнум ; 91 
 3680 ; 1/2 динараю. Иордания ; 2000 ;  ; Би/м ; XF ; 16 ; калинов мост ; 83 
 3681 ; 2 евро. Италия. Турин ; 2006 ;  ; Би/м ; VF-XF ; 7 ; SKeeper ; 152 
 3682 ; 2 евро. Германия. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF ; 17 ; BSR ; 184 
 3683 ; 2 евро. Германия. Бавария ; 2012 ;  ; Би/м ; XF ; 7 ; Serg7921 ; 152 
 3684 ; 25 фунтов. Сирия ; 1995 ;  ; Би/м ; VF ; 31 ; Недорого ; 90 
 3685 ; 2 евро. Финляндия. Силланпаа ; 2013 ;  ; Би/м ; VF-XF ; 8 ; u10257 ; 152 
 3686 ; 500 лир. Италия ; 1996 ;  ; Би/м ; XF ; 16 ; Vox ; 66 
 3687 ; 2 евро. Финляндия. Хелен Шерфбек ; 2012 ;  ; Би/м ; XF ; 5 ; Allegro33 ; 130 
 3688 ; 100 филс. Бахрейн ; 1995 ;  ; Би/м ; VF ; 8 ; 3ТЭП75 ; 50 
 3689 ; 10 рупий. Шри-Ланка ; 1998 ;  ; Би/м ; VF+ ; 15 ; 3ТЭП75 ; 61 
 3690 ; 2 евро. Германия. 50 лет Римскому договору ; 2007 ;  ; Би/м ; VF ; 11 ; Ыукут ; 144 
 3691 ; 20 франков. Франция ; 1995 ;  ; Би/м ; XF ; 35 ; Cross ; 204 
 3692 ; 2 евро. Финляндия. ЕС ; 2005 ;  ; Би/м ; XF ; 24 ; кузяка ; 228 
 3693 ; 20 тоа. Папуа Новая Гвинея ; 1975 ;  ; Cu-Ni ; AU ; 23 ; Недорого ; 113 
 3694 ; 100 лир. Италия ; 1981 ;  ; St ; XF ; 13 ; альтаир ; 57 
 3695 ; 100 лир. Сан-Марино ; 1980 ;  ; St ; AU ; 10 ; cochu ; 118 
 3696 ; 50 стотинок. Болгария ; 2004 ;  ; Cu-Ni ; VF ; 15 ; t_v_v ; 53 
 3697 ; 20 чентезимо. Италия ; 1921 ;  ; Cu-Ni ; VF ; 6 ; Flagman ; 25 
 3698 ; 25 сантимов. Бельгия ; 1926 ;  ; Cu-Ni ; VF ; 4 ; страус ; 20 
 3699 ; 20 пара. Сербия ; 1884 ;  ; Cu-Ni ; F-VF ; 12 ; ag58 ; 40 
 3700 ; 10 центов. Ямайка ; 1993 ;  ; Cu-Ni ; XF ; 14 ; t_v_v ; 51 
 3701 ; 5 крон. Словакия ; 1994 ;  ; Cu-Ni ; AU ; 10 ; vasilyi66 ; 25 
 3702 ; 1 доллар. США ; 2011 ;  ; Al/Br ; XF ; 29 ; Tyz-13 ; 169 
 3703 ; 10 лей. Румыния ; 1930 ;  ; Al/Br ; VF ; 12 ; DVZ ; 75 
 3704 ; 25 песет. Испания ; 1993 ;  ; Al/Br ; XF ; 8 ; А.А.Д ; 34 
 3705 ; 100 песет. Испания ; 1993 ;  ; Al/Br ; XF ; 20 ; dsp ; 90 
 3706 ; 20 шиллингов. Австрия ; 1982 ;  ; Al/Br ; VF+ ; 19 ; калинов мост ; 122 
 3707 ; 1 анна. Индия ; 1945 ;  ; Al/Br ; XF ; 28 ; dim66 ; 181 
 3708 ; Жетон 10 крон ;  ;  ; Al/Br ; XF ; 12 ; arusakov02 ; 120 
 3709 ; 1 доллар. Канада ; 2014 ;  ; Al/Br ; XF ; 13 ; птичка16 ; 100 
 3710 ; 5 пара. Югославия ; 1965 ;  ; Al/Br ; AU ; 16 ; Метро62 ; 67 
 3711 ; 5 крон. Эстония ; 1993 ;  ; Al/Br ; XF ; 15 ; NL.minkki ; 79 
 3712 ; 200 лир. Сан-Марино ; 1984 ;  ; Al/Br ; AU/XF ; 13 ; jj ; 199 
 3713 ; 25 песет. Испания ; 1995 ;  ; Al/Br ; XF ; 5 ; dsp ; 15 
 3714 ; 50 пфеннигов. ГДР ; 1950 ;  ; Al/Br ; VF ; 15 ; chief com ; 181 
 3715 ; 100 песет. Испания ; 1995 ;  ; Al/Br ; VF-XF ; 17 ; А.А.Д ; 106 
 3716 ; 10 крон. Дания ; 2005 ;  ; Al/Br ; XF ; 10 ; DVZ ; 114 
 3717 ; 100 песет. Испания ; 1999 ;  ; Al/Br ; XF ; 13 ; альтаир ; 50 
 3718 ; 1 крона. Эстония ; 1990 ;  ; Al/Br ; VF-XF ; 65 ; 220W ; 577 
 3719 ; 20 сентаво. Аргентина ; 1948 ;  ; Al/Br ; XF ; 23 ; DVZ ; 114 
 3720 ; 10 сантимов. Монако ; 1979 ;  ; Al/Br ; VF ; 14 ; t_v_v ; 51 
 3721 ; 10 пфеннигов. Данциг ; 1932 ;  ; Al/Br ; VF+ ; 28 ; hanim ; 310 
 3722 ; 25 песет. Испания ; 1996 ;  ; Al/Br ; XF ; 8 ; ВЯЗЪ ; 19 
 3723 ; 10 марок. ГДР. 20 лет Варшавскому договору ; 1975A ;  ; Cu-Ni ; XF ; 25 ; vihufa ; 234 
 3724 ; 25 новых пенсов. Великобритания. 25 лет правления ; 1977 ;  ; Cu-Ni ; XF ; 11 ; Звездолёты ; 107 
 3725 ; 1 доллар. Гон-Конг ; 1960 ;  ; Cu-Ni ; XF ; 15 ; Lena6975 ; 59 
 3626 ; 5 куна. Босния и Герцеговина ; 2005 ;  ; Би/м ; VF ; 11 ; arusakov02 ; 255 
 3627 ; 25 песет. Испания ; 1994 ;  ; Al/Br ; VF ; 7 ; dsp ; 18 
 3628 ; 50 динаров. Иран ; 1318 ;  ; Al/Br ; F-VF ; 14 ; val211 ; 46 
 3629 ; 25 песет. Испания ; 1991 ;  ; Al/Br ; XF ; 10 ; SKeeper ; 21 
 3630 ; 1 сентаво. Перу ; 1864 ;  ; Al/Br ; F-VF ; 11 ; t_v_v ; 93 
 3631 ; 5 чентезимо. Италия ; 1942 ;  ; Al/Br ; VF ; 11 ; ВЯЗЪ ; 40 
 3632 ; 20 лепта. Греция ; 1969 ;  ; Al ; XF ; 33 ; chief com ; 93 
 3633 ; 5 франко. Французская Полинезия ; 1975 ;  ; Al ; XF ; 26 ; orex ; 61 
 3634 ; 5 центов. Белиз ; 1994 ;  ; Al ; XF ; 16 ; кротик ; 28 
 3635 ; 1 пенго. Венгрия ; 1941 ;  ; Al ; VF ; 18 ; кротик ; 51 
 3636 ; 1/4 рупии. Пакистан ; 1948 ;  ; Cu-Ni ; XF ; 24 ; Shera ; 53 
