 3566 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 1 ; грос79 ; 22 
 2175 ; 1/2 кроны. Великобритания ; 1923 ;  ; Ag ; VF ; 18 ; dsidorov ; 209 
 2176 ; 1/2 кроны. Великобритания ; 1928 ;  ; Ag ; VF- ; 30 ; dsidorov ; 209 
 2177 ; 1/2 кроны. Великобритания ; 1929 ;  ; Ag ; VF+ ; 24 ; dsidorov ; 236 
 2178 ; 1/2 кроны. Великобритания ; 1933 ;  ; Ag ; VF-XF ; 31 ; alno51 ; 303 
 2179 ; 1/2 кроны. Великобритания ; 1935 ;  ; Ag ; VF-XF ; 13 ; vitapool ; 201 
 2180 ; 1/2 кроны. Великобритания ; 1936 ;  ; Ag ; VF+ ; 9 ; vitapool ; 204 
 2181 ; 1/2 кроны. Великобритания ; 1937 ;  ; Ag ; VF- ; 20 ; abrek112 ; 207 
 2182 ; 1/2 кроны. Великобритания ; 1938 ;  ; Ag ; VF ; 13 ; abrek112 ; 207 
 2183 ; 1/2 кроны. Великобритания ; 1939 ;  ; Ag ; VF ; 17 ; abrek112 ; 206 
 2184 ; 1/2 кроны. Великобритания ; 1940 ;  ; Ag ; VF ; 23 ; abrek112 ; 207 
 2185 ; 1/2 кроны. Великобритания ; 1941 ;  ; Ag ; VF ; 29 ; abrek112 ; 207 
 2186 ; 1/2 кроны. Великобритания ; 1942 ;  ; Ag ; VF ; 9 ; abrek112 ; 204 
 2087 ; 2 лева. Болгария ; 1882 ;  ; Ag ; VF ; 51 ; нумизмат ; 325 
 2088 ; 2 лева. Болгария ; 1882 ;  ; Ag ; VF ; 22 ; vitapool ; 226 
 2089 ; 2 лева. Болгария ; 1882 ;  ; Ag ; VF- ; 54 ; vitapool ; 288 
 2090 ; 2 лева. Болгария ; 1882 ;  ; Ag ; VF ; 28 ; vitapool ; 211 
 2091 ; 2 лева. Болгария ; 1882 ;  ; Ag ; VF ; 47 ; vitapool ; 302 
 2092 ; 2 лева. Болгария ; 1882 ;  ; Ag ; VF ; 57 ; alno51 ; 250 
 2093 ; 1 лев. Болгария ; 1882 ;  ; Ag ; VF- ; 5 ; env ; 227 
 2094 ; 1 лев. Болгария ; 1882 ;  ; Ag ; VF- ; 27 ; alno51 ; 204 
 2095 ; 1 лев. Болгария ; 1910 ;  ; Ag ; F-VF ; 14 ; alno51 ; 227 
 2096 ; 50 стотинок. Болгария ; 1883 ;  ; Ag ; F-VF ; 19 ; skif ; 51 
 2097 ; 50 стотинок. Болгария ; 1883 ;  ; Ag ; F-VF ; 12 ; gematogen ; 46 
 2098 ; 50 стотинок. Болгария ; 1883 ;  ; Ag ; F-VF ; 14 ; igor6353 ; 61 
 2099 ; 50 стотинок. Болгария ; 1883 ;  ; Ag ; VF- ; 7 ; env ; 113 
 2100 ; 50 стотинок. Болгария ; 1883 ;  ; Ag ; VF- ; 29 ; северк ; 123 
 2101 ; 50 стотинок. Болгария ; 1883 ;  ; Ag ; VF ; 41 ; abrek112 ; 150 
 2102 ; 1 чиао. Китай. Маньчжурская Империя ; 1940 ;  ; Cu-Ni ; XF- ; 58 ; abrek112 ; 497 
 2103 ; 1 чиао. Китай. Маньчжурская Империя ; 1940 ;  ; Cu-Ni ; XF- ; 28 ; staro ; 437 
 2104 ; Драхма. Греция ; 1911 ;  ; Ag ; F-VF ; 23 ; Ramzess ; 276 
 2105 ; 250 лей. Румыния ; 1941 ;  ; Ag ; VF ; 73 ; av ; 363 
 2106 ; 2 злотых. Польша ; 1933 ;  ; Ag ; VF ; 30 ; alno51 ; 156 
 2107 ; 2 злотых. Польша ; 1933 ;  ; Ag ; VF+ ; 1 ; LYALKA1972 ; 188 
 2108 ; 1 дайм. США. Меркури ; 1926 ;  ; Ag ; VF ; 39 ; Оттар ; 219 
 2109 ; 10 центов. Канада. 100 лет конфедерации ; 1967 ;  ; Ag ; XF+ ; 36 ; dsp ; 151 
 2110 ; 25 эре. Швеция ; 1944 ;  ; Ag ; VF ; 30 ; alno51 ; 131 
 2111 ; 10 эре. Швеция ; 1948 ;  ; Ag ; VF+ ; 5 ; igor6353 ; 44 
 2112 ; 10 эре. Швеция ; 1952 ;  ; Ag ; VF+ ; 2 ; skif ; 43 
 2113 ; 10 эре. Швеция ; 1958 ;  ; Ag ; VF+ ; 2 ; alno51 ; 36 
 2114 ; 10 эре. Швеция ; 1959 ;  ; Ag ; VF+ ; 1 ; панцыш ; 42 
 2115 ; 1 флорин. Великобритания ; 1887 ;  ; Ag ; VF+ ; 59 ; nik23455 ; 829 
 2116 ; 1 крейцер . Австрия ; 1881 ;  ; Cu ; F-VF ; 21 ; superaleks2004 ; 24 
 2117 ; 1 шиллинг. Мекленбург-Шверин, Фридрих Франц I (1785-1837) ; 1831 ;  ; Ag ; VF- ; 15 ; alno51 ; 247 
 2118 ; 3 шварена. Ольденбург, Николас Фридрих Петер (1853-1900) ; 1865 ;  ; Br ; F+ ; 37 ; vlkorchev ; 357 
 2119 ; 3 пфеннига. Пруссия, Вильгельм I (1861-1888) ; 1871В ;  ; Br ; F-VF ; 5 ; jj ; 119 
 2120 ; 2 пфеннига. Пруссия, Фридрих Вильгельм IV (1840-1861) ; 1860А ;  ; Br ; VF- ; 5 ; jj ; 119 
 2121 ; 5 франков. Страсбург. Франция, Наполеон III ; 1869ВВ ;  ; Ag ; VF- ; 24 ; abrek112 ; 1371 
 2122 ; 10 сантимов. Страсбург. Франция, Наполеон I. Деформация ; 1808ВВ ;  ; билон ; F+ ; 23 ; vlkorchev ; 134 
 2123 ; 5 сантимов. Франция, Наполеон III ; 1855А ;  ; Br ; F+ ; 29 ; TOYOTA ; 157 
 2124 ; 1 докдо (пайса). Индия, Расул Муххамад Шах (1891-1911) ; ND (1907) ;  ; Cu ; F-VF ; 39 ; Sterh ; 102 
 2125 ; 3 пенса. Британская Австралия, Георг V ; 1936 ;  ; Ag ; VF ; 66 ; aspt ; 113 
 2126 ; 2 харуба. Турецкий Тунис, Абдул Азиз и Мухаммад Аль-Садиг-бей (1860-1876) ; 1864 (1281 л.х.) ;  ; Br ; F-VF ; 70 ; abrek112 ; 261 
 2127 ; 1/2 кроны. Ирландия ; 1959 ;  ; никелин ; VF ; 26 ; Ramzess ; 98 
 2128 ; 5 драхм. Греция ; 1973 ;  ; никелин ; VF-XF ; 26 ; Ramzess ; 204 
 2129 ; 2 драхмы. Греция ; 1973 ;  ; Ni/Латунь ; AU ; 5 ; Ramzess ; 204 
 2130 ; 5 пиастров. Объединенная Арабская Республика ; 1967 (1387 л.х.) ;  ; никелин ; VF- ; 7 ; Jakob Sprenger ; 8 
 2131 ; 10 мильемов. Объединенная Арабская Республика ; 1967 (1386 л.х.) ;  ; Al ; F-VF ; 3 ; валери ; 4 
 2132 ; 10 мильемов. Арабская Республика Египет ; 1973 (1393 л.х.) ;  ; Латунь ; VF ; 9 ; Jakob Sprenger ; 10 
 2133 ; 5 пиастров. Арабская Республика Египет ; 2004 (1425 л.х.) ;  ; Латунь ; AU ; 25 ; Jakob Sprenger ; 23 
 2134 ; 2 фунта. Великобритания. М-32,45гр ; 2005 ;  ; Ag0,9995 ; Unc ; 46 ; no_one ; 2029 
 2135 ; 6 пенсов. Британская Южная Африка ; 1960 ;  ; Ag ; AU ; 37 ; ez ; 188 
 2136 ; 1/2 фартинга. Великобритания, Виктория ; 1844 ;  ; Cu ; VF+ ; 59 ; alno51 ; 597 
 2037 ; 5 дирхам. Французское Марокко. Берлин ; 1315лх ;  ; Ag ; VF-XF ; 79 ; overshtag ; 1870 
 2038 ; 960 рейс. Португальская колония. Бразилия. Байша. Иоанн принц регент. Перечекан с 8 риалов ; 1814 ;  ; Ag ; VF+ ; 10 ; Иа-Иа ; 2256 
 2039 ; 1/1/2 пайсы. Португалия. Педро II. Корона узкая. Порто ; 1703 ;  ; Cu ; F-VF ; 47 ; alno51 ; 793 
 2040 ; 1 сапекуе. Французская колония. Cochinchine ; 1879 ;  ; Cu ; AU ; 119 ; overshtag ; 1491 
 2041 ; 50 сантимов. Французская колония в Вест Индии. Остров Мартиника ; 1922 ;  ; Cu-Ni ; XF+ ; 84 ; overshtag ; 4134 
 2042 ; 50 сентаво. Португальская Ангола ; 1923 ;  ; Cu-Ni ; XF+ ; 50 ; askery ; 1521 
 2043 ; 1 рупия. Португальская Индия ; 1952 ;  ; Cu-Ni ; AU ; 61 ; vanwell ; 1010 
 2044 ; 6 пенсов. Великобритания. Георг V. 1 тип. Малый портрет ; 1925 ;  ; Ag ; AU ; 42 ; turner ; 1020 
 2045 ; 10 эскудо. Португальская колония о-ва Кабо Верде (Зеленого мыса) ; 1953 ;  ; Ag ; AU ; 47 ; vlkorchev ; 986 
 2046 ; 1 песа. Немецкая Восточная Африка ; 1890 ;  ; Cu ; VF-XF ; 92 ; alno51 ; 752 
 2047 ; 5 рейсов. Португальская колония Бразилия, Мария II. Корона высокая ; 1786 ;  ; Cu ; F+ ; 47 ; чусер ; 415 
 2048 ; 1 эскудо. Португальская колония. Кабо-Верде (Острова Зеленого мыса) ; 1949 ;  ; Cu-Ni ; VF-XF ; 68 ; егор ; 667 
 2049 ; 1 доллар. Модель. Британское Северное Борнео. Эдуард VIII - не правил ; 1936 ;  ; Al/Br ; AU ; 53 ; abrek112 ; 1316 
 2050 ; 1/2 пенни. Канада. Лев. Сидящая Британия ; 1813 ;  ; Cu ; VF- ; 42 ; Ramzess ; 1526 
 2051 ; 1 шиллинг. Великобритания. Георг V. 1 тип. Малый портрет ; 1915 ;  ; Ag ; XF+ ; 73 ; turner ; 2081 
 2052 ; 10 центов. Токен. Чили. Медный прииск. Poderosa mina ; ND ;  ; Cu ; VF- ; 38 ; abrek112 ; 907 
 2053 ; 1 сантим. Французский Индо-Китай. 1 тип с кружком на шапке ; 1940 ;  ; Zn ; VF ; 22 ; abrek112 ; 467 
 2054 ; 1 сантим. Французский Индо-Китай. 1 тип с цветком на шапке ; 1941 ;  ; Zn ; F+ ; 23 ; alno51 ; 155 
 2055 ; 320 рейс. Португальская колония Бразилия. Широкая корона, малый глобус ; 1751 ;  ; Ag ; F-VF ; 40 ; грос79 ; 747 
 2056 ; 1 цент. Британская колония о-в Маврикий, Виктория ; 1897 ;  ; Cu ; XF- ; 49 ; abrek112 ; 1131 
 2057 ; 1 рупия. Индия, штат Авадх ; 1235лх ;  ; Ag ; VF ; 82 ; Гордиан ; 536 
 2058 ; 1 эскудо. Португальский Мозамбик ; 1945 ;  ; Cu ; XF ; 13 ; егор ; 408 
 2059 ; 2 пиастра. Британский протекторат. Египет, Георг V. 1-ый тип ; 1335 л.х.(1917) ;  ; Ag ; XF/AU ; 48 ; rokada77 ; 399 
 2060 ; 2 пайсы. Британская Индия. Бомбей. 1 год чекана ; 1773 ;  ; Cu ; F-VF ; 23 ; alno51 ; 207 
 2061 ; 1/10 пенни. 2 тип. Британская Западная Африка ; 1950KN ;  ; Cu-Ni ; XF+ ; 24 ; Ramzess ; 206 
 2062 ; 1 шиллинг. Британская колония. Фиджи. Георг VI. Узкий портрет. 1 год чеканки ; 1937 ;  ; Ag ; VF-XF ; 49 ; vengriya ; 800 
 2063 ; 1/12 анны. Британская Индия. Калькутта ; 1835 ;  ; Cu ; XF- ; 39 ; abrek112 ; 261 
 2064 ; 1/2 пенни. Токен. Великобритания. Манчестер. Герб города ; 1793 ;  ; Cu ; VF ; 44 ; Ramzess ; 864 
 2065 ; 1/2 пенни. Токен. Великобритания. Шревсбурн. Шерстяная мануфактура. Герб. Гуртовая надпись ; 1793 ;  ; Cu ; VF-XF ; 20 ; rokada77 ; 906 
 2066 ; 1/2 сантима. Французский Индо-Китай ; 1938 ;  ; Cu ; VF ; 17 ; rokada77 ; 67 
 2067 ; 3 рейса. Португалия. Ioannes V. Узкая корона. Порто ; 1724 ;  ; Cu ; F+ ; 37 ; AndrCh58 ; 150 
 2068 ; 1/2 пенни. Токен. Канада. Провинция Upper Canada ; 1820 ;  ; Cu ; F-VF ; 63 ; abrek112 ; 793 
 2069 ; 2 кроны. Швеция. Густав V. Новая Швеция ; 1938 ;  ; Ag ; XF ; 117 ; Jakob Sprenger ; 1013 
 2070 ; 20 крон. Кокосовые острова ; 1974 ;  ; Ag ; Рroof ; 59 ; abrek112 ; 1020 
 2071 ; 1 ранд. Южная Африка ; 1971 ;  ; Ag ; XF ; 37 ; vitapool ; 327 
 2072 ; 1 шиллинг. Великобритания ; 1935 ;  ; Ag ; XF+ ; 35 ; dsp ; 528 
 2073 ; 10 евро. ФРГ. ФИФА ; 2006 ;  ; Ag ; AU ; 24 ; Gell13 ; 720 
 2074 ; 25 песо. Мексика. XIX олимпиада в Мексике ; 1968 ;  ; Ag ; XF+ ; 21 ; Gell13 ; 510 
 2075 ; 1000 лир. Турция. Чемпионат по футболу ; 1982 ;  ; Cu-Ni ; AU ; 43 ; falcom.v ; 305 
 2076 ; 5 марок. ГДР. 20 лет ГДР ; 1969 ;  ; Ni-Br ; VF-XF ; 19 ; Rober ; 27 
 2077 ; 1000 лир. Сан Марино. Толстой Л.Н ; 1978 ;  ; Ag ; AU ; 49 ; dsp ; 830 
 2078 ; 50 пиастров. Ливан ; 1952 ;  ; Ag ; F-VF ; 45 ; abrek112 ; 168 
 2079 ; 10 эре. Дания ; 1944 ;  ; Zn ; VF- ; 7 ; alno51 ; 91 
 2080 ; 10 эре. Швеция ; 1919 ;  ; Ag ; VF- ; 31 ; abrek112 ; 159 
 2081 ; 1 крона. Швеция ; 1965 ;  ; Ag ; XF+ ; 13 ; igor6353 ; 90 
 2082 ; 1 шиллинг. Великобритания ; 1943 ;  ; Ag ; VF ; 26 ; alno51 ; 161 
 2083 ; 1/2 анны. Восточная Индийская кампания ; 1835 ;  ; Cu ; F ; 11 ; gematogen ; 12 
 2084 ; 1 песета. Западная Сахара ; 1992 ;  ; Cu/Ni ; XF+ ; 36 ; ask ; 51 
 2085 ; 50 лева. Болгария ; 1930 ;  ; Ag ; VF- ; 29 ; rachkowsky ; 275 
 2086 ; 50 лева. Болгария ; 1930 ;  ; Ag ; XF- ; 14 ; нумизмат ; 453 
 1987 ; 2 пфеннига. Веймар ; 1925А ;  ; Br ; VF-XF ; 7 ; abrek112 ; 65 
 1988 ; 1 пфенниг. Германия ; 1876А ;  ; Cu ; VF- ; 6 ; alno51 ; 79 
 1989 ; 1 пфенниг. Германия ; 1894Е ;  ; Cu ; XF ; 11 ; kostian ; 50 
 1990 ; 1 пфенниг. Веймар ; 1923G ;  ; Br ; VF+ ; 29 ; abrek112 ; 93 
 1991 ; 1 пфенниг. Веймар ; 1934J ;  ; Br ; XF+ ; 26 ; вий444 ; 51 
 1992 ; 1 пфенниг. Германия ; 1943В ;  ; Zn ; VF- ; 7 ; вий444 ; 32 
 1993 ; 20 марок. ГДР. Бранденбургские ворота ; 1990A ;  ; Ag ; AU ; 56 ; zufar5518 ; 925 
 1994 ; 20 марок. ГДР. Бранденбургские ворота ; 1990A ;  ; Ag ; AU ; 90 ; vicnic ; 900 
 1995 ; 10 марок. ГДР. Кети Коллвитц ; 1967 ;  ; Ag ; AU ; 60 ; Алек ; 2248 
 1996 ; 10 марок. ГДР. Альберт Швейтзер ; 1975 ;  ; Ag ; AU ; 52 ; Майкл ; 1743 
 1997 ; 10 марок. ГДР. Рихард Вагнер. В пластиковой капсуле с пломбой ; 1983 ;  ; Ag ; Proof ; 47 ; oae79 ; 2601 
 1998 ; 10 марок. ГДР. Альфред Брем. В пластиковой капсуле с пломбой ; 1984A ;  ; Ag ; Proof ; 39 ; oae79 ; 2844 
 1999 ; 20 марок. ГДР. 30 лет ГДР ; 1979A ;  ; Cu-Ni ; AU ; 65 ; oae79 ; 449 
 2000 ; 10 марок. ГДР. 700 лет Берлинскому монетному делу ; 1981 ;  ; Cu-Ni ; AU ; 30 ; oae79 ; 1203 
 2001 ; 10 марок. ГДР. 25 лет национальной народной армии ; 1981A ;  ; Cu-Ni ; AU ; 39 ; oae79 ; 138 
 2002 ; 5 марок. ГДР. Иоганнес Бдрамс ; 1972 ;  ; Cu-Ni ; AU ; 42 ; oae79 ; 691 
 2003 ; 5 марок. ГДР. Томас Манн ; 1975 ;  ; Cu-Ni ; AU ; 45 ; oae79 ; 493 
 2004 ; 5 марок. ГДР. Фердинанд фон Шилль ; 1976 ;  ; Cu-Ni ; AU ; 46 ; partanen ; 786 
 2005 ; 5 марок. ГДР. Цвейгхаус ; 1990A ;  ; Cu-Ni ; AU ; 13 ; abrek112 ; 212 
 2006 ; 5 марок. ГДР. Вартбург ; 1982A ;  ; Cu-Ni ; AU ; 31 ; partanen ; 503 
 2007 ; 1 пфенниг. ГДР ; 1949E ;  ; Al ; VF+ ; 7 ; ZOLTAN333 ; 21 
 2008 ; 1 пфенниг. ГДР ; 1953E ;  ; Al ; VF-XF ; 7 ; alno51 ; 21 
 2009 ; 1 шиллинг со звездой. Австралия. Сидней. Георг V ; 1921 ;  ; Ag ; F-VF ; 50 ; abrek112 ; 318 
 2010 ; 1 шиллинг. Австралия. Эдуард VII ; 1910 ;  ; Ag ; XF+ ; 55 ; georg20 ; 1952 
 2011 ; 12 пенсов (1 шиллинг). Серебряный токен. Великобритания. Neath. Rees`s & D.Morgans ; 1811 ;  ; Ag ; VF ; 64 ; forward ; 1025 
 2012 ; 3 цента. Датская Западная Индия, Фридерик VII ; 1859 ;  ; Ag ; VF-XF ; 35 ; overshtag ; 1632 
 2013 ; 1 пенни. Токен. Великобритания. Бирмингем. Объединенная медная компания ; 1812 ;  ; Cu ; VF ; 49 ; abrek112 ; 551 
 2014 ; 1/2 пенни. Токен. Великобритания. Гуртовая надпись "Мир и процветание" ; ND ;  ; Cu ; VF+ ; 24 ; warmrain ; 1008 
 2015 ; 1/2 пенни. Токен. Великобритания. Лондон. Фрэнсис Шэклтон. Гурт надпись Суффолк ; 1794 ;  ; Cu ; XF- ; 63 ; warmrain ; 1451 
 2016 ; 1/2 пенни. Токен. Великобритания. Для обращения везде. Гурт шнур ; ND ;  ; Cu ; VF+ ; 50 ; abrek112 ; 1609 
 2017 ; 1/2 пенни. Токен. Великобритания. Саусхэмптон. Sir Bevois. Гуртовая надпись ; 1791 ;  ; Cu ; VF- ; 69 ; abrek112 ; 852 
 2018 ; 1/2 пенни. Токен. Канада. 2 тип год под хвостом ; 1815 ;  ; Cu ; VF- ; 26 ; abrek112 ; 900 
 2019 ; 1/2 пенни. Токен. Канада. 1 тип год по сторонам от хвоста ; 1814 ;  ; Cu ; F-VF ; 20 ; overshtag ; 491 
 2020 ; 1 пенни (1 су). Токен. Канада. Провинция Новая Шотландия. Виктория ; 1856LCW ;  ; Cu ; VF+ ; 32 ; Ramzess ; 941 
 2021 ; 1 пенни. Токен. Австралия. Мельбурн. Виктория ; 1859 ;  ; Cu ; VF- ; 45 ; Ramzess ; 1345 
 2022 ; 6 пенсов. Австралия. 1 год чеканки ; 1910 ;  ; Ag ; VF ; 38 ; overshtag ; 532 
 2023 ; 3 пенса. Австралия. 1 год чеканки ; 1910 ;  ; Ag ; XF/AU ; 38 ; georg20 ; 1136 
 2024 ; 1/2 кроны. Южная Родезия ; 1932 ;  ; Ag ; XF/AU ; 68 ; max1958 ; 2142 
 2025 ; 1 крона с большими розами и плюмажами. Великобритания ; 1716 ;  ; Ag ; VF+ ; 112 ; Alexdav ; 26531 
 2026 ; 4 маунди. 1 тип. Рождественские деньги для слепых. Англия до объединения с Шотландией. 1 портрет ; 1704 ;  ; Ag ; VF+ ; 48 ; Alexdav ; 1836 
 2027 ; 1/2 быра. Эфиопия. Париж ; 1887А ;  ; Ag ; VF+ ; 51 ; overshtag ; 1785 
 2028 ; 1 доллар - плантационный токен. Нидерландская Индия. Плантация "Kisaran" ; 1888 ;  ; Cu-Ni ; F-VF ; 39 ; abrek112 ; 1016 
 2029 ; 1/2 доллара - плантационный токен. Нидерландская Индия. Плантация "Kisaran" ; 1888 ;  ; Cu-Ni ; F-VF ; 23 ; abrek112 ; 1341 
 2030 ; 1 дуит. Нидерланды. Провинция Гронин и Оммеланд. 2 тип. Большие буквы ; 1771 ;  ; Cu ; VF ; 54 ; alno51 ; 1345 
 2031 ; 1/2 геллера. Немецкая Восточная Африка. Берлин ; 1904А ;  ; Cu ; XF/AU ; 45 ; overshtag ; 631 
 2032 ; 1/2 макуты. Португальская колония. Ангола. Мария II - высокая корона ; 1851 ;  ; Cu ; VF ; 44 ; askery ; 2040 
 2033 ; 2 макуты. Португальская колония. Ангола. Иосиф I король Гвинеи. Корона низкая ; 1762 ;  ; Ag ; VF- ; 50 ; Иа-Иа ; 2225 
 2034 ; 10 рейс. Португалия. Ioannes V. Корона узкая ; 1738 ;  ; Cu ; F-VF ; 70 ; alno51 ; 478 
 2035 ; 50 сантимов. Французская территория. Камбоджа ; 1860 ;  ; Ag ; VF- ; 64 ; overshtag ; 1928 
 2036 ; 10 эскудо. Португальская колония. Сан-Томе и Принсипи ; 1939 ;  ; Ag ; VF+ ; 23 ; overshtag ; 1438 
 1937 ; 2 гульдена. Франкфурт на Майне. 100 лет со дня рождения Гете ; 1849 ;  ; Ag ; AU ; 96 ; Вилкофф ; 5535 
 1938 ; 1 гульден. Бавария ; 1861 ;  ; Ag ; XF- ; 29 ; Mick 1 ; 1298 
 1939 ; 1 гульден. Бавария ; 1866 ;  ; Ag ; XF ; 37 ; нл ; 1798 
 1940 ; 1/2 гульдена. Франкфурт на Майне ; 1841 ;  ; Ag ; VF+ ; 84 ; abrek112 ; 585 
 1941 ; 5 марок. Пруссия ; 1876A ;  ; Ag ; F-VF ; 15 ; abrek112 ; 647 
 1942 ; 5 марок. Саксония ; 1914Е ;  ; Ag ; XF/AU ; 55 ; 131026000 ; 1591 
 1943 ; 5 марок. Веймар. 1000 лет Рейнланду ; 1925F ;  ; Ag ; AU ; 31 ; oae79 ; 3226 
 1944 ; 5 марок. Германия. 450 лет со дня рождения Мартина Лютера ; 1933G ;  ; Ag ; VF-XF ; 66 ; VladVK ; 3468 
 1945 ; 5 марок. Германия. Пауль фон Гинденубрг ; 1935Е ;  ; Ag ; F-VF ; 8 ; SOS ; 240 
 1946 ; 3 марки. Пруссия ; 1909А ;  ; Ag ; VF-XF ; 24 ; vepps ; 513 
 1947 ; 3 марки. Вюртемберг ; 1909F ;  ; Ag ; VF+ ; 4 ; Rober ; 694 
 1948 ; 3 марки. Бавария ; 1911D ;  ; Ag ; XF- ; 29 ; voronok ; 541 
 1949 ; 3 марки. Вюртемберг. Серебряная годовщина свадьбы ; 1911F ;  ; Ag ; AU ; 25 ; К215 ; 1231 
 1950 ; 3 марки. Гамбург ; 1911J ;  ; Ag ; XF/AU ; 32 ; Tche ; 1296 
 1951 ; 3 марки. Веймар. 1000 лет Рейнланду ; 1925А ;  ; Ag ; XF+ ; 31 ; vvp500 ; 1651 
 1952 ; 2 марки. Пруссия ; 1893A ;  ; Ag ; VF ; 51 ; abrek112 ; 394 
 1953 ; 2 марки. Вюртемберг ; 1893F ;  ; Ag ; VF ; 66 ; abrek112 ; 614 
 1954 ; 2 марки. Пруссия ; 1899A ;  ; Ag ; VF-XF ; 77 ; abrek112 ; 717 
 1955 ; 2 марки. Пруссия ; 1902A ;  ; Ag ; VF ; 33 ; Sterh ; 270 
 1956 ; 2 марки. Бавария ; 1903D ;  ; Ag ; VF/XF ; 33 ; jj ; 509 
 1957 ; 2 марки. Пруссия ; 1904A ;  ; Ag ; VF ; 27 ; Rober ; 362 
 1958 ; 2 марки. Пруссия ; 1907A ;  ; Ag ; VF/XF ; 25 ; abrek112 ; 385 
 1959 ; 2 марки. Пруссия ; 1908A ;  ; Ag ; VF ; 40 ; Вилкофф ; 375 
 1960 ; 2  марки. Церковь в Потсдаме. Подписная кирха. Германия ; 1934A ;  ; Ag ; VF ; 21 ; vepps ; 338 
 1961 ; 2 марки. Германия. Подписная кирха ; 1934А ;  ; Ag ; VF- ; 29 ; 131026000 ; 363 
 1962 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937А ;  ; Ag ; AU ; 30 ; валери ; 147 
 1963 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938В ;  ; Ag ; XF+ ; 30 ; вий444 ; 183 
 1964 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938В ;  ; Ag ; VF-XF ; 21 ; igor6353 ; 206 
 1965 ; 1 марка. Веймар ; 1925D ;  ; Ag ; XF- ; 87 ; GANS ; 907 
 1966 ; 1/2 марки. Германия ; 1905A ;  ; Ag ; VF ; 32 ; aspt ; 61 
 1967 ; 1/2 марки. Германия ; 1905A ;  ; Ag ; F-VF ; 16 ; Fusion ; 62 
 1968 ; 1/2 марки. Германия ; 1906D ;  ; Ag ; VF- ; 63 ; Sterh ; 75 
 1969 ; 1/2 марки. Германия ; 1906G ;  ; Ag ; VF- ; 21 ; igor6353 ; 69 
 1970 ; 20 крейцеров. Австрия ; 1765 ;  ; Ag ; VF ; 25 ; wolikaz ; 564 
 1971 ; 4 мариенгроша. Брауншвейг-Люнебург-Каленберг-Ганновер ; 1756IBH ;  ; Ag ; VF+ ; 70 ; oae79 ; 2568 
 1972 ; 2 1/2 гроша. Пруссия ; 1843 ;  ; Ag ; F ; 44 ; никсер ; 125 
 1973 ; 1 марка. Германия ; 1937G ;  ; Ni ; AU/XF ; 96 ; GANS ; 816 
 1974 ; 10 пфеннигов. Данциг ; 1923 ;  ; Ni ; VF-XF ; 102 ; alno51 ; 457 
 1975 ; 10 пфеннигов. Данциг ; 1932 ;  ; Al/Br ; VF+ ; 73 ; alno51 ; 393 
 1976 ; 5 пфеннигов. Данциг ; 1932 ;  ; Al/Br ; VF+ ; 53 ; Rober ; 259 
 1977 ; 10 пфеннигов. Германия ; 1921 ;  ; Zn ; VF ; 18 ; вий444 ; 62 
 1978 ; 10 пфеннигов. Германия ; 1940 ;  ; Zn ; VF- ; 57 ; вий444 ; 107 
 1979 ; 5 пфеннигов. Германия ; 1875D ;  ; Cu/Ni ; VF+ ; 8 ; 1269532 ; 57 
 1980 ; 5 пфеннигов. Германия ; 1894А ;  ; Cu/Ni ; VF ; 31 ; kostian ; 50 
 1981 ; 5 пфеннигов. Германия ; 1917А ;  ; Fe ; VF- ; 5 ; kostian ; 50 
 1982 ; 5 пфеннигов. Германия ; 1941 ;  ; Zn ; VF- ; 39 ; вий444 ; 126 
 1983 ; 4 пфеннига. Веймар ; 1932А ;  ; Br ; XF+ ; 61 ; Eddy ; 750 
 1984 ; 2 пфеннига. Германия ; 1875G ;  ; Cu ; F-VF ; 13 ; kostian ; 20 
 1985 ; 2 пфеннига. Германия ; 1912J ;  ; Cu ; XF+ ; 10 ; 1269532 ; 65 
 1986 ; 2 пфеннига. Веймар ; 1923D ;  ; Br ; VF-XF ; 14 ; abrek112 ; 65 
 1856 ; 50 рублей ; 1992 ; ЛМД Биметалл ; Cu-Zn/Cu-N ; AU ; 2 ; кириков ; 3 
 1857 ; 10 рублей ; 1991 ; ЛМД Биметалл ; Cu-Zn/Cu-N ; VF-XF ; 1 ; olimpic74 ; 2 
 1858 ; 50 рублей. Красная книга. Песчаный слепыш ; 1994 ;  ; Би/м ; AU ; 33 ; 001951 ; 354 
 1859 ; 50 рублей. Красная книга. Джейран ; 1994 ;  ; Би/м ; AU ; 61 ; НУ-НУ ; 500 
 1860 ; 5 рублей. Магнитные ; 2009СПМД ;  ; St/Ni ; AU ; 26 ; pete ; 27 
 1861 ; 2 рубля. Магнитные ; 2009СПМД ;  ; St/Ni ; AU ; 41 ; shknikolay ; 55 
 1862 ; 1 рубль - 1 доллар. Разоружения ; 1988 ;  ; Al ; XF- ; 52 ; Седой ; 313 
 1863 ; Жетон. ММД. Упаковка ;  ;  ; Al ; Unc/AU ; 20 ; sveta6369 ; 21 
