 6032 ; Бона иностранная Камбоджия ;  ;  ;  ; AU ; 16 ; джон08 ; 42 
 5083 ; 15 копеек. Квартблок. ; 1915 ; Деньги-марки ;  ; AU ; 36 ; swydeger ; 526 
 4300 ; Лот монет Польши: 5 злотых (2шт) ; 1959,1960 ;  ; Al ; VF ; 43 ; СЁМА ; 44 
 4301 ; Лот монет Тайланда: 5шт ;  ;  ; Cu-Ni,Би/м,Лат ; VF+/XF ; 16 ; Orlov1504 ; 67 
 4302 ; Лот монет ГДР: 7шт ;  ;  ; Cu-Ni ; VF+/XF ; 9 ; S-har ; 227 
 4303 ; Лот монет Индии: 6шт ;  ;  ; Cu-Ni,St ; XF ; 54 ; alexandr1968 ; 102 
 4304 ; Лот монет Шри-Ланки: 8шт ;  ;  ; Cu-Ni,Al ; VF/XF ; 51 ; 312 ; 165 
 4305 ; Лот монет Дании, Финляндии, Германии, Норвегии (11шт) ;  ;  ; Al/Br,Cu-Ni ; F/XF ; 39 ; element ; 78 
 4306 ; Лот монет Кореи: 3шт ;  ;  ; cu-Ni,Лат, ; XF/AU ; 8 ; element ; 57 
 4307 ; Лот монет Германии (11шт) ; 1910-1939 ;  ; Al/Br,Al,Cu/Ni ; VF/XF ; 55 ; banks ; 1114 
 4308 ; Лот монет Германии (4шт) ; 1874-1889 ;  ; Cu/Ni,Cu ; VF ; 23 ; SirPi ; 215 
 4309 ; Лот монет Кипра: 12шт ;  ;  ; Al/Br,Br,Al,Cu- ; VF/VF+ ; 19 ; Andy M ; 81 
 4310 ; Лот монет Японии: 15шт ;  ;  ; Al ; F/VF ; 13 ; karl ; 222 
 4311 ; Лот иностранных монет (14шт) ; 1942-1993 ;  ; Cu/Ni,Al, Лат ; VF ; 68 ; Dahan ; 163 
 4312 ; Лот монет Дании: 30шт ;  ;  ; Br,Zn,Al ; F/VF ; 68 ; DVZ ; 450 
 4313 ; Лот монет ФРГ: 24шт ;  ;  ; Br,лат ; XF ; 20 ; Jek327 ; 44 
 4314 ; Лот монет Швейцарии: 100шт ;  ;  ; Cu-Ni,Латунь ; VF-XF/XF ; 6 ; alexandr1968 ; 367 
 4315 ; Лот монет Словакии: 30шт ;  ;  ; Cu-Ni,Латунь ; VF/XF ; 9 ; DaMon15 ; 135 
 4316 ; Лот монет США: 51шт ;  ;  ; Cu-Zn ; VF/XF ; 28 ; Варзуга ; 308 
 5001 ; 1 копейка ; 1917 ; Деньги-марки ;  ;  ; 17 ; S-har ; 63 
 5002 ; 2 копейки ; 1917 ; Деньги-марки ;  ;  ; 7 ; S-har ; 63 
 5003 ; 3 копейки ; 1917 ; Деньги-марки ;  ;  ; 7 ; ирренн ; 204 
 5004 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 7 ; я8844 ; 53 
 5005 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 5 ; я8844 ; 31 
 5006 ; 20 копеек ; 1915 ; Деньги-марки ;  ;  ; 12 ; moneta1924 ; 86 
 5007 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 27 ; kdn7 ; 132 
 5008 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 33 ; swydeger ; 90 
 5009 ; 40 рублей ;  ; Денежные знаки ;  ;  ; 20 ; gdrg2 ; 71 
 5010 ; 15 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 27 ; S-har ; 371 
 5011 ; 50 копеек ; 1919 ;  ;  ;  ; 16 ; S-har ; 227 
 5012 ; 100 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 41 ; flutter ; 450 
 5013 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 9 ; середа ; 100 
 5014 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 29 ; LAL ; 388 
 5015 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 7 ; DmitriPartei ; 132 
 5016 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 19 ; DmitriPartei ; 132 
 5017 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 12 ; филипок ; 73 
 5018 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 11 ; DIMA 57 ; 99 
 5019 ; 40 рублей. Квартблок. ;  ; Денежные знаки ;  ;  ; 10 ; kdn7 ; 204 
 5020 ; 20 рублей. Квартблок. ;  ; Денежные знаки ;  ;  ; 16 ; kdn7 ; 204 
 5021 ; 25 рублей. Одесса. С в.з. ; 1917 ;  ;  ;  ; 17 ; ек ; 488 
 5022 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 8 ; SANGOLD1 ; 45 
 5023 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 5 ; я8844 ; 34 
 5024 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 5 ; bonipari ; 45 
 5025 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 11 ; я8844 ; 36 
 5026 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 12 ; kronk ; 45 
 5027 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 39 ; филипок ; 120 
 5028 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 20 ; Mordaxa ; 124 
 5029 ; 200 рублей ; 1919 ;  ;  ;  ; 42 ; ЛАВ-13 ; 827 
 5030 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 24 ; опохмелов ; 255 
 5031 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 14 ; UT ; 114 
 5032 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 21 ; majkl ; 69 
 5033 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; majkl ; 104 
 4250 ; Лот монет США: 12шт ;  ;  ; Cu-Ni ; VF/VF+ ; 6 ; Mike! ; 131 
 4251 ; Лот монет Польши и Дании: 17шт ;  ;  ; Cu-Ni,Al ; VF/VF- ; 28 ; Mike! ; 45 
 4252 ; Лот монет Украины: 5шт ;  ;  ; Al/Br ; XF/AU ; 10 ; кабачок ; 102 
 4253 ; Лот евромонет Словении (6шт) ;  ;  ; Cu/St,Лат ; VF+/XF ; 41 ; 122555 ; 216 
 4254 ; Лот монет Грузии (9шт) ;  ;  ; Лат,St ; XF/AU ; 71 ; heavy_fly ; 234 
 4255 ; Лот монет США (4шт) ;  ;  ; Cu-Ni ; XF ; 17 ; alexandr1968 ; 72 
 4256 ; Лот монет Хорватии (5шт) ;  ;  ; Cu-Ni ; VF/XF ; 38 ; teso ; 181 
 4257 ; Лот евромонет Словакии (8шт) ;  ;  ; Cu/St,Лат,Би/м ; VF+/XF ; 29 ; кс ; 443 
 4258 ; Лот монет Тайвань (8шт) ;  ;  ; Cu-Ni ; XF/AU ; 21 ; Серж PirGS ; 153 
 4259 ; Лот монет США: 16шт ;  ;  ; Cu-Ni ; VF/XF ; 5 ; Mike! ; 76 
 4260 ; Лот монет Венгрии (7шт) ;  ;  ; Лат,St ; VF/VF+ ; 46 ; alexandr1968 ; 57 
 4261 ; Лот монет Израиля (20шт) ;  ;  ; Лат ; VF+/XF+ ; 19 ; zahar04 ; 63 
 4262 ; Лот евромонет Люксембурга (7шт) ;  ;  ; Cu/St,Лат,Би/м ; VF+/XF ; 16 ; S-har ; 413 
 4263 ; Лот евромонет Мальты (5шт) ;  ;  ; Cu/St,Лат ; VF+/XF ; 27 ; можетмнесгодиться ; 157 
 4264 ; Лот монет Турции (20шт) ;  ;  ; Лат ; VF+/XF ; 39 ; ANGEL 23 ; 116 
 4265 ; Лот монет Швеции (3шт) ;  ;  ; Cu-Ni ; XF ; 12 ; SirPi ; 36 
 4266 ; Лот монет Дании, Швеции, Австрии (3шт) ;  ;  ; Al ; VF-XF ; 33 ; DVZ ; 100 
 4267 ; Лот монета Швеции, Дании (8шт) ;  ;  ; Br ; VF-XF ; 27 ; YAV71 ; 195 
 4268 ; Лот монет Бельгии, Нидерланды, Финляндии, Швейцарии, Испании (9шт) ;  ;  ; Cu-Ni,Ni ; XF-AU ; 47 ; element ; 73 
 4269 ; Лот монет Великобритании (4шт) ;  ;  ; Cu-Ni ; XF-AU ; 58 ; bcg ; 204 
 4270 ; Лот монет Италии, Бельгии, Испании (10шт) ;  ;  ; Cu-Ni,St,Al ; XF-AU ; 15 ; ANGEL 23 ; 51 
 4271 ; Лот монет Австрии, Нидерланды, Бельгии (8шт) ;  ;  ; Zn ; VF-XF ; 23 ; кот баюн ; 160 
 4272 ; Лот монет Нидерландской Индии: 5шт ; 1897-1945 ;  ; Br ; F ; 15 ; Вадим Старый ; 175 
 4273 ; Лот монет Фиджи, Австралии: 15шт ;  ;  ; Cu-Ni,Br,Лат ; VF/XF ; 13 ; alexandr1968 ; 278 
 4274 ; Лот монет ГДР: 4шт ;  ;  ; Al ; XF/VF ; 25 ; нв1975 ; 153 
 4275 ; Лот монет Индии и Израиля: 13шт ;  ;  ; Cu-Ni,St,Лат,Сu ; VF ; 17 ; kornum ; 157 
 4276 ; Лот монет Греции: 14шт ;  ;  ; Cu-Ni,Al,Al/Br ; VF/XF ; 25 ; hugo ; 714 
 4277 ; Лот монет Маврикия: 9шт ;  ;  ; Cu-Ni ; VF/XF ; 16 ; lirik ; 255 
 4278 ; Лот монет Финляндии: 21шт ;  ;  ; Cu-Ni,Al/Br ; VF/VF-XF ; 7 ; zahar04 ; 67 
 4279 ; Лот монет Португалии: 6шт ;  ;  ; Cu,Cu-Ni ; VF/XF ; 25 ; юрий73 ; 204 
 4280 ; Лот монет Латвии: 20шт ;  ;  ; Br ; VF+/XF+ ; 25 ; element ; 51 
 4281 ; Лот монет Испании и и США (2шт) ; 1957,1971 ;  ; Cu/Ni ; VF ; 28 ; кот баюн ; 44 
 4282 ; Лот монет Монголии: 4шт ; 1937 ;  ; Cu-Ni,Br ; VF+ ; 54 ; СТРЕКОЗА ; 475 
 4283 ; Лот монет Германии: 3шт ; 1975-1989 ;  ; Cu-Ni ; VF ; 31 ; NL.minkki ; 260 
 4284 ; Лот монет Исландии (4шт) ; 1967-1975 ;  ; Лат,Al,Cu/Ni ; XF/XF+ ; 43 ; кот баюн ; 94 
 4285 ; Лот монет Литвы: 37шт ;  ;  ; br,Al,лат ; VF/XF ; 18 ; Anat-tall ; 47 
 4286 ; Лот монет. 5 штук. Британские Виргинские острова ;  ;  ; Б/м, ж/м ; AU ; 25 ; teso ; 503 
 4287 ; Лот монет Тайланда и Южной Кореи: 22 ;  ;  ; Cu-Ni,Би/м,Лат ; VF/XF ; 86 ; alexandr1968 ; 255 
 4288 ; Лот монет Польши: 22шт ;  ;  ; Cu-Ni,Би/м,Лат ; VF/XF ; 44 ; hugo ; 281 
 4289 ; Лот монет Венесуэлы: 10,50 сентимо, 1 боливар (3шт) ; 2007-2009 ;  ; Cu-Ni,Би/м ; VF/XF ; 41 ; element ; 79 
 4290 ; Лот монет Франции (10шт) ; 1866-1941 ;  ; Cu,Al/Br ; F/VF ; 40 ; кот баюн ; 181 
 4291 ; Лот монет Маврикия: 20 центов, 1/2,1,5,10 рупий (5шт) ; 1992-2004 ;  ; Cu-Ni ; XF ; 41 ; element ; 173 
 4292 ; Лот монет Уганда: 100 шиллингов (5шт) ;  ;  ; St ; AU ; 44 ; element ; 238 
 4293 ; Лот монет Японии: 4шт ;  ;  ; Zn ; F-VF ; 51 ; NL.minkki ; 104 
 4294 ; Лот монет Японии: 5шт ;  ;  ; Al ; VF/VF+ ; 45 ; ag58 ; 104 
 4295 ; Лот монет Чехословакии: 22шт ;  ;  ; Cu-Ni,Al,Al/Br ; VF/XF ; 28 ; Schwer ; 506 
 4296 ; Лот монет Польши: 9шт ;  ;  ; Cu-Ni,Би/м,Al ; VF/XF ; 10 ; hugo ; 239 
 4297 ; Лот монет Германии: 10 пфеннигов (8шт) ;  ;  ; Cu-Ni ; VF ; 19 ; qver ; 153 
 4298 ; Лот монет Филиппин, Мальдив и Вануату: 21шт ;  ;  ; Cu-Ni,Би/м,Лат ; VF/XF ; 36 ; YAV71 ; 461 
 4299 ; Лот монет Греции, Финляндии и ГДР:18шт ;  ;  ; Cu-Ni,Br,Лат ; VF/XF ; 93 ; alexandr1968 ; 152 
 4200 ; Набор монет Новой Зеландии: 6шт. Буклет ; 1980-1982 ;  ; Cu-Ni,Br ; AU ; 16 ; sveta6369 ; 424 
 4201 ; Набор монет Новой Каледонии: 7шт. Буклет ; 1983-1987 ;  ; Cu-Ni,Al/Br,Al ; AU ; 26 ; СТРЕКОЗА ; 603 
 4202 ; Набор монет Нидерландских Антилл: 7шт. Буклет ; 1982,1984 ;  ; Cu-Ni,Al ; AU ; 32 ; СТРЕКОЗА ; 381 
 4203 ; Набор монет Японии: 6шт. Буклет ;  ;  ; Cu-Ni,Br,Al,Al/ ; AU ; 28 ; sveta6369 ; 340 
 4204 ; Набор монет Люксембурга: 4шт. Буклет ; 1980-1982 ;  ; Cu-Ni,Al/Br ; AU/XF ; 23 ; sveta6369 ; 232 
 4205 ; Набор монет Ливана: 5шт. Буклет ; 1975-1981 ;  ; Cu-Ni,Al/Br ; AU ; 36 ; v_bond ; 305 
 4206 ; Набор монет Кореи: 5шт. Буклет ; 1971-1983 ;  ; Cu-Ni,Al/Br,Al ; AU/XF ; 29 ; Хаа ; 305 
 4207 ; Набор монет Кирибати: 7шт. Буклет ; 1979 ;  ; Cu-Ni,Br ; AU ; 50 ; Экзот ; 1711 
 4208 ; Набор монет Мозамбик: 6шт. Буклет ; 1980-1982 ;  ; Cu-Ni,Al/Br,Al ; AU ; 33 ; Хаа ; 738 
 4209 ; Набор монет Либерии: 6шт. Буклет ; 1968-1984 ;  ; Cu-Ni,Br ; AU ; 49 ; СТРЕКОЗА ; 793 
 4210 ; Набор монет Малайзии: 5шт. Буклет ; 1981-1983 ;  ; Cu-Ni,Br ; AU ; 34 ; Хаа ; 453 
 4211 ; Набор монет Мальдив: 6шт. Буклет ; 1982-1984 ;  ; Cu-Ni,Al/Br,Al ; AU ; 30 ; Хаа ; 385 
 4212 ; Набор монет Бельгии: 5шт. Буклет ; 1981-1998 ;  ; Cu-Ni,Al/Br ; VF/XF ; 13 ; СТРЕКОЗА ; 139 
 4213 ; Набор монет Нидерландов: 6шт. Буклет ;  ;  ; Cu-Ni,Al ; VF-/XF ; 10 ; mask ; 111 
 4214 ; Набор монет Австрии: 5шт. Буклет ; 1976-1997 ;  ; Cu-Ni,Al,Al/Br ; VF/XF ; 9 ; kost ; 114 
 4215 ; Набор монет Ватикана (Проба):2,1 евро, 50,20,10,5,2,1 евроцент (8шт) ; 2005 ;  ; Би/м,Лат,Cu/St ; AU ; 22 ; sahakala ; 532 
 4216 ; Набор монет Лихтенштейна (Проба):2,1 евро, 50,20,10,5,2,1 евроцент (8шт) ; 2005 ;  ; Би/м,Лат,Cu/St ; AU ; 15 ; banks ; 579 
 4217 ; Набор монет Ватикана (Проба):2,1 евро, 50,20,10,5,2,1 евроцент (8шт) ; 2006 ;  ; Би/м,Лат,Cu/St ; AU ; 37 ; yas ; 453 
 4218 ; Набор монет Ватикана (Проба):2,1 евро, 50,20,10,5,2,1 евроцент (8шт) ; 2002 ;  ; Би/м,Лат,Cu/St ; AU ; 40 ; bcg ; 725 
 4219 ; Набор монет Израиля: 6шт. Пластиковая упаковка, сертификат ; 1975 ;  ; Cu-Ni,Al ; AU ; 18 ; hanim ; 180 
 4220 ; Набор монет Израиля: 6шт. Пластиковая упаковка, сертификат ; 1973 ;  ; Cu-Ni,Al ; AU ; 22 ; Xelper ; 357 
 4221 ; Набор монет Израиля: 6шт. Пластиковая упаковка, сертификат ; 1976 ;  ; Cu-Ni,Al ; AU ; 12 ; Walther ; 169 
 4222 ; Набор монет Израиля: 6шт. Пластиковая упаковка, сертификат ; 1974 ;  ; Cu-Ni,Al ; AU ; 31 ; 1023oxana ; 279 
 4223 ; Набор монет Израиля: 6шт. Пластиковая упаковка, сертификат ; 1975 ;  ; Cu-Ni,Al ; AU ; 10 ; Walther ; 164 
 4224 ; Лот евромонет: 2 цента (100шт) ;  ;  ; Cu/St ; VF+/XF+ ; 14 ; 6719 ; 148 
 4225 ; Лот евромонет: 1 цент (100шт) ;  ;  ; Cu/St ; VF+/XF+ ; 29 ; как только ; 186 
 4226 ; Лот монет иностранных: 41шт ;  ;  ; Cu-Ni, Al/Br,Zn ; VF/VF+ ; 22 ; Vol4en0k ; 414 
 4227 ; Лот монет Австрии: 75шт ;  ;  ; Al ; VF/XF ; 3 ; zahar04 ; 100 
 4228 ; Лот монет иностранных: 53шт ;  ;  ; Cu-Ni,Al/Br,Br ; VF/XF ; 27 ; Vol4en0k ; 408 
 4229 ; Лот монет Греции: 19шт ;  ;  ; Al/Br,Cu-Ni ; VF/VF-XF ; 55 ; alexandr1968 ; 159 
 4230 ; Лот монет иностранных: 23шт ;  ;  ; St,Cu-Ni,Al/Br ; А/VF-XF ; 33 ; Vol4en0k ; 204 
 4231 ; Лот монет Китая (9шт) ;  ;  ; Лат,St ; XF/AU ; 32 ; 6719 ; 67 
 4232 ; Лот евромонет: 2 цента (10шт) ;  ;  ; Cu/St ; VF+/XF+ ; 20 ; всыня ; 68 
 4233 ; Лот евромонет Кипра (6шт) ;  ;  ; Cu/St,Лат ; VF+/XF ; 14 ; element ; 98 
 4234 ; Лот евромонет Бельгии (8шт) ;  ;  ; Cu/St,Лат,Би/м ; VF+/XF ; 46 ; nivva ; 452 
 4235 ; Лот монет США: 20шт ;  ;  ; Br ; VF/VF-XF ; 9 ; Mike! ; 102 
 4236 ; Лот монет иностранных: 34шт ;  ;  ; Cu-Ni,Al/Br,Al ; F/VF-XF ; 67 ; Vol4en0k ; 282 
 4237 ; Лот монет иностранных: 35шт ;  ;  ; Cu-Ni,Al/Br,Al ; VF/XF ; 40 ; Vol4en0k ; 244 
 4238 ; Лот монет Испании: 4шт ;  ;  ; Cu-Ni,Al/Br ; VF/VF-XF ; 14 ; Mike! ; 89 
 4239 ; Лот монет Германии: 43шт ;  ;  ; Cu-Ni, Al/Br,Al ; F/AU ; 21 ; alexandr1968 ; 1134 
 4240 ; Лот монет Канады: 3шт ;  ;  ; Br ; VF ; 53 ; STANDART ; 144 
 4241 ; Лот монет иностранных: 36шт ;  ;  ; Cu-Ni,Al/Br,Al ; F/VF ; 46 ; Vol4en0k ; 248 
 4242 ; Лот монет Греции: 5шт ;  ;  ; Cu-Ni ; VF/VF-XF ; 32 ; СТРЕКОЗА ; 104 
 4243 ; Лот монет Греции: 10шт ;  ;  ; Cu-Ni,Al/Br ; XF/AU ; 50 ; alexandr1968 ; 320 
 4244 ; Лот монет Испании: 11шт ;  ;  ; Латунь ; VF/XF ; 36 ; кот баюн ; 242 
 4245 ; Лот монет Италии и Франции: 13шт ;  ;  ; Cu ; VG/F ; 12 ; кот баюн ; 340 
 4246 ; Лот монет Италии: 15шт ;  ;  ; St,Al,Cu-Ni,Br,Ag ; VF-/VF-XF ; 61 ; Mike! ; 1223 
 4247 ; Лот монет США и Канады: 31шт ;  ;  ; Cu-Ni,br ; VF/VF-XF ; 27 ; YAV71 ; 182 
 4248 ; Лот монет Испании: 6шт ;  ;  ; Cu-Ni,Al/br ; AU ; 61 ; Mike! ; 273 
 4249 ; Лот монет иностранных: 32шт ;  ;  ; Cu-Ni, Al/Br ; VF/VF-XF ; 28 ; Vol4en0k ; 241 
 4150 ; 10 марок. ФРГ. . Музей Стральзунда. Буклет ; 2001А ;  ; Ag ; AU ; 21 ; Alekss_27 ; 735 
 4151 ; 10 марок. ФРГ. 50 лет конституции. Буклет ; 1999D ;  ; Ag ; AU ; 13 ; Фома ; 636 
 4152 ; 10 марок. ФРГ. Гете. Буклет ; 1999F ;  ; Ag ; AU ; 23 ; Фома ; 709 
 4153 ; Набор монет Греции: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт). Буклет ; 2002 ;  ; Би/м,Лат,Cu/St ; AU ; 35 ; nivva ; 416 
 4154 ; Набор монет Испании: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт). Буклет ; 1999-2002 ;  ; Би/м,Лат,Cu/St ; AU ; 37 ; прохожий ; 472 
 4155 ; Набор монет Австрии: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт). Буклет ; 2002 ;  ; Би/м,Лат,Cu/St ; AU ; 16 ; nivva ; 478 
 4156 ; Набор монет Португалии: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт). Буклет ; 2002 ;  ; Би/м,Лат,Cu/St ; AU ; 24 ; nivva ; 669 
 4157 ; Набор монет Финляндии: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт). Буклет ; 2001 ;  ; Би/м,Лат,Cu/St ; AU ; 34 ; dsp ; 740 
 4158 ; Набор монет Люксембурга: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт). Буклет ; 2002 ;  ; Би/м,Лат,Cu/St ; AU ; 18 ; lers ; 818 
 4159 ; 5 интис. Перу. Конверт, марка ; 1988 ;  ; Cu-Ni ; AU ; 33 ; sampler22 ; 72 
 4160 ; 5 колонов. Коста-Рика. Конверт, марка ; 1989 ;  ; St ; XF ; 31 ; sampler22 ; 73 
 4161 ; 20 марок. ГДР. Генрих Манн. Конверт, марка ; 1971 ;  ; Cu-Ni ; AU ; 22 ; FonPaul ; 135 
 4162 ; Набор монет США: 1,1/2,1/4 доллара, 1 дайм, 5,1 цент (6шт). Буклет ; 1979-1994 ;  ; Cu-Ni,Br ; AU ; 20 ; dim66 ; 128 
 4163 ; Набор монет Ботсваны: 7шт. Буклет ; 1981-1984 ;  ; Cu-Ni,Br,Al ; AU ; 43 ; niki ; 642 
 4164 ; Набор монет Великобритании: 7шт. Буклет ; 1986 ;  ; Cu-Ni,Br,Латунь ; AU ; 20 ; sveta6369 ; 481 
 4165 ; Набор монет Египта: 6шт. Буклет ; 1972-1980 ;  ; Cu-Ni,AlBr ; AU/VF-XF ; 31 ; Экзот ; 345 
 4166 ; Набор монет ОАЭ: 6шт. Буклет ; 1982-1986 ;  ; Cu-Ni,Br ; AU/VF-XF ; 21 ; sveta6369 ; 370 
 4167 ; Набор монет Болгарии: 6шт. Буклет ; 1974 ;  ; Cu-Ni,Br ; AU ; 9 ; v_bond ; 108 
 4168 ; Набор монет Исландии: 6шт. Буклет ; 1981-1984 ;  ; Cu-Ni,Br ; AU ; 27 ; sveta6369 ; 340 
 4169 ; Набор монет Швеции: 4шт. Буклет ; 1985 ;  ; Cu-Ni ; AU ; 9 ; sveta6369 ; 123 
 4170 ; Набор монет Восточных Карибских штатов: 7шт. Буклет ; 1965-1983 ;  ; Cu-Ni,Br,Al ; AU/XF ; 44 ; sveta6369 ; 644 
 4171 ; Набор монет Южной Африки: 7шт. Буклет ; 1981-1984 ;  ; Cu-Ni,Br ; AU ; 23 ; vb96 ; 453 
 4172 ; Набор монет Португалии: 4шт. Буклет ; 1981-1984 ;  ; Cu-Ni,Al/Br ; AU ; 16 ; dim66 ; 161 
 4173 ; Набор монет Албании: 5шт. Буклет ; 1969 ;  ; Al ; AU ; 24 ; vb96 ; 805 
 4174 ; Набор монет Люксембурга: 4шт. Буклет ; 1980-1983 ;  ; Cu-Ni,Al/Br ; AU ; 11 ; sveta6369 ; 171 
 4175 ; Набор монет Доминиканы: 6шт. Буклет ; 1983-1984 ;  ; Cu-Ni,Br ; AU ; 44 ; Хаа ; 850 
 4176 ; Набор монет Эфиопии: 5шт. Буклет ;  ;  ; Cu-Ni,Латунь,Al ; AU ; 43 ; Хаа ; 582 
 4177 ; Набор монет Югославии: 6шт. Буклет ; 1982-1983 ;  ; Cu-Ni,Br,латунь ; AU/XF ; 14 ; СТРЕКОЗА ; 105 
 4178 ; Набор монет Маврикия: 7шт. Буклет ; 1978 ;  ; Cu-Ni,Br ; AU ; 33 ; СТРЕКОЗА ; 987 
 4179 ; Набор монет ЮАР: 7шт. Буклет ; 1983-1984 ;  ; Cu-Ni,Br ; AU ; 70 ; alexvy ; 1388 
 4180 ; Набор монет Сингапура: 6шт. Буклет ; 1981-1984 ;  ; Cu-Ni,Br ; AU ; 31 ; СТРЕКОЗА ; 678 
 4181 ; Набор монет Болгарии: 6шт. Буклет ; 1974 ;  ; Cu-Ni,Br ; AU ; 12 ; S-har ; 131 
 4182 ; Набор монет Канады: 6шт. Буклет ; 1984 ;  ; Cu-Ni,Br ; AU ; 29 ; Хаа ; 509 
 4183 ; Набор монет Монголии: 8шт. Буклет ;  ;  ; Cu-Ni,Al/Br,Al ; AU/VF-XF ; 33 ; Хаа ; 618 
 4184 ; Набор монет Венгрии: 9шт. Буклет ; 1978 ;  ; Cu-Ni,Al/Br,al ; AU ; 43 ; dencon ; 859 
 4185 ; Набор монет Ирландии: 6шт. Буклет ; 1980-1982 ;  ; Cu-Ni,Br ; AU ; 37 ; sveta6369 ; 463 
 4186 ; Набор монет Индонезии: 7шт. Буклет ; 1970-1979 ;  ; Cu-Ni,Al ; AU ; 33 ; Хаа ; 466 
 4187 ; Набор монет Острова Мэн: 7шт. Буклет ; 1988 ;  ; Cu-Ni,Br ; VF-XF/AU ; 13 ; Экзот ; 629 
 4188 ; Набор монет Мали: 5шт. Буклет ; 1961-1976 ;  ; Al,Al/Br ; AU ; 100 ; niki ; 1405 
 4189 ; Набор монет Макао: 5шт. Буклет ; 1982 ;  ; Cu-Ni,Al/Br ; AU/XF ; 75 ; niki ; 855 
 4190 ; Набор монет Мальты: 9шт. Буклет ; 1972-1982 ;  ; Cu-Ni,Br,Al ; AU ; 51 ; dencon ; 867 
 4191 ; Набор монет Маврикия: 7шт. Буклет ; 1978 ;  ; Cu-Ni,Br ; AU ; 99 ; niki ; 1318 
 4192 ; Набор монет Джерси: 7шт. Буклет ; 1984,1985 ;  ; Cu-Ni,Br ; AU ; 32 ; alexvy ; 1121 
 4193 ; Набор монет Мексики: 7шт. Буклет ; 1984-1985 ;  ; Cu-Ni,Br ; AU/XF ; 41 ; Хаа ; 769 
 4194 ; Набор монет Марокко: 7шт. Буклет ; 1974-1980 ;  ; Cu-Ni,Al/Br,Al ; AU ; 28 ; Хаа ; 738 
 4195 ; Набор монет Непала: 5шт. Буклет ;  ;  ; Cu-Ni,Al ; AU ; 39 ; Хаа ; 377 
 4196 ; Набор монет Нидерландов: 5шт. Буклет ; 1982-1984 ;  ; Cu-Ni,Br ; AU ; 32 ; Вадим Старый ; 227 
 4197 ; Набор монет Бирмы: 6шт. Буклет ;  ;  ; Cu-Ni,Al/Br,Al ; AU ; 37 ; Хаа ; 579 
 4198 ; Набор монет Лесото: 7шт. Буклет ; 1979-1983 ;  ; Cu-Ni,Al/Br ; AU ; 41 ; СТРЕКОЗА ; 813 
 4199 ; Набор монет Норвегии: 6шт. Буклет ; 1982 ;  ; Cu-Ni,Br ; AU/XF ; 32 ; natpulkovo ; 223 
 4100 ; Набор монет Чехии: 50,20,10,5,2,1 крона, 50,20,10 хеллеров (9шт). Пластиковая упаковка ; 1994 ;  ; Би/м,Br,Al ; AU ; 38 ; Schwer ; 503 
 4101 ; Набор монет Вьетнама: 5шт ;  ;  ; Cu-Ni,Лат ; VF/XF ; 39 ; ag58 ; 168 
 4102 ; Набор монет Украины: 1 гривна, 50,25,10,5,2,1 коп (7шт) + жетон. Пластиковая упаковка ; 2014 ;  ; Ni/St,Лат ; Proof/AU ; 16 ; ростов ; 798 
 4103 ; Набор монет Дании: 7шт. Упаковка ; 1998-2008 ;  ; Cu-Ni,Br,Лат ; AU ; 26 ; dvlless ; 235 
