 4816 ; 2 доллара. США ; 1917 ;  ;  ;  ; 53 ; lamazo ; 2521 
 3210 ; 100 франков. Французские Новые Гибриды ; 1966 ;  ; Ag ; AU ; 99 ; GALLANT ; 1099 
 3211 ; 100 франков. Французская Полинезия ; 1988 ;  ; Ni-Латунь ; XF- ; 66 ; hobot ; 227 
 3212 ; 5 долларов. Кокосовые (Келлинговые) о-ва ; 2004 ;  ; Би/м ; AU ; 46 ; niko1968 ; 450 
 3213 ; 10 долларов. Кокосовые (Келлинговые) о-ва ; 2003 ;  ; Ag ; Proof ; 39 ; Sept09 ; 786 
 3214 ; 1 крона. Бермуды ; 1964 ;  ; Ag ; AU ; 65 ; Sept09 ; 756 
 3215 ; 1 доллар. Тувалу ; 1985 ;  ; Cu-Ni ; AU ; 54 ; vb96 ; 408 
 3216 ; 20 шиллингов. Сомали ; 2001 ;  ; Cu-Ni ; AU ; 87 ; ИЮМов1 ; 211 
 3217 ; 1 торговый доллар. О-ва Мауи (О-в Уэллс) ; 1997 ;  ; Cu-Ni ; XF- ; 34 ; spstudio ; 184 
 3218 ; 1 торговый доллар. О-ва Мауи (О-в Уэллс) ; 2003 ;  ; Cu-Ni ; AU ; 41 ; spstudio ; 293 
 3219 ; 1 цянь "сыдэ тунбао". Аннам, Династия Юань. D-23мм ; 19 век ;  ; Br ; F+ ; 3 ; Sterh ; 44 
 3220 ; 1 цянь "минмин тунбао". Аннам, Династия Юань. D-23мм ; 19 век ;  ; Br ; F+ ; 8 ; Sterh ; 58 
 3221 ; 1 евро. Образец. Словения ; 2003 ;  ; Би/м ; AU ; 45 ; vladimir-sirke ; 153 
 3222 ; 1 евро. Образец. Латвия ; 2003 ;  ; Би/м ; AU ; 27 ; lamazo ; 150 
 3223 ; 1 цент. США ; 2010D ;  ; Cu-Zn ; AU ; 17 ; nordbolivar ; 37 
 3224 ; 1/4 доллара. США. 200 лет США ; 1976 ;  ; Cu-Ni ; VF+ ; 45 ; lamazo ; 204 
 3225 ; 1/4 доллара. США. Штат Джорджия ; 1999D ;  ; Cu-Ni ; XF- ; 44 ; десант ; 102 
 3226 ; 1/4 доллара. США. Штат Коннектикут ; 1999D ;  ; Cu-Ni ; XF+ ; 47 ; десант ; 131 
 3227 ; 1/4 доллара. США. Штат Массачусетс ; 2000D ;  ; Cu-Ni ; XF ; 14 ; expeditor_78 ; 51 
 3228 ; 1/4 доллара. США. Штат Массачусетс ; 2000P ;  ; Cu-Ni ; XF+ ; 19 ; десант ; 101 
 3229 ; 1/4 доллара. США. Штат Нью-Гэмпшир ; 2000D ;  ; Cu-Ni ; XF- ; 20 ; десант ; 101 
 3230 ; 1/4 доллара. США. Штат Нью-Гэмпшир ; 2000P ;  ; Cu-Ni ; XF- ; 29 ; Drunja33 ; 50 
 3231 ; 1/4 доллара. США. Штат Виргиния ; 2000D ;  ; Cu-Ni ; XF- ; 34 ; gvg1975 ; 61 
 3232 ; 1/4 доллара. США. Штат Виргиния ; 2000P ;  ; Cu-Ni ; XF ; 12 ; Gell13 ; 51 
 3233 ; 1/4 доллара. США. Штат Мэриленд ; 2000P ;  ; Cu-Ni ; XF ; 19 ; Gell13 ; 51 
 3234 ; 1/4 доллара. США. Штат Мэриленд ; 2000P ;  ; Cu-Ni ; XF- ; 22 ; Enter ; 32 
 3235 ; 1/4 доллара. США. Штат Южная Каролина ; 2000P ;  ; Cu-Ni ; AU ; 21 ; десант ; 101 
 3236 ; 1/4 доллара. США. Штат Южная Каролина ; 2000P ;  ; Cu-Ni ; AU ; 26 ; Zesty ; 40 
 3237 ; 1/4 доллара. США. Штат Род-Айленд ; 2001D ;  ; Cu-Ni ; AU ; 12 ; десант ; 101 
 3238 ; 1/4 доллара. США. Штат Северная Каролина ; 2001D ;  ; Cu-Ni ; AU ; 16 ; gvg1975 ; 61 
 3239 ; 1/4 доллара. США. Штат Вермонт ; 2001P ;  ; Cu-Ni ; AU ; 10 ; десант ; 101 
 3240 ; 1/4 доллара. США. Штат Нью-Йорк ; 2001P ;  ; Cu-Ni ; VF+ ; 10 ; десант ; 101 
 3241 ; 1/4 доллара. США. Штат Флорида ; 2004P ;  ; Cu-Ni ; VF+ ; 16 ; десант ; 101 
 3242 ; 1/4 доллара. США. Штат Орегон ; 2005D ;  ; Cu-Ni ; XF ; 26 ; десант ; 102 
 3243 ; 1/4 доллара. США. Штат Небраска ; 2006P ;  ; Cu-Ni ; AU ; 12 ; десант ; 101 
 3244 ; 1/4 доллара. США. Штат Юта ; 2007D ;  ; Cu-Ni ; AU ; 30 ; Drunja33 ; 50 
 3245 ; 1/4 доллара. США. Штат Монтана ; 2007D ;  ; Cu-Ni ; AU ; 24 ; десант ; 102 
 3246 ; 1/4 доллара. США. Штат Вайоминг ; 2007P ;  ; Cu-Ni ; AU ; 15 ; десант ; 100 
 3247 ; 1/4 доллара. США. Штат Юта ; 2007P ;  ; Cu-Ni ; AU ; 12 ; десант ; 101 
 3248 ; 1/4 доллара. США. Штат Вайоминг ; 2007P ;  ; Cu-Ni ; AU ; 23 ; Exile ; 40 
 3249 ; 1/4 доллара. США. Штат Нью-Мексико ; 2008P ;  ; Cu-Ni ; AU ; 18 ; десант ; 101 
 3150 ; 1 доллар. Канада. Коннная полиция ; 1973 ;  ; Ag ; XF ; 40 ; чуток накину ; 434 
 3151 ; 1 доллар. Канада. Виннипег ; 1974 ;  ; Ag ; XF ; 28 ; vitapool ; 395 
 3152 ; 1 доллар. Канада. Калгари ; 1975 ;  ; Ag ; XF ; 73 ; vitapool ; 414 
 3153 ; 1 доллар. Канада. XI игры Содружества ; 1978 ;  ; Ag ; XF+ ; 28 ; vitapool ; 399 
 3154 ; 1 доллар. Канада. XI игры Содружества ; 1978 ;  ; Ag ; XF ; 18 ; vitapool ; 333 
 3155 ; 1 доллар. Канада. Реджайна ; 1982 ;  ; Ag ; XF ; 38 ; Mike! ; 449 
 3156 ; 1 доллар. Канада. Универсиада Эдмонтона ; 1983 ;  ; Ag ; Proof ; 20 ; чуток накину ; 389 
 3157 ; 1 рубль. Беларусь. Вячеслав Полоцкий ; 2005 ;  ; Cu-Ni ; Proof ; 40 ; Selez ; 213 
 3158 ; 1 рубль. Беларусь. Софья Друцкая-Гольшанская ; 2006 ;  ; Cu-Ni ; Proof ; 35 ; Selez ; 215 
 3159 ; 1 крейцер. Австрия ; 1881 ;  ; Cu ; XF- ; 18 ; Leon17 ; 230 
 3160 ; 2 пфеннига. Германия ; 1939A ;  ; Br ; VF-XF ; 77 ; Хакас ; 323 
 3161 ; 5 пфеннигов. Веймар ; 1924A ;  ; Al/Br ; VF+ ; 33 ; asdtyu ; 69 
 3162 ; 1 пфенниг. Германия ; 1939E ;  ; Br ; VF+ ; 78 ; Хакас ; 333 
 3163 ; 1 чукрам. Индия, Траванкор ; 1600-1847 ;  ; Ag ; F ; 73 ; Slava O ; 206 
 3164 ; 10 грошей. Австрия ; 1925 ;  ; Cu/Ni ; VF ; 19 ; asdtyu ; 31 
 3165 ; 1 шиллинг. Великобритания ; 1947 ;  ; Cu/Ni ; VF- ; 32 ; Dbrnjh ; 51 
 3166 ; 1 шиллинг. Великобритания ; 1949 ;  ; Cu/Ni ; VF ; 34 ; Болгарин ; 68 
 3167 ; 1 шиллинг. Великобритания ; 1956 ;  ; Cu/Ni ; VF+ ; 28 ; Dbrnjh ; 51 
 3168 ; Токен. Великобритания ; 1849 ;  ; Латунь ; VF ; 34 ; Leon17 ; 487 
 3169 ; 100 лир. Италия ; 1979 ;  ; St ; XF ; 22 ; Болгарин ; 57 
 3170 ; 5 центов. Мальта ; 1972 ;  ; Cu/Ni ; VF ; 44 ; В1951 ; 73 
 3171 ; 10 центов. Нидерланды ; 1935 ;  ; Ag ; VF+ ; 32 ; stivenson ; 71 
 3172 ; 50 эре. Норвегия ; 1927 ;  ; Cu/Ni ; VF ; 41 ; dsp ; 41 
 3173 ; 50 пара. Сербия ; 1904 ;  ; Ag ; VF- ; 21 ; Ратамахатта ; 235 
 3174 ; 10 эре. Швеция ; 1950 ;  ; Ag ; XF+ ; 18 ; stivenson ; 37 
 3175 ; 25 эре. Швеция ; 1943 ;  ; Ag ; XF ; 35 ; Нэд Огл ; 59 
 3176 ; 10 милимов. Египет ; 1943 (1362л.х.) ;  ; Cu ; VF- ; 4 ; don-juras ; 25 
 3177 ; 1 доллар. Намибия ; 1996 ;  ; Латунь ; VF+ ; 23 ; 100924 ; 68 
 3178 ; 2 лепты. Ионические острова. Греция ; 1820 ;  ; Cu ; VF- ; 97 ; werter ; 1910 
 3179 ; 2 реала. Испания. Карл III ; 1712 ;  ; Ag ; VF- ; 68 ; jeeper ; 1746 
 3180 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF-XF ; 40 ; alexnn ; 208 
 3181 ; 25 центов. Канада. 100 лет Конфедерации ; 1967 ;  ; Ag ; XF- ; 30 ; 100924 ; 192 
 3182 ; 50 центов. Канада. Георг VI ; 1945 ;  ; Ag ; VF+ ; 38 ; GALLANT ; 365 
 3183 ; 50 центов. Канада. Елизавета II ; 1965 ;  ; Ag ; XF ; 48 ; ИЮМов1 ; 254 
 3184 ; 10 центов. Датская Вест-Индия ; 1862 ;  ; Ag ; F-VF ; 68 ; vb96 ; 567 
 3185 ; 200 рейс. Бразилия ; 1867 ;  ; Ag ; VF- ; 65 ; werter ; 345 
 3186 ; 1 цент. Малайзия. Восточно-Индийская Компания. Виктория ; 1845 ;  ; Cu ; F+ ; 26 ; Eddy ; 164 
 3187 ; 6 пенсов. Австралия. Георг VI ; 1943D ;  ; Ag ; VF+ ; 46 ; GALLANT ; 133 
 3188 ; 1 шиллинг. Австралия. Георг V ; 1917M ;  ; Ag ; VF- ; 20 ; Sept09 ; 334 
 3189 ; 10 пара. Турция (Османская империя). Селим III. Отверстие ; 8/1203 ;  ; Биллон ; F+ ; 47 ; ead ; 157 
 3190 ; 1 рупия. Афганистан. Абдул Рахман ; 1315лх ;  ; Ag ; F-VF ; 68 ; vc57 ; 267 
 3191 ; 1 шиллинг. Британская Восточная Африка. Георг VI ; 1950 ;  ; Cu-Ni ; VF ; 18 ; expeditor_78 ; 102 
 3192 ; 10 центов. Либерия ; 1960 ;  ; Ag ; VF- ; 72 ; ИЮМов1 ; 149 
 3193 ; 50 сантимов. Французский Тунис ; 1921 ;  ; Al/Br ; F-VF ; 27 ; vc57 ; 135 
 3194 ; 20 сентимов. Бельгийское Конго. Король Альберт ; 1911 ;  ; Cu-Ni ; VF- ; 24 ; Tche ; 165 
 3195 ; 1/2 мохар. Непал ; 1968(1911) ;  ; Ag ; VF- ; 68 ; vb96 ; 286 
 3196 ; 5 хао. Вьетнам (Коммунистическая Республика) ; 1946 ;  ; Al ; F+ ; 127 ; М662 ; 297 
 3197 ; 1 шо. Тибет ; 16-1(1927) ;  ; Cu ; F+ ; 59 ; asdtyu ; 114 
 3198 ; 1 тангка. Тибет ; ND (1912-1922) ;  ; Ag ; VF- ; 81 ; Mikola_1 ; 612 
 3199 ; 1/4 рупии. Британская Индия. Георг V ; 1914 ;  ; Ag ; VF+ ; 41 ; Slava O ; 193 
 3100 ; 1 песета. Испания ; 1901 ;  ; Ag ; F+ ; 24 ; vc57 ; 255 
 3101 ; 50 сентимо. Испания ; 1904 ;  ; Ag ; VF- ; 21 ; Luidor ; 153 
 3102 ; 5 песет. Испания ; 1871 ;  ; Ag ; VF ; 52 ; balakmisha ; 1062 
 3103 ; 5 песет. Испания ; 1898 ;  ; Ag ; F-VF ; 118 ; дитрих11 ; 876 
 3104 ; 2 шиллинга. Австрия. 100 лет со дня смерти Франца Шуберта ; 1928 ;  ; Ag ; VF ; 85 ; zuza ; 322 
 3105 ; 2 шиллинга. Австрия. 100 лет со дня смерти Франца Шуберта ; 1928 ;  ; Ag ; VF- ; 56 ; alexnn ; 318 
 3106 ; 2 шиллинга. Австрия. Фон дер Фогельвейде ; 1930 ;  ; Ag ; VF-XF ; 61 ; Dbrnjh ; 489 
 3107 ; 10 шиллингов. Австрия ; 1972 ;  ; Ag ; VF-XF ; 45 ; барсик ; 141 
 3108 ; 5 шиллингов. Австрия ; 1961 ;  ; Ag ; VF-XF ; 38 ; Василевс ; 173 
 3109 ; 500 лей. Румыния ; 1944 ;  ; Ag ; VF+ ; 21 ; барсик ; 312 
 3110 ; 500 лей. Румыния ; 1944 ;  ; Ag ; VF ; 75 ; alexnn ; 324 
 3111 ; 1 лей. Румыния ; 1912 ;  ; Ag ; F-VF ; 29 ; MDV ; 408 
 3112 ; 50 динаров. Югославия ; 1938 ;  ; Ag ; VF+ ; 35 ; GALLANT ; 521 
 3113 ; 20 динаров. Югославия ; 1938 ;  ; Ag ; XF+ ; 28 ; miha ; 510 
 3114 ; 10 динаров. Югославия ; 1931 ;  ; Ag ; VF+ ; 23 ; митька ; 386 
 3115 ; 10 франков. Франция ; 1930 ;  ; Ag ; VF ; 43 ; av ; 283 
 3116 ; 5 франков. Франция ; 1963 ;  ; Ag ; VF-XF ; 31 ; Sept09 ; 179 
 3117 ; 5 корон. Австрия ; 1900 ;  ; Ag ; F-VF ; 40 ; vitapool ; 759 
 3118 ; 5 корон. Австрия. 60 лет правления ; 1908 ;  ; Ag ; F ; 56 ; Vahid ; 761 
 3119 ; 1 флорин. Австрия ; 1861 ;  ; Ag ; VF+ ; 53 ; Василевс ; 864 
 3120 ; 2 кроны. Австрия ; 1913 ;  ; Ag ; VF-XF ; 57 ; дитрих11 ; 360 
 3121 ; 5 лир. Италия ; 1874 ;  ; Ag ; F+ ; 54 ; vitapool ; 686 
 3122 ; 5 лир. Италия ; 1927R ;  ; Ag ; VF-XF ; 18 ; viktorius ; 306 
 3123 ; 2 кроны. Швеция ; 1950 ;  ; Ag ; XF- ; 39 ; Sept09 ; 287 
 3124 ; 1 крона. Швеция ; 1940 ;  ; Ag ; VF-XF ; 28 ; GALLANT ; 150 
 3125 ; 1 крона. Швеция ; 1945 ;  ; Ag ; XF ; 16 ; Sept09 ; 171 
 3126 ; 25 эре. Швеция ; 1953 ;  ; Ag ; VF ; 42 ; Enter ; 90 
 3127 ; 25 эре. Швеция ; 1956 ;  ; Ag ; VF ; 29 ; Sept09 ; 51 
 3128 ; 10 крон. Чехословакия. Томас Масарик ; 1928 ;  ; Ag ; XF ; 59 ; Sept09 ; 341 
 3129 ; 10 крон. Чехословакия ; 1932 ;  ; Ag ; F-VF ; 21 ; Sept09 ; 223 
 3130 ; 1/2 франка. Швейцария ; 1950 ;  ; Ag ; VF ; 5 ; Sept09 ; 87 
 3131 ; 1/2 франка. Швейцария ; 1959 ;  ; Ag ; VF ; 14 ; Sept09 ; 69 
 3132 ; 1 батцен. Швейцария. Ааргау ; 1826 ;  ; Биллон ; F-VF ; 49 ; vb96 ; 1154 
 3133 ; 1 батцен. Швейцария. Фрейбург ; 1829 ;  ; Биллон ; F-VF ; 85 ; vb96 ; 722 
 3134 ; 20 сентаво. Филиппины ; 1944D ;  ; Ag ; VF-XF ; 18 ; Sept09 ; 155 
 3135 ; 10 сентаво. Филиппины ; 1944D ;  ; Ag ; VF-XF ; 18 ; Sept09 ; 82 
 3136 ; 1 шиллинг. Новая Гвинея ; 1935 ;  ; Ag ; VF+ ; 11 ; WikiLeaks ; 231 
 3137 ; 1 пенго. Венгрия ; 1938 ;  ; Ag ; VF ; 54 ; нумизмат ; 397 
 3138 ; 2 куруша. Турция. 1 год правления ; 1237лх ;  ; Ag ; VF+ ; 46 ; Gera_K ; 201 
 3139 ; 1/2 дино. Перу ; 1910 ;  ; Ag ; VF-XF ; 40 ; COIN961 ; 276 
 3140 ; 2000 рейсов. Бразилия. 100 лет независимости ; 1922 ;  ; Ag ; VF-XF ; 16 ; shais1 ; 421 
 3141 ; 5 лит. Литва ; 1936 ;  ; Ag ; VF ; 26 ; shais1 ; 597 
 3142 ; 50 мил. Палестина ; 1927 ;  ; Ag ; VF ; 56 ; GALLANT ; 463 
 3143 ; 5 эскудо. Португалия. 500 лет со дня смерти Генри Мореплавателя ; 1960 ;  ; Ag ; AU ; 20 ; gendalf ; 500 
 3144 ; 1 крона. Бермуды ; 1964 ;  ; Ag ; AU ; 33 ; hobot ; 557 
 3145 ; 1 крона. Бермуды ; 1964 ;  ; Ag ; AU ; 27 ; 34/85 ; 525 
 3146 ; 1 крона. Бермуды ; 1964 ;  ; Ag ; AU ; 48 ; u459 ; 510 
 3147 ; 50 центов. Канада ; 1942 ;  ; Ag ; VF- ; 31 ; werter ; 263 
 3148 ; 1 доллар. Канада. Шарлоттаун ; 1964 ;  ; Ag ; XF ; 22 ; Leon17 ; 472 
 3149 ; 1 доллар. Канада. Британская Колумбия ; 1971 ;  ; Ag ; XF ; 41 ; Mike! ; 509 
 3050 ; 1 доллар. США. Эйзенхауэр ; 1972S ;  ; Ag ; Proof-Like ; 73 ; shais1 ; 945 
 3051 ; 100 лева. Болгария ; 1934 ;  ; Ag ; VF- ; 46 ; Luidor ; 513 
 3052 ; 100 лева. Болгария ; 1937 ;  ; Ag ; VF ; 55 ; Luidor ; 516 
 3053 ; 50 лева. Болгария ; 1934 ;  ; Ag ; VF ; 55 ; Luidor ; 302 
 3054 ; 20 лева. Болгария ; 1930 ;  ; Ag ; F-VF ; 27 ; pww78 ; 291 
 3055 ; 5 лева. Болгария ; 1892 ;  ; Ag ; F-VF ; 70 ; Mikola_1 ; 989 
 3056 ; 5 лева. Болгария ; 1894 ;  ; Ag ; F-VF ; 51 ; balakmisha ; 964 
 3057 ; 2 лева. Болгария ; 1882 ;  ; Ag ; F+ ; 64 ; vitapool ; 324 
 3058 ; 2 лева. Болгария ; 1891 ;  ; Ag ; F+ ; 66 ; golg_2M ; 363 
 3059 ; 1 песо. Мексика ; 1945 ;  ; Ag ; VF-XF ; 66 ; Germanfox ; 568 
 3060 ; 50 сентаво. Мексика ; 1937 ;  ; Ag ; VF ; 29 ; S1952 ; 178 
 3061 ; 50 сентаво. Мексика ; 1944 ;  ; Ag ; XF ; 55 ; Germanfox ; 272 
 3062 ; 50 сентаво. Мексика ; 1944 ;  ; Ag ; VF- ; 14 ; vitapool ; 218 
 3063 ; 2-1/2 гульдена. Нидерланды ; 1930 ;  ; Ag ; VF- ; 40 ; Юбер ; 642 
 3064 ; 2-1/2 гульдена. Нидерланды ; 1959 ;  ; Ag ; VF- ; 39 ; max8888 ; 294 
 3065 ; 2-1/2 гульдена. Нидерланды ; 1966 ;  ; Ag ; VF- ; 75 ; max8888 ; 291 
 3066 ; 2-1/2 гульдена. Нидерланды ; 1966 ;  ; Ag ; VF- ; 29 ; max8888 ; 291 
 3067 ; 10 гульденов. Нидерландские Антиллы ; 1978 ;  ; Ag ; VF-XF ; 77 ; GALLANT ; 624 
 3068 ; 1 гульден. Нидерландские Антиллы ; 1952 ;  ; Ag ; VF ; 52 ; golg_2M ; 254 
 3069 ; Двойной флорин. Великобритания ; 1887 ;  ; Ag ; F+ ; 37 ; Гурий ; 742 
 3070 ; 1/2 кроны. Великобритания ; 1927 ;  ; Ag ; VF ; 26 ; Болгарин ; 371 
 3071 ; 1/2 кроны. Великобритания ; 1929 ;  ; Ag ; VF ; 57 ; Болгарин ; 391 
 3072 ; 1/2 кроны. Великобритания ; 1933 ;  ; Ag ; VF- ; 84 ; werter ; 363 
 3073 ; 1/2 кроны. Великобритания ; 1936 ;  ; Ag ; VF+ ; 46 ; Болгарин ; 375 
 3074 ; 1/2 кроны. Великобритания ; 1945 ;  ; Ag ; VF+ ; 81 ; Болгарин ; 340 
 3075 ; 1 флорин. Великобриатния ; 1935 ;  ; Ag ; F-VF ; 85 ; kubina ; 308 
 3076 ; 2 шиллинга. Великобритания ; 1942 ;  ; Ag ; VF+ ; 49 ; GALLANT ; 301 
 3077 ; 2 шиллинга. Великобритания ; 1946 ;  ; Ag ; F-VF ; 31 ; Болгарин ; 309 
 3078 ; 5 шиллингов. Южная Африка ; 1949 ;  ; Ag ; VF+ ; 49 ; pref ; 638 
 3079 ; 5 шиллингов. Южная Африка ; 1949 ;  ; Ag ; VF+ ; 68 ; 34/85 ; 900 
 3080 ; 5 шиллингов. Южная Африка. 300 лет Кейптауну ; 1952 ;  ; Ag ; VF-XF ; 28 ; u459 ; 524 
 3081 ; 2-1/2 шиллинга. Южная Африка ; 1940 ;  ; Ag ; VF ; 63 ; vc57 ; 421 
 3082 ; 50 центов. Австралия ; 1966 ;  ; Ag ; VF-XF ; 29 ; S1952 ; 227 
 3083 ; 1 флорин. Австралия ; 1961 ;  ; Ag ; XF ; 38 ; S1952 ; 254 
 3084 ; 1 флорин. Австралия ; 1963 ;  ; Ag ; VF+ ; 31 ; Sept09 ; 231 
 3085 ; 1 шиллинг. Австралия ; 1963 ;  ; Ag ; VF ; 40 ; Sept09 ; 137 
 3086 ; 6 пенсов. Австралия ; 1962 ;  ; Ag ; XF ; 25 ; bondars ; 155 
 3087 ; 3 пенса. Австралия ; 1951 ;  ; Ag ; VF+ ; 15 ; Lena6975 ; 136 
 3088 ; 1 рупия. Британская Индия ; 1912 ;  ; Ag ; VF+ ; 25 ; cboker ; 922 
 3089 ; 1 рупия. Британская Индия ; 1916 ;  ; Ag ; VF+ ; 53 ; viktorius ; 716 
 3090 ; 1 рупия. Британская Индия ; 1918 ;  ; Ag ; VF+ ; 26 ; viktorius ; 615 
 3091 ; 1 рупия. Британская Индия ; 1945 ;  ; Ag ; VF+ ; 38 ; Slava O ; 512 
 3092 ; 1/2 рупия. Британская Индия ; 1944 ;  ; Ag ; VF ; 37 ; Slava O ; 306 
 3093 ; 1/2 рупия. Британская Индия ; 1944 ;  ; Ag ; VF- ; 27 ; Sept09 ; 254 
 3094 ; 8 риалов. Испания ; 1788 ;  ; Ag ; F+ ; 57 ; Mikola_1 ; 1224 
 3095 ; 100 песет. Испания ; 1966 ;  ; Ag ; VF ; 62 ; Luidor ; 399 
 3096 ; 100 песет. Испания ; 1966 ;  ; Ag ; VF- ; 61 ; Luidor ; 420 
 3097 ; 2 песеты. Испания ; 1870 ;  ; Ag ; F+ ; 44 ; Luidor ; 367 
 3098 ; 2 песеты. Испания ; 1870 ;  ; Ag ; F+ ; 56 ; max8888 ; 308 
 3099 ; 2 песеты. Испания ; 1882 ;  ; Ag ; F-VF ; 43 ; Sept09 ; 343 
 3000 ; 1 шиллинг. Новая Гвинея ; 1936 ;  ; Ag ; XF- ; 19 ; Sept09 ; 227 
 3001 ; 1 шиллинг. Новая Гвинея ; 1938 ;  ; Ag ; XF- ; 32 ; Нэд Огл ; 243 
 3002 ; 10 пенсов. Гибралтар, Елизавета II. Операция в Тунисе ; 2004 ;  ; Cu/Ni ; AU ; 57 ; himik121 ; 102 
 3003 ; 25 центов. Канада, Елизавета II. 100 лет конной полиции ; 1973 ;  ; Ni/Fe ; VF+ ; 50 ; asdtyu ; 57 
 3004 ; 5 центов. Ос-в Питкерн, Елизавета II. Якорь ; 2009 ;  ; Br ; AU ; 57 ; temichek ; 125 
 3005 ; 1 пенни. Новая Зеландия, Георг  VI ; 1945 ;  ; Br ; VF ; 43 ; GALLANT ; 65 
 3006 ; 2 пенса. Ос-в Мен, Елизавета II ; 1975 ;  ; Br ; AU ; 52 ; temichek ; 227 
 3007 ; 1 цент. США ; 1920 ;  ; Cu/Zn ; F-VF ; 34 ; tss ; 84 
 3008 ; 1/2 кроны. Великобритания, Елизавета II ; 1962 ;  ; Cu/Ni ; XF+ ; 84 ; Болгарин ; 125 
 3009 ; 50 пенсов. Фолклендские о-ва, Елизавета II. Волк ; 1992 ;  ; Cu/Ni ; AU ; 89 ; vc57 ; 172 
 3010 ; 20 пенсов. Новая Зеландия, Елизавета II. Птица киви ; 1978 ;  ; Cu/Ni ; AU ; 53 ; 100924 ; 101 
 3011 ; 50 вату. Вануату ; 2002 ;  ; Cu/Ni ; XF ; 18 ; Sept09 ; 58 
 3012 ; 50 пенсов. Великобритания. 1759-2009 ; 2009 ;  ; Cu/Ni ; AU ; 82 ; Болгарин ; 213 
 3013 ; 20 пенсов. Великобритания, Елизавета II ; 1991 ;  ; Cu/Ni ; AU ; 15 ; Pushan ; 36 
 3014 ; 10 пенсов. Джерси, Елизавета II ; 2007 ;  ; Cu/Ni ; AU ; 15 ; Sept09 ; 48 
 3015 ; 1/4 доллара. США ; 1967 ;  ; Cu/Ni ; VF- ; 55 ; Сакович ; 60 
 3016 ; 5 центов. США ; 1958 ;  ; Cu/Ni ; VF- ; 3 ; gvg1975 ; 4 
 3017 ; 1 лат. Латвия. Лосось ; 1992 ;  ; Cu/Ni ; VF+ ; 60 ; intrest ; 102 
 3018 ; 50 милс. Кипр, Елизавета II ; 1955 ;  ; Cu/Ni ; VF- ; 25 ; МНП68 ; 90 
 3019 ; 5 центов. Бермыды, Елизавета II ; 2008 ;  ; Cu/Ni ; AU ; 68 ; hobot ; 83 
 3020 ; 5 центов. Бермыды, Елизавета II. Другой тип ; 1986 ;  ; Cu/Ni ; AU ; 35 ; Gera_K ; 35 
 3021 ; 20 пенсов. Гернси, Елизавета II ; 2006 ;  ; Cu/Ni ; AU ; 41 ; temichek ; 75 
 3022 ; 50 центов. Ниуе, Елизавета II ; 2009 ;  ; Cu/Ni ; AU ; 105 ; temichek ; 206 
 3023 ; 25 центов. Канада, Елизавета II ; 1977 ;  ; Ni/Fe ; AU ; 5 ; Lena6975 ; 30 
 3024 ; 25 центов. Канада, Елизавета II. Юбилей окончание войны ; 2005 ;  ; Ni/Fe ; AU ; 63 ; himik121 ; 100 
 3025 ; 25 центов. Канада, Елизавета II. Сентябрь ; 1999 ;  ; Ni/Fe ; AU ; 30 ; Zesty ; 126 
 3026 ; 2 фунта. Великобритания, Елизавета II. Герб Шотландии ; 1986 ;  ; Al/Br ; XF ; 58 ; alex1974 ; 197 
 3027 ; 1 фунт. Великобритания, Елизавета II ; 2001 ;  ; Al/Br ; XF- ; 63 ; Болгарин ; 152 
 3028 ; 1/4 шиллинга. Джерси, Елизавета II ; 1957 ;  ; Al/Br ; VF+ ; 27 ; Sept09 ; 47 
 3029 ; 1 доллар. Канада, Елизавета II ; 1989 ;  ; Br/Fe ; XF ; 26 ; 458 ; 57 
 3030 ; 1 пенни. Великобритания, Елизавета II ; 2008 ;  ; Cu/Fe ; AU ; 8 ; Lena6975 ; 21 
 3031 ; 50 центов. Уганда ; 1976 ;  ; Ni ; VF ; 46 ; ИЮМов1 ; 145 
 3032 ; 10 тенге. Бухара ; 1916-1917 ;  ; Br ; F+ ; 36 ; kont ; 567 
 3033 ; 1 тенга. Бухара ; 1860-1885 ;  ; Ag ; F-VF ; 47 ; vb96 ; 237 
 3034 ; 2 лари. Грузия. 25 лет чемпионату мира по футболу ; 2006 ;  ; Cu/Ni ; AU ; 95 ; Sept09 ; 237 
 3035 ; 1 доллар. Китай, провинция Чжели ; 1908 ;  ; Ag ; VF ; 11 ; derfalke ; 2000 
 3036 ; 1 доллар. Китай ; 1914 ;  ; Ag ; F-VF ; 6 ; Максимус ; 1224 
 3037 ; 50 центов. Китай ; 1914 ;  ; Ag ; VF- ; 15 ; Максимус ; 1961 
 3038 ; 1 корона. Венгрия ; 1894 ;  ; Ag ; VF- ; 41 ; Юбер ; 224 
 3039 ; 10 злотых. Польша ; 1932 ;  ; Ag ; VF ; 28 ; суслик ; 589 
 3040 ; 10 злотых. Польша ; 1933 ;  ; Ag ; VF ; 18 ; MDV ; 519 
 3041 ; 10 злотых. Польша ; 1935 ;  ; Ag ; VF- ; 36 ; vitapool ; 528 
 3042 ; 10 злотых. Польша ; 1936 ;  ; Ag ; VF- ; 26 ; MDV ; 539 
 3043 ; 10 злотых. Польша ; 1936 ;  ; Ag ; VF- ; 28 ; MDV ; 552 
 3044 ; 5 злотых. Польша ; 1934 ;  ; Ag ; VF ; 23 ; pamel ; 540 
