 5868 ; Бона иностранная ;  ;  ;  ;  ; 33 ; VOLKODAVS5 ; 147 
 3539 ; 2 фунта. Британская территория в Индийском океане ; 2011 ;  ; Cu-Ni ; AU ; 20 ; Mike! ; 315 
 3540 ; 1 крона. Фолклендские острова. 90 лет Королевским военно-воздушным силам (RAF) ; 2008 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 226 
 3541 ; 1 пфенниг. Ганновер ; 1853 ;  ; Cu ; F ; 11 ; Mike! ; 209 
 3542 ; 1 крона. Фолклендские острова. 25 лет свободе ; 2007 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 226 
 3543 ; 1 крона. Фолклендские острова. Спитфайр ; 2008 ;  ; Cu-Ni ; AU ; 16 ; alrami ; 304 
 3544 ; 2 фунта. Южная Джорджия и Южные Сандвичевы острова. Старейшая правящая британская монархия ; 2008 ;  ; Cu-Ni ; AU ; 13 ; sahakala ; 333 
 3545 ; 1 доллар. Эритрея. Защита планеты Земля ; 1994 ;  ; Cu-Ni ; AU ; 21 ; Mike! ; 300 
 3546 ; 2 фунта. Южная Джорджия и Южные Сандвичевы острова. Королева Елизавета II и принц Филипп ; 2011 ;  ; Cu-Ni ; AU ; 7 ; Mike! ; 194 
 3547 ; 1 скиллинг. Дания ; 1860 ;  ; Cu ; F+ ; 9 ; DVZ ; 114 
 3548 ; 1/12 скиллинга. Швеция ; 1808 ;  ; Cu ; F ; 7 ; Mike! ; 192 
 3549 ; 1 доллар. Сьерра-Леоне. Стегозавр ; 2006 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 226 
 3550 ; 5 шиллингов. Сомали. Продовольственная благотворительная организация ; 1970 ;  ; Cu-Ni ; AU ; 24 ; OVK ; 385 
 3551 ; 2 фунта. Южная Джорджия и Южные Сандвичевы острова. На бракосочетание ; 2011 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 271 
 3552 ; 1 крейцер. Баден ; 1869 ;  ; Cu ; XF- ; 18 ; guran ; 355 
 3553 ; 1 гротен. Бремен ; 1747 ;  ; Ag ; F+ ; 22 ; seaexpo ; 395 
 3554 ; 10 франков. Франция ; 1989 ;  ; Сu-Ni ; XF ; 16 ; Mike! ; 79 
 3555 ; 20 вон. Северная Корея ; 2003 ;  ; Латунь ; Proof ; 20 ; matehev ; 361 
 3556 ; 5 долларов. Ниуэ. Кеннеди ; 1988 ;  ; Cu-Ni ; XF+ ; 15 ; Mike! ; 211 
 3557 ; 2 пфеннига. Пруссия ; 1821 ;  ; Cu ; F ; 14 ; Mike! ; 82 
 3558 ; 20 марок. ГДР. Эрнст Тельманн ; 1971A ;  ; Cu-Ni ; XF+ ; 15 ; Mike! ; 131 
 3559 ; 5 долларов Ниуэ. Олимпиада. Теннис ; 1987 ;  ; Cu-Ni ; AU ; 15 ; Kovalen ; 227 
 3560 ; 1 доллар. Сьерра-Леоне. Бронтозавр ; 2006 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 226 
 3461 ; 10 кеш. Китай ; начало 20в ;  ; Br ; F+ ; 11 ; Алек ; 140 
 3462 ; 1 крона. Австрия ; 1893 ;  ; Ag ; VF ; 15 ; indexio ; 306 
 3463 ; 1 крона. Австрия ; 1898 ;  ; Ag ; VF ; 11 ; черный ; 234 
 3464 ; 100 злотых. Польша. 70 лет великопольского восстания ; 1988 ;  ; Cu/Ni ; XF ; 17 ; Метро62 ; 136 
 3465 ; 10000 злотых. Польша. Солидарность ; 1990 ;  ; Cu/Ni ; XF ; 18 ; Art ; 80 
 3466 ; 50 злотых. Польша. F.A.O. ; 1981 ;  ; Cu/Ni ; XF ; 17 ; Art ; 88 
 3467 ; 100 злотых. Польша ; 1990 ;  ; Cu/Ni ; XF+ ; 25 ; Art ; 80 
 3468 ; 20 злотых. Польша. Марсель Новотко ; 1976 ;  ; Cu/Ni ; XF+ ; 21 ; MDV ; 101 
 3469 ; 10 злотых. Польша. Адам Мицкевич ; 1975 ;  ; Cu/Ni ; XF+ ; 20 ; MDV ; 138 
 3470 ; 50 центаво. Испания ; 1904PCV ;  ; Ag ; VF ; 21 ; Rober ; 203 
 3471 ; 2000 рейс. Бразилия ; 1930 ;  ; Ag ; VF ; 23 ; OVK ; 361 
 3472 ; 20 злотых. Польша. Марцелий Новотко ; 1976 ;  ; Ni ; XF ; 14 ; MDV ; 99 
 3473 ; 20 злотых. Польша ; 1974 ;  ; Ni ; XF- ; 14 ; Rusik ; 101 
 3474 ; 10 злотых. Польша. 25 лет Войска Польского ; 1968 ;  ; Ni ; XF ; 7 ; Метро62 ; 100 
 3475 ; 1000 лир. Сан-Марино ; 1999R ;  ; Би/м ; XF+ ; 7 ; Legio ; 72 
 3476 ; 500 лир. Сан-Марино ; 1999R ;  ; Би/м ; AU ; 55 ; sibirian ; 77 
 3477 ; 1 марка. Германия ; 1935 ;  ; Ni ; F ; 17 ; дитрих11 ; 204 
 3478 ; 10 марок. Германия. Нотгельд земли Шлезвиг-Голштейн ; 1923 ;  ; Al ; VF- ; 14 ; Jauho ; 294 
 3479 ; 10 пфеннигов. Германия. Нотгельд города Гунценхаузен ; ND (1916-1921) ;  ; Zn ; F-VF ; 23 ; Jauho ; 226 
 3480 ; 2 пфеннига. Германия. Нотгельд города Бремен ; ND (1916-1921) ;  ; Br ; F-VF ; 13 ; Jauho ; 278 
 3481 ; 10 центов. Нидерланды. Германская оккупация ; 1941 ;  ; Zn ; F-VF ; 9 ; kornum ; 140 
 3482 ; 5 центов. Нидерланды. Германская оккупация ; 1941 ;  ; Zn ; F-VF ; 15 ; kornum ; 113 
 3483 ; 1 франк. Франция ; 1871A ;  ; Ag ; VF- ; 20 ; черный ; 370 
 3484 ; 10 франков. Франция ; 1929 ;  ; Ag ; VF ; 15 ; Serg78 ; 271 
 3485 ; 2 кроны. Швеция. 300 лет шведской колонии на берегах реки Делавэр ; 1938G ;  ; Ag ; AU ; 22 ; артега ; 731 
 3486 ; 1 крона. Швеция ; 1955 ;  ; Ag ; VF ; 9 ; VOLKODAVS5 ; 84 
 3487 ; 50 эре. Швеция ; 1956 ;  ; Ag ; VF ; 8 ; Dcthutq ; 80 
 3488 ; 10 эре. Швеция ; 1941 ;  ; Ag ; VF- ; 10 ; vitapool ; 55 
 3489 ; 10 евро. Ирландия. 100 лет со дня рожденияСамуэля Бекетта ; 2006 ;  ; Ag925 ; Proof ; 6 ; asm1048576 ; 1020 
 3490 ; 10 евро. Финляндия. 60 лет победы во 2МВ ; 2005 ;  ; Ag925 ; Proof ; 9 ; карпер ; 1142 
 3491 ; 5 евро. Нидерланды. Расширение Европейского союза ; 2004 ;  ; Ag925 ; AU ; 14 ; Димон777 ; 579 
 3492 ; 5 евро. Нидерланды. 60 лет победы во 2МВ ; 2005 ;  ; Ag925 ; Proof ; 21 ; карпер ; 1247 
 3493 ; 1/2 кроны. Великобритания ; 1944 ;  ; Ag ; VF- ; 8 ; андрей1957 ; 283 
 3494 ; 1 доллар. Британская Канада ; 1963 ;  ; Ag ; VF+ ; 5 ; S1952 ; 554 
 3495 ; Флорин. Британская Австралия ; 1947 ;  ; Ag ; VF ; 31 ; kornum ; 612 
 3496 ; 1 шиллинг. Великобритания ; 1939 ;  ; Ag ; VF ; 13 ; KELA-NIKO ; 236 
 3497 ; 10 центов. Британский Гонконг ; 1899 ;  ; Ag ; VF- ; 26 ; indexio ; 398 
 3498 ; 1/4 анны. Британская Индия ; 1893 ;  ; Cu ; F+ ; 22 ; Sam ; 62 
 3499 ; 2 золота. Турция, Османская Империя ; 1765 ;  ; Ag ; VF- ; 22 ; агент Холдер ; 1383 
 3500 ; 10 марок. Финляндия. Президент Кекконен ; 1975 ;  ; Ag ; AU ; 14 ; S1952 ; 385 
 3501 ; 10 рупий. Индия ; 1973 ;  ; Ag ; AU ; 26 ; OgAnVi ; 1193 
 3502 ; 25000 лей. Румыния ; 1946 ;  ; Ag ; XF ; 24 ; черный ; 712 
 3503 ; 1/2 батцен. Швейцария ; 1808 ;  ; биллон ; VF ; 21 ; lestes ; 388 
 3504 ; 6 крейцеров. Австрийская Империя ; 1849A ;  ; Ag ; F+ ; 11 ; S1952 ; 158 
 3505 ; 5 франков. Швейцария ; 1932B ;  ; Ag ; VF ; 10 ; indexio ; 466 
 3506 ; 10 лир. Ватикан. Юбилей ; 1934 ;  ; Ag ; XF- ; 38 ; olancepok ; 940 
 3507 ; 2 лиры. Италия ; 1884 ;  ; Ag ; VF ; 21 ; S1952 ; 480 
 3508 ; 1 лира. Италия ; 1917 ;  ; Ag ; VF-XF ; 27 ; av ; 906 
 3509 ; 5 лир. Италия ; 1927 ;  ; Ag ; VF ; 32 ; indexio ; 331 
 3510 ; 1 лира. Италия ; 1863 ;  ; Ag ; F-VF ; 79 ; indexio ; 227 
 3411 ; 1 шиллинг. Великобритания. Шотландский герб ; 1945 ;  ; Ag ; VF-XF ; 21 ; андрей1957 ; 236 
 3412 ; 1 шиллинг. Великобритания. Английский  герб ; 1945 ;  ; Ag ; VF-XF ; 18 ; pac262 ; 159 
 3413 ; 1/2 кроны. Великобритания ; 1949 ;  ; Cu/Ni ; XF+ ; 27 ; maleevsw ; 84 
 3414 ; 6 пенсов. Великобритания ; 1951 ;  ; Cu/Ni ; XF+ ; 29 ; kornum ; 130 
 3415 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF ; 25 ; JanPol ; 215 
 3416 ; 50 пенсов. Великобритания ; 1997 ;  ; Cu-Ni ; VF/XF ; 17 ; Атлантик ; 57 
 3417 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; VF-XF ; 12 ; Михалыч57 ; 215 
 3418 ; 1 гривна. Украина. Владимир Великий ; 2006 ;  ; Латунь ; XF- ; 15 ; Rusik ; 46 
 3419 ; 1 крона. Эстония ; 2001 ;  ; Латунь ; VF-XF ; 7 ; Sam ; 21 
 3420 ; 1 крона. Эстония ; 2003 ;  ; Латунь ; XF ; 19 ; syslik ; 22 
 3421 ; 25 новых пенсов. Великобритания. Юбилей королевы-матери ; 1980 ;  ; Cu-Ni ; AU ; 13 ; kornum ; 114 
 3422 ; 5 шиллингов. Великобритания. Фестиваль в Британии ; 1951 ;  ; Cu-Ni ; AU ; 19 ; Eddy ; 459 
 3423 ; 50 эре. Норвегия ; 1927 ;  ; Cu-Ni ; VF ; 8 ; Lada-2108 ; 26 
 3424 ; 10 сантимов. Люксембург ; 1901 ;  ; Cu-Ni ; VF ; 9 ; tolegv ; 42 
 3425 ; 1 крона. Чехословакия ; 1924 ;  ; Cu-Ni ; VF ; 21 ; бортик ; 104 
 3426 ; 100 лей. Румыния ; 1943 ;  ; Cu-Ni ; VF-XF ; 20 ; kornum ; 59 
 3427 ; 1 цент. Ямайка ; 1970 ;  ; Br ; VF ; 13 ; акуна матата ; 57 
 3428 ; 2 лей.  Румыния ; 1947 ;  ; Br ; VF ; 19 ; DVZ ; 216 
 3429 ; 2 эре. Норвегия ; 1936 ;  ; Br ; VF ; 12 ; Sam ; 34 
 3430 ; 1 эре. Дания ; 1934 ;  ; Br ; VF+ ; 12 ; Lada-2108 ; 24 
 3431 ; 1 цент. Нидерланды ; 1902 ;  ; Br ; XF ; 9 ; blagoslav ; 37 
 3432 ; 1 пенни. Великобритания ; 1901 ;  ; Cu ; F-VF ; 9 ; blagoslav ; 36 
 3433 ; 1 крейцер. Австрия ; 1816A ;  ; Cu ; VF ; 14 ; Eddy ; 138 
 3434 ; Фартинг. Великобритания ; 1834 ;  ; Cu ; VF ; 69 ; Щука ; 501 
 3435 ; Фартинг. Великобритания ; 1886 ;  ; Cu ; XF ; 25 ; maleevsw ; 352 
 3436 ; 10 филлеров. Венгрия ; 1942 ;  ; Fe ; VF ; 16 ; off ; 77 
 3437 ; 1 пенго. Венгрия ; 1944 ;  ; Al ; VF+ ; 24 ; бортик ; 55 
 3438 ; 2 пенго. Венгрия ; 1943 ;  ; Al ; VF-XF ; 19 ; vb96 ; 181 
 3439 ; 20 чентезимо. Италия ; 1942 ;  ; St ; VF+ ; 12 ; Alexv45 ; 36 
 3440 ; Шиллинг. Великобритания ; 1817 ;  ; Ag ; VF ; 53 ; Rober ; 918 
 3441 ; 50 крон. Чехословакия. 70 лет Сталину ; 1949 ;  ; Ag ; XF ; 24 ; markos ; 1020 
 3442 ; 100 крон. Чехословакия. 70 лет Сталину ; 1949 ;  ; Ag ; XF ; 25 ; markos ; 1114 
 3443 ; 100 шиллингов. Танзания ; 1986 ;  ; Ag ; Proof ; 22 ; Алек ; 960 
 3444 ; 5 крон. Чехословакия ; 1925 ;  ; Cu/Ni ; VF- ; 37 ; MDV ; 114 
 3445 ; 5 крон. Чехословакия ; 1926 ;  ; Cu/Ni ; VF- ; 15 ; MDV ; 104 
 3446 ; 1 крона. Австрия ; 1894 ;  ; Ag ; VF+ ; 23 ; indexio ; 402 
 3447 ; 20 крейцеров. Австрия ; 1868 ;  ; Ag ; VF+ ; 26 ; olancepok ; 408 
 3448 ; 1/2 кроны. Новая Зеландия ; 1934 ;  ; Ag ; VF- ; 17 ; Searcher ; 612 
 3449 ; 1 флорин. Австрия ; 1860 ;  ; Ag ; F-VF ; 28 ; jj ; 306 
 3450 ; 1 флорин. Австрия ; 1876 ;  ; Ag ; F-VF ; 23 ; indexio ; 320 
 3451 ; 1 боливар. Венесуэла ; 1835 ;  ; Ag ; XF ; 35 ; SD315 ; 612 
 3452 ; 1 грош. Латвия, Курляндия ; 1764 ;  ; Ag ; F ; 18 ; кs ; 4080 
 3453 ; 3 гроша. Польша ; 1788 ;  ; Cu ; F+ ; 13 ; Хаа ; 272 
 3454 ; 1 грош. Польша ; 1797В ;  ; Cu ; F ; 21 ; lestes ; 272 
 3455 ; 2 эре. Швеция ; 1900 ;  ; Br ; VF ; 14 ; коллега ; 90 
 3456 ; 1/2 пенни. Великобритания ; 1957 ;  ; Br ; VF+ ; 23 ; Diablo666.xs ; 153 
 3457 ; 1 пфенниг. Германия ; 1909F ;  ; Cu ; VF+ ; 40 ; Jauho ; 46 
 3458 ; 2 грошена. Австрия ; 1928 ;  ; Cu ; VF+ ; 11 ; t_v_v ; 53 
 3459 ; 5 грошей. Польша ; 1937 ;  ; Cu ; VF+ ; 25 ; Jauho ; 136 
 3460 ; 10 хеллеров. Чехословакия ; 1938 ;  ; Br ; F+ ; 18 ; бортик ; 55 
 3361 ; 1 крона. Швеция ; 1940 ;  ; Ag ; XF ; 13 ; DVZ ; 226 
 3362 ; 1 лит. Литва ; 1925 ;  ; Ag ; VF ; 27 ; черный ; 394 
 3363 ; 20 сенти. Литва ; 1925 ;  ; Al/Br ; VF-XF ; 11 ; doc2 ; 261 
 3364 ; 5 сенти. Литва ; 1925 ;  ; Al/Br ; VF-XF ; 5 ; doc2 ; 200 
 3365 ; 5 сенти. Литва ; 1936 ;  ; Br ; XF- ; 15 ; doc2 ; 200 
 3366 ; 10 пфеннингов. Германия ; 1938Е ;  ; Al/Br ; VF+ ; 16 ; Lada-2108 ; 100 
 3367 ; 10 миллимес. Египет ; 1973 ;  ; Латунь ; XF+ ; 13 ; OVK ; 36 
 3368 ; 1/12 шиллинга. Джерси ; 1931 ;  ; Br ; XF+ ; 17 ; 1023oxana ; 107 
 3369 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; AU ; 12 ; артега ; 218 
 3370 ; 2 кроны. Швеция ; 1938 ;  ; Ag ; XF ; 17 ; Walther ; 441 
 3371 ; 6 крейцеров Австрия ; 1849A ;  ; Ag ; F+ ; 25 ; Гвидон ; 301 
 3372 ; 10 крейцеров. Австрия ; 1872 ;  ; Ag ; F+ ; 21 ; vangog3 ; 159 
 3373 ; 100 йен. Япония ; 1958 ;  ; Ag ; XF ; 37 ; ipax ; 322 
 3374 ; 2 лата. Латвия ; 1993 ;  ; Cu-Ni ; XF- ; 15 ; bva150979 ; 227 
 3375 ; 1 скиллинг. Дания ; 1856 ;  ; Br ; VF ; 19 ; черный ; 252 
 3376 ; 1 фартинг. Великобритания ; 1951 ;  ; Br ; XF+ ; 19 ; maleevsw ; 51 
 3377 ; 5 шиллингов (1 крона). Великобритания, Георг VI. 100 лет великой выставки 1851г и Британскому фестивалю ; 1951 ;  ; Cu/Ni ; AU ; 23 ; моя ставка господа ; 541 
 3378 ; 1/2 пенни. Великобритания ; 1951 ;  ; Br ; VF+ ; 18 ; maleevsw ; 67 
 3379 ; 1/2 пенни. Великобритания ; 1958 ;  ; Br ; XF+ ; 52 ; 1023oxana ; 306 
 3380 ; 1/2 пенни. Великобритания ; 1953 ;  ; Br ; XF- ; 16 ; sibirian ; 101 
 3381 ; 5 шиллингов. Великобритания. Коронация Елизаветы II ; 1953 ;  ; Cu/Ni ; AU ; 19 ; krugerrand ; 207 
 3382 ; 1 шиллинг. Великобритания ; 1936 ;  ; Ag ; XF ; 18 ; черный ; 400 
 3383 ; 1 шиллинг. Британская Восточная Африка ; 1924 ;  ; Ag ; VF-XF ; 50 ; 1023oxana ; 867 
 3384 ; 1/2 кроны. Великобритания. Золотой юбилей правления ; 1887 ;  ; Ag ; X- ; 38 ; 1023oxana ; 1385 
 3385 ; 1 фартинг. Великобритания ; 1932 ;  ; Br ; XF- ; 23 ; blagoslav ; 57 
 3386 ; 1 фартинг. Великобритания ; 1930 ;  ; Br ; XF- ; 20 ; maleevsw ; 91 
 3387 ; 1 фартинг. Великобритания ; 1928 ;  ; Br ; XF- ; 18 ; maleevsw ; 100 
 3388 ; 3 пенса. Великобритания ; 1934 ;  ; Ag ; VF ; 14 ; blagoslav ; 80 
 3389 ; 3 пенса. Великобритания ; 1935 ;  ; Ag ; VF ; 12 ; maleevsw ; 123 
 3390 ; 3 пенса. Великобритания ; 1936 ;  ; Ag ; VF-XF ; 22 ; 1023oxana ; 306 
 3391 ; 1 пенс. Великобритания, Георг II. Ремонт гурта 12 часов ; 1739 ;  ; Ag ; F-VF ; 36 ; черный ; 793 
 3392 ; Двойной флорин. Великобритания. Золотой юбилей правления ; 1887 ;  ; Ag ; XF ; 54 ; 1023oxana ; 4080 
 3393 ; 1 крона. Великобритания. Черчилль ; 1965 ;  ; Cu/Ni ; AU ; 12 ; Vitaly26 ; 123 
 3394 ; 25 новых пенсов. Великобритания. Свадьба принца Чарльза и леди Дианы ; 1981 ;  ; Cu/Ni ; AU ; 19 ; бортик ; 123 
 3395 ; 25 новых пенсов. Великобритания. Серебряный юбилей правления ; 1977 ;  ; Cu/Ni ; AU ; 13 ; Vovian ; 96 
 3396 ; 3 пенса. Великобритания ; 1967 ;  ; Al/Br ; XF+ ; 31 ; 1023oxana ; 136 
 3397 ; 1 доллар. Сомали. Пума ; 2008 ;  ; Cu-Ni,серебрени ; AU ; 11 ; Mike! ; 283 
 3398 ; 1 доллар. США. 100 лет Эйзенхауэру ; 1990 ;  ; Ag ; AU ; 13 ; черный ; 1700 
 3399 ; 1 крона. Австрия. Миллениум ; 1896 ;  ; Ag ; VF+ ; 25 ; Petkovic ; 359 
 3400 ; 3 пенса. Велиобритания ; 1941 ;  ; Ni-Лат ; VF ; 11 ; blagoslav ; 28 
 3401 ; 1 дайм. США ; 1908 ;  ; Ag ; VF ; 14 ; indexio ; 401 
 3402 ; 1 крона. Великобритания. Коронация короля Георга VI ; 1937 ;  ; Ag ; XF+ ; 41 ; cotofeich ; 1702 
 3403 ; 1 шиллинг. Великобритания. Шотландский герб ; 1944 ;  ; Ag ; VF+ ; 15 ; андрей1957 ; 310 
 3404 ; 1 шиллинг. Великобритания. Английский герб ; 1944 ;  ; Ag ; VF+ ; 19 ; maleevsw ; 363 
 3405 ; 1 флорин. Великобритания ; 1921 ;  ; Ag ; VF ; 24 ; Гвидон ; 216 
 3406 ; 1 флорин. Великобритания ; 1935 ;  ; Ag ; VF ; 39 ; Johnny Walker ; 289 
 3407 ; 1 пенни. Ирландия ; 1942 ;  ; Br ; VF+ ; 3 ; bva150979 ; 26 
 3408 ; 3 пенса. Ирландия ; 1928 ;  ; Cu/Ni ; VF+ ; 25 ; Bambr ; 180 
 3409 ; 3 пенса. Великобритания ; 1966 ;  ; Al/Br ; XF+ ; 5 ; maleevsw ; 26 
 3410 ; 3 пенса. Великобритания ; 1941 ;  ; Al/Br ; XF ; 15 ; 1023oxana ; 36 
 3311 ; 1000 эскудо. Португалия. Национальный танец ; 1997 ;  ; Ag ; AU ; 24 ; OVK ; 648 
 3312 ; 25 центов. Ньюфаундленд ; 1919 ;  ; Ag ; VF- ; 39 ; Mukoved ; 516 
 3313 ; 50 центов. Британский Цейлон ; 1903 ;  ; Ag ; F-VF ; 51 ; WikiLeaks ; 589 
 3314 ; 1 шиллинг. Новая Зеландия ; 1935 ;  ; Ag ; F-VF ; 31 ; Гвидон ; 170 
 3315 ; 6 пенсов. Новая Зеландия ; 1933 ;  ; Ag ; VF- ; 25 ; бортик ; 153 
 3316 ; 50 сантимов. Франция ; 1888 ;  ; Ag ; VF- ; 17 ; vangog3 ; 255 
 3317 ; 3 пенса. Австралия ; 1910 ;  ; Ag ; F-VF ; 23 ; andreyM ; 207 
 3318 ; 2 куна. Папуа Новой Гвинеи. 35 лет банковской системе ; 2008 ;  ; Би/м ; AU ; 65 ; kornum ; 192 
 3319 ; 2 пенса. Остров Мен ; 1995 ;  ; Br ; VF ; 18 ; ratiandr ; 57 
 3320 ; 1 пенни. Великобритания ; 1937 ;  ; Br ; VF+ ; 22 ; t_v_v ; 51 
 3321 ; 50 тенге. Казахстан. Еж ; 2013 ;  ; Cu/Ni ; XF+ ; 7 ; ☆texas-dv☆ ; 80 
 3322 ; 100 драхм. Греция. Баскетбол ; 1998 ;  ; Лат ; XF+ ; 21 ; anders1971 ; 124 
 3323 ; 100 драхм. Греция. Борьба ; 1999 ;  ; Лат ; XF+ ; 12 ; igordim ; 104 
 3324 ; 10 шиллингов. Сомали. Девы ; 2006 ;  ; St ; AU ; 13 ; luchsva ; 26 
 3325 ; 1 пенс. Остров Мен. Античные кельи ; 2003 ;  ; Cu/Fe ; XF+ ; 18 ; andy2012 ; 57 
 3326 ; 1 эре. Швеция ; 1907 ;  ; Br ; VF+ ; 5 ; DVZ ; 102 
 3327 ; 5 эре. Швеция ; 1902 ;  ; Br ; VF- ; 11 ; DVZ ; 80 
 3328 ; 5 эре. Швеция ; 1898 ;  ; Br ; F-VF ; 11 ; blagoslav ; 57 
 3329 ; 5 эре. Швеция ; 1903 ;  ; Br ; F-VF ; 7 ; blagoslav ; 51 
 3330 ; 5 эре. Швеция ; 1900 ;  ; Br ; VF- ; 23 ; DVZ ; 123 
 3331 ; 5 эре. Швеция ; 1901 ;  ; Br ; F-VF ; 11 ; DVZ ; 51 
 3332 ; 5 эре. Швеция ; 1907 ;  ; Br ; VF ; 7 ; DVZ ; 90 
 3333 ; 5 эре. Швеция ; 1899 ;  ; Br ; VF- ; 11 ; DVZ ; 57 
 3334 ; 20 рублей. Беларусь. Корабль "Седов" ; 2008 ;  ; Ag ; AU ; 19 ; alexgp ; 1734 
 3335 ; 10 рублей. Беларусь. Черный свиргуль. Сертификат ; 2012 ;  ; Ag ; Proof ; 20 ; AB ; 1461 
 3336 ; 20 рублей. Беларусь. Хруцкий. Сертификат ; 2010 ;  ; Ag,краска ; Proof ; 29 ; safanya ; 2029 
 3337 ; 1 рубль. Беларусь. Война 1812г ; 2012 ;  ; Cu-Ni ; Proof ; 43 ; Cosmos ; 505 
 3338 ; 1 рубль. Беларусь. Змей Горыныч ; 2009 ;  ; Cu-Ni ; Proof ; 30 ; Cosmos ; 413 
 3339 ; 1 рубль. Беларусь. Дева Мария и Иисус ; 2013 ;  ; Cu-Ni ; Proof ; 24 ; cr2952 ; 521 
 3340 ; 1 рубль. Беларусь. Белорусский балет ; 2013 ;  ; Cu-Ni ; Proof ; 23 ; safanya ; 372 
 3341 ; 1 рубль. Беларусь. ФИФА ; 2013 ;  ; Cu-Ni ; Proof ; 24 ; sveta6369 ; 441 
 3342 ; 1 рубль. Беларусь. 1025 лет крещения Руси ; 2013 ;  ; Cu-Ni ; Proof ; 37 ; Vanka ; 414 
 3343 ; 1 рубль. Беларусь. Обыкновенный соловей ; 2007 ;  ; Cu-Ni ; Proof ; 14 ; Redkyt ; 510 
 3344 ; 1 рубль. Беларусь. Телец ; 2009 ;  ; Cu-Ni ; Proof ; 21 ; Cosmos ; 349 
 3345 ; 1 рубль. Беларусь. Овен ; 2009 ;  ; Cu-Ni ; Proof ; 12 ; Professor1 ; 333 
 3346 ; 1 рубль. Беларусь. Лев Сапега ; 2010 ;  ; Cu-Ni ; Proof ; 9 ; sibirian ; 301 
 3347 ; 1 рубль. Беларусь. Сретение ; 2010 ;  ; Cu-Ni ; Proof ; 15 ; Cosmos ; 373 
 3348 ; 1 рубль. Беларусь. Белая уапля ; 2008 ;  ; Cu-Ni ; Proof ; 9 ; Redkyt ; 404 
 3349 ; 1 рубль. Беларусь. Горнолыжный цен ; 2006 ;  ; Cu-Ni ; Proof ; 24 ; генерал777 ; 414 
 3350 ; 1 рубль. Беларусь. Гончарство ; 2012 ;  ; Cu-Ni ; Proof ; 26 ; sibirian ; 306 
 3351 ; 1 рубль. Беларусь. Воложинская иешива ; 2010 ;  ; Cu-Ni ; Proof ; 9 ; sibirian ; 278 
 3352 ; 5 гривен. Украина. Слава Екатерины ; 2013 ;  ; Cu-Ni ; AU ; 46 ; RUS 78 ; 357 
 3353 ; 50 эре. Швеция ; 1955 ;  ; Ag ; XF+ ; 9 ; pac262 ; 93 
 3354 ; 10 эре. Швеция ; 1953 ;  ; Ag ; XF ; 9 ; blagoslav ; 63 
 3355 ; 20 драхм. Греция ; 1973 ;  ; Cu/Ni ; VF+ ; 14 ; Атлантик ; 73 
 3356 ; 10 драхм. Греция ; 1959 ;  ; Cu/Ni ; VF ; 10 ; t_v_v ; 42 
 3357 ; 5 марок. Финляндия ; 1946 ;  ; Al/Br ; VF+ ; 18 ; kornum ; 114 
 3358 ; 1/2 доллара. США. Выставка в Чикаго ; 1893 ;  ; Ag ; VF ; 36 ; Волк33 ; 1034 
 3359 ; 1000 злотых. Польша. Иоанн Павел II ; 1982 ;  ; Ag ; XF ; 36 ; WOLSCHARA ; 556 
 3360 ; 20 эскудо. Португалия. Салазарский мост ; 1966 ;  ; Ag ; AU ; 22 ; Кoчeвниk ; 359 
 3261 ; 100 эскудо. Португалия. Небесная навигация ; 1990 ;  ; Cu-Ni ; XF+ ; 10 ; brat52 ; 87 
 3262 ; 100 эскудо. Португалия. Диего Као ; 1987 ;  ; Cu-Ni ; XF+ ; 8 ; alexgp ; 90 
 3263 ; 1 марка. Финляндия ; 1922 ;  ; Cu-Ni ; XF ; 11 ; tpls ; 235 
 3264 ; 2 эре. Швеция ; 1759 ;  ; Cu ; F-VF ; 31 ; boroda ; 729 
 3265 ; 10 крон. Норвегия ; 2013 ;  ; Cu-Ni ; AU ; 6 ; DVZ ; 118 
 3266 ; 10 крон. Норвегия ; 2010 ;  ; Cu-Ni ; AU ; 8 ; DVZ ; 124 
 3267 ; 10 крон. Норвегия ; 2011 ;  ; Cu-Ni ; AU ; 20 ; jj ; 192 
 3268 ; 10 крон. Норвегия ; 2008 ;  ; Cu-Ni ; AU ; 5 ; DVZ ; 115 
 3269 ; 20 крон. Норвегия ; 2006 ;  ; Латунь ; AU ; 9 ; sibirian ; 220 
 3270 ; 20 крон. Норвегия ; 1999 ;  ; Латунь ; AU ; 20 ; DVZ ; 192 
 3271 ; 20 центов. Австралия. На свадьбу Кетрин Мидлтон и принца Генри ; 2011 ;  ; Cu-Ni ; AU ; 16 ; t_v_v ; 77 
 3272 ; 2 пенса. Гибралтар. Бриллиантовая свадьба ; 2007 ;  ; Br ; AU ; 20 ; Lena6975 ; 94 
