 301 ; 1/4 копейки ; 1916 ;  ; Cu ; VF- ; 21 ; Участник № 147 ; 14000 
 82 ; 1,5 рубля-10 злотых ; 1833 ; НГ Рус.-Пол. ; Ag ; AU/XF ; 49 ; Участник № 520 ; 42000 
 83 ; 3/4 рубля-5 злотых ; 1833 ; НГ Рус.-Пол. ; Ag ; AU/XF ; 30 ; Участник № 30 ; 25000 
 84 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF ; 30 ; Участник № 147 ; 4400 
 85 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 29 ; клотик 2 ; 4080 
 86 ; 5 копеек ; 1833 ; СМ ; Cu ; VF ; 25 ; stalker71 ; 4080 
 87 ; Копейка ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 38 ; alex-05 ; 3000 
 88 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF- ; 32 ; Участник № 1 ; 5500 
 89 ; 1 грош ; 1835 ; MW Рус.-Пол. ; Cu ; VF ; 11 ; Участник № 18 ; 6000 
 90 ; 1,5 рубля-10 злотых ; 1836 ; НГ Рус.-Пол. ; Ag ; XF- ; 26 ; int1965708 ; 11999 
 91 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF- ; 20 ; Zигмунт ; 9400 
 92 ; 15 копеек-1 злотый ; 1836 ; НГ Рус.-Пол. ; Ag ; AU ; 20 ; Участник № 133 ; 3500 
 93 ; 15 копеек-1 злотый ; 1836 ; MW Рус.-Пол. ; Ag ; AU/XF ; 42 ; Участник № 462 ; 4400 
 94 ; 1 грош ; 1836 ; MW Рус.-Пол. ; Cu ; VF- ; 18 ; Участник № 30 ; 7500 
 95 ; 15 копеек-1 злотый ; 1837 ; MW Рус.-Пол. ; Ag ; VF-XF ; 11 ; Участник № 18 ; 3000 
 96 ; 15 копеек-1 злотый ; 1838 ; MW Рус.-Пол. ; Ag ; VF-XF ; 11 ; PSP ; 1111 
 97 ; 30 копеек-2 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; AU ; 36 ; Участник № 30 ; 15000 
 98 ; 1 грош ; 1839 ; MW Рус.-Пол. ; Cu ; XF ; 12 ; Fedor_K ; 7270 
 99 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 16 ; Участник № 623 ; 5000 
 100 ; 5 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 20 ; Участник № 133 ; 8000 
 1 ; Копейка ; 1713 ;  ; Cu ; VF- ; 41 ; Участник № 7 ; 1800 
 2 ; Алтын ; 1718 ; L перевернута ; Ag ; VF ; 45 ; М О С К В А ; 18866 
 3 ; Рубль ; 1723 ;  ; Ag ; VF+ ; 39 ; АВлад ; 25806 
 4 ; Рубль ; 1724 ;  ; Ag ; VF-XF ; 36 ; Участник № 520 ; 29000 
 5 ; Рубль ; 1725 ;  ; Ag ; VF+ ; 41 ; Zигмунт ; 28182 
 6 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF- ; 26 ; Участник № 532 ; 2300 
 7 ; Рубль ; 1732 ;  ; Ag ; VF ; 31 ; Zигмунт ; 15073 
 8 ; Рубль ; 1733 ;  ; Ag ; VF+ ; 15 ; Zигмунт ; 13374 
 9 ; Рубль ; 1733 ;  ; Ag ; VF+ ; 21 ; Zигмунт ; 14733 
 10 ; Рубль ; 1734 ;  ; Ag ; VF ; 24 ; Участник № 1362 ; 13000 
 11 ; Рубль ; 1736 ;  ; Ag ; VF ; 25 ; Участник № 1362 ; 15000 
 12 ; Рубль (Петров-3р) ; 1737 ;  ; Ag ; VF- ; 29 ; Участник № 1362 ; 13000 
 13 ; Рубль ; 1737 ;  ; Ag ; VF- ; 22 ; АВлад ; 16000 
 14 ; Гривенник ; 1743 ;  ; Ag ; VF ; 53 ; UFO ; 6831 
 15 ; Рубль ; 1745 ; ММД ; Ag ; VF+ ; 26 ; АВлад ; 16575 
 16 ; Гривенник ; 1746 ;  ; Ag ; VF+ ; 18 ; dimon46 ; 2242 
 17 ; Гривенник ; 1747 ;  ; Ag ; VF ; 31 ; Участник № 7 ; 1900 
 18 ; Рубль ; 1748 ; СПБ ; Ag ; VF+ ; 36 ; Участник № 133 ; 18000 
 19 ; Рубль ; 1749 ; СПБ ; Ag ; VF-/VF+ ; 29 ; АВлад ; 15723 
 20 ; Рубль (Петров-3р) ; 1751 ; ММД ; Ag ; VF+ ; 33 ; АВлад ; 18133 
 21 ; Рубль ; 1752 ; СПБ ЯI ; Ag ; XF- ; 38 ; Участник № 520 ; 34000 
 22 ; Рубль ; 1753 ; СПБ IM ; Ag ; VF+ ; 20 ; АВлад ; 14382 
 23 ; Рубль (Петров-3р) ; 1754 ; СПБ ЯI ; Ag ; VF+ ; 27 ; Участник № 1 ; 15500 
 24 ; Рубль ; 1755 ; ММД МБ ; Ag ; VF/VF+ ; 36 ; М О С К В А ; 21344 
 25 ; Рубль (Петров-3р) ; 1756 ; СПБ IM BS ; Ag ; VF+ ; 49 ; АВлад ; 22667 
 26 ; 5 копеек ; 1757 ; СПБ ; Ag ; VF-XF ; 38 ; Участник № 133 ; 3700 
 27 ; 5 копеек ; 1757 ; СПБ ; Ag ; VF+ ; 32 ; Участник № 133 ; 1800 
 28 ; 2 копейки (Петров-4р) ; 1757 ; Ливонез ; Ag ; XF+ ; 43 ; Участник № 520 ; 33000 
 29 ; 2 копейки ; 1762 ;  ; Cu ; VF- ; 49 ; М О С К В А ; 22417 
 30 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; VF+ ; 28 ; serg2010 ; 14394 
 31 ; Полтина ; 1763 ; СПБ ЯI ; Ag ; VF- ; 29 ; Участник № 147 ; 14000 
 32 ; 5 копеек (Петров-5р, Ильин-5р) ; 1767 ; ММ ; Cu ; F-VF ; 52 ; Участник № 51 ; 12000 
 33 ; 5 копеек (Ильин-3р) ; 1768 ; ММ ; Cu ; F-VF ; 21 ; кабан ; 5600 
 34 ; Полушка ; 1768 ; ЕМ ; Cu ; VF+ ; 37 ; ST ; 601 
 35 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; VF+ ; 23 ; serg2010 ; 13000 
 36 ; Пара-3 деньги (Петров-1,5р) ; 1772 ; Валахия ; Cu ; VF ; 15 ; Fedor_K ; 5610 
 37 ; Денга ; 1773 ; КМ "Сибирь" ; Cu ; VF- ; 40 ; ВДВ ; 1200 
 38 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF- ; 24 ; serg2010 ; 13855 
 39 ; 5 копеек ; 1776 ; ЕМ ; Cu ; VF-XF ; 7 ; 390 ; 450 
 40 ; Рубль. М-1,21г ; 1779 ; "Для дворцового обихода" ; Au ; VF-XF ; 40 ; int1965708 ; 30750 
 41 ; 5 копеек (Ильин-3р) ; 1779 ; ЕМ ; Cu ; F-VF ; 15 ; 1234567 ; 4080 
 42 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; VF-XF ; 61 ; Участник № 1362 ; 15000 
 43 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; VF+ ; 16 ; АВлад ; 14355 
 44 ; 5 копеек (Петров-10р, Ильин-10р) ; 1788 ; ММ ; Cu ; F-VF ; 35 ; золотник ; 40000 
 45 ; 2 копейки (Петров-8р, Ильин-3р) ; 1788 ; СПМ ; Cu ; F-VF ; 17 ; 1234567 ; 2306 
 46 ; 5 копеек ; 1790 ; КМ ; Cu ; VF-XF ; 32 ; 5491 ; 6500 
 47 ; 5 копеек ; 1791 ; КМ ; Cu ; VF-XF ; 13 ; monos72 ; 4080 
 48 ; Денга ; 1795 ; ЕМ ; Cu ; VF ; 15 ; gerz ; 1326 
 49 ; 2 копейки ; 1799 ; ЕМ ; Cu ; VF-XF ; 11 ; Lotus 99 ; 614 
 50 ; Рубль ; 1802 ; СПБ АИ ; Ag ; VF+ ; 26 ; int1965708 ; 18679 
