 5824 ; Ценная бумага Германия ;  ;  ;  ;  ; 14 ; tikhomirius ; 141 
 3862 ; 1 крона. Австрия. 60 лет правления ; 1908 ;  ; Ag ; VF ; 30 ; kma066 ; 378 
 3863 ; 1 крона. Швеция ; 1965 ;  ; Ag ; XF+ ; 16 ; krugerrand ; 101 
 3864 ; 1 шиллинг. Австралия ; 1958 ;  ; Ag ; XF ; 28 ; kostik_ne ; 333 
 3865 ; 1 лира. Сирия ; 1950 ;  ; Ag ; VF ; 27 ; 8888 ; 493 
 3866 ; 1 шиллинг. Великобритания ; 1926 ;  ; Ag ; F-VF ; 13 ; kostik_ne ; 222 
 3867 ; 1/2 шиллинга. Австрия ; 1925 ;  ; Ag ; XF+ ; 17 ; kornum ; 255 
 3868 ; 6 крейцеров. Австрия ; 1849 ;  ; Ag ; F ; 10 ; aziya11 ; 124 
 3869 ; Монета. Индия ; 1304 ;  ; Ag ; VF ; 42 ; remetalk ; 983 
 3870 ; 5 патака. Португальское Макао ; 1971 ;  ; Ag ; XF ; 40 ; kehha ; 562 
 3871 ; 1/2 франка. Швейцария ; 1960 ;  ; Ag ; XF ; 8 ; gerber68 ; 81 
 3872 ; 500 лир. Италия ; 1991 ;  ; Ag ; XF/AU ; 32 ; dsp ; 553 
 3873 ; 10 эре. Дания ; 1905 ;  ; Ag ; VF ; 11 ; banks ; 217 
 3874 ; 1 франка. Швейцария ; 1961 ;  ; Ag ; AU ; 25 ; Хаа ; 728 
 3875 ; 5 эскудо. Португалия ; 1960 ;  ; Ag ; AU ; 17 ; doiu33 ; 281 
 3876 ; 2 евро. Проба. Мальта ; 2012 ;  ; Би/м ; AU ; 29 ; отец Аваккум ; 184 
 3877 ; 2 евро. Финляндия. Хелен Шерфбек ; 2011 ;  ; Би/м ; XF ; 5 ; SPRogov ; 101 
 3878 ; 2 евро. Финляндия. 200 лет Банку Финляндии ; 1990 ;  ; Би/м ; XF ; 15 ; zoloto ; 134 
 3879 ; 500 лир. Сан-Марино ; 2000 ;  ; Би/м ; XF ; 13 ; dsp ; 77 
 3880 ; 20 динаров. Алжир ;  ;  ; Би/м ; VF ; 7 ; t_v_v ; 40 
 3881 ; 5 евро. Финляндия ; 2011 ;  ; Би/м ; XF ; 18 ; zoloto ; 277 
 3882 ; 5 эре. Норвегия ; 1943 ;  ; Fe ; VF ; 5 ; doiu33 ; 90 
 3883 ; 1 динар. Иордания ; 1998 ;  ; латунь ; VF ; 15 ; vc57 ; 92 
 3884 ; 5 марок. Финляндия ; 1972 ;  ; латунь ; XF ; 9 ; krugerrand ; 45 
 3885 ; 20 евроцентов. Проба ; 2004 ;  ; латунь ; XF+ ; 22 ; Helssten ; 84 
 3886 ; 200 лир. Сан-Марино ; 1995 ;  ; латунь ; XF ; 10 ; t_v_v ; 28 
 3787 ; 50 рупий. Маврикий ; 1975 ;  ; Ag ; XF+ ; 15 ; OVK ; 1200 
 3788 ; 5 крон. Норвегия. 150 лет иммиграции в Америку ; 1975 ;  ; Cu-Ni ; XF ; 40 ; ВЯЗ ; 385 
 3789 ; 5 крон. Норвегия. 100 лет Норвежской кроне ; 1975 ;  ; Cu-Ni ; XF ; 29 ; jj ; 149 
 3790 ; 5 крон. Норвегия. 300-летие норвежского монетного двора ; 1986 ;  ; Cu-Ni ; XF+ ; 22 ; страус ; 152 
 3791 ; 5 крон. Норвегия. 175-летие норвежского национального банка ; 1991 ;  ; Cu-Ni ; XF ; 36 ; dsp ; 268 
 3792 ; 5 крон. Норвегия. 100-летие окончания норвежской полярной экспедиции на "Фраме" ; 1996 ;  ; Cu-Ni ; XF+ ; 51 ; sibirian ; 396 
 3793 ; 5 крон. Норвегия. 350-летие норвежской почты ; 1997 ;  ; Cu-Ni ; XF ; 35 ; S1952 ; 156 
 3794 ; 5 крон. Норвегия ; 1995 ;  ; Cu-Ni ; XF+ ; 21 ; dsp ; 283 
 3795 ; 5 крон. Норвегия. 50 лет ООН ; 1995 ;  ; Cu-Ni ; XF+ ; 19 ; buynyi76 ; 351 
 3796 ; 10 марок. Финляндия. 50 лет независимости ; 1967 ;  ; Ag ; XF ; 30 ; артега ; 459 
 3797 ; 10 марок. Финляндия. 60 лет независимости ; 1977 ;  ; Ag ; AU ; 20 ; артега ; 414 
 3798 ; 10 марок. Финляндия. Кекконен ; 1975 ;  ; Ag ; AU ; 14 ; msv83 ; 429 
 3799 ; 50 марок. Финляндия. Хоккей ; 1982 ;  ; Ag ; XF ; 23 ; безумец ; 714 
 3800 ; 50 марок. Финляндия. Калевала ; 1985 ;  ; Ag ; AU ; 40 ; Allegro33 ; 828 
 3801 ; 100 марок. Финляндия. Искусство Финляндии ; 1989 ;  ; Ag ; AU ; 29 ; OgAnVi ; 958 
 3802 ; 50 марок. Финляндия. Кекконен ; 1981 ;  ; Ag ; AU ; 21 ; Monata ; 600 
 3803 ; 200 крон. Швеция. Густав III ; 1992 ;  ; Ag ; AU ; 26 ; vicnic ; 1908 
 3804 ; Медаль. История Швеции. D-38мм ; 2000 ;  ; Ag ; Proof ; 12 ; dsp ; 861 
 3805 ; 50 евро. Португалия. Изабелла Португальская ; 1997 ;  ; Ag ; Proof ; 18 ; OgAnVi ; 2267 
 3806 ; 1 доллар. США ; 1922 ;  ; Ag ; VF-XF ; 14 ; Marik ; 1160 
 3807 ; 1/2 доллара. США ; 1952 ;  ; Ag ; VF+ ; 10 ; perevozchik ; 567 
 3808 ; 1 песо. Мексика ; 1943 ;  ; Ag ; XF ; 32 ; westof ; 663 
 3809 ; 50 центов. Канада. 100 лет Конфедерации ; 1967 ;  ; Ag ; XF ; 26 ; Tornado ; 405 
 3810 ; 5 марок. Германия. Подписная Кирха ; 1934D ;  ; Ag ; VF ; 23 ; Vb[fksx ; 822 
 3811 ; 20 крузейро. Бразилия ; ND ;  ; Ag ; XF ; 18 ; S1952 ; 579 
 3812 ; 50 пиастров. Египет. Насер ; 1970 ;  ; Ag ; XF+ ; 43 ; Алек ; 567 
 3813 ; 1 фунт. Египет. Асуанская дамба ; 1968 ;  ; Ag ; AU ; 40 ; kefrost ; 921 
 3814 ; 2 кроны. Швеция ; 1966 ;  ; Ag ; XF+ ; 8 ; Legio ; 200 
 3815 ; 50 крон. Словакия ; 1991 ;  ; Ag ; AU ; 24 ; kostik_ne ; 666 
 3816 ; 5 франков. Франция ; 1963 ;  ; Ag ; XF ; 11 ; Elephant ; 270 
 3817 ; 14 экю. Гибралтар ; 1994 ;  ; Ag ; AU ; 19 ; kostik_ne ; 1111 
 3818 ; 5 риалов. Иран ; 1323 ;  ; Ag ; XF ; 25 ; 5252 ; 228 
 3819 ; 10 пиастров. Египет ; 1333 ;  ; Ag ; VF- ; 33 ; vb96 ; 507 
 3820 ; 50 филс. Ирак ; 1959 ;  ; Ag ; F-VF ; 25 ; kostik_ne ; 333 
 3821 ; 1/4 доллара. США ;  ;  ; Ag ; F- ; 22 ; kostik_ne ; 333 
 3822 ; 1 марка. Финляндия ; 1964 ;  ; Ag ; AU ; 26 ; vicktor_2014 ; 206 
 3823 ; 25 песо. Мексика. Кубок мира по футболу ; 1985 ;  ; Ag ; XF ; 13 ; Amonius ; 451 
 3824 ; 25 центов. Канада. 100 лет Конфедерации ; 1967 ;  ; Ag ; XF+ ; 5 ; Helssten ; 167 
 3825 ; 1 шиллинг. Австрия ; 1925 ;  ; Ag ; XF+ ; 22 ; kornum ; 354 
 3826 ; 1/2 гульдена. Нидерланды ; 1929 ;  ; Ag ; XF ; 29 ; kornum ; 402 
 3827 ; 3 пенса. Австралия ; 1934 ;  ; Ag ; VF+ ; 21 ; kostik_ne ; 333 
 3828 ; 1 дайм. США ; 1964 ;  ; Ag ; XF ; 12 ; Метро62 ; 116 
 3829 ; 1/16 риксдалера. Швеция ; 1848 ;  ; Ag ; F+ ; 3 ; banks ; 180 
 3830 ; 25 центов. Нидерланды ; 1941 ;  ; Ag ; XF ; 3 ; Skyline ; 102 
 3831 ; 25 эре. Швеия ; 1959 ;  ; Ag ; XF ; 3 ; Skyline ; 45 
 3832 ; 10 эре. Швеция ; 1936 ;  ; Ag ; VF- ; 11 ; tss ; 51 
 3833 ; 1 марка. Финляндия ; 1969 ;  ; Ag ; AU ; 7 ; LAB-A ; 93 
 3834 ; 50 сантимов. Бельгия ; 1886 ;  ; Ag ; F ; 16 ; барсик ; 51 
 3835 ; 10 эре. Швеция ; 1942 ;  ; Ag ; XF- ; 12 ; texno4819 ; 80 
 3836 ; 50 центов. Эфиопия ;  ;  ; Ag ; VF ; 15 ; zx123 ; 222 
 3737 ; Монетовидная медаль. Германия. Футбольный клуб "Бавария-Мюнхен". D-40мм ;  ;  ; Cu/Ni ; Proof ; 15 ; torbey ; 917 
 3738 ; Монетовидная медаль. Германия, Берлин. Чемпионат мира по футболу 2006г.D-30мм ;  ;  ; Cu/Ni,позол ; Proof ; 30 ; torbey ; 184 
 3739 ; 5 долларов. Ниуэ. Франц Беккенбауэр. Германия-чемпион Европы по футболу ; 1988 ;  ; Cu/Ni ; AU ; 62 ; torbey ; 284 
 3740 ; Монетовидная медаль. Германия. 75 лет Фрицу Вальтеру. D-40мм ; 1995 ;  ; Cu/Ni ; AU ; 11 ; torbey ; 216 
 3741 ; Монетовидная медаль. Германия. Чемпионы мира по футболу: Аргентина . D-45мм.  Упаковка ; 2006 ;  ; Cu/Ni ; AU ; 18 ; torbey ; 579 
 3742 ; Монетовидная медаль. Германия. Чемпионы мира по футболу: Италия. D-45мм.  Упаковка ; 2006 ;  ; Cu/Ni ; AU ; 16 ; torbey ; 620 
 3743 ; Монетовидная медаль. Германия. Чемпионы мира по футболу: Германия. D-45мм.  Упаковка ; 2006 ;  ; Cu/Ni ; AU ; 11 ; torbey ; 671 
 3744 ; Монетовидная медаль. Германия. Чемпионы мира по футболу: Франция. D-45мм.  Упаковка ; 2006 ;  ; Cu/Ni ; AU ; 35 ; torbey ; 724 
 3745 ; Монетовидная медаль. Германия. Чемпионы мира по футболу: Англия. D-45мм.  Упаковка ; 2006 ;  ; Cu/Ni ; AU ; 17 ; torbey ; 767 
 3746 ; Монетовидная медаль. Германия. Чемпионы мира по футболу: Уругвай. D-45мм. Упаковка ; 2006 ;  ; Cu/Ni ; AU ; 29 ; torbey ; 773 
 3747 ; Монетовидная медаль. Германия, Берлин. Чемпионат мира по футболу в Южной Корее. D-39мм ; 2006 ;  ; Лат ; AU ; 12 ; torbey ; 692 
 3748 ; Монетовидная медаль. Германия, Берлин. Вилли Брандт. D-40мм ; 1992 ;  ; Cu/Ni, позол ; AU ; 9 ; Vanka ; 149 
 3749 ; Монетовидная медаль. Германия, Берлин.Германия-чемпион мира по футболу 1954г. D-40мм ; 1993 ;  ; Cu/Ni ; Proof ; 10 ; torbey ; 365 
 3750 ; 10 евро. Пробные. Ватикан. Папа Иоанн Павел II ; 2004 ;  ; Би/м, эмаль ; AU ; 31 ; kehha ; 716 
 3751 ; 50 долларов. Острова Кука. Чемпионат мира по футболу в Италии 1990г. С сертификатом ; 1990 ;  ; Ag ; Proof ; 38 ; torbey ; 1649 
 3752 ; 5 юаней. Китай. Чемпионат мира по футболу в Италии 1990г. С сертификатом ; 1989 ;  ; Ag ; Proof ; 34 ; kehha ; 1826 
 3753 ; 5 юаней. Китай. Чемпионат мира по футболу в Италии 1990г. С сертификатом ; 1990 ;  ; Ag ; Proof ; 20 ; kehha ; 1826 
 3754 ; 5 юаней. Китай. Чемпионат мира по футболу в Италии 1990г. С сертификатом ; 1990 ;  ; Ag ; Proof ; 31 ; kehha ; 1826 
 3755 ; 5 песо. Куба. Чемпионат мира по футболу в Италии 1990г. С сертификатом ; 1989 ;  ; Ag ; Proof ; 24 ; torbey ; 714 
 3756 ; 5 песо. Куба. Чемпионат мира по футболу в Италии 1990г. С сертификатом ; 1989 ;  ; Ag ; Proof ; 34 ; torbey ; 1259 
 3757 ; 5 песо. Куба. Чемпионат мира по футболу в Италии 1990г. С сертификатом ; 1989 ;  ; Ag ; Proof ; 18 ; leonardo2010 ; 668 
 3758 ; 10000 кордобас. Никарагуа. Чемпионат мира по футболу в Италии 1990г. С сертификатом ; 1990 ;  ; Ag ; Proof ; 41 ; Алек ; 1830 
 3759 ; 2 ранда. Южная Африка. Международный Полярный год ; 2007 ;  ; Ag ; Proof ; 31 ; buynyi76 ; 1916 
 3760 ; 5 песо. Аргентина. Международный Полярный год ; 2007 ;  ; Ag ; Proof ; 21 ; buynyi76 ; 1804 
 3761 ; 1 крона. Фолклендские острова. Международный Полярный год ; 2007 ;  ; Ag ; Proof ; 35 ; ua0fki ; 1909 
 3762 ; 1 доллар. Новая Зеландия. Международный Полярный год ; 2007 ;  ; Ag ; Proof ; 23 ; buynyi76 ; 1814 
 3763 ; 1-1/2 евро. Франция. Международный Полярный год ; 2008 ;  ; Ag ; Proof ; 44 ; buynyi76 ; 1840 
 3764 ; 1000 вон. Северная Корея. Международный Полярный год ; 2008 ;  ; Ag ; Proof ; 25 ; buynyi76 ; 1805 
 3765 ; 1 доллар. Австралия. Международный Полярный год. Южный магнитный полюс ; 2009 ;  ; Ag ; Proof ; 20 ; buynyi76 ; 1856 
 3766 ; 2 ранда. Южная Африка. Международный Полярный год ; 2008 ;  ; Ag ; Proof ; 27 ; Ромбор ; 1797 
 3767 ; 2-1/2 евро. Франция. Международный Полярный год ; 2007 ;  ; Ag ; Proof ; 39 ; buynyi76 ; 1860 
 3768 ; 10 евро. Испания. Международный Полярный год ; 2007 ;  ; Ag ; Proof ; 21 ; buynyi76 ; 1752 
 3769 ; 20 рублей. Беларусь. Международный Полярный год ; 2007 ;  ; Ag ; Proof ; 20 ; Jagdtiger ; 1314 
 3770 ; 2 фунта. Британская Антарктическая территория. Международный Полярный год ; 2008 ;  ; Ag ; Proof ; 16 ; Jagdtiger ; 1360 
 3771 ; 2 фунта. Южная Джорджия и Южные Сэнгвичевы острова. Международный Полярный год ; 2007 ;  ; Ag ; Proof ; 21 ; ua0fki ; 1540 
 3772 ; 20 долларов. Канада. Международный Полярный год ; 2007 ;  ; Ag ; Proof ; 65 ; sibirian ; 1625 
 3773 ; 10 евро. Финляндия. Международный Полярный год ; 2007 ;  ; Ag ; Proof ; 20 ; buynyi76 ; 1534 
 3774 ; 2 фунта. Южная Джорджия и Южные Сэнгвичевы острова. Международный Полярный год ; 2007 ;  ; Ag ; Proof ; 19 ; Jagdtiger ; 1451 
 3775 ; 1 крона. Фолклендские острова. Международный Полярный год ; 2007 ;  ; Ag ; Proof ; 24 ; sibirian ; 1713 
 3776 ; 10 евро. Бельгия. Международный Полярный год ; 2007 ;  ; Ag ; Proof ; 17 ; buynyi76 ; 1652 
 3777 ; 200 крон. Чехословакия. Международный Полярный год ; 2009 ;  ; Ag ; Proof ; 30 ; ua0fki ; 1921 
 3778 ; 5 евро. Ирландия. Международный Полярный год ; 2005 ;  ; Ag ; Proof ; 30 ; irishNZ ; 1924 
 3779 ; 50 крон. Словакия. 5 годовщина независимости ; 1944 ;  ; Ag ; XF ; 38 ; kostik_ne ; 623 
 3780 ; 5 крон. Австрия. 60 лет правления ; 1908 ;  ; Ag ; VF ; 14 ; Jagdtiger ; 1084 
 3781 ; 2 кроны. Норвегия. Конституция ; 1914 ;  ; Ag ; VF+ ; 22 ; ВЯЗ ; 2550 
 3782 ; 2 кроны. Норвегия. Независимость Норвегии. ; 1906 ;  ; Ag ; XF- ; 33 ; krugerrand ; 4045 
 3783 ; 1000 рейс. Португалия. Гурт снята напайка 5 часов ; 1899 ;  ; Ag ; VF- ; 29 ; Jagdtiger ; 941 
 3784 ; 2 кроны. Норвегия ; 1910 ;  ; Ag ; VF-XF ; 51 ; Klin ; 2904 
 3785 ; 100 колонов. Коста-Рика ; 1974 ;  ; Ag ; XF ; 22 ; Jagdtiger ; 1194 
 3786 ; 50 колонов. Коста-Рика ; 1974 ;  ; Ag ; XF+ ; 30 ; KRASLAVA ; 1200 
 3687 ; 5 евро. Финляндии ; 2011 ;  ; Би/м ; AU ; 24 ; nikfed ; 408 
 3688 ; 5 евро. Финляндии ; 2010 ;  ; Би/м ; AU ; 30 ; nikfed ; 416 
 3689 ; 5 евро. Финляндии ; 2011 ;  ; Би/м ; AU ; 19 ; rik ; 311 
 3690 ; 5 евро. Финляндии ; 2011 ;  ; Би/м ; AU ; 28 ; nikfed ; 333 
 3691 ; 5 евро. Финляндии ; 2011 ;  ; Би/м ; AU ; 20 ; vvshulga6 ; 271 
 3692 ; 5 евро. Финляндии ; 2011 ;  ; Би/м ; AU ; 17 ; zoloto ; 273 
 3693 ; 2 евро. Германия. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 25 ; Sky2 ; 144 
 3694 ; 2 евро. Финляндии. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 27 ; Sky2 ; 138 
 3695 ; 2 евро. Словения. Франц Розман Стейн ; 2011 ;  ; Би/м ; AU ; 28 ; zoloto ; 144 
 3696 ; 2 евро. Австрии. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 29 ; Legio ; 153 
 3697 ; 2 евро.Словения. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 31 ; Legio ; 153 
 3698 ; 2 евро. Бельгия. 100 лет Международному женскому дню ; 2011 ;  ; Би/м ; AU ; 31 ; grond ; 147 
 3699 ; 2 евро. Словакия. 20 лет формирования Вишеградской группы ; 2011 ;  ; Би/м ; AU ; 29 ; grond ; 147 
 3700 ; 2,5 евро. Португалия ; 2011 ;  ; Cu-Ni ; AU ; 15 ; SPRogov ; 136 
 3701 ; 3 евро. Словения. Олимпиада ; 2012 ;  ; Би/м ; AU ; 25 ; jj ; 197 
 3702 ; 10 евро. Германия. Братья Гримм ; 2012 ;  ; Cu-Ni ; AU ; 17 ; kostik_ne ; 429 
 3703 ; 10 евро. Германия. Женский футбол ; 2011 ;  ; Cu-Ni ; AU ; 21 ; torbey ; 615 
 3704 ; 10 евро. Германия. Георг Бухнер ; 2013 ;  ; Cu-Ni ; AU ; 19 ; perevozchik ; 674 
 3705 ; 10 евро. Германия. 125 лет автомобилю ; 2011 ;  ; Cu-Ni ; AU ; 14 ; Димон777 ; 448 
 3706 ; 10 евро. Германия. Фридрих II ; 2012 ;  ; Cu-Ni ; AU ; 47 ; kostik_ne ; 455 
 3707 ; 10 евро. Германия. 50 лет Welthungerhilfe ; 2012 ;  ; Cu-Ni ; AU ; 16 ; Димон777 ; 475 
 3708 ; 3 евро. Словения. Любляна - столица книги ; 2010 ;  ; Би/м ; AU ; 22 ; aziya11 ; 185 
 3709 ; 2 злотых. Польша. Понятовский ; 2013 ;  ; Латунь ; AU ; 20 ; СЁМА ; 81 
 3710 ; 2 злотых. Польша. Зубры ; 2013 ;  ; Латунь ; AU ; 21 ; Aleech ; 532 
 3711 ; 2 злотых. Польша. Витольд Лютославский ; 2013 ;  ; Латунь ; AU ; 36 ; Атлантик ; 79 
 3712 ; 2 злотых. Польша. ; 2013 ;  ; Латунь ; AU ; 32 ; СЁМА ; 74 
 3713 ; 2 гривны. Украина. Дрофа ; 2013 ;  ; Cu-Ni,краска ; AU ; 28 ; bdd48 ; 233 
 3714 ; 1 рубль. Беларусь. Рыбы ; 2009 ;  ; Cu-Ni ; Proof ; 27 ; kostja1111 ; 365 
 3715 ; 1 рубль. Беларусь. Весы ; 2009 ;  ; Cu-Ni ; Proof ; 20 ; kostja1111 ; 373 
 3716 ; 1 рубль. Беларусь. Птица года. Большой кроншнеп ; 2011 ;  ; Cu-Ni ; Proof ; 31 ; niko1968 ; 867 
 3717 ; 1 рубль. Беларусь. Гончарное дело ; 2012 ;  ; Cu-Ni ; Proof ; 27 ; AB ; 276 
 3718 ; 1 рубль. Беларусь. Черняховский ; 2010 ;  ; Cu-Ni ; Proof ; 18 ; AB ; 354 
 3719 ; 1 рубль. Беларусь. Баграмян ; 2010 ;  ; Cu-Ni ; Proof ; 16 ; VelesDS ; 793 
 3720 ; 1 рубль. Беларусь. Захаров ; 2010 ;  ; Cu-Ni ; Proof ; 15 ; VelesDS ; 453 
 3721 ; 1 рубль. Беларусь. Рокоссовский ; 2010 ;  ; Cu-Ni ; Proof ; 18 ; VelesDS ; 477 
 3722 ; 1 рубль. Беларусь. Сова ; 2005 ;  ; Cu-Ni ; Proof ; 54 ; seva777 ; 796 
 3723 ; 1 рубль. Беларусь. Святая Мария ; 2013 ;  ; Cu-Ni ; Proof ; 28 ; aurin1 ; 357 
 3724 ; 1 рубль. Беларусь. Белорусский балет ; 2013 ;  ; Cu-Ni ; Proof ; 33 ; Кипер ; 350 
 3725 ; 1 рубль. Беларусь. ФИФА ; 2013 ;  ; Cu-Ni ; Proof ; 30 ; Alex V ; 429 
 3726 ; 1 рубль. Беларусь. 1025 лет Крещения руси ; 2013 ;  ; Cu-Ni ; Proof ; 29 ; AB ; 337 
 3727 ; 1 рубль. Беларусь. 80 лет Академии Наук ; 2009 ;  ; Cu-Ni ; Proof ; 12 ; Bambr ; 261 
 3728 ; 10 рублей. Беларусь. Птица года. Белая цапля ; 2008 ;  ; Ag ; Proof ; 49 ; OgAnVi ; 1335 
 3729 ; 20 рублей. Беларусь. Зубр ; 2012 ;  ; Ag ; Proof ; 45 ; OgAnVi ; 2318 
 3730 ; 20 рублей. Беларусь. Ефросинья Полоцкая ; 2001 ;  ; Ag,позолота ; Proof ; 61 ; VOLAT ; 3669 
 3731 ; 20 рублей. Беларусь. 1025 лет Крещения руси. Сертификат ; 2013 ;  ; Ag,позолота ; Proof ; 24 ; OgAnVi ; 2315 
 3732 ; 20 рублей. Беларусь. "Дзяды". Сертификат ; 2008 ;  ; Ag ; AU ; 20 ; AB ; 1928 
 3733 ; 1000 лир. Сан Марино. Чемпионат мира по футболу в Италии 1990г. С сертификатом ; 1990 ;  ; Ag ; Unc ; 26 ; leonardo2010 ; 680 
 3734 ; 10000 лир. Турция. Чемпионат мира по футболу в Мексике ; 1986 ;  ; Ag ; Proof ; 66 ; Кипер ; 1836 
 3735 ; Монетовидная медаль. Германия. Футбольный клуб "Бавария-Мюнхен". D-40мм ;  ;  ; Cu/Ni ; Proof ; 18 ; Potap ; 216 
 3736 ; Монетовидная медаль. Германия. Футбольный клуб "Бавария-Мюнхен". D-40мм ;  ;  ; Cu/Ni ; Proof ; 26 ; torbey ; 805 
 3637 ; 2 гривны. Украина. Евгений Петрушевич ; 2008 ;  ; Cu/Ni ; AU ; 11 ; Атлантик ; 106 
 3638 ; 2 гривны. Украина. Спортивное ориентирование ; 2007 ;  ; Cu/Ni ; AU ; 21 ; buynyi76 ; 207 
 3639 ; 2 гривны. Украина. Дрофа ; 2013 ;  ; Cu/Ni, кракска ; AU ; 20 ; bethowen ; 276 
 3640 ; 2 гривны. Украина. Василий Стус ; 2008 ;  ; Cu/Ni ; AU ; 7 ; Vanka ; 90 
 3641 ; 2 гривны. Украина. Андрей Левицкий ; 2009 ;  ; Cu/Ni ; AU ; 4 ; Vanka ; 90 
 3642 ; 2 гривны. Украина. 100 лет киевскому зоопарку ; 2008 ;  ; Cu/Ni ; AU ; 10 ; buynyi76 ; 181 
 3643 ; 2 гривны. Украина. Владимир Чеховский ; 2006 ;  ; Cu/Ni ; AU ; 4 ; Ratmen ; 92 
 3644 ; 2 гривны. Украина. Михаил Лисенко ; 2006 ;  ; Cu/Ni ; AU ; 7 ; sibirian ; 111 
 3645 ; 2 гривны. Украина. Владимир Ивасюк ; 2009 ;  ; Cu/Ni ; AU ; 6 ; Bambr ; 92 
 3646 ; 2 гривны. Украина. Ольга Кобилянская ; 2013 ;  ; Cu/Ni ; AU ; 16 ; denita ; 220 
 3647 ; 2 гривны. Украина. Иван Франко ; 2006 ;  ; Cu/Ni ; AU ; 7 ; Vanka ; 94 
 3648 ; 2 гривны. Украина. Сергей Остапенко ; 2006 ;  ; Cu/Ni ; AU ; 5 ; Vanka ; 90 
 3649 ; 2 гривны. Украина. Михаил Грушевский ; 2006 ;  ; Cu/Ni ; AU ; 5 ; Bambr ; 101 
 3650 ; 2 гривны. Украина. Владимир Винниченко ; 2007 ;  ; Cu/Ni ; AU ; 4 ; Bambr ; 92 
 3651 ; 2 гривны. Украина. Сидор Голубович ; 2008 ;  ; Cu/Ni ; AU ; 5 ; Bambr ; 101 
 3652 ; 2 гривны. Украина. Черный гриф ; 2008 ;  ; Cu/Ni ; AU ; 32 ; buynyi76 ; 303 
 3653 ; 2 гривны. Украина. М.Д. Стражеско ; 2006 ;  ; Cu/Ni ; AU ; 3 ; Vanka ; 90 
 3654 ; 2 гривны. Украина. Лев Ландау ; 2008 ;  ; Cu/Ni ; AU ; 5 ; sibirian ; 114 
 3655 ; 2 гривны. Украина. Петр Григоренко ; 2007 ;  ; Cu/Ni ; AU ; 7 ; Bambr ; 101 
 3656 ; 2 гривны. Украина. Киевский национальный экономический университет ; 2006 ;  ; Cu/Ni ; AU ; 5 ; Vanka ; 106 
 3657 ; 2 гривны. Украина. Давид Гурамишвили ; 2005 ;  ; Cu/Ni ; AU ; 3 ; Vanka ; 90 
 3658 ; 2 гривны. Украина. Иван Огиенко ; 2007 ;  ; Cu/Ni ; AU ; 9 ; aziya11 ; 100 
 3659 ; 2 гривны. Украина. Донецкая область ; 2007 ;  ; Cu/Ni ; AU ; 32 ; Алек ; 231 
 3660 ; 2 гривны. Украина. Игорь Сикорский ; 2009 ;  ; Cu/Ni ; AU ; 8 ; sibirian ; 181 
 3661 ; 2 гривны. Украина. Богда0Игорь Антонич ; 2009 ;  ; Cu/Ni ; AU ; 5 ; Bambr ; 92 
 3662 ; 2 гривны. Украина. Василий Симоненко ; 2008 ;  ; Cu/Ni ; AU ; 5 ; Bambr ; 101 
 3663 ; 10 рупий. Индия. Платиновый юбилей ; 2010 ;  ; Би/м ; XF ; 23 ; Ю42 ; 125 
 3664 ; 5 рупий. Индия. 150 лет строительства Индии ; 2010 ;  ; Лат ; XF+ ; 24 ; dsp ; 113 
 3665 ; 5 рупий. Индия. 100 лет со дня рождения Св. Альфонсы ; 2009 ;  ; Лат ; XF+ ; 26 ; страус ; 114 
 3666 ; 5 рупий. Индия. 100 лет медицинскому обществу ; 2011 ;  ; Лат ; XF+ ; 15 ; dsp ; 90 
 3667 ; 5 рупий. Индия. 140 лет Судебной системы. ; 2010 ;  ; Лат ; XF+ ; 13 ; страус ; 90 
 3668 ; 5 рупий. Индия. 19 содружественные игры в Дейли ; 2010 ;  ; Лат ; XF+ ; 11 ; dsp ; 90 
 3669 ; 1 рупия. Пакистан. Саммит ; 1977 ;  ; Cu/Ni ; XF+ ; 15 ; dsp ; 59 
 3670 ; 1 рупия. Пакистан ; 1981 ;  ; Cu/Ni ; AU ; 16 ; dsp ; 79 
 3671 ; 10 рупий. Пакистан. 60 лет Пакистано-Китайской дружбе ; 2009 ;  ; Cu/Ni ; AU ; 21 ; dsp ; 102 
 3672 ; 20 рупий. Пакистан. 60 лет Пакистано-Китайской дружбе ; 2011 ;  ; Cu/Ni ; XF+ ; 25 ; dsp ; 153 
 3673 ; 10 рупий. Пакистан ; 2007 ;  ; Cu/Ni ; AU ; 19 ; kostik_ne ; 69 
 3674 ; 50 тенге. Казахстан. Навруз ; 2012 ;  ; Cu/Ni ; XF+ ; 5 ; kostik_ne ; 62 
 3675 ; 20 рупий. Пакистан. 60 лет Пакистано-Китайской дружбе ; 2011 ;  ; Cu/Ni ; XF+ ; 13 ; dsp ; 69 
 3676 ; 25 куна. Хорватия. Регионы ; 2011 ;  ; Би/м ; AU ; 17 ; kostik_ne ; 192 
 3677 ; 1 песо. Куба. Добыча сахара ; 1981 ;  ; Cu/Ni ; AU ; 24 ; dsp ; 181 
 3678 ; 1 рубль. Беларусь. Максим Танк ; 2012 ;  ; Cu-Ni ; Proof ; 20 ; aurin1 ; 308 
