 4420 ; Бона иностранная ;  ;  ;  ;  ; 34 ; kozerog ; 36 
 3553 ; 5 пенни. Финляндия ; 1932 ;  ; Cu ; XF+ ; 24 ; VicVas ; 30 
 3554 ; 5 пенни. Финляндия ; 1934 ;  ; Cu ; XF ; 9 ; VicVas ; 35 
 3555 ; 5 пенни. Финляндия ; 1935 ;  ; Cu ; AU ; 16 ; VicVas ; 26 
 3556 ; 5 пенни. Финляндия ; 1936 ;  ; Cu ; XF ; 10 ; VicVas ; 23 
 3557 ; 5 пенни. Финляндия ; 1937 ;  ; Cu ; XF+ ; 18 ; VicVas ; 24 
 3558 ; 5 пенни. Финляндия ; 1938 ;  ; Cu ; XF+ ; 9 ; VicVas ; 23 
 3459 ; 25 пенни. Финляндия ; 1943S ;  ; Cu ; XF+ ; 17 ; ИЮМов1 ; 153 
 3460 ; 25 пенни. Финляндия ; 1943S ;  ; Fe ; AU ; 27 ; Dbrnjh ; 125 
 3461 ; 25 пенни. Финляндия ; 1944S ;  ; Fe ; XF+ ; 17 ; VicVas ; 67 
 3462 ; 25 пенни. Финляндия ; 1945S ;  ; Fe ; AU ; 13 ; VicVas ; 111 
 3463 ; 20 пенни. Финляндия ; 1963S ;  ; Al/Br ; AU ; 29 ; tpls ; 88 
 3464 ; 20 пенни. Финляндия ; 1964S ;  ; Al/Br ; AU ; 9 ; tpls ; 101 
 3465 ; 20 пенни. Финляндия ; 1965S ;  ; Al/Br ; AU ; 5 ; tpls ; 102 
 3466 ; 20 пенни. Финляндия ; 1966S ;  ; Al/Br ; AU ; 5 ; tpls ; 102 
 3467 ; 20 пенни. Финляндия ; 1967S ;  ; Al/Br ; AU ; 5 ; tpls ; 102 
 3468 ; 20 пенни. Финляндия ; 1968S ;  ; Al/Br ; AU ; 5 ; tpls ; 102 
 3469 ; 20 пенни. Финляндия ; 1969S ;  ; Al/Br ; AU ; 16 ; suhua ; 160 
 3470 ; 20 пенни. Финляндия ; 1970S ;  ; Al/Br ; AU ; 8 ; suhua ; 137 
 3471 ; 20 пенни. Финляндия ; 1971S ;  ; Al/Br ; AU ; 5 ; tpls ; 102 
 3472 ; 20 пенни. Финляндия ; 1972S ;  ; Al/Br ; AU ; 5 ; tpls ; 102 
 3473 ; 20 пенни. Финляндия ; 1973S ;  ; Al/Br ; AU ; 7 ; tpls ; 108 
 3474 ; 20 пенни. Финляндия ; 1974S ;  ; Al/Br ; AU ; 7 ; omahalov ; 150 
 3475 ; 20 пенни. Финляндия ; 1975S ;  ; Al/Br ; AU ; 5 ; tpls ; 102 
 3476 ; 20 пенни. Финляндия ; 1976K ;  ; Al/Br ; AU ; 9 ; VicVas ; 17 
 3477 ; 20 пенни. Финляндия ; 1977K ;  ; Al/Br ; AU ; 5 ; tpls ; 102 
 3478 ; 20 пенни. Финляндия ; 1978K ;  ; Al/Br ; AU ; 5 ; tpls ; 102 
 3479 ; 20 пенни. Финляндия ; 1979K ;  ; Al/Br ; AU ; 5 ; tpls ; 102 
 3480 ; 20 пенни. Финляндия ; 1980K ;  ; Al/Br ; AU ; 11 ; tpls ; 102 
 3481 ; 20 пенни. Финляндия ; 1981K ;  ; Al/Br ; AU ; 5 ; VicVas ; 13 
 3482 ; 20 пенни. Финляндия ; 1982K ;  ; Al/Br ; AU ; 7 ; tpls ; 108 
 3483 ; 20 пенни. Финляндия ; 1983K ;  ; Al/Br ; AU ; 6 ; suhua ; 159 
 3484 ; 20 пенни. Финляндия ; 1984N ;  ; Al/Br ; AU ; 5 ; tpls ; 102 
 3485 ; 20 пенни. Финляндия ; 1985N ;  ; Al/Br ; AU ; 8 ; dsp ; 160 
 3486 ; 10 пенни. Финляндия ; 1919 ;  ; Cu ; Unc/AU ; 19 ; tpls ; 120 
 3487 ; 10 пенни. Финляндия ; 1920 ;  ; Cu ; Unc/AU ; 30 ; tpls ; 205 
 3488 ; 10 пенни. Финляндия ; 1921 ;  ; Cu ; AU ; 39 ; VicVas ; 42 
 3489 ; 10 пенни. Финляндия ; 1922 ;  ; Cu ; VF-XF ; 26 ; VicVas ; 40 
 3490 ; 10 пенни. Финляндия ; 1923 ;  ; Cu ; AU ; 23 ; vb96 ; 159 
 3491 ; 10 пенни. Финляндия ; 1924 ;  ; Cu ; VF-XF ; 21 ; VicVas ; 38 
 3492 ; 10 пенни. Финляндия ; 1926 ;  ; Cu ; XF+ ; 18 ; av ; 90 
 3493 ; 10 пенни. Финляндия ; 1927 ;  ; Cu ; XF ; 21 ; VicVas ; 123 
 3494 ; 10 пенни. Финляндия ; 1928 ;  ; Cu ; XF+ ; 30 ; VicVas ; 51 
 3495 ; 10 пенни. Финляндия ; 1929 ;  ; Cu ; VF-XF ; 19 ; VicVas ; 35 
 3496 ; 10 пенни. Финляндия ; 1930 ;  ; Cu ; Unc/AU ; 8 ; 439 ; 57 
 3497 ; 10 пенни. Финляндия ; 1931 ;  ; Cu ; XF+ ; 48 ; suhua ; 260 
 3498 ; 10 пенни. Финляндия ; 1934 ;  ; Cu ; XF+ ; 14 ; VicVas ; 30 
 3499 ; 10 пенни. Финляндия ; 1935 ;  ; Cu ; XF ; 23 ; VicVas ; 31 
 3500 ; 10 пенни. Финляндия ; 1936 ;  ; Cu ; XF- ; 14 ; VicVas ; 31 
 3501 ; 10 пенни. Финляндия ; 1937 ;  ; Cu ; AU ; 15 ; VicVas ; 31 
 3502 ; 10 пенни. Финляндия ; 1938 ;  ; Cu ; AU ; 14 ; VicVas ; 30 
 3503 ; 10 пенни. Финляндия ; 1939 ;  ; Cu ; XF+ ; 36 ; VicVas ; 43 
 3504 ; 10 пенни. Финляндия ; 1940 ;  ; Cu ; XF ; 15 ; VicVas ; 31 
 3505 ; 10 пенни. Финляндия ; 1941 ;  ; Cu ; Unc/AU ; 13 ; DVZ ; 101 
 3506 ; 10 пенни. Финляндия ; 1942 ;  ; Cu ; AU ; 36 ; lessnoy ; 133 
 3507 ; 10 пенни. Финляндия ; 1943 ;  ; Cu ; Unc/AU ; 41 ; suhua ; 101 
 3508 ; 10 пенни. Финляндия ; 1943 ;  ; Fe ; AU ; 41 ; vb96 ; 164 
 3409 ; 50 пенни. Финляндия ; 1944S ;  ; Fe ; XF+ ; 37 ; vb96 ; 197 
 3410 ; 50 пенни. Финляндия ; 1945S ;  ; Fe ; XF+ ; 9 ; VicVas ; 20 
 3411 ; 50 пенни. Финляндия ; 1946S ;  ; Fe ; Unc/AU ; 15 ; tpls ; 75 
 3412 ; 50 пенни. Финляндия ; 1947S ;  ; Fe ; AU ; 10 ; suhua ; 146 
 3413 ; 50 пенни. Финляндия ; 1948L ;  ; Fe ; XF ; 24 ; dsp ; 160 
 3414 ; 50 пенни. Финляндия ; 1963S ;  ; Al/Br ; AU ; 8 ; VicVas ; 21 
 3415 ; 50 пенни. Финляндия ; 1964S ;  ; Al/Br ; AU ; 9 ; tpls ; 101 
 3416 ; 50 пенни. Финляндия ; 1965S ;  ; Al/Br ; AU ; 8 ; suhua ; 116 
 3417 ; 50 пенни. Финляндия ; 1966S ;  ; Al/Br ; AU ; 14 ; suhua ; 116 
 3418 ; 50 пенни. Финляндия ; 1967S ;  ; Al/Br ; AU ; 8 ; tpls ; 210 
 3419 ; 50 пенни. Финляндия ; 1968S ;  ; Al/Br ; AU ; 10 ; tpls ; 196 
 3420 ; 50 пенни. Финляндия ; 1969S ;  ; Al/Br ; AU ; 6 ; suhua ; 146 
 3421 ; 50 пенни. Финляндия ; 1970S ;  ; Al/Br ; AU ; 5 ; tpls ; 101 
 3422 ; 50 пенни. Финляндия ; 1971S ;  ; Al/Br ; AU ; 7 ; VicVas ; 24 
 3423 ; 50 пенни. Финляндия ; 1972S ;  ; Al/Br ; AU ; 11 ; tpls ; 82 
 3424 ; 50 пенни. Финляндия ; 1973S ;  ; Al/Br ; AU ; 8 ; suhua ; 146 
 3425 ; 50 пенни. Финляндия ; 1974S ;  ; Al/Br ; AU ; 7 ; omahalov ; 157 
 3426 ; 50 пенни. Финляндия ; 1975S ;  ; Al/Br ; XF+ ; 22 ; suhua ; 33 
 3427 ; 50 пенни. Финляндия ; 1976K ;  ; Al/Br ; AU ; 9 ; tpls ; 46 
 3428 ; 50 пенни. Финляндия ; 1977K ;  ; Al/Br ; AU ; 19 ; tpls ; 42 
 3429 ; 50 пенни. Финляндия ; 1978K ;  ; Al/Br ; AU ; 6 ; suhua ; 159 
 3430 ; 50 пенни. Финляндия ; 1979K ;  ; Al/Br ; AU ; 6 ; suhua ; 169 
 3431 ; 50 пенни. Финляндия ; 1980K ;  ; Al/Br ; AU ; 24 ; tpls ; 155 
 3432 ; 50 пенни. Финляндия ; 1981K ;  ; Al/Br ; AU ; 14 ; andysayan ; 22 
 3433 ; 50 пенни. Финляндия ; 1982K ;  ; Al/Br ; AU ; 6 ; suhua ; 170 
 3434 ; 50 пенни. Финляндия ; 1983K ;  ; Al/Br ; AU ; 8 ; suhua ; 179 
 3435 ; 50 пенни. Финляндия ; 1984K ;  ; Al/Br ; AU ; 6 ; suhua ; 163 
 3436 ; 50 пенни. Финляндия ; 1985K ;  ; Al/Br ; AU ; 9 ; dsp ; 34 
 3437 ; 50 пенни. Финляндия ; 1990М ;  ; Cu-Ni ; AU ; 9 ; arlekin ; 7 
 3438 ; 50 пенни. Финляндия ; 1991М ;  ; Cu-Ni ; AU ; 5 ; suhua ; 6 
 3439 ; 50 пенни. Финляндия ; 1992М ;  ; Cu-Ni ; AU ; 8 ; suhua ; 28 
 3440 ; 50 пенни. Финляндия ; 1994М ;  ; Cu-Ni ; AU ; 12 ; suhua ; 25 
 3441 ; 50 пенни. Финляндия ; 1997М ;  ; Cu-Ni ; AU ; 3 ; suhua ; 51 
 3442 ; 25 пенни. Финляндия ; 1921H ;  ; Cu-Ni ; XF- ; 9 ; VicVas ; 47 
 3443 ; 25 пенни. Финляндия ; 1925S ;  ; Cu-Ni ; AU ; 19 ; tpls ; 101 
 3444 ; 25 пенни. Финляндия ; 1926S ;  ; Cu-Ni ; VF+ ; 19 ; VicVas ; 35 
 3445 ; 25 пенни. Финляндия ; 1927S ;  ; Cu-Ni ; VF-XF ; 6 ; VicVas ; 24 
 3446 ; 25 пенни. Финляндия ; 1928S ;  ; Cu-Ni ; XF+ ; 17 ; VicVas ; 62 
 3447 ; 25 пенни. Финляндия ; 1929S ;  ; Cu-Ni ; XF+ ; 18 ; В1951 ; 123 
 3448 ; 25 пенни. Финляндия ; 1930S ;  ; Cu-Ni ; XF+ ; 12 ; suhua ; 39 
 3449 ; 25 пенни. Финляндия ; 1934S ;  ; Cu-Ni ; XF+ ; 8 ; VicVas ; 24 
 3450 ; 25 пенни. Финляндия ; 1935S ;  ; Cu-Ni ; XF+ ; 8 ; VicVas ; 24 
 3451 ; 25 пенни. Финляндия ; 1936S ;  ; Cu-Ni ; XF+ ; 8 ; VicVas ; 43 
 3452 ; 25 пенни. Финляндия ; 1937S ;  ; Cu-Ni ; XF+ ; 6 ; VicVas ; 17 
 3453 ; 25 пенни. Финляндия ; 1938S ;  ; Cu-Ni ; XF+ ; 8 ; VicVas ; 22 
 3454 ; 25 пенни. Финляндия ; 1939S ;  ; Cu-Ni ; XF+ ; 8 ; VicVas ; 15 
 3455 ; 25 пенни. Финляндия ; 1940S ;  ; Cu-Ni ; AU ; 16 ; VicVas ; 23 
 3456 ; 25 пенни. Финляндия ; 1940S ;  ; Cu ; Unc/AU ; 48 ; VicVas ; 255 
 3457 ; 25 пенни. Финляндия ; 1941S ;  ; Cu ; XF+ ; 17 ; VicVas ; 111 
 3458 ; 25 пенни. Финляндия ; 1942S ;  ; Cu ; XF+ ; 12 ; VicVas ; 111 
 3359 ; 1 марка. Финляндия ; 1958 ;  ; Ni/Fe ; AU ; 13 ; VicVas ; 28 
 3360 ; 1 марка. Финляндия ; 1959 ;  ; Ni/Fe ; AU ; 13 ; tpls ; 49 
 3361 ; 1 марка. Финляндия ; 1960 ;  ; Ni/Fe ; AU ; 19 ; tpls ; 92 
 3362 ; 1 марка. Финляндия ; 1961 ;  ; Ni/Fe ; AU ; 25 ; suhua ; 24 
 3363 ; 1 марка. Финляндия ; 1962 ;  ; Ni/Fe ; AU ; 12 ; suhua ; 146 
 3364 ; 1 марка. Финляндия ; 1964S ;  ; Ag ; AU ; 43 ; Артемыч ; 189 
 3365 ; 1 марка. Финляндия ; 1965S ;  ; Ag ; AU ; 13 ; tpls ; 257 
 3366 ; 1 марка. Финляндия ; 1966S ;  ; Ag ; AU ; 13 ; tpls ; 257 
 3367 ; 1 марка. Финляндия ; 1967S ;  ; Ag ; AU ; 21 ; tpls ; 257 
 3368 ; 1 марка. Финляндия ; 1968S ;  ; Ag ; AU ; 18 ; Артемыч ; 366 
 3369 ; 1 марка. Финляндия ; 1969S ;  ; Cu-Ni ; AU ; 7 ; 542 ; 79 
 3370 ; 1 марка. Финляндия ; 1970S ;  ; Cu-Ni ; AU ; 6 ; tpls ; 77 
 3371 ; 1 марка. Финляндия ; 1971S ;  ; Cu-Ni ; AU ; 7 ; tpls ; 45 
 3372 ; 1 марка. Финляндия ; 1972S ;  ; Cu-Ni ; AU ; 5 ; tpls ; 72 
 3373 ; 1 марка. Финляндия ; 1973S ;  ; Cu-Ni ; AU ; 7 ; VicVas ; 28 
 3374 ; 1 марка. Финляндия ; 1974S ;  ; Cu-Ni ; AU ; 21 ; suhua ; 102 
 3375 ; 1 марка. Финляндия ; 1975S ;  ; Cu-Ni ; AU ; 22 ; tpls ; 73 
 3376 ; 1 марка. Финляндия ; 1976K ;  ; Cu-Ni ; AU ; 9 ; suhua ; 75 
 3377 ; 1 марка. Финляндия ; 1977K ;  ; Cu-Ni ; AU ; 14 ; suhua ; 90 
 3378 ; 1 марка. Финляндия ; 1978K ;  ; Cu-Ni ; AU ; 8 ; suhua ; 45 
 3379 ; 1 марка. Финляндия ; 1979K ;  ; Cu-Ni ; AU ; 18 ; suhua ; 77 
 3380 ; 1 марка. Финляндия ; 1980K ;  ; Cu-Ni ; AU ; 6 ; suhua ; 83 
 3381 ; 1 марка. Финляндия ; 1981K ;  ; Cu-Ni ; AU ; 5 ; tpls ; 74 
 3382 ; 1 марка. Финляндия ; 1982K ;  ; Cu-Ni ; AU ; 5 ; tpls ; 75 
 3383 ; 1 марка. Финляндия ; 1983K ;  ; Cu-Ni ; AU ; 10 ; suhua ; 129 
 3384 ; 1 марка. Финляндия ; 1984N ;  ; Cu-Ni ; AU ; 7 ; tpls ; 74 
 3385 ; 1 марка. Финляндия ; 1985N ;  ; Cu-Ni ; AU ; 5 ; tpls ; 76 
 3386 ; 1 марка. Финляндия ; 1986N ;  ; Cu-Ni ; AU ; 6 ; suhua ; 90 
 3387 ; 1 марка. Финляндия ; 1987M ;  ; Cu-Ni ; AU ; 8 ; suhua ; 34 
 3388 ; 1 марка. Финляндия ; 1988M ;  ; Cu-Ni ; AU ; 13 ; tpls ; 77 
 3389 ; 1 марка. Финляндия ; 1989M ;  ; Cu-Ni ; XF+ ; 6 ; VicVas ; 25 
 3390 ; 1 марка. Финляндия ; 1993M ;  ; Al/Br ; XF ; 3 ; VicVas ; 11 
 3391 ; 1 марка. Финляндия ; 1994M ;  ; Al/Br ; XF+ ; 5 ; Артемыч ; 22 
 3392 ; 1 марка. Финляндия ; 1995M ;  ; Al/Br ; XF- ; 16 ; suhua ; 34 
 3393 ; 1 марка. Финляндия ; 1998M ;  ; Al/Br ; XF+ ; 8 ; suhua ; 35 
 3394 ; 50 пенни. Финляндия ; 1921H ;  ; Cu-Ni ; Unc/AU ; 26 ; coin17 ; 94 
 3395 ; 50 пенни. Финляндия ; 1923S ;  ; Cu-Ni ; Unc/AU ; 34 ; VicVas ; 101 
 3396 ; 50 пенни. Финляндия ; 1929S ;  ; Cu-Ni ; VF+ ; 35 ; VicVas ; 36 
 3397 ; 50 пенни. Финляндия ; 1934S ;  ; Cu-Ni ; XF ; 15 ; VicVas ; 91 
 3398 ; 50 пенни. Финляндия ; 1935S ;  ; Cu-Ni ; XF ; 29 ; VicVas ; 91 
 3399 ; 50 пенни. Финляндия ; 1936S ;  ; Cu-Ni ; VF-XF ; 11 ; VicVas ; 19 
 3400 ; 50 пенни. Финляндия ; 1937S ;  ; Cu-Ni ; XF+ ; 6 ; VicVas ; 18 
 3401 ; 50 пенни. Финляндия ; 1938S ;  ; Cu-Ni ; AU ; 22 ; VicVas ; 23 
 3402 ; 50 пенни. Финляндия ; 1939S ;  ; Cu-Ni ; VF+ ; 15 ; Артемыч ; 23 
 3403 ; 50 пенни. Финляндия ; 1940S ;  ; Cu-Ni ; XF+ ; 6 ; VicVas ; 16 
 3404 ; 50 пенни. Финляндия ; 1940S ;  ; Cu ; Unc/AU ; 21 ; DVZ ; 176 
 3405 ; 50 пенни. Финляндия ; 1941S ;  ; Cu ; XF+ ; 34 ; Юбер ; 107 
 3406 ; 50 пенни. Финляндия ; 1942S ;  ; Cu ; Unc/AU ; 11 ; He-111 ; 156 
 3407 ; 50 пенни. Финляндия ; 1943S ;  ; Cu ; Unc/AU ; 16 ; suhua ; 159 
 3408 ; 50 пенни. Финляндия ; 1943S ;  ; Fe ; AU ; 16 ; DVZ ; 136 
 3309 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1979K ;  ; Al/Br ; AU ; 23 ; vb96 ; 108 
 3310 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1980K ;  ; Al/Br ; AU ; 24 ; tpls ; 104 
 3311 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1981K ;  ; Al/Br ; AU ; 13 ; Артемыч ; 96 
 3312 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1982K ;  ; Al/Br ; AU ; 21 ; lessnoy ; 105 
 3313 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1983K ;  ; Al/Br ; AU ; 41 ; monge ; 102 
 3314 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1983N ;  ; Al/Br ; XF- ; 24 ; VicVas ; 70 
 3315 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1984N ;  ; Al/Br ; AU ; 44 ; tpls ; 126 
 3316 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1985N ;  ; Al/Br ; AU ; 30 ; tpls ; 132 
 3317 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1987M ;  ; Al/Br ; VF-XF ; 28 ; VicVas ; 65 
 3318 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1988M ;  ; Al/Br ; XF- ; 13 ; DVZ ; 96 
 3319 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1989M ;  ; Al/Br ; AU ; 22 ; DVZ ; 105 
 3320 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1990M ;  ; Al/Br ; XF+ ; 11 ; DVZ ; 108 
 3321 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1991M ;  ; Al/Br ; AU ; 17 ; VicVas ; 81 
 3322 ; 1 марка. Финляндия ; 1921H ;  ; Cu-Ni ; XF+ ; 65 ; dsp ; 185 
 3323 ; 1 марка. Финляндия ; 1922 ;  ; Cu-Ni ; AU ; 23 ; coin17 ; 184 
 3324 ; 1 марка. Финляндия ; 1923S ;  ; Cu-Ni ; AU ; 31 ; suhua ; 259 
 3325 ; 1 марка. Финляндия ; 1924S ;  ; Cu-Ni ; AU ; 32 ; dsp ; 329 
 3326 ; 1 марка. Финляндия ; 1928S ;  ; Cu-Ni ; VF-XF ; 21 ; VicVas ; 41 
 3327 ; 1 марка. Финляндия ; 1929S ;  ; Cu-Ni ; VF+ ; 25 ; VicVas ; 75 
 3328 ; 1 марка. Финляндия ; 1930S ;  ; Cu-Ni ; AU ; 25 ; coin17 ; 113 
 3329 ; 1 марка. Финляндия ; 1931S ;  ; Cu-Ni ; XF ; 23 ; VicVas ; 41 
 3330 ; 1 марка. Финляндия ; 1932S ;  ; Cu-Ni ; VF-XF ; 34 ; VicVas ; 41 
 3331 ; 1 марка. Финляндия ; 1933S ;  ; Cu-Ni ; VF-XF ; 31 ; VicVas ; 42 
 3332 ; 1 марка. Финляндия ; 1936S ;  ; Cu-Ni ; VF-XF ; 26 ; В1951 ; 59 
 3333 ; 1 марка. Финляндия ; 1937S ;  ; Cu-Ni ; XF+ ; 24 ; VicVas ; 30 
 3334 ; 1 марка. Финляндия ; 1938S ;  ; Cu-Ni ; XF+ ; 32 ; VicVas ; 38 
 3335 ; 1 марка. Финляндия ; 1939S ;  ; Cu-Ni ; XF+ ; 22 ; VicVas ; 42 
 3336 ; 1 марка. Финляндия ; 1940S ;  ; Cu-Ni ; XF+ ; 14 ; VicVas ; 34 
 3337 ; 1 марка. Финляндия ; 1940S ;  ; Cu ; Unc/AU ; 31 ; suhua ; 199 
 3338 ; 1 марка. Финляндия ; 1941S ;  ; Cu ; Unc/AU ; 27 ; vb96 ; 141 
 3339 ; 1 марка. Финляндия ; 1942S ;  ; Cu ; XF+ ; 10 ; suhua ; 116 
 3340 ; 1 марка. Финляндия ; 1943S ;  ; Cu ; XF+ ; 18 ; suhua ; 101 
 3341 ; 1 марка. Финляндия ; 1943S ;  ; Fe ; AU ; 40 ; coin17 ; 186 
 3342 ; 1 марка. Финляндия ; 1944S ;  ; Fe ; AU ; 16 ; tpls ; 113 
 3343 ; 1 марка. Финляндия ; 1945S ;  ; Fe ; AU ; 8 ; VicVas ; 115 
 3344 ; 1 марка. Финляндия ; 1946S ;  ; Fe ; Unc/AU ; 27 ; tpls ; 113 
 3345 ; 1 марка. Финляндия ; 1947S ;  ; Fe ; AU ; 34 ; DVZ ; 125 
 3346 ; 1 марка. Финляндия ; 1948L ;  ; Fe ; AU ; 13 ; vb96 ; 126 
 3347 ; 1 марка. Финляндия ; 1949H ;  ; Fe ; AU ; 8 ; tpls ; 114 
 3348 ; 1 марка. Финляндия ; 1950H ;  ; Fe ; AU ; 9 ; suhua ; 159 
 3349 ; 1 марка. Финляндия ; 1950H ;  ; Cu ; Unc/AU ; 26 ; tpls ; 313 
 3350 ; 1 марка. Финляндия ; 1951H ;  ; Cu ; XF+ ; 19 ; VicVas ; 37 
 3351 ; 1 марка. Финляндия ; 1951H ;  ; Fe ; AU ; 10 ; tpls ; 101 
 3352 ; 1 марка. Финляндия ; 1952H ;  ; Fe ; AU ; 13 ; tpls ; 177 
 3353 ; 1 марка. Финляндия ; 1952 ;  ; Fe ; AU ; 18 ; krugerrand ; 128 
 3354 ; 1 марка. Финляндия ; 1953 ;  ; Fe ; AU ; 17 ; krugerrand ; 125 
 3355 ; 1 марка. Финляндия ; 1954 ;  ; Ni/Fe ; AU ; 9 ; andysayan ; 14 
 3356 ; 1 марка. Финляндия ; 1955 ;  ; Ni/Fe ; AU ; 16 ; VicVas ; 28 
 3357 ; 1 марка. Финляндия ; 1956 ;  ; Ni/Fe ; AU ; 29 ; tpls ; 37 
 3358 ; 1 марка. Финляндия ; 1957 ;  ; Ni/Fe ; AU ; 2 ; митька ; 80 
 3259 ; 10 марок. Финляндия ; 1937S ;  ; Al/Br ; XF ; 50 ; suhua ; 233 
 3260 ; 10 марок. Финляндия ; 1938S ;  ; Al/Br ; VF-XF ; 33 ; ИЮМов1 ; 119 
 3261 ; 10 марок. Финляндия ; 1939S ;  ; Al/Br ; XF+ ; 76 ; СВл ; 880 
 3262 ; 10 марок. Финляндия ; 1952H ;  ; Al/Br ; VF-XF ; 34 ; VicVas ; 46 
 3263 ; 10 марок. Финляндия ; 1953H ;  ; Al/Br ; VF-XF ; 38 ; Болгарин ; 111 
 3264 ; 10 марок. Финляндия ; 1954H ;  ; Al/Br ; XF- ; 20 ; suhua ; 94 
 3265 ; 10 марок. Финляндия ; 1955H ;  ; Al/Br ; XF+ ; 40 ; suhua ; 143 
 3266 ; 10 марок. Финляндия ; 1956H ;  ; Al/Br ; Unc/AU ; 10 ; suhua ; 238 
 3267 ; 10 марок. Финляндия ; 1958H ;  ; Al/Br ; Unc/AU ; 9 ; tpls ; 125 
 3268 ; 10 марок. Финляндия ; 1960S ;  ; Al/Br ; Unc/AU ; 23 ; suhua ; 359 
 3269 ; 10 марок. Финляндия ; 1961S ;  ; Al/Br ; Unc/AU ; 16 ; suhua ; 338 
 3270 ; 10 марок. Финляндия ; 1962S ;  ; Al/Br ; Unc/AU ; 14 ; andorf ; 335 
 3271 ; 5 марок. Финляндия ; 1930S ;  ; Al/Br ; XF+ ; 52 ; av ; 173 
 3272 ; 5 марок. Финляндия ; 1931S ;  ; Al/Br ; XF ; 37 ; av ; 143 
 3273 ; 5 марок. Финляндия ; 1932S ;  ; Al/Br ; XF+ ; 63 ; suhua ; 412 
 3274 ; 5 марок. Финляндия ; 1933S ;  ; Al/Br ; XF ; 37 ; DVZ ; 131 
 3275 ; 5 марок. Финляндия ; 1935S ;  ; Al/Br ; XF+ ; 49 ; DVZ ; 156 
 3276 ; 5 марок. Финляндия ; 1936S ;  ; Al/Br ; XF+ ; 44 ; 542 ; 193 
 3277 ; 5 марок. Финляндия ; 1937S ;  ; Al/Br ; XF+ ; 18 ; VicVas ; 70 
 3278 ; 5 марок. Финляндия ; 1938S ;  ; Al/Br ; XF ; 32 ; suhua ; 79 
 3279 ; 5 марок. Финляндия ; 1939S ;  ; Al/Br ; XF+ ; 20 ; VicVas ; 66 
 3280 ; 5 марок. Финляндия ; 1940S ;  ; Al/Br ; XF+ ; 34 ; VicVas ; 149 
 3281 ; 5 марок. Финляндия ; 1941S ;  ; Al/Br ; XF+ ; 22 ; VicVas ; 57 
 3282 ; 5 марок. Финляндия ; 1942S ;  ; Al/Br ; AU ; 20 ; suhua ; 396 
 3283 ; 5 марок. Финляндия ; 1946S ;  ; Латунь ; AU ; 38 ; dsp ; 163 
 3284 ; 5 марок. Финляндия ; 1947S ;  ; Латунь ; AU ; 56 ; krugerrand ; 78 
 3285 ; 5 марок. Финляндия ; 1948L ;  ; Латунь ; XF ; 35 ; dsp ; 152 
 3286 ; 5 марок. Финляндия. Буква "Н" узкая ; 1949H ;  ; Латунь ; XF+ ; 14 ; dsp ; 62 
 3287 ; 5 марок. Финляндия. Буква "Н" широкая ; 1949H ;  ; Латунь ; XF+ ; 36 ; dsp ; 90 
 3288 ; 5 марок. Финляндия ; 1950H ;  ; Латунь ; AU ; 27 ; Dbrnjh ; 171 
 3289 ; 5 марок. Финляндия ; 1951H ;  ; Латунь ; XF+ ; 20 ; VicVas ; 71 
 3290 ; 5 марок. Финляндия ; 1952H ;  ; Латунь ; XF+ ; 40 ; Dbrnjh ; 233 
 3291 ; 5 марок. Финляндия ; 1952 ;  ; Fe ; XF- ; 51 ; krugerrand ; 142 
 3292 ; 5 марок. Финляндия ; 1953 ;  ; Fe ; AU ; 35 ; suhua ; 153 
 3293 ; 5 марок. Финляндия ; 1954 ;  ; Ni/St ; XF+ ; 13 ; VicVas ; 22 
 3294 ; 5 марок. Финляндия ; 1955 ;  ; Ni/St ; AU ; 31 ; tpls ; 66 
 3295 ; 5 марок. Финляндия ; 1956 ;  ; Ni/St ; AU ; 35 ; tpls ; 67 
 3296 ; 5 марок. Финляндия ; 1957 ;  ; Ni/St ; AU ; 29 ; VicVas ; 58 
 3297 ; 5 марок. Финляндия ; 1958 ;  ; Ni/St ; AU ; 25 ; VicVas ; 66 
 3298 ; 5 марок. Финляндия ; 1959 ;  ; Ni/St ; AU ; 13 ; tpls ; 66 
 3299 ; 5 марок. Финляндия ; 1960 ;  ; Ni/St ; Unc/AU ; 26 ; suhua ; 45 
 3300 ; 5 марок. Финляндия ; 1961 ;  ; Ni/St ; AU ; 36 ; ИЮМов1 ; 68 
 3301 ; 5 марок. Финляндия ; 1962 ;  ; Ni/St ; AU ; 33 ; suhua ; 255 
 3302 ; 5 марок. Финляндия. Ледокол "Варма" ; 1972S ;  ; Al/Br ; AU ; 38 ; suhua ; 184 
