 6620 ; Пуговица ;  ;  ; Б/м ;  ; 22 ; stilsb ; 249 
 5333 ; 5 юаней. Китай (провинция Квантунг, г. Гуанжоу) ; 1933 ;  ;  ;  ; 25 ; 21238508 ; 1194 
 5334 ; 10 юаней. Китай (провинция Шандун) ; 1939 ;  ;  ;  ; 20 ; SS2008 ; 749 
 5335 ; 10 юаней. Китай, провинция Хейлунцзиян, г. Мукден ; 1925 ;  ;  ;  ; 45 ; SS2008 ; 1325 
 5336 ; 50 центов, Китай, провинция Хубей ; 1940 ;  ;  ;  ; 32 ; 21238508 ; 1372 
 5337 ; 10 юаней. Китай, Банк провинции Шанси ; 1940 ;  ;  ;  ; 27 ; SS2008 ; 1248 
 5338 ; 50 юаней, Китай, провинция Шанси ; 1944 ;  ;  ;  ; 21 ; SY_2009 ; 956 
 5339 ; 200000 карбованцев. Украина ; 1994 ;  ;  ;  ; 39 ; XF ; 227 
 5340 ; 1000000 карбованцев. Украина ; 1995 ;  ;  ;  ; 21 ; Фома ; 612 
 5341 ; 200000 карбованцев. Украина ; 1994 ;  ;  ;  ; 12 ; Юра Хой ; 589 
 5342 ; 1000 леоне ;  ;  ;  ; AU ; 20 ; Сhatsky ; 60 
 5343 ; 10 франков. Франция ;  ;  ;  ;  ; 18 ; гравицапа ; 255 
 5344 ; 1 пео. Мексика ;  ;  ;  ;  ; 7 ; ZIMOGOR ; 57 
 5345 ; 50 юаней. Китай. Банк 3-х провинций Шанси ; 1941 ;  ;  ;  ; 26 ; 21238508 ; 1247 
 5346 ; 100000 юаней. Китай. Банк 3-х Северо-Восточных Провинций ; 1949 ;  ;  ;  ; 16 ; 21238508 ; 1255 
 5347 ; 10 юаней. Китай. Банк 3-х Провинций Шанси ; 1945 ;  ;  ;  ; 28 ; Sky2 ; 1248 
 5348 ; 1000 юаней. Китай. Банк 3-х Провинций Шанси ; 1946 ;  ;  ;  ; 32 ; Sky2 ; 1268 
 5349 ; Бона. 5 рублей. Латвия ; 1919 ;  ;  ;  ; 43 ; Luck ; 775 
 5350 ; Бона. 20 копеек. Познань ; 1916 ;  ;  ;  ; 24 ; tiptop ; 250 
 5351 ; Бона иностранная. 500 марок. Финляндия ; 1922 ;  ;  ;  ; 31 ; SS2008 ; 2025 
 5352 ; Бона иностранная. 50 марок. Финляндия ; 1939 ;  ;  ;  ; 33 ; Aurum ; 1019 
 5353 ; Бона иностранная. 100 марок. Финляндия ; 1939 ;  ;  ;  ; 26 ; Bonifaci ; 591 
 5354 ; Бона иностранная. 100 марок. Финляндия ; 1955 ;  ;  ;  ; 21 ; alesjane ; 340 
 5255 ; 1 доллар США ; 1928 ;  ;  ;  ; 42 ; Лоцман ; 691 
 5256 ; 1 доллар США ; 1917 ;  ;  ;  ; 43 ; Голдер ; 8500 
 5257 ; 1 доллар США ; 2009 ;  ;  ; AU ; 51 ; 2128508 ; 233 
 5258 ; Бона иностранная. США. 1 доллар ; 1957 ;  ;  ;  ; 38 ; alex09-63 ; 260 
 5259 ; Лот иностранных бон (2 штуки) США ; 1999 ;  ;  ; AU ; 18 ; heavy_fly ; 308 
 5260 ; Лот иностранных бон (3 штуки) США ;  ;  ;  ;  ; 22 ; nikki999 ; 215 
 5261 ; Лот иностранных бон (3 штуки) США ;  ;  ;  ;  ; 53 ; Лоцман ; 692 
 5262 ; Лот иностранных бон (3 штуки) США ; 1999 ;  ;  ; AU ; 23 ; SailorX ; 327 
 5263 ; 2 доллара США ; 1995 ;  ;  ;  ; 19 ; DNK981 ; 181 
 5264 ; 2 доллара США ; 1976 ;  ;  ;  ; 42 ; Лоцман ; 364 
 5265 ; Бона иностранная. США. 5 долларов. Гавайи ; 1934 ;  ;  ;  ; 112 ; Лоцман ; 5365 
 5266 ; 5 долларов США ; 1963 ;  ;  ;  ; 23 ; VAZ-2107 ; 645 
 5267 ; 5 долларов США ; 1934 ;  ;  ;  ; 35 ; металлург ; 1405 
 5268 ; 5 долларов США ; 1953 ;  ;  ;  ; 23 ; металлург ; 516 
 5269 ; 5 долларов США ; 1914 ;  ;  ;  ; 43 ; Aleks_Smith ; 3909 
 5270 ; 5 долларов США ; 1953 ;  ;  ;  ; 28 ; металлург ; 691 
 5271 ; 20 долларов США ; 1921 ;  ;  ;  ; 91 ; ossessione ; 9408 
 5272 ; 50 долларов США ; 1914 ;  ;  ;  ; 66 ; Aleks_Smith ; 7117 
 5273 ; 50 долларов США ; 1914 ;  ;  ;  ; 60 ; archy ; 2222 
 5274 ; 1 доллар. Америка ;  ;  ;  ;  ; 38 ; graff36alex ; 2166 
 5275 ; 10 долларов. Конфедеративные штаты Америки ; 1864 ;  ;  ;  ; 21 ; num ; 1587 
 5276 ; Бона иностранная. 25 пенни. Финляндия ; 1918 ;  ;  ; AU ; 12 ; Alexander_Vl ; 340 
 5277 ; Бона иностранная. 50 пенни. Финляндия ; 1918 ;  ;  ; AU ; 36 ; МММ ; 478 
 5278 ; Бона иностранная. Эстония ;  ;  ;  ; AU ; 35 ; Bonifaci ; 5888 
 5279 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 17 ; etwar55 ; 254 
 5280 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 29 ; dmivanych ; 141 
 5281 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 24 ; stabah ; 318 
 5282 ; Бона иностранная. Оман ;  ;  ;  ;  ; 13 ; krugerrand ; 151 
 5283 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 17 ; ialaiola ; 81 
 5284 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 16 ; ialaiola ; 81 
 5285 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 31 ; магаз ; 42 
 5286 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 15 ; alesjane ; 101 
 5287 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 17 ; Russman ; 72 
 5288 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 14 ; Russman ; 57 
 5289 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 12 ; дилитант ; 72 
 5290 ; Бона иностранная. Тунис ;  ;  ;  ;  ; 7 ; 90111 ; 90 
 5291 ; Бона иностранная. Танзания ;  ;  ;  ;  ; 5 ; 90111 ; 134 
 5292 ; Бона иностранная. Перу ;  ;  ;  ;  ; 3 ; 90111 ; 69 
 5293 ; Бона иностранная. Суринам ;  ;  ;  ;  ; 7 ; vladmarkin ; 70 
 5294 ; Бона иностранная. Эквадор ;  ;  ;  ;  ; 8 ; alesjane ; 110 
 5295 ; Бона иностранная. Эфиопия ;  ;  ;  ;  ; 3 ; магаз ; 22 
 5296 ; 1 крузейро. Бразилия ;  ;  ;  ; AU ; 27 ; Dmitry82 ; 61 
 5297 ; 1 гуарани. Парагвай ;  ;  ;  ; AU ; 26 ; Dmitry82 ; 76 
 5298 ; 5 лева. Болгария ; 1951 ;  ;  ; AU ; 9 ; STANDART ; 36 
 5299 ; 1 фунт. Англия ;  ;  ;  ; AU ; 10 ; alex09-63 ; 179 
 5300 ; 1 фунт. Британская Армия ;  ;  ;  ; AU ; 8 ; Dmitry82 ; 55 
 5301 ; 2 песо. Колумбия ; 1977 ;  ;  ; AU ; 42 ; heavy_fly ; 255 
 5302 ; 5 квач. Замбия ;  ;  ;  ; AU ; 16 ; SS2008 ; 28 
 5303 ; 5 рупий. Индонезия ;  ;  ;  ; AU ; 39 ; митяй ; 110 
 5304 ; 100 рупий. Индонезия ; 1992 ;  ;  ; AU ; 23 ; PK101975 ; 42 
 5205 ; 1 рубль. Марка "В-Утинского о-ва потребителей" ; 1920 ;  ;  ;  ; 32 ; 562359 ; 745 
 5206 ; 25 рублей (с корешком) Потребительский Авансовый  знак ; 1919 ;  ;  ;  ; 31 ; 562359 ; 1022 
 5207 ; 1 рубль. Билет Союза Приамурских Кооперативов (Владивосток) ;  ;  ;  ;  ; 40 ; ZIMOGOR ; 1022 
 5208 ; 10 рублей. Акционерное Общество Белорецких Заводов ; 1919 ;  ;  ;  ; 16 ; luchsva ; 2039 
 5209 ; 50 рублей. Акционерное Общество Белорецких Заводов ; 1919 ;  ;  ;  ; 15 ; lesnik1 ; 1785 
 5210 ; 25 рублей. Акционерное Общество Белорецких Заводов ; 1919 ;  ;  ;  ; 15 ; 562359 ; 1631 
 5211 ; Дорожный чек. 10 рублей. Государственный Банк СССР ;  ;  ;  ;  ; 21 ; папашаГарпагон ; 333 
 5212 ; Приватизационный чек. 10000 рублей ; 1992 ;  ;  ;  ; 18 ; Сhatsky ; 453 
 5213 ; Чек на получение товаров на сумму 50 рублей. "Внешпосылторг" В холдере ZG ; 1976 ;  ;  ;  ; 46 ; Нумик2016 ; 1926 
 5214 ; Чек. Русский Банк (Для внешней торговли) ; 1911 ;  ;  ;  ; 48 ; 562359 ; 1216 
 5215 ; Сертификат на 1000000 карбованцев. Украина ;  ;  ;  ;  ; 30 ; etwar55 ; 95 
 5216 ; Пригласительный билет в Колонный зал Дома Союзов ; 1949 ;  ;  ;  ; 13 ; serg2018 ; 163 
 5217 ; Грамота "Лучшему Ударнику!" ;  ;  ;  ;  ; 11 ; Кемская ; 1530 
 5218 ; Документ. Волжско-Камский Коммерческий Банк ;  ;  ;  ;  ; 54 ; uxx ; 1593 
 5219 ; Лист купонов (20 штук) ;  ;  ;  ;  ; 11 ; пасечник ; 123 
 5220 ; Лот билетов МММ (5 штук) ;  ;  ;  ; AU ; 29 ; Deol86 ; 179 
 5221 ; Лот лотерейных билетов (4 штуки) ; 1988 ;  ;  ;  ; 46 ; vasilekd ; 100 
 5222 ; Лот билетов денежно-вещевой лотереи (7шт) ; 1957-1972 ;  ;  ;  ; 5 ; пасечник ; 67 
 5223 ; Лот билетов денежно-вещевой лотереи (9шт). Эстония ; 1960-1986 ;  ;  ;  ; 33 ; пасечник ; 580 
 5224 ; Лот лотерейных билетов (18 штук) Китай ;  ;  ;  ;  ; 7 ; прохожий ; 92 
 5225 ; Лот лотерейных билетов (17 штук) Эстонская ССР ;  ;  ;  ;  ; 11 ; пасечник ; 445 
 5226 ; Лот этикеток (36 штук) ;  ;  ;  ;  ; 22 ; Vova1950 ; 306 
 5227 ; Финляндия. Чек ; 1939 ;  ;  ;  ; 32 ; папашаГарпагон ; 252 
 5228 ; Акция. 50000 рублей АО Международный Торговый Дом "Россия" ;  ;  ;  ;  ; 19 ; 3457896 ; 568 
 5229 ; Облигация на сумму 100 рублей. Государственный заем развития народного хозяйства СССР ; 1952 ;  ;  ;  ; 33 ; maymuse ; 169 
 5230 ; Облигация на сумму 100 рублей. Государственный заем развития народного хозяйства СССР ; 1951 ;  ;  ;  ; 24 ; maymuse ; 159 
 5231 ; Облигация на сумму 50 рублей. Государственный заем развития народного хозяйства СССР ; 1954 ;  ;  ;  ; 14 ; maymuse ; 163 
 5232 ; Лот облигаций (6 штук) ;  ;  ;  ;  ; 24 ; Markgraf ; 179 
 5233 ; Облигация ; 1864 ;  ;  ;  ; 22 ; CheGeVar ; 600 
 5234 ; Облигация ; 1866 ;  ;  ;  ; 34 ; der Kaiser ; 640 
 5235 ; Облигация ; 1869 ;  ;  ;  ; 20 ; 2128508 ; 555 
 5236 ; Облигация ; 1888 ;  ;  ;  ; 32 ; 562359 ; 1038 
 5237 ; Облигация ; 1890 ;  ;  ;  ; 18 ; Ustin ; 666 
 5238 ; Облигация на сумму 5000 рублей. Государственный Российский Республиканский Внутренний 5% заем ; 1990 ;  ;  ;  ; 29 ; Olimpia ; 7709 
 5239 ; Облигация ; 1897 ;  ;  ;  ; 21 ; CheGeVar ; 465 
 5240 ; Облигация ; 1867 ;  ;  ;  ; 13 ; 2128508 ; 459 
 5241 ; Облигация ; 1897 ;  ;  ;  ; 16 ; CheGeVar ; 465 
 5242 ; Облигация ; 1897 ;  ;  ;  ; 19 ; CheGeVar ; 371 
 5243 ; Облигация ; 1899 ;  ;  ;  ; 14 ; Ustin ; 506 
 5244 ; Облигация ; 1901 ;  ;  ;  ; 15 ; von_Schwarz ; 548 
 5245 ; Облигация ; 1902 ;  ;  ;  ; 27 ; Serjd ; 822 
 5246 ; Облигация ; 1909 ;  ;  ;  ; 18 ; CheGeVar ; 299 
 5247 ; Акция ; 1910 ;  ;  ;  ; 7 ; 90111 ; 227 
 5248 ; Акция ; 1912 ;  ;  ;  ; 7 ; 90111 ; 227 
 5249 ; Облигация ; 1912 ;  ;  ;  ; 19 ; 562359 ; 713 
 5250 ; Облигация ; 1912 ;  ;  ;  ; 23 ; Serjd ; 512 
 5251 ; 1 доллар США ; 1923 ;  ;  ;  ; 34 ; aviator55 ; 765 
 5252 ; 1 доллар США ; 1988 ;  ;  ;  ; 97 ; Лоцман ; 692 
 5253 ; 1 доллар США ; 1957 ;  ;  ;  ; 18 ; Grekorim425 ; 187 
 5254 ; 1 доллар США ; 1934 ;  ;  ;  ; 39 ; Лоцман ; 720 
 5155 ; 1 рубль ; 1961 ; Гос.казначейский билет ;  ; AU ; 18 ; duke3d ; 64 
 5156 ; 50 рублей ; 1961 ; билет ;  ;  ; 23 ; duke3d ; 125 
 5157 ; 3 рубля ; 1961 ; Гос.казначейский билет ;  ; AU ; 43 ; duke3d ; 172 
 5158 ; 100 рублей ; 1961 ;  ;  ;  ; 26 ; Сhatsky ; 165 
 5159 ; 3 рубля ; 1961 ; Гос.казначейский билет ;  ; AU ; 36 ; duke3d ; 203 
 5160 ; Лот бон (2 штуки по 100 рублей) ; 1961 ;  ;  ;  ; 64 ; duke3d ; 396 
 5161 ; Лот бон (6 штук) ; 1961 ;  ;  ;  ; 56 ; kvs ; 227 
 5162 ; 50 рублей. В холдере PCGS ; 1991 ; билет ;  ;  ; 52 ; dsidorov ; 1111 
 5163 ; 100 рублей ; 1991 ; билет ;  ;  ; 9 ; leningrad67 ; 61 
 5164 ; 100 рублей ; 1991 ; билет ;  ;  ; 5 ; Rodopi ; 55 
 5165 ; 200 рублей ; 1991 ; билет ;  ;  ; 14 ; Сhatsky ; 104 
 5166 ; 1000 рублей ; 1991 ; билет ;  ;  ; 9 ; Spanish.archer ; 77 
 5167 ; 500 рублей ; 1991 ; билет ;  ;  ; 11 ; sony ; 161 
 5168 ; 500 рублей ; 1991 ; билет ;  ;  ; 32 ; ЗАБРАЛО ; 204 
 5169 ; 500 рублей ; 1991 ; билет ;  ;  ; 9 ; pref ; 51 
 5170 ; 10000 рублей ; 1992 ; банкнота ;  ;  ; 15 ; es72. ; 173 
 5171 ; 1000 рублей ; 1992 ; билет ;  ;  ; 6 ; Spanish.archer ; 51 
 5172 ; 200 рублей ; 1992 ; билет ;  ;  ; 15 ; duke3d ; 51 
 5173 ; 50 рублей ; 1992 ; билет ;  ;  ; 10 ; Y.V.B. ; 102 
 5174 ; 10000 рублей ; 1992 ; банкнота ;  ; AU ; 25 ; Кузон ; 420 
 5175 ; 5000 рублей ; 1992 ; банкнота ;  ; AU ; 35 ; Кузон ; 650 
 5176 ; 1000 рублей ; 1992 ; билет ;  ; AU ; 43 ; Y.V.B. ; 157 
 5177 ; 500 рублей ; 1992 ; билет ;  ;  ; 9 ; rusin ; 21 
 5178 ; 200 рублей ; 1993 ; банкнота ;  ; AU ; 30 ; DNK981 ; 207 
 5179 ; 100 рублей ; 1993 ; банкнота ;  ; AU ; 11 ; Fum1979 ; 59 
 5180 ; 100 рублей ; 1993 ; банкнота ;  ; AU ; 8 ; kvs ; 57 
 5181 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 20 ; leningrad67 ; 111 
 5182 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 23 ; Нумик2016 ; 417 
 5183 ; 5000 рублей ; 1993 ; банкнота ;  ;  ; 42 ; Вадим17 ; 495 
 5184 ; 50000 рублей ; 1993 ; банкнота ;  ;  ; 34 ; Вадим17 ; 1700 
 5185 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 10 ; Spanish.archer ; 77 
 5186 ; Лот бон России. 2 шт ;  ;  ;  ; AU ; 17 ; Боня ; 133 
 5187 ; Лот бон (10 штук) ; 1993 ;  ;  ;  ; 19 ; Bonifaci ; 136 
 5188 ; 5000 рублей ; 1994 ; банкнота ;  ;  ; 27 ; Матроскин ; 138 
 5189 ; 50000 рублей ; 1994 ; банкнота ;  ;  ; 21 ; Вадим17 ; 1122 
 5190 ; 50000 рублей ; 1994 ; банкнота ;  ;  ; 16 ; DNK981 ; 793 
 5191 ; 50000 рублей ; 1995 ; банкнота ;  ;  ; 41 ; дитрих11 ; 580 
 5192 ; 1000 рублей ; 1995 ; банкнота ;  ;  ; 10 ; Spanish.archer ; 77 
 5193 ; 1000 рублей ; 1995 ; банкнота ;  ;  ; 28 ; Нумик2016 ; 82 
 5194 ; 100 рублей ; 1997 ; банкнота ;  ; AU ; 49 ; Кузон ; 532 
 5195 ; 10 рублей ; 1997 ; банкнота ;  ; AU ; 33 ; Кузон ; 612 
 5196 ; 100 рублей ; 1997 ; банкнота ;  ; AU ; 28 ; Кузон ; 180 
 5197 ; 10 рублей ; 1997 ; банкнота ;  ; AU ; 24 ; kvs ; 57 
 5198 ; 50 рублей ; 1997 ; банкнота ;  ; AU ; 30 ; Кузон ; 120 
 5199 ; 10 рублей ; 1997 ; банкнота ;  ;  ; 15 ; Mr. 001 ; 121 
 5200 ; Лот бон: 10 рублей (20шт) ;  ;  ;  ; AU ; 36 ; pers55 ; 584 
 5201 ; 100 рублей. Футбол ; 2018 ;  ;  ; AU ; 10 ; DNK981 ; 211 
 5202 ; 100 рублей. Акционерное Общество Белорецких Заводов ;  ;  ;  ;  ; 21 ; von_Schwarz ; 1733 
 5203 ; 100 рублей. Второе Иркутское общественное собрание ;  ;  ;  ;  ; 26 ; Sky2 ; 1835 
 5204 ; 250 рублей. Второе Иркутское общественное собрание ;  ;  ;  ;  ; 19 ; Sky2 ; 1800 
 5105 ; 500 рублей ; 1920 ;  ;  ;  ; 11 ; WRC ; 239 
 5106 ; Лот бон России. 250 и 100 рублей ; 1920 ;  ;  ;  ; 32 ; Сhatsky ; 503 
 5107 ; 5000 рублей ; 1921 ; Грузия ;  ;  ; 17 ; SS2008 ; 340 
 5108 ; 10000 рублей ; 1922 ; Грузия ;  ;  ; 25 ; огонь71 ; 414 
 5109 ; Лот бон: 1,3 руб (2шт) ; 1922 ;  ;  ;  ; 24 ; sato ; 465 
 5110 ; 5000000 рублей ; 1923 ; Закавказье ;  ;  ; 25 ; Serjd ; 1110 
 5111 ; 10000000 рублей ; 1923 ; Закавказье ;  ;  ; 59 ; Sky2 ; 1377 
 5112 ; 500000 рублей ; 1923 ; Закавказье ;  ;  ; 33 ; Bonifaci ; 1019 
 5113 ; 250000 рублей ; 1923 ; Закавказье ;  ;  ; 53 ; Сибирь-38 ; 1387 
 5114 ; 1000 рублей ; 1923 ; Закавказье ;  ; AU ; 58 ; Alks75 ; 1479 
 5115 ; 100000 рублей ; 1923 ; Закавказье ;  ;  ; 39 ; Сибирь-38 ; 1281 
 5116 ; 10000 рублей ; 1923 ; Закавказье ;  ;  ; 27 ; Сибирь-38 ; 835 
 5117 ; 10000 рублей ; 1923 ; Закавказье ;  ; AU ; 38 ; Alks75 ; 1596 
 5118 ; 5000 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 69 ; Serjd ; 3900 
 5119 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 22 ; es72. ; 467 
 5120 ; 50 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 34 ; Нумик2016 ; 612 
 5121 ; 25 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 33 ; serg2018 ; 591 
 5122 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 44 ; Нумик2016 ; 762 
 5123 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 50 ; to-to ; 788 
 5124 ; 1 рубль ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 49 ; огонь71 ; 909 
 5125 ; 25000000 рублей ; 1924 ; Закавказье ;  ;  ; 27 ; PK101975 ; 816 
 5126 ; 10000 рублей ; 1922 ; Грузия ;  ;  ; 8 ; огонь71 ; 323 
 5127 ; 100000000 рублей ; 1924 ; Закавказье ;  ;  ; 51 ; SS2008 ; 1006 
 5128 ; 50000000 рублей ; 1924 ; Закавказье ;  ;  ; 39 ; SS2008 ; 1385 
 5129 ; 1000000000 рублей ; 1924 ; Закавказье ;  ;  ; 51 ; vlkorchev ; 811 
 5130 ; 1 рубль. ЯКСОЮЗ кооперативов "ХОЛБОС" ; 1924 ;  ;  ;  ; 46 ; SED-56 ; 816 
 5131 ; 5 рублей ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 41 ; kompman ; 3750 
 5132 ; 5 рублей ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 65 ; Sky2 ; 3145 
 5133 ; 1 червонец ; 1926 ; Пятаков. Билет ;  ;  ; 60 ; Нумик2016 ; 3934 
 5134 ; 1 рубль золотом ; 1928 ; Гос.казначейские билеты СССР ;  ;  ; 56 ; WRC ; 3570 
 5135 ; 1 рубль золотом ; 1928 ; Гос.казначейские билеты СССР ;  ;  ; 40 ; Serjd ; 2365 
 5136 ; 1 червонец ; 1937 ; Билет ;  ;  ; 54 ; Mr. 001 ; 340 
 5137 ; 1 червонец ; 1937 ; Билет ;  ;  ; 37 ; огонь71 ; 277 
 5138 ; 1 червонец ; 1937 ; Билет ;  ;  ; 26 ; neverov ; 208 
 5139 ; 3 червонца ; 1937 ; Билет ;  ;  ; 36 ; Нумик2016 ; 571 
 5140 ; 3 червонца ; 1937 ; Билет ;  ;  ; 42 ; Сhatsky ; 370 
 5141 ; 3 червонца ; 1937 ; Билет ;  ;  ; 30 ; es72. ; 333 
 5142 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 71 ; Сhatsky ; 386 
 5143 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 25 ; 3457896 ; 344 
 5144 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 12 ; Нумик2016 ; 908 
 5145 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 50 ; Papanator62 ; 1360 
 5146 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 59 ; Sky2 ; 3060 
 5147 ; 25 рублей ; 1947 ; билет ;  ;  ; 58 ; Сhatsky ; 636 
 5148 ; 50 рублей ; 1947 ; билет ;  ;  ; 61 ; Сhatsky ; 906 
 5149 ; 50 рублей ; 1947 ; билет ;  ;  ; 79 ; Сhatsky ; 1258 
 5150 ; 50 рублей ; 1947 ; билет ;  ;  ; 68 ; Волк33 ; 1309 
 5151 ; 100 рублей ; 1947 ; билет ;  ;  ; 109 ; WRC ; 3400 
 5152 ; 1 рубль ; 1991 ; билет ;  ; AU ; 5 ; ghjghj26 ; 13 
 5153 ; 1 рубль ; 1991 ; билет ;  ; AU ; 5 ; Holder31 ; 13 
 5154 ; 1 рубль ; 1991 ; билет ;  ; AU ; 24 ; Holder31 ; 102 
 5055 ; 25 рублей. Разменный билет г. Одессы ; 1917 ;  ;  ;  ; 43 ; антоша ; 793 
 5056 ; 10 рублей. Разменный билет г. Одессы ; 1917 ;  ;  ;  ; 18 ; leningrad67 ; 555 
 5057 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 42 ; Sky2 ; 306 
 5058 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 28 ; ВЕПРЬ ; 126 
 5059 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 20 ; Sky2 ; 160 
 5060 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 33 ; Sky2 ; 200 
 5061 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 30 ; ВЕПРЬ ; 204 
 5062 ; Лот бон (2 штуки) ;  ;  ;  ;  ; 47 ; гравицапа ; 336 
 5063 ; Вексель на 100 рублей. Пометка об получении денег по нему (1918 год) ; 1912 ;  ;  ;  ; 20 ; WRC ; 1134 
 5064 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 13 ; es72. ; 34 
 5065 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 12 ; Андрей/Пермь ; 72 
 5066 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 16 ; Holder31 ; 72 
 5067 ; 100 рублей ; 1918 ;  ;  ;  ; 49 ; lenohota ; 304 
 5068 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 48 ; Кузон ; 4284 
 5069 ; 5 рублей ; 1918 ;  ;  ;  ; 44 ; DNK981 ; 520 
 5070 ; 10 рублей ; 1918 ;  ;  ;  ; 42 ; salim ; 510 
 5071 ; 25 рублей ; 1918 ;  ;  ;  ; 20 ; leningrad67 ; 291 
 5072 ; 5 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ;  ; 27 ; Сhatsky ; 397 
 5073 ; 10 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ;  ; 22 ; anna22 ; 306 
 5074 ; 1 рубль ; 1918 ; Казначейский знак Сибирского временного правительства ;  ;  ; 36 ; Сhatsky ; 608 
 5075 ; 1 рубль ; 1918 ; Закавказье ;  ;  ; 18 ; volga64 ; 279 
 5076 ; 10 копеек ; б/г ; Гос.кредитный билет "Северная Россия" ;  ;  ; 26 ; lesnik1 ; 1234 
 5077 ; 50 копеек ; б/г ; Гос.кредитный билет "Северная Россия" ;  ;  ; 14 ; Нумик2016 ; 851 
 5078 ; 50 копеек. Екатериноградская Краевая Контора ;  ;  ;  ;  ; 50 ; volga64 ; 340 
 5079 ; 5 рублей. Денежный знак Крымского Краевого Казначейства ;  ;  ;  ;  ; 35 ; sato ; 453 
 5080 ; 1 рубль. Областной союз "Амурский кооператор" ;  ;  ;  ;  ; 46 ; МММ ; 1326 
 5081 ; 25 рублей. Денежный знак Крымского Краевого Казначейства ;  ;  ;  ;  ; 50 ; Нумик2016 ; 888 
 5082 ; Марка. 50 копеек ;  ;  ;  ;  ; 23 ; SED-56 ; 579 
 5083 ; 3 рубля ; 1919 ;  ;  ;  ; 26 ; Сhatsky ; 453 
 5084 ; 3 рубля ; 1919 ;  ;  ;  ; 7 ; pref ; 34 
 5085 ; 3 рубля ; 1919 ;  ;  ;  ; 10 ; anna22 ; 255 
 5086 ; 10 рублей ; 1919 ;  ;  ;  ; 33 ; Dimitr1 ; 1012 
 5087 ; 5 рублей ; 1919 ; Армения ;  ; AU ; 36 ; Russman ; 826 
 5088 ; 50 рублей ; 1919 ;  ;  ;  ; 21 ; leningrad67 ; 174 
 5089 ; 1 рубль ; 1919 ; Гос.кредитный билет "Северная Россия" ;  ;  ; 27 ; огонь71 ; 884 
 5090 ; 1 рубль. Амурский Областной Кредитный Союз ; 1919 ;  ;  ;  ; 45 ; Sedoi ; 1501 
 5091 ; 50 рублей ; 1919 ;  ;  ;  ; 31 ; Mr. 001 ; 423 
 5092 ; 10 рублей ; 1919 ;  ;  ;  ; 48 ; Нумик2016 ; 931 
 5093 ; 10 рублей ; 1919 ;  ;  ;  ; 33 ; огонь71 ; 668 
 5094 ; 5 рублей ; 1919 ;  ;  ;  ; 14 ; anna22 ; 295 
 5095 ; 5 рублей ; 1919 ;  ;  ;  ; 22 ; огонь71 ; 589 
 5096 ; 10 рублей ; 1919 ;  ;  ;  ; 17 ; огонь71 ; 323 
 5097 ; 100 рублей ; 1919 ;  ;  ;  ; 35 ; Нумик2016 ; 789 
