 5888 ; Бона иностранная 2 шт ;  ;  ;  ;  ; 11 ; doiu33 ; 339 
 3423 ; 5 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; VF- ; 26 ; Mike! ; 382 
 3424 ; 10 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F+ ; 9 ; banks ; 206 
 3425 ; 10 пфеннигов. Германия. Нотгельд. Хаген ; 1917 ;  ; Zn ; F ; 8 ; banks ; 181 
 3426 ; 10 пфеннигов. Германия. Нотгельд ; ND ;  ; Zn ; VF ; 18 ; colonel6262 ; 381 
 3427 ; 10 пфеннигов. Германия. Нотгельд. Хамм ; 1917 ;  ; Zn ; F+ ; 11 ; Jauho ; 209 
 3428 ; 10 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F+ ; 7 ; Jauho ; 207 
 3429 ; 10 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F+ ; 9 ; Jauho ; 184 
 3430 ; 10 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F+ ; 10 ; Mike! ; 207 
 3431 ; 10 пфеннигов. Германия. Нотгельд. Майнц ; 1917 ;  ; Zn ; F+ ; 5 ; brigadir ; 182 
 3432 ; 50 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F ; 12 ; Jauho ; 342 
 3433 ; 50 пфеннигов. Германия. Нотгельд ; 1919 ;  ; Zn ; F ; 19 ; colonel6262 ; 403 
 3434 ; 50 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F+ ; 9 ; Jauho ; 261 
 3435 ; 25 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F-VF ; 5 ; Jauho ; 181 
 3436 ; 10 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F+ ; 9 ; Jauho ; 314 
 3437 ; 25 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F-VF ; 21 ; Jauho ; 364 
 3438 ; 10 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F+ ; 13 ; Jauho ; 248 
 3439 ; 50 пфеннигов. Германия. Нотгельд ; 1920 ;  ; Al ; VF+ ; 20 ; mesv ; 435 
 3440 ; 10 пфеннигов. Германия. Нотгельд. Магдебург ; 1921 ;  ; Al ; VF+ ; 11 ; westof ; 304 
 3441 ; 10 пфеннигов. Германия. Нотгельд ; 1921 ;  ; Al ; VF+ ; 19 ; Jauho ; 388 
 3442 ; 5 пфеннигов. Германия. Нотгельд. Линнеп ; 1920 ;  ; Al ; XF ; 21 ; mesv ; 416 
 3443 ; 10 пфеннигов. Германия. Нотгельд ;  ;  ; Zn ; VF- ; 14 ; Mike! ; 252 
 3444 ; 50 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F ; 14 ; Jauho ; 340 
 3445 ; 5 марок. ГДР. Дворец Сансуси в Потсдаме ; 1986А ;  ; Cu/Ni ; AU ; 15 ; magpie ; 318 
 3446 ; 5 марок. ГДР. Красная ратуша ; 1987А ;  ; Cu/Ni ; AU ; 14 ; magpie ; 216 
 3447 ; 5 марок. ГДР. Порт в г. Росток ; 1988А ;  ; Cu/Ni ; AU ; 21 ; sibirian ; 258 
 3448 ; 5 марок. ГДР. Международный женский год ; 1975 ;  ; Cu/Ni ; AU ; 24 ; maleevsw ; 499 
 3449 ; 5 марок. ГДР. Церковь Св. Томаса в Лейпциге ; 1984А ;  ; Cu/Ni ; AU ; 28 ; magpie ; 340 
 3450 ; 5 марок. ГДР.  Дворцовый ансамбль Цвингер ; 1985А ;  ; Cu/Ni ; AU ; 17 ; solder13 ; 404 
 3451 ; 5 марок. ГДР. Дворец в Потсдаме ; 1986А ;  ; Cu/Ni ; AU ; 21 ; solder13 ; 359 
 3452 ; 2 кроны. Швеция. 300 лет со дня смерти Густава II Адольфа ; 1932 ;  ; Ag ; AU ; 58 ; kornum ; 842 
 3453 ; 2 гривны. Украина. 90 лет Западно-Украинской национальной армии ; 2008 ;  ; Cu/Ni ; AU ; 15 ; dic79 ; 228 
 3454 ; 2 гривны. Украина. Иван Кожедуб ; 2010 ;  ; Cu/Ni ; AU ; 13 ; ВМШ ; 221 
 3455 ; 2 гривны. Украина. 350 лет Львовскому национальному университету ; 2011 ;  ; Cu/Ni ; AU ; 9 ; Elephant ; 127 
 3456 ; 2 гривны. Украина. 100 лет украинскому хоккею ; 2010 ;  ; Cu/Ni ; AU ; 9 ; ВМШ ; 160 
 3457 ; 2 гривны. Украина. Василий Симоненко ; 2008 ;  ; Cu/Ni ; AU ; 28 ; ВМШ ; 153 
 3458 ; 20 драхм. Греция. Перикл ; 1976 ;  ; Cu/Ni ; XF+ ; 19 ; Атлантик ; 38 
 3459 ; 5 эскудо. Португалия. Корабль ; 1983 ;  ; Cu/Ni ; VF-XF ; 7 ; 7755 ; 41 
 3460 ; 100 шиллингов. Уганда ; 1998 ;  ; Cu/Ni ; VF ; 17 ; REC ; 62 
 3461 ; 1 пенс. Остров Мен. Мемориал войны ; 2008 ;  ; Cu/Fe ; XF+ ; 28 ; бортик ; 53 
 3462 ; 1 доллар. Канада. 100 лет ; 1976 ;  ; Ag ; AU ; 37 ; Elephant ; 556 
 3363 ; 1 шиллинг. Великобритания. Английский герб ; 1965 ;  ; Cu/Ni ; AU ; 39 ; kornum ; 72 
 3364 ; 1 франк. Франция ; 1916 ;  ; Ag ; XF ; 19 ; 220W ; 238 
 3365 ; 50 сантимов. Франция ; 1916 ;  ; Ag ; XF ; 13 ; av ; 124 
 3366 ; 1/2 франка. Швейцария ; 1898 ;  ; Ag ; F ; 20 ; Thomson ; 72 
 3367 ; 25 центов. Канада ; 1920 ;  ; Ag ; VF- ; 10 ; 8888 ; 220 
 3368 ; 5 центов. Канада ; 1904 ;  ; Ag ; VF- ; 33 ; 8888 ; 138 
 3369 ; 6 пенсов. Британская Западная Африка ; 1940 ;  ; Al/Br ; VF ; 13 ; andreyM ; 79 
 3370 ; 1 пенни. Австралия ; 1924 ;  ; Br ; VF+ ; 25 ; avstraliez2 ; 161 
 3371 ; 5 центов. Канада ; 1940 ;  ; Cu-Ni ; VF- ; 17 ; бортик ; 40 
 3372 ; 10 центов. Канада ; 1942 ;  ; Ag ; VF+ ; 22 ; Groshuk ; 83 
 3373 ; 1/2 пенни. Австралия ; 1922 ;  ; Br ; VF- ; 19 ; avstraliez2 ; 105 
 3374 ; 5 лат. Латвия ; 1932 ;  ; Ag ;  ; 19 ; anders1971 ; 1020 
 3375 ; 1 су. Токен. Канада ; 1837 ;  ; Cu ; F- ; 12 ; asnik ; 118 
 3376 ; 1 цент. США ; 1863 ;  ; Br ; F-VF ; 17 ; aniki-niki ; 401 
 3377 ; 1 цент. США ; 1909 ;  ; Br ; F-VF ; 25 ; Моряк-собиратель ; 281 
 3378 ; 1 цент. США ; 1943 ;  ; Zn ; F+ ; 19 ; vdvpost ; 69 
 3379 ; Фартинг. Великобритания ; 1885 ;  ; Br ; F-VF ; 35 ; val211 ; 79 
 3380 ; Фартинг. Великобритания ; 1900 ;  ; Br ; VF ; 39 ; Ermak ; 192 
 3381 ; Фартинг. Великобритания ; 1902 ;  ; Br ; F+ ; 17 ; YAV71 ; 102 
 3382 ; Фартинг. Великобритания ; 1925 ;  ; Br ; VF+ ; 12 ; 221267 ; 68 
 3383 ; Фартинг. Великобритания ; 1954 ;  ; Br ; VF+ ; 17 ; maleevsw ; 164 
 3384 ; 1 цент. Цейлон ; 1910 ;  ; Br ; F+ ; 31 ; andreyM ; 113 
 3385 ; 1/2 пенни. Ямайка ; 1887 ;  ; Cu-Ni ; F ; 19 ; val211 ; 78 
 3386 ; 10 злотых. Польша ; 1959 ;  ; Cu-Ni ; VF ; 23 ; kornum ; 136 
 3387 ; 5 крон. Словакия ; 1939 ;  ; Cu-Ni ; VF+ ; 39 ; kornum ; 167 
 3388 ; 1 крона. Словакия ; 1945 ;  ; Cu-Ni ; VF ; 41 ; Sky2 ; 163 
 3389 ; 2 кроны. Чехословакия ; 1948 ;  ; Cu-Ni ; XF ; 41 ; kornum ; 227 
 3390 ; 50 хеллеров. Чехословакия ; 1948 ;  ; Br ; VF ; 37 ; kornum ; 117 
 3391 ; 20 хеллеров. Словакия ; 1941 ;  ; Br ; F+ ; 56 ; cboker ; 777 
 3392 ; 10 хеллеров. Чехословакия ; 1935 ;  ; Br ; VF- ; 21 ; av ; 90 
 3393 ; 2 злотых. Польша ; 2003 ;  ; Латунь ; XF ; 26 ; mefody73 ; 102 
 3394 ; 10 крон. Словакия ; 1944 ;  ; Ag ; VF ; 25 ; kornum ; 420 
 3395 ; 25 пфеннигов. Германия. Нотгельд. Мюнстер ; 1918 ;  ; Fe ; F+ ; 9 ; Mike! ; 209 
 3396 ; 25 пфеннигов. Германия. Нотгельд. Мюнстер ; 1918 ;  ; Fe ; VF- ; 5 ; yurrgen ; 204 
 3397 ; 50 пфеннигов. Германия. Нотгельд. Изерлон ; 1917 ;  ; Fe ; VF ; 9 ; yurrgen ; 227 
 3398 ; 50 пфеннигов. Германия. Нотгельд. Люденшейд ; 1918 ;  ; Fe ; VF- ; 33 ; mesv ; 435 
 3399 ; 10 пфеннигов. Германия. Нотгельд. Линц ; ND ;  ; Fe ; VF- ; 20 ; brigadir ; 225 
 3400 ; 10 пфеннигов. Германия. Нотгельд. Люденшейд ; 1918 ;  ; Fe ; VF- ; 15 ; brigadir ; 300 
 3401 ; 10 пфеннигов. Германия. Нотгельд. Мюхльхаузен ; 1917 ;  ; Fe ; F+ ; 9 ; brigadir ; 185 
 3402 ; 50 пфеннигов. Германия. Нотгельд ; 1920 ;  ; Fe ; VF ; 21 ; Jauho ; 408 
 3403 ; 10 пфеннигов. Германия. Нотгельд. Наумбург ; 1919 ;  ; Fe ; F+ ; 13 ; Jauho ; 319 
 3404 ; 10 пфеннигов. Германия. Нотгельд ; 1919 ;  ; Fe ; F-VF ; 13 ; Jauho ; 313 
 3405 ; 5 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; VF+ ; 28 ; brigadir ; 405 
 3406 ; 10 пфеннигов. Германия. Нотгельд. Мюнстер ; 1918 ;  ; Fe ; VF- ; 3 ; Mike! ; 160 
 3407 ; 10 пфеннигов. Германия. Нотгельд. Люденшейд ; 1917 ;  ; Fe ; VF- ; 6 ; Mike! ; 177 
 3408 ; 10 пфеннигов. Германия. Нотгельд. Хедельберг. Отверстие ; ND ;  ; Fe ; F+ ; 23 ; Jauho ; 153 
 3409 ; 25 пфеннигов. Германия. Нотгельд. Мюльхейм ; 1921 ;  ; Fe ; VF ; 14 ; brigadir ; 374 
 3410 ; 10 пфеннигов. Германия. Нотгельд. Хоф ; 1918 ;  ; Zn ; VF+ ; 10 ; yurrgen ; 223 
 3411 ; 10 пфеннигов. Германия. Нотгельд. Халле ; 1920 ;  ; Fe ; VF ; 5 ; yurrgen ; 181 
 3412 ; 10 пфеннигов. Германия. Нотгельд ; 1918 ;  ; Fe ; F+ ; 7 ; banks ; 182 
 3313 ; 50 марок. Финляндия. Чемпионат мира по хоккею. С сертификатом ; 1982 ;  ; Ag ; AU ; 16 ; buynyi76 ; 551 
 3314 ; 50 марок. Финляндия. Урхо Кекконен. С сертификатом ; 1981 ;  ; Ag ; AU ; 11 ; DATR ; 459 
 3315 ; 5 гривен. Украина. 70 лет Корсунь-Шевченковской битве ; 2014 ;  ; Cu/Ni ; AU ; 15 ; GtF ; 396 
 3316 ; 5 гривен. Украина. 70 лет освобождения Мелитополя от фашистских захватчиков ; 2013 ;  ; Cu/Ni ; AU ; 7 ; крайний ; 230 
 3317 ; 5 гривен. Украина. 70 лет освобождения Донбаса от фашистских захватчиков ; 2013 ;  ; Cu/Ni ; AU ; 34 ; GtF ; 399 
 3318 ; 5 гривен. Украина. Корабль "Слава Екатерине" ; 2013 ;  ; Cu/Ni ; AU ; 21 ; крайний ; 340 
 3319 ; 5 гривен. Украина. Битва за Днепр ; 2013 ;  ; Cu/Ni ; AU ; 24 ; GtF ; 399 
 3320 ; 1 рубль. Белоруссия. Птичка года. Обычный соловей ; 2007 ;  ; Cu/Ni ; Proof ; 70 ; В1951 ; 378 
 3321 ; 250 эскудо. Португалия. 850 лет Португалии ; 1989 ;  ; Cu/Ni ; AU ; 20 ; kornum ; 184 
 3322 ; 25 эскудо. Португалия. 600 лет битве при Альюбаррота ; 1985 ;  ; Cu/Ni ; AU ; 17 ; страус ; 227 
 3323 ; 250 эскудо. Португалия. Олимпийские игры в Сеуле ; 1988 ;  ; Cu/Ni ; AU ; 11 ; страус ; 255 
 3324 ; 25 эскудо. Португалия. Год инвалидов ; 1981 ;  ; Cu/Ni ; AU ; 13 ; страус ; 123 
 3325 ; 100 эскудо. Португалия. Открытие Азорских о-в ; 1989 ;  ; Cu/Ni ; AU ; 11 ; kornum ; 150 
 3326 ; 100 эскудо. Португалия. Чемпионат мира по футболу в Мексике ; 1986 ;  ; Cu/Ni ; AU ; 12 ; страус ; 233 
 3327 ; 200 эскудо. Португалия. Африка ; 1998 ;  ; Cu/Ni ; AU ; 21 ; doiu33 ; 289 
 3328 ; 200 эскудо. Португалия. Олимпийские игры в Барселоне ; 1992 ;  ; Cu/Ni ; AU ; 11 ; луноход ; 193 
 3329 ; 5 гривен. Украина. Морской конек ; 2003 ;  ; Cu-Ni ; AU ; 25 ; vet ; 401 
 3330 ; 10 центов. Цейлон ; 1944 ;  ; Al/Br ; VF ; 24 ; andy2012 ; 57 
 3331 ; 10 пенсов. Гернси ; 1992 ;  ; Cu/Ni ; VF+ ; 17 ; бортик ; 62 
 3332 ; 1 крона. Богемия и Моравия ; 1941 ;  ; Zn ; VF ; 12 ; YAV71 ; 68 
 3333 ; 5 крон. Словакия ; 1939 ;  ; Ni ; VF ; 12 ; Magger ; 102 
 3334 ; 10 долларов. Гайана. Добыча золота ; 1996 ;  ; Cu/Ni ; XF+ ; 21 ; бортик ; 66 
 3335 ; 50 хеллеров. Словакия ; 1943 ;  ; Al ; F+ ; 11 ; Magger ; 85 
 3336 ; 50 пенсов. Великобритания. Вступление в ЕС ; 1973 ;  ; Cu/Ni ; XF+ ; 10 ; andreyM ; 91 
 3337 ; 5 крон. Чехословакия ; 1925 ;  ; Cu/Ni ; VF ; 13 ; kornum ; 68 
 3338 ; 5 крон. Чехословакия ; 1926 ;  ; Cu/Ni ; VF ; 14 ; Sterh ; 53 
 3339 ; 100 драм. Армения. Шахматная олимпиада ; 1996 ;  ; Cu-Ni ; AU ; 15 ; спарта ; 104 
 3340 ; 20 марок. ГДР. Генрих Манн ; 1971 ;  ; Cu/Ni ; AU ; 14 ; DATR ; 114 
 3341 ; 20 марок. ГДР. 30 лет ГДР ; 1979А ;  ; Cu/Ni ; AU ; 26 ; Rober ; 161 
 3342 ; 10 марок. ГДР. 25 лет ГДР ; 1974А ;  ; Cu/Ni ; AU ; 31 ; maleevsw ; 138 
 3343 ; 10 марок. ГДР. Спорт ГДР ; 1988А ;  ; Cu/Ni ; AU ; 16 ; sibirian ; 233 
 3344 ; 10 марок. ГДР. Международный день труда ; 1990А ;  ; Cu/Ni ; AU ; 43 ; Prus. ; 510 
 3345 ; 10 марок. ГДР. Фестиваль ; 1973А ;  ; Cu/Ni ; AU ; 25 ; Prus. ; 159 
 3346 ; 10 марок. ГДР. 30 лет милиции ; 1983А ;  ; Cu/Ni ; AU ; 33 ; Prus. ; 534 
 3347 ; 10 марок. ГДР. 40 лет ГДР ; 1989А ;  ; Cu/Ni ; AU ; 41 ; maleevsw ; 512 
 3348 ; 5 марок. ГДР. Цейгхауз ; 1990А ;  ; Cu/Ni ; AU ; 17 ; dic79 ; 204 
 3349 ; 5 марок. ГДР. Первая железная дорога ; 1988А ;  ; Cu/Ni ; AU ; 29 ; maleevsw ; 512 
 3350 ; 5 марок. ГДР. 500 лет почте ; 1990А ;  ; Cu/Ni ; AU ; 17 ; magpie ; 236 
 3351 ; 5 марок. ГДР. Церковь Св. Марии ; 1989А ;  ; Cu/Ni ; AU ; 10 ; sibirian ; 216 
 3352 ; 5 марок. ГДР. Дворец в Лейпциге ; 1984А ;  ; Cu/Ni ; AU ; 24 ; valent77 ; 548 
 3353 ; 5 марок. ГДР. Женская церковь в Дрездене ; 1985А ;  ; Cu/Ni ; AU ; 14 ; alexpakh ; 340 
 3354 ; 5 марок. ГДР. Международные часы ; 1987А ;  ; Cu/Ni ; AU ; 29 ; magpie ; 328 
 3355 ; 2 евро. Финляндия. Расширение ЕС ; 2004 ;  ; Би/м ; XF ; 54 ; cotangens ; 1179 
 3356 ; 2 евро. Финляндия. 150 лет парламенту ; 2013 ;  ; Би/м ; AU ; 17 ; nivva ; 177 
 3357 ; 2 евро. Финляндия. 200 лет банку ; 2011 ;  ; Би/м ; AU ; 5 ; Dim1410 ; 153 
 3358 ; 10 экю. Нидерланды. Вильгельм I ; 1992 ;  ; Cu-Ni ; AU ; 19 ; kornum ; 114 
 3359 ; 1 доллар. Острова Кука ; 1992 ;  ; Cu-Ni ; XF+ ; 20 ; andreyM ; 111 
 3360 ; 1/2 чона. КНДР ; 2002 ;  ; Al ; XF ; 14 ; karl ; 47 
 3361 ; 1/2 чона. КНДР ; 2002 ;  ; Al ; XF+ ; 29 ; karl ; 55 
 3362 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 17 ; Dim1410 ; 107 
 3263 ; 5 пфеннигов. Германия. Нотгельд. Золинген ; 1919 ;  ; Fe ; XF ; 21 ; colonel6262 ; 186 
 3264 ; 5 пфеннигов. Германия. Нотгельд. Дюрен ; 1917 ;  ; Fe ; VF+ ; 21 ; brigadir ; 374 
 3265 ; 5 пфеннигов. Германия. Нотгельд. Рудольштадт ; 1920 ;  ; Fe ; XF ; 21 ; mesv ; 481 
 3266 ; 5 пфеннигов. Германия. Нотгельд.. Кобург ; 1917 ;  ; Fe ; XF ; 21 ; mesv ; 432 
 3267 ; 1 пфеннигов. Германия. Нотгельд. Каннстат ; 1920 ;  ; Fe ; VF+ ; 25 ; colonel6262 ; 477 
 3268 ; 10 пфеннигов. Германия. Нотгельд. Айслебен ; 1918 ;  ; Fe ; VF ; 17 ; Jauho ; 294 
 3269 ; 25 центов. США. Изабелла ; 1893 ;  ; Ag ; XF- ; 39 ; Недорого ; 13146 
 3270 ; 1/2 соль. Перу ; 1935 ;  ; Ag ; VF-XF ; 15 ; Виталий 64 ; 536 
 3271 ; 1 песо. Куба. 100 лет Хосе Марти ; 1953 ;  ; Ag ; XF ; 21 ; Tche ; 948 
 3272 ; 1/12 талера. Пруссия ; 1752 ;  ; Ag ; F-VF ; 49 ; nikfed ; 957 
 3273 ; 1 шиллинг. Гамбург ; 1855 ;  ; Ag ; VF+ ; 24 ; SergN ; 415 
 3274 ; 10 сентаво. Куба. 50 лет Республике ; 1905 ;  ; Ag ; XF+ ; 31 ; kornum ; 337 
 3275 ; Танга. Тибет ; 20 век ;  ; Ag ; VF ; 24 ; Ю42 ; 612 
 3276 ; 5 шо. Тибет ; 20 век ;  ; Cu ; F-VF ; 19 ; Серж PirGS ; 317 
 3277 ; 1 шо. Тибет ; 20 век ;  ; Cu ; F+ ; 30 ; Monata ; 255 
 3278 ; 2 лата. Латвия ; 1999 ;  ; Би/м ; VF+ ; 15 ; aleantf ; 96 
 3279 ; 500 лир. Италия ; 1982 ;  ; Би/м ; VF+ ; 14 ; scmrev ; 23 
 3280 ; 5 злотых. Польша ; 1994 ;  ; Би/м ; VF+ ; 7 ; страус ; 34 
 3281 ; 1 лев. Болгария ; 2002 ;  ; Би/м ; XF- ; 25 ; scmrev ; 31 
 3282 ; 2 кроны. Эстония. Университет в Тарту ; 1932 ;  ; Ag ; XF+ ; 55 ; sotnik ; 2302 
 3283 ; 10 марок. ФРГ. 2000 лет  г. Бонн ; 1989F ;  ; Ag ; AU ; 13 ; maleevsw ; 564 
 3284 ; 10 марок. ФРГ. 750 лет Берлину ; 1987J ;  ; Ag ; AU ; 13 ; maleevsw ; 570 
 3285 ; 5 гривен. Украина. 2500 лет г. Балаклава ; 2004 ;  ; Cu/Ni ; AU ; 42 ; shurik2 ; 424 
 3286 ; 200000 карбованцев. Украина. Чернобыль ; 1996 ;  ; Cu/Ni ; AU ; 25 ; щекин ; 185 
 3287 ; 200000 карбованцев. Украина. 100 лет участия в олимпийских играх ; 1996 ;  ; Cu/Ni ; Proof ; 13 ; buynyi76 ; 279 
 3288 ; 2 гривны. Украина. Киевский национальный университет им. Т. Шевченко ; 2004 ;  ; Cu/Ni ; AU ; 15 ; ges ; 203 
 3289 ; 100 злотых. Польша. Тадеус Костюшко ; 1976 ;  ; Ag ; Proof ; 15 ; lsp25 ; 685 
 3290 ; 500 франков. Бельгия. 150 лет независимости ; 1980 ;  ; Ag ; XF- ; 15 ; Elephant ; 455 
 3291 ; 50 франков. Бельгия ; 1960 ;  ; Ag ; VF-XF ; 49 ; kornum ; 483 
 3292 ; 1 франк. Бельгия ; 1909 ;  ; Ag ; VF- ; 19 ; av ; 567 
 3293 ; 1/4 доллара. США ; 1929 ;  ; Ag ; VF- ; 13 ; pref ; 201 
 3294 ; 1 дайм. США ; 1910 ;  ; Ag ; VF- ; 25 ; сама71 ; 184 
 3295 ; 10 франков. Люксембург ; 1929 ;  ; Ag ; VF- ; 8 ; jj ; 311 
 3296 ; 10 лепт. Греция ; 1882 ;  ; Br ; VF- ; 22 ; сама71 ; 411 
 3297 ; 2 сантима. Франция ; 1892 ;  ; Br ; F+ ; 28 ; SergN ; 90 
 3298 ; 20 раппен. Швейцария ; 1913 ;  ; Cu-Ni ; F+ ; 5 ; YUCtv ; 30 
 3299 ; 1 евро. Латвия ; 2014 ;  ; Би/м ; AU ; 18 ; mefody73 ; 91 
 3300 ; 2 евро. Латвия ; 2014 ;  ; Би/м ; XF+/AU ; 24 ; mefody73 ; 142 
 3301 ; 2 лиры. Италия ; 1916 ;  ; Ag ; VF+ ; 51 ; DATR ; 818 
 3302 ; 10 лир. Ватикан ; 1935 ;  ; Ag ; VF-XF ; 29 ; DATR ; 850 
 3303 ; 500 марок. Финляндия. Олимпиада в Хельсинки ; 1952 ;  ; Ag ; VF+ ; 13 ; cotangens ; 513 
 3304 ; 1000 марок. Финляндия. 100 лет марке ; 1960 ;  ; Ag ; XF ; 20 ; Elephant ; 906 
 3305 ; 100 марок. Финляндия. 70 лет Аландским островам ; 1991 ;  ; Ag ; AU ; 25 ; тикси3 ; 1031 
 3306 ; 100 марок. Финляндия. 75 лет независимости ; 1992 ;  ; Ag ; AU ; 32 ; krocsi ; 1077 
 3307 ; 100 марок. Финляндия.350 лет университету в Хельсинки ; 1990 ;  ; Ag ; AU ; 21 ; тикси3 ; 969 
 3308 ; 50 марок. Финляндия. Калевала ; 1985 ;  ; Ag ; AU ; 12 ; тикси3 ; 680 
 3309 ; 10 евро. Финляндия. 90 лет флагу Финляндии ; 2008 ;  ; Ag ; AU ; 44 ; Димон777 ; 1683 
 3310 ; 10 евро. Финляндия. Михаэль Агрикола ; 2007 ;  ; Ag ; AU ; 25 ; LEXAI ; 1043 
 3311 ; 200 марок. Финляндия ; 1956 ;  ; Ag ; XF- ; 14 ; Groshuk ; 192 
 3312 ; 25 марок. Финляндия. 750 лет г. Турку. С сертификатом ; 1979 ;  ; Ag ; AU ; 11 ; cotangens ; 470 
 3213 ; 1 крона. Австрия ; 1915 ;  ; Ag ; XF+ ; 15 ; Serg78 ; 207 
 3214 ; 2 кроны. Австрия ; 1912 ;  ; Ag ; XF ; 23 ; Elephant ; 422 
 3215 ; 2 кроны. Венгрия ; 1912 ;  ; Ag ; XF- ; 25 ; kornum ; 663 
 3216 ; 2 кроны. Австрия ; 1913 ;  ; Ag ; XF ; 29 ; Elephant ; 430 
 3217 ; 2 кроны. Венгрия ; 1913 ;  ; Ag ; XF+ ; 46 ; 220W ; 684 
 3218 ; 1/2 шиллинга. Австрия ; 1925 ;  ; Ag ; XF+ ; 20 ; andreyM ; 151 
 3219 ; 1 шиллинг. Австрия ; 1926 ;  ; Ag ; VF-XF ; 15 ; DNV73 ; 167 
 3220 ; 5 крон. Чехословакия ; 1929 ;  ; Ag ; F ; 7 ; бортик ; 108 
 3221 ; 5 крон. Чехословакия ; 1930 ;  ; Ag ; F ; 9 ; vdvpost ; 90 
 3222 ; 10 крон. Чехословакия. 10 лет независимости ; 1928 ;  ; Ag ; XF- ; 29 ; Groshuk ; 354 
 3223 ; 10 крон. Чехословакия ; 1930 ;  ; Ag ; XF- ; 13 ; aziya11 ; 200 
 3224 ; 10 крон. Чехословакия ; 1931 ;  ; Ag ; VF+ ; 22 ; aziya11 ; 195 
 3225 ; 10 крон. Чехословакия ; 1932 ;  ; Ag ; XF- ; 16 ; F-VF ; 323 
 3226 ; 20 крон. Чехословакия ; 1933 ;  ; Ag ; XF- ; 17 ; F-VF ; 341 
 3227 ; 20 крон. Чехословакия ; 1934 ;  ; Ag ; VF-XF ; 25 ; lsp25 ; 310 
 3228 ; 20 крон. Чехословакия. Смерть Масарика ; 1937 ;  ; Ag ; XF- ; 15 ; maks169 ; 342 
 3229 ; 50 крон. Чехословакия. Словакское восстание 1944г ; 1947 ;  ; Ag ; AU ; 19 ; Groshuk ; 357 
 3230 ; 50 крон. Чехословакия. 3 года пражскому восстанию ; 1948 ;  ; Ag ; XF+ ; 10 ; stok ; 306 
 3231 ; 100 крон. Чехословакия. 600 лет Карловому университету ; 1948 ;  ; Ag ; AU ; 20 ; РОСС ; 397 
 3232 ; 100 крон. Чехословакия. 30 лет независимости ; 1948 ;  ; Ag ; AU ; 13 ; РОСС ; 396 
 3233 ; 100 крон. Чехословакия. 700 лет горному делу ; 1949 ;  ; Ag ; AU ; 11 ; РОСС ; 357 
 3234 ; 100 крон. Чехословакия. 30 лет коммунистической партии ; 1951 ;  ; Ag ; AU ; 22 ; Атлантик ; 360 
 3235 ; 20 крон. Словакия. Кирилл и Мефодий ; 1941 ;  ; Ag ; XF+ ; 18 ; kornum ; 516 
 3236 ; 1/2 цента. Цейлон ; 1870 ;  ; Cu ; VF ; 15 ; kornum ; 260 
 3237 ; 5 центов. Цейлон ; 1920 ;  ; Cu/Ni ; VF ; 23 ; andy2012 ; 105 
 3238 ; 1 доллар. США ; 1884 ;  ; Ag ; VF+ ; 33 ; медалькин ; 1386 
 3239 ; 20 крейцеров. Австрия ; 1848 ;  ; Ag ; XF+ ; 37 ; YUCtv ; 638 
 3240 ; 5 сантимов. Франция ; 1916 ;  ; Br ; VF- ; 7 ; Sterh ; 8 
 3241 ; 1 сантим. Франция ; 1919 ;  ; Br ; VF-XF ; 13 ; бортик ; 49 
 3242 ; 1 сантим. Франция ; 1920 ;  ; Br ; XF ; 14 ; karl ; 60 
 3243 ; 500 лир. Италия ; 1966 ;  ; Ag ; XF+ ; 11 ; hugo ; 356 
 3244 ; 500 лир. Италия ; 1965 ;  ; Ag ; XF+ ; 7 ; hugo ; 357 
 3245 ; 1 рубль. Беларусь. "Семуха" ; 2006 ;  ; Cu-Ni ; XF ; 11 ; buynyi76 ; 714 
 3246 ; 1 рубль. Беларусь. "Багач" ; 2005 ;  ; Cu-Ni ; XF+ ; 15 ; SergeyAnatoljevich ; 707 
 3247 ; 1 рубль. Беларусь. Коляда ; 2004 ;  ; Cu-Ni ; AU ; 13 ; Недорого ; 816 
 3248 ; 1 рубль. Беларусь. Купала ; 2004 ;  ; Cu-Ni ; AU ; 19 ; SergeyAnatoljevich ; 996 
 3249 ; 1 рубль. Беларусь. Пасха ; 2005 ;  ; Cu-Ni ; AU ; 9 ; hugo ; 726 
 3250 ; 5 гривен. Украина. Успенский собор Киево-Печерской лавры ; 1998 ;  ; Cu-Ni ; AU ; 9 ; bdd48 ; 267 
