 5865 ; Бона иностранная. Перу ;  ;  ;  ; AU ; 63 ; mart_si ; 223 
 3928 ; 25 эре. Швеция ; 1937 ;  ; Ag ; XF+ ; 13 ; ВИТАЛИЙ ; 74 
 3929 ; 10 эре. Швеция ; 1957 ;  ; Ag ; XF ; 21 ; ВИТАЛИЙ ; 43 
 3930 ; 5 стотинок. Болгария ; 1912 ;  ; Cu-Ni ; VF+ ; 5 ; Враг ; 29 
 3931 ; 10 эре. Норвегия ; 1946 ;  ; Cu-Ni ; XF ; 4 ; Eilenau ; 6 
 3932 ; 1 лев. Болгария ; 1925 ;  ; Cu-Ni ; VF+ ; 37 ; dimer ; 79 
 3933 ; 5 раппен. Швейцария ; 1939 ;  ; Cu-Ni ; XF ; 12 ; Flagman ; 20 
 3934 ; 50 эре. Норвегия ; 1929 ;  ; Cu-Ni ; VF+ ; 10 ; Sterh ; 30 
 3935 ; 10 раппен. Швейцария ; 1943 ;  ; Cu-Ni ; VF+ ; 5 ; Eilenau ; 16 
 3936 ; 10 пфеннигов. Германия ; 1897A ;  ; Cu-Ni ; VF ; 4 ; TiBuL ; 20 
 3937 ; 1 крона. Дания ; 1973 ;  ; Cu-Ni ; XF ; 6 ; stark-2006 ; 30 
 3938 ; 20 центов. Австралия ; 2006 ;  ; Cu-Ni ; XF ; 14 ; Eilenau ; 30 
 3939 ; 50 центов. Аруба ; 1994 ;  ; Cu-Ni ; AU ; 16 ; Sterh ; 38 
 3940 ; 25 центов. Аруба ; 1996 ;  ; Cu-Ni ; AU ; 4 ; sampler22 ; 22 
 3941 ; 50 лепт. Греция ; 1964 ;  ; Cu-Ni ; AU ; 3 ; kornum ; 40 
 3942 ; 50 сентаво. Португалия ; 1927 ;  ; Cu-Ni ; VF ; 11 ; av ; 31 
 3943 ; 50 лева. Болгария ; 1940 ;  ; Cu-Ni ; VF ; 6 ; Djek ; 40 
 3944 ; 10 лева. Болгария ; 1992 ;  ; Cu-Ni ; XF ; 4 ; Eilenau ; 28 
 3945 ; 50 центов. Австралия ; 1971 ;  ; Cu-Ni ; XF ; 4 ; Eilenau ; 45 
 3946 ; 2 лева. Болгария. Климент Охридский ; 1966 ;  ; Cu-Ni ; VF+ ; 13 ; Враг ; 65 
 3947 ; 2 лева. Болгария. 25 лет Соц революции ; 1969 ;  ; Cu-Ni ; VF-XF ; 11 ; Mukoved ; 90 
 3948 ; 10 динаров. Югославия ; 1976 ;  ; Cu-Ni ; XF ; 14 ; Eilenau ; 30 
 3949 ; 50 центов. Сингапур ; 1986 ;  ; Cu-Ni ; XF ; 20 ; gusar ; 30 
 3950 ; 10 эре. Дания ; 1929 ;  ; Cu-Ni ; VF ; 6 ; Eilenau ; 11 
 3951 ; 5 пфеннигов. Германия ; 1890A ;  ; Cu-Ni ; VF ; 9 ; Шипк ; 32 
 3952 ; 20 стотинок. Болгария ; 1912 ;  ; Cu-Ni ; VF ; 13 ; Rober ; 62 
 3953 ; 1 крона. Дания ; 1963 ;  ; Cu-Ni ; XF ; 7 ; Flagman ; 31 
 3954 ; 50 стотинок. Болгария ; 1977 ;  ; Cu-Ni ; XF ; 15 ; 220W ; 57 
 3955 ; 10 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; XF ; 14 ; gusar ; 61 
 3956 ; 1 лев. Болгария ; 1962 ;  ; Cu-Ni ; XF- ; 11 ; Mukoved ; 41 
 3957 ; 200 песет. Испания ; 1987 ;  ; Cu-Ni ; XF ; 4 ; buben ; 16 
 3958 ; 5 раппен. Швейцария ; 1944 ;  ; Cu-Ni ; VF+ ; 8 ; stark-2006 ; 20 
 3859 ; 5 липа. Хорватия ; 1994 ;  ; Al/Br ; XF+ ; 12 ; stark-2006 ; 36 
 3860 ; 1 крона. Дания ; 1925 ;  ; Al/Br ; XF- ; 5 ; SKeeper ; 56 
 3861 ; 50 сантимов. Франция ; 1923 ;  ; Al/Br ; VF+ ; 20 ; stark-2006 ; 34 
 3862 ; 2 эре. Швеция ; 1872 ;  ; Br ; VF- ; 21 ; Mukoved ; 192 
 3863 ; 1 пфенниг. Германия ; 1906 ;  ; Br ; XF ; 15 ; TiBuL ; 30 
 3864 ; 2 эре. Норвегия ; 1928 ;  ; Br ; VF ; 7 ; ag58 ; 30 
 3865 ; 1 цент. Нидерланды ; 1927 ;  ; Br ; VF ; 4 ; Eilenau ; 15 
 3866 ; 5 эре. Дания ; 1938 ;  ; Br ; VF+ ; 6 ; Eilenau ; 22 
 3867 ; 10 пенни. Финляндия ; 1943 ;  ; Br ; XF ; 12 ; musik ; 102 
 3868 ; 50 эре. Швеция ; 2000 ;  ; Br ; XF+ ; 4 ; stark-2006 ; 20 
 3869 ; 1 цент. США ; 1964 ;  ; Br ; XF+ ; 8 ; numismatR ; 31 
 3870 ; 1 стотинка. Болгария ; 1951 ;  ; Br ; XF ; 37 ; Mukoved ; 123 
 3871 ; 1 стотинка. Болгария ; 1962 ;  ; Br ; XF+ ; 3 ; karl ; 23 
 3872 ; 2 эре. Норвегия ; 1899 ;  ; Br ; VF ; 9 ; krugerrand ; 101 
 3873 ; 5 эре. Норвегия ; 1951 ;  ; Br ; XF- ; 7 ; ag58 ; 21 
 3874 ; 1 пфенниг. Германия ; 1913A ;  ; Br ; VF ; 8 ; TiBuL ; 30 
 3875 ; 1 цент. США ;  ;  ; Br ; F ; 8 ; Моряк-собиратель ; 111 
 3876 ; 2 стотинки. Болгария ; 1962 ;  ; Br ; XF ; 11 ; Livon ; 26 
 3877 ; 1 пфенниг. Германия ; 1900 ;  ; Br ; VF ; 9 ; TiBuL ; 30 
 3878 ; 1 эре. Швеция ; 1858 ;  ; Br ; VF ; 5 ; Враг ; 45 
 3879 ; 1/12 анны. Британская Индия ; 1928 ;  ; Br ; F ; 4 ; SKeeper ; 50 
 3880 ; 2 эре. Норвегия ; 1877 ;  ; Br ; F-VF ; 9 ; Asa ; 125 
 3881 ; 1 эре. Швеция ; 1864 ;  ; Br ; F-VF ; 7 ; Mukoved ; 92 
 3882 ; 5 пфеннигов, Германия ; 1912A ;  ; Cu-Ni ; VF- ; 8 ; stark-2006 ; 34 
 3883 ; 10 эре. Дания ; 1924 ;  ; Cu-Ni ; VF ; 4 ; Eilenau ; 12 
 3884 ; 20 центов. Сингапур ; 1980 ;  ; Cu-Ni ; AU ; 7 ; sibirian ; 24 
 3885 ; 50 центов. Аруба ; 1991 ;  ; Cu-Ni ; AU ; 11 ; Враг ; 45 
 3886 ; 25 центов. Аруба ; 1995 ;  ; Cu-Ni ; XF ; 12 ; Taras58 ; 32 
 3887 ; 50 эре. Швеция ; 1947 ;  ; Cu-Ni ; VF ; 8 ; Mukoved ; 57 
 3888 ; 1 куна. Хорватия ; 2005 ;  ; Cu-Ni ; VF ; 23 ; СВл ; 510 
 3889 ; 50 центов. Австралия ; 1984 ;  ; Cu-Ni ; VF ; 6 ; Eilenau ; 46 
 3890 ; 10 эре. Норвегия ; 1940 ;  ; Cu-Ni ; XF ; 12 ; stark-2006 ; 23 
 3891 ; 2 драхмы. Греция ; 1962 ;  ; Cu-Ni ; XF ; 16 ; kornum ; 57 
 3892 ; 50 эре. Норвегия ; 1940 ;  ; Cu-Ni ; VF-XF ; 3 ; kornum ; 30 
 3893 ; 25 эре. Норвегия ; 1949 ;  ; Cu-Ni ; VF-XF ; 6 ; stark-2006 ; 22 
 3894 ; 20 раппен. Швейцария ; 1943 ;  ; Cu-Ni ; VF-XF ; 5 ; Eilenau ; 15 
 3895 ; 1 крона. Дания ; 1985 ;  ; Cu-Ni ; XF ; 4 ; Eilenau ; 26 
 3896 ; 5 сантимов. Франция ; 1923 ;  ; Cu-Ni ; VF+ ; 6 ; Володя ; 31 
 3897 ; 25 пенни. Финляндия ; 1921 ;  ; Cu-Ni ; XF ; 5 ; kornum ; 41 
 3898 ; 20 центов. Австралия ; 2002 ;  ; Cu-Ni ; XF ; 19 ; Eilenau ; 30 
 3899 ; 1 крона. Норвегия ; 1926 ;  ; Cu-Ni ; VF-XF ; 6 ; SKeeper ; 30 
 3900 ; 50 эре. Швеция ; 1940 ;  ; Cu-Ni ; VF+ ; 7 ; stark-2006 ; 22 
 3901 ; 1 крона. Дания ; 1963 ;  ; Cu-Ni ; XF ; 17 ; ag58 ; 30 
 3902 ; 1 динар. Югославия ; 1990 ;  ; Cu-Ni ; XF+ ; 6 ; Eilenau ; 16 
 3903 ; 50 лева. Болгария ; 1940 ;  ; Cu-Ni ; VF ; 10 ; Rober ; 40 
 3904 ; 1 юань. Китай ; 2006 ;  ; Cu-Ni ; VF+ ; 16 ; Hamlet ; 21 
 3905 ; 50 центов. Сингапур ; 1997 ;  ; Cu-Ni ; XF ; 25 ; ag58 ; 30 
 3906 ; 50 стотинок. Болгария ; 1962 ;  ; Cu-Ni ; VF+ ; 10 ; Mukoved ; 25 
 3907 ; 20 раппен. Швейцария ; 1885 ;  ; Cu-Ni ; VF ; 9 ; Eilenau ; 23 
 3908 ; 20 раппен. Швейцария ; 1906 ;  ; Cu-Ni ; XF- ; 15 ; Flagman ; 40 
 3809 ; 50 злотых. Польша. Казимир I ; 1980 ;  ; Cu/Ni ; XF+ ; 5 ; tikhomirius ; 79 
 3810 ; 50 злотых. Польша. Владислав Сикорский ; 1981 ;  ; Cu/Ni ; XF+ ; 5 ; tikhomirius ; 79 
 3811 ; 20 злотых. Польша ; 1973 ;  ; Cu/Ni ; XF+ ; 13 ; MDV ; 68 
 3812 ; 20 злотых. Польша. Международный год женщины ; 1975 ;  ; Cu/Ni ; XF+ ; 7 ; dudinjohn ; 62 
 3813 ; 10 злотых. Польша. 25 лет войска польского ; 1968 ;  ; Cu/Ni ; XF+ ; 23 ; stark-2006 ; 101 
 3814 ; 10 злотых. Польша. 25 лет образования Польской Республики ; 1969 ;  ; Cu/Ni ; XF+ ; 15 ; zodiak ; 189 
 3815 ; 2 чентезимо. Италия ; 1915 ;  ; Би/м ; VF ; 18 ; 220W ; 140 
 3816 ; 1/4 доллара. США ; 1943 ;  ; Ag ; VF-XF ; 5 ; ASTRAL ; 200 
 3817 ; 25 эре. Швеция ; 1934 ;  ; Ag ; XF- ; 10 ; gdrg2 ; 57 
 3818 ; 1 дайм. США ; 1961 ;  ; Ag ; XF ; 7 ; Eilenau ; 77 
 3819 ; 50 эре. Швеция ; 1936 ;  ; Ag ; VF-XF ; 22 ; Mukoved ; 227 
 3820 ; 1 шиллинг. Великобритания ; 1907 ;  ; Ag ; VF ; 12 ; sveta6369 ; 320 
 3821 ; 2 кроны. Швеция. 400 лет политической свободе ; 1921 ;  ; Ag ; XF+ ; 12 ; HARDCOROV ; 592 
 3822 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972D ;  ; Ag ; AU ; 10 ; maleevsw ; 407 
 3823 ; 1/2 франка. Швейцария ; 1962 ;  ; Ag ; AU ; 23 ; ppi ; 190 
 3824 ; 1 шиллинг. Великобритания ; 1834 ;  ; Ag ; F+ ; 10 ; Sterh ; 123 
 3825 ; 10 пиастров. Египет ; 1957 ;  ; Ag ; XF- ; 16 ; kornum ; 340 
 3826 ; 50 эре. Швеция ; 1898 ;  ; Ag ; F+ ; 9 ; ASTRAL ; 250 
 3827 ; 5 марок. ФРГ. Кант ; 1974D ;  ; Ag ; AU ; 12 ; kroman ; 250 
 3828 ; 5 марок. ФРГ. Клейст ; 1977G ;  ; Ag ; AU ; 30 ; tamsimun ; 334 
 3829 ; 1/4 доллара. США ; 1944 ;  ; Ag ; XF ; 19 ; Searcher ; 203 
 3830 ; 1/2 франка. Швейцария ; 1921 ;  ; Ag ; VF ; 6 ; buben ; 81 
 3831 ; 1 дайм. США ; 1936 ;  ; Ag ; VF ; 7 ; Eilenau ; 70 
 3832 ; 1/2 франка. Швейцария ; 1951 ;  ; Ag ; XF+ ; 12 ; Hamlet ; 93 
 3833 ; 1 дайм. США ; 1899 ;  ; Ag ; F ; 16 ; Шипк ; 72 
 3834 ; 1 дайм. США ; 1907 ;  ; Ag ; F+ ; 12 ; Eilenau ; 72 
 3835 ; 1 дайм. США ; 1945 ;  ; Ag ; VF ; 12 ; цеховик ; 138 
 3836 ; 1 дайм. США ; 1946 ;  ; Ag ; VF ; 17 ; Eilenau ; 65 
 3837 ; 6 пенсов. Великобритания ; 1946 ;  ; Ag ; XF ; 7 ; Враг ; 67 
 3838 ; 1 марка. Финляндия ; 1948 ;  ; Fe ; VF-XF ; 3 ; avilych ; 40 
 3839 ; 50 пенни. Финляндия ; 1944 ;  ; Fe ; VF-XF ; 4 ; Filip ; 15 
 3840 ; 5 франков. Франция ; 1947 ;  ; Al ; VF+ ; 20 ; av ; 31 
 3841 ; 10 лир. Италия ; 1955 ;  ; Al ; XF ; 3 ; Eilenau ; 7 
 3842 ; 2 евро. Мальта ; 2008 ;  ; Би/м ; XF ; 9 ; pmaster ; 111 
 3843 ; 1 евро. Словения ; 2007 ;  ; Би/м ; XF ; 8 ; nivva ; 68 
 3844 ; 1 евро. Мальта ; 2008 ;  ; Би/м ; XF ; 8 ; nivva ; 67 
 3845 ; 1 доллар. Сингапур ; 1989 ;  ; Латунь ; VF ; 18 ; Heaven ; 31 
 3846 ; 5 пфеннигов. Веймар ; 1925A ;  ; Al/Br ; VF ; 4 ; TiBuL ; 30 
 3847 ; 200 лир. Сан-Марино ; 1993 ;  ; Al/Br ; XF+ ; 7 ; karl ; 47 
 3848 ; 200 лир. Сан-Марино ; 1997 ;  ; Al/Br ; AU ; 7 ; karl ; 47 
 3849 ; 200 лир. Сан-Марино ; 1994 ;  ; Al/Br ; XF+ ; 9 ; SKeeper ; 55 
 3850 ; 200 лир. Сан-Марино ; 1996 ;  ; Al/Br ; XF+ ; 5 ; SKeeper ; 55 
 3851 ; 5 лева. Болгария ; 1992 ;  ; Al/Br ; XF ; 4 ; buben ; 21 
 3852 ; 50 пара. Югославия ; 1990 ;  ; Al/Br ; AU ; 10 ; kornum ; 43 
 3853 ; 10 пфеннигов. Веймар ; 1929E ;  ; Al/Br ; VF ; 13 ; TiBuL ; 41 
 3854 ; 10 марок. Финляндимя ; 1956 ;  ; Al/Br ; VF ; 8 ; хуч ; 34 
 3855 ; 2 лева. Болгария ; 1992 ;  ; Al/Br ; XF ; 5 ; buben ; 20 
 3856 ; 10 франков. Франция ; 1955 ;  ; Al/Br ; XF ; 21 ; TiBuL ; 30 
 3857 ; 200 лир. Сан-Марино ; 1995 ;  ; Al/Br ; XF ; 9 ; ag58 ; 40 
 3858 ; 5 марок. Финляндия ; 1982 ;  ; Al/Br ; XF ; 6 ; SKeeper ; 40 
 3759 ; 20 вон. Северная Корея. Обезьяна ; 2004 ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3760 ; 20 вон. Северная Корея. Обезьяна ; 2004 ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3761 ; 20 вон. Северная Корея. Обезьяна ; 2004 ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3762 ; 5 гривен. Украина. Киевский научно-исследовательский институт судебных экспертиз ; 2013 ;  ; Би/м ; AU ; 31 ; дед морос ; 375 
 3763 ; 5 гривен. Украина. Херсонская область ; 2014 ;  ; Би/м ; AU ; 9 ; sibirian ; 258 
 3764 ; 5 гривен. Украина. Запорожская область ; 2014 ;  ; Би/м ; AU ; 10 ; sibirian ; 261 
 3765 ; 5 гривен. Украина. Луганская область ; 2013 ;  ; Би/м ; AU ; 29 ; ваван 5 ; 1259 
 3766 ; 5 гривен. Украина. Цимбали ; 2006 ;  ; Би/м ; AU ; 5 ; bonipari ; 115 
 3767 ; 5 гривен. Украина. 50 лет вхождения Крыма в состав Украины ; 2004 ;  ; Би/м ; AU ; 29 ; СВл ; 2244 
 3768 ; 5 гривен. Украина. 70 лет освобождения Никополя от фашистских захватчиков ; 2014 ;  ; Cu/Ni ; AU ; 12 ; Vol4en0k ; 318 
 3769 ; 5 гривен. Украина. 70 лет освобождения Мелитополя от фашистских захватчиков ; 2013 ;  ; Cu/Ni ; AU ; 16 ; Vol4en0k ; 257 
 3770 ; 5 гривен. Украина. 70 лет освобождения Донбаса от фашистских захватчиков ; 2013 ;  ; Cu/Ni ; AU ; 23 ; СВл ; 714 
 3771 ; 5 гривен. Украина. Битва за Днепр ; 2013 ;  ; Cu/Ni ; AU ; 17 ; Vol4en0k ; 261 
 3772 ; 5 гривен. Украина. 650 лет г. Винница ; 2013 ;  ; Cu/Ni ; AU ; 13 ; dic79 ; 261 
 3773 ; 5 гривен. Украина. Одесса ; 2014 ;  ; Cu/Ni ; AU ; 14 ; Vol4en0k ; 308 
 3774 ; 5 гривен. Украина. Гопак ; 2011 ;  ; Cu/Ni ; AU ; 17 ; Опятор ; 162 
 3775 ; 5 гривен. Украина. 975 лет г. Богуслав ; 2008 ;  ; Cu/Ni ; AU ; 11 ; Vol4en0k ; 162 
 3776 ; 5 гривен. Украина. М. Волошин ; 2013 ;  ; Cu/Ni ; AU ; 15 ; Vol4en0k ; 240 
 3777 ; 5 гривен. Украина. 350 лет Ивано-Франковску ; 2012 ;  ; Cu/Ni ; AU ; 25 ; Vol4en0k ; 322 
 3778 ; 5 гривен. Украина. Петля Нестерова ; 2013 ;  ; Cu/Ni ; AU ; 22 ; Vol4en0k ; 236 
 3779 ; 5 гривен. Украина. 1120 лет Ужгороду ; 2013 ;  ; Cu/Ni ; AU ; 9 ; Bambr ; 225 
 3780 ; 5 гривен. Украина. 60 лет национальному музею им. Т. Шевченко ; 2009 ;  ; Cu/Ni ; AU ; 24 ; Vol4en0k ; 336 
 3781 ; 5 гривен. Украина. Международный год астрономии ; 2009 ;  ; Cu/Ni ; AU ; 17 ; Vol4en0k ; 287 
 3782 ; 5 гривен. Украина. 600 лет г. Чернивцы ; 2008 ;  ; Cu/Ni ; AU ; 16 ; Vol4en0k ; 159 
 3783 ; 5 гривен. Украина. Киевский меридиан ; 2010 ;  ; Cu/Ni ; AU ; 16 ; bonipari ; 138 
 3784 ; 5 гривен. Украина. Стельмах ; 2009 ;  ; Cu/Ni ; AU ; 27 ; Vol4en0k ; 185 
 3785 ; 5 гривен. Украина. 850 лет г. Снятин ; 2008 ;  ; Cu/Ni ; AU ; 17 ; Vol4en0k ; 193 
 3786 ; 5 гривен. Украина. 70 лет Корсунь-Шевченковской битве ; 2014 ;  ; Cu/Ni ; AU ; 7 ; kornum ; 203 
 3787 ; 5 гривен. Украина. Т. Шевченко ; 2014 ;  ; Cu/Ni ; AU ; 13 ; Bambr ; 204 
 3788 ; 5 гривен. Украина. Национальный дендрологический парк "Тростянец" ; 2008 ;  ; Cu/Ni ; AU ; 15 ; Vol4en0k ; 226 
 3789 ; 5 гривен. Украина. 50 лет национальной премии Украины им. Т. Шевченко ; 2011 ;  ; Cu/Ni ; AU ; 12 ; Vol4en0k ; 163 
 3790 ; 2 гривны. Украина. Иван Багряный ; 2007 ;  ; Cu/Ni ; AU ; 28 ; Vol4en0k ; 140 
 3791 ; 2 гривны. Украина. 100 лет национальной музыкальной академии им. П.И. Чайковского ; 2013 ;  ; Cu/Ni ; AU ; 30 ; Vol4en0k ; 216 
 3792 ; 2 гривны. Украина. Ольга Кобылянская ; 2013 ;  ; Cu/Ni ; AU ; 14 ; Vol4en0k ; 157 
 3793 ; 2 гривны. Украина. Владимир Сергеев ; 2014 ;  ; Cu/Ni ; AU ; 9 ; Vol4en0k ; 210 
 3794 ; 2 гривны. Украина. Михаил Кравчук ; 2012 ;  ; Cu/Ni ; AU ; 40 ; Vol4en0k ; 322 
 3795 ; 2 гривны. Украина. Анна Ярославна ; 2014 ;  ; Cu/Ni ; AU ; 13 ; O88N ; 246 
 3796 ; 2 гривны. Украина. Черный гриф ; 2008 ;  ; Cu/Ni ; AU ; 5 ; Vol4en0k ; 208 
 3797 ; 2 гривны. Украина. Борис Гринченко ; 2013 ;  ; Cu/Ni ; AU ; 11 ; Vol4en0k ; 189 
 3798 ; 2 гривны. Украина. 14 паралимпийский игры ; 2012 ;  ; Cu/Ni ; AU ; 11 ; Vol4en0k ; 160 
 3799 ; 2 гривны. Украина. Юношеский чемпионат мира по легкой атлетике ; 2013 ;  ; Cu/Ni ; AU ; 17 ; Vol4en0k ; 163 
 3800 ; 2 гривны. Украина. 100 лет украинскому хоккею ; 2010 ;  ; Cu/Ni ; AU ; 9 ; Vol4en0k ; 203 
 3801 ; 2 гривны. Украина. Симон Петлюра ; 2009 ;  ; Cu/Ni ; AU ; 11 ; СВл ; 271 
 3802 ; 200000 карбованцев. Украина. Победа во II МВ. Упаковка ; 1995 ;  ; Cu/Ni ; Proof ; 26 ; deen ; 171 
 3803 ; 100 злотых. Польша. Владислав I ; 1986 ;  ; Cu/Ni ; XF+ ; 10 ; gdrg2 ; 83 
 3804 ; 100 злотых. Польша. 40 лет Польской Республике ; 1984 ;  ; Cu/Ni ; XF+ ; 9 ; dudinjohn ; 77 
 3805 ; 50 злотых. Польша. Болеслав III ; 1982 ;  ; Cu/Ni ; XF+ ; 15 ; tikhomirius ; 99 
 3806 ; 50 злотых. Польша. F.A.O. ; 1981 ;  ; Cu/Ni ; XF+ ; 11 ; dudinjohn ; 77 
 3807 ; 50 злотых. Польша. Болеслав II ; 1981 ;  ; Cu/Ni ; XF+ ; 7 ; tikhomirius ; 87 
 3808 ; 50 злотых. Польша. Мешко I ; 1979 ;  ; Cu/Ni ; XF+ ; 11 ; tikhomirius ; 91 
 3709 ; 20 крон. Дания ; 2004 ;  ; Al/Br ; XF ; 12 ; jj ; 199 
 3710 ; 20 сантимов. Франция ; 1971 ;  ; Al/Br ; AU ; 5 ; stark-2006 ; 12 
 3711 ; 5 гривен. Украина. Бокораш ; 2009 ;  ; Cu-Ni ; AU ; 15 ; Vol4en0k ; 161 
 3712 ; 2 лева. Болгария. Первенство Кану-Каяк ; 1989 ;  ; Cu-Ni ; Proof ; 7 ; Vanka ; 82 
 3713 ; 5 евро. Финляндия ; 2011 ;  ; Би/м ; AU ; 11 ; хуч ; 285 
 3714 ; 1 доллар. Британские Виргинские острова. 2МВ ; 2004 ;  ; Cu-Ni ; AU ; 21 ; KELA-NIKO ; 269 
 3715 ; 1 доллар. Британские Виргинские острова. 2МВ ; 2004 ;  ; Cu-Ni ; AU ; 21 ; страус ; 340 
 3716 ; 1 доллар. Британские Виргинские острова. 2МВ ; 2004 ;  ; Cu-Ni ; AU ; 17 ; KELA-NIKO ; 297 
 3717 ; 25 сантимов. Бельгия ; 1938 ;  ; Cu-Ni ; VF ; 12 ; SKeeper ; 21 
 3718 ; 2 сентаво. Аргентина ; 1890 ;  ; Br ; VF- ; 16 ; дед морос ; 73 
 3719 ; 1 франк. Бельгия ; 1939 ;  ; Cu-Ni ; VF ; 15 ; ag58 ; 29 
 3720 ; 20 чентезимо. Италия ; 1913 ;  ; Cu-Ni ; VF ; 6 ; SKeeper ; 26 
 3721 ; 5 сантимов. Франция ; 1900 ;  ; Br ; VF+ ; 22 ; kornum ; 225 
 3722 ; 10 центов. Нидерланды ; 1936 ;  ; Ag ; XF+ ; 15 ; ASTRAL ; 133 
 3723 ; 25 сантимов. Франция ; 1942 ;  ; Zn ; VF- ; 23 ; юрий73 ; 104 
 3724 ; 10 раппен. Швейцария ; 1908 ;  ; Cu-Ni ; VF+ ; 9 ; TiBuL ; 22 
 3725 ; 10 эре. Дания ; 1929 ;  ; Cu-Ni ; VF ; 13 ; stark-2006 ; 22 
 3726 ; 5 марок. Финляндия ; 1991 ;  ; Al/Br ; AU ; 29 ; хуч ; 99 
 3727 ; 5 марок. Финляндия ; 1981 ;  ; Al/Br ; XF- ; 28 ; хуч ; 100 
 3728 ; 5 марок. Финляндия ; 1984 ;  ; Al/Br ; AU ; 16 ; anshel ; 71 
 3729 ; 5 марок. Финляндия ; 1989 ;  ; Al/Br ; AU/XF ; 8 ; В1951 ; 55 
 3730 ; 5 марок. Финляндия ; 1983 ;  ; Al/Br ; AU/XF ; 14 ; anshel ; 71 
 3731 ; 5 марок. Финляндия ; 1982 ;  ; Al/Br ; AU/XF ; 12 ; anshel ; 71 
 3732 ; 5 марок. Финляндия ; 1980 ;  ; Al/Br ; XF ; 14 ; хуч ; 101 
 3733 ; 5 марок. Финляндия ; 1985 ;  ; Al/Br ; XF ; 20 ; boroda ; 39 
 3734 ; 5 марок. Финляндия ; 1986 ;  ; Al/Br ; XF ; 10 ; хуч ; 102 
 3735 ; 5 марок. Финляндия ; 1977 ;  ; Al/Br ; AU ; 9 ; sibirian ; 73 
 3736 ; 5 марок. Финляндия ; 1988 ;  ; Al/Br ; AU ; 12 ; Опятор ; 73 
 3737 ; 5 марок. Финляндия ; 1979 ;  ; Al/Br ; AU ; 6 ; krugerrand ; 57 
 3738 ; 5 марок. Финляндия ; 1973 ;  ; Al/Br ; XF ; 27 ; kornum ; 73 
 3739 ; 20 вон. Северная Корея. Год Лошади ; ND ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3740 ; 20 вон. Северная Корея. Год Змеи ; ND ;  ; Латунь ; Proof ; 9 ; Mike! ; 146 
 3741 ; 20 вон. Северная Корея. Год Тигра ; ND ;  ; Латунь ; Proof ; 5 ; Mike! ; 242 
 3742 ; 20 вон. Северная Корея. Год Дракона ; ND ;  ; Латунь ; Proof ; 3 ; Mike! ; 259 
 3743 ; 20 вон. Северная Корея. Год Свиньи ; ND ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3744 ; 20 вон. Северная Корея. Год Кролика ; ND ;  ; Латунь ; Proof ; 16 ; Mike! ; 271 
 3745 ; 20 вон. Северная Корея. Год Крысы ; ND ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3746 ; 20 вон. Северная Корея. Год Обезьяны ; ND ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3747 ; 20 вон. Северная Корея. Год Петуха ; ND ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3748 ; 20 вон. Северная Корея. Год Собаки ; ND ;  ; Латунь ; Proof ; 5 ; Mike! ; 242 
 3749 ; 20 вон. Северная Корея. Год Козы ; ND ;  ; Латунь ; Proof ; 1 ; Mike! ; 222 
 3750 ; 20 вон. Северная Корея. Год Быка ; ND ;  ; Латунь ; Proof ; 9 ; Mike! ; 156 
 3751 ; 30 вон. Северная Корея. Олимпиада ; 2008 ;  ; Al ; Proof ; 1 ; Mike! ; 222 
 3752 ; 30 вон. Северная Корея. Олимпиада ; 2008 ;  ; Al ; Proof ; 6 ; sveta6369 ; 301 
 3753 ; 30 вон. Северная Корея. Олимпиада ; 2008 ;  ; Al ; Proof ; 4 ; sveta6369 ; 301 
 3754 ; 30 вон. Северная Корея. Олимпиада ; 2008 ;  ; Al ; Proof ; 4 ; sveta6369 ; 301 
 3755 ; 30 вон. Северная Корея. Олимпиада ; 2008 ;  ; Al ; Proof ; 1 ; Mike! ; 222 
 3756 ; 30 вон. Северная Корея. Олимпиада ; 2008 ;  ; Al ; Proof ; 4 ; sveta6369 ; 301 
 3757 ; 30 вон. Северная Корея. Олимпиада ; 2008 ;  ; Al ; Proof ; 4 ; sveta6369 ; 301 
 3758 ; 30 вон. Северная Корея. Олимпиада ; 2008 ;  ; Al ; Proof ; 4 ; sveta6369 ; 301 
 3659 ; 2 сентимос-2 грамо. Испания ; 1870 ;  ; Br ; XF- ; 16 ; 1023oxana ; 182 
 3660 ; 10 крон. Швеция ; 1991 ;  ; Al/Br ; AU ; 24 ; tss ; 51 
 3661 ; 10 крон. Швеция ; 1991 ;  ; Al/Br ; AU ; 11 ; tss ; 51 
 3662 ; 200 лир. Сан-Марино ; 1978 ;  ; Al/Br ; Unc ; 28 ; jj ; 155 
 3663 ; 200 лир. Сан-Марино. XXII Олимпийские игры в Москве ; 1980 ;  ; Al/Br ; Unc ; 15 ; Димон777 ; 216 
