 3563 ; 10 рублей ; 1923 ;  ;  ;  ; 45 ; ka20 ; 152 
 2630 ; 5 гривен. Украина. 140 лет Всеукраинскому обществу  им. Тараса Шевченко ; 2008 ;  ; Би/м ; AU ; 4 ; ворон_2009 ; 161 
 2631 ; 5 марок. ФРГ. 100 лет со дня рождения Густава Стресеманна ; 1978D ;  ; Ag ; AU ; 3 ; ворон_2009 ; 235 
 2632 ; 5 марок. ФРГ. 225 лет со дня смерти Бальтазара Ньюманна ; 1978F ;  ; Ag ; AU ; 3 ; olega68 ; 235 
 2633 ; 5 марок. ФРГ. 300 лет со дня смерти фон Гриммельсгаузена ; 1976D ;  ; Ag ; AU ; 2 ; olega68 ; 230 
 2634 ; 5 марок. ФРГ. 250 лет со дня рождения Эммануэля Канта ; 1974D ;  ; Ag ; AU ; 2 ; solder13 ; 230 
 2635 ; 5 марок. ФРГ. 125 лет Франкфуртскому парламенту ; 1973G ;  ; Ag ; AU ; 1 ; Mike! ; 225 
 2636 ; 5 марок. ФРГ. 150 лет Немецкой железной дороге ; 1985G ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 202 
 2637 ; 5 марок. ФРГ. 150 лет со дня смерти Гете ; 1982D ;  ; Cu-Ni ; AU ; 22 ; ez ; 320 
 2638 ; 5 марок. ФРГ. 100 лет Кафедральному собору ; 1980F ;  ; Cu-Ni ; AU ; 52 ; gogi ; 1000 
 2639 ; 5 марок. ФРГ. 600 лет Хейдельбергскому университету ; 1986D ;  ; Cu-Ni ; AU ; 1 ; ворон_2009 ; 162 
 2540 ; 10 марок. ФРГ. 50 лет миру и согласию ; 1995J ;  ; Ag ; AU ; 25 ; gogi ; 1000 
 2541 ; 10 марок. ФРГ. Основание церкви в Аахене ; 2000G ;  ; Ag ; AU ; 23 ; gogi ; 994 
 2542 ; 10 марок. ФРГ. 40 лет Республике ; 1989G ;  ; Ag ; AU ; 21 ; gogi ; 974 
 2543 ; 10 марок. ФРГ. 50 лет немецкой марке ; 1998F ;  ; Ag ; AU ; 15 ; ворон_2009 ; 514 
 2544 ; 10 марок. ФРГ. 150 лет ; 1996A ;  ; Ag ; AU ; 21 ; gogi ; 994 
 2545 ; 10 марок. ФРГ. Основание церкви в Аахене ; 2000G ;  ; Ag ; AU ; 15 ; ez ; 499 
 2546 ; 10 марок. ФРГ. 200 лет со дня рождения Альберат Густава Лорцинга ; 2007J ;  ; Ag ; AU ; 13 ; ez ; 472 
 2547 ; 10 марок. ФРГ. 750 лет Берлину ; 1987J ;  ; Ag ; AU ; 15 ; gogi ; 974 
 2548 ; 10 марок. ФРГ. 100 лет со дня смерти Карла Цейса ; 1988F ;  ; Ag ; AU ; 18 ; gogi ; 994 
 2549 ; 10 марок. ФРГ. Природа, техника, человек ; 2000A ;  ; Ag ; AU ; 16 ; gogi ; 974 
 2550 ; 10 марок. ФРГ. 150 лет со дня рождения Вильгельма Конрада Рентгена. 100 лет со дня изобретения рентгеновских лучей ; 1995D ;  ; Ag ; XF ; 17 ; gogi ; 994 
 2551 ; 10 марок. ФРГ. 500 лет со дня смерти Генриха Льва ; 1995F ;  ; Ag ; AU ; 11 ; gogi ; 974 
 2552 ; 10 евро. ФРГ. Карл Шпицвег ; 2008D ;  ; Ag ; AU ; 16 ; gogi ; 994 
 2553 ; 10 евро. ФРГ. 600 лет Университету Лейпцига ; 2009A ;  ; Ag ; AU ; 40 ; gogi ; 974 
 2554 ; 10 евро. ФРГ. Вольфганг Амадей Моцарт ; 2006D ;  ; Ag ; AU ; 19 ; gogi ; 994 
 2555 ; 10 евро. ФРГ. Карл Фридрих Шинкель ; 2006F ;  ; Ag ; AU ; 7 ; gogi ; 974 
 2556 ; 10 евро. ФРГ. Первенство мира по футболу. ФИФА ; 2005 ;  ; Ag ; AU ; 7 ; gogi ; 994 
 2557 ; 10 евро. ФРГ. Музей-остров в Берлине ; 2002A ;  ; Ag ; AU ; 6 ; gogi ; 1000 
 2558 ; 10 марок. ФРГ. 100 лет Дизельному мотору ; 1997F ;  ; Ag ; AU ; 49 ; gogi ; 988 
 2559 ; 10 евро. ФРГ. Альберт Энштейн ; 2005J ;  ; Ag ; AU ; 41 ; gogi ; 988 
 2560 ; 10 евро. ФРГ. Введение евро ; 2002F ;  ; Ag ; AU ; 49 ; serggei ; 1020 
 2561 ; 10 евро. ФРГ. Первенство мира по футболу. ФИФА ; 2006 ;  ; Ag ; AU ; 5 ; gogi ; 986 
 2562 ; 10 евро. ФРГ. Национальный парк ; 2005D ;  ; Ag ; AU ; 7 ; gogi ; 987 
 2563 ; 10 евро. ФРГ. 100 лет Берлинскому метрополитену ; 2002D ;  ; Ag ; AU ; 6 ; gogi ; 988 
 2564 ; 10 евро. ФРГ. 50 лет Немецкому Федеральному банку ; 2007J ;  ; Ag ; AU ; 7 ; gogi ; 989 
 2565 ; 10 евро. ФРГ. 50 лет Федеральной земле Саарленду ; 2007G ;  ; Ag ; AU ; 6 ; gogi ; 990 
 2566 ; 10 евро. ФРГ. 800 лет Елизавете Тюрингской ; 2007A ;  ; Ag ; AU ; 12 ; gogi ; 991 
 2567 ; 10 евро. ФРГ. Альберт Энштейн ; 2005J ;  ; Ag ; AU ; 5 ; gogi ; 992 
 2568 ; 10 евро. ФРГ. Первенство мира по футболу. ФИФА ; 2004 ;  ; Ag ; AU ; 7 ; gogi ; 993 
 2569 ; 10 евро. ФРГ. Небесный диск из Небры ; 2008A ;  ; Ag ; AU ; 7 ; gogi ; 993 
 2570 ; 10 евро. ФРГ. Национальный парк ; 2004J ;  ; Ag ; AU ; 7 ; gogi ; 994 
 2571 ; 10 евро. ФРГ. Космическая станция ; 2004D ;  ; Ag ; AU ; 5 ; gogi ; 995 
 2572 ; 10 евро. ФРГ. Вольфганг Амадей Моцарт ; 2006D ;  ; Ag ; AU ; 15 ; ez ; 555 
 2573 ; 10 евро. ФРГ. Берта фон Зутнер ; 2005F ;  ; Ag ; AU ; 5 ; gogi ; 996 
 2574 ; 10 евро. ФРГ. Фридрих фон Шиллер ; 2005G ;  ; Ag ; AU ; 5 ; gogi ; 997 
 2575 ; 10 евро. ФРГ. 800 лет Дресдену ; 2006A ;  ; Ag ; AU ; 7 ; gogi ; 998 
 2576 ; 10 евро. ФРГ. Первенство мира по футболу. ФИФА ; 2003 ;  ; Ag ; AU ; 21 ; gogi ; 999 
 2577 ; 10 евро. ФРГ. Международный авиакосмический салон ; 2009D ;  ; Ag ; AU ; 6 ; gogi ; 998 
 2578 ; 10 евро. ФРГ. 50 лет ; 2007F ;  ; Ag ; AU ; 6 ; gogi ; 997 
 2579 ; 5 марок. ФРГ ; 1974D ;  ; Ag ; VF-XF ; 1 ; Mike! ; 223 
 2580 ; 5 марок. ФРГ ; 1973J ;  ; Ag ; VF-XF ; 1 ; Mike! ; 222 
 2581 ; 5 марок. ФРГ. 50 лет со дня смерти Фридриха Эберта ; 1975J ;  ; Ag ; AU ; 1 ; Mike! ; 225 
 2582 ; 5 марок. ФРГ. 200 лет со дня рождения Карла Фридриха Гаусса ; 1977J ;  ; Ag ; AU ; 1 ; Mike! ; 225 
 2583 ; 5 марок. ФРГ. 150 лет со дня рождения Макса фон Петтенкофера ; 1968D ;  ; Ag ; AU ; 3 ; Mike! ; 267 
 2584 ; 5 марок. ФРГ. 150 лет со дня рождения Фридриха Райффайзена ; 1968J ;  ; Ag ; AU ; 2 ; Abbat ; 261 
 2585 ; 5 марок. ФРГ. Вильгельм и Александр фон Гумбольт ; 1967F ;  ; Ag ; AU ; 37 ; vicnic ; 1100 
 2586 ; 5 марок. ФРГ. 250 лет со дня смерти Готфрида Вильгельма Лейбница ; 1966D ;  ; Ag ; AU ; 34 ; gogi ; 1428 
 2587 ; 5 марок. ФРГ. 25 лет Конституционному закону ; 1974F ;  ; Ag ; AU ; 52 ; gogi ; 1000 
 2588 ; 5 марок. ФРГ. Образование Немецкого государства ; 1971G ;  ; Ag ; AU ; 1 ; Mike! ; 225 
 2589 ; 5 марок. ФРГ. 100 лет со дня рождения Альберат Швейтзера ; 1975G ;  ; Ag ; AU ; 1 ; Mike! ; 225 
 2490 ; 1/2 доллара. США. Кеннеди. 200 лет юбилею ; 1976S ;  ; Ag400 ; AU ; 37 ; alex 77 ; 412 
 2491 ; 1 песо. Куба. Ленин ; 2002 ;  ; Cu-Ni ; AU ; 12 ; Abbat ; 325 
 2492 ; 5 франков. Швейцария ; 1932В ;  ; Ag ; VF- ; 11 ; PaulMS ; 300 
 2493 ; 5 франков. Швейцария. Берн ; 1885 ;  ; Ag ; XF/AU ; 55 ; MISCHA_66 ; 5034 
 2494 ; 5 франков. Швейцария. Базель ; 1879 ;  ; Ag ; XF- ; 69 ; MISCHA_66 ; 6255 
 2495 ; 20 лир. Италия. Виторио Эммануил III. 10 лет со дня окончания 1МВ ; 1928 ;  ; Ag ; XF- ; 32 ; kont ; 8200 
 2496 ; 100 шиллингов. Австрия. XII Олимпийские игры в Иннсбруке ; 1976 ;  ; Ag ; AU ; 5 ; env ; 384 
 2497 ; 1 песо. Мексика ; 1966 ;  ; Ag ; VF-XF ; 50 ; zavadskiyoa ; 176 
 2498 ; 2 кроны. Швеция. 300 лет урегулирования вопроса о Делаваре ; 1938G ;  ; Ag ; AU ; 44 ; igor_r65 ; 539 
 2499 ; 500 лир. Италия ; 1960 ;  ; Ag ; XF+ ; 41 ; 13alex ; 306 
 2500 ; 5 крон. Швеция ; 1955TS ;  ; Ag ; XF ; 13 ; SadKo ; 214 
 2501 ; 5 крон. Швеция ; 1955TS ;  ; Ag ; XF/AU ; 21 ; SadKo ; 222 
 2502 ; 10 центов. Нидерландские Антиллы ; 1978 ;  ; Cu-Ni ; XF ; 31 ; Shrrv ; 30 
 2503 ; 5 раппен. Швейцария ; 1983 ;  ; Cu-Ni ; XF+ ; 20 ; Shrrv ; 20 
 2504 ; 50 тенге. Казахстан. Тусау Кесу ; 2007 ;  ; Cu-Ni ; AU ; 34 ; Sky2 ; 34 
 2505 ; 50 тенге. Казахстан. Кыз Куу ; 2008 ;  ; Cu-Ni ; AU ; 32 ; Sky2 ; 51 
 2506 ; 50 тенге. Казахстан. Звезда ордена ; 2006 ;  ; Cu-Ni ; AU ; 30 ; Sky2 ; 51 
 2507 ; 50 тенге. Казахстан. Звезда ордена ; 2008 ;  ; Cu-Ni ; AU ; 35 ; alskr ; 52 
 2508 ; 50 тенге. Казахстан. Знак ордена ; 2006 ;  ; Cu-Ni ; AU ; 42 ; Sky2 ; 51 
 2509 ; 3 марки. Веймар ; 1922A ;  ; Al ; VF-XF ; 44 ; kurrent ; 197 
 2510 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972F ;  ; Ag ; AU ; 36 ; gogi ; 997 
 2511 ; 10 марок. ФРГ. Олимпиада в Германии ; 1972D ;  ; Ag ; AU ; 18 ; hugo ; 713 
 2512 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972D ;  ; Ag ; AU ; 12 ; ez ; 419 
 2513 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972G ;  ; Ag ; AU ; 25 ; vicnic ; 700 
 2514 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972F ;  ; Ag ; AU ; 24 ; gogi ; 997 
 2515 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972F ;  ; Ag ; AU ; 26 ; vicnic ; 550 
 2516 ; 10 марок. ФРГ. Единая Германия. Бранденбургские ворота ; 1991A ;  ; Ag ; AU ; 31 ; gogi ; 995 
 2517 ; 10 марок. ФРГ. 200 лет со дня рождения Артура Шопенгауэра ; 1988D ;  ; Ag ; Proof ; 31 ; gogi ; 1000 
 2518 ; 10 марок. ФРГ. 50 лет конституции ФРГ ; 1999D ;  ; Ag ; AU ; 51 ; gogi ; 1000 
 2519 ; 10 марок. ФРГ. 800 лет Тевтонскому ордену ; 1990J ;  ; Ag ; AU ; 28 ; ворон_2009 ; 658 
 2520 ; 10 марок. ФРГ. 30 лет Евросоюзу ; 1987G ;  ; Ag ; AU ; 47 ; gogi ; 1000 
 2521 ; 10 марок. ФРГ. 150 лет со дня рождения Роберта Коха ; 1993J ;  ; Ag ; AU ; 5 ; ez ; 420 
 2522 ; 10 марок. ФРГ. 250 лет со дня рождения Иоганна Готтфрида Хердера ; 1994G ;  ; Ag ; AU ; 46 ; gogi ; 974 
 2523 ; 10 марок. ФРГ. 10 лет единой Германии ; 2000D ;  ; Ag ; AU ; 49 ; gogi ; 968 
 2524 ; 10 марок. ФРГ. 150 лет ордену "За заслуги" ; 1992D ;  ; Ag ; AU ; 8 ; Mike! ; 425 
 2525 ; 10 марок. ФРГ. 125 лет со дня рождения Кети Кольвитз ; 1992G ;  ; Ag ; AU ; 3 ; ворон_2009 ; 388 
 2526 ; 10 марок. ФРГ. 500 лет со дня рождения Филиппа Меланхтона ; 1997J ;  ; Ag ; AU ; 5 ; ez ; 420 
 2527 ; 10 марок. ФРГ. 200 лет со дня смерти Баха ; 2000F ;  ; Ag ; AU ; 8 ; dimon-2007 ; 425 
 2528 ; 10 марок. ФРГ. Федеральный конституционный суд ; 2001G ;  ; Ag ; AU ; 45 ; gogi ; 974 
 2529 ; 10 марок. ФРГ. 2000 лет городу Бонну ; 1989D ;  ; Ag ; XF ; 5 ; ez ; 419 
 2530 ; 10 марок. ФРГ. 800 лет со дня смерти кайзра Фридриха Барбароссы ; 1990F ;  ; Ag ; AU ; 48 ; gogi ; 980 
 2531 ; 10 марок. ФРГ. 50 лет музею Моря ; 2001A ;  ; Ag ; AU ; 29 ; gogi ; 983 
 2532 ; 10 марок. ФРГ. 1000 лет Потсдаму ; 1993F ;  ; Ag ; AU ; 28 ; gogi ; 994 
 2533 ; 10 марок. ФРГ. 300 лет Франковскому благотворительному пожертвованию ; 1998A ;  ; Ag ; AU ; 25 ; gogi ; 974 
 2534 ; 10 марок. ФРГ. 50 лет Благотворительному обществу для детей оставшихся без родителей во всем мире ; 1999J ;  ; Ag ; AU ; 27 ; gogi ; 994 
 2535 ; 10 марок. ФРГ. 250 лет со дня рождения Гете ; 1999F ;  ; Ag ; AU ; 7 ; ez ; 416 
 2536 ; 10 марок. ФРГ. 800 лет Гамбургу ; 1989J ;  ; Ag ; AU ; 19 ; gogi ; 974 
 2537 ; 10 марок. ФРГ. 200 лет со дня рождения Генриха Гейна ; 1997D ;  ; Ag ; AU ; 14 ; ворон_2009 ; 500 
 2538 ; 10 марок. ФРГ. Попытка устранить Гитлера 20 июля 1944 года ; 1994A ;  ; Ag ; AU ; 7 ; ez ; 416 
 2539 ; 10 марок. ФРГ. 300 лет со дня окончания 30-летней войны. Мир в Вестфалии ; 1998J ;  ; Ag ; AU ; 18 ; gogi ; 994 
 2440 ; 100 шиллингов. Австрия. 150 лет со дня рождения Иоганна Штрауса ; 1975 ;  ; Ag ; VF-XF ; 7 ; gogi ; 365 
 2441 ; 50 шиллингов. Австрия. 50 лет австрийскому радиовещанию ; 1974 ;  ; Ag ; AU ; 22 ; Mike! ; 332 
 2442 ; 50 шиллингов. Австрия. 80 лет со дня рождения Джулиуса Рааба ; 1971 ;  ; Ag ; XF ; 29 ; gogi ; 344 
 2443 ; 25 шиллингов. Австрия. 100 лет со дня рождения Франца Лехара ; 1970 ;  ; Ag ; XF ; 13 ; gogi ; 275 
 2444 ; 25 шиллингов. Австрия. 300 лет со дня рождения фон Хилдебрандта ; 1968 ;  ; Ag ; XF ; 11 ; gogi ; 260 
 2445 ; 2 кроны. Австрия ; 1912 ;  ; Ag ; XF ; 105 ; DarthRock ; 348 
 2446 ; 2 кроны. Австрия ; 1913 ;  ; Ag ; XF ; 19 ; DarthRock ; 510 
 2447 ; 1 крона. Австрия ; 1912 ;  ; Ag ; VF-XF ; 23 ; vzz ; 182 
 2448 ; 1 крона. Австрия ; 1913 ;  ; Ag ; VF-XF ; 45 ; покупатель ; 193 
 2449 ; 1 крона. Австрия ; 1913 ;  ; Ag ; XF ; 47 ; vzz ; 188 
 2450 ; 1 крона. Австрия ; 1913 ;  ; Ag ; XF- ; 42 ; vzz ; 131 
 2451 ; 1 крона. Австрия ; 1914 ;  ; Ag ; VF-XF ; 54 ; Marcus ; 194 
 2452 ; 1 крона. Австрия ; 1914 ;  ; Ag ; XF- ; 40 ; Argnist3000 ; 194 
 2453 ; 1 крона. Австрия ; 1914 ;  ; Ag ; VF-XF ; 49 ; vzz ; 185 
 2454 ; 1 крона. Австрия ; 1915 ;  ; Ag ; VF-XF ; 48 ; vzz ; 188 
 2455 ; 1 крона. Австрия ; 1916 ;  ; Ag ; XF ; 21 ; покупатель ; 195 
 2456 ; 1 крона. Австрия ; 1916 ;  ; Ag ; VF-XF ; 52 ; vzz ; 187 
 2457 ; 1 крона. Австрия. 60 лет правления ; 1908 ;  ; Ag ; XF/AU ; 22 ; avs ; 516 
 2458 ; 1 крона. Австрия. 60 лет правления ; 1908 ;  ; Ag ; XF ; 30 ; Lena6975 ; 401 
 2459 ; 1 форинт. Венгрия ; 1878 ;  ; Ag ; VF-XF ; 65 ; vital73 ; 551 
 2460 ; 2 короны. Венгрия ; 1912 ;  ; Ag ; AU ; 89 ; vital73 ; 1473 
 2461 ; 2 короны. Венгрия ; 1912 ;  ; Ag ; XF ; 39 ; vital73 ; 459 
 2462 ; 1 корона. Венгрия ; 1915 ;  ; Ag ; XF ; 18 ; 13alex ; 200 
 2463 ; 6 пенсов. Великобритания ; 1940 ;  ; Ag ; VF-XF ; 27 ; покупатель ; 79 
 2464 ; 2 шиллинга. Великобритания ; 1940 ;  ; Ag ; VF-XF ; 40 ; SadKo ; 122 
 2465 ; 50 пиастров. Ливан ; 1952 ;  ; Ag ; VF-XF ; 19 ; димитрий ; 211 
 2466 ; 1 рупия. Британская Индия ; 1917 ;  ; Ag ; VF-XF ; 39 ; ez ; 510 
 2467 ; 2 анны. Британская Индия ; 1916 ;  ; Ag ; VF-XF ; 5 ; vengriya ; 220 
 2468 ; 10 марок. ФРГ. 125 лет со дня рождения Кетти Кольвитц ; 1992G ;  ; Ag ; AU ; 4 ; ez ; 420 
 2469 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972D ;  ; Ag ; AU ; 17 ; ez ; 420 
 2470 ; 10 марок. ФРГ. 750 лет Берлину ; 1987J ;  ; Ag ; AU ; 21 ; gogi ; 509 
 2471 ; 10 марок. ФРГ. 150 лет Ордену "За заслуги" ; 1992D ;  ; Ag ; AU ; 9 ; ez ; 412 
 2472 ; 10 марок. ФРГ. 800 лет Гамбургу ; 1989J ;  ; Ag ; AU ; 5 ; gogi ; 379 
 2473 ; 10 марок. ФРГ. 150 лет Ордену "За заслуги" ; 1992D ;  ; Ag ; AU ; 7 ; murew ; 387 
 2474 ; 10 марок. ФРГ. 900 лет со дня рождения Хильдегард фон Бинген ; 1998G ;  ; Ag ; AU ; 27 ; gogi ; 696 
 2475 ; 10 марок. ФРГ. 500 лет со дня смерти Генриха Льва ; 1995F ;  ; Ag ; AU ; 15 ; gogi ; 457 
 2476 ; 5 марок. ФРГ. 200 лет со дня рождения Генриха фон Клейста ; 1977G ;  ; Ag ; AU ; 4 ; покупатель ; 214 
 2477 ; 5 марок. ФРГ. 200 лет со дня рождения Карла Фридриха Гаусса ; 1977J ;  ; Ag ; AU ; 2 ; 131026000 ; 204 
 2478 ; 5 марок. ФРГ. 150 лет со дня рождения Фридриха Райффайзена ; 1968J ;  ; Ag ; XF ; 16 ; ez ; 300 
 2479 ; 5 марок. ФРГ. 100 лет со дня рождения Альберта Швейтзера ; 1975G ;  ; Ag ; AU ; 3 ; покупатель ; 209 
 2480 ; 5 марок. ФРГ. 225 лет со дня смерти Бальтазара Ньюманна ; 1978F ;  ; Ag ; AU ; 30 ; gogi ; 375 
 2481 ; 5 марок. ФРГ. 150 лет Немецкому Археологическому институту ; 1979J ;  ; Ag ; AU ; 1 ; Mike! ; 200 
 2482 ; 5 марок. ФРГ. 500 лет со дня рождения Альбрехта Дюрера ; 1971D ;  ; Ag ; XF ; 5 ; покупатель ; 214 
 2483 ; 5 марок. ФРГ. Образование Немецкого государства ; 1971G ;  ; Ag ; XF ; 21 ; gogi ; 368 
 2484 ; 5 марок. ФРГ. 100 лет со дня рождения Густава Стресеманна ; 1978D ;  ; Ag ; AU ; 2 ; покупатель ; 204 
 2485 ; 10 евро. ФРГ. 100 лет Немецкому музею ; 2003D ;  ; Ag ; Proof ; 12 ; gogi ; 532 
 2486 ; 1 бальбоа. Панама ; 1966 ;  ; Ag ; AU ; 53 ; zavadskiyoa ; 894 
 2487 ; 1 доллар. Канада. Британская Колумбия ; 1958 ;  ; Ag ; XF/AU ; 83 ; Ю42 ; 503 
 2488 ; 100 руфий. Мальдивы. "Катти Сарк" ; 1993 ;  ; Ag ; Proof ; 40 ; cash ; 512 
 2489 ; 1 доллар. США. Эйзенхауэр. 200 лет юбилею ; 1976S ;  ; Ag400 ; AU ; 28 ; alex 77 ; 912 
 2390 ; 20 крон. Чехословакия. Промышленность, архитектура, бизнес ; 1933 ;  ; Ag ; XF ; 41 ; vzz ; 230 
 2391 ; 20 крон. Чехословакия. Промышленность, архитектура, бизнес ; 1933 ;  ; Ag ; VF-XF ; 32 ; vzz ; 230 
 2392 ; 20 крон. Чехословакия. Промышленность, архитектура, бизнес ; 1933 ;  ; Ag ; VF-XF ; 45 ; lesnik1 ; 235 
 2393 ; 20 крон. Чехословакия. Промышленность, архитектура, бизнес ; 1933 ;  ; Ag ; XF- ; 46 ; dimon-2007 ; 245 
 2394 ; 20 крон. Чехословакия. Промышленность, архитектура, бизнес ; 1934 ;  ; Ag ; VF-XF ; 36 ; vzz ; 230 
 2395 ; 20 крон. Чехословакия. Промышленность, архитектура, бизнес ; 1934 ;  ; Ag ; VF-XF ; 6 ; asternox ; 235 
 2396 ; 20 крон. Чехословакия. Промышленность, архитектура, бизнес ; 1934 ;  ; Ag ; VF-XF ; 31 ; покупатель ; 235 
 2397 ; 20 крон. Чехословакия. На смерть президента Масарика ; 1937 ;  ; Ag ; XF ; 25 ; ВМШ ; 383 
 2398 ; 20 крон. Чехословакия. На смерть президента Масарика ; 1937 ;  ; Ag ; XF ; 60 ; vc57 ; 291 
 2399 ; 20 крон. Чехословакия. На смерть президента Масарика ; 1937 ;  ; Ag ; XF ; 57 ; dimon-2007 ; 308 
 2400 ; 20 крон. Чехословакия. На смерть президента Масарика ; 1937 ;  ; Ag ; XF ; 87 ; av ; 287 
 2401 ; 10 крон. Чехословакия. 10 лет независимости ; 1928 ;  ; Ag ; XF+ ; 20 ; mva.37 ; 378 
 2402 ; 10 крон. Чехословакия. 10 лет независимости ; 1928 ;  ; Ag ; XF+ ; 69 ; ВМШ ; 306 
 2403 ; 10 крон. Чехословакия. 10 лет независимости ; 1928 ;  ; Ag ; XF+ ; 55 ; AIK60 ; 293 
 2404 ; 10 крон. Чехословакия. 10 лет независимости ; 1928 ;  ; Ag ; XF ; 42 ; av ; 239 
 2405 ; 10 крон. Чехословакия ; 1930 ;  ; Ag ; XF/AU ; 25 ; av ; 274 
 2406 ; 10 крон. Чехословакия ; 1930 ;  ; Ag ; XF+ ; 27 ; Tarkus ; 231 
 2407 ; 10 крон. Чехословакия ; 1930 ;  ; Ag ; XF ; 46 ; vzz ; 226 
 2408 ; 10 крон. Чехословакия ; 1930 ;  ; Ag ; XF ; 32 ; vzz ; 227 
 2409 ; 10 крон. Чехословакия ; 1930 ;  ; Ag ; XF+ ; 48 ; NFV ; 235 
 2410 ; 10 крон. Чехословакия ; 1930 ;  ; Ag ; XF/AU ; 31 ; hugo ; 413 
 2411 ; 10 крон. Чехословакия ; 1930 ;  ; Ag ; XF ; 86 ; vzz ; 198 
 2412 ; 10 крон. Чехословакия ; 1930 ;  ; Ag ; XF- ; 26 ; Komod ; 231 
 2413 ; 10 крон. Чехословакия ; 1931 ;  ; Ag ; XF ; 24 ; Бендер ; 338 
 2414 ; 10 крон. Чехословакия ; 1931 ;  ; Ag ; VF-XF ; 24 ; vzz ; 180 
 2415 ; 10 крон. Чехословакия ; 1932 ;  ; Ag ; XF ; 22 ; hugo ; 465 
 2416 ; 10 крон. Чехословакия ; 1932 ;  ; Ag ; XF+ ; 31 ; Komod ; 232 
 2417 ; 10 крон. Чехословакия ; 1932 ;  ; Ag ; XF ; 26 ; vzz ; 198 
 2418 ; 5 крон. Чехословакия ; 1928 ;  ; Ag ; XF- ; 54 ; ВМШ ; 476 
 2419 ; 5 крон. Чехословакия ; 1928 ;  ; Ag ; VF-XF ; 28 ; Бендер ; 281 
 2420 ; 5 крон. Чехословакия ; 1928 ;  ; Ag ; VF-XF ; 31 ; vc57 ; 234 
 2421 ; 100 крон. Чехословакия. 70 лет со дня рождения Сталина ; 1949 ;  ; Ag ; XF ; 32 ; димитрий ; 611 
 2422 ; 100 крон. Чехословакия. 30 лет независимости ; 1948 ;  ; Ag ; XF ; 41 ; mva.37 ; 688 
 2423 ; 100 крон. Чехословакия. 700 лет горному делу в Йоглавских горах ; 1949 ;  ; Ag ; XF ; 47 ; mva.37 ; 441 
 2424 ; 100 крон. Чехословакия. 600лет Карловскому универститету ; 1948 ;  ; Ag ; XF- ; 38 ; NFV ; 335 
 2425 ; 100 крон. Чехословакия. 600лет Карловскому универститету ; 1948 ;  ; Ag ; XF ; 35 ; lesnik1 ; 375 
 2426 ; 50 крон. Чехословакия. 70 лет со дня рождения Сталина ; 1949 ;  ; Ag ; VF-XF ; 18 ; Rober ; 466 
 2427 ; 50 крон. Чехословакия. Словакское восстание ; 1947 ;  ; Ag ; XF- ; 53 ; Komod ; 204 
 2428 ; 50 крон. Чехословакия. Словакское восстание ; 1947 ;  ; Ag ; XF/AU ; 39 ; mva.37 ; 254 
 2429 ; 50 крон. Чехословакия. Словакское восстание ; 1947 ;  ; Ag ; XF- ; 19 ; NFV ; 202 
 2430 ; 50 крон. Чехословакия. Словакское восстание ; 1947 ;  ; Ag ; XF ; 47 ; В1951 ; 198 
 2431 ; 50 крон. Чехословакия. Словакское восстание ; 1947 ;  ; Ag ; XF- ; 46 ; lesnik1 ; 193 
 2432 ; 50 крон. Чехословакия. Словакское восстание ; 1947 ;  ; Ag ; XF ; 33 ; asternox ; 237 
 2433 ; 50 крон. Чехословакия. 3-я годовщина Пражского восстания ; 1948 ;  ; Ag ; XF- ; 46 ; lesnik1 ; 192 
 2434 ; 50 крон. Чехословакия. 3-я годовщина Пражского восстания ; 1948 ;  ; Ag ; XF- ; 29 ; brent ; 222 
 2435 ; 50 крон. Чехословакия. 3-я годовщина Пражского восстания ; 1948 ;  ; Ag ; VF-XF ; 20 ; Komod ; 226 
 2436 ; 25 крон. Чехословакия. 20 лет Чехословацкому освобождению ; 1965 ;  ; Ag ; VF-XF ; 49 ; kamensk61 ; 393 
 2437 ; 100 шиллингов. Австрия. 20 лет договору ; 1975 ;  ; Ag ; Proof ; 4 ; makarovmo ; 408 
 2438 ; 100 шиллингов. Австрия. Зимние Олимпийские игры. Инсбрук ; 1974 ;  ; Ag ; Proof ; 6 ; makarovmo ; 519 
 2439 ; 100 шиллингов. Австрия. 700 лет Гмундену ; 1978 ;  ; Ag ; VF-XF ; 4 ; gogi ; 362 
 2340 ; 1 франк. Французский Мадагаскар. Правительство Виши ; 1943 ;  ; Br ; F-VF ; 53 ; MISCHA_66 ; 442 
 2341 ; 50 сантимов. Французский Мадагаскар. Правительство Виши ; 1943 ;  ; Br ; F-VF ; 41 ; MISCHA_66 ; 567 
 2342 ; 50 сантимов. Французский Тунис ; 1912A ;  ; Ag ; VF-XF ; 35 ; kont ; 264 
 2343 ; 10 сантимов. Французский Тунис ; 1891A ;  ; Br ; VF- ; 52 ; Mike! ; 178 
