 352 ; 5 копеек (Ильин-4р) ; 1851 ; ВМ ; Cu ; VF ; 26 ; Участник № 100 ; 28000 
 200 ; Полтина ; 1900 ; (ФЗ) АГ ; Ag ; AU ; 99 ; Участник № 30 ; 29000 
 101 ; 5 копеек ; 1809 ; ЕМ ; Cu ; XF- ; 19 ; VAG ; 6122 
 102 ; 5 копеек ; 1810 ; ЕМ ; Cu ; VF+ ; 19 ; 156264 ; 5202 
 103 ; Рубль ; 1811 ; СПБ ФГ ; Ag ; VF-XF ; 23 ; нафаня ; 8353 
 104 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF+ ; 16 ; maka ; 3790 
 105 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; AU ; 37 ; hugo ; 3000 
 106 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF- ; 24 ; ААФ ; 4000 
 107 ; Рубль ; 1818 ; СПБ ПС ; Ag ; VF-XF ; 20 ; Джон ; 2401 
 108 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; XF/AU ; 20 ; maka ; 5000 
 109 ; Рубль ; 1822 ; СПБ ПД ; Ag ; XF- ; 28 ; int1965708 ; 7111 
 110 ; 10 копеек ; 1822 ; СПБ ПД ; Ag ; Unc/AU ; 31 ; Участник № 392 ; 8000 
 111 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 13 ; Участник № 147 ; 1300 
 112 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 27 ; destroer ; 2200 
 113 ; Рубль ; 1824 ; СПБ ПД ; Ag ; VF-XF ; 13 ; 156264 ; 3062 
 114 ; 20 копеек ; 1824 ; СПБ ПД ; Ag ; XF ; 11 ; 156264 ; 1532 
 115 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; Unc/AU ; 59 ; Senjor ; 17769 
 116 ; 3 гроша ; 1826 ; IB Польша ; Cu ; VF ; 24 ; Участник № 18 ; 10000 
 117 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 23 ; dimon46 ; 4659 
 118 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF+ ; 105 ; Участник № 1444 ; 21000 
 119 ; Рубль. Редка (Ильин-3р) ; 1830 ; СПБ НГ ; Ag ; VF ; 26 ; ААФ ; 6001 
 120 ; 20 копеек ; 1830 ; СПБ НГ ; Ag ; XF/AU ; 107 ; Участник № 42 ; 13000 
 121 ; 5 злотых ; 1831 ; KG польское восстание 1830-183 ; Ag ; VF-XF ; 7 ; Участник № 44 ; 16000 
 122 ; 5 копеек ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 11 ; нафаня ; 1532 
 123 ; 15 копеек-1 злотый ; 1832 ; НГ Рус.-Пол. ; Ag ; AU ; 11 ; sg1945 ; 19380 
 124 ; Рубль ; 1833 ; СПБ НГ ; Ag ; AU ; 34 ; Monarch I ; 15504 
 125 ; Копейка ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 20 ; Basilio ; 2193 
 126 ; Рубль ; 1834 ; "На открытие Александровской к ; Ag ; AU ; 28 ; kor ; 80000 
 127 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; AU ; 23 ; Участник № 100 ; 4400 
 128 ; 3/4 рубля-5 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; VF-XF ; 11 ; Alexdav ; 4131 
 129 ; Дукат. Нидерланды. Петербургский чекан ; 1837 ;  ; Au ; XF/AU ; 52 ; Senjor ; 22554 
 130 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; AU ; 22 ; Участник № 9 ; 4100 
 131 ; 5 копеек ; 1837 ; СПБ НГ ; Ag ; AU ; 9 ; Участник № 4 ; 2100 
 132 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородин ; Ag ; AU ; 65 ; kor ; 100000 
 133 ; Рубль ; 1840 ; СПБ НГ ; Ag ; VF-XF ; 25 ; Джон ; 4200 
 134 ; 1/2 копейки ; 1840 ; СПМ ; Cu ; XF- ; 12 ; Участник № 51 ; 3200 
 135 ; Рубль ; 1841 ; СПБ НГ ; Ag ; AU ; 12 ; elac ; 7100 
 136 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF- ; 49 ; 131313 ; 7650 
 137 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; VF-XF ; 11 ; Участник № 51 ; 4200 
 138 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 22 ; dim20022 ; 8160 
 139 ; Рубль ; 1844 ; MW ; Ag ; VF-XF ; 16 ; Джон ; 3572 
 140 ; Рубль (Петров-5р). Редка. Тип герба 1842 года ; 1844 ; MW ; Ag ; VF+ ; 12 ; Участник № 9 ; 10000 
 141 ; 10 копеек ; 1844 ; СПБ КБ ; Ag ; VF+ ; 43 ; antiquar ; 5894 
 142 ; 2 копейки ; 1844 ; ЕМ ; Cu ; VF+ ; 31 ; Участник № 100 ; 4400 
 143 ; Полтина ; 1845 ; СПБ КБ ; Ag ; XF+/XF- ; 26 ; 5491 ; 6532 
 144 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF+/XF- ; 26 ; dim20022 ; 6610 
 145 ; Копейка ; 1846 ; СМ ; Cu ; XF- ; 33 ; Участник № 100 ; 6500 
 146 ; 1/2 копейки (Ильин-1р) ; 1846 ; СМ ; Cu ; VF- ; 37 ; pmaster ; 1071 
 147 ; Рубль ; 1847 ; СПБ ПА ; Ag ; XF ; 21 ; 156264 ; 8274 
 148 ; Рубль ; 1847 ; MW ; Ag ; VF-XF ; 9 ; нафаня ; 4082 
 149 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; Unc/AU ; 27 ; tisa66 ; 5102 
 150 ; 20 копеек ; 1847 ; СПБ ПА ; Ag ; XF+ ; 9 ; kosta ; 3572 
 51 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; AU ; 30 ; kor ; 24990 
 52 ; 15 копеек ; 1764 ; ММД ; Ag ; VF ; 10 ; 156264 ; 2040 
 53 ; 5 копеек ; 1764 ; ЕМ ; Cu ; VF ; 5 ; Участник № 51 ; 190 
 54 ; Полуполтинник ; 1765 ; ММД ЕI ТI ; Ag ; VF-XF ; 27 ; Участник № 51 ; 5200 
 55 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; AU ; 40 ; kor ; 32000 
 56 ; 5 копеек (Петров-3р, Ильин-5р) ; 1767 ; СПМ ; Cu ; F-VF ; 34 ; 156264 ; 9192 
 57 ; 2 копейки (Петров-15р, Ильин-8р) ; 1767 ; "Сибирь" ; Cu ; VF- ; 25 ; Участник № 9 ; 22000 
 58 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; UNC ; 34 ; Участник № 1385 ; 46000 
 59 ; 20 копеек ; 1769 ; СПБ TI ; Ag ; XF- ; 26 ; Участник № 51 ; 4600 
 60 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; XF+ ; 28 ; Участник № 51 ; 24000 
 61 ; Денга ; 1770 ; КМ "Сибирь" ; Cu ; VF ; 10 ; SSK ; 1224 
 62 ; 20 копеек. Легкая деформация ; 1771 ; СПБ TI ; Ag ; VF+ ; 25 ; 00500 ; 5555 
 63 ; 2 копейки ; 1773 ; КМ "Сибирь" ; Cu ; VF ; 63 ; Седой ; 1124 
 64 ; Копейка ; 1773 ; КМ "Сибирь" ; Cu ; VF ; 39 ; pmaster ; 818 
 65 ; Денга ; 1773 ; КМ "Сибирь" ; Cu ; VF ; 15 ; fikus ; 1377 
 66 ; 2 копейки ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 91 ; igorf ; 2927 
 67 ; Денга ; 1774 ; КМ "Сибирь" ; Cu ; VF ; 15 ; Участник № 51 ; 1600 
 68 ; 2 копейки ; 1776 ; КМ "Сибирь" ; Cu ; VF ; 32 ; fikus ; 3560 
 69 ; Копейка ; 1776 ; КМ "Сибирь" ; Cu ; VF ; 23 ; Участник № 621 ; 1200 
 70 ; 5 копеек. Крым. Шахин-Гирей. 5-й год правления ; 1191лх (1777) ;  ; Cu ; VF- ; 19 ; Участник № 392 ; 11500 
 71 ; Денга. Крым. Шахин-Гирей. 5-й год правления ; 1191лх (1777) ;  ; Cu ; VF- ; 27 ; Участник № 140 ; 5500 
 72 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; AU ; 47 ; kor ; 40000 
 73 ; 5 копеек ; 1778 ; ЕМ ; Cu ; F-VF ; 7 ; Участник № 9 ; 140 
 74 ; Денга ; 1778 ; КМ "Сибирь" ; Cu ; VF ; 9 ; ААФ ; 1275 
 75 ; 2 копейки (Петров-8р,Ильин-2р) ; 1779 ; ЕМ ; Cu ; VF ; 28 ; fikus ; 16320 
 76 ; 15 копеек ; 1781 ; СПБ ; Ag ; UNC ; 59 ; Участник № 621 ; 58000 
 77 ; Гривенник ; 1781 ; СПБ ; Ag ; VF-XF ; 15 ; ААФ ; 3501 
 78 ; Гривенник ; 1783 ; СПБ ; Ag ; Unc/AU ; 15 ; Senjor ; 7140 
 79 ; 20 копеек ; 1784 ; СПБ ; Ag ; Unc/AU ; 53 ; Senjor ; 28277 
 80 ; Рубль ; 1785 ; СПБ ЯА TI ; Ag ; XF ; 54 ; Участник № 39 ; 44000 
 81 ; 15 копеек ; 1785 ; СПБ ; Ag ; XF ; 20 ; Участник № 7 ; 3200 
 82 ; 5 копеек (Ильин-5р) ; 1788 ; ЕМ ; Cu ; VF- ; 44 ; Участник № 1495 ; 16000 
 83 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 41 ; Участник № 1495 ; 5400 
 84 ; 2 копейки (Петров-8р, Ильин-3р) ; 1788 ; СПМ ; Cu ; F-VF ; 22 ; cb,bhzr ; 8721 
 85 ; Полуполтинник ; 1789 ; СПБ ЯА ; Ag ; AU ; 47 ; Участник № 392 ; 17000 
 86 ; Копейка ; 1789 ; ЕМ ; Cu ; VF- ; 2 ; igorf ; 350 
 87 ; Денга ; 1790 ; ЕМ ; Cu ; VF ; 43 ; Участник № 30 ; 1600 
 88 ; Полуполтинник ; 1791 ; СПБ ЯА ; Ag ; XF+ ; 28 ; cash ; 6324 
 89 ; 5 копеек ; 1791 ; КМ ; Cu ; VF-XF ; 73 ; Участник № 9 ; 2600 
 90 ; Полуполтинник ; 1792 ; СПБ ЯА ; Ag ; AU ; 32 ; 462 ; 15300 
 91 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; F-VF ; 32 ; Участник № 9 ; 1700 
 92 ; Гривенник ; 1794 ; СПБ ; Ag ; XF/AU ; 23 ; Участник № 636 ; 9000 
 93 ; 5 копеек ; 1794 ; АМ ; Cu ; VF+ ; 9 ; Участник № 66 ; 1400 
 94 ; Денга ; 1795 ; ЕМ ; Cu ; VF-XF ; 37 ; Седой ; 2244 
 95 ; 5 копеек (Петров-3р) ; 1797 ; СМ ФЦ ; Ag ; VF ; 27 ; Участник № 100 ; 50000 
 96 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; XF- ; 11 ; Участник № 636 ; 13000 
 97 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+ ; 28 ; Участник № 584 ; 7400 
 98 ; Рубль ; 1805 ; СПБ ФГ ; Ag ; Unc/AU ; 68 ; Участник № 44 ; 100000 
 99 ; Двойной абаз ; 1808 ; АК Грузия ; Ag ; VF+ ; 14 ; Участник № 140 ; 7000 
 100 ; 5 копеек (Петров-4р, Ильин-3р) ; 1808 ; КМ ; Cu ; VF-XF ; 25 ; Участник № 584 ; 13000 
 1 ; Денга ; 1704 ;  ; Cu ; VF+ ; 20 ; Senjor ; 6000 
 2 ; Денга ; 1705 ;  ; Cu ; VF ; 15 ; Senjor ; 5100 
 3 ; Копейка ; 1712 ; МД ; Cu ; F-VF ; 50 ; Участник № 7 ; 1300 
 4 ; Копейка ; 1713 ; НД ; Cu ; VF+ ; 12 ; Участник № 7 ; 1300 
 5 ; Копейка ; 1714 ; НД ; Cu ; F-VF ; 78 ; igorf ; 1419 
 6 ; Рубль (Редкая, Петров-6р) ; 1718 ; OK ; Ag ; VF-XF ; 40 ; Участник № 51 ; 62000 
 7 ; Рубль (Редкая. Знак двора "СПБ" в рукаве). "СПБ" в рукаве ; 1725 ; СПБ ; Ag ; XF- ; 51 ; Участник № 44 ; 85000 
 8 ; 5 копеек ; 1725 ; МД Дата снизу вверх ; Cu ; F-VF ; 95 ; Участник № 114 ; 3500 
 9 ; Рубль (Ильин-3р) ; 1726 ;  ; Ag ; XF ; 51 ; Участник № 44 ; 48000 
 10 ; 5 копеек ; 1726 ; МД ; Cu ; F-VF ; 48 ; Участник № 9 ; 3400 
 11 ; 5 копеек ; 1726 ; НД Дата снизу вверх ; Cu ; F-VF ; 29 ; Участник № 7 ; 1900 
 12 ; Рубль ; 1728 ;  ; Ag ; AU ; 46 ; Участник № 1204 ; 72000 
 13 ; Полтина (Петров-3р, Ильин-3р) ; 1731 ;  ; Ag ; VF+ ; 43 ; Участник № 59 ; 18000 
 14 ; Рубль ; 1732 ;  ; Ag ; VF ; 41 ; serg2010 ; 9853 
 15 ; Гривна ; 1733 ;  ; Ag ; VF- ; 55 ; Участник № 42 ; 17000 
 16 ; Рубль ; 1735 ;  ; Ag ; VF ; 16 ; Участник № 147 ; 9000 
 17 ; Полтина (Ильин-3р) ; 1738 ; СПБ ; Ag ; VF- ; 59 ; 00500 ; 15697 
 18 ; Рубль ; 1739 ;  ; Ag ; AU, красив ; 33 ; Участник № 59 ; 90000 
 19 ; Рубль ; 1743 ; СПБ ; Ag ; VF- ; 33 ; 156264 ; 9294 
 20 ; Полтина (Петров-4р) ; 1743 ; ММД ; Ag ; VF- ; 29 ; Участник № 1362 ; 9500 
 21 ; Рубль ; 1744 ; СПБ ; Ag ; AU ; 36 ; kor ; 32642 
 22 ; Гривенник ; 1746 ;  ; Ag ; VF-XF ; 20 ; maka ; 3060 
 23 ; Полтина (Петров-7р, Ильин-8р) ; 1747 ; ММД ; Ag ; VF+ ; 42 ; Участник № 2 ; 42000 
 24 ; Полуполтинник ; 1747 ; ММД ; Ag ; VF+ ; 26 ; Участник № 51 ; 3600 
 25 ; Гривенник ; 1747 ;  ; Ag ; XF+ ; 28 ; Участник № 636 ; 4800 
 26 ; Гривенник ; 1748 ;  ; Ag ; AU ; 20 ; Участник № 636 ; 10500 
 27 ; Рубль ; 1749 ; СПБ ; Ag ; VF-XF ; 16 ; maka ; 17850 
 28 ; Рубль (Петров-3р) ; 1750 ; ММД ; Ag ; VF-XF ; 48 ; serg2010 ; 11486 
 29 ; Рубль ; 1751 ; СПБ ; Ag ; VF+ ; 32 ; 156264 ; 12198 
 30 ; Рубль (Петров-3р) ; 1751 ; СПБ IM ; Ag ; XF ; 28 ; maka ; 37740 
 31 ; Рубль (Петров-3,5р) ; 1752 ; ММД Е ; Ag ; AU ; 56 ; maka ; 56100 
 32 ; Рубль (Петров-3р) ; 1753 ; СПБ ЯI ; Ag ; VF-XF ; 28 ; нумизмат ; 18870 
 33 ; Рубль ; 1754 ; ММД МБ ; Ag ; VF+ ; 51 ; leo 2 ; 20400 
 34 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; XF- ; 34 ; нафаня ; 21420 
 35 ; Рубль (Петров-3р) ; 1755 ; СПБ IM BS ; Ag ; VF-XF ; 28 ; 156264 ; 18000 
 36 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; XF/XF+ ; 35 ; Senjor ; 45555 
 37 ; Копейка ; 1755 ; СПБ ; Cu ; VF- ; 33 ; Участник № 51 ; 6800 
 38 ; Рубль (Петров-3р) ; 1756 ; СПБ IM BS ; Ag ; XF ; 35 ; fikus ; 34000 
 39 ; Рубль (Петров-4р) ; 1756 ; СПБ ЯI BS ; Ag ; XF ; 30 ; Участник № 51 ; 31000 
 40 ; Полуполтинник ; 1756 ; ММД МБ ; Ag ; AU ; 62 ; Senjor ; 25500 
 41 ; Копейка (Петров-2р, Ильин-1р) ; 1756 ;  ; Cu ; VF- ; 24 ; Участник № 1362 ; 9000 
 42 ; Рубль (Петров-3,5р) ; 1757 ; СПБ IM BS ; Ag ; XF+ ; 43 ; Участник № 51 ; 51000 
 43 ; 2 копейки ; 1758 ; Гурт надп. Екатер. ; Cu ; VF+ ; 25 ; kol ; 6273 
 44 ; 2 копейки (Петров-10р, Ильин-5р) ; 1760 ;  ; Cu ; F+ ; 21 ; overshtag ; 6122 
 45 ; 5 копеек ; 1761 ; СПБ ; Ag ; VF-XF ; 18 ; ААФ ; 3978 
 46 ; 5 копеек ; 1761 ;  ; Cu ; VF ; 8 ; Участник № 1495 ; 2200 
 47 ; 2 копейки ; 1761 ;  ; Cu ; VF+ ; 16 ; Участник № 636 ; 2400 
 48 ; Рубль ; 1762 ; ММД ДМ ; Ag ; AU ; 43 ; kor ; 187239 
 49 ; Рубль ; 1762 ; СПБ НК ; Ag ; VF- ; 55 ; Участник № 1362 ; 36000 
 50 ; 4 копейки ; 1762 ;  ; Cu ; VF- ; 38 ; 156264 ; 7650 
