 5644 ; Акция. США ;  ;  ;  ;  ; 6 ; магаз ; 69 
 3868 ; 2 евро. Германия. 50 лет Римскому договору ; 2007 ;  ; Би/м ; XF ; 15 ; SKeeper ; 155 
 3869 ; 2 евро. Австрия. 200 лет Национальному банку ; 2016 ;  ; Би/м ; XF+ ; 10 ; Матроскин ; 135 
 3870 ; 2 евро. Португалия. 10 лет Экономическому и валютному союзу ; 2009 ;  ; Би/м ; XF ; 11 ; salim ; 173 
 3871 ; 2 евро. Литва Балтийская культура ; 2016 ;  ; Би/м ; XF+ ; 8 ; SKeeper ; 144 
 3872 ; 2 евро. Финляндия. 90 лет независимости ; 2007 ;  ; Би/м ; XF- ; 11 ; vasek ; 163 
 3873 ; 2 евро. Финляндия. Георг Генри Райт ; 2016 ;  ; Би/м ; XF ; 11 ; кот баюн ; 167 
 3874 ; 2 евро. Финляндия. Эйно Лейно ; 2016 ;  ; Би/м ; XF ; 15 ; vasek ; 155 
 3875 ; 2 евро. Эстония. Пауль Керес ; 2016 ;  ; Би/м ; AU ; 19 ; vasek ; 155 
 3876 ; 2 евро. Италия. Конституция ; 2005 ;  ; Би/м ; VF+ ; 8 ; Матроскин ; 124 
 3877 ; 2 евро. Литва. 30 лет Европейскому Флагу ; 2015 ;  ; Би/м ; AU ; 10 ; Shurmon ; 213 
 3878 ; 2 евро. Латвия. 30 лет Европейскому Флагу ; 2015 ;  ; Би/м ; AU ; 12 ; Shurmon ; 223 
 3879 ; 2 евро. Австрия. 30 лет Европейскому Флагу ; 2015 ;  ; Би/м ; AU ; 8 ; Shurmon ; 175 
 3880 ; 2 евро. Испания. 30 лет Европейскому Флагу ; 2015 ;  ; Би/м ; AU ; 11 ; Shurmon ; 185 
 3881 ; 2 евро. Словакия. 30 лет Европейскому Флагу ; 2015 ;  ; Би/м ; AU ; 9 ; Shurmon ; 190 
 3882 ; 2 евро. Италия. 30 лет Европейскому Флагу ; 2015 ;  ; Би/м ; AU ; 7 ; Shurmon ; 182 
 3883 ; 2 евро. Франция. 30 лет Европейскому Флагу ; 2015 ;  ; Би/м ; AU ; 6 ; Shurmon ; 184 
 3884 ; 2 евро. Нидерланды. 30 лет Европейскому Флагу ; 2015 ;  ; Би/м ; AU ; 13 ; Shurmon ; 228 
 3885 ; 2 евро. Люксембург. 30 лет Европейскому Флагу ; 2015 ;  ; Би/м ; AU ; 6 ; Shurmon ; 182 
 3886 ; 2 евро. Португалия. 30 лет Европейскому Флагу ; 2015 ;  ; Би/м ; AU ; 11 ; Shurmon ; 198 
 3887 ; 2 евро. Ирландия. 30 лет Европейскому Флагу ; 2015 ;  ; Би/м ; XF ; 7 ; Shurmon ; 203 
 3888 ; 2 евро. Финляндия. 30 лет Европейскому Флагу ; 2015 ;  ; Би/м ; AU ; 17 ; кот баюн ; 171 
 3889 ; 2 евро. Португалия. 25 апреля ; 2016 ;  ; Би/м ; AU ; 13 ; bcg ; 181 
 3890 ; 2 евро. Эстония. 100 лет со дня рождения Пауля Кереса ; 2016 ;  ; Би/м ; AU ; 13 ; t_v_v ; 155 
 3891 ; 2 евро. Франция. Франсуа Миттеран ; 2016 ;  ; Би/м ; AU ; 10 ; t_v_v ; 148 
 3892 ; 2 евро. Франция. УЕФА ; 2016 ;  ; Би/м ; AU ; 31 ; Margites ; 273 
 3893 ; 2 евро. Испания. Овьедо ; 2017 ;  ; Би/м ; AU ; 7 ; BSR ; 210 
 3894 ; 2 евро. Испания. Сеговия ; 2016 ;  ; Би/м ; AU ; 11 ; Vanka ; 167 
 3895 ; 2 евро. Франция. 100 лет со дня смерти Огюста Родена ; 2017 ;  ; Би/м ; AU ; 14 ; dsp ; 192 
 3896 ; 2 евро. Люксембург. 50 лет формирования армии Люксембурга на добровольной основе ; 2017 ;  ; Би/м ; AU ; 21 ; BSR ; 500 
 3897 ; 2 евро. Люксембург. Мост Шарлотты ; 2016 ;  ; Би/м ; AU ; 14 ; bcg ; 179 
 3898 ; 2 евро. Австрия. 200 лет Национальному банку ; 2016 ;  ; Би/м ; AU ; 9 ; Gagarin ; 138 
 3899 ; 2 евро. Португалия. Олимпиада 2016 года в Рио-де-Данейро ; 2016 ;  ; Би/м ; AU ; 8 ; susanin L ; 182 
 3900 ; 2 евро. Италия. Донателло ; 2016 ;  ; Би/м ; AU ; 9 ; наташа2712 ; 182 
 3901 ; 2 евро. Италия. Плавт ; 2016 ;  ; Би/м ; AU ; 7 ; наташа2712 ; 190 
 3902 ; 2 евро. Италия. ЭКСПО 2015 ; 2015 ;  ; Би/м ; AU ; 7 ; t_v_v ; 179 
 3903 ; 2 евро. Италия. Верди ; 2013 ;  ; Би/м ; AU ; 10 ; Gagarin ; 141 
 3904 ; 2 евро. Италия. Галилей ; 2014 ;  ; Би/м ; AU ; 9 ; t_v_v ; 144 
 3905 ; 2 евро. Италия. Карабинеры ; 2014 ;  ; Би/м ; AU ; 15 ; Gagarin ; 142 
 3906 ; 2 евро. Италия. Турин ; 2006 ;  ; Би/м ; AU ; 13 ; Матроскин ; 136 
 3907 ; 2 евро. Италия. Кавур ; 2010 ;  ; Би/м ; AU ; 7 ; peterson1000 ; 121 
 3908 ; 2 евро. Италия. Джованни Боккаччо ; 2013 ;  ; Би/м ; AU ; 17 ; bcg ; 155 
 3909 ; 2 евро. Германия. Саксония ; 2016D ;  ; Би/м ; AU ; 8 ; SKeeper ; 133 
 3910 ; 2 евро. Германия. Саксония ; 2016F ;  ; Би/м ; AU ; 7 ; pref ; 128 
 3911 ; 2 евро. Германия. Саксония ; 2016J ;  ; Би/м ; AU ; 6 ; pref ; 123 
 3912 ; 2 евро. Германия. Саксония ; 2016A ;  ; Би/м ; AU ; 6 ; pref ; 122 
 3913 ; 2 евро. Германия. Саксония ; 2016G ;  ; Би/м ; AU ; 6 ; sia.beauty ; 123 
 3814 ; 1 франк. Бельгия ; 1922 ;  ; Cu-Ni ; VF+ ; 5 ; Maksss163 ; 22 
 3815 ; 25 центов. Канада ; 1972 ;  ; Cu-Ni ; XF ; 9 ; Maksss163 ; 24 
 3816 ; 10 эре. Норвегия ; 1926 ;  ; Cu-Ni ; VF ; 15 ; chief com ; 21 
 3817 ; 50 сенти. Эстония ; 1936 ;  ; Ni/Br ; VF- ; 18 ; ВЕПРЬ ; 344 
 3818 ; 10 аурар. Исландия ; 1974 ;  ; Al ; XF ; 5 ; Maksss163 ; 13 
 3819 ; 25 сантимов Бельгия ; 1942 ;  ; Zn ; VF- ; 20 ; бортик ; 21 
 3820 ; 10 юаней. Китай. Год обезьяны ; 2016 ;  ; би/м ; AU ; 15 ; SKeeper ; 197 
 3821 ; 10 юаней. Китай. Год петуха ; 2017 ;  ; би/м ; AU ; 9 ; torbey ; 273 
 3822 ; 2 евро. Франция. Роден ; 2017 ;  ; би/м ; AU ; 12 ; Margites ; 184 
 3823 ; 2 евро. Словения. 10 лет в ЕС ; 2017 ;  ; би/м ; AU ; 11 ; Vanka ; 172 
 3824 ; 2 гривны. Украина. 350 лет Львовскому национальному университету имени Ивана Франко ; 2011 ;  ; Cu-Ni ; AU ; 14 ; El dinero ; 130 
 3825 ; 2 гривны. Украина. Ковыль украинский ; 2010 ;  ; Cu-Ni ; AU ; 16 ; 333985 ; 174 
 3826 ; 2 гривны. Украина. Богдан-Игор Антонич ; 2009 ;  ; Cu-Ni ; AU ; 12 ; El dinero ; 130 
 3827 ; 2 гривны. Украина.  200 лет Львовскому торгово-экономическому университету ; 2016 ;  ; Cu-Ni ; AU ; 11 ; El dinero ; 129 
 3828 ; 2 гривны. Украина. Чемпионат мира по футболу ; 2004 ;  ; Cu-Ni ; XF+ ; 7 ; El dinero ; 255 
 3829 ; 5 гривен. Украина. 150 лет со дня смерти Тараса Шевченко ; 2011 ;  ; Cu-Ni ; XF+ ; 21 ; страус ; 309 
 3830 ; 5 гривен. Украина. 70 лет освобождения Мелитополя ; 2013 ;  ; Cu-Ni ; AU ; 16 ; El dinero ; 253 
 3831 ; 5 гривен. Украина. Гопак ; 2011 ;  ; Cu-Ni ; AU ; 28 ; El dinero ; 253 
 3832 ; 5 гривен. Украина. 770 лет Корсунь-Шевченковской битве ; 2014 ;  ; Cu-Ni ; AU ; 15 ; El dinero ; 253 
 3833 ; 5 гривен. Украина. 1800 лет Судак ; 2012 ;  ; Cu-Ni ; AU ; 19 ; Valera G ; 326 
 3834 ; 5 гривен. Украина. 50-летию основания Национальной премии Украины имени Тараса Шевченко ; 2011 ;  ; Cu-Ni ; AU ; 8 ; 333985 ; 163 
 3835 ; 5 гривен. Украина. Тернополь ; 2015 ;  ; Cu-Ni ; AU ; 7 ; 333985 ; 153 
 3836 ; 5 гривен. Украина. Ткачиха ; 2010 ;  ; Cu-Ni ; AU ; 15 ; Valera G ; 203 
 3837 ; 5 гривен. Украина. 1100 лет Переяслав-Хмельницкий ; 2007 ;  ; Cu-Ni ; AU ; 13 ; El dinero ; 248 
 3838 ; 5 гривен. Украина. Конный трамвай ; 2016 ;  ; Cu-Ni ; AU ; 20 ; Ceregga ; 203 
 3839 ; 5 гривен. Украина. Древний Дрогобич ; 2016 ;  ; Cu-Ni ; AU ; 13 ; магаз ; 247 
 3840 ; 50 сантимов. Франция ; 1927 ;  ; Al/Br ; VF ; 3 ; Lig ; 25 
 3841 ; 5 франков. Французская Африка ; 1956 ;  ; Al/Br ; VF+ ; 5 ; fadeev.dima ; 102 
 3842 ; 2 злотых. Польша ; 1936 ;  ; Ag ; XF- ; 25 ; [Nik] ; 723 
 3843 ; 3 пенса. Нигерия ; 1959 ;  ; Al/Br ; XF- ; 13 ; ВЕПРЬ ; 101 
 3844 ; 1 рубль. Беларусь. Слуцкие пояса. Костюм шляхтича ; 2013 ;  ; Cu-Ni ; Proof ; 36 ; нехочуха ; 561 
 3845 ; 1 рубль. Беларусь. Биатлон ; 2016 ;  ; Cu-Ni ; Proof ; 50 ; Vol4en0k ; 806 
 3846 ; 1 рубль. Беларусь. 1025 лет Крещения Руси ; 2013 ;  ; Cu-Ni ; Proof ; 25 ; wwi.i ; 621 
 3847 ; 1 гульден. Нидерландские Антилы ; 1971 ;  ; Ni ; XF- ; 6 ; кот баюн ; 34 
 3848 ; 500 марок. Веймар ; 1923A ;  ; Al ; VF ; 19 ; franklin ; 44 
 3849 ; 1 лира. Италия ; 1923 ;  ; Ni ; VF ; 15 ; Хаа ; 458 
 3850 ; 50 чентезими. Италия ; 1920 ;  ; Ni ; VF- ; 23 ; fadeev.dima ; 115 
 3851 ; 50 центов. Малайя и Британское Борнео ; 1954 ;  ; Cu-Ni ; VF+ ; 25 ; Andy M ; 206 
 3852 ; 50 центов. Малайя и Британское Борнео ; 1954 ;  ; Cu-Ni ; VF+ ; 16 ; Andy M ; 164 
 3853 ; 50 центов. Малайя и Британское Борнео ; 1961 ;  ; Cu-Ni ; XF ; 21 ; Andy M ; 211 
 3854 ; 20 центов. Малайя и Британское Борнео ; 1961 ;  ; Cu-Ni ; XF ; 19 ; Andy M ; 143 
 3855 ; 20 центов. Малайя и Британское Борнео ; 1961 ;  ; Cu-Ni ; XF ; 19 ; batuke ; 203 
 3856 ; 20 центов. Малайя ; 1948 ;  ; Cu-Ni ; VF ; 13 ; бортик ; 57 
 3857 ; 10 центов. Малайя и Британское Борнео ; 1961 ;  ; Cu-Ni ; XF- ; 13 ; Andy M ; 54 
 3858 ; 10 центов. Малайя и Британское Борнео ; 1961 ;  ; Cu-Ni ; XF ; 11 ; Andy M ; 72 
 3859 ; 5 центов. Малайя и Британское Борнео ; 1958 ;  ; Cu-Ni ; F+ ; 7 ; Maksss163 ; 22 
 3860 ; 5 центов. Малайя и Британское Борнео ; 1961 ;  ; Cu-Ni ; XF+ ; 16 ; Andy M ; 72 
 3861 ; 20 сантими. Латвия ; 1922 ;  ; Ni ; VF ; 18 ; orex ; 87 
 3862 ; 100 рупий. Индонезия ; 1978 ;  ; Cu-Ni ; XF ; 6 ; калинов мост ; 23 
 3863 ; 5 цент. Канада ; 1947 ;  ; Ni ; VF ; 7 ; кот баюн ; 25 
 3764 ; 2 кроны. Швеция ; 1950 ;  ; Ag ; XF+ ; 18 ; electra ; 340 
 3765 ; 1 марка. Финляндия ; 1965 ;  ; Ag ; XF- ; 21 ; [Nik] ; 102 
 3766 ; 50 сентимов. Коста-Рика ; 1975 ;  ; Cu-Ni ; VF ; 25 ; Moryak ; 91 
 3767 ; 10 центов. ЮАР ; 1976 ;  ; Cu-Ni ; XF ; 17 ; DVZ ; 90 
 3768 ; 10 раппен. Швейцария ; 1980 ;  ; Cu-Ni ; XF ; 32 ; русман ; 79 
 3769 ; 3 пенса. Великобритания ; 1962 ;  ; Ni-Br ; VF ; 8 ; ijod82 ; 12 
 3770 ; 20 сантимов. Франция ; 1967 ;  ; Al/Br ; XF ; 6 ; ijod82 ; 12 
 3771 ; 1 мил. Кипр ; 1963 ;  ; Al ; VF+ ; 17 ; бортик ; 78 
 3772 ; 25 центов. Канада ; 1960 ;  ; Cu-Ni ; VF ; 14 ; zx123 ; 99 
 3773 ; 1 лей. Румыния ; 1912 ;  ; Ag ; F- ; 29 ; митяй ; 305 
 3774 ; 1000 песо. Колумбия ; 2013 ;  ; Би/м ; AU ; 21 ; t_v_v ; 90 
 3775 ; 5 песо. Мексика. 100 лет Революции ; 2008 ;  ; Би/м ; XF ; 26 ; t_v_v ; 86 
 3776 ; 5 песо. Мексика. 100 лет Революции ; 2009 ;  ; Би/м ; XF ; 21 ; spiritusvini ; 132 
 3777 ; 5 песо. Мексика. 100 лет Революции ; 2010 ;  ; Би/м ; AU ; 29 ; spiritusvini ; 123 
 3778 ; 5 песо. Мексика. 100 лет Революции ; 2009 ;  ; Би/м ; XF+ ; 20 ; spiritusvini ; 133 
 3779 ; 10 песо. Мексика. ; 2014 ;  ; Би/м ; XF ; 21 ; canario ; 115 
 3780 ; 2 кроны. Исландия ; 1963 ;  ; Al/Br ; XF ; 17 ; alehandr ; 69 
 3781 ; 1 крона. Эстония ; 1934 ;  ; Al/Br ; XF ; 15 ; El dinero ; 500 
 3782 ; 5 марок. Финляндия ; 1948 ;  ; Al/Br ; XF ; 12 ; SKeeper ; 26 
 3783 ; 5 марок. Финляндия ; 1939 ;  ; Al/Br ; XF ; 13 ; qver ; 114 
 3784 ; 10 пфеннигов. Веймар ; 1924J ;  ; Al/Br ; VF- ; 10 ; Метро62 ; 102 
 3785 ; 20 крон. Чехословакия ; 1997 ;  ; Al/Br ; XF+ ; 15 ; SKeeper ; 30 
 3786 ; 20 марок. Финляндия ; 1938 ;  ; Al/Br ; VF+ ; 27 ; luchano ; 179 
 3787 ; 50 аурар. Исландия ; 1969 ;  ; Al/Br ; XF+ ; 11 ; Jeff ; 25 
 3788 ; 5 евро. Финляндия ; 2013 ;  ; Би/м ; AU ; 13 ; sibirian ; 327 
 3789 ; 5 евро. Финляндия ; 2010 ;  ; Би/м ; AU ; 12 ; sibirian ; 327 
 3790 ; 5 евро. Финляндия ; 2013 ;  ; Би/м ; XF+ ; 10 ; sibirian ; 320 
 3791 ; 2 евро. Германия. Бремен ; 2010 ;  ; Би/м ; VF+ ; 10 ; vasek ; 153 
 3792 ; 2 евро. Эстония. 10 лет ЕВРО ; 2012 ;  ; Би/м ; VF+ ; 10 ; Матроскин ; 134 
 3793 ; 2 евро. Германия. 50 лет Римскому договору ; 2007 ;  ; Би/м ; VF+ ; 10 ; vasek ; 148 
 3794 ; 2 евро. Германия. Нижняя Саксония ; 2014 ;  ; Би/м ; XF+ ; 8 ; sibirian ; 128 
 3795 ; 2 евро. Германия. Рейнланд-Пфальц ; 2017 ;  ; Би/м ; AU ; 11 ; bcg ; 140 
 3796 ; 5 сенти. Эстония ; 1931 ;  ; Br ; VF+ ; 37 ; dmivanych ; 104 
 3797 ; 1/2 пенни. Великобритания ; 1950 ;  ; Br ; VF ; 19 ; [Nik] ; 55 
 3798 ; 1 цент Канада ; 1968 ;  ; Br ; AU ; 10 ; 100924 ; 21 
 3799 ; 2 сенти. Эстония ; 1934 ;  ; Br ; VF ; 18 ; orex ; 83 
 3800 ; 1 пенни. Финляндия ; 1920 ;  ; Br ; XF ; 24 ; flutter ; 38 
 3801 ; 5 марок. Финляндия ; 1947 ;  ; Al/Br ; VF+ ; 10 ; alex2016 ; 25 
 3802 ; 50 крон. Чехословакия ; 1993 ;  ; Br ; XF ; 3 ; Maksss163 ; 24 
 3803 ; 5 эре. Дания ; 1926 ;  ; Br ; VF ; 4 ; [Nik] ; 25 
 3804 ; 1 цент. США ; 1925 ;  ; Br ; F ; 5 ; жора ; 51 
 3805 ; 1 пфенниг. Германия ; 1939E ;  ; Br ; VF+ ; 30 ; Метро62 ; 206 
 3806 ; 1 пфенниг. Германия ; 1937A ;  ; Br ; VF ; 15 ; варяг42 ; 58 
 3807 ; 1 пфенниг. Веймар ; 1935A ;  ; Br ; VF ; 16 ; варяг42 ; 32 
 3808 ; 1 пфенниг. Германия ; 1819 ;  ; Br ; F+ ; 48 ; taa ; 251 
 3809 ; 1 цент. Нидерландские Антиллы ; 1973 ;  ; Br ; XF ; 7 ; Maksss163 ; 24 
 3810 ; 1 цент. США ; 1959 ;  ; Br ; XF+ ; 20 ; heavy_fly ; 51 
 3811 ; 1 марка. ФРГ ; 1950J ;  ; Cu-Ni ; VF ; 13 ; птичка16 ; 30 
 3812 ; 50 песет. Испания ; 1957 ;  ; Cu-Ni ; VF+ ; 11 ; ijod82 ; 12 
 3813 ; 1 шиллинг. Сомали ; 1966 ;  ; Cu-Ni ; VF ; 7 ; fadeev.dima ; 67 
 3714 ; 2 евро. Греция. 400 лет со дня смерти Эль Греко ; 2014 ;  ; би/м ; XF- ; 14 ; vasek ; 155 
 3715 ; 50 центов. Стрейтс-Сетлментс ; 1920 ;  ; Ag ; F-VF ; 33 ; Энтерпрайз ; 580 
 3716 ; 20 сентаво. Куба ; 1915 ;  ; Ag ; VF ; 22 ; sveta6369 ; 363 
 3717 ; 50 центов. Канада ; 1960 ;  ; Ag ; XF ; 18 ; Энтерпрайз ; 402 
 3718 ; 10 эскудо. Португальский Тимор ; 1964 ;  ; Ag ; VF ; 19 ; S1952 ; 471 
 3719 ; 1 шиллинг. Великобритания ; 1899 ;  ; Ag ; F-VF ; 16 ; baik25 ; 1002 
 3720 ; 1 шиллинг. Великобритания ; 1819 ;  ; Ag ; VF+ ; 52 ; unicorn ; 3064 
 3721 ; 50 сантимов. Франция ; 1873A ;  ; Ag ; F-VF ; 29 ; zx123 ; 604 
 3722 ; 4-1/2 пиастра. Кипр ; 1901 ;  ; Ag ; F ; 40 ; Jeff ; 794 
 3723 ; 10 центов. Стрейтс-Сетлментс ; 1899 ;  ; Ag ; VF- ; 17 ; mr.gold ; 579 
 3724 ; 20 центов. Стрейтс-Сетлментс ; 1885 ;  ; Ag ; F-VF ; 19 ; mr.gold ; 1157 
 3725 ; 10 центов. Гон-Конг ; 1887 ;  ; Ag ; F+ ; 15 ; msgmit ; 255 
 3726 ; 1/10 гульдена. Нидерландская Индия ; 1942 ;  ; Ag ; XF+ ; 12 ; Энтерпрайз ; 159 
 3727 ; 5 марок. ГДР, Мейсен ; 1972 ;  ; Cu-Ni ; XF ; 18 ; птичка16 ; 84 
 3728 ; 20 лепта. Греция ; 1894 ;  ; Cu-Ni ; VF ; 16 ; moreman ; 147 
 3729 ; 10 сен. Япония ;  ;  ; Cu-Ni ; VF ; 17 ; chief com ; 77 
 3730 ; 1 фунт. Великобритания ; 1993 ;  ; Латунь ; VF ; 12 ; кот баюн ; 93 
 3731 ; 50 тенге. Казахстан ; 2013 ;  ; Cu-Ni ; XF ; 36 ; ВВЛ ; 136 
 3732 ; 50 тенге. Казахстан ; 2015 ;  ; Cu-Ni ; XF ; 12 ; VVX ; 70 
 3733 ; 50 тенге. Казахстан ; 2015 ;  ; Cu-Ni ; XF ; 11 ; VVX ; 66 
 3734 ; 1/12 анны. Индия ; 1910 ;  ; Br ; F ; 15 ; лексан 98 ; 61 
 3735 ; Фартинг. Великобритания ; 1948 ;  ; Br ; AU ; 11 ; Икстаб ; 57 
 3736 ; Фартинг. Великобритания ; 1886 ;  ; Br ; F+ ; 15 ; жора ; 227 
 3737 ; Фартинг. Великобритания ; 1822 ;  ; Br ; F ; 15 ; жора ; 453 
 3738 ; 5 центов. Северное Борнео ; 1903 ;  ; Cu-Ni ; F ; 27 ; spiritusvini ; 306 
 3739 ; 1 пенни. ЮАР ; 1942 ;  ; Br ; VF ; 25 ; sibirian ; 61 
 3740 ; 2 цента. Соломоновы острова ; 2005 ;  ; Br ; XF+ ; 7 ; Jeff ; 46 
 3741 ; 1 цент. Каймановы острова ; 2008 ;  ; Br ; XF+ ; 7 ; птичка16 ; 70 
 3742 ; 1 доллар. США. Вашингтон ; 2007D ;  ; Cu-Ni-Zn ; XF ; 26 ; ialaiola ; 107 
 3743 ; 1 доллар. США. Гарфилд ; 2011P ;  ; Cu-Ni-Zn ; XF+ ; 19 ; Матроскин ; 121 
 3744 ; 1 доллар. США. Джексон ; 2008P ;  ; Cu-Ni-Zn ; XF+ ; 17 ; ialaiola ; 110 
 3745 ; 1 доллар. Острова Кука ; 2010 ;  ; Би/м ; AU ; 18 ; ЂÀмЂҰ ; 357 
 3746 ; 20 пенсов. Острова Кука ; 2008 ;  ; Латунь ; XF ; 5 ; teso ; 67 
 3747 ; 1 доллар. Австралия. Стрекоза ; 2010 ;  ; Латунь ; XF/AU ; 54 ; bcg ; 455 
 3748 ; 5 долларов. Австралия. Олимпиада ; 2000 ;  ; Латунь ; XF+ ; 27 ; Snork ; 473 
 3749 ; 5 центов. Канада ; 1917 ;  ; Ag ; VF ; 21 ; porte33 ; 227 
 3750 ; 3 пенса. ЮАР ; 1949 ;  ; Ag ; VF- ; 7 ; лексан 98 ; 61 
 3751 ; 1 пфенниг. Германия ; 1908А ;  ; Cu ; F- ; 15 ; варяг42 ; 53 
 3752 ; 10 эре. Норвегия ; 1872 ;  ; Ag ; VF+ ; 34 ; Alexdav ; 3017 
 3753 ; 1 рубль. Белоруссия. Птица года ; 2008 ;  ; Cu-Ni ; Proof ; 28 ; Sandello ; 605 
 3754 ; 1 рубль. Белоруссия. Птица года ; 2013 ;  ; Cu-Ni ; Proof ; 19 ; птичка16 ; 500 
 3755 ; 1 рубль. Белоруссия. Птица года ; 2012 ;  ; Cu-Ni ; Proof ; 90 ; Vol4en0k ; 2120 
 3756 ; 1 рубль. Белоруссия. Птица года ; 2010 ;  ; Cu-Ni ; Proof ; 38 ; Vol4en0k ; 1253 
 3757 ; 1 рубль. Белоруссия. Птица года ; 2009 ;  ; Cu-Ni ; Proof ; 30 ; Икстаб ; 521 
 3758 ; 1 рубль. Белоруссия. Птица года ; 2014 ;  ; Cu-Ni ; Proof ; 22 ; птичка16 ; 500 
 3759 ; 10 рублей. Белоруссия. Птица года ; 2007 ;  ; Ag ; Proof ; 58 ; Vol4en0k ; 1655 
 3760 ; 1 рубль. Белоруссия. Белый аист ; 2009 ;  ; Cu-Ni ; Proof ; 20 ; Victory-2001 ; 614 
 3761 ; 1 рубль. Белоруссия. Альманские болота. Бородатая кугакаука ; 2005 ;  ; Cu-Ni ; Proof ; 45 ; Vol4en0k ; 1253 
 3762 ; 1 рубль. Белоруссия. Обычный зимородок ; 2008 ;  ; Cu-Ni ; Proof ; 33 ; нехочуха ; 556 
 3763 ; 2 кроны. Швеция ; 1939 ;  ; Ag ; XF- ; 52 ; [Nik] ; 665 
 3664 ; 2 евро. Германия. Бремен ; 2013 ;  ; Би/м ; XF+ ; 15 ; SKeeper ; 151 
 3665 ; 2 евро. Австрия. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF+ ; 11 ; Shurmon ; 167 
 3666 ; 1 доллар. США. Сакагавеа ; 2000 ;  ; Cu-Ni-Zn ; AU ; 24 ; bcg ; 97 
 3667 ; 10 евро. Германия. Братья Гримм ; 2012 ;  ; Cu-Ni ; AU ; 25 ; SKeeper ; 608 
 3668 ; 10 евро. Германия. Братья Гримм ; 2014 ;  ; Cu-Ni ; AU ; 21 ; SKeeper ; 809 
 3669 ; 10 евро. Германия 600 лет ; 2014 ;  ; Cu-Ni ; AU ; 11 ; Georgg1 ; 876 
 3670 ; 10 евро. Германия. Шадоу ; 2014 ;  ; Cu-Ni ; AU ; 13 ; SKeeper ; 793 
 3671 ; 10 евро. Германия. Фридрих III ; 2012 ;  ; Cu-Ni ; AU ; 10 ; кс ; 601 
 3672 ; 10 евро. Германия 125 лет автомобилю ; 2011 ;  ; Cu-Ni ; AU ; 12 ; кс ; 601 
 3673 ; 10 евро. Германия. Фридрих III ; 2012 ;  ; Cu-Ni ; AU ; 11 ; Holder31 ; 617 
 3674 ; 1/2 доллара. США ; 2011D ;  ; Cu-Ni ; XF ; 16 ; жора ; 67 
 3675 ; 1/2 доллара. США ; 2011P ;  ; Cu-Ni ; AU ; 14 ; sibirian ; 58 
 3676 ; 1 доллар. США ; 1979 ;  ; Cu-Ni ; XF ; 14 ; ВЕПРЬ ; 87 
 3677 ; 1/4 доллара. США ; 1976 ;  ; Cu-Ni ; XF- ; 10 ; [Nik] ; 21 
 3678 ; 10 хеллеров. Австрия ; 1915 ;  ; Cu-Ni ; VF ; 9 ; Мобик ; 15 
 3679 ; 10 гульденов. Нидерландские Антиллы ; 1978 ;  ; Ag ; XF ; 42 ; заяц побегаец ; 909 
 3680 ; 8 доблей. Гернси ; 1956 ;  ; Br ; XF ; 24 ; лексан 98 ; 101 
 3681 ; 1/12 шиллинга. Джерси ; 1966 ;  ; Br ; VF+ ; 19 ; andrry ; 60 
 3682 ; 1/10 пенни. Британская Западная Африка ; 1936 ;  ; Cu-Ni ; XF+ ; 27 ; chief com ; 129 
 3683 ; 1/10 пенни. Британская Западная Африка ; 1935 ;  ; Cu-Ni ; AU ; 19 ; Мобик ; 104 
 3684 ; 1 цент. Британская Восточная Африка ; 1924 ;  ; Br ; XF ; 21 ; chief com ; 82 
 3685 ; 1 пенни. Великобритания ; 2016 ;  ; Cu ; UNC ; 8 ; DJPurplexion ; 26 
 3686 ; 2 пенса. Великобритания ; 2016 ;  ; Cu ; UNC ; 19 ; DJPurplexion ; 42 
 3687 ; 5 пенсов. Великобритания ; 2016 ;  ; Ni-St ; UNC ; 5 ; сборщик ; 25 
 3688 ; 10 пенсов. Великобритания ; 2016 ;  ; Ni-St ; UNC ; 18 ; u10257 ; 68 
 3689 ; 20 пенсов. Великобритания ; 2016 ;  ; Cu-Ni ; UNC ; 16 ; ag58 ; 55 
 3690 ; 50 пенсов. Великобритания. Битва при Гастингсе ; 2016 ;  ; Cu-Ni ; XF+ ; 23 ; кот баюн ; 153 
 3691 ; 50 пенсов. Великобритания. Белка Наткин ; 2016 ;  ; Cu-Ni ; XF ; 17 ; кот баюн ; 153 
 3692 ; 50 пенсов. Великобритания. Ежиха Тигги Винкл ; 2016 ;  ; Cu-Ni ; XF ; 21 ; Jeff ; 184 
 3693 ; 50 пенсов. Великобритания. Беатрикс Поттер ; 2016 ;  ; Cu-Ni ; XF+ ; 10 ; jj ; 125 
 3694 ; 2 фунта. Великобритания. История Королевского флота. ПМВ ; 2015 ;  ; би/м ; XF+ ; 40 ; jj ; 337 
 3695 ; 50 филлеров. Венгрия ; 1953 ;  ; Al ; VF+ ; 44 ; Alexdav ; 203 
 3696 ; 50 сенти. Литва ; 1997 ;  ; Латунь ; XF- ; 13 ; спарта ; 32 
 3697 ; 15 менге. Монголия ;  ;  ; cu-Ni ; VF ; 58 ; Moryak ; 203 
 3698 ; 5 шиллингов. Танзания ; 1988 ;  ; Cu-Ni ; XF ; 53 ; Rodan Lewarx ; 101 
 3699 ; 10 злотых. Польша ; 1960 ;  ; Cu-Ni ; XF- ; 9 ; El dinero ; 67 
