 5879 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ewgen ; 18 
 3724 ; 10 пенсов. Гибралтар ; 1988 ;  ; Cu/Ni ; AU ; 16 ; AK-47 ; 41 
 3725 ; 10 пенсов. Остров Мен ; 1992 ;  ; Cu/Ni ; AU ; 30 ; AK-47 ; 57 
 3726 ; 10 пенсов. Джерси ; 1992 ;  ; Cu/Ni ; AU ; 6 ; локомотив ; 45 
 3727 ; 2 рупии. Шри Ланка. F.A.O. ; 1995 ;  ; Cu/Ni ; AU ; 25 ; тс20 ; 46 
 3728 ; 10 шиллингов. Сомалиленд ; 2002 ;  ; Al/Br ; AU ; 26 ; sedoy66 ; 62 
 3729 ; 10 шиллингов. Уганда ; 1987 ;  ; Ni/Fe ; AU ; 25 ; t_v_v ; 34 
 3730 ; 10 сене. Самоа ; 2011 ;  ; Ni/Fe ; AU ; 25 ; sedoy66 ; 55 
 3731 ; 25 центов. Канада ; 2011 ;  ; Ni/Fe ; AU ; 14 ; Legio ; 32 
 3732 ; 25 центов. Канада. Орел ; 2011 ;  ; Ni/Fe ; AU ; 13 ; Legio ; 33 
 3733 ; 1 эскудо. Кабо Верде ; 1994 ;  ; Латунь ; AU ; 18 ; AK-47 ; 84 
 3734 ; 25 франков. Мали. Лев ; 1961 ;  ; Al ; VF- ; 26 ; alskr ; 173 
 3735 ; 25 центов. Эфиопия ; 1936 ;  ; Br ; F-VF ; 7 ; ship-nik ; 57 
 3736 ; 5 центов. США ; 1908 ;  ; Cu-Ni ; F+ ; 5 ; asadovoy ; 41 
 3737 ; 1 эре. Швеция ; 1905 ;  ; Br ; VF+ ; 14 ; hf426 ; 57 
 3738 ; 1/2 франка. Швейцария ; 1963 ;  ; Ag ; XF ; 7 ; Lone Ranger ; 99 
 3739 ; 20 чентезимо. Италия ; 1922 ;  ; Cu-Ni ; VF ; 3 ; mefody73 ; 39 
 3740 ; 1000 лир. Италия ; 1997 ;  ; Би/м ; XF+ ; 13 ; hanim ; 57 
 3741 ; 6 пенсов. Австралия ; 1958 ;  ; Ag ; VF+ ; 10 ; Legio ; 156 
 3742 ; 1 крона. Австрия ; 1893 ;  ; Ag ; VF- ; 18 ; ursus ; 138 
 3743 ; 100 песет. Испания ; 1996 ;  ; Al/Br ; VF-XF ; 13 ; Legio ; 55 
 3744 ; 2 евро. Финляндия. Хелен Шерфбек ; 2012 ;  ; Би/м ; AU ; 17 ; sedoy66 ; 102 
 3745 ; 50 тенге. Казахстан ; 2012 ;  ; Cu-Ni ; AU ; 18 ; imago ; 63 
 3746 ; 1 сент. Эстония ; 1929 ;  ; Br ; VF ; 13 ; vesta78 ; 36 
 3747 ; 1 цент. Канада ; 1928 ;  ; Br ; VF+ ; 7 ; kergudu ; 34 
 3748 ; 10 лир. Сан Марино ; 1974 ;  ; Al ; AU ; 8 ; alskr ; 57 
 3749 ; 100 песет. Испания ; 1994 ;  ; Al/Br ; VF-XF ; 13 ; Legio ; 55 
 3750 ; 100 песет. Испания ; 1999 ;  ; Al/Br ; VF-XF ; 21 ; vesta78 ; 22 
 3651 ; 2 скиллинга. Швеция. Карл XIV ; 1835 ;  ; Cu ; VF ; 19 ; dsp ; 1022 
 3652 ; 2 раппен. Швейцария ; 1850 ;  ; Br ; XF- ; 31 ; Flagman ; 209 
 3653 ; 5 аурар. Исландия ; 1926 ;  ; Br ; XF ; 30 ; av ; 264 
 3654 ; Фартинг. Великобритания. Виктория ; 1885 ;  ; Br ; VF ; 23 ; krugerrand ; 261 
 3655 ; Фартинг. Великобритания. Виктория ; 1891 ;  ; Br ; VF+ ; 26 ; 8888 ; 255 
 3656 ; 3 африка. Центральная Африка. Габон ; 2005 ;  ; Би/м ; AU ; 40 ; vb96 ; 383 
 3657 ; 4 африка. Западная Африка. Гвинея-Биссау ; 2004 ;  ; Би/м ; AU ; 47 ; vb96 ; 386 
 3658 ; 4 африка. Западная Африка. Того ; 2003 ;  ; Би/м ; AU ; 57 ; LEXAI ; 666 
 3659 ; 4 африка. Западная Африка. Буркина-Фасо ; 2003 ;  ; Би/м ; AU ; 38 ; ракот ; 805 
 3660 ; 4 африка. Западная Африка. Сенегал ; 2006 ;  ; Би/м ; AU ; 29 ; LEXAI ; 925 
 3661 ; 2 африка. Западная Африка. Нигерия ; 2003 ;  ; латунь ; AU ; 33 ; krugerrand ; 372 
 3662 ; 2 африка. Западная Африка. Сенегал ; 2003 ;  ; латунь ; AU ; 48 ; sos1 ; 483 
 3663 ; 1 африка. Западная Африка. Камерун ; 2006 ;  ; Cu-Ni ; AU ; 49 ; krugerrand ; 270 
 3664 ; 1 африка. Западная Африка. Мали ; 2003 ;  ; Cu-Ni ; AU ; 29 ; Щука ; 276 
 3665 ; 1 африка. Центральная Африка. Экваториальная Гвинея ; 2005 ;  ; Cu-Ni ; AU ; 34 ; krugerrand ; 270 
 3666 ; 1 африка. Западная Африка. Кот-д’Ивуар ; 2003 ;  ; Cu-Ni ; AU ; 35 ; Tornado ; 276 
 3667 ; 10 франков. Остров Клиппертон ; 2011 ;  ; Cu-Ni ; AU ; 26 ; балбес ; 153 
 3668 ; 20 франков. Остров Клиппертон ; 2011 ;  ; Cu-Ni ; AU ; 33 ; spstudio ; 206 
 3669 ; 500 франков. Джибути ; 2010 ;  ; Латунь ; AU ; 31 ; mkm1968 ; 226 
 3670 ; 1 цент. Мексика ; 1906 ;  ; Br ; VF+ ; 9 ; Olegas ; 201 
 3671 ; 1 рубль. Беларусь. День независимости ; 1997 ;  ; Cu-Ni ; Proof ; 52 ; buynyi76 ; 364 
 3672 ; 1 рубль. Беларусь. Воложинская иешива ; 2010 ;  ; Cu-Ni ; Proof ; 38 ; AB ; 255 
 3673 ; 1 рубль. Беларусь. Лев Сапега ; 2010 ;  ; Cu-Ni ; Proof ; 44 ; buynyi76 ; 335 
 3674 ; 20 сенти. Эстония ; 1935 ;  ; Cu/Ni ; VF-XF ; 15 ; НЭРИ ; 112 
 3675 ; 25 сенти. Эстония ; 1928 ;  ; Cu/Ni ; XF- ; 19 ; Asa ; 638 
 3676 ; 5 сенти. Эстония ; 1931 ;  ; Br ; VF+ ; 16 ; vesta78 ; 45 
 3677 ; 10 сенти. Эстония ; 1931 ;  ; Cu/Ni ; VF ; 12 ; alehandr ; 33 
 3678 ; 1 сент. Эстония ; 1922 ;  ; Br ; VF-XF ; 19 ; dimon-2007 ; 57 
 3679 ; 2 сенти. Эстония ; 1934 ;  ; Br ; VF- ; 14 ; vesta78 ; 31 
 3680 ; 1 крона. Эстония ; 1934 ;  ; Al/Br ; VF+ ; 22 ; av45621 ; 215 
 3681 ; 1 сантим. Латвия ; 1935 ;  ; Br ; VF-XF ; 20 ; bondars ; 82 
 3682 ; 2 сантима. Латвия ; 1922 ;  ; Br ; VF ; 13 ; musik ; 62 
 3683 ; 2 сантима. Латвия ; 1939 ;  ; Br ; VF-XF ; 10 ; vesta78 ; 42 
 3684 ; 5 сантимов. Латвия ; 1922 ;  ; Br ; VF-XF ; 20 ; vicktor_2014 ; 79 
 3685 ; 5 сентов. Литва ; 1936 ;  ; Br ; XF- ; 23 ; vb96 ; 175 
 3686 ; 10 сенти. Литва ; 1925 ;  ; Al/Br ; VF ; 19 ; vesta78 ; 87 
 3687 ; 5 сенти. Литва ; 1925 ;  ; Al/Br ; VF- ; 3 ; Magger ; 44 
 3688 ; 1 сент. Литва ; 1936 ;  ; Br ; XF ; 13 ; комот ; 259 
 3689 ; 5 лат. Латвия ; 1929 ;  ; Ag ; XF+ ; 12 ; lelic ; 1024 
 3690 ; 2 лата. Латвия ; 1926 ;  ; Ag ; VF-XF ; 19 ; zef ; 290 
 3691 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF-XF ; 23 ; imi ; 159 
 3692 ; 10 лит. Литва. 20 лет Республике ; 1938 ;  ; Ag ; VF ; 19 ; jugla ; 1540 
 3693 ; 5 лит. Литва ; 1936 ;  ; Ag ; F-VF ; 16 ; priwet ; 309 
 3694 ; 10 лит. Литва. Витаутас Великий ; 1936 ;  ; Ag ; VF ; 9 ; priwet ; 838 
 3695 ; 5 лит. Литва ; 1925 ;  ; Ag ; VF+ ; 40 ; sotnik ; 490 
 3696 ; 1 лит. Литва ; 1925 ;  ; Ag ; VF+ ; 16 ; комот ; 204 
 3697 ; 2 лита. Литва ; 1925 ;  ; Ag ; VF ; 19 ; дед морос ; 204 
 3698 ; 2 кроны. Эстония. Крепость ; 1930 ;  ; Ag ; VF+ ; 21 ; buynyi76 ; 431 
 3699 ; 1 шиллинг. Великобритания ; 1939 ;  ; Ag ; VF+ ; 7 ; Legio ; 140 
 3700 ; 3 пенса. Великобритания ; 1861 ;  ; Ag ; VF- ; 16 ; ВЯЗЪ ; 204 
 3601 ; 1/4 доллара. США ; 1907 ;  ; Ag ; F-VF ; 23 ; Моряк-собиратель ; 501 
 3602 ; 1 шиллинг. Великобритания ; 1929 ;  ; Ag ; VF+ ; 23 ; vicktor_2014 ; 167 
 3603 ; 2 злотых. Польша. 65 лет Варшавскому восстанию в Гетто ; 2008 ;  ; Латунь ; AU ; 11 ; StarinaHenk ; 66 
 3604 ; 2 злотых. Польша. Генерал Станислав Мачек ; 2003 ;  ; Латунь ; AU ; 10 ; aziya11 ; 68 
 3605 ; 2 злотых. Польша. Художник Владислав Стржеминский ; 2009 ;  ; Латунь ; AU ; 7 ; brat52 ; 53 
 3606 ; 2 злотых. Польша. Экспо 2005. Япония ; 2005 ;  ; Латунь ; AU ; 10 ; aleksey-m2 ; 68 
 3607 ; 2 злотых. Польша. 25 лет смерти отца Папилюшко ; 2009 ;  ; Латунь ; AU ; 9 ; t_v_v ; 62 
 3608 ; 2 злотых. Польша. Олимпиада в Ванкувере ; 2010 ;  ; Латунь ; AU ; 15 ; t_v_v ; 63 
 3609 ; 2 злотых. Польша. Вступление Польши в ЕС ; 2004 ;  ; Латунь ; AU ; 11 ; СЁМА ; 73 
 3610 ; 2 злотых. Польша. 90 лет восстановлению независимости ; 2008 ;  ; Латунь ; AU ; 7 ; t_v_v ; 62 
 3611 ; 2 злотых. Польша. 40 лет событиям марта 1968г. ; 2008 ;  ; Латунь ; AU ; 6 ; Trien ; 120 
 3612 ; 2 злотых. Польша. Сибирские изгнания ; 2008 ;  ; Латунь ; AU ; 13 ; Trien ; 102 
 3613 ; 1 крона. Швеция ; 1967 ;  ; Ag ; VF-XF ; 20 ; 1999 ; 118 
 3614 ; 5 крон. Швеция ; 1972 ;  ; Cu/Ni ; VF+ ; 13 ; vesta78 ; 101 
 3615 ; 1 сентим. Андорра ; 2002 ;  ; St ; AU ; 17 ; sedoy66 ; 42 
 3616 ; 1 сентим. Андорра ; 2002 ;  ; St ; AU ; 22 ; sedoy66 ; 43 
 3617 ; 1 сентим. Андорра ; 2002 ;  ; St ; AU ; 26 ; jj ; 42 
 3618 ; 1 сентим. Андорра. ФАО ; 1999 ;  ; Al ; AU ; 20 ; AK-47 ; 39 
 3619 ; 5 сентимов. Андорра ; 2002 ;  ; Латунь ; XF+ ; 40 ; alskr ; 85 
 3620 ; 5 сентимов. Андорра ; 2002 ;  ; Латунь ; XF+ ; 33 ; zef ; 55 
 3621 ; 2 динера. Андорра ; 1988 ;  ; Cu-Ni ; AU ; 27 ; krugerrand ; 326 
 3622 ; 1 динер. Андорра ; 1988 ;  ; Cu-Ni ; AU ; 32 ; krugerrand ; 469 
 3623 ; 2 динера. Андорра ; 1986 ;  ; Латунь ; AU ; 25 ; bakal73 ; 261 
 3624 ; 2 сентима. Андорра ; 2002 ;  ; Латунь ; XF+ ; 31 ; sedoy66 ; 53 
 3625 ; 1 динер. Андорра ; 1986 ;  ; Латунь ; AU ; 33 ; krugerrand ; 514 
 3626 ; 25 сентимов. Андорра ; 1986 ;  ; Br ; AU ; 16 ; cboker ; 294 
 3627 ; 25 сентимов. Андорра. ФАО ; 1995 ;  ; Cu-Ni ; AU ; 18 ; alskr ; 51 
 3628 ; 2 динера. Андорра. Олимпиада ; 1987 ;  ; Cu-Ni ; AU ; 24 ; mkm1968 ; 273 
 3629 ; 2 динера. Андорра. Олимпиада ; 1987 ;  ; Cu-Ni ; AU ; 28 ; alskr ; 279 
 3630 ; 5 марок. ФРГ. Карл Маркс ; 1983J ;  ; Cu-Ni ; AU ; 23 ; S1952 ; 203 
 3631 ; 100 крон. Чехословакия. Юбилей 70 лет Сталину ; 1949 ;  ; Ag ; AU ; 41 ; Tornado ; 707 
 3632 ; 50 крон. Чехословакия. Юбилей 70 лет Сталину ; 1949 ;  ; Ag ; AU ; 31 ; Schwer ; 592 
 3633 ; 2 кроны. Швеция. Золотой юбилей свадьбы Оскара II и Софии ; 1907 ;  ; Ag ; AU ; 31 ; gerber68 ; 999 
 3634 ; 2 кроны. Дания. Кристиан X ; 1916 ;  ; Ag ; VF-XF ; 21 ; S1952 ; 849 
 3635 ; 5 лир. Италия. Виктор Эммануил III ; 1927 ;  ; Ag ; VF-XF ; 24 ; Юбер ; 227 
 3636 ; 5 лир. Италия. Виктор Эммануил III ; 1929 ;  ; Ag ; VF+ ; 12 ; vicnic ; 227 
 3637 ; 2 злотых. Польша. Корабль ; 1936 ;  ; Ag ; XF ; 19 ; olancepok ; 463 
 3638 ; 2 кроны. Эстония. Замок Тоомпеа ; 1930 ;  ; Ag ; XF ; 20 ; sotnik ; 508 
 3639 ; 1/4 бальбоа. Панама ; 1962 ;  ; Ag ; AU ; 26 ; комот ; 308 
 3640 ; Десимо. Чили ; 1879 ;  ; Ag ; VF-XF ; 11 ; Northman ; 319 
 3641 ; 50 сентимес. Франция ; 1916 ;  ; Ag ; VF-XF ; 13 ; vesta78 ; 105 
 3642 ; 20 сентимес. Уругвай ; 1942 ;  ; Ag ; XF+ ; 30 ; Olegas ; 159 
 3643 ; 25 эре. Швеция. Оскар ; 1855 ;  ; Ag ; F-VF ; 15 ; hf426 ; 510 
 3644 ; 1/4 гульдена. Нидерланды ; 1900 ;  ; Ag ; VF+ ; 23 ; kont ; 453 
 3645 ; 10 сент. Никарагуа ; 1887 ;  ; Ag ; VF-XF ; 19 ; Northman ; 318 
 3646 ; 10 сент. Французский Индо-Китай ; 1937 ;  ; Ag ; VF+ ; 25 ; ВЯЗЪ ; 141 
 3647 ; 6 пенсов. Австралия ; 1942 ;  ; Ag ; VF+ ; 13 ; Legio ; 124 
 3648 ; 3 пенса. Великобритания. Эдвард VII ; 1902 ;  ; Ag ; VF ; 26 ; krugerrand ; 168 
 3649 ; 3 пенса. Великобритания. Эдвард VII ; 1907 ;  ; Ag ; VF ; 28 ; sibtec ; 250 
 3650 ; 3 пенса. Великобритания. Эдвард VII ; 1908 ;  ; Ag ; VF ; 15 ; Searcher ; 101 
 3551 ; 2 бани. Румыния ; 1882 ;  ; Cu ; XF ; 21 ; kergudu ; 373 
 3552 ; 10 пенни. Финляндия ; 1938 ;  ; Cu ; XF- ; 12 ; alex995 ; 18 
 3553 ; 10 пара. Сербия ; 1879 ;  ; Cu ; VF ; 13 ; vasek ; 318 
 3554 ; 2 хеллера. Австрия ; 1897 ;  ; Cu ; VF+ ; 7 ; Юбер ; 57 
 3555 ; 1/2 пенни. Великобритания ; 1929 ;  ; Cu ; VF- ; 4 ; STANDART ; 24 
 3556 ; 1 пенни. Великобритания ; 1927 ;  ; Cu ; VF-XF ; 12 ; doc2 ; 102 
 3557 ; 1 грош. Польша ; 1768 ;  ; Cu ; VF- ; 26 ; MDV ; 357 
 3558 ; 1 сантим. Латвия ; 1926 ;  ; Cu ; VF-XF ; 16 ; _1111_ ; 92 
 3559 ; 25 пара. Югославия ; 1938 ;  ; Cu ; VF+ ; 10 ; dimon-2007 ; 92 
 3560 ; Фартинг. Великобритания ; 1854 ;  ; Cu ; VF ; 17 ; Flagman ; 279 
 3561 ; 2 раппена. Швейцария ; 1907 ;  ; Cu ; XF- ; 17 ; Flagman ; 189 
 3562 ; Фартинг. Великобритания ; 1946 ;  ; Cu ; VF-XF ; 35 ; krugerrand ; 68 
 3563 ; 5 эре. Дания ; 1907 ;  ; Cu ; VF ; 25 ; В1951 ; 310 
 3564 ; 2 сантима. Латвия ; 1939 ;  ; Cu ; XF- ; 12 ; lelic ; 102 
 3565 ; 5 пенни. Финляндия. Трубы ; 1918 ;  ; Cu ; VF-XF ; 29 ; Klin ; 3795 
 3566 ; 1 грош. Польша ; 1939 ;  ; Cu ; XF ; 22 ; lsp25 ; 306 
 3567 ; 5 сентов. Литва ; 1936 ;  ; Cu ; VF- ; 13 ; комот ; 124 
 3568 ; 1 крейцер. Германия ;  ;  ; Cu ; F-VF ; 11 ; krugerrand ; 174 
 3569 ; 1 крейцер. Венгрия ; 1891 ;  ; Cu ; F-VF ; 11 ; krugerrand ; 41 
 3570 ; Монета Восток ;  ;  ; Cu ; F-VF ; 28 ; Tilla ; 568 
 3571 ; Монета Восток ;  ;  ; Cu ; F-VF ; 30 ; Tilla ; 555 
 3572 ; Монета Восток ;  ;  ; Cu ; F-VF ; 17 ; vb96 ; 1022 
 3573 ; 5 эре. Норвегия ; 1939 ;  ; Cu ; VF ; 4 ; Klin ; 24 
 3574 ; 1/2 крейцера. Австрия ; 1851 ;  ; Cu ; VF- ; 11 ; dem ; 81 
 3575 ; 1 сантим. Бельгия ; 1894 ;  ; Cu ; VF ; 26 ; Мика ; 138 
 3576 ; Монета Азия ;  ;  ; Cu ; VF+ ; 38 ; vb96 ; 663 
 3577 ; 1 сен. Япония ;  ;  ; Cu ; VF- ; 9 ; Серж PirGS ; 138 
 3578 ; 2 сен. Япония ;  ;  ; Cu ; VF-XF ; 19 ; Sterh ; 119 
 3579 ; 1 сент. Литва ; 1936 ;  ; Cu ; XF ; 19 ; Northman ; 297 
 3580 ; 20 лей. Румыния ; 1942 ;  ; Zn ; F-VF ; 6 ; Emv ; 24 
 3581 ; 2 динара. Сербия ; 1942 ;  ; Zn ; F-VF ; 16 ; vesta78 ; 57 
 3582 ; 5 центов. Бельгия ; 1916 ;  ; Zn ; F-VF ; 12 ; t_v_v ; 24 
 3583 ; 1 вон. Северная Корея. Лошадь ; 2002 ;  ; Латунь ; AU ; 27 ; aziya11 ; 184 
 3584 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972F ;  ; Ag ; Proof ; 16 ; first ; 406 
 3585 ; 1 крейцер. Франкфурт ; 1786 ;  ; Ag ; VF ; 29 ; M1 ; 1009 
 3586 ; Дрейлинг (3 пфеннига). Мекленбург-Шверин ; 1838 ;  ; Ag ; VF+ ; 20 ; бормоглот ; 464 
 3587 ; 8 шиллингов. Гамбург ; 1728 ;  ; Ag ; VF+ ; 52 ; serg2010 ; 1504 
 3588 ; 1/12 атлера. Ганновер ; 1843 ;  ; Ag ; F-VF ; 17 ; werter ; 170 
 3589 ; 10 крейцеров. Гессе-Дармстадт ; 1728 ;  ; Ag ; F-VF ; 17 ; werter ; 517 
 3590 ; 1 крейцер. Гессе-Дармстадт. Деформация ; 1800 ;  ; Ag ; VF+ ; 36 ; M1 ; 906 
 3591 ; 3 крейцера. Нассау ; 1815 ;  ; Ag ; VF ; 28 ; doc2 ; 414 
 3592 ; 1/6 талера. Пруссия ; 1812 ;  ; Ag ; VF ; 17 ; werter ; 156 
 3593 ; 1 зильбергрош. Пруссия ; 1856A ;  ; Ag ; F-VF ; 15 ; Lena6975 ; 69 
 3594 ; 1/24 талера. Саксония ; 1798 ;  ; Ag ; VF ; 12 ; егор ; 508 
 3595 ; 3 гутпфеннигов. Сакс-Веймар-Айзенах ; 1760 ;  ; Cu ; VF ; 40 ; doc2 ; 1020 
 3596 ; 1 пфенниг. Штольберг-Росла и Штольберг ; 1722 ;  ; Cu ; F-VF ; 37 ; doc2 ; 922 
 3597 ; 1 пфенниг. Пруссия ; 1838 ;  ; Cu ; F-VF ; 10 ; dem ; 57 
 3598 ; 1 крейцер. Баден ; 1852 ;  ; Cu ; VF ; 23 ; В1951 ; 298 
 3599 ; 1 зекслинг (6 пфеннигов). Шлезвиг-Гольштейн ; 1787 ;  ; Cu ; F-VF ; 23 ; lestes ; 346 
 3600 ; 1/4 крейцера. Нассау ; 1817 ;  ; Cu ; F ; 7 ; jj ; 72 
 3501 ; 1 рубль. Беларусь. Полоцк. Спасо-Преображенская церковь ; 2003 ;  ; Cu-Ni ; Proof ; 39 ; buynyi76 ; 869 
 3502 ; 1 рубль. Беларусь. Гончарное дело ; 2012 ;  ; Cu-Ni ; Proof ; 32 ; v_bond ; 310 
 3503 ; 1 рубль. Беларусь. Наполеон Орда ; 2007 ;  ; Cu-Ni ; Proof ; 43 ; фрегат ; 306 
 3504 ; 1 рубль. Беларусь. 60 лет победы ; 2004 ;  ; Cu-Ni ; Proof ; 54 ; buynyi76 ; 745 
 3505 ; 1 лат. Латвия ; 1924 ;  ; Ag ; XF ; 33 ; imi ; 156 
 3506 ; 2 лита. Литва ; 1925 ;  ; Ag ; VF-XF ; 26 ; av45621 ; 281 
 3507 ; 1 крейцер. Гессен ; 1856 ;  ; Ag ; F+ ; 26 ; jj ; 271 
 3508 ; 5 лир. Ватикан ; 1935 ;  ; Ag ; XF- ; 59 ; olancepok ; 781 
 3509 ; 50 эре. Швеция ; 1938 ;  ; Ag ; VF-XF ; 8 ; hf426 ; 189 
 3510 ; 5 эре. Швеция ; 1747 ;  ; Ag ; F-VF ; 27 ; dsp ; 705 
 3511 ; 500 динаров. Иран ;  ;  ; Ag ; F-VF ; 17 ; Sterh ; 380 
 3512 ; 25 центов. Канада ; 1943 ;  ; Ag ; VF- ; 16 ; Legio ; 140 
 3513 ; Монета восток ;  ;  ; Ag ; F+ ; 29 ; Sterh ; 301 
 3514 ; Монета восток ;  ;  ; Ag ; F+ ; 26 ; kont ; 714 
 3515 ; 2 куруша. Турция ; 1327 ;  ; Ag ; VF ; 16 ; aziya11 ; 209 
 3516 ; 1 куруш. Турция ; 1293 ;  ; Ag ; VF ; 16 ; krugerrand ; 130 
 3517 ; 1 пиастр. Труция ; 1223 ;  ; Ag ; F-VF ; 11 ; priwet ; 276 
 3518 ; 20 пара. Труция ; 1223 ;  ; Ag ; F-VF ; 12 ; Серж PirGS ; 123 
 3519 ; 1/4 скиллинга. Швеция ; 1805 ;  ; Cu ; VF- ; 15 ; kergudu ; 202 
 3520 ; 2 скиллинга. Дания ; 1810 ;  ; Cu ; VF ; 27 ; Klin ; 417 
 3521 ; 5 эре. Швеция ; 1907 ;  ; Cu ; VF+ ; 32 ; hf426 ; 102 
 3522 ; 1 крейцер. Австрия ; 1851 ;  ; Cu ; XF ; 29 ; lelic ; 204 
 3523 ; 1 пенни. Англия ; 1938 ;  ; Cu ; VF-XF ; 11 ; Legio ; 55 
 3524 ; 1 цент. США ; 1818 ;  ; Cu ; VF+ ; 16 ; priwet ; 3570 
 3525 ; 1/2 скиллинга. Швеция ; 1819 ;  ; Cu ; VF- ; 22 ; doc2 ; 308 
 3526 ; 10 рейс. Португалия ; 1764 ;  ; Cu ; F-VF ; 18 ; mkm1968 ; 239 
 3527 ; 1 сольди. Ватикан ; 1867 ;  ; Cu ; F-VF ; 31 ; krugerrand ; 261 
 3528 ; 2 сентаво. Аргентина ; 1891 ;  ; Cu ; F-VF ; 8 ; STANDART ; 90 
 3529 ; 1 хеллер. Австрия ; 1915 ;  ; Cu ; XF ; 11 ; lelic ; 92 
 3530 ; 5 бани. Румыния ; 1884 ;  ; Cu ; XF ; 42 ; Lena6975 ; 439 
 3531 ; 5 сентимов. Франция ; 1855 ;  ; Cu ; VF ; 18 ; dem ; 57 
 3532 ; 2 сентима. Бельгия ; 1870 ;  ; Cu ; VF- ; 16 ; dem ; 69 
 3533 ; 1 крейцер. Баден ; 1868 ;  ; Cu ; XF ; 40 ; lelic ; 340 
 3534 ; 3 рейса. Португалия ; 1764 ;  ; Cu ; VF+ ; 35 ; AnvlaSar6216 ; 684 
 3535 ; 1 скиллинг. Дания ; 1856 ;  ; Cu ; XF ; 15 ; Юбер ; 215 
 3536 ; 1 крейцер. Австрия ; 1885 ;  ; Cu ; XF ; 21 ; lelic ; 235 
 3537 ; 1 пфенниг. Германия ; 1854 ;  ; Cu ; F+ ; 14 ; Александр007 ; 192 
 3538 ; 1 солид. Польша ; 1768 ;  ; Cu ; F ; 25 ; бормоглот ; 311 
 3539 ; 1 чентезимо. Италия ; 1867 ;  ; Cu ; VF- ; 11 ; krugerrand ; 135 
 3540 ; 20 рейс. Бразилия ; 1869 ;  ; Cu ; VF ; 11 ; jur77 ; 153 
 3541 ; 1 сентим. Французский Индо-Китай ; 1899 ;  ; Cu ; VF ; 25 ; lelic ; 234 
 3542 ; 1 сольдо. Ломбардия - Венеция ; 1862 ;  ; Cu ; VF ; 21 ; lestes ; 305 
 3543 ; 5 сантимов. Латвия ; 1922 ;  ; Cu ; VF+ ; 11 ; Юбер ; 57 
 3544 ; 1/96 рупии. Восточная Индийская Компания ; 1797 ;  ; Cu ; VF- ; 19 ; alex1974 ; 2193 
 3545 ; Фартинг. Великобритания ; 1806 ;  ; Cu ; VF+ ; 23 ; alex1974 ; 1020 
 3546 ; 2 эре. Швеция ; 1858 ;  ; Cu ; VF ; 18 ; dsp ; 161 
 3547 ; 1/4 стивера. Нидерландская Индия ; 1826 ;  ; Cu ; F-VF ; 8 ; dem ; 79 
 3548 ; 2 бани. Румыния ; 1867 ;  ; Cu ; F-VF ; 19 ; mkm1968 ; 244 
 3549 ; 2 чентезимо. Италия ; 1862 ;  ; Cu ; VF- ; 5 ; mefody73 ; 82 
 3550 ; 1/2 цента. Нидерланды ; 1863 ;  ; Cu ; XF ; 28 ; монетков ; 286 
 3451 ; 10 сантимов. Франция ; 1800A ;  ; Биллон ; VF ; 66 ; kont ; 567 
 3452 ; 100 форинтов. Венгриия. Интеркосмос. Упаковка ; 1980 ;  ; Cu-Ni ; AU ; 23 ; kolbur ; 264 
 3453 ; 1000 форинтов. Венгриия. Форд-Т ; 2006 ;  ; Cu-Ni ; AU ; 22 ; kolbur ; 400 
 3454 ; 100 форинтов. Венгриия. Чемпионат мира по футболу. Испания ; 1982 ;  ; Cu-Ni ; AU ; 8 ; hanim ; 155 
 3455 ; 100 форинтов. Венгриия ; 1983 ;  ; Cu-Ni ; AU ; 15 ; v_bond ; 157 
 3456 ; 10 песо. Уругвай ; 1961 ;  ; Ag ; AU ; 34 ; Чирик ; 714 
 3457 ; 5 пенни. Финляндия. Трубы ; 1918 ;  ; Cu ; VF+ ; 20 ; mishael07 ; 3315 
 3458 ; 1 рубль. Беларусь. 200 лет Отечественной войне ; 2012 ;  ; Cu-Ni ; Proof ; 29 ; buynyi76 ; 355 
 3459 ; 1 доллар. США ; 1973S ;  ; Cu-Ni ; Proof ; 22 ; SerKon ; 164 
 3460 ; 1 рубль. Беларусь. 60 лет победы ; 2004 ;  ; Cu-Ni ; Proof ; 42 ; buynyi76 ; 745 
 3461 ; 1 рубль. Беларусь. Стерлядь ; 2007 ;  ; Cu-Ni ; Proof ; 38 ; Dmi32y ; 440 
 3462 ; 1 рубль. Беларусь. Змей Горынычь ; 2009 ;  ; Cu-Ni ; Proof ; 38 ; v_bond ; 318 
 3463 ; 1 рубль. Беларусь. Сретение ; 2010 ;  ; Cu-Ni ; Proof ; 32 ; buynyi76 ; 305 
 3464 ; 1 рубль. Беларусь. Соломоплетение ; 2010 ;  ; Cu-Ni ; Proof ; 11 ; AB ; 284 
 3465 ; 1 рубль. Беларусь. Овен ; 2009 ;  ; Cu-Ni ; Proof ; 23 ; SerKon ; 257 
 3466 ; 1 рубль. Беларусь. 15 лет СНГ ; 2006 ;  ; Cu-Ni ; Proof ; 35 ; v_bond ; 263 
 3467 ; 5 лепт. Греция ; 1869 ;  ; Br ; VF- ; 22 ; lestes ; 217 
