 5814 ; Бона иностранная. Бельгия ; 1942 ;  ;  ;  ; 61 ; Первый Самураец ; 2550 
 4314 ; 25 центов. США. Винсент Лекавалье. С Сертификатом ; 2004 ;  ; Cu/Ni, краска ; AU ; 10 ; rodstvennik ; 124 
 4315 ; 50 пенсов. Великобритания. Спортивная коллекция. Бочче. Буклет ; 2011 ;  ; Cu-Ni ; AU ; 37 ; Gib es zurück! ; 178 
 4316 ; 50 пенсов. Великобритания. Спортивная коллекция. Баскетбол. Буклет ; 2011 ;  ; Cu-Ni ; AU ; 28 ; Gib es zurück! ; 175 
 4317 ; 50 пенсов. Великобритания. Спортивная коллекция. Триатлон. Буклет ; 2011 ;  ; Cu-Ni ; AU ; 29 ; Gib es zurück! ; 182 
 4318 ; 10 франков. Монако. Конверт, с маркой ; 2000 ;  ; Би/м ; AU ; 20 ; LEXAI ; 175 
 4219 ; 5 сантимов. Франция ; 1920 ;  ; Cu-Ni ; XF ; 26 ; av ; 104 
 4220 ; 5 миллимов. Египет ; 1938 ;  ; Cu-Ni ; VF ; 3 ; marik ; 62 
 4221 ; 1 доллар. США ; 1976 ;  ; Cu-Ni ; XF ; 13 ; alik434 ; 214 
 4222 ; 1 крона. Дания ; 1984 ;  ; Cu-Ni ; XF ; 6 ; Ганс ; 24 
 4223 ; 10 раппен. Швейцария ; 1885 ;  ; Cu-Ni ; VF ; 21 ; Bacek ; 53 
 4224 ; 50 грошей. Польша ; 1923 ;  ; Cu-Ni ; VF+ ; 8 ; Степан_81 ; 26 
 4225 ; 25 сантимов. Бельгия ; 1928 ;  ; Cu-Ni ; VF ; 6 ; Magger ; 24 
 4226 ; 20 центов. Зимбабве ; 1983 ;  ; Cu-Ni ; XF ; 10 ; t_v_v ; 32 
 4227 ; 1 крона. Словакия ; 1940 ;  ; Cu-Ni ; VF+ ; 7 ; igor39 ; 70 
 4228 ; 20 сантимов. Французский Индо-Китай ; 1941 ;  ; Cu-Ni ; VF+ ; 25 ; Asa ; 114 
 4229 ; 25 пара. Югославия ; 1920 ;  ; Cu-Ni ; VF ; 10 ; Magger ; 90 
 4230 ; 5 сентаво. Сальвадор ; 1919 ;  ; Cu-Ni ; F-VF ; 5 ; vc57 ; 50 
 4231 ; 50 эре. Швеция ; 1920 ;  ; Cu-Ni ; VF ; 18 ; Monata ; 83 
 4232 ; 50 сен. Бруней ; 1968 ;  ; Cu-Ni ; VF+ ; 12 ; Asa ; 51 
 4233 ; 5 крон. Норвегия.100 лет норвежской кроне ; 1975 ;  ; Cu-Ni ; XF ; 18 ; zx123 ; 93 
 4234 ; 1 гульден. Нидерландские Антиллы ; 1979 ;  ; Cu-Ni ; XF ; 7 ; Sterh ; 26 
 4235 ; 10 центов. Багамы ; 1989 ;  ; Cu-Ni ; XF ; 6 ; Bacek ; 38 
 4236 ; Монета Непал ;  ;  ; Cu-Ni ; XF ; 11 ; t_v_v ; 48 
 4237 ; 50 центов. Уганда ; 1974 ;  ; Cu-Ni ; VF+ ; 12 ; atos51 ; 104 
 4238 ; 100 рейс. Бразилия ; 1901 ;  ; Cu-Ni ; VF ; 10 ; Emv ; 92 
 4239 ; 5 центов. Нидерланды ; 1940 ;  ; Cu-Ni ; VF+ ; 9 ; Magger ; 104 
 4240 ; 1 франк. Франция ; 1992 ;  ; Cu-Ni ; XF ; 7 ; igor39 ; 60 
 4241 ; 10 чентезимо. Италия ; 1867 ;  ; Cu ; VF- ; 13 ; СТРЕКОЗА ; 104 
 4242 ; 1 пенни. Великобритания ; 1826 ;  ; Cu ; F ; 18 ; VOLKODAVS5 ; 159 
 4243 ; 5 центов Цейлон ; 1890 ;  ; Cu ; F+ ; 19 ; 8888 ; 313 
 4244 ; 1 пенни. Британская Западная Африка ; 1952 ;  ; Br ; XF ; 15 ; banks ; 98 
 4245 ; 1 цент. США ; 1891 ;  ; Cu ; F-VF ; 30 ; indigo-rus ; 152 
 4246 ; 2 сантима. Бельгия ; 1846 ;  ; Cu ; VF+ ; 13 ; монетков ; 100 
 4247 ; 10 сентимо. Испания ; 1879 ;  ; Cu ; VF ; 10 ; 8888 ; 91 
 4248 ; 5 эре. Норвегия ; 1899 ;  ; Cu ; VF ; 11 ; krugerrand ; 124 
 4249 ; Монета иностранная ; 1763 ;  ; Cu ; F ; 26 ; tss ; 306 
 4250 ; 5 евроцентов. Турция. Проба ;  ;  ; Cu ; AU ; 12 ; sibirian ; 93 
 4251 ; 2 аурар. Исландия ; 1940 ;  ; Br ; XF ; 7 ; igor39 ; 80 
 4252 ; 10 рейс. Португалия ; 1791 ;  ; Cu ; F ; 20 ; lestes ; 306 
 4253 ; 5 эре. Швеция ; 1882 ;  ; Cu ; VF ; 7 ; marik ; 68 
 4254 ; 5 сентаво. Мексика ; 1920 ;  ; Br ; VF- ; 12 ; vc57 ; 125 
 4255 ; Монета Индия ;  ;  ; Cu ; VF ; 22 ; Monata ; 410 
 4256 ; 5 сенти. Литва ; 1936 ;  ; Br ; XF ; 21 ; лесной ; 429 
 4257 ; 1 пфенниг. Германия ; 1746 ;  ; Cu ; VF- ; 16 ; banks ; 182 
 4258 ; 10 пара. Турция ; 1255 ;  ; Cu ; F-VF ; 10 ; Emv ; 69 
 4259 ; 10 кэш. Китай ;  ;  ; Cu ; VF- ; 20 ; maymuse ; 165 
 4260 ; 1 гирш. Иордания ; 2000 ;  ; Br ; AU ; 13 ; t_v_v ; 45 
 4261 ; Монета. Мексика ;  ;  ; Cu ; F ; 15 ; vb96 ; 206 
 4262 ; 5 сеннтесимо. Сан-Марино ; 1894 ;  ; Cu ; VF- ; 38 ; mkm1968 ; 200 
 4263 ; 20 кэш. Восточная Индийская Компания ; 1803 ;  ; Cu ; F+ ; 35 ; OVK ; 793 
 4264 ; 5 эре. Швеция ; 1863 ;  ; Cu ; XF- ; 28 ; Uri ; 546 
 4265 ; 4 крейцера. Австрия ; 1860 ;  ; Cu ; F+ ; 6 ; VOLKODAVS5 ; 72 
 4266 ; 2 хеллера. Австрия ; 1911 ;  ; Br ; VF ; 11 ; Eilenau ; 47 
 4267 ; 1 цент. Нидерланды ; 1898 ;  ; Cu ; VF+ ; 17 ; Magger ; 131 
 4268 ; 2 мила. Палестина ; 1927 ;  ; Br ; VF ; 27 ; Taras58 ; 164 
 4169 ; 200 крон. Швеция. Королевская переемственность ; 1980 ;  ; Ag ; AU ; 11 ; holtes ; 1214 
 4170 ; 5 марок. Финляндия ; 1975 ;  ; Al/Br ; AU ; 14 ; Юбер ; 56 
 4171 ; 2 кроны. Дания ; 1925 ;  ; Al/Br ; VF ; 7 ; marik ; 105 
 4172 ; 2 франка. Франция ; 1921 ;  ; Al/Br ; XF ; 22 ; DnSr ; 46 
 4173 ; 200 лир. Италия ; 1980 ;  ; Al/Br ; XF+ ; 13 ; отец Аваккум ; 79 
 4174 ; 200 лир. Сан-Марино ; 1994 ;  ; Al/Br ; XF ; 19 ; Asa ; 102 
 4175 ; 10 марок. Финляндия ; 1937 ;  ; Al/Br ; XF ; 11 ; mishael07 ; 93 
 4176 ; 2 франка. Тунис ; 1941 ;  ; Al/Br ; VF ; 22 ; ВЕПРЬ ; 133 
 4177 ; 1 доллар. Фиджи ; 1995 ;  ; Al/Br ; VF+ ; 7 ; alik434 ; 51 
 4178 ; 20 франков. Франция ; 1951 ;  ; Al/Br ; XF+ ; 15 ; igor39 ; 90 
 4179 ; 50 франков. Марокко ; 1371 ;  ; Al/Br ; XF+ ; 12 ; marik ; 77 
 4180 ; 50 марок. Финляндия ; 1952 ;  ; Al/Br ; XF- ; 12 ; kornum ; 111 
 4181 ; 5 марок. Финляндия ; 1992 ;  ; Al/Br ; AU ; 7 ; Gagarin ; 55 
 4182 ; 25 центов. Мальта ; 1975 ;  ; Al/Br ; XF+ ; 13 ; zx123 ; 87 
 4183 ; 2 лева. Болгария ; 1992 ;  ; Al/Br ; AU ; 19 ; Gagarin ; 36 
 4184 ; 50 евроцентов. Проба. Эстония ; 2004 ;  ; Al/Br ; XF ; 6 ; bva150979 ; 101 
 4185 ; 100000 лир. Турция ; 1999 ;  ; Al/Br ; XF ; 10 ; nikfed ; 79 
 4186 ; 10 пфеннигов. Веймар ; 1936A ;  ; Al/Br ; VF-XF ; 57 ; Jagdtiger ; 2651 
 4187 ; Монета Китай ;  ;  ; Al/Br ; F+ ; 17 ; sahakala ; 224 
 4188 ; 5 пфеннигов. Веймар ; 1925E ;  ; Al/Br ; XF ; 26 ; kornum ; 184 
 4189 ; 1 франк. Бельгийское Конго ; 1928 ;  ; Cu-Ni ; VF- ; 11 ; ВЕПРЬ ; 90 
 4190 ; 100 эскудо. Португалия ; 1991 ;  ; Би/м ; VF ; 7 ; Armando ; 34 
 4191 ; 2 евро Финляндия. 90 лет независимости ; 2007 ;  ; Би/м ; XF ; 21 ; кузяка ; 153 
 4192 ; 2 евро Финляндия. Хелен Шерфбек ; 2012 ;  ; Би/м ; XF ; 8 ; скорпион_48 ; 115 
 4193 ; 2 фунта. Великобритания ; 2005 ;  ; Би/м ; XF+ ; 21 ; aralsk ; 316 
 4194 ; 25 марок. Финляндия. 80 лет независимости ; 1997 ;  ; Би/м ; AU ; 39 ; nikfed ; 462 
 4195 ; 1 цент. США ; 1943 ;  ; Zn ; XF+ ; 12 ; valent77 ; 461 
 4196 ; 5 эре. Норвегия ; 1919 ;  ; Fe ; VF- ; 21 ; дед морос ; 408 
 4197 ; 5 лир. Турция ; 1976 ;  ; St ; VF+ ; 8 ; 195267 ; 28 
 4198 ; 2 франка. Марокко ;  ;  ; Al ; VF ; 9 ; Eilenau ; 45 
 4199 ; 50 су. Вьетнам ; 1960 ;  ; Al ; VF ; 17 ; трутень ; 126 
 4200 ; 5 франков. Бельгийское Конго. Руанда - Урунди ; 1958 ;  ; Al ; VF ; 25 ; lestes ; 110 
 4201 ; 5 мил. Кипр ; 1982 ;  ; Al ; XF ; 12 ; Моряк-собиратель ; 34 
 4202 ; 10 центов. Торговая палата Эвре ; 1921 ;  ; Al ; XF ; 33 ; buynyi76 ; 363 
 4203 ; 50 сентаво. Испания ; 1966 ;  ; Al ; XF ; 11 ; Armando ; 28 
 4204 ; 1 франк. Мадагаскар ; 1948 ;  ; Al ; XF ; 31 ; colonel6262 ; 305 
 4205 ; 1 крона. Остров Мэн. Нансен ; 1997 ;  ; Cu-Ni ; AU ; 19 ; Schwer ; 226 
 4206 ; 200 рейс. Бразилия ; 1889 ;  ; Cu-Ni ; VF- ; 9 ; t_v_v ; 29 
 4207 ; 1 крона Великобритания. Уинстон Черчилль ; 1965 ;  ; Cu-Ni ; AU ; 10 ; скорпион_48 ; 114 
 4208 ; 25 новых пенсов. Великобритания. 25 лет правления ; 1977 ;  ; Cu-Ni ; AU ; 9 ; Helssten ; 92 
 4209 ; 5 шиллингов. Великобритания ; 1953 ;  ; Cu-Ni ; XF ; 12 ; Юбер ; 115 
 4210 ; 100 песет. Испания ; 1980 ;  ; Cu-Ni ; XF+ ; 8 ; Юбер ; 45 
 4211 ; 2 кроны. Швеция ; 1969 ;  ; Cu-Ni ; XF ; 21 ; kornum ; 64 
 4212 ; 50 пенсов. Великобритания ; 1973 ;  ; Cu-Ni ; VF- ; 7 ; Armando ; 51 
 4213 ; 50 центов Австралия ; 1981 ;  ; Cu-Ni ; XF+ ; 23 ; верталет ; 133 
 4214 ; 1/2 доллара. США ; 1976 ;  ; Cu-Ni ; XF+ ; 26 ; t_v_v ; 53 
 4215 ; 20 злотых. Польша ; 1978 ;  ; Cu-Ni ; XF+ ; 35 ; Метро62 ; 87 
 4216 ; 1 доллар. Гон-Конг ; 1979 ;  ; Cu-Ni ; VF ; 9 ; лайк ; 26 
 4217 ; 50 центов. Канада ; 1971 ;  ; Cu-Ni ; XF ; 22 ; t_v_v ; 39 
 4218 ; 1/4 доллара. США ; 1976 ;  ; Cu-Ni ; XF+ ; 8 ; лайк ; 41 
 4119 ; 1 песета. Испания ; 1937 ;  ; Cu-Ni ; VF- ; 25 ; гарик ; 357 
 4120 ; 1/2 доллара. США ; 1942 ;  ; Ag ; VF- ; 19 ; Doca ; 516 
 4121 ; 1/4 пиастра. Кипр ; 1921 ;  ; Ag ; F-VF ; 25 ; OVK ; 284 
 4122 ; 20 центов. Ньюфаундленд ; 1890 ;  ; Ag ; F-VF ; 21 ; Гвидон ; 272 
 4123 ; 9 пиастров. Кипр ; 1901 ;  ; Ag ; VF- ; 47 ; гарик ; 649 
 4124 ; 1 рупия. Индия ; 1172 ;  ; Ag ; VF- ; 50 ; vb96 ; 1234 
 4125 ; 50 франков. Бельгия ; 1958 ;  ; Ag ; VF-XF ; 21 ; fillin ; 494 
 4126 ; 10 франков. Люксембург ; 1929 ;  ; Ag ; VF- ; 24 ; Алек ; 500 
 4127 ; 500 лир. Ватикан ; 1974 ;  ; Ag ; AU ; 18 ; отец Аваккум ; 520 
 4128 ; 1 доллар. Восточные Карибские Штаты ; 1989 ;  ; Cu-Ni ; VF+ ; 6 ; Gordey72 ; 100 
 4129 ; 100 рупий. Индонезия ; 1973 ;  ; Cu-Ni ; VF ; 7 ; гарик ; 32 
 4130 ; 50 франков. Коморские острова ; 1994 ;  ; Cu-Ni ; XF ; 22 ; temichek ; 181 
 4131 ; 1 франк. Французская Полинезия ; 1987 ;  ; Al ; VF ; 20 ; Asa ; 57 
 4132 ; 20 франков. Джибути ; 2010 ;  ; Латунь ; AU ; 18 ; vvt ; 106 
 4133 ; 10 франков. Коморские острова ; 1992 ;  ; Латунь ; AU ; 29 ; luchsva ; 181 
 4134 ; 5 драм. Нагорный Карабах ; 2004 ;  ; Латунь ; AU ; 19 ; Taras58 ; 153 
 4135 ; 5 рупий. Шри-ланка ; 1999 ;  ; Латунь ; XF ; 25 ; gusar ; 67 
 4136 ; 20 евро. Австрия ; 1996 ;  ; Ag ; Proof ; 20 ; кузяка ; 1209 
 4137 ; 20 евро. Бельгия ; 1996 ;  ; Ag ; Proof ; 12 ; кузяка ; 1234 
 4138 ; 20 евро. Люксембург ; 1997 ;  ; Ag ; Proof ; 13 ; кузяка ; 1197 
 4139 ; 5 крон. Швеция. 80 лет со дня рождения Густава VI Адольфа ; 1962 ;  ; Ag ; AU ; 23 ; 220W ; 657 
 4140 ; 5 крон. Швеция. ; 1955 ;  ; Ag ; XF ; 7 ; джон007 ; 355 
 4141 ; 5 крон. Швеция. 70 лет со дня рождения Густава VI Адольфа ; 1952 ;  ; Ag ; XF+ ; 13 ; джон007 ; 532 
 4142 ; 5 крон. Швеция. ; 1966 ;  ; Ag ; AU ; 9 ; джон007 ; 445 
 4143 ; 2 кроны. Швеция ; 1946 ;  ; Ag ; AU ; 20 ; hugo ; 419 
 4144 ; 1 крона. Швеция ; 1943 ;  ; Ag ; AU ; 6 ; vvt ; 206 
 4145 ; 1 крона. Швеция ; 1966 ;  ; Ag ; AU ; 9 ; kornum ; 159 
 4146 ; 50 эре. Швеция ; 1956 ;  ; Ag ; AU ; 8 ; kornum ; 159 
 4147 ; 50 эре. Швеция ; 1906 ;  ; Ag ; VF+ ; 23 ; Uri ; 918 
 4148 ; 50 эре. Швеция ; 1936 ;  ; Ag ; XF+ ; 29 ; Uri ; 720 
 4149 ; 25 эре. Швеция ; 1954 ;  ; Ag ; AU ; 9 ; hugo ; 216 
 4150 ; 25 эре. Швеция ; 1945 ;  ; Ag ; AU ; 21 ; vvt ; 91 
 4151 ; 25 эре. Швеция ; 1936 ;  ; Ag ; XF ; 7 ; Uri ; 128 
 4152 ; 25 эре. Швеция ; 1905 ;  ; Ag ; VF ; 10 ; banks ; 90 
 4153 ; 10 эре. Швеция ; 1902 ;  ; Ag ; F-VF ; 3 ; banks ; 91 
 4154 ; 10 эре. Швеция ; 1957 ;  ; Ag ; AU ; 30 ; musik ; 199 
 4155 ; 10 эре. Швеция ; 1938 ;  ; Ag ; F-VF ; 11 ; bva150979 ; 62 
 4156 ; 10 эре. Швеция ; 1945 ;  ; Ag ; XF+ ; 17 ; vvt ; 181 
 4157 ; 1 доллар. США ; 1922 ;  ; Ag ; XF ; 10 ; Paradox76 ; 1153 
 4158 ; 2 кроны. Швеция ; 1965 ;  ; Ag ; AU ; 16 ; АКМ ; 303 
 4159 ; 2 кроны. Швеция. Золотая свадьба ; 1907 ;  ; Ag ; AU ; 18 ; Eilenau ; 1146 
 4160 ; 5 марок. ФРГ ; 1951D ;  ; Ag ; VF+ ; 15 ; AlexanderF ; 227 
 4161 ; 1 марка. Германия ; 1907J ;  ; Ag ; VF-XF ; 25 ; ДУНКАН МАКЛАУД ; 226 
 4162 ; 1 флорин. Австралия. 50 лет ; 1951 ;  ; Ag ; VF+ ; 13 ; Ясер ; 321 
 4163 ; 25 центов. Канада ; 1918 ;  ; Ag ; VF- ; 18 ; bilfox ; 306 
 4164 ; 3 пенса. Великобритания ; 1974 ;  ; Ag ; F-VF ; 13 ; барсик ; 99 
 4165 ; 500 лир. Италия. Гульельмо Маркони ; 1974 ;  ; Ag ; XF ; 19 ; S1952 ; 459 
 4166 ; 1 пиастр. Ливан ; 1925 ;  ; Ag ; VF+ ; 64 ; 8888 ; 505 
 4167 ; 2000 динаров. Иран ;  ;  ; Ag ; F+ ; 19 ; Серж PirGS ; 260 
 4168 ; 100 мил. Палестина ; 1935 ;  ; Ag ; VF- ; 32 ; Emv ; 702 
 4009 ; 5 пфеннигов. Германия. Нотгельд ; 1917 ;  ; Zn ; F ; 19 ; colonel6262 ; 186 
 4010 ; 5 пфеннигов. Германия. Нотгельд. Шайнфельд ; ND ;  ; Zn ; F ; 21 ; colonel6262 ; 262 
 4011 ; 10 сентаво. Перу ; 1960 ;  ; латунь ; VF ; 12 ; t_v_v ; 32 
 4012 ; 10 центов. Британская Малайя ; 1939 ;  ; Ag ; XF- ; 28 ; Гвидон ; 125 
 4013 ; 5 франков. Французская Новая Каледония ; 1952 ;  ; Al ; VF ; 32 ; Redkyt ; 77 
 4014 ; 1 рубль. Беларусь. Воложинская иешива ; 2010 ;  ; Cu-Ni ; Proof ; 20 ; Bambr ; 257 
 4015 ; 1 рубль. Беларусь. Гончарное дело ; 2012 ;  ; Cu-Ni ; Proof ; 24 ; safanya ; 341 
 4016 ; 1 рубль. Беларусь. Лев Сапега ; 2010 ;  ; Cu-Ni ; Proof ; 19 ; safanya ; 306 
 4017 ; 2 марки. Пруссия ; 1877A ;  ; Ag ; F-VF ; 27 ; yunonik ; 554 
 4018 ; Монета Восток ;  ;  ; Ag ; F+ ; 32 ; von_Schwarz ; 208 
 4019 ; 20 долларов. Либерия. Джордж Вашингтон. Сертификат ; 2000 ;  ; Ag ; Proof ; 18 ; Emv ; 869 
 4020 ; Монетовидный жетон. 1 унция меди. США. Индеец. D-39мм ;  ;  ; Cu ; AU ; 18 ; krugerrand ; 255 
 4081 ; Монетовидный жетон. 1 унция меди. США. Индеец. D-39мм ;  ;  ; Cu ; AU ; 26 ; krugerrand ; 204 
 4082 ; Монетовидный жетон. 1 унция меди. США. Индеец. D-39мм ;  ;  ; Cu ; AU ; 19 ; boltyshov ; 200 
 4083 ; Монетовидный жетон. 1 унция меди. США. Индеец. D-39мм ;  ;  ; Cu ; AU ; 23 ; krugerrand ; 306 
 4084 ; Монетовидный жетон. 1 унция меди. США. Индеец. D-39мм ;  ;  ; Cu ; AU ; 20 ; krugerrand ; 306 
 4085 ; Монетовидный жетон. 1 унция меди. США. Индеец. D-39мм ;  ;  ; Cu ; AU ; 22 ; krugerrand ; 306 
 4086 ; Монетовидный жетон. 1 унция меди. США. Индеец. D-39мм ;  ;  ; Cu,золочение ; AU ; 15 ; boltyshov ; 300 
 4087 ; 1 крона. Остров Мэн. К столетию гибели Титаника ; 2012 ;  ; Cu-Ni ; XF ; 17 ; aziya11 ; 198 
 4088 ; 1 крона. Остров Мэн. Великие исследователи: Васко да Гама ; 1998 ;  ; Cu-Ni ; XF ; 16 ; Schwer ; 234 
 4089 ; 1 крона. Остров Мэн. 200-летие Трафальгарского сражения ; 2005 ;  ; Cu-Ni ; XF ; 13 ; Димон777 ; 202 
 4090 ; 1 доллар. Либерия. Христофор Колумб ; 1999 ;  ; Cu-Ni ; XF ; 26 ; sibirian ; 194 
 4091 ; 1 крона. Фолклендские острова. Горацио Нельсон ; 2006 ;  ; Cu-Ni ; XF ; 16 ; yurrgen ; 216 
 4092 ; 1 доллар. Британские Виргинские острова. Сэр Фрэнсис Дрейк ; 2004 ;  ; Cu-Ni ; XF ; 22 ; aziya11 ; 198 
 4093 ; 1 доллар. Сьерра-Леоне. Америго Веспуччи ; 1999 ;  ; Cu-Ni ; XF ; 17 ; vc57 ; 194 
 4094 ; 1 крона. Остров Мэн. 50-летие высадки союзных войск в Нормандии ; 1994 ;  ; Cu-Ni ; XF ; 23 ; Schwer ; 202 
 4095 ; 1 крона. Остров Мэн. 200-летие Трафальгарского сражения ; 2005 ;  ; Cu-Ni ; XF ; 12 ; Димон777 ; 182 
 4096 ; 1 крона. Остров Мэн. 140-летие победы в Индии ; 2003 ;  ; Cu-Ni ; XF ; 17 ; Димон777 ; 201 
 4097 ; 2 фунта. Фолклендские острова. Золотая Лихорадка — Корабль "Викарий из Брэя" ; 2000 ;  ; Cu-Ni ; XF+ ; 29 ; гарик ; 222 
 4098 ; 1 крона. Остров Мэн. К столетию гибели Титаника ; 2012 ;  ; Cu-Ni ; XF ; 21 ; UraChygyn ; 232 
 4099 ; 20 вон. Северная Корея. Зайцы ; 2010 ;  ; Al ; Proof ; 11 ; aziya11 ; 150 
 4100 ; 50 центов. Ньюфаундленд ; 1900 ;  ; Ag ; F-VF ; 36 ; werter ; 1400 
 4101 ; 1 крона. Великобритания ; 1892 ;  ; Ag ; VF+ ; 35 ; gavrosh ; 2244 
 4102 ; 1 песо. Мексика ; 1964 ;  ; Ag ; VF- ; 9 ; гарик ; 126 
 4103 ; 1 дайм. США ; 1898 ;  ; Ag ; F+ ; 17 ; Yamilov ; 159 
 4104 ; 1 рупия. Индия ; 1905 ;  ; Ag ; VF-XF ; 34 ; kefrost ; 1023 
 4105 ; 50 пенсов. Джерси ; 1998 ;  ; Cu-Ni ; XF ; 13 ; t_v_v ; 48 
 4106 ; 50 пенсов. Австралия ; 1973 ;  ; Cu-Ni ; AU ; 11 ; dvv85 ; 73 
 4107 ; 1 нгультрам. Бутан ; 1979 ;  ; Cu-Ni ; VF+ ; 11 ; temichek ; 91 
 4108 ; 100 боливаров. Венесуэла ; 1998 ;  ; Cu-Ni ; AU ; 27 ; t_v_v ; 44 
 4109 ; 1/4 доллара. США. Виргинские острова ; 2009 ;  ; Cu-Ni,краска ; AU ; 7 ; boltyshov ; 313 
 4110 ; 1/4 доллара. США. Колумбия ; 2009 ;  ; Cu-Ni,краска ; AU ; 12 ; boltyshov ; 334 
 4111 ; 1/4 доллара. США. Северные Марианские острова ; 2009 ;  ; Cu-Ni,краска ; AU ; 15 ; немец ; 306 
 4112 ; 1 экю. Нидерланды ; 1991 ;  ; Cu-Ni ; AU ; 13 ; гарик ; 203 
 4113 ; 10 шиллингов. Гернси ; 1966 ;  ; Cu-Ni ; XF ; 15 ; гарик ; 308 
 4114 ; 100 центов. Эритрея ; 1991 ;  ; Cu-Ni ; AU ; 17 ; Taras58 ; 110 
 4115 ; 100 вату. Вануату ; 2002 ;  ; Латунь ; AU ; 28 ; Taras58 ; 111 
 4116 ; 5 долларов. Гайана ; 1996 ;  ; Br ; AU ; 16 ; bethowen ; 99 
 4117 ; 1 фунт. Гибралтар ; 2009 ;  ; Латунь ; XF ; 18 ; гарик ; 195 
 4118 ; 2 франка, Французские Коморские острова ; 1964 ;  ; Al ; XF+ ; 31 ; colonel6262 ; 161 
 3959 ; 50 тенге. Казахстан. Колобок ; 2013 ;  ; Cu-Ni ; AU ; 22 ; Опятор ; 110 
 3960 ; 50 тенге. Казахстан. Жумабаев ; 2013 ;  ; Cu-Ni ; AU ; 18 ; buynyi76 ; 112 
 3961 ; 50 тенге. Казахстан. Богомол ; 2012 ;  ; Cu-Ni ; AU ; 14 ; brat52 ; 62 
 3962 ; 50 тенге. Казахстан. Басенов ; 2009 ;  ; Cu-Ni ; AU ; 12 ; brat52 ; 63 
 3963 ; 50 сентаво. Боливия ; 1939 ;  ; Cu-Ni ; AU ; 13 ; Алек ; 96 
 3964 ; 2 анны. Индии ; 1947 ;  ; Cu-Ni ; AU ; 38 ; Makys ; 348 
 3965 ; 10 сантимов. Франция ; 1941 ;  ; Zn ; AU ; 22 ; dencon ; 431 
 3966 ; 25 центов Канада ; 1965 ;  ; Ag ; VF ; 38 ; Гвидон ; 114 
 3967 ; 1/2 марки. Германия ; 1909 ;  ; Ag ; F-VF ; 22 ; Sterh ; 88 
 3968 ; 200 эскудо. Португалия ; 1991 ;  ; Би/м ; XF ; 18 ; лайк ; 50 
 3969 ; 100 эскудо. Португалия ; 1990 ;  ; Би/м ; XF ; 8 ; лайк ; 42 
 3970 ; 1 цент. Канада ; 1908 ;  ; br ; VF ; 23 ; OVK ; 120 
 3971 ; 20 хеллеров. Австрия ; 1893 ;  ; Cu-Ni ; VF- ; 11 ; VOLKODAVS5 ; 72 
 3972 ; 10 хеллеров. Австрия ; 1895 ;  ; Cu-Ni ; VF- ; 22 ; VOLKODAVS5 ; 70 
 3973 ; 5 сантимов. Франция ; 1854 ;  ; Cu ; VF- ; 50 ; satyrn1 ; 193 
 3974 ; 50 чентезимо. Сомали ; 1950 ;  ; Cu-Ni ; F-VF ; 19 ; atos51 ; 192 
 3975 ; 100 песет. Испания ; 1982 ;  ; Al/Br ; XF ; 9 ; Armando ; 34 
 3976 ; 5 крон. Дания ; 1966 ;  ; Cu-Ni ; VF+ ; 7 ; t_v_v ; 31 
 3977 ; 2 злотых. Польша. Барсук ; 2011 ;  ; Латунь ; XF ; 16 ; Asella ; 51 
 3978 ; 2 злотых. Польша. Летучая мышь ; 2010 ;  ; Латунь ; XF ; 7 ; Asella ; 51 
 3979 ; 2 злотых. Польша. Ящерица ; 2009 ;  ; Латунь ; XF ; 8 ; Asella ; 57 
 3980 ; 2 злотых. Польша. Сокол ; 2008 ;  ; Латунь ; XF ; 17 ; П.А.Н. ; 66 
 3981 ; 1 цент. США. Упаковка ; 2007S ;  ; Cu-Zn ; AU ; 8 ; Моряк-собиратель ; 110 
 3982 ; 1 цент. США. Упаковка ; 2006S ;  ; Cu-Zn ; AU ; 5 ; Моряк-собиратель ; 110 
 3983 ; 1 цент. США. Упаковка ; 1973S ;  ; Cu-Zn ; AU ; 5 ; Моряк-собиратель ; 110 
 3984 ; 1 цент. США ; 1909 ;  ; Cu-Zn ; F-VF ; 18 ; Метро62 ; 147 
 3985 ; 1 цент. США ; 1981S ;  ; Cu-Zn ; AU ; 8 ; Моряк-собиратель ; 163 
 3986 ; 1 цент. США ; 1901 ;  ; Cu ; VF ; 3 ; boltyshov ; 92 
 3987 ; 10 пфеннигов. Германия ; 19041A ;  ; Zn ; VF ; 25 ; musik ; 72 
 3988 ; 1 франк. Бельгия ; 1943 ;  ; Zn ; VF ; 12 ; vvt ; 53 
 3989 ; 10 франков. Мали ; 1961 ;  ; Al ; F ; 13 ; lestes ; 128 
 3990 ; 3 пенса. Великобритания ; 1915 ;  ; Ag ; XF ; 36 ; андрей1957 ; 283 
 3991 ; 1 дайм. США ; 1962 ;  ; Ag ; AU ; 20 ; Гвидон ; 174 
 3992 ; 1 цент. Ньюфаундленд ; 1942 ;  ; Br ; F ; 33 ; Asa ; 72 
 3993 ; 5 сентаво. Колумбия ; 1971 ;  ; Br ; VF ; 13 ; t_v_v ; 34 
 3994 ; 1 цент. США ; 1943 ;  ; Zn ; XF ; 5 ; нв1975 ; 261 
 3995 ; 1 сентаво Мексика ; 1937 ;  ; Br ; VF-XF ; 13 ; ЕгорСГор ; 46 
