 5979 ; 1000000 злотых Польша ; 1991 ;  ; AU ;  ; 45 ; Бармалей ; 1707 
 3929 ; 1 франк. Франция ; 1988 ;  ; Cu-Ni ; XF ; 7 ; танкер Дербент ; 50 
 3930 ; 50 грошей. Польша ; 1923 ;  ; Cu-Ni ; VF+ ; 10 ; танкер Дербент ; 50 
 3931 ; 50 песет. Испания ; 1980 ;  ; Cu-Ni ; XF ; 10 ; SKeeper ; 27 
 3932 ; 10 крон. Исландия ; 1987 ;  ; Cu-Ni ; XF ; 31 ; R-Evolve ; 69 
 3933 ; 50 хеллеров. Чеховловакия ; 1922 ;  ; Cu-Ni ; VF ; 50 ; maleevsw ; 550 
 3934 ; 10 центов. Канада ; 2007 ;  ; Cu-Ni ; XF ; 13 ; MAMON ; 42 
 3935 ; 100 франков. Франция ; 1956 ;  ; Cu-Ni ; VF-XF ; 13 ; solder13 ; 65 
 3936 ; 50 пфеннигов. Веймар ; 1928A ;  ; Cu-Ni ; VF ; 16 ; westof ; 202 
 3937 ; 1 пенни. Ямайка ; 1909 ;  ; Cu-Ni ; F- ; 16 ; banks ; 199 
 3938 ; 5 бат. Тайланд ;  ;  ; Cu-Ni ; XF ; 16 ; кот баюн ; 45 
 3939 ; 1 крона. Швеция ; 2009 ;  ; Cu-Ni ; XF ; 7 ; кот баюн ; 80 
 3940 ; 10 пиастров. Египет ; 1969 ;  ; Cu-Ni ; XF ; 31 ; vb96 ; 217 
 3941 ; 5 сентаво. Филиппины ; 1945 ;  ; Cu-Ni ; VF ; 12 ; акто_то ; 51 
 3942 ; 5 центов. Либерия ; 1961 ;  ; Cu-Ni ; VF ; 23 ; lestes ; 193 
 3943 ; 250 риалов. Иран ; 1379 ;  ; Би/м ; XF ; 13 ; MAMON ; 80 
 3944 ; 2 евро. Финляндия ; 2010 ;  ; Би/м ; XF ; 11 ; sever55 ; 229 
 3945 ; 1 риал. Бразилия ; 2006 ;  ; Би/м ; XF ; 18 ; sneg96 ; 50 
 3946 ; 2 евро. Германия. 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; AU ; 11 ; nivva ; 201 
 3947 ; 10 бат. Тайланд ;  ;  ; Би/м ; AU ; 8 ; танкер Дербент ; 50 
 3948 ; 10 марок. Финляндия ; 1998 ;  ; Би/м ; XF+ ; 17 ; VAZ-2107 ; 79 
 3949 ; 5 милс. Мальта ; 1972 ;  ; Al ; XF+ ; 46 ; zsefvg ; 115 
 3950 ; 10 лепта. Греция ; 1966 ;  ; Al ; AU ; 5 ; танкер Дербент ; 50 
 3951 ; 10 пайс. Индия ; 1975 ;  ; Al ; AU ; 10 ; kornum ; 80 
 3952 ; 5 милс. Кипр ; 1982 ;  ; Al ; XF+ ; 13 ; zsefvg ; 100 
 3953 ; 200000 марок. Германия. Нотгельд. Гамбург ; 1923J ;  ; Al ; XF ; 52 ; Хаа ; 587 
 3954 ; 1 лира. Ватикан ; 1976 ;  ; Al ; AU ; 19 ; sneg96 ; 172 
 3955 ; 50 пфеннигов. Веймар ; 1920J ;  ; Al ; XF ; 14 ; Враг ; 59 
 3856 ; 5 гривен. Украина. УЕФА ; 2011 ;  ; Cu-Ni ; AU ; 10 ; SKeeper ; 293 
 3857 ; 5 гривен. Украина. УЕФА ; 2011 ;  ; Cu-Ni ; AU ; 10 ; SKeeper ; 293 
 3858 ; 5 гривен. Украина. Суми ; 2005 ;  ; Cu-Ni ; AU ; 11 ; Redkyt ; 305 
 3859 ; 2 гривены. Украина. Владимир Сергеев ; 2014 ;  ; Cu-Ni ; AU ; 13 ; vitalik2020 ; 165 
 3860 ; 2 гривены. Украина. Остап Вересай ; 2003 ;  ; Cu-Ni ; AU ; 6 ; Vol4en0k ; 305 
 3861 ; 2 гривены. Украина. Легкая атлетика ; 2013 ;  ; Cu-Ni ; AU ; 18 ; divergent ; 184 
 3862 ; 2 гривены. Украина. Михаил Кравчук ; 2012 ;  ; Cu-Ni ; AU ; 25 ; ЛБС ; 509 
 3863 ; 2 гривены. Украина. Панас Мирный ; 1999 ;  ; Cu-Ni ; AU ; 23 ; jj ; 261 
 3864 ; 5 гривен. Украина. Мотор-Сич ; 2007 ;  ; Cu-Ni ; AU ; 25 ; xxxl ; 253 
 3865 ; 5 гривен. Украина. Свято-Успенский монастырь ; 2012 ;  ; Cu-Ni ; AU ; 11 ; xxxl ; 184 
 3866 ; 5 гривен. Украина Киевский меридиан ; 2010 ;  ; Cu-Ni ; AU ; 11 ; xxxl ; 166 
 3867 ; 5 гривен. Украина. Битва за Днепр ; 2013 ;  ; Cu-Ni ; AU ; 18 ; divergent ; 206 
 3868 ; 5 гривен. Украина. Антарктическая станция ; 2006 ;  ; Cu-Ni ; AU ; 21 ; Bronco ; 275 
 3869 ; 2 гривны. Украина. Киевская политехника ; 2010 ;  ; Cu-Ni ; AU ; 4 ; xxxl ; 114 
 3870 ; 2 гривны. Украина. Киевский нац университет им Тараса Шевченко ; 2004 ;  ; Cu-Ni ; AU ; 7 ; xxxl ; 159 
 3871 ; 2 гривны. Украина. Яков Гнездовский ; 2015 ;  ; Cu-Ni ; AU ; 10 ; divergent ; 114 
 3872 ; 2 гривны. Украина. Филармония ; 2013 ;  ; Cu-Ni ; AU ; 25 ; divergent ; 184 
 3873 ; 2 гривны. Украина. Харьковский политехнический институт ; 2010 ;  ; Cu-Ni ; AU ; 12 ; xxxl ; 138 
 3874 ; 5 гривен. Украина. Цимбали ; 2006 ;  ; Би/м ; AU ; 8 ; kost ; 133 
 3875 ; 500 вон. Северная Корея ; 2001 ;  ; Cu-Ni ; VF ; 5 ; бортик ; 51 
 3876 ; 2 евро. Испания ; 2015 ;  ; Би/м ; AU ; 15 ; продавец шаров ; 230 
 3877 ; 2 евро. Сан-Марино ; 2013 ;  ; Би/м ; AU ; 10 ; natalka ; 153 
 3878 ; 2 евро. Испания ; 2015 ;  ; Би/м ; AU ; 24 ; ag58 ; 224 
 3879 ; 2 евро. Нидерлпнды ;  ;  ; Би/м ; AU ; 16 ; продавец шаров ; 320 
 3880 ; 2 евро. Испания ; 2014 ;  ; Би/м ; AU ; 10 ; ag58 ; 214 
 3881 ; 2 евро. Словакий. Кирилл и Мефодий ; 2013 ;  ; Би/м ; AU ; 14 ; ag58 ; 224 
 3882 ; 2 евро. Словакия ; 2011 ;  ; Би/м ; AU ; 16 ; саны4 ; 202 
 3883 ; 2 евро. Словакия. Вышеградская встреча ; 2011 ;  ; Би/м ; AU ; 11 ; sever55 ; 234 
 3884 ; 2 евро. Словакия. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 12 ; ag58 ; 224 
 3885 ; 2 евро. Словакия ; 2014 ;  ; Би/м ; AU ; 18 ; ag58 ; 224 
 3886 ; 2 евро. Люксембург ; 2014 ;  ; Би/м ; AU ; 7 ; саны4 ; 200 
 3887 ; 2 евро. Люксембург ; 2012 ;  ; Би/м ; AU ; 11 ; sever55 ; 209 
 3888 ; 2 евро. Люксембург ; 2012 ;  ; Би/м ; AU ; 11 ; продавец шаров ; 219 
 3889 ; 2 евро. Люксембург ; 2005 ;  ; Би/м ; AU ; 14 ; natpulkovo ; 202 
 3890 ; 2 евро. Португалия ; 2011 ;  ; Би/м ; AU ; 9 ; natpulkovo ; 267 
 3891 ; 2 евро. Португалия ; 2014 ;  ; Би/м ; AU ; 12 ; ag58 ; 224 
 3892 ; 2 евро. Португалия ; 2013 ;  ; Би/м ; AU ; 12 ; ag58 ; 224 
 3893 ; 2 евро. Португалия ; 2007 ;  ; Би/м ; AU ; 10 ; саны4 ; 255 
 3894 ; 2 евро. Португалия ; 2015 ;  ; Би/м ; AU ; 13 ; dsp ; 245 
 3895 ; 2 евро. Португалия ; 2010 ;  ; Би/м ; AU ; 13 ; ag58 ; 189 
 3896 ; 2 евро. Бельгия.  ; 2014 ;  ; Би/м ; AU ; 7 ; саны4 ; 200 
 3897 ; 2 евро. Испания. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 7 ; саны4 ; 200 
 3898 ; 2 евро. Люксембург ; 2009 ;  ; Би/м ; AU ; 9 ; nivva ; 272 
 3899 ; 2 евро. Словакия. 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; AU ; 7 ; саны4 ; 200 
 3900 ; 20 НГВЕ. Замбия ; 1968 ;  ; Cu-Ni ; VF ; 31 ; 000SABik ; 179 
 3901 ; 1 доллар. США ; 1971D ;  ; Cu-Ni ; XF ; 15 ; bcs ; 114 
 3902 ; 5 шиллингов. Джерси ; 1966 ;  ; Cu-Ni ; XF ; 19 ; 1023oxana ; 279 
 3903 ; 1/2 доллара. США ; 1976D ;  ; Cu-Ni ; XF ; 8 ; святослав35 ; 64 
 3904 ; 2-1/2 гульдена. Нидерланды ; 1979 ;  ; Cu-Ni ; XF ; 13 ; t_v_v ; 67 
 3905 ; 1/2 кроны. Великобритания ; 1958 ;  ; Cu-Ni ; VF ; 16 ; teso ; 114 
 3806 ; 1 цент. США ; 1943 ;  ; Zn/St ; VF- ; 15 ; Doca ; 125 
 3807 ; 10 сен. Япония ; 1940-1943 ;  ; Al ; VF ; 8 ; Dmitry21 ; 51 
 3808 ; 1 эре. Норвегия ; 1943 ;  ; Fe ; VF ; 11 ; Markgraf ; 79 
 3809 ; 5 лева. Болгария ; 1981 ;  ; Cu-Ni ; XF+ ; 14 ; SKeeper ; 99 
 3810 ; 7 1/2 скар. Тибет ;  ;  ; Cu ; F+ ; 28 ; d-master ; 340 
 3811 ; 5 пара. Турция ; 20в ;  ; Ni ; VF ; 31 ; divergent ; 91 
 3812 ; Монета. Тайланд ;  ;  ; Cu-Ni ; VF ; 26 ; MAMON ; 45 
 3813 ; 500 йен. Япония ;  ;  ; Би/м ; AU ; 32 ; нионила ; 387 
 3814 ; 500 йен. Япония ;  ;  ; Би/м ; AU ; 30 ; нионила ; 390 
 3815 ; 500 йен. Япония ;  ;  ; Би/м ; AU ; 29 ; нионила ; 394 
 3816 ; 1 фунт. Великобритания ; 2012 ;  ; Латунь ; VF+ ; 13 ; Bronco ; 155 
 3817 ; 100 форинтов. Венгрия ; 1998 ;  ; Би/м ; VF+ ; 11 ; MAMON ; 51 
 3818 ; 1 евро. Латвия ; 2014 ;  ; Би/м ; XF+ ; 8 ; sever55 ; 93 
 3819 ; 2 евро. Германия ; 2015 ;  ; Би/м ; AU ; 25 ; саны4 ; 197 
 3820 ; 2 евро. Германия. 50 лет Римскому договору ; 2007 ;  ; Би/м ; XF ; 25 ; саны4 ; 187 
 3821 ; 2 евро. Австрия. 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; XF ; 31 ; salim ; 231 
 3822 ; 2 евро. Германия. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF ; 34 ; nivva ; 213 
 3823 ; 2 евро. Германия. 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; XF- ; 10 ; dsp ; 238 
 3824 ; 2 евро. Германия. Саарленд ; 2009 ;  ; Би/м ; XF- ; 35 ; dsp ; 219 
 3825 ; 2 евро. Словакия. 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; XF- ; 14 ; саны4 ; 181 
 3826 ; 2 евро. Австрия. 50 лет Римскому договору ; 2009 ;  ; Би/м ; XF- ; 8 ; саны4 ; 204 
 3827 ; 5 песо. Мексика ; 2010 ;  ; Би/м ; XF ; 12 ; kornum ; 175 
 3828 ; 5 песо. Мексика ; 2008 ;  ; Би/м ; XF ; 9 ; kornum ; 159 
 3829 ; 5 песо. Мексика ; 2009 ;  ; Би/м ; XF- ; 8 ; divergent ; 104 
 3830 ; 5 песо. Мексика ; 2008 ;  ; Би/м ; XF- ; 7 ; alankar51 ; 101 
 3831 ; 5 песо. Мексика ; 2009 ;  ; Би/м ; XF- ; 7 ; alankar51 ; 101 
 3832 ; 5 песо. Мексика ; 2009 ;  ; Би/м ; XF- ; 12 ; divergent ; 159 
 3833 ; 5 песо. Мексика ; 2009 ;  ; Би/м ; XF- ; 7 ; alankar51 ; 101 
 3834 ; 5 песо. Мексика ; 2008 ;  ; Би/м ; XF- ; 8 ; kornum ; 101 
 3835 ; 5 песо. Мексика ; 2009 ;  ; Би/м ; XF- ; 7 ; t_v_v ; 79 
 3836 ; 5 песо. Мексика ; 2009 ;  ; Би/м ; XF- ; 7 ; alankar51 ; 101 
 3837 ; 5 песо. Мексика ; 2010 ;  ; Би/м ; XF- ; 14 ; kornum ; 147 
 3838 ; 5 песо. Мексика ; 2009 ;  ; Би/м ; XF- ; 17 ; divergent ; 101 
 3839 ; 5 песо. Мексика ; 2009 ;  ; Би/м ; XF- ; 11 ; t_v_v ; 79 
 3840 ; 5 песо. Мексика ; 2008 ;  ; Би/м ; XF- ; 12 ; divergent ; 159 
 3841 ; 5 песо. Мексика ; 2010 ;  ; Би/м ; XF- ; 12 ; alankar51 ; 137 
 3842 ; 5 песо. Мексика ; 2008 ;  ; Би/м ; XF- ; 22 ; t_v_v ; 99 
 3843 ; 5 песо. Мексика ; 2008 ;  ; Би/м ; XF- ; 7 ; t_v_v ; 80 
 3844 ; 5 гривен. Украина. УЕФА ; 2011 ;  ; Cu-Ni ; AU ; 12 ; SKeeper ; 263 
 3845 ; 5 гривен. Украина. УЕФА ; 2011 ;  ; Cu-Ni ; AU ; 6 ; SKeeper ; 305 
 3846 ; 5 гривен. Украина. Коростень ; 2005 ;  ; Cu-Ni ; AU ; 30 ; heavy_fly ; 375 
 3847 ; 5 гривен. Украина. Черновцы ; 2008 ;  ; Cu-Ni ; AU ; 19 ; макдак ; 263 
 3848 ; 5 гривен. Украина. УЕФА ; 2011 ;  ; Cu-Ni ; AU ; 10 ; SKeeper ; 291 
 3849 ; 5 гривен. Украина. Украинская вышивка ; 2013 ;  ; Cu-Ni ; AU ; 8 ; Redkyt ; 544 
 3850 ; 5 гривен. Украина. Богуслав ; 2008 ;  ; Cu-Ni ; AU ; 25 ; heavy_fly ; 250 
 3851 ; 5 гривен. Украина. Ивано-Франковск ; 2012 ;  ; Cu-Ni ; AU ; 15 ; xxxl ; 247 
 3852 ; 5 гривен. Украина. Кировоград ; 2004 ;  ; Cu-Ni ; AU ; 14 ; dinkini ; 518 
 3853 ; 5 гривен. Украина. Ужгород ; 2013 ;  ; Cu-Ni ; AU ; 11 ; divergent ; 193 
 3854 ; 5 гривен. Украина. Ровно ; 2008 ;  ; Cu-Ni ; AU ; 17 ; heavy_fly ; 261 
 3855 ; 5 гривен. Украина. Донбас ; 2013 ;  ; Cu-Ni ; AU ; 9 ; страус ; 305 
 3756 ; 1 сольдо. Ватикан ; 1866 ;  ; Cu ; VF- ; 36 ; batuke ; 354 
 3757 ; 10 кэш. Китай ;  ;  ; Cu ; VF ; 14 ; 000SABik ; 148 
 3758 ; 1 марка. Финляндия ; 1967 ;  ; Ag ; XF ; 7 ; shaxter2015 ; 117 
 3759 ; 100 рейс Португалия ; 1900 ;  ; Cu-Ni ; F-VF ; 11 ; Mike! ; 137 
 3760 ; 1 гульден. Нидерландские Антиллы ; 1971 ;  ; Cu-Ni ; XF ; 7 ; бортик ; 68 
 3761 ; 2 эре. Швеция ; 1893 ;  ; Br ; VF ; 3 ; Mike! ; 84 
 3762 ; 1 хеллер. Немецкая Ост-Африка ; 1904 ;  ; Br ; F+ ; 32 ; Mike! ; 262 
 3763 ; 1/10 гульдена. Нидерландская Индия ; 1930 ;  ; Ag ; VF ; 19 ; Mike! ; 151 
 3764 ; 1/2 крейцера. Баден ; 1851 ;  ; Cu ; VF- ; 16 ; Mike! ; 155 
 3765 ; 2 сантима. Франция ; 1899 ;  ; Br ; F-VF ; 12 ; бортик ; 134 
 3766 ; 5 пара. Египет ; 1277 ;  ; Cu ; F+ ; 22 ; Markgraf ; 159 
 3767 ; 4 гроша. Пруссия ; 1803 ;  ; Ag ; F ; 15 ; Mike! ; 378 
 3768 ; 10 сантимов. Франция ; 1903 ;  ; Cu ; VF ; 10 ; Mike! ; 76 
 3769 ; 1 цент. Гон-Конг ; 1933 ;  ; Br ; VF ; 11 ; Mike! ; 88 
 3770 ; 5 сантимов. Франция ; 1914 ;  ; Br ; VF- ; 4 ; Mike! ; 78 
 3771 ; 2 доллара. Канада ; 1996 ;  ; Би/м ; XF+ ; 3 ; Mike! ; 114 
 3772 ; 1 хеллер. Франкфурт на Майне ; 1863 ;  ; Cu ; VF ; 11 ; Mike! ; 262 
 3773 ; 2-1/2сантима. Люксембург ; 1854 ;  ; Br ; VF ; 19 ; Mike! ; 174 
 3774 ; 1 пфенниг. Бавария ; 1871 ;  ; Cu ; VF ; 9 ; Mike! ; 156 
 3775 ; 50 сантимо. Испания ; 1880 ;  ; Ag ; VF ; 17 ; shaxter2015 ; 247 
 3776 ; 5 гривен. Украина. Гончар ; 2010 ;  ; Cu-Ni ; AU ; 15 ; heavy_fly ; 260 
 3777 ; 3 пфеннига. Пруссия ; 1823D ;  ; Cu ; F ; 4 ; Mike! ; 59 
 3778 ; 10 центов. Канада ; 1967 ;  ; Ag ; VF+ ; 9 ; Mike! ; 90 
 3779 ; 1 скиллинг. Дания ; 1856 ;  ; Br ; VF ; 14 ; uharius ; 115 
 3780 ; 1 марка. Финляндия ; 1966 ;  ; Ag ; VF-XF ; 11 ; shaxter2015 ; 117 
 3781 ; 4 пфеннига. Пруссия ; 1851 ;  ; Cu ; VF- ; 18 ; Mike! ; 153 
 3782 ; 500 драхм. Греция ; 2004 ;  ; Cu-Ni ; XF ; 17 ; kornum ; 227 
 3783 ; 1/2 гульдена. Нидерланды ; 1861 ;  ; Ag ; VF- ; 28 ; Mike! ; 502 
 3784 ; 25 эре. Швеция ; 1936 ;  ; Ag ; VF ; 24 ; shaxter2015 ; 100 
 3785 ; 100 эскудо. Португалия. Якобс Родригерс ; 1981 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 129 
 3786 ; 25 центов. Канада ; 1959 ;  ; Ag ; VF- ; 9 ; Mike! ; 111 
 3787 ; 1 пенни. Токен. Канада ; 1837 ;  ; Cu ; F+ ; 12 ; divergent ; 148 
 3788 ; 5 бани. Румыния ; 1867 ;  ; Cu ; F ; 10 ; Александр007 ; 128 
 3789 ; 5 франков. Франция ; 1994 ;  ; Cu-Ni ; XF- ; 12 ; nemeshika ; 153 
 3790 ; 3 пенса. Австралия ; 1943 ;  ; Ag ; VF+ ; 10 ; Mike! ; 67 
 3791 ; 1 марка. Финляндия ; 1937 ;  ; Cu-Ni ; VF ; 18 ; YG2013 ; 51 
 3792 ; 10 пенни. Финляндия ; 1938 ;  ; Cu ; XF ; 13 ; VAZ-2107 ; 51 
 3793 ; 10 пенни. Финляндия ; 1941 ;  ; Cu ; XF ; 8 ; YG2013 ; 43 
 3794 ; 50 пфенниг. Германия ; 1941E ;  ; Al ; VF ; 33 ; Jauho ; 258 
 3795 ; 1 пфенниг. Германия ; 1941A ;  ; Zn ; VF ; 12 ; ed1 ; 107 
 3796 ; 25 пфенниг. Германия. Нотгельд ; 1919 ;  ; Fe ; VF ; 22 ; Jauho ; 312 
 3797 ; 50 пфенниг. Германия. Нотгельд ; 1920 ;  ; Fe ; VF+ ; 26 ; dim66 ; 195 
 3798 ; 2 1/2 пфенниг. Германия. Нотгельд ;  ;  ; Zn ; VF ; 17 ; Jauho ; 216 
 3799 ; 10 пфенниг. Германия. Нотгельд ; 1919 ;  ; Fe ; VF- ; 15 ; serow1975 ; 81 
 3800 ; 10 марок. ГДР ; 1990 ;  ; Cu-Ni ; XF ; 21 ; Rober ; 148 
 3801 ; 10 грошей. Польша ; 1923 ;  ; Zn ; F-VF ; 6 ; cotangens ; 92 
 3802 ; 10 грошей. Польша ; 1923 ;  ; Zn ; VF- ; 9 ; av ; 45 
 3803 ; 25 сент. Нидерланды ; 1942 ;  ; Zn ; VF- ; 12 ; spbfun ; 34 
 3804 ; 25 эре. Дания ; 1944 ;  ; Zn ; VF- ; 11 ; бортик ; 112 
 3805 ; 5 центов. США ; 1945S ;  ; Cu/Ag ; F-VF ; 17 ; Doca ; 95 
 3706 ; 20 сентаво. Филиппины ; 1944D ;  ; Ag ; XF ; 15 ; Grey 13 ; 239 
 3707 ; 20 марок. ГДР. Вильгельм Пик ; 1972 ;  ; Cu-Ni ; XF ; 7 ; Mike! ; 82 
 3708 ; 100 эскудо. Португалия. Камило Кастело Бранко ; 1990 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 118 
 3709 ; 10 центов. Канада ; 1965 ;  ; Ag ; VF+ ; 2 ; Mike! ; 111 
 3710 ; 2 марки. ФРГ ; 1990J ;  ; Cu-Ni ; VF ; 9 ; zhenek0301 ; 100 
 3711 ; 10 франков. Франция ; 1986 ;  ; Cu-Ni ; XF+ ; 10 ; Mike! ; 63 
 3712 ; 2 эре. Дания ; 1874 ;  ; Cu ; VF- ; 13 ; uharius ; 114 
 3713 ; 5 центов. Нидерланды ; 1863 ;  ; Ag ; VF+ ; 23 ; Mike! ; 271 
 3714 ; Монета иностранная ; 1769 ;  ; Ag ; F ; 13 ; banks ; 350 
 3715 ; 6 пенсов. Австралия ; 1943 ;  ; Ag ; XF ; 22 ; Mike! ; 140 
 3716 ; 10 сантимов. Франция ; 1870 ;  ; Cu ; VF- ; 27 ; divergent ; 159 
 3717 ; 20 вон. Северная Корея. Кит ; 2001 ;  ; Латунь ; Proof ; 11 ; макдак ; 305 
 3718 ; 20 вон. Северная Корея. Обезьяны ; 2004 ;  ; Латунь ; Proof ; 16 ; Mike! ; 294 
 3719 ; 2-1/2 гульдена. Нидерланды ; 1962 ;  ; Ag ; XF ; 13 ; Mike! ; 407 
 3720 ; 1/2 доллара. США. ; 1986 ;  ; Cu/Ni ; Proof ; 11 ; Mike! ; 157 
 3721 ; 10 марок. Шлезвиг-Гольштейн ; 1923 ;  ; al ; F-VF ; 23 ; Mike! ; 181 
 3722 ; 200 эскудо. Португалия. Небесная навигация ; 1991 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 120 
 3723 ; 10 писо. Филиппины. Революция ; 1988 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 79 
 3724 ; 1 дайм. США ; 1944 ;  ; Ag ; VF ; 3 ; Mike! ; 102 
 3725 ; 1 песета. Испания ; 1870 ;  ; Ag ; F ; 11 ; Mike! ; 228 
 3726 ; 100 эскудо. Португалия. Независимость ; 1990 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 124 
 3727 ; 1 доллар. Новая Зеландия ; 1986 ;  ; Cu-Ni ; AU ; 11 ; SKeeper ; 380 
 3728 ; 1 дайм. США ; 1943 ;  ; Ag ; VF+ ; 19 ; Mike! ; 102 
 3729 ; 50 бани. Румыния ; 1910 ;  ; Ag ; F ; 15 ; Mike! ; 177 
 3730 ; 5/10 сольдо. Ломбардия и Венеция ; 1862 ;  ; Br ; VF+ ; 21 ; ЛБС ; 316 
 3731 ; 100 эскудо. Португалия. Бартоломео Диас ; 1988 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 119 
 3732 ; 25 центов. Канада ; 1967 ;  ; Ag ; VF+ ; 27 ; Mike! ; 227 
 3733 ; 1 франк. Бельгия ; 1923 ;  ; Cu-Ni ; VF ; 21 ; Rober ; 51 
 3734 ; 1 ринггит. Малайзия ; 1982 ;  ; Cu-Ni ; AU ; 51 ; sneg96 ; 327 
 3735 ; 1/4 стубера. Германия ; 1799 ;  ; Cu ; F ; 8 ; divergent ; 114 
 3736 ; 100 эскудо. Португалия. Азорские острова ; 1989 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 143 
 3737 ; 5 франков. Швейцария. Готтфрид Келлер ; 1990 ;  ; Cu-Ni ; AU ; 10 ; SKeeper ; 361 
 3738 ; 100 эскудо. Португалия. Антеро де Кенталь ; 1991 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 124 
 3739 ; 2 пфеннига. Пруссия ; 1821 ;  ; Cu ; F ; 9 ; Mike! ; 53 
 3740 ; 20 пара. Турция ; 1277 ;  ; Cu ; VF ; 14 ; Ronald ; 261 
 3741 ; 1 крейцер. Австрия ; 1851A ;  ; Cu ; VF ; 21 ; Mike! ; 136 
 3742 ; 50 тенге. Казахстан. Богомол ; 2012 ;  ; Cu-Ni ; XF- ; 20 ; xxxl ; 204 
 3743 ; 10 пенни. Токен ;  ;  ; Ж/м ; VF ; 5 ; Mike! ; 34 
 3744 ; 1 крона. Остров Мэн. Кошка ; 1988 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 297 
 3745 ; 5 марок. ГДР. Майсен ; 1972A ;  ; Cu-Ni ; VF+ ; 30 ; StanislavAK ; 114 
 3746 ; 100 песет. Испания ; 1966 ;  ; Ag ; XF+ ; 21 ; Mike! ; 453 
 3747 ; 200 эскудо. Португалия. Президентство в ЕС ; 1992 ;  ; Cu-Ni ; AU ; 15 ; Mike! ; 130 
 3748 ; 5 марок. Гамбург ; 1923 ;  ; Al ; VF-XF ; 9 ; Rosomaha ; 227 
 3749 ; 2 куруша. Турция ; 1293 ;  ; Ag ; VF+ ; 10 ; Mike! ; 237 
 3750 ; 2 лиры. Италия ; 1923 ;  ; Cu-Ni ; VF ; 7 ; бортик ; 112 
 3751 ; 5 новых шекелей. Израиль ;  ;  ; Cu-Ni ; VF ; 7 ; Mike! ; 79 
 3752 ; 100 эскудо. Португалия. Диего Као ; 1987 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 123 
 3753 ; 3 пенса. Австралия ; 1963 ;  ; Ag ; XF ; 12 ; Mike! ; 123 
 3754 ; 200 эскудо. Португалия. Навигация ; 1991 ;  ; Cu-Ni ; XF ; 13 ; Mike! ; 123 
 3755 ; 200 эскудо. Португалия. Эспингарда ; 1993 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 153 
 3656 ; 2 гривны. Украина. Николай Рерих ; 2014 ;  ; Cu-Ni ; AU ; 7 ; Mike! ; 373 
 3657 ; 5 гривен. Украина. Запорожская область ; 2014 ;  ; Би/м ; AU ; 7 ; Mike! ; 393 
 3658 ; 5 гривен. Украина. Волынская область ; 2014 ;  ; Би/м ; AU ; 6 ; Mike! ; 333 
 3659 ; 5 гривен. Украина. Андреевская церковь ; 2011 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 263 
 3660 ; 20 пфеннигов. Саксония ; 1921 ;  ; Керамика ; XF ; 7 ; YG2013 ; 350 
 3661 ; 100 эскудо. Португалия. Независимоть ; 1990 ;  ; Cu-Ni ; AU ; 13 ; страус ; 134 
 3662 ; 100 эскудо. Португалия. Камило Кастело Бранко ; 1990 ;  ; Cu-Ni ; AU ; 16 ; StanislavAK ; 134 
 3663 ; 100 эскудо. Португалия. Диего Као ; 1987 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 124 
 3664 ; 3 пенса. Австралия ; 1936 ;  ; Ag ; VF- ; 19 ; asus ; 171 
 3665 ; 2 куруша. Турция ; 1293 ;  ; Ag ; VF-XF ; 19 ; Mike! ; 278 
 3666 ; 200 эскудо. Португалия. Президентство в ЕС ; 1992 ;  ; Cu-Ni ; XF+ ; 11 ; Mike! ; 120 
 3667 ; 1 франк. Франция. Гваделупа ; 1903 ;  ; Cu-Ni ; VF ; 31 ; Mike! ; 1507 
 3668 ; 100 песет. Испания ; 1980 ;  ; Cu-Ni ; AU ; 7 ; Mike! ; 67 
 3669 ; 20 вон. Северная Корея. Кит ; 2001 ;  ; Латунь ; Proof ; 27 ; alankar51 ; 365 
 3670 ; 20 марок. ГДР. Тельман ; 1971 ;  ; Cu-Ni ; XF+ ; 11 ; Mike! ; 91 
 3671 ; 10 марок. ГДР. 20 лет Варшавскому договру ; 1975 ;  ; Cu-Ni ; XF+ ; 15 ; Mike! ; 108 
 3672 ; 50 франков. Франция ; 1953 ;  ; Al/Br ; XF ; 7 ; Mike! ; 55 
