 5825 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 11 ; ZIMOGOR ; 93 
 3490 ; 5 гривен. Украина. Антарктическая станция ; 2006 ;  ; Cu-Ni ; AU ; 10 ; ААФ ; 143 
 3491 ; 5 гривен. Украина. Елецкий Свято-Успенский монастырь ; 2012 ;  ; Cu-Ni ; AU ; 20 ; Зимний ; 165 
 3492 ; 2 гривны. Украина. 125 лет Харьковскому Политехническому институту ; 2010 ;  ; Cu-Ni ; AU ; 9 ; ААФ ; 112 
 3493 ; 2,5 евро. Португалия ; 2010 ;  ; Cu-Ni ; XF- ; 17 ; doiu33 ; 120 
 3494 ; 5 марок. ФРГ ; 1980 ;  ; Ni ; VF ; 22 ; 542 ; 91 
 3495 ; 10  пфеннигов. Германия. Нотгельд города Кобленц ; 1918 ;  ; St ; F-VF ; 8 ; S1952 ; 92 
 3496 ; 10  пфеннигов. Германия. Нотгельд города Диллкрайнс ; 1917 ;  ; Zn ; F+ ; 18 ; colonel6262 ; 262 
 3497 ; 10 пфеннигов. Германия. Нотгельд города Кассель ; 1917 ;  ; St ; F+ ; 10 ; aziya11 ; 96 
 3498 ; 10  пфеннигов. Германия. Нотгельд города Франкфурт ; 1917 ;  ; Zn ; F-VF ; 10 ; banks ; 114 
 3499 ; 10  пфеннигов. Германия. Нотгельд города Бохум ; 1918 ;  ; St ; F-VF ; 12 ; banks ; 108 
 3500 ; 5  пфеннигов. Германия. Нотгельд города Кассель ; 1917 ;  ; Zn ; F-VF ; 13 ; Jauho ; 102 
 3501 ; 1 доллар (1 унция серебра). США ; 1991 ;  ; Ag ; AU ; 18 ; alik434 ; 1280 
 3502 ; 50 марок. Финляндия. Президент Кекконен ; 1981 ;  ; Ag ; AU ; 15 ; ААФ ; 509 
 3503 ; 10 крон. Норвегия. 150 лет Конституции ; 1964 ;  ; Ag ; AU ; 15 ; OgAnVi ; 804 
 3504 ; 8 дублей. Британский о-в Гернси ; 1934 ;  ; Br ; VF-XF ; 8 ; ilmar ; 92 
 3505 ; 1/2 пенни. Токен. Британская Канада ; 1850 ;  ; Cu ; F-VF ; 8 ; S1952 ; 128 
 3506 ; 10 сен. Япония. 17-й год Сёва ; 1942 ;  ; Al ; VF ; 17 ; dic79 ; 57 
 3507 ; 1 франк. Швейцария ; 1952 ;  ; Ag ; XF- ; 15 ; Jan Grandier ; 200 
 3508 ; 1 гульден. Нидерланды ; 1955 ;  ; Ag ; VF+ ; 15 ; Bizon6055 ; 174 
 3509 ; 1 ранд. ЮАР ; 1877 ;  ; Ni ; VF-XF ; 11 ; igor39 ; 83 
 3510 ; 5 шиллингов. Кения ; 1994 ;  ; Ni ; AU ; 5 ; Sam ; 41 
 3511 ; 1 тугрик Монголия. 50 лет Рецолюции ; ND ;  ; Al/Br ; XF- ; 17 ; ААФ ; 68 
 3512 ; 20 злотых. Польша. Первый поляк в космове ; 1978 ;  ; Cu-Ni ; VF+ ; 15 ; dic79 ; 62 
 3513 ; 5 лат. Латвия ; 1929 ;  ; Ag ; VF-XF ; 18 ; bethowen ; 929 
 3514 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937А ;  ; Ag ; VF ; 18 ; hanim ; 233 
 3515 ; 200 форинтов. Венгрия. Ференц Деак ; 1994 ;  ; Ag ; XF+ ; 16 ; СТРЕКОЗА ; 328 
 3516 ; 1/2 доллара. США ; 1967 ;  ; Ag ; AU ; 15 ; ААФ ; 357 
 3517 ; 5 злотых. Польша ; 1934 ;  ; Ag ; VF ; 14 ; Baikal ; 308 
 3518 ; 5 злотых. Польша ; 1934 ;  ; Ag ; F+ ; 12 ; Baikal ; 186 
 3519 ; 2 злотых. Польша ; 1932 ;  ; Ag ; VF- ; 14 ; 458 ; 207 
 3520 ; 2 злотых. Польша ; 1933 ;  ; Ag ; VF- ; 12 ; Baikal ; 153 
 3521 ; 20 крейцеров. Австрия ; 1841 ;  ; Ag ; F ; 9 ; Zигмунт ; 125 
 3522 ; 10 шиллингов. Австрия ; 1958 ;  ; Ag ; XF- ; 10 ; dow57 ; 101 
 3523 ; 20 тенге. Казахстан. Жамбыл ; 1996 ;  ; Cu-Ni ; XF ; 17 ; Monata ; 124 
 3524 ; 500 франков. Марокко. Мухаммед V ; 1956 ;  ; Ag ; VF+ ; 37 ; Алек ; 1332 
 3525 ; 50 сен. Япония ; 20в ;  ; Ag ; XF ; 32 ; kolbur ; 273 
 3526 ; 2 куруша. Турция ; 1876 ;  ; Ag ; VF- ; 10 ; vesta78 ; 102 
 3527 ; 2 пиастра. Египет ; 1944 ;  ; Ag ; VF+ ; 27 ; Ю42 ; 555 
 3528 ; 200 лир. Италия ; 1993 ;  ; Al/Br ; XF ; 7 ; П.А.Н. ; 48 
 3529 ; 200 лир. Италия ; 1992 ;  ; Al/Br ; XF ; 9 ; ВЯЗЪ ; 46 
 3530 ; 200 лир. Италия ; 1990 ;  ; Al/Br ; XF ; 11 ; dencon ; 94 
 3531 ; 200 лир. Италия ; 1997 ;  ; Al/Br ; XF ; 27 ; dencon ; 90 
 3532 ; 200 лир. Италия ; 1980 ;  ; Al/Br ; VF+ ; 7 ; П.А.Н. ; 43 
 3433 ; 1 пфеннинг. Германия ; 1917D ;  ; Al ; XF- ; 11 ; banks ; 92 
 3434 ; 1 пенни. Великобритания. Виктория ; 1897 ;  ; Br ; F-VF ; 12 ; t_v_v ; 26 
 3435 ; 1 цент. Канада. Георг V ; 1916 ;  ; Br ; VF+ ; 11 ; dic79 ; 56 
 3436 ; 2 марки. ФРГ. Людвиг Эрхард ; 1990J ;  ; Cu-Ni ; VF-XF ; 17 ; Диман13 ; 82 
 3437 ; 2 марки. ФРГ. Франц Йозеф Штраус ; 1994J ;  ; Cu-Ni ; VF-XF ; 10 ; ВМШ ; 219 
 3438 ; 2 марки. ФРГ. Теодор Хойс ; 1974J ;  ; Cu-Ni ; VF+ ; 12 ; 542 ; 118 
 3439 ; 1 марка. ФРГ ; 1971J ;  ; Cu-Ni ; VF+ ; 23 ; 542 ; 102 
 3440 ; 1 марка. ФРГ ; 1972J ;  ; Cu-Ni ; VF+ ; 17 ; fr60 ; 37 
 3441 ; 1 марка. ФРГ ; 1973J ;  ; Cu-Ni ; VF+ ; 15 ; 542 ; 102 
 3442 ; 1 марка. ФРГ ; 1974J ;  ; Cu-Ni ; VF-XF ; 11 ; 542 ; 101 
 3443 ; 1 марка. ФРГ ; 1975J ;  ; Cu-Ni ; VF+ ; 11 ; 542 ; 102 
 3444 ; 5 шиллингов. Авастрия ; 1969 ;  ; Cu-Ni ; VF+ ; 7 ; alex995 ; 23 
 3445 ; 20 центов. Австралия ; 1975 ;  ; Cu-Ni ; XF ; 9 ; Akatava ; 31 
 3446 ; 25 хеллер. Чехословакия ; 1953 ;  ; Al ; VF ; 4 ; alex995 ; 23 
 3447 ; 25 хеллер. Чехословакия ; 1963 ;  ; Al ; VF ; 4 ; alex995 ; 23 
 3448 ; 50 центов. Кипр ; 1974 ;  ; Cu-Ni ; VF-XF ; 16 ; Gagarin ; 34 
 3449 ; 15 бани. Румыния ; 1975 ;  ; Al ; XF ; 3 ; fr60 ; 15 
 3450 ; 50 сентимес. Франция ; 1922 ;  ; Al/Br ; VF+ ; 21 ; igor39 ; 51 
 3451 ; 50 сентимес. Франция ; 1924 ;  ; Al/Br ; VF ; 13 ; П.А.Н. ; 40 
 3452 ; 2 франка. Франция ; 1936 ;  ; Al/Br ; F-VF ; 7 ; Sam ; 34 
 3453 ; 10 пайса. Пакистан ; 1967 ;  ; Cu-Ni ; VF+ ; 11 ; bingo71 ; 41 
 3454 ; 1/2 пенни. Ирландия ; 1965 ;  ; Br ; XF ; 19 ; kostas ; 71 
 3455 ; 5 миллиемес. Египет ; 1929-1935 ;  ; Cu-Ni ; VF ; 10 ; buben ; 41 
 3456 ; 5 миллиемес. Египет ; 1917 ;  ; Cu-Ni ; VF+ ; 13 ; OVK ; 81 
 3457 ; 20 центов. Кипр ; 1992 ;  ; Латунь ; XF ; 5 ; Sam ; 31 
 3458 ; 1 доллар. Гон-Конг ; 1960 ;  ; Cu-Ni ; XF- ; 20 ; alik434 ; 97 
 3459 ; 1 динар.Тунис ; 1997 ;  ; Cu-Ni ; VF+ ; 5 ; fr60 ; 28 
 3460 ; 5 динар.Тунис ; 2002 ;  ; Би/м ; XF ; 4 ; Ю42 ; 58 
 3461 ; 50 центов. Цейлон. Георг VI ; 1943 ;  ; Al/Br ; XF ; 26 ; Makys ; 318 
 3462 ; 1 пенни. Австралия. Георг V ; 1934 ;  ; Br ; VF+ ; 7 ; igor39 ; 77 
 3463 ; 1 пенни. Австралия.  Георг VI ; 1939 ;  ; Br ; XF ; 5 ; igor39 ; 79 
 3464 ; 1 пенни. Австралия. Виктория ; 1963 ;  ; Br ; XF ; 15 ; banks ; 79 
 3465 ; 1 цент. Южная Африка ; 1964 ;  ; Латунь ; XF ; 15 ; banks ; 75 
 3466 ; 100 филс-Дирхем. Иордания ; 1978-1991 ;  ; Cu-Ni ; VF+ ; 11 ; Sam ; 38 
 3467 ; 1 ранд. Южная Африка ; 1977 ;  ; Cu-Ni ; VF ; 7 ; salim ; 31 
 3468 ; 1 ранд. Южная Африка ; 1983 ;  ; Cu-Ni ; VF ; 9 ; барсик ; 31 
 3469 ; 1 ранд. Южная Африка ; 1977 ;  ; Cu-Ni ; VF ; 7 ; STANDART ; 31 
 3470 ; 100 лей. Румыния ; 1994 ;  ; Cu-Ni ; XF- ; 21 ; Sam ; 37 
 3471 ; 50 центов. Южная Африка ; 1971 ;  ; Cu-Ni ; VF+ ; 16 ; dsp ; 44 
 3472 ; 1 писо. Филиппины ; 1972 ;  ; Cu-Ni ; XF+ ; 15 ; dsp ; 57 
 3473 ; 50 центов. Южная Африка ; 1988 ;  ; Cu-Ni ; VF+ ; 7 ; dsp ; 31 
 3474 ; 50 пфеннингов. ФРГ ; 1950 ;  ; Al/Br ; VF+ ; 21 ; ВалеН ; 150 
 3475 ; 50 сентисес. Франция ; 1942 ;  ; Al ; VF- ; 11 ; doiu33 ; 57 
 3476 ; 2 евро. Финляндия. н.200 лет Банку Финлянди ; 2011 ;  ; Би/м ; XF- ; 18 ; Dahan ; 113 
 3477 ; 50 песо. Колумбия ; 1988 ;  ; Cu-Ni ; XF ; 14 ; dsp ; 34 
 3478 ; 5 писо. Филиппины ; 2003 ;  ; Латунь ; VF ; 7 ; Sam ; 27 
 3479 ; 10 сентимес. Франция ; 1872 ;  ; Br ; F-VF ; 15 ; igor39 ; 51 
 3480 ; 10 пенсов. Джерси ; 1968 ;  ; Cu-Ni ; VF-XF ; 7 ; Sam ; 33 
 3481 ; 10 пенсов. Джерси ; 1989 ;  ; Cu-Ni ; XF ; 10 ; Djek ; 28 
 3482 ; 1/2 доллара. США. Колумб ; 1893 ;  ; Ag ; VF ; 26 ; vitapool ; 612 
 3383 ; 10 пфеннингов. Германия ; 1896J ;  ; Cu-Ni ; VF+ ; 18 ; toros ; 41 
 3384 ; 10 пфеннингов. Германия ; 1901A ;  ; Cu-Ni ; VF ; 16 ; VOLKODAVS5 ; 25 
 3385 ; 10 пфеннингов. Германия ; 1905A ;  ; Cu-Ni ; VF ; 18 ; VOLKODAVS5 ; 27 
 3386 ; 10 пфеннингов. Германия ; 1906A ;  ; Cu-Ni ; VF-XF ; 21 ; VOLKODAVS5 ; 32 
 3387 ; 10 пфеннингов. Германия ; 1908A ;  ; Cu-Ni ; VF-XF ; 19 ; VOLKODAVS5 ; 32 
 3388 ; 10 пфеннингов. Германия ; 1912A ;  ; Cu-Ni ; VF-XF ; 19 ; VOLKODAVS5 ; 32 
 3389 ; 10 пфеннингов. Германия ; 1913A ;  ; Cu-Ni ; VF ; 18 ; VOLKODAVS5 ; 31 
 3390 ; 10 пфеннингов. Германия ; 1914A ;  ; Cu-Ni ; VF-XF ; 22 ; VOLKODAVS5 ; 32 
 3391 ; 10 пфеннингов. Германия ; 1915A ;  ; Cu-Ni ; VF ; 16 ; VOLKODAVS5 ; 25 
 3392 ; 10 пфеннингов. Германия ; 1916D ;  ; Cu-Ni ; XF ; 20 ; zx123 ; 41 
 3393 ; 2 пфеннинга. Германия ; 1874A ;  ; Br ; VF+ ; 18 ; kazzdim ; 46 
 3394 ; 2 пфеннинга. Германия ; 1874C ;  ; Br ; VF ; 19 ; Jauho ; 31 
 3395 ; 2 пфеннинга. Германия ; 1875C ;  ; Br ; VF+ ; 11 ; VOLKODAVS5 ; 36 
 3396 ; 2 пфеннинга. Германия ; 1875C ;  ; Br ; VF ; 11 ; kazzdim ; 41 
 3397 ; 2 пфеннинга. Германия ; 1876B ;  ; Br ; VF ; 11 ; 542 ; 149 
 3398 ; 2 пфеннинга. Германия ; 1876C ;  ; Br ; VF+ ; 15 ; 220W ; 61 
 3399 ; 2 пфеннинга. Германия ; 1907A ;  ; Br ; VF+ ; 17 ; yuri.gruzdev ; 45 
 3400 ; 2 пфеннинга. Германия ; 1914E ;  ; Br ; XF- ; 26 ; 542 ; 262 
 3401 ; 2 пфеннинга. Веймар ; 1923A ;  ; Br ; VF-XF ; 10 ; alik434 ; 87 
 3402 ; 2 пфеннинга. Веймар ; 1924A ;  ; Br ; XF ; 23 ; yuri.gruzdev ; 76 
 3403 ; 2 пфеннинга. Веймар ; 1924J ;  ; Br ; VF ; 27 ; 542 ; 159 
 3404 ; 2 пфеннинга. Веймар ; 1924A ;  ; Br ; VF+ ; 19 ; 542 ; 69 
 3405 ; 2 пфеннинга. Германия ; 1937A ;  ; Br ; XF ; 40 ; Drill ; 144 
 3406 ; 2 пфеннинга. Германия ; 1937D ;  ; Br ; XF- ; 44 ; gri.59 ; 127 
 3407 ; 2 пфеннинга. Германия ; 1937F ;  ; Br ; VF-XF ; 35 ; mart_si ; 93 
 3408 ; 2 пфеннинга. Германия ; 1938J ;  ; Br ; XF ; 15 ; alehandr ; 123 
 3409 ; 2 пфеннинга. Германия ; 1938F ;  ; Br ; XF ; 20 ; vania1981 ; 132 
 3410 ; 2 пфеннинга. Германия ; 1939D ;  ; Br ; VF ; 21 ; kazzdim ; 60 
 3411 ; 2 пфеннинга. Германия ; 1940A ;  ; Br ; XF ; 19 ; ZOLTAN333 ; 85 
 3412 ; 200 марок. Веймар ; 1923А ;  ; Al ; VF+ ; 11 ; doc2 ; 31 
 3413 ; 200 марок. Веймар ; 1923А ;  ; Al ; VF ; 6 ; VOLKODAVS5 ; 21 
 3414 ; 5 пфеннингов. Германия ; 1943A ;  ; Zn ; VF ; 33 ; kost ; 75 
 3415 ; 1 пфеннинг. Германия ; 1940J ;  ; Zn ; VF ; 33 ; DIMA 57 ; 152 
 3416 ; 1 пфеннинг. Германия ; 1940G ;  ; Zn ; VF- ; 17 ; DIMA 57 ; 143 
 3417 ; 1 пфеннинг. Германия ; 1940B ;  ; Zn ; VF- ; 8 ; DIMA 57 ; 143 
 3418 ; 1 пфеннинг. Германия ; 1942G ;  ; Zn ; VF- ; 12 ; 200800 ; 51 
 3419 ; 1 пфеннинг. Германия ; 1942J ;  ; Zn ; VF- ; 32 ; 200800 ; 51 
 3420 ; 1 пфеннинг. Германия ; 1942A ;  ; Zn ; VF ; 10 ; fr60 ; 31 
 3421 ; 1 пфеннинг. Германия ; 1900А ;  ; Br ; VF+ ; 6 ; doc2 ; 21 
 3422 ; 1 пфеннинг. Германия ; 1913А ;  ; Br ; XF- ; 6 ; Uri ; 21 
 3423 ; 1 пфеннинг. Веймар ; 1924A ;  ; Br ; XF- ; 26 ; doc2 ; 245 
 3424 ; 1 пфеннинг. Веймар ; 1924D ;  ; Br ; VF+ ; 9 ; Magger ; 36 
 3425 ; 1 пфеннинг. Германия ; 1939A ;  ; Br ; XF ; 17 ; vania1981 ; 68 
 3426 ; 1 пфеннинг. Германия ; 1939A ;  ; Br ; XF ; 22 ; vc57 ; 53 
 3427 ; 10 пфеннингов. Веймар ; 1924F ;  ; Al/Br ; VF-XF ; 22 ; SadKo ; 51 
 3428 ; 10 пфеннингов. Веймар ; 1925A ;  ; Al/Br ; XF- ; 15 ; gri.59 ; 59 
 3429 ; 10 пфеннингов. Веймар ; 1935D ;  ; Al/Br ; XF- ; 14 ; gri.59 ; 51 
 3430 ; 10 пфеннингов. Веймар ; 1935F ;  ; Al/Br ; VF-XF ; 16 ; Jauho ; 306 
 3431 ; 10 пфеннингов. Веймар ; 1936A ;  ; Al/Br ; VF-XF ; 8 ; pmaster ; 31 
 3432 ; 1 пфеннинг. Германия ; 1917A ;  ; Al ; XF ; 15 ; gri.59 ; 77 
 3333 ; 5 пара. Турция ; 1277 ;  ; Cu ; VF ; 11 ; Алек ; 123 
 3334 ; 100 динаров. Иран ; 1326 ;  ; Cu-Ni ; VF ; 17 ; Reedy ; 306 
 3335 ; Монета. Бухара ;  ;  ; Al/Br ; F+ ; 45 ; Щука ; 512 
 3336 ; 50 хеллеров. Чехия и Моравия ; 1941 ;  ; Zn ; F ; 11 ; Magger ; 106 
 3337 ; Мангир. Шахин-Гирей ; 1191 ;  ; Cu ; F ; 15 ; murka1973 ; 401 
 3338 ; 1/2 рупии. Британская Индия ; 1944 ;  ; Ag ; XF ; 23 ; colonel6262 ; 255 
 3339 ; 1/4 рупии. Британская Индия ; 1944 ;  ; Ag ; XF ; 16 ; colonel6262 ; 180 
 3340 ; 5 франков. Швейцария. Олимпиада ; 1988 ;  ; Cu-Ni ; XF+ ; 22 ; krugerrand ; 363 
 3341 ; 5 пфеннигов. Данциг ; 1867 ;  ; Cu ; VF- ; 8 ; ВЯЗЪ ; 159 
 3342 ; 1 крейцер. Баден ; 1849 ;  ; Cu ; F-VF ; 13 ; fedor880v ; 87 
 3343 ; 2 пфеннига. Данциг ; 1926 ;  ; Cu ; VF+ ; 41 ; vc57 ; 249 
 3344 ; 1 франк. Катанга ; 1961 ;  ; Cu ; VF+ ; 17 ; colonel6262 ; 114 
 3345 ; 3 пфеннига. Пруссия ; 1865 ;  ; Cu ; VF- ; 16 ; zelya ; 92 
 3346 ; 1 эре. Швеция ; 1866 ;  ; Cu ; F+ ; 13 ; hf426 ; 226 
 3347 ; 1/2 цента. Цейлон ; 1898 ;  ; Cu ; VF- ; 12 ; kergudu ; 93 
 3348 ; 1/13 шиллинга. Джерси ; 1870 ;  ; Cu ; VF- ; 34 ; ilmar ; 275 
 3349 ; 10 франков. Саарленд ; 1954 ;  ; Al/Br ; XF ; 29 ; gusar ; 85 
 3350 ; 5 пфеннигов. Данциг ; 1923 ;  ; Cu-Ni ; VF+ ; 28 ; Magger ; 240 
 3351 ; 1 крона. Гренландия ; 1957 ;  ; Латунь ; XF ; 31 ; Алек ; 918 
 3352 ; 50 эре. Гренландия ; 1926 ;  ; Латунь ; XF- ; 37 ; dsp ; 1092 
 3353 ; 25 эре. Гренландия ; 1926 ;  ; Cu-Ni ; XF+ ; 20 ; Алек ; 1011 
 3354 ; 10 евро. Германия. Братья Гримм ; 2012F ;  ; Cu-Ni ; AU ; 15 ; кашира ; 612 
 3355 ; 2 евро. Сан-Марино ; 2011 ;  ; Би/м ; AU ; 18 ; gavrosh ; 164 
 3356 ; 2 евро. Мальта. ервые избранные представители совета ; 2011 ;  ; Би/м ; AU ; 25 ; mefody73 ; 357 
 3357 ; 2 евро. Люксембург. Два герцога ; 2012 ;  ; Би/м ; AU ; 14 ; grond ; 138 
 3358 ; 2 евро. Португалия. Фернао Мендес Пинто ; 2011 ;  ; Би/м ; AU ; 33 ; Agava ; 513 
 3359 ; 1 доллар. США. 200 лет независимости США. Упаковка ; 1976S ;  ; Ag ; Unc ; 16 ; buynyi76 ; 744 
 3360 ; 1/2 доллара. США. 200 лет независимости США. Упаковка ; 1976S ;  ; Ag ; Unc ; 12 ; ААФ ; 462 
 3361 ; 1/4 доллара. США. 200 лет независимости США. Упаковка ; 1976S ;  ; Ag ; Unc ; 14 ; buynyi76 ; 408 
 3362 ; 500 лир. Италия. 350-летие книги "Диалог о двух системах мира""Галилео Галилея ; 1982 ;  ; Ag ; AU ; 46 ; lirik ; 567 
 3363 ; 1 песо. Уругвай ; 1942 ;  ; Ag ; VF- ; 31 ; vb96 ; 378 
 3364 ; 10 пфеннингов. Германия ; 1938J ;  ; Al/Br ; VF-XF ; 23 ; DIMA 57 ; 216 
 3365 ; 10 пфеннингов. Германия ; 1938E ;  ; Al/Br ; VF ; 27 ; alik434 ; 125 
 3366 ; 10 пфеннингов. Германия ; 1939A ;  ; Al/Br ; XF ; 59 ; vania1981 ; 192 
 3367 ; 10 пфеннингов. Германия ; 1939B ;  ; Al/Br ; VF+ ; 25 ; kost ; 126 
 3368 ; 10 пфеннингов. Германия ; 1939F ;  ; Al/Br ; XF+ ; 27 ; Jauho ; 269 
 3369 ; 5 пфеннингов. Германия ; 1937A ;  ; Al/Br ; XF- ; 30 ; vania1981 ; 126 
 3370 ; 5 пфеннингов. Германия ; 1937J ;  ; Al/Br ; VF-XF ; 24 ; gri.59 ; 129 
 3371 ; 5 пфеннингов. Германия ; 1938A ;  ; Al/Br ; XF ; 44 ; ilmar ; 157 
 3372 ; 10 пфеннингов. Германия ; 1938B ;  ; Al/Br ; VF-XF ; 53 ; Jauho ; 128 
 3373 ; 5 пфеннингов. Германия ; 1938D ;  ; Al/Br ; VF+ ; 23 ; alehandr ; 119 
 3374 ; 5 пфеннингов. Германия ; 1938D ;  ; Al/Br ; VF-XF ; 37 ; ZOLTAN333 ; 155 
 3375 ; 5 пфеннингов. Германия ; 1938D ;  ; Al/Br ; VF ; 31 ; alik434 ; 114 
 3376 ; 5 пфеннингов. Германия ; 1938J ;  ; Al/Br ; VF-XF ; 23 ; ZOLTAN333 ; 129 
 3377 ; 5 пфеннингов. Германия ; 1938F ;  ; Al/Br ; XF ; 22 ; gri.59 ; 148 
 3378 ; 5 пфеннингов. Германия ; 1938E ;  ; Al/Br ; XF ; 26 ; Jauho ; 219 
 3379 ; 5 пфеннингов. Германия ; 1939A ;  ; Al/Br ; XF ; 36 ; Drill ; 142 
 3380 ; 5 пфеннингов. Германия ; 1939D ;  ; Al/Br ; XF ; 31 ; ZOLTAN333 ; 158 
 3381 ; 10 пфеннингов. Германия ; 1876С ;  ; Cu-Ni ; VF ; 5 ; kazzdim ; 38 
 3382 ; 10 пфеннингов. Германия ; 1890А ;  ; Cu-Ni ; VF ; 13 ; VOLKODAVS5 ; 24 
 3283 ; Монета Восток. М-3,15гр ;  ;  ; Cu ; F ; 24 ; aziya11 ; 157 
 3284 ; Монета Восток. М-2,27гр ;  ;  ; Cu ; F ; 28 ; kont ; 568 
 3285 ; Монета Восток. М-2,7гр ;  ;  ; Cu ; F ; 13 ; aziya11 ; 157 
 3286 ; Монета Восток. М-10,74гр ;  ;  ; Cu ; F-VF ; 33 ; kont ; 510 
 3287 ; Монета Восток. М-1,62гр ;  ;  ; Al/Br ; F ; 16 ; vc57 ; 115 
 3288 ; Монета Восток. М-1,23гр ;  ;  ; Ag ; F-VF ; 31 ; kont ; 249 
 3289 ; Монета Восток. М-4,81гр ;  ;  ; Ag ; F-VF ; 48 ; kergudu ; 578 
 3290 ; Монета Восток. М-2,44гр ;  ;  ; Ag ; F-VF ; 36 ; murka1973 ; 408 
 3291 ; Монета Восток Отверстие. М-2,43гр ;  ;  ; Ag ; F-VF ; 22 ; Andy.Andr ; 127 
 3292 ; 2 песо. Чили ; 1927 ;  ; Ag ; VF- ; 19 ; werter ; 726 
 3293 ; 1 песо. Чили ; 1927 ;  ; Ag ; VF- ; 23 ; banks ; 624 
 3294 ; 1 песо. Чили ; 1917 ;  ; Ag ; VF ; 25 ; Ю42 ; 571 
 3295 ; 1 песо. Чили ; 1910 ;  ; Ag ; VF ; 18 ; Emv ; 651 
 3296 ; 1 песо. Чили ; 1895 ;  ; Ag ; F-VF ; 20 ; banks ; 793 
 3297 ; 1 песо. Чили ; 1932 ;  ; Ag ; XF ; 49 ; gusar ; 1076 
 3298 ; 40 сентаво. Чили ; 1908 ;  ; Ag ; VF- ; 15 ; Алек ; 309 
 3299 ; 20 сентаво. Чили ; 1871 ;  ; Ag ; VF+ ; 34 ; Волк33 ; 426 
 3300 ; 20 сентаво. Чили ; 1879 ;  ; Ag ; VF- ; 11 ; cochu ; 228 
 3301 ; 1/10 бальбоа. Панама ; 1962 ;  ; Ag ; XF ; 12 ; gerber68 ; 155 
 3302 ; 5000 рейс. Бразилия ; 1938 ;  ; Ag ; VF+ ; 13 ; korshun-777 ; 340 
 3303 ; 1000 рейс. Бразилия ; 1913 ;  ; Ag ; VF+ ; 24 ; mkm1968 ; 500 
 3304 ; 2000 рейс. Бразилия. 100 лет независимости ; 1922 ;  ; Ag ; VF ; 28 ; OVK ; 722 
 3305 ; 500 рейс. Бразилия ; 1876 ;  ; Ag ; VF- ; 16 ; OVK ; 577 
 3306 ; Монета Восток ;  ;  ; Ag ; F ; 11 ; aziya11 ; 67 
 3307 ; 2 куруша. Турция ; 1293 ;  ; Ag ; VF ; 13 ; t_v_v ; 102 
 3308 ; 5 куруш. Турция ; 1293 ;  ; Ag ; VF-XF ; 32 ; Алек ; 600 
 3309 ; 1/2 сентаво. Чили ; 1872 ;  ; Cu-Ni ; F ; 24 ; mkm1968 ; 238 
 3310 ; 10 куруш. Турция ; 1341 ;  ; Al/Br ; VF ; 32 ; vc57 ; 293 
 3311 ; 20 куруш. Турция ; 1928 ;  ; Cu-Ni ; XF ; 32 ; remetalk ; 532 
 3312 ; 2 золота. Турция ; 1187 ;  ; Ag ; F ; 28 ; тикси3 ; 1179 
 3313 ; 20 куруш. Турция ; 1255 ;  ; Ag ; VF- ; 29 ; тикси3 ; 888 
 3314 ; 1/4 крана. Иран ;  ;  ; Ag ; F-VF ; 29 ; kont ; 470 
 3315 ; 1/4 крана. Иран ;  ;  ; Ag ; F-VF ; 26 ; mital ; 578 
 3316 ; 1/4 крана. Иран ; 1304 ;  ; Ag ; VF- ; 35 ; kae ; 800 
 3317 ; 1/4 крана. Иран. Отверстие ;  ;  ; Ag ; F+ ; 11 ; aziya11 ; 102 
 3318 ; 1/4 крана. Иран ;  ;  ; Ag ; F-VF ; 19 ; kont ; 317 
 3319 ; 1/4 крана. Иран ; 1322? ;  ; Ag ; F-VF ; 26 ; kont ; 419 
 3320 ; 1/4 крана. Иран ; 1304 ;  ; Ag ; F-VF ; 22 ; vc57 ; 317 
 3321 ; 1/4 крана. Иран ; 132? ;  ; Ag ; F-VF ; 23 ; kae ; 465 
 3322 ; 1/4 крана. Иран ; 1342 ;  ; Ag ; F-VF ; 29 ; kont ; 827 
 3323 ; 50 динаров. Иран ; 1305 ;  ; Cu ; F ; 17 ; DVZ ; 84 
 3324 ; 100 пара. Турция ; 1223 ;  ; Ag ; F+ ; 22 ; Emv ; 183 
 3325 ; 1 пиастр. Турция ; 1223 ;  ; Ag ; F+ ; 13 ; banks ; 328 
 3326 ; 100 пара. Турция ; 1223 ;  ; Ag ; F+ ; 8 ; Monata ; 136 
 3327 ; 1 кирш? Египет ; 1255 ;  ; Ag ; F ; 15 ; banks ; 114 
 3328 ; 2000 динаров. Иран ; 1343 ;  ; Ag ; VF ; 36 ; kergudu ; 391 
 3329 ; 2000 динаров. Иран. Отверстие ;  ;  ; Ag ; F+ ; 20 ; Andy.Andr ; 159 
 3330 ; 2000 динаров. Иран ;  ;  ; Ag ; F-VF ; 17 ; vc57 ; 283 
 3331 ; 2000 динаров. Иран ; 1255 ;  ; Cu ; VF+ ; 36 ; gusar ; 532 
 3332 ; 40 пара. Турция ; 1255 ;  ; Cu ; VF- ; 21 ; Алек ; 208 
 3233 ; 1 грот. Бремен ; 1709 ;  ; Ag ; F ; 15 ; WikiLeaks ; 306 
