 5619 ; Лот бон 100 штук Китай ;  ;  ;  ; AU ; 22 ; USS ; 558 
 3333 ; 10 марок. ГДР. 30 лет рабочему классу ; 1983A ;  ; Cu-Ni ; XF ; 41 ; Метро62 ; 494 
 3334 ; 10 марок. ГДР. ГДР спорт ; 1988 ;  ; Cu-Ni ; XF ; 27 ; Щука ; 240 
 3335 ; 10 пфенниг. Германия ; 1941A ;  ; Zn ; VF ; 12 ; Звездолёты ; 55 
 3336 ; 10 пфенниг. Германия ; 1942A ;  ; Zn ; VF+ ; 15 ; ed1 ; 80 
 3337 ; 10 пфенниг. Германия ; 1943D ;  ; Zn ; VF ; 11 ; alfredo ; 44 
 3338 ; 5 пфенниг. Германия ; 1940A ;  ; Zn ; VF ; 6 ; alfredo ; 34 
 3339 ; 5 пфенниг. Германия ; 1940B ;  ; Zn ; VF ; 23 ; murman ; 76 
 3340 ; 5 пфенниг. Германия ; 1941A ;  ; Zn ; VF ; 28 ; kaper ; 114 
 3341 ; 5 пфенниг. Германия ; 1941J ;  ; Zn ; VF ; 16 ; t_v_v ; 59 
 3342 ; 5 пфенниг. Германия ; 1942A ;  ; Zn ; VF+ ; 13 ; murman ; 81 
 3343 ; 5 пфенниг. Германия ; 1942F ;  ; Zn ; VF+ ; 39 ; kaper ; 306 
 3344 ; 1 пфенниг. Германия ; 1940A ;  ; Zn ; VF+ ; 10 ; Звездолёты ; 55 
 3345 ; 1 пфенниг. Германия ; 1940D ;  ; Zn ; VF ; 18 ; kaper ; 114 
 3346 ; 1 пфенниг. Германия ; 1941G ;  ; Zn ; VF ; 11 ; t_v_v ; 55 
 3347 ; 1 пфенниг. Германия ; 1941F ;  ; Zn ; VF ; 20 ; murman ; 71 
 3348 ; 1 пфенниг. Германия ; 1941D ;  ; Zn ; VF ; 9 ; Звездолёты ; 55 
 3349 ; 1 пфенниг. Германия ; 1941J ;  ; Zn ; VF+ ; 8 ; 06031983 ; 66 
 3350 ; 1 пфенниг. Германия ; 1942A ;  ; Zn ; VF+ ; 17 ; fadeev.dima ; 65 
 3351 ; 1 пфенниг. Германия ; 1942D ;  ; Zn ; VF ; 7 ; alfredo ; 32 
 3352 ; 1 пфенниг. Германия ; 1942B ;  ; Zn ; VF+ ; 13 ; ed1 ; 58 
 3353 ; 1 пфенниг. Германия ; 1942E ;  ; Zn ; VF ; 9 ; t_v_v ; 58 
 3354 ; 1 пфенниг. Германия ; 1942J ;  ; Zn ; VF-XF ; 14 ; 06031983 ; 65 
 3355 ; 1 пфенниг. Германия ; 1943A ;  ; Zn ; VF ; 22 ; kaper ; 114 
 3256 ; 1 пенни. Великобритания ; 1909 ;  ; Br ; VF ; 17 ; igor26 ; 306 
 3257 ; 6 пенсов. Великобритания ; 1942 ;  ; Ag ; F-VF ; 28 ; alfredo ; 117 
 3258 ; 1 шиллинг. Великобритания ; 1945 ;  ; Ag ; VF+ ; 11 ; жора ; 182 
 3259 ; 1 шиллинг. Великобритания ; 1940 ;  ; Ag ; VF ; 17 ; smirnov1957 ; 153 
 3260 ; 1 пенни. Великобритания ; 1930 ;  ; Br ; VF ; 11 ; edgar ; 142 
 3261 ; 1/2 кроны. Великобритания ; 1923 ;  ; Ag ; F-VF ; 22 ; кот баюн ; 194 
 3262 ; 1/2 кроны. Великобритания ; 1940 ;  ; Ag ; VF ; 9 ; Elephant ; 293 
 3263 ; 1 шиллинг. Великобритания ; 1940 ;  ; Ag ; VF+ ; 30 ; жора ; 261 
 3264 ; 1 шиллинг. Великобритания ; 1946 ;  ; Ag ; VF+ ; 18 ; ml10 ; 340 
 3265 ; 10 сен. Япония ;  ;  ; Ag ; VF ; 41 ; Magger ; 309 
 3266 ; 3 пенса. Великобритания ; 1936 ;  ; Ag ; VF+ ; 30 ; alfredo ; 131 
 3267 ; 3 пенса. Великобритания ; 1908 ;  ; Ag ; VF ; 30 ; ml10 ; 361 
 3268 ; 3 пенса. Великобритания ; 1891 ;  ; Ag ; F ; 9 ; alfredo ; 106 
 3269 ; 3 пенса. Великобритания ; 1941 ;  ; Ag ; VF+ ; 23 ; alfredo ; 141 
 3270 ; 3 пенса. Великобритания ; 1931 ;  ; Ag ; VF+ ; 31 ; alfredo ; 149 
 3271 ; 3 пенса. Великобритания. Отверстие ; 1902 ;  ; Ag ; F ; 20 ; кот баюн ; 160 
 3272 ; 3 пенса. Великобритания ; 1921 ;  ; Ag ; VF- ; 19 ; alfredo ; 99 
 3273 ; 3 пенса. Великобритания ; 1920 ;  ; Ag ; VF- ; 12 ; alfredo ; 99 
 3274 ; 3 пенса. Великобритания ; 1941 ;  ; Ag ; VF ; 15 ; alfredo ; 93 
 3275 ; 1 крейцер. Франкфурт ; 1859 ;  ; Ag ; F+ ; 21 ; jj ; 157 
 3276 ; 6 пенсов. Великобритания ; 1834 ;  ; Ag ; F-VF ; 29 ; jj ; 245 
 3277 ; 3 пенса. Великобритания ; 1884 ;  ; Ag ; VF-XF ; 22 ; Чашник ; 623 
 3278 ; 3 пенса. Великобритания ; 1910 ;  ; Ag ; XF- ; 12 ; Alekss_27 ; 612 
 3279 ; 3 пенса. Великобритания ; 1921 ;  ; Ag ; VF-XF ; 28 ; alfredo ; 126 
 3280 ; 50 сент. Франция ; 1867 ;  ; Ag ; VF ; 52 ; митяй ; 316 
 3281 ; 1/2 франка. Франция ; 1810 ;  ; Ag ; F ; 22 ; Семен ; 969 
 3282 ; 16 скиллингов. Дания ; 1856 ;  ; Ag ; F ; 21 ; Rosomaha ; 324 
 3283 ; 1 крона. Австрия ; 1914 ;  ; Ag ; XF+ ; 48 ; AKrav ; 383 
 3284 ; 20 лева. Болгария ; 1930 ;  ; Ag ; VF ; 33 ; кот баюн ; 184 
 3285 ; 1 флорин. Австралия ; 1952 ;  ; Ag ; VF ; 17 ; митяй ; 255 
 3286 ; 1 флорин. Великобритания ; 1918 ;  ; Ag ; VF+ ; 13 ; carniks ; 816 
 3287 ; 1 флорин. Великобритания ; 1915 ;  ; Ag ; VF+ ; 27 ; DaMon15 ; 1105 
 3288 ; 1 флорин. Великобритания ; 1919 ;  ; Ag ; VF+ ; 13 ; carniks ; 816 
 3289 ; 10 шиллингов. Австрия ; 1958 ;  ; Ag ; VF+ ; 12 ; rusin ; 170 
 3290 ; 1 марка. Финляндия ; 1964 ;  ; Ag ; XF ; 13 ; lva08 ; 159 
 3291 ; 1 марка. Финляндия ; 1965 ;  ; Ag ; XF ; 10 ; alfredo ; 151 
 3292 ; 1/4 гульдена. Нидерландская Кюрасао ; 1947 ;  ; Ag ; VF ; 11 ; ufa ; 215 
 3293 ; 1/4 гульдена. Нидерландские Антилы ; 1960 ;  ; Ag ; VF+ ; 13 ; кот баюн ; 181 
 3294 ; 25 сент. Нидерланды ; 1941 ;  ; Ag ; XF ; 15 ; Dirt ; 185 
 3295 ; 6 пфенингов. Германия, Брауншвейг-Вольфенбюттель ; 1736 ;  ; Ag ; F ; 27 ; DIMA 57 ; 716 
 3296 ; 1 крейцер. Германия, Нассау ; 1844 ;  ; Cu ; F ; 9 ; jj ; 102 
 3297 ; 5 франков. Франция ; 1850А ;  ; Ag ; VF- ; 19 ; Elephant ; 1702 
 3298 ; 100 франков. Франция. Эмиль Золя ; 1985 ;  ; Ag ; AU ; 12 ; елец ; 711 
 3299 ; 100 франков. Франция. Жан Моне ; 1992 ;  ; Ag ; XF ; 10 ; елец ; 711 
 3300 ; 5 сантимов. Франция ; 1795А ;  ; Cu ; VF ; 21 ; папашаГарпагон ; 633 
 3301 ; 2000 песет. Испания. Олимпиада в Барселоне ; 1990 ;  ; Ag ; Proof ; 22 ; miranda ; 1421 
 3302 ; 1 драхма. Греция ; 1883 ;  ; Ag ; F-VF ; 32 ; Мурзик ; 609 
 3303 ; 2злотых. Польша ; 2009 ;  ; Br ; AU ; 24 ; Dirt ; 126 
 3304 ; 10 сантимов. Люксембург ; 1930 ;  ; Br ; VF- ; 17 ; митяй ; 83 
 3305 ; 5 рупий. Шри-Ланка. Неприсоединившаяся к Конференции Наций ; 1975 ;  ; Cu-Ni ; XF ; 29 ; salim ; 136 
 3206 ; 10 сент.Нидерланды ; 1937 ;  ; Ag ; XF ; 18 ; NAS2012 ; 153 
 3207 ; 10 сент.Нидерланды ; 1917 ;  ; Ag ; VF- ; 8 ; alfredo ; 114 
 3208 ; 10 сент.Нидерланды ; 1939 ;  ; Ag ; XF- ; 9 ; alfredo ; 102 
 3209 ; 10 сент.Нидерланды ; 1941 ;  ; Ag ; XF ; 12 ; alfredo ; 138 
 3210 ; 1/10 гульдена. Нидерландские Антилы ; 1959 ;  ; Ag ; XF ; 20 ; alfredo ; 132 
 3211 ; 1/10 гульдена. Нидерландские Кюрасао ; 1947 ;  ; Ag ; VF-XF ; 9 ; SKeeper ; 151 
 3212 ; 1/10 гульдена. Нидерландские Кюрасао ; 1944 ;  ; Ag ; VF-XF ; 6 ; ufa ; 159 
 3213 ; Монета иностранная. Иран ;  ;  ; Ag ; VF-XF ; 140 ; d-master ; 2355 
 3214 ; 1 марка. Финляндия ; 1966 ;  ; Ag ; XF ; 24 ; DIMASTIK ; 100 
 3215 ; 2 лата. Латвия ; 1925 ;  ; Ag ; VF-XF ; 26 ; carniks ; 363 
 3216 ; 1/2 доллара. США ; 1943 ;  ; Ag ; VF ; 25 ; pref ; 453 
 3217 ; 1/2 доллара. США ; 1961 ;  ; Ag ; XF+ ; 36 ; Paradox76 ; 697 
 3218 ; 1 марка. Финляндия ; 1965 ;  ; Ag ; XF+ ; 29 ; Валерик ; 157 
 3219 ; 1 марка. Финляндия ; 1964 ;  ; Ag ; XF ; 13 ; alfredo ; 116 
 3220 ; 20 пфеннигов. Германия ; 1875 ;  ; Ag ; VF ; 17 ; corsar ; 272 
 3221 ; 25 эре. Швеция ; 1945 ;  ; Ag ; VF ; 20 ; lva08 ; 91 
 3222 ; 10 эре. Швеция ; 1947 ;  ; Ag ; VF ; 21 ; alfredo ; 82 
 3223 ; 50 бани. Румыния ; 1910 ;  ; Ag ; VF ; 40 ; Мурзик ; 339 
 3224 ; 50 эре. Швеция ; 1946 ;  ; Ag ; VF ; 23 ; жора ; 363 
 3225 ; 25 эре. Дания ; 1911 ;  ; Ag ; VF ; 29 ; asru ; 750 
 3226 ; 1/2 доллара. США ; 1967 ;  ; Ag ; VF-XF ; 23 ; vitapool ; 267 
 3227 ; 1/4 доллара. США ; 1959 ;  ; Ag ; VF ; 13 ; carniks ; 374 
 3228 ; 1 шиллинг. Австрия ; 1925 ;  ; Ag ; VF ; 15 ; franklin ; 193 
 3229 ; 20 драхм. Греция ; 1960 ;  ; Ag ; VF+ ; 21 ; Мурзик ; 283 
 3230 ; 5 пиастров. Египет ; 1956 ;  ; Ag ; VF ; 24 ; SKeeper ; 443 
 3231 ; 25 эре. Швеция ; 1961 ;  ; Ag ; VF ; 12 ; alfredo ; 114 
 3232 ; 1 крона. Швеция ; 1949 ;  ; Ag ; XF ; 5 ; Shera ; 173 
 3233 ; 1/2 кроны. Великобритания ; 1919 ;  ; Ag ; VF-XF ; 41 ; ml10 ; 1330 
 3234 ; 1/10 бальбоа. Панама ; 1953 ;  ; Ag ; VF ; 13 ; lesnik1 ; 172 
 3235 ; 1 крона. Швеция ; 1939 ;  ; Ag ; XF ; 10 ; maymuse ; 338 
 3236 ; 1 шиллинг. Великобритания ; 1897 ;  ; Ag ; F-VF ; 28 ; vitapool ; 617 
 3237 ; 1 франк. Бельгия ; 1886 ;  ; Ag ; F+ ; 21 ; кот баюн ; 191 
 3238 ; 2 пенго. Венгрия ; 1936 ;  ; Ag ; XF ; 35 ; елец ; 714 
 3239 ; 50 сентаво. Эквадор ; 1928 ;  ; Ag ; VF ; 46 ; olancepok ; 347 
 3240 ; 1 крона. Швеция ; 1907 ;  ; Ag ; F-VF ; 49 ; Марик ; 369 
 3241 ; 1/4 доллара. США ;  ;  ; Ag ; F-VF ; 36 ; didisister ; 401 
 3242 ; 10 пиастров. Египет ; 1960 ;  ; Ag ; VF- ; 27 ; MDV ; 459 
 3243 ; 1/2 кроны. Великобритания ; 1946 ;  ; Ag ; VF ; 9 ; SKeeper ; 312 
 3244 ; 1 крона. Швеция ; 1963 ;  ; Ag ; VF ; 14 ; alfredo ; 104 
 3245 ; 2 анны. Индия ; 1913 ;  ; Ag ; XF ; 30 ; viktorius ; 660 
 3246 ; 25 эре. Швеция ; 1950 ;  ; Ag ; VF ; 18 ; alfredo ; 124 
 3247 ; 16 скиллингов. Швеция ; 1856 ;  ; Ag ; VF- ; 35 ; dsa ; 694 
 3248 ; 1/4 доллара. США ; 1943 ;  ; Ag ; VF ; 27 ; carniks ; 408 
 3249 ; 25 эре. Швеция ; 1955 ;  ; Ag ; VF ; 20 ; alfredo ; 99 
 3250 ; 10 эре. Дания ; 1907 ;  ; Ag ; VF-XF ; 26 ; zx123 ; 340 
 3251 ; 10 эре. Швеция ; 1937 ;  ; Ag ; VF ; 10 ; andrpel ; 83 
 3252 ; 25 эре. Швеция ; 1947 ;  ; Ag ; VF- ; 24 ; alfredo ; 116 
 3253 ; 10 эре. Швеция ; 1907 ;  ; Ag ; VF ; 43 ; asru ; 274 
 3254 ; 1 шиллинг. Великобритания ; 1946 ;  ; Ag ; VF+ ; 14 ; smirnov1957 ; 173 
 3255 ; 6 пенсов. Великобритания ; 1940 ;  ; Ag ; F+ ; 25 ; alfredo ; 71 
 3156 ; 10 марок. ФРГ. Римский договор. В упаковке ; 1987G ;  ; Ag ; Proof ; 27 ; Росич8 ; 677 
 3157 ; 10 марок. ФРГ. Берлин. В упаковке ; 1987J ;  ; Ag ; Proof ; 19 ; артега ; 567 
 3158 ; 10 марок. ФРГ. Бонн. В упаковке ; 1989D ;  ; Ag ; Proof ; 40 ; Lex2000 ; 726 
 3159 ; 250 эскудо. Португалия. XXIV Олимпийские игры в Сеуле ; 1988 ;  ; Cu-Ni ; AU ; 24 ; murew ; 340 
 3160 ; 200 эскудо. Португалия. Новый Свет. 500-летие открытия Америки Христофором Колумбом ; 1995 ;  ; Cu-Ni ; AU ; 11 ; ssr ; 191 
 3161 ; 200 эскудо. Португалия. Новый Свет. 500-летие открытия Америки Христофором Колумбом ; 1995 ;  ; Cu-Ni ; AU ; 26 ; ssr ; 176 
 3162 ; 200 эскудо. Португалия. 500 лет со дня смерти Жуана II ; 1995 ;  ; Cu-Ni ; AU ; 16 ; dudinjohn ; 227 
 3163 ; 200 эскудо. Португалия. Японская миссия в Европе ; 1993 ;  ; Cu-Ni ; AU ; 16 ; Росич8 ; 204 
 3164 ; 200 эскудо. Португалия. 450 лет искусству намбан ; 1993 ;  ; Cu-Ni ; AU ; 16 ; canario ; 227 
 3165 ; 200 эскудо. Португалия. 600 лет со дня рождения Генриха Мореплавателя ; 1994 ;  ; Cu-Ni ; AU ; 16 ; REC ; 227 
 3166 ; 200 эскудо. Португалия. 600 лет со дня рождения Генриха Мореплавателя ; 1994 ;  ; Cu-Ni ; AU ; 17 ; dudinjohn ; 204 
 3167 ; 200 эскудо. Португалия. Путешествие на Молуккские острова ; 1995 ;  ; Cu-Ni ; AU ; 18 ; ssr ; 226 
 3168 ; 200 эскудо. Португалия. 500 лет с момента заключения Тордесильясского договора ; 1994 ;  ; Cu-Ni ; AU ; 20 ; REC ; 222 
 3169 ; 200 эскудо. Португалия. 500 лет с момента разделения зон влияния между Португалией и Испанией ; 1994 ;  ; Cu-Ni ; AU ; 14 ; ssr ; 216 
 3170 ; 200 эскудо. Португалия. 390 лет со дня смерти Бенто ди Гойш ; 1997 ;  ; Cu-Ni ; AU ; 15 ; canario ; 227 
 3171 ; 1 рубль. Белоруссия ; 2014 ;  ; Cu-Ni ; Proof ; 33 ; sibirian ; 329 
 3172 ; 1000 лир. Сан-Марино ; 1981 ;  ; Ag ; XF/AU ; 27 ; SKeeper ; 714 
 3173 ; Флорин. Австралия ; 1951 ;  ; Ag ; XF ; 18 ; митяй ; 703 
 3174 ; 10 рупий. Индия. ; 1975 ;  ; Cu-Ni ; XF+ ; 29 ; REC ; 887 
 3175 ; 50 центов. Австралия ; 1969 ;  ; Cu-Ni ; XF ; 20 ; кот баюн ; 83 
 3176 ; 1 писо. Филиппины ; 1990 ;  ; Cu-Ni ; VF+ ; 16 ; andy2012 ; 45 
 3177 ; 1 пенни. Великобритания ; 1918 ;  ; Br ; F-VF ; 6 ; В1951 ; 51 
 3178 ; 10 сентимо. Испания ; 1870 ;  ; Br ; F ; 23 ; Аленка ; 49 
 3179 ; 2 пенса. Великобритания ; 1986 ;  ; Br ; XF ; 10 ; Andrey19 ; 41 
 3180 ; 50 сентесимо. Уругвай ; 1977 ;  ; al/Br ; XF ; 14 ; Jeff ; 78 
 3181 ; 100 лир. Турция. Чемпионат мира по футболу в Испании 1982г ; 1982 ;  ; Cu/Ni ; XF ; 16 ; Balagur ; 300 
 3182 ; 50 пиастров. Судан ; 1972 ;  ; Cu/Ni ; XF+ ; 35 ; kornum ; 306 
 3183 ; 5 вон. Северная Корея. Чемпионат мира по футболу в 2002г ; 2001 ;  ; Ag ; Proof ; 24 ; seva777 ; 1428 
 3184 ; 1 вон. Северная Корея. Олимпийские игры ; 2001 ;  ; Al ; Proof ; 37 ; генерал777 ; 816 
 3185 ; 1 песо. Куба. Фауна ; 2004 ;  ; Cu-Ni ; AU ; 5 ; hugo ; 442 
 3186 ; 10 эре. Швеция ; 1955 ;  ; Ag ; XF ; 11 ; lva08 ; 83 
 3187 ; 1 крона. Швеция ; 1944 ;  ; Ag ; VF ; 9 ; Dirt ; 101 
 3188 ; 20 франков. Бельгия ; 1950 ;  ; Ag ; F-VF ; 31 ; carniks ; 276 
 3189 ; 50 франков. Бельгия ; 1949 ;  ; Ag ; VF- ; 33 ; carniks ; 406 
 3190 ; 50 эре. Швеция ; 1947 ;  ; Ag ; VF ; 7 ; жора ; 118 
 3191 ; 50 эре. Швеция ; 1955 ;  ; Ag ; VF ; 3 ; жора ; 143 
 3192 ; 1 крона. Швеция ; 1947 ;  ; Ag ; VF- ; 24 ; Dirt ; 116 
 3193 ; 25 центов. Канада ; 1968 ;  ; Ag ; VF ; 22 ; carniks ; 161 
 3194 ; 25 эре. Швеция ; 1953 ;  ; Ag ; XF- ; 15 ; lva08 ; 94 
 3195 ; 25 эре. Швеция ; 1954 ;  ; Ag ; XF- ; 13 ; SKeeper ; 90 
 3196 ; 10 эре. Швеция ; 1956 ;  ; Ag ; VF+ ; 19 ; Dirt ; 82 
 3197 ; 10 эре. Швеция ; 1950 ;  ; Ag ; VF ; 7 ; SKeeper ; 64 
 3198 ; 20 драхм. Греция ; 1960 ;  ; Ag ; VF ; 23 ; orex ; 201 
 3199 ; 50 сантимов. Франция ; 1915 ;  ; Ag ; VF ; 24 ; кот баюн ; 177 
 3200 ; 1 гульден. Нидерланды ; 1958 ;  ; Ag ; VF+ ; 8 ; SKeeper ; 159 
 3201 ; 1/2 доллара. США. Чемпионат по футболу ; 1994D ;  ; Cu-Ni ; Unc ; 36 ; Росич8 ; 612 
 3202 ; 3 пенса. Великобритания ; 1935 ;  ; Ag ; VF+ ; 7 ; Alexei ; 101 
 3203 ; 3 пенса. Великобритания ; 1940 ;  ; Ag ; VF+ ; 9 ; Dirt ; 100 
 3204 ; 3 пенса. Великобритания ; 1917 ;  ; Ag ; VF ; 11 ; carniks ; 104 
 3205 ; 10 сент.Нидерланды ; 1936 ;  ; Ag ; VF-XF ; 6 ; Dirt ; 101 
 3106 ; 7 вон. Южная Корея. Олимпиада в Солт Лейк Сити. Сертификат ; 2001 ;  ; Ag ; Proof ; 43 ; Мурзик ; 2159 
 3107 ; 10 гривен. Украина. Олимпиада в Солт Лейк Сити. Сертификат ; 2001 ;  ; Ag ; Proof ; 26 ; Мурзик ; 1629 
 3108 ; 1 лат. Латвия. Олимпиада в Солт Лейк Сити. Сертификат ; 2001 ;  ; Ag ; Proof ; 40 ; Мурзик ; 2044 
 3109 ; 5 марок. ФРГ. И.Гуттенберг ; 1968G ;  ; Ag ; AU ; 33 ; ♂ ; 317 
 3110 ; 5 марок. ФРГ. Ганс Якоб Кристоф фон Гриммельхаусен ; 1976D ;  ; Ag ; AU ; 31 ; Lex2000 ; 317 
 3111 ; 5 марок. ФРГ. Коперник ; 1973J ;  ; Ag ; AU ; 34 ; 3ТЭП75 ; 315 
 3112 ; 5 марок. ФРГ. Фридрих Гаусс ; 1977J ;  ; Ag ; AU ; 25 ; smirnov1957 ; 282 
 3113 ; 5 марок. ФРГ. 100 лет объединению Германии ; 1971G ;  ; Ag ; XF+ ; 17 ; kostya12.04.1994 ; 407 
 3114 ; 5 марок. ФРГ. 100 лет объединению Германии ; 1971G ;  ; Ag ; XF+ ; 30 ; mask ; 297 
 3115 ; 5 марок. ФРГ. Герхард Меркатор ; 1969F ;  ; Ag ; AU ; 34 ; Lex2000 ; 308 
 3116 ; 5 марок. ФРГ. Герхард Меркатор ; 1969F ;  ; Ag ; AU ; 28 ; 3ТЭП75 ; 298 
 3117 ; 5 марок. ФРГ. Герхард Меркатор ; 1969F ;  ; Ag ; AU ; 35 ; 3ТЭП75 ; 301 
 3118 ; 5 марок. ФРГ. Райффайзен ; 1968J ;  ; Ag ; XF+ ; 45 ; vitapool ; 301 
 3119 ; 5 марок. ФРГ. Бетховен ; 1970F ;  ; Ag ; XF ; 27 ; vitapool ; 283 
 3120 ; 5 марок. ФРГ. Петтеркофер ; 1968D ;  ; Ag ; AU ; 22 ; Фома ; 459 
 3121 ; 5 марок. ФРГ. 25 лет ФРГ ; 1974F ;  ; Ag ; AU ; 34 ; Lex2000 ; 302 
 3122 ; 5 марок. ФРГ. Нмецкий археологический институт ; 1979J ;  ; Ag ; XF+ ; 23 ; Grey 13 ; 294 
 3123 ; 5 марок. ФРГ. Европейский год защиты памятников ; 1975F ;  ; Ag ; AU ; 45 ; Lex2000 ; 454 
 3124 ; 5 марок. ФРГ. Альберт Швайцер ; 1975G ;  ; Ag ; AU ; 19 ; 3ТЭП75 ; 272 
 3125 ; 5 марок. ФРГ. Альбрехт Дюрер ; 1971D ;  ; Ag ; XF ; 26 ; 3ТЭП75 ; 277 
 3126 ; 5 марок. ФРГ. Франкфутский парламент ; 1973G ;  ; Ag ; AU ; 28 ; Lex2000 ; 305 
 3127 ; 5 марок. ФРГ. Генрих фон Кляйст ; 1977G ;  ; Ag ; AU ; 23 ; moneyman ; 259 
 3128 ; 5 марок. ФРГ. Густав Штрессманн ; 1978G ;  ; Ag ; XF+ ; 20 ; smirnov1957 ; 267 
 3129 ; 5 марок. ФРГ. Фридрих Эберт ; 1975J ;  ; Ag ; AU ; 16 ; mask ; 294 
 3130 ; 5 марок. ФРГ. Фридрих Эберт ; 1975J ;  ; Ag ; AU ; 32 ; Lex2000 ; 289 
 3131 ; 5 марок. ФРГ ; 1971D ;  ; Ag ; XF+ ; 36 ; Lex2000 ; 375 
 3132 ; 5 марок. ФРГ. Лейбниц ; 1966D ;  ; Ag ; AU ; 17 ; CASH ; 370 
 3133 ; 5 марок. ФРГ. Гумбольдт ; 1967F ;  ; Ag ; AU ; 15 ; CASH ; 364 
 3134 ; 5 марок. ФРГ. Теодор Фонтейн ; 1969G ;  ; Ag ; AU ; 21 ; Lex2000 ; 295 
 3135 ; 5 марок. ФРГ. Кант ; 1974D ;  ; Ag ; XF+ ; 23 ; mask ; 295 
 3136 ; 5 марок. ФРГ. Кант ; 1974D ;  ; Ag ; XF ; 24 ; vitapool ; 283 
 3137 ; 5 марок. ФРГ. Бальтазар Нойманн ; 1978F ;  ; Ag ; AU ; 24 ; Lex2000 ; 305 
 3138 ; 10 марок. ФРГ. Орден за заслуги в науке и искусстве. В упаковке ; 1992D ;  ; Ag ; Proof ; 31 ; артега ; 509 
 3139 ; 10 марок. ФРГ. Вильгельм Рентген. В упаковке ; 1995D ;  ; Ag ; Proof ; 13 ; Lex2000 ; 521 
 3140 ; 10 марок. ФРГ. Ф.Мелангтон. Упаковка нарушена ; 1997D ;  ; Ag ; Proof ; 30 ; smn51 ; 771 
 3141 ; 10 марок. ФРГ. Артур Шопенгауэр. В упаковке ; 1988D ;  ; Ag ; Proof ; 15 ; Lex2000 ; 494 
 3142 ; 10 марок. ФРГ. Покушение на Гитлера. В упаковке ; 1994А ;  ; Ag ; Proof ; 30 ; dencon ; 728 
 3143 ; 10 марок. ФРГ. Катэ Кольвиц ; 1992G ;  ; Ag ; Proof ; 31 ; Lex2000 ; 499 
 3144 ; 10 марок. ФРГ. Генрих Лев. В упаковке ; 1995F ;  ; Ag ; Proof ; 18 ; Aurora810 ; 529 
 3145 ; 10 марок. ФРГ. Гамбург. Упаковка нарушена ; 1989J ;  ; Ag ; Proof ; 17 ; smn51 ; 531 
 3146 ; 10 марок. ФРГ. Роберт Кох. В упаковке ; 1993J ;  ; Ag ; Proof ; 24 ; 8822 ; 544 
 3147 ; 10 марок. ФРГ. Потсдам. В упаковке ; 1993F ;  ; Ag ; Proof ; 41 ; Lex2000 ; 614 
 3148 ; 10 марок. ФРГ. Тевтонский орден. В упаковке ; 1990J ;  ; Ag ; Proof ; 25 ; Звездолёты ; 509 
 3149 ; 10 марок. ФРГ. И.Г.Гердер. В упаковке ; 1994G ;  ; Ag ; Proof ; 14 ; maksud ; 500 
 3150 ; 10 марок. ФРГ. Ф.Барбаросса. В упаковке ; 1990F ;  ; Ag ; Proof ; 13 ; guronidze ; 587 
 3151 ; 10 марок. ФРГ. Кольпинг. В упаковке ; 1996А ;  ; Ag ; Proof ; 17 ; артега ; 499 
 3152 ; 10 марок. ФРГ. 50 лет мира и согласия. В упаковке ; 1995J ;  ; Ag ; Proof ; 20 ; Lex2000 ; 525 
 3153 ; 10 марок. ФРГ. Карл Зайсс. В упаковке ; 1988F ;  ; Ag ; Proof ; 13 ; Lex2000 ; 579 
 3154 ; 10 марок. ФРГ. 40 лет ФРГ. В упаковке ; 1989G ;  ; Ag ; Proof ; 29 ; Diablo666.xs ; 908 
 3155 ; 10 марок. ФРГ. Бранденбургские ворота ; 1991А ;  ; Ag ; Proof ; 25 ; dencon ; 532 
 3056 ; 20 крон. Словакия. Святые Кирилл и Мефодий ; 1941 ;  ; Ag ; XF+ ; 35 ; Grey 13 ; 520 
 3057 ; 50 крон. Чехословакия.  3 года Пражскому восстанию ; 1948 ;  ; Ag ; AU ; 27 ; Звездолёты ; 477 
 3058 ; 1 шиллинг. Гамбург ; 1832 ;  ; Ag ; XF- ; 61 ; dsa ; 528 
 3059 ; 40 пара. Турция ;  ;  ; Cu ; VF- ; 11 ; canario ; 143 
 3060 ; 5 марок. ФРГ ; 1968D ;  ; Ag ; XF+ ; 31 ; (&) ; 379 
 3061 ; 1 шиллинг. Великобритания ; 1907 ;  ; Ag ; F-VF ; 20 ; Elephant ; 433 
 3062 ; 1 шиллинг. ЮАР ; 1932 ;  ; Ag ; F-VF ; 54 ; ml10 ; 710 
 3063 ; 2-1/2 шиллинга. ЮАР ; 1927 ;  ; Ag ; F ; 33 ; salim ; 728 
 3064 ; 10 центов. Стрейтс Сетлемент ; 1927 ;  ; Ag ; VF-XF ; 15 ; alehandr ; 221 
 3065 ; 5 центов. Стрейтс Сетлемент ; 1902 ;  ; Ag ; VF-XF ; 37 ; Аристон ; 1326 
 3066 ; 5/10 гирш. Египет ;  ;  ; Cu-Ni ; XF+ ; 29 ; zx123 ; 250 
 3067 ; Монета. Восток ;  ;  ; Ag ; VF+ ; 38 ; remetalk ; 1092 
 3068 ; 10 пара. Турция ;  ;  ; Ni ; XF ; 17 ; нионила ; 62 
 3069 ; 1 куруш. Турция ;  ;  ; Ag ; VF-XF ; 15 ; zx123 ; 159 
 3070 ; Монета. Восток ;  ;  ; Ag ; VF ; 25 ; mkm1968 ; 501 
