 3629 ; Бона иностранная ;  ;  ;  ;  ; 16 ; валери ; 34 
 2684 ; 5 гривен. Украина. Международный год астрономии. Юрий Дрогобыч ; 2009 ;  ; Cu-Ni ; Proof ; 3 ; viktorion80 ; 157 
 2685 ; 5 гривен. Украина. 225 лет Симферополю ; 2009 ;  ; Cu-Ni ; Proof-Like ; 4 ; viktorion80 ; 158 
 2686 ; 2 гривны. Украина. Михаил Грушевский ; 2006 ;  ; Cu-Ni ; Proof ; 4 ; piter_k ; 127 
 2687 ; 2 гривны. Украина. Иван Франко ; 2006 ;  ; Cu-Ni ; Proof ; 13 ; Uliy ; 150 
 2688 ; 2 гривны. Украина. Иван Багряный ; 2007 ;  ; Cu-Ni ; Proof ; 2 ; Mike! ; 123 
 2689 ; 2 гривны. Украина. Александр Ляпунов ; 2007 ;  ; Cu-Ni ; Proof ; 5 ; Uliy ; 128 
 2690 ; 2 гривны. Украина. Василий Стус ; 2008 ;  ; Cu-Ni ; Proof ; 2 ; Mike! ; 123 
 2691 ; 2 гривны. Украина. Лев Ландау ; 2008 ;  ; Cu-Ni ; Proof ; 4 ; ВВ42 ; 129 
 2692 ; 2 гривны. Украина. Павел Чубинский ; 2009 ;  ; Cu-Ni ; Proof ; 38 ; Germanfox ; 125 
 2693 ; 2 гривны. Украина. 100 лет Украинскому хоккею ; 2010 ;  ; Cu-Ni ; Proof ; 24 ; ramik321 ; 221 
 2694 ; 2 лева. Болгария. XXV Летние Олимпийские игры ; 1988 ;  ; Cu-Ni ; Proof ; 27 ; ramik321 ; 251 
 2695 ; 1/2 доллара. США. 100 лет Статуе Свободы ; 1986S ;  ; Cu-Ni ; Proof ; 50 ; env ; 457 
 2696 ; 20 марок. ГДР. 250 лет со дня смерти Иммануила Каната ; 1974 ;  ; Ag ; AU ; 41 ; omahalov ; 2550 
 2697 ; 10 марок. ГДР. Бетховен ; 1970 ;  ; Ag ; AU ; 27 ; Mike! ; 1338 
 2698 ; 10 марок. ГДР. 100 лет со дня рождения Альберта Швейтзера ; 1975 ;  ; Ag ; AU ; 27 ; Mike! ; 1965 
 2699 ; 5 марок. ГДР. 100 лет со дня рождения Альберта Эйнштейна ; 1979 ;  ; Cu-Ni ; AU ; 78 ; peza_64 ; 2267 
 2700 ; 20 крон. Чехословакия ; 1934 ;  ; Ag ; VF ; 8 ; В1951 ; 273 
 2701 ; 1 лира. Италия. История лиры ; 2001 ;  ; Ag ; AU ; 32 ; dsp ; 847 
 2702 ; 100 крон. Чехословакия. 700 лет горному делу в Йоглавских горах ; 1949 ;  ; Ag ; XF ; 19 ; delf ; 461 
 2703 ; 25 новых пенсов. Великобритания. 25 лет правления ; 1977 ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 150 
 2704 ; 20 марок. ГДР. Карл Либкнехт и Роза Люксембург ; 1971 ;  ; Ag ; AU ; 20 ; МИГ ; 2019 
 2705 ; 20 марок. ГДР. 500 лет со дня рождения Лукаса Кранаха ; 1972 ;  ; Ag ; AU ; 87 ; МИГ ; 2019 
 2706 ; 20 марок. ГДР. Бранденбургские ворота ; 1990А ;  ; Ag ; XF+ ; 28 ; Lasto4kaSPB ; 898 
 2707 ; 10 марок. ГДР. 100 лет со дня рождения Альберта Швейтзера ; 1975 ;  ; Ag ; AU ; 17 ; Tche ; 1883 
 2608 ; 2 мила. Британская Палестина ; 1942 ;  ; Br ; VF+ ; 23 ; ask ; 150 
 2609 ; 50 динаров. Югославия ; 1938 ;  ; Ag ; XF- ; 92 ; _1111_ ; 402 
 2610 ; 20 динаров. Югославия ; 1938 ;  ; Ag ; XF/AU ; 50 ; _1111_ ; 276 
 2611 ; 1 крона. Швеция ; 1966 ;  ; Ag ; AU ; 97 ; hugo ; 235 
 2612 ; 5 лир. Ватикан ; 1932 ;  ; Ag ; VF+ ; 40 ; staro ; 714 
 2613 ; 10 стотинок. Болгария ; 1906 ;  ; Cu-Ni ; VF- ; 17 ; asdtyu ; 46 
 2614 ; 10 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; XF ; 30 ; asdtyu ; 49 
 2615 ; 5 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; XF- ; 29 ; asdtyu ; 48 
 2616 ; 1 цент. Британская Малайя ; 1943 ;  ; Br ; VF+ ; 50 ; kiparis ; 156 
 2617 ; 10 лей. Румыния ; 1930 ;  ; Ni-Латунь ; XF- ; 7 ; zx123 ; 77 
 2618 ; 1 лев. Болгария. Дружба навеки ; 1981 ;  ; Cu/Ni ; AU ; 20 ; astronom ; 206 
 2619 ; 3 пенса. Великобритания ; 1937 ;  ; Ni-Латунь ; XF- ; 23 ; В1951 ; 57 
 2620 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972J ;  ; Ag ; XF+ ; 10 ; 542 ; 383 
 2621 ; 20 евро. Нидерланды. Константин Хейген. С сертификатом ; 1996 ;  ; Ag800 ; Proof-Like ; 47 ; hobot ; 829 
 2622 ; 100 злотых. Польша. Королева Ядвига ; 1988 ;  ; Cu-Ni ; AU ; 50 ; 458 ; 114 
 2623 ; 100 злотых. Польша. Казимир III Великий ; 1987 ;  ; Cu-Ni ; AU ; 61 ; Vadik ; 102 
 2624 ; 100 злотых. Польша. Владислав I Локетек ; 1986 ;  ; Cu-Ni ; XF+ ; 8 ; zsv ; 102 
 2625 ; 100 злотых. Польша. Пшемыслав II ; 1985 ;  ; Cu-Ni ; AU ; 36 ; kuauatemok ; 100 
 2626 ; 50 злотых. Польша. Владислав I Герман ; 1981 ;  ; Cu-Ni ; AU ; 7 ; kuauatemok ; 153 
 2627 ; 50 злотых. Польша. Болеслав III Кривоустый ; 1982 ;  ; Cu-Ni ; AU ; 30 ; zsv ; 101 
 2628 ; 50 злотых. Польша. Болеслав II Смелый ; 1981 ;  ; Cu-Ni ; XF+ ; 4 ; kuauatemok ; 102 
 2629 ; 50 злотых. Польша. Болеслав I Храбрый ; 1980 ;  ; Cu-Ni ; AU ; 23 ; kuauatemok ; 100 
 2630 ; 50 злотых. Польша. Ян III Собесский ; 1983 ;  ; Cu-Ni ; AU ; 11 ; Буратино ; 105 
 2631 ; 50 злотых. Польша. Казимир I Восстановитель ; 1980 ;  ; Cu-Ni ; AU ; 6 ; OMT ; 102 
 2632 ; 50 злотых. Польша. ФАО - международный день еды ; 1981 ;  ; Cu-Ni ; AU ; 55 ; OMT ; 314 
 2633 ; 10 лева. Болгария. Крум ; 1943 ;  ; Ni/St ; VF-XF ; 14 ; denvv ; 89 
 2634 ; 1 гульден. Сакс-Мейнинген ; 1838 ;  ; Ag ; XF ; 117 ; чусер ; 1612 
 2635 ; 10 марок. ГДР. 500 лет со дня смерти Иоганна Гутенберга ; 1968 ;  ; Ag ; XF/AU ; 14 ; дед морос ; 1289 
 2636 ; 1/2 геллера. Немецкая Восточная Африка. Берлин ; 1904A ;  ; Cu ; XF/AU ; 39 ; purr ; 485 
 2637 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972D ;  ; Ag ; AU ; 23 ; Mike! ; 375 
 2638 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972G ;  ; Ag ; AU ; 7 ; zydor ; 383 
 2639 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972J ;  ; Ag ; AU ; 44 ; ГраF ; 461 
 2640 ; 10 марок. ФРГ. 30 лет Европейскому союзу ; 1987G ;  ; Ag ; AU ; 30 ; zydor ; 410 
 2641 ; 10 марок. ФРГ. 750 лет Берлину ; 1987J ;  ; Ag ; AU ; 27 ; vicnic ; 452 
 2642 ; 10 марок. ФРГ. 100 лет со дня смерти Карла Цейса ; 1988F ;  ; Ag ; AU ; 80 ; Mike! ; 407 
 2643 ; 10 марок. ФРГ. 100 лет со дня смерти Карла Цейса ; 1988F ;  ; Ag ; AU ; 9 ; Lasto4kaSPB ; 383 
 2644 ; 10 марок. ФРГ. 2000 лет городу Бонну ; 1989D ;  ; Ag ; AU ; 24 ; zydor ; 383 
 2645 ; 10 марок. ФРГ. 40 лет Республике ; 1989G ;  ; Ag ; AU ; 23 ; zydor ; 407 
 2646 ; 10 марок. ФРГ. 800 лет Гамбургу ; 1989J ;  ; Ag ; AU ; 9 ; Lasto4kaSPB ; 391 
 2647 ; 10 марок. ФРГ. 800 лет со дня смерти кайзера Фридриха Барбароссы ; 1990F ;  ; Ag ; AU ; 27 ; kuauatemok ; 492 
 2648 ; 10 марок. ФРГ. 800 лет Тевтонскому ордену ; 1990J ;  ; Ag ; AU ; 12 ; Lasto4kaSPB ; 391 
 2649 ; 10 марок. ФРГ. Объединение Германии ; 1991A ;  ; Ag ; AU ; 19 ; Lasto4kaSPB ; 391 
 2650 ; 10 марок. ФРГ. 150 лет ордену "За заслуги" ; 1992D ;  ; Ag ; AU ; 22 ; vicnic ; 480 
 2651 ; 10 марок. ФРГ. 1000 лет Потсдаму ; 1993F ;  ; Ag ; AU ; 18 ; vicnic ; 453 
 2652 ; 10 марок. ФРГ. 150 лет со дня рождения Роберта Коха ; 1993J ;  ; Ag ; AU ; 18 ; vicnic ; 480 
 2653 ; 10 марок. ФРГ. Попытка устранить Гитлера 20 июля 1944 года ; 1994A ;  ; Ag ; AU ; 19 ; env ; 434 
 2654 ; 10 марок. ФРГ. 150 лет со дня рождения Вильгельма Конрада Рентгена ; 1995D ;  ; Ag ; AU ; 12 ; vicnic ; 460 
 2655 ; 10 марок. ФРГ. 500 лет со дня смерти Генри Льва ; 1995F ;  ; Ag ; AU ; 25 ; vicnic ; 460 
 2656 ; 10 марок. ФРГ. 50 лет миру и согласию ; 1995J ;  ; Ag ; AU ; 17 ; vicnic ; 452 
 2657 ; 10 марок. ФРГ. 500 лет со дня рождения Филиппа Меланхтона ; 1997J ;  ; Ag ; AU ; 19 ; vicnic ; 460 
 2558 ; 5 лева. Болагрия. Петко Славейков ; 1977 ;  ; Ag ; Proof ; 76 ; Mike! ; 505 
 2559 ; 5 лева. Болагрия. 100 лет Национальной библиотеке ; 1978 ;  ; Ag ; Proof ; 54 ; Mike! ; 459 
 2560 ; 5 лева. Болгария. Пейо Яворов ; 1978 ;  ; Ag ; Proof ; 51 ; Mike! ; 284 
 2561 ; 5 лева. Болагрия. 100 лет Болгарскому сообщению ; 1979 ;  ; Ag ; AU ; 45 ; Mike! ; 483 
 2562 ; 20000 песо. Гвинея -Биссау. 50 лет ООН ; 1995 ;  ; Ag ; Proof ; 3 ; Mike! ; 888 
 2563 ; 25 пенсов. Остров Святой Елены. 300 лет ; 1973 ;  ; Ag ; Proof ; 17 ; belka ; 944 
 2564 ; 5 квача. Малави. Чудеса света ; 2005 ;  ; Ag ; Proof ; 57 ; кошак ; 1763 
 2565 ; 3 миллиона лир. Турция. Евро. Галатская башня ; 1998 ;  ; Ag ; Proof ; 34 ; Алек ; 1526 
 2566 ; 5000 лева. Болгария. Евро ; 1998 ;  ; Ag ; Proof ; 67 ; Lasto4kaSPB ; 659 
 2567 ; 10 евро. Остров Мэн. Нидерландское президентство в ЕС ; 1997 ;  ; Ag ; Proof ; 24 ; Mike! ; 555 
 2568 ; 6,55957 франков. Франция. Европа ; 1999 ;  ; Ag ; AU ; 31 ; logotype ; 1370 
 2569 ; 10 долларов. Острова Кука. 500 лет Америке ; 1990 ;  ; Ag ; Proof ; 34 ; purr ; 710 
 2570 ; 25 долларов. Ямайка. Чемпионат мира по футболу ; 1986 ;  ; Ag ; Proof ; 52 ; Mike! ; 1426 
 2571 ; 50 крон. Словения. 5 годовщина независимости ; 1944 ;  ; Ag ; AU ; 70 ; kgu ; 350 
 2572 ; 3 пенса. Южная Африка ; 1959 ;  ; Ag ; Unc/AU ; 43 ; shest ; 146 
 2573 ; 3 пенса. Новая Зеландия ; 1934 ;  ; Ag ; VF-XF ; 48 ; _1111_ ; 140 
 2574 ; 3 пенса. Новая Зеландия ; 1937 ;  ; Ag ; VF-XF ; 41 ; kremen ; 108 
 2575 ; 5 песо. Колумбия ; 1968 ;  ; Cu-Ni ; AU ; 18 ; kremen ; 80 
 2576 ; 1 крона. Новая Зеландия. Гора Кука ; 1970 ;  ; Cu-Ni ; AU ; 17 ; _1111_ ; 132 
 2577 ; 1 паанга. Тонго. Коронация ; 1967 ;  ; Cu-Ni ; XF/AU ; 35 ; alex1974 ; 199 
 2578 ; 20 сенити. Тонго. Коронация ; 1967 ;  ; Cu-Ni ; AU ; 13 ; alex1974 ; 148 
 2579 ; 200000 карбованцев. Украина. Богдан Хмельницкий. Упаковка ; 1995 ;  ; Cu-Ni ; Proof ; 37 ; kiparis ; 156 
 2580 ; 200000 карбованцев. Украина. XXVI Олипийские игра в Атланте ; 1996 ;  ; Cu-Ni ; Proof ; 61 ; КНМ ; 308 
 2581 ; 200000 карбованцев. Украина. Леся ; 1996 ;  ; Cu-Ni ; Unc ; 36 ; vc57 ; 111 
 2582 ; 200000 карбованцев. Украина. Трагедия в Чернобыле ; 1996 ;  ; Cu-Ni ; Unc ; 23 ; SANGOLD1 ; 155 
 2583 ; 50 пфеннигов. Веймар ; 1922 ;  ; Al ; VF-XF ; 11 ; SANGOLD1 ; 53 
 2584 ; 6 пенсов. Великобритания, Георг VI ; 1946 ;  ; Ag ; XF- ; 68 ; dikiy17 ; 125 
 2585 ; 1 пенни. Великобритания, Виктория ; 1897 ;  ; Br ; F-VF ; 28 ; kremen ; 91 
 2586 ; 1 доллар. Британская Канада, Елизавета II ; 1972 ;  ; Ag ; AU ; 24 ; ВЭБ! ; 612 
 2587 ; 50 центов. Британская Канада, Георг V ; 1918 ;  ; Ag ; F-VF ; 5 ; ratiandr ; 295 
 2588 ; 1 пайса. Индия, Гвалиор, Джаджи Рао (1843-1886) ; 1869 ;  ; Cu ; F-VF ; 41 ; smel ; 173 
 2589 ; 1/2 пайсы. Индия, Бахавальпур, Садиг Мухаммад Хан V (1907-1947) ; 1940 (1359 л.х.) ;  ; Cu ; VF+ ; 16 ; ZOLTAN333 ; 102 
 2590 ; 10 сантимов. Тунис ; 1807А ;  ; Br ; VF ; 30 ; tigris ; 236 
 2591 ; 5 центаво. Аргентина ; 1939 ;  ; никелин ; XF+ ; 34 ; kiparis ; 35 
 2592 ; 100 франков. Франция. Статуя Свободы ; 1986 ;  ; Ag ; XF+ ; 48 ; Иа-Иа ; 417 
 2593 ; 100 франков. Франция. Права человека ; 1989 ;  ; Ag ; AU ; 27 ; Иа-Иа ; 633 
 2594 ; 10 франков. Франция. Гуртовая надпись ; 1976 ;  ; Br ; VF+ ; 59 ; asdtyu ; 73 
 2595 ; 25 сантимов. Франция, 3-я республика ; 1904 ;  ; никелин ; VF+ ; 68 ; 542 ; 118 
 2596 ; 5 сантимов. Франция, 3-я республика ; 1916 ;  ; Br ; F-VF ; 51 ; 542 ; 144 
 2597 ; 20 сантимов. Франция. Правительство Виши ; 1942 ;  ; Zn ; F+ ; 13 ; _1111_ ; 61 
 2598 ; 10 кэш. Китай ; ND ;  ; Cu ; F-VF ; 55 ; vc57 ; 81 
 2599 ; 5 песет. Испания ; 1870 ;  ; Ag ; F-VF ; 48 ; _1111_ ; 1134 
 2600 ; 5 лева. Болгария ; 1892 ;  ; Ag ; VF ; 43 ; Ходор ; 928 
 2601 ; 5 франков. Швейцария ; 1935 ;  ; Ag ; VF ; 26 ; fillin ; 417 
 2602 ; 10 сранг. Тибет ;  ;  ; Биллон ; VF-XF ; 54 ; Гордиан ; 612 
 2603 ; 2 песеты. Испания ; 1882 ;  ; Ag ; VF- ; 49 ; _1111_ ; 459 
 2604 ; 2 лата. Латвия ; 1925 ;  ; Ag ; VF- ; 51 ; jef688 ; 197 
 2605 ; 1 франк. Швейцария ; 1957 ;  ; Ag ; XF- ; 50 ; delf ; 126 
 2606 ; 1/2 франка. Швейцария ; 1962 ;  ; Ag ; AU ; 66 ; kremen ; 151 
 2607 ; 10 крон. Чехословакия. 10 лет независимости ; 1928 ;  ; Ag ; XF+ ; 49 ; hugo ; 387 
 2508 ; 20 вон. Северная Корея. Год Кролика ; 2009 ;  ; Латунь ; Proof ; 17 ; Mike! ; 300 
 2509 ; 20 вон. Северная Корея. Год Тигра ; 2009 ;  ; Латунь ; Proof ; 11 ; Nirvanych ; 340 
 2510 ; 20 вон. Северная Корея. Китайский гороскоп. Год Собаки ; 2009 ;  ; Латунь ; Proof ; 7 ; diesel98 ; 282 
 2511 ; 20 вон. Северная Корея. Искусственный спутник ; 2007 ;  ; Латунь ; Proof ; 23 ; vc57 ; 308 
 2512 ; 20 вон. Северная Корея. Птицы Кореи. Синекрылая питта ; 2007 ;  ; Латунь ; Proof ; 8 ; Mike! ; 261 
 2513 ; 20 вон. Северная Корея. Птицы Кореи. Саджа ; 2007 ;  ; Латунь ; Proof ; 8 ; Mike! ; 261 
 2514 ; 20 рублей. Беларусь. Олимпийские игры. Биатлон ; 2001 ;  ; Ag ; Proof ; 5 ; piter_k ; 1122 
 2515 ; 20 рублей. Беларусь. Олимпийские игры. Метание ядра ; 2003 ;  ; Ag925 ; Proof ; 3 ; Mike! ; 1100 
 2516 ; 20 рублей. Беларусь. Вячеслав Полоцкий ; 2005 ;  ; Ag925 ; Proof ; 31 ; zufar5518 ; 1145 
 2517 ; 20 рублей. Беларусь. Олимпийские игры. Хоккей ; 2005 ;  ; Ag925 ; Proof ; 5 ; Lasto4kaSPB ; 1122 
 2518 ; 20 рублей. Беларусь. Теннис ; 2005 ;  ; Ag925 ; Proof ; 7 ; Lasto4kaSPB ; 1145 
 2519 ; 20 рублей. Беларусь. Софья Гольшанская (Друцкая) ; 2006 ;  ; Ag925 ; Proof ; 10 ; Lasto4kaSPB ; 1145 
 2520 ; 20 рублей. Беларусь. Олимпийские игры. Легкая атлетика ; 2006 ;  ; Ag925 ; Proof ; 5 ; Lasto4kaSPB ; 1122 
 2521 ; 20 рублей. Беларусь. Международный полярный год ; 2007 ;  ; Ag925 ; Proof ; 7 ; Lasto4kaSPB ; 1122 
 2522 ; 20 рублей. Беларусь. Волки ; 2007 ;  ; Ag999 ; Proof ; 8 ; murzik20 ; 1499 
 2523 ; 20 рублей. Беларусь. Легенда про Зязюлю ; 2008 ;  ; Ag925 ; Proof ; 4 ; Lasto4kaSPB ; 1122 
 2524 ; 20 рублей. Беларусь. Турандот ; 2008 ;  ; Ag ; AU ; 6 ; rim ; 1145 
 2525 ; 20 рублей. Беларусь. "Дзяды" ; 2008 ;  ; Ag925 ; AU ; 24 ; LEXAI ; 1658 
 2526 ; 20 рублей. Беларусь. Спасы ; 2009 ;  ; Ag925 ; AU ; 60 ; SergeyAnatoljevich ; 2219 
 2527 ; 10 рублей. Беларусь. Преподобный Сергий Радонежский ; 2008 ;  ; Ag925 ; Proof ; 51 ; hugo ; 1045 
 2528 ; 10 рублей. Беларусь. Птица года. Белая цапля ; 2008 ;  ; Ag925 ; Proof ; 4 ; Mike! ; 900 
 2529 ; 1 рубль. Беларусь. Вольная борьба ; 2003 ;  ; Cu-Ni ; Proof ; 17 ; elitov ; 344 
 2530 ; 1 рубль. Беларусь. Вячеслав Полоцкий ; 2005 ;  ; Cu-Ni ; Proof ; 6 ; Mike! ; 277 
 2531 ; 1 рубль. Беларусь. Теннис ; 2005 ;  ; Cu-Ni ; Proof ; 18 ; elitov ; 333 
 2532 ; 1 рубль. Беларусь. Софья Гольшанская (Друцкая) ; 2006 ;  ; Cu-Ni ; Proof ; 20 ; Lasto4kaSPB ; 255 
 2533 ; 1 рубль. Беларусь. Легенда про Бусла ; 2007 ;  ; Cu-Ni ; Proof ; 6 ; Mike! ; 277 
 2534 ; 1 рубль. Беларусь. Птица года. Соловей ; 2007 ;  ; Cu-Ni ; Proof ; 26 ; murew ; 434 
 2535 ; 1 рубль. Беларусь. Дзяды ; 2008 ;  ; Cu-Ni ; AU ; 26 ; alskr ; 362 
 2536 ; 1 рубль. Беларусь. Легенда про Зязюлю ; 2008 ;  ; Cu-Ni ; Proof ; 6 ; Mike! ; 271 
 2537 ; 1 рубль. Беларусь. Птица года. Белаяцапля ; 2008 ;  ; Cu-Ni ; Proof ; 22 ; murew ; 434 
 2538 ; 1 рубль. Беларусь. Новоселье ; 2008 ;  ; Cu-Ni ; Proof ; 4 ; Mike! ; 300 
 2539 ; 1 рубль. Беларусь. Зимородок ; 2008 ;  ; Cu-Ni ; Proof ; 17 ; LEXAI ; 324 
 2540 ; 1 рубль. Беларусь. Спасы ; 2009 ;  ; Cu-Ni ; AU ; 44 ; Mike! ; 354 
 2541 ; 1 рубль. Беларусь. Знаки зодиака. Рак ; 2009 ;  ; Cu-Ni ; Proof ; 15 ; Павлов75 ; 333 
 2542 ; 1 рубль. Беларусь. 65 лет победы ; 2010 ;  ; Cu-Ni ; Proof ; 23 ; murew ; 428 
 2543 ; 500 лева. Болгария. Национальная Художественная академия ; 1996 ;  ; Ag ; Proof ; 12 ; murzik20 ; 521 
 2544 ; 50 лева. Болгария. 1300 лет Болгарии. Георгий Димитров ; 1981 ;  ; Ag ; Proof ; 21 ; hugo ; 2299 
 2545 ; 25 лева. Болгария. Георгий Димитров ; 1982 ;  ; Ag ; Proof ; 42 ; hugo ; 775 
 2546 ; 25 лева. Болгария. 40 лет Социалистической Болгарии ; 1984 ;  ; Ag ; Proof ; 27 ; Mike! ; 459 
 2547 ; 20 лева. Болгария. 100 лет столице Болгарии - Софии ; 1979 ;  ; Ag ; Unc ; 36 ; vicnic ; 650 
 2548 ; 20 лева. Болгария. Васил Левски ; 1987 ;  ; Ag ; Proof ; 38 ; Mike! ; 368 
 2549 ; 20 лева. Болгария. Советско-Болгарский совместный полет ; 1988 ;  ; Ag ; Proof ; 25 ; Mike! ; 470 
 2550 ; 20 лева. Болгария. 100 лет Болгарской железной дороге ; 1988 ;  ; Ag ; Proof ; 47 ; Mike! ; 376 
 2551 ; 20 лева. Болгария. 110 лет освобождения Болгарии от Османского ига ; 1988 ;  ; Ag ; Proof ; 19 ; vicnic ; 460 
 2552 ; 20 лева. Болгария. Софийский Университет ; 1988 ;  ; Ag ; Proof ; 51 ; Mike! ; 267 
 2553 ; 20 лева. Болгария. 120 лет Болгарской Академии наук ; 1989 ;  ; Ag ; Proof ; 43 ; Mike! ; 260 
 2554 ; 10 лева. Болгария. Первенство по футболу. Мяч и шляпа ; 1982 ;  ; Ag ; Proof ; 28 ; diesel98 ; 1020 
 2555 ; 10 лева. Болгария. Первенство по футболу. Футболисты ; 1982 ;  ; Ag ; Proof ; 31 ; diesel98 ; 1000 
 2556 ; 10 лева. Болгария. Декада женщин ООН ; 1984 ;  ; Ag ; Proof ; 19 ; Mike! ; 1257 
 2557 ; 5 лева. Болагрия. 100 лет Апрельского восстания ; 1976 ;  ; Ag ; Proof ; 5 ; Mike! ; 410 
 2458 ; 1 рубль. Беларусь. Стерлядь ; 2007 ;  ; Cu-Ni ; Proof ; 30 ; OMT ; 466 
 2459 ; 1 рубль. Беларусь. Зимородок ; 2008 ;  ; Cu-Ni ; Proof ; 21 ; murew ; 378 
 2460 ; 1 рубль. Беларусь. Белый аист ; 2009 ;  ; Cu-Ni ; Proof ; 27 ; murew ; 310 
 2461 ; 1 рубль. Беларусь. Легенда про черепаху ; 2010 ;  ; Cu-Ni ; Proof ; 54 ; zufar5518 ; 269 
 2462 ; 1 рубль. Беларусь. 10 лет ЕвроЭС ; 2010 ;  ; Cu-Ni ; Proof ; 40 ; Lasto4kaSPB ; 269 
 2463 ; 10000 марок. Германия. Вестфалия. Нотгельд ; 1923 ;  ; Ж/м ; XF+ ; 51 ; _1111_ ; 896 
 2464 ; 2 кроны. Австрия ; 1913 ;  ; Ag ; VF-XF ; 56 ; Lasto4kaSPB ; 408 
 2465 ; 1 крона. Австрия ; 1914 ;  ; Ag ; VF-XF ; 49 ; Lasto4kaSPB ; 153 
 2466 ; 10 центов. Нидерланды ; 1937 ;  ; Ag ; VF-XF ; 63 ; opop ; 122 
 2467 ; 10 центов. Нидерланды ; 1938 ;  ; Ag ; VF-XF ; 13 ; Gold_42 ; 82 
 2468 ; 10 центов. Нидерланды ; 1939 ;  ; Ag ; VF-XF ; 57 ; asdtyu ; 105 
 2469 ; 10 центов. Нидерланды ; 1941 ;  ; Ag ; VF-XF ; 21 ; Gold_42 ; 78 
 2470 ; 200 марок. Веймар ; 1923D ;  ; Al ; XF+ ; 2 ; murzik20 ; 199 
 2471 ; 1 доллар. США ; 1884 ;  ; Ag ; AU ; 86 ; gors ; 3701 
 2472 ; 1 доллар. США ; 1921 ;  ; Ag ; AU ; 65 ; gors ; 1037 
 2473 ; 10 марок. Финляндия. 75 лет со дня рождения президента Кекконена ; 1975 ;  ; Ag ; Unc/AU ; 52 ; OMT ; 463 
 2474 ; 5 шиллингов. Южная Африка. 300 лет образования Кейптауна ; 1952 ;  ; Ag ; Unc/AU ; 83 ; Germanfox ; 1326 
 2475 ; 1/2 кроны. Великобритания ; 1947 ;  ; Cu-Ni ; VF- ; 30 ; dikiy17 ; 92 
 2476 ; 1 гульден. Нидерланды ; 1956 ;  ; Ag ; AU ; 80 ; sveta6369 ; 147 
 2477 ; 100 песо. Мексика. Кубок мира по футболу ; 1986 ;  ; Ag ; Proof ; 59 ; rekaSvir ; 909 
 2478 ; 1 гуарани. Парагвай. ФИФА ; 2003 ;  ; Ag ; Proof ; 148 ; diesel98 ; 929 
 2479 ; 1 песо. Куба. 100 лет Хосе Марти ; 1953 ;  ; Ag ; VF-XF ; 91 ; Оттар ; 716 
 2480 ; 50 сентаво. Португальская Ангола ; 1954 ;  ; Br ; XF+ ; 64 ; kremen ; 128 
 2481 ; 5 лева. Болгария. Петко Славейков ; 1977 ;  ; Ag ; Proof ; 82 ; alskr ; 360 
 2482 ; 1 лев. Болгария. Дружба навеки ; 1981 ;  ; Cu-Ni ; Proof ; 20 ; OMT ; 203 
 2483 ; 1 лев. Болгария. Дружба навеки ; 1981 ;  ; Cu-Ni ; AU ; 33 ; нумизмат ; 112 
 2484 ; 25 куна. Хорватия. Бизнесфорум в Загребе ; 2010 ;  ; Би/м ; AU ; 39 ; СВл ; 615 
 2485 ; 5 лат. Латвия ; 1929 ;  ; Ag ; VF+ ; 30 ; bigfd ; 565 
 2486 ; 5000 соль. Перу. Чемпионат по футболу ; 1982 ;  ; Ag ; Proof ; 58 ; diesel98 ; 1025 
 2487 ; 100 песо. Мексика. Чемпионат мира по футболу 1986г ; 1986 ;  ; Ag ; Proof ; 68 ; rekaSvir ; 915 
 2488 ; 10 долларов. Острова Кука. XXV олимпийские игры в Барселоне ; 1990 ;  ; Ag ; Proof ; 59 ; robinson ; 369 
 2489 ; 20 вон. Северная Корея. Китайский гороскоп. Год Собаки ; 2006 ;  ; Латунь ; Proof ; 29 ; diesel98 ; 395 
 2490 ; 20 вон. Северная Корея. Китайский гороскоп. Год Свиньи ; 2007 ;  ; Латунь ; Proof ; 21 ; diesel98 ; 400 
 2491 ; 20 вон. Северная Корея. Китайский гороскоп. Год Кролика ; 2008 ;  ; Латунь ; Proof ; 33 ; dikiy17 ; 420 
 2492 ; 20 вон. Северная Корея. Китайский гороскоп. Год Мыши ; 2008 ;  ; Латунь ; Proof ; 19 ; diesel98 ; 400 
 2493 ; 20 вон. Северная Корея. Китайский гороскоп. Год Дракона ; 2008 ;  ; Латунь ; Proof ; 53 ; SANGOLD1 ; 408 
 2494 ; 20 вон. Северная Корея. Китайский гороскоп. Год Обезьяны ; 2008 ;  ; Латунь ; Proof ; 16 ; diesel98 ; 397 
 2495 ; 20 вон. Северная Корея. Китайский гороскоп. Год Змеи ; 2008 ;  ; Латунь ; Proof ; 11 ; diesel98 ; 397 
 2496 ; 20 вон. Северная Корея. Китайский гороскоп. Год Козы ; 2008 ;  ; Латунь ; Proof ; 18 ; SANGOLD1 ; 408 
