 5988 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 9 ; USS ; 41 
 3567 ; 2 гривны. Украина. Ящерица ; 2015 ;  ; Cu-Ni ; AU ; 22 ; alapabula ; 254 
 3568 ; 2 гривны. Украина. Галшка Гулевичевна ; 2015 ;  ; Cu-Ni ; AU ; 8 ; aziya11 ; 114 
 3569 ; 2 гривны. Украина. Василь Стус ; 2008 ;  ; Cu-Ni ; AU ; 12 ; цеховик ; 138 
 3570 ; 2 гривны. Украина. Хоккей ; 2010 ;  ; Cu-Ni ; AU ; 14 ; sibirian ; 163 
 3571 ; 2 гривны. Украина. Борис Гринченко ; 2013 ;  ; Cu-Ni ; AU ; 11 ; Redkyt ; 310 
 3572 ; 2 гривны. Украина. Сидр Ковпак ; 2012 ;  ; Cu-Ni ; AU ; 41 ; ShAV_Real ; 1353 
 3573 ; 2 гривны. Украина. Иван Кожедуб ; 2010 ;  ; Cu-Ni ; AU ; 11 ; flutter ; 164 
 3574 ; 2 гривны. Украина. Кобылянская ; 2013 ;  ; Cu-Ni ; AU ; 12 ; Sandello ; 127 
 3575 ; 2 гривны. Украина. Ковыль ; 2010 ;  ; Cu-Ni ; AU ; 12 ; Sandello ; 151 
 3576 ; 2 гривны. Украина. Киево-Могилянская академия ; 2015 ;  ; Cu-Ni ; AU ; 7 ; aziya11 ; 167 
 3577 ; 2 гривны. Украина. Олимпиада ; 2012 ;  ; Cu-Ni ; AU ; 30 ; divergent ; 191 
 3578 ; 2 гривны. Украина. Борис Мартос ; 2009 ;  ; Cu-Ni ; AU ; 7 ; кот баюн ; 102 
 3579 ; 2 гривны. Украина. Миколай Боголюбов ; 2009 ;  ; Cu-Ni ; AU ; 5 ; Vanka ; 108 
 3580 ; 2 гривны. Украина. Львовская Политехника ; 2010 ;  ; Cu-Ni ; AU ; 11 ; Vanka ; 127 
 3581 ; 2 гривны. Украина. Яков Гнездовский ; 2015 ;  ; Cu-Ni ; AU ; 3 ; Vanka ; 143 
 3482 ; 1/2 доллара. США. Упаковка нарушена ; 1968D ;  ; Ag ; AU ; 11 ; salim ; 258 
 3483 ; 1/4 доллара. США ; 1973 ;  ; Cu-Ni ; Proof ; 33 ; SVF ; 138 
 3484 ; 100 лир. Турция ; 1988 ;  ; Cu-Ni ; XF+ ; 14 ; kvl9293 ; 27 
 3485 ; 10 злотых. Польша ; 1965 ;  ; Cu-Ni ; XF ; 39 ; TaraskaPeter ; 183 
 3486 ; 50 центов. Свазиленд ; 2001 ;  ; Cu-Ni ; XF ; 15 ; t_v_v ; 51 
 3487 ; 1/4 доллара. США ; 2014 ;  ; Cu-Ni ; XF- ; 19 ; игорь 222 ; 63 
 3488 ; 10 крон. Исландия ; 1974 ;  ; Cu-Ni ; VF+ ; 11 ; kvl9293 ; 34 
 3489 ; 5 миллимов. Египет ; 1917 ;  ; Cu-Ni ; VF ; 15 ; banks ; 71 
 3490 ; 50 филс. Иордания ; 1989 ;  ; Cu-Ni ; AU ; 24 ; v_bond ; 92 
 3491 ; 10 сантимов. Бельгия ; 1864 ;  ; Cu-Ni ; VF ; 31 ; SKeeper ; 105 
 3492 ; 2-1/2 экю. Нидерланды ; 1990 ;  ; Cu-Ni ; AU ; 11 ; Zarik ; 185 
 3493 ; 50 эре. Швеция ; 1973 ;  ; Cu-Ni ; AU ; 22 ; UnPreacher ; 51 
 3494 ; 50 песо. Мексика ; 1982 ;  ; Cu-Ni ; XF ; 11 ; калинов мост ; 68 
 3495 ; 50 лева. Болгария ; 1940 ;  ; Cu-Ni ; VF ; 5 ; salim ; 101 
 3496 ; 2 лева. Болгария ; 1969 ;  ; Cu-Ni ; VF ; 20 ; Capt2 ; 173 
 3497 ; 1 лира. Турция ; 1957 ;  ; Cu-Ni ; VF ; 13 ; Hellsten ; 30 
 3498 ; 1/4 доллара. США ; 1976 ;  ; Cu-Ni ; AU ; 31 ; игорь 222 ; 100 
 3499 ; 200 шиллингов. Занзибар ; 1998 ;  ; Al/Br ; XF ; 16 ; wwtar ; 179 
 3500 ; 1 крона. Дания ; 1958 ;  ; Al/Br ; XF+ ; 25 ; nfandeev ; 133 
 3501 ; 1 тугрик. Монголия ;  ;  ; Al/Br ; XF- ; 14 ; nfandeev ; 120 
 3502 ; 10 вон Корея ; 1967 ;  ; Al/Br ; XF+ ; 28 ; Monata ; 102 
 3503 ; 1 крона. Эстония ; 2008 ;  ; Al/Br ; XF+ ; 19 ; John16 ; 37 
 3504 ; 5 крон. Эстония ; 1994 ;  ; Al/Br ; XF ; 12 ; Capt2 ; 79 
 3505 ; 10 франков. Франция ; 1988 ;  ; Al/Br ; XF+ ; 21 ; Хаа ; 108 
 3506 ; 10 франков. Франция ; 1979 ;  ; Al/Br ; XF+ ; 15 ; vitab ; 102 
 3507 ; 5 долларов. Зимбабве ; 2001 ;  ; би/м ; VF ; 7 ; alapabula ; 124 
 3508 ; 20 шиллингов. Кения ; 1998 ;  ; би/м ; VF+ ; 13 ; ag58 ; 34 
 3509 ; 20 раппен. Швейцария ; 1912 ;  ; Cu-Ni ; VF ; 32 ; Flagman ; 89 
 3510 ; 5 гривен. Украина. Никитский Ботанический сад ; 2012 ;  ; Cu-Ni ; AU ; 38 ; Harder ; 228 
 3511 ; 5 гривен. Украина. Сакские озера ; 2007 ;  ; Cu-Ni ; AU ; 12 ; xxxl ; 267 
 3512 ; 5 гривен. Украина. Чемпонат Европы по футболу ; 2011 ;  ; Cu-Ni ; AU ; 10 ; xxxl ; 273 
 3513 ; 5 гривен. Украина. Киевский меридиан ; 2010 ;  ; Cu-Ni ; AU ; 16 ; 6719 ; 138 
 3514 ; 5 гривен. Украина. Чемпонат Европы по футболу ; 2011 ;  ; Cu-Ni ; AU ; 11 ; xxxl ; 285 
 3515 ; 5 гривен. Украина. Чемпонат Европы по футболу ; 2011 ;  ; Cu-Ni ; AU ; 29 ; TEMNIK ; 497 
 3516 ; 5 гривен. Украина. Стеклодув ; 2012 ;  ; Cu-Ni ; AU ; 33 ; u10257 ; 208 
 3517 ; 5 гривен. Украина. Бокораш ; 2009 ;  ; Cu-Ni ; AU ; 29 ; Вованыч ; 197 
 3518 ; 5 гривен. Украина. Миколаев ; 2009 ;  ; Cu-Ni ; AU ; 32 ; gama ; 373 
 3519 ; 5 гривен. Украина. Год астрономии ; 2009 ;  ; Cu-Ni ; AU ; 23 ; Метро62 ; 231 
 3520 ; 5 гривен. Украина. Петля Нестерова ; 2013 ;  ; Cu-Ni ; AU ; 26 ; flutter ; 206 
 3521 ; 5 гривен. Украина. Украинская вышивка ; 2013 ;  ; Cu-Ni ; AU ; 32 ; v_bond ; 585 
 3522 ; 5 гривен. Украина. Голодомор ; 2007 ;  ; Cu-Ni ; AU ; 21 ; Dмитрий ; 259 
 3523 ; 5 гривен. Украина. Стельмах ; 2009 ;  ; Cu-Ni ; AU ; 30 ; Вованыч ; 200 
 3524 ; 5 гривен. Украина. Античное мореходство ; 2012 ;  ; Cu-Ni ; AU ; 16 ; vladimirov ; 206 
 3525 ; 5 гривен. Украина. Богуслав ; 2008 ;  ; Cu-Ni ; AU ; 12 ; Стерегущий ; 171 
 3526 ; 5 гривен. Украина. Збараж ; 2011 ;  ; Cu-Ni ; AU ; 13 ; Стерегущий ; 169 
 3527 ; 5 гривен. Украина. Снятин ; 2008 ;  ; Cu-Ni ; AU ; 17 ; Вованыч ; 170 
 3528 ; 5 гривен. Украина. Мечеть хана Узбека I Медресе ; 2014 ;  ; Cu-Ni ; AU ; 24 ; 2372 ; 263 
 3529 ; 5 гривен. Украина. Ткачиха ; 2010 ;  ; Cu-Ni ; AU ; 10 ; Вованыч ; 193 
 3530 ; 5 гривен. Украина. 20 лет независимости ; 2011 ;  ; Cu-Ni ; AU ; 5 ; onedima ; 200 
 3531 ; 5 гривен. Украина. Судак ; 2012 ;  ; Cu-Ni ; AU ; 15 ; Crimea ; 278 
 3432 ; 1 доллар. Австралия ; 1996 ;  ; Al/Br ; VF ; 13 ; SKeeper ; 104 
 3433 ; 1 доллар. Канада ; 2013 ;  ; Ж/м ; AU ; 14 ; alapabula ; 114 
 3434 ; 2 евро. Австрия ; 2014 ;  ; Би/м ; XF+ ; 9 ; nivva ; 175 
 3435 ; 1 крона. Швеция ; 1964 ;  ; Ag ; XF ; 19 ; Valery6776 ; 113 
 3436 ; 1/4 доллара. США ; 1945 ;  ; Ag ; VF-XF ; 18 ; kuder ; 200 
 3437 ; 20 пфеннигов. Германия ; 1892 ;  ; Cu-Ni ; VF ; 46 ; nays ; 1511 
 3438 ; 50 пфеннигов. Веймар ; 1924D ;  ; Al/Br ; VF ; 52 ; игорь 222 ; 754 
 3439 ; 10 сенти. Литва ; 1925 ;  ; Al/Br ; VF+ ; 19 ; ТРОЛ ; 301 
 3440 ; 1 марка. Веймар ; 1934D ;  ; Ni ; VF-XF ; 22 ; Valedgio_74 ; 331 
 3441 ; 3 пфеннига. Пруссия ; 1868C ;  ; Br ; VF+ ; 20 ; zelya ; 156 
 3442 ; 25 сенти. Эстония ; 1928 ;  ; Ni-Br ; VF+ ; 44 ; max5252 ; 1587 
 3443 ; 25 центов. Канада ; 1965 ;  ; Ag ; VF-XF ; 11 ; alapabula ; 225 
 3444 ; 50 филс. Ирак ; 1955 ;  ; Ag ; VF+ ; 43 ; Ten Nochi ; 603 
 3445 ; Пайс. Бутан ; ND(1951) ;  ; Br ; AU ; 20 ; Monata ; 283 
 3446 ; 20 сентаво. Португальская Ангола ; 1962 ;  ; Br ; AU ; 11 ; askery ; 251 
 3447 ; 1/2 цента. Нидерланды ; 1865 ;  ; Br ; VF ; 12 ; сама71 ; 227 
 3448 ; 1 франк. Бурунди ; 1965 ;  ; Al/Br ; AU ; 28 ; lestes ; 510 
 3449 ; 5 макута. Конго ; 1967 ;  ; Cu-Ni ; VF ; 21 ; оскол ; 186 
 3450 ; 2 евро. Греция. 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; AU ; 9 ; didisister ; 322 
 3451 ; 2 евро. Италия. 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; AU ; 19 ; didisister ; 283 
 3452 ; 2 евро. Франция. ЕС ; 2008 ;  ; Би/м ; AU ; 28 ; nivva ; 272 
 3453 ; 2 евро. Германия. 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; AU ; 24 ; dsp ; 325 
 3454 ; 2 евро. Италия ; 2008 ;  ; Би/м ; AU ; 20 ; didisister ; 272 
 3455 ; 2 евро. Греция. Олимпиада ; 2004 ;  ; Би/м ; VF ; 22 ; evdiral ; 180 
 3456 ; 2 евро. Италия. Продовольственная программа ; 2004 ;  ; Би/м ; AU ; 23 ; archontbk ; 224 
 3457 ; 2 евро. Австрия . 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; AU ; 13 ; didisister ; 306 
 3458 ; 25 сентаво Гватемала ; 2011 ;  ; Cu-Ni ; AU ; 16 ; кот баюн ; 55 
 3459 ; 1/2 доллара. США. Упаковка ; 2003D ;  ; Cu-Ni ; AU ; 11 ; Crimea ; 73 
 3460 ; 1 доллар. Канада ; 1987 ;  ; Cu-Ni-Zn ; XF ; 14 ; Вованыч ; 71 
 3461 ; 10 пфеннигов. Веймар ; 1936D ;  ; Al/Br ; XF ; 18 ; цеховик ; 88 
 3462 ; 1 цент. США ; 2009D ;  ; Br ; AU ; 12 ; Rusik ; 101 
 3463 ; 10 песо. Доминикана ; 2010 ;  ; Би/м ; AU ; 23 ; antonekb08 ; 44 
 3464 ; 50 тенге. Казахстан. Айтыс ; 2011 ;  ; Cu-Ni ; AU ; 19 ; fuzzyfly ; 151 
 3465 ; 50 тенге. Казахстан. Космическая станция ; 2012 ;  ; Cu-Ni ; AU ; 46 ; Jauho ; 284 
 3466 ; 50 тенге. Казахстан. Богомол ; 2012 ;  ; Cu-Ni ; AU ; 47 ; Rusik ; 185 
 3467 ; 50 тенге. Казахстан. Шурале ; 2013 ;  ; Cu-Ni ; AU ; 13 ; StanislavAK ; 129 
 3468 ; 50 тенге. Казахстан Алдар Косе ; 2013 ;  ; Cu-Ni ; AU ; 45 ; fuzzyfly ; 169 
 3469 ; 50 тенге. Казахстан. Бурый медведь ; 2008 ;  ; Cu-Ni ; AU ; 56 ; 000SABik ; 986 
 3470 ; 50 тенге. Казахстан. Дикобраз ; 2009 ;  ; Cu-Ni ; AU ; 24 ; Вованыч ; 258 
 3471 ; 50 тенге. Казахстан. Шокан ; 2014 ;  ; Cu-Ni ; AU ; 15 ; fuzzyfly ; 151 
 3472 ; 50 тенге. Казахстан. Манул ; 2014 ;  ; Cu-Ni ; AU ; 16 ; flutter ; 206 
 3473 ; 50 тенге. Казахстан. Суйиндир ; 2013 ;  ; Cu-Ni ; AU ; 21 ; fuzzyfly ; 151 
 3474 ; 1/2 доллара. США. Упаковка ; 2005D ;  ; Cu-Ni ; AU ; 17 ; Crimea ; 90 
 3475 ; 1/2 доллара. США. Упаковка ; 2000P ;  ; Cu-Ni ; AU ; 12 ; t_v_v ; 80 
 3476 ; 1/2 доллара. США. Упаковка ; 2006P ;  ; Cu-Ni ; AU ; 15 ; Crimea ; 81 
 3477 ; 1/2 доллара. США. Упаковка ; 2000D ;  ; Cu-Ni ; AU ; 13 ; t_v_v ; 81 
 3478 ; 1/2 доллара. США. Упаковка ; 2004D ;  ; Cu-Ni ; AU ; 17 ; Crimea ; 85 
 3479 ; 1/2 доллара. США. Упаковка ; 2006D ;  ; Cu-Ni ; AU ; 13 ; Crimea ; 81 
 3480 ; 1/2 доллара. США ; 2009P ;  ; Cu-Ni ; AU ; 15 ; Crimea ; 83 
 3481 ; 1/2 доллара. США ; 1968D ;  ; Ag ; AU ; 25 ; DENEB12 ; 322 
 3382 ; 5 флоринов. Аруба ; 1997 ;  ; Cu-Ni ; AU ; 26 ; nafuk ; 207 
 3383 ; 1 крона. Дания ; 1925 ;  ; Al/Br ; VF+ ; 26 ; krugerrand ; 81 
 3384 ; 1 крона. Дания ; 1945 ;  ; Al/Br ; VF+ ; 17 ; SKeeper ; 82 
 3385 ; 1 шиллинг. Великобритания ; 1947 ;  ; Cu-Ni ; VF-XF ; 12 ; vitab ; 107 
 3386 ; 1 шиллинг. Великобритания ; 1947 ;  ; Cu-Ni ; XF- ; 11 ; alapabula ; 122 
 3387 ; 1 шиллинг. Великобритания ; 1948 ;  ; Cu-Ni ; XF- ; 13 ; didisister ; 151 
 3388 ; 1 шиллинг. Великобритания ; 1948 ;  ; Cu-Ni ; VF-XF ; 15 ; didisister ; 153 
 3389 ; 1 шиллинг. Великобритания ; 1949 ;  ; Cu-Ni ; XF- ; 13 ; vitab ; 153 
 3390 ; 1 шиллинг. Великобритания ; 1950 ;  ; Cu-Ni ; XF- ; 17 ; alapabula ; 149 
 3391 ; 1 шиллинг. Великобритания ; 1950 ;  ; Cu-Ni ; XF- ; 19 ; alapabula ; 145 
 3392 ; 1 фартинг. Великобритания ; 1920 ;  ; Br ; VF+ ; 15 ; vitab ; 63 
 3393 ; 1 фартинг. Великобритания ; 1909 ;  ; Br ; VF ; 18 ; alapabula ; 453 
 3394 ; 3 пенса. Великобритания ; 1967 ;  ; Lat-Ni ; AU ; 12 ; vitab ; 102 
 3395 ; 3 пенса. Великобритания ; 1966 ;  ; Lat-Ni ; AU ; 25 ; Crimea ; 121 
 3396 ; 3 пенса. Великобритания ; 1965 ;  ; Lat-Ni ; XF+ ; 23 ; TaraskaPeter ; 121 
 3397 ; 3 пенса. Великобритания ; 1964 ;  ; Lat-Ni ; XF+ ; 12 ; Crimea ; 114 
 3398 ; 1 крона. Великобритания. Черчилль ; 1965 ;  ; Cu-Ni ; AU ; 14 ; Crimea ; 140 
 3399 ; 25 новых пенсов. Великобритания. Серебряный юбилей правления ; 1977 ;  ; Cu-Ni ; AU ; 43 ; yourius ; 140 
 3400 ; 25 новых пенсов. Великобритания. Серебряный юбилей свадьбы Елизаветы II и принца Филиппа ; 1972 ;  ; Cu-Ni ; XF+ ; 22 ; Crimea ; 138 
 3401 ; 25 новых пенсов. Великобритания. 80 лет королеве-матери ; 1980 ;  ; Cu-Ni ; AU ; 46 ; Crimea ; 208 
 3402 ; 25 новых пенсов. Великобритания. Свадьба принца Чарльза и леди Дианы ; 1981 ;  ; Cu-Ni ; XF ; 40 ; Crimea ; 238 
 3403 ; 2 фунта. Великобритания. 250-летие со дня рождения Роберта Бернса ; 2009 ;  ; би/м ; XF+ ; 25 ; Moribor ; 267 
 3404 ; 1 крона. Великобритания. Серебряный юбилей правления Георга V ; 1935 ;  ; Ag ; XF ; 72 ; dimko ; 1854 
 3405 ; 1 флорин. Великобритания ; 1934 ;  ; Ag ; XF ; 34 ; Alekss_27 ; 800 
 3406 ; 1 шиллинг. Великобритания ; 1915 ;  ; Ag ; XF- ; 40 ; maymuse ; 421 
 3407 ; 1 шиллинг. Южная Африка ; 1932 ;  ; Ag ; VF-XF ; 20 ; sax ; 464 
 3408 ; 25 центов. Британские Виргинские острова ; 1975 ;  ; Cu-Ni ; Proof ; 22 ; alapabula ; 296 
 3409 ; 10 центов. Британские Виргинские острова ; 1975 ;  ; Cu-Ni ; Proof ; 14 ; alapabula ; 286 
 3410 ; 5 центов. Британские Виргинские острова ; 1975 ;  ; Cu-Ni ; Proof ; 14 ; alapabula ; 281 
 3411 ; 1 цент. Британские Виргинские острова ; 1975 ;  ; Lat ; Proof ; 24 ; alapabula ; 291 
 3412 ; 2 1/2 флорина. Аруба ; 1999 ;  ; Cu-Ni ; AU ; 14 ; nfandeev ; 69 
 3413 ; 1 флорин. Аруба ; 1999 ;  ; Cu-Ni ; AU ; 8 ; buben ; 48 
 3414 ; 50 центов. Аруба ; 2007 ;  ; Cu-Ni ; AU ; 49 ; fuzzyfly ; 113 
 3415 ; 25 центов. Аруба ; 1993 ;  ; Cu-Ni ; AU ; 10 ; collector64 ; 28 
 3416 ; 10 центов. Аруба ; 1987 ;  ; Cu-Ni ; AU ; 12 ; кот баюн ; 31 
 3417 ; 5 центов. Аруба ; 1991 ;  ; Cu-Ni ; AU ; 10 ; кот баюн ; 29 
 3418 ; 1 фунт. Великобритания ; 1999 ;  ; Лат ; VF ; 48 ; maleevsw ; 425 
 3419 ; 1 фунт. Великобритания ; 2013 ;  ; Лат ; XF ; 25 ; maleevsw ; 579 
 3420 ; 50 пенсов. Великобритания ; 2005 ;  ; Cu-Ni ; VF-XF ; 15 ; Bronco ; 251 
 3421 ; 50 пенсов. Великобритания ; 2013 ;  ; Cu-Ni ; VF-XF ; 24 ; maleevsw ; 318 
 3422 ; 50 пенсов. Австралия ; 2005 ;  ; Cu-Ni ; VF-XF ; 11 ; Bronco ; 112 
 3423 ; 50 пенсов. Австралия ; 1982 ;  ; Cu-Ni ; XF- ; 15 ; Bronco ; 101 
 3424 ; 1 крона. Швеция ; 2013 ;  ; Cu-Ni ; XF ; 16 ; krugerrand ; 87 
 3425 ; 1 крона. Швеция ; 2009 ;  ; Cu-Ni ; XF+ ; 29 ; ag58 ; 44 
 3426 ; 2 марки. ФРГ ; 1958D ;  ; Cu-Ni ; VF ; 11 ; trio ; 99 
 3427 ; 2 марки. ФРГ ; 1963J ;  ; Cu-Ni ; VF ; 24 ; fuzzyfly ; 93 
 3428 ; 20 крон. Дания ; 2009 ;  ; Al/Br ; XF+ ; 27 ; Bronco ; 410 
 3429 ; 10 крон. Дания ; 2008 ;  ; Al/Br ; XF+ ; 13 ; asternox ; 246 
 3430 ; 10 крон. Дания ; 2011 ;  ; Al/Br ; XF+ ; 11 ; Bronco ; 221 
 3431 ; 10 крон. Дания ; 2009 ;  ; Al/Br ; XF+ ; 13 ; asternox ; 246 
 3332 ; 1 рубль. Беларусь. Стрелец ; 2014 ;  ; Cu-Ni ; AU ; 11 ; AB ; 835 
 3333 ; 1 рубль. Беларусь. ФИФА ; 2013 ;  ; Cu-Ni ; Proof ; 18 ; AB ; 679 
 3334 ; 1 рубль. Беларусь. Папятники архитектуры ; 2014 ;  ; Cu-Ni ; Proof ; 26 ; dencon ; 974 
 3335 ; 1 рубль. Беларусь. Мирский замок ; 2015 ;  ; Cu-Ni ; Proof ; 24 ; etalon ; 960 
 3336 ; 1 рубль. Беларусь. Святаянник ; 2014 ;  ; Cu-Ni ; Proof ; 13 ; dencon ; 736 
 3337 ; 1 рубль. Беларусь. Астрожский ; 2014 ;  ; Cu-Ni ; Proof ; 11 ; Victory-2001 ; 557 
 3338 ; 1 рубль. Беларусь. Николай Черный ; 2015 ;  ; Cu-Ni ; Proof ; 18 ; aurin1 ; 833 
 3339 ; 1 рубль. Беларусь. Менский ; 2007 ;  ; Cu-Ni ; Proof ; 17 ; dencon ; 619 
 3340 ; 1 рубль. Беларусь. Черепаха ; 2010 ;  ; Cu-Ni ; Proof ; 74 ; Victory-2001 ; 2040 
 3341 ; 1 рубль. Беларусь. Удод ; 2013 ;  ; Cu-Ni ; Proof ; 27 ; molodes ; 612 
 3342 ; 1 рубль. Беларусь. Дар Поморья ; 2009 ;  ; Cu-Ni ; Proof ; 49 ; chest ; 2293 
 3343 ; 1 рубль. Беларусь. Зазюля ; 2014 ;  ; Cu-Ni ; Proof ; 16 ; AB ; 625 
 3344 ; 1 рубль. Беларусь. ; 2014 ;  ; Cu-Ni ; Proof ; 31 ; bakal73 ; 668 
 3345 ; 1 рубль. Беларусь. Цапля ; 2008 ;  ; Cu-Ni ; Proof ; 14 ; AB ; 625 
 3346 ; 1 рубль. Беларусь. Азгур ; 2008 ;  ; Cu-Ni ; Proof ; 24 ; AB ; 505 
 3347 ; 2 гривны. Украина. Авиация ; 2003 ;  ; Cu-Ni ; XF+ ; 40 ; flutter ; 665 
 3348 ; 2 гривны. Украина.. Александр Мурашко ; 2013 ;  ; Cu-Ni ; AU ; 12 ; aziya11 ; 161 
 3349 ; 2 гривны. Украина. Александр Мурашко ; 2013 ;  ; Cu-Ni ; AU ; 16 ; aziya11 ; 147 
 3350 ; 5 гривен. Украина. Богуслав ; 2008 ;  ; Cu-Ni ; AU ; 8 ; t_v_v ; 150 
 3351 ; 5 гривен. Украина. Тернополь ; 2015 ;  ; Cu-Ni ; AU ; 9 ; v_bond ; 195 
 3352 ; 5 гривен. Украина. Самолеты Украины ; 2005 ;  ; Cu-Ni ; XF ; 48 ; Вованыч ; 329 
 3353 ; 5 гривен. Украина. Князь Владимир ; 2015 ;  ; Cu-Ni ; AU ; 32 ; TEMNIK ; 650 
 3354 ; 5 гривен. Украина. Тернополь ; 2015 ;  ; Cu-Ni ; AU ; 31 ; Вованыч ; 226 
 3355 ; 2 гривны Украина. Авиация ; 2003 ;  ; Cu-Ni ; AU ; 27 ; aziya11 ; 529 
 3356 ; 5 гривен. Украина. Черновицкая область ; 2015 ;  ; Би/м ; AU ; 34 ; станислав-август ; 270 
 3357 ; 5 гривен. Украина. Черновицкая область ; 2015 ;  ; Би/м ; AU ; 18 ; aziya11 ; 258 
 3358 ; 10 сент. Нидерланды. Два отверстия ; 1939 ;  ; Ag ; F ; 21 ; roza77 ; 48 
 3359 ; 10 сент. Нидерланды ; 1919 ;  ; Ag ; F ; 15 ; 4444 ; 53 
 3360 ; 10 сент. Нидерланды. Гурт напайки ; 1939 ;  ; Ag ; VF- ; 10 ; 4444 ; 59 
 3361 ; 1 шиллинг. Великобритания ; 1947 ;  ; Cu-Ni ; XF- ; 17 ; alapabula ; 148 
 3362 ; 1 шиллинг. Великобритания ; 1948 ;  ; Cu-Ni ; XF- ; 9 ; alapabula ; 148 
 3363 ; 6 пенсов. Великобритания ; 1951 ;  ; Cu-Ni ; XF- ; 14 ; Moribor ; 44 
 3364 ; 1 крона. Швеция ; 2013 ;  ; Cu-Ni ; XF+ ; 18 ; krugerrand ; 83 
 3365 ; 2 эре. Швеция ; 1929 ;  ; Br ; VF ; 11 ; shaxter2015 ; 45 
 3366 ; 1 эре. Швеция ; 1928 ;  ; Br ; VF ; 3 ; kvl9293 ; 20 
 3367 ; 1 эре. Швеция ; 1932 ;  ; Br ; VF ; 5 ; shaxter2015 ; 25 
 3368 ; 5 центов. ЮАР ; 1965 ;  ; Ni ; AU ; 36 ; kornum ; 155 
 3369 ; 5 центов. ЮАР ; 1979 ;  ; Ni ; AU ; 33 ; kornum ; 202 
 3370 ; 50 центов. ЮАР ; 2004 ;  ; Cu/St ; XF ; 10 ; kornum ; 72 
 3371 ; 20 центов. ЮАР ; 2002 ;  ; Cu/St ; VF+ ; 27 ; t_v_v ; 83 
 3372 ; 10 центов. ЮАР ; 1999 ;  ; Cu/St ; XF ; 23 ; kornum ; 101 
 3373 ; 2 цента. ЮАР ; 1975 ;  ; Br ; XF ; 11 ; kvl9293 ; 33 
 3374 ; 1 цент. ЮАР ; 1966 ;  ; Br ; XF ; 16 ; t_v_v ; 88 
 3375 ; 1 цент. ЮАР ; 1982 ;  ; Br ; XF ; 26 ; kornum ; 197 
 3376 ; 50 центов. Аруба ; 1989 ;  ; Cu-Ni ; AU ; 38 ; nafuk ; 104 
 3377 ; 50 центов. Аруба ; 1993 ;  ; Cu-Ni ; AU ; 28 ; nafuk ; 107 
 3378 ; 1 флорин. Аруба ; 1990 ;  ; Cu-Ni ; AU ; 11 ; buben ; 46 
 3379 ; 1 флорин. Аруба ; 1986 ;  ; Cu-Ni ; AU ; 14 ; t_v_v ; 77 
 3380 ; 2 1/2 флорина. Аруба ; 2005 ;  ; Cu-Ni ; AU ; 20 ; t_v_v ; 107 
 3381 ; 2 1/2 флорина. Аруба ; 2002 ;  ; Cu-Ni ; AU ; 18 ; TaraskaPeter ; 114 
 3282 ; 3 пенса. Австралия ; 1963 ;  ; Ag ; VF-XF ; 21 ; zhora ; 194 
 3283 ; 2 1/2 флорина. Аруба ; 1998 ;  ; Cu-Ni ; AU ; 13 ; buben ; 46 
 3284 ; 1 флорин. Аруба ; 2000 ;  ; Cu-Ni ; AU ; 18 ; banks ; 114 
 3285 ; 50 центов. Аруба ; 2004 ;  ; Cu-Ni ; AU ; 52 ; fuzzyfly ; 113 
 3286 ; 25 центов. Аруба ; 1992 ;  ; Cu-Ni ; AU ; 11 ; nfandeev ; 27 
 3287 ; 10 центов. Аруба ; 1988 ;  ; Cu-Ni ; AU ; 9 ; SKeeper ; 27 
 3288 ; 5 центов. Аруба ; 1990 ;  ; Cu-Ni ; AU ; 11 ; nfandeev ; 29 
 3289 ; 2 доллара. Остров Ниуэ. Союз (СССР) ; 2014 ;  ; Cu-Ni, серебрен ; Proof ; 38 ; елец ; 491 
 3290 ; 50 пеносв. Остров Святой Елены и Вознесения ; 1994 ;  ; Cu-Ni ; AU ; 20 ; Bronco ; 315 
 3291 ; 1 доллар. Бермуды ; 1987 ;  ; Cu-Ni ; AU ; 25 ; krugerrand ; 499 
 3292 ; 200000 карбованцев. Украина. Чернобыль ; 1996 ;  ; Cu-Ni ; AU ; 15 ; калинов мост ; 153 
 3293 ; 200000 карбованцев. Украина. 50 лет ООН ; 1995 ;  ; Cu-Ni ; XF ; 25 ; dinkini ; 424 
 3294 ; 1 марка. Веймар ; 1934A ;  ; Cu-Ni ; XF ; 16 ; valerdon ; 336 
 3295 ; 2 франка. Французское Сомали ; 1959 ;  ; Al ; XF+ ; 25 ; dmivanych ; 461 
 3296 ; 10 кэш. Китай ;  ;  ; Cu ; VF ; 15 ; gos ; 207 
 3297 ; 1/2 крейцера. Австрия ; 1816 ;  ; Cu ; VF ; 33 ; nays ; 310 
 3298 ; 2 евро. Бельгия ; 2011 ;  ; Би/м ; XF ; 19 ; fuzzyfly ; 187 
 3299 ; 2 евро. Мальта. 10 лет ЕВРО ;  ;  ; Би/м ; AU ; 19 ; nivva ; 359 
 3300 ; 50 эре. Швеция ; 1898 ;  ; Ag ; VF- ; 27 ; zx123 ; 357 
