 3245 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Михалыч ; 22 
 3037 ; Билет 5 лотереи. Осоавиахима ; 1930 ;  ;  ;  ; 12 ; Sezon ; 347 
 3038 ; Билет 6 лотереи. Осоавиахима ; 1931 ;  ;  ;  ; 36 ; proletarium ; 385 
 3039 ; 100 рублей ; 1918 ; Закавказье  ;  ;  ; 10 ; hotin ; 400 
 3040 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 60 ; skif ; 153 
 3041 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 45 ; alexvad ; 90 
 3042 ; 25 рублей ; 1947 ; билет  ;  ;  ; 17 ; Sezon ; 200 
 3043 ; 25 рублей ; 1947 ; билет  ;  ;  ; 32 ; Copirchik ; 261 
 3044 ; 500 рублей. Грузия. Бум.толстая ; 1919 ; Грузия  ;  ;  ; 41 ; 542 ; 373 
 2360 ; 1 марка. Германия ; 1915 ; F ; Ag ; AU ; 8 ; vadimn ; 134 
 2361 ; 1 марка. Германия ; 1915 ; J ; Ag ; AU ; 21 ; 542 ; 144 
 2362 ; 50 шиллингов. Австрия. 150 лет Национальному банку ; 1966 ;  ; Ag ; AU ; 23 ; Бамс ; 306 
 2363 ; 50 шиллингов. Австрия. 150 лет Национальному банку ; 1966 ;  ; Ag ; AU ; 29 ; 542 ; 351 
 2364 ; 5 пфеннигов. Германия. Нотгельд. Брауншвейг ; 1918 ;  ; Fe ; F-VF ; 14 ; oks ; 209 
 2365 ; 10 пфеннигов. Германия. Нотгельд. Висбаден ;  ;  ; Fe ; VF ; 94 ; oks ; 209 
 2366 ; 10 пфеннигов. Германия. Нотгельд. Аскафенбург ; 1917 ;  ; Fe ; F-VF ; 79 ; oks ; 213 
 2367 ; 500 марок. Германия ; 1923 ;  ; Al ; Au ; 36 ; mifod ; 214 
 2368 ; 1/100 марки. Гамбург ; 1923 ;  ; Al ; XF+ ; 101 ; oks ; 255 
 2369 ; 10 пфеннигов. Германия. Нотгельд. Манхейм ; 1919 ;  ; Fe ; F-VF ; 102 ; oks ; 168 
 2370 ; 1 доллар. Канада. Королевский визит. Георг VI ; 1939 ;  ; Ag ; VF-XF ; 44 ; Михалыч ; 622 
 2371 ; 1/2 кроны. Великобритания. Георг VI ; 1946 ;  ; Ag ; VF-XF ; 22 ; kro ; 204 
 2372 ; 1 песо. Мексика ; 1967 ;  ; Ag ; AU ; 17 ; af ; 260 
 2373 ; 2,5 гульдена. Нидерланды. Вильгельмина I ; 1931 ;  ; Ag ; VF+ ; 26 ; 542 ; 345 
 2374 ; 1 доллар. Канада. 100 лет конфедерации ; 1967 ;  ; Ag ; AU ; 42 ; smel ; 443 
 2375 ; 1 доллар. Бермудский о-ва. Елизаветта II. Карта ; 1970 ;  ; Ag ; proof ; 43 ; KKK ; 496 
 2376 ; 3 пенса. Великобритания. Королева Виктория ; 1892 ;  ; Ag ; VF ; 30 ; kostian1284 ; 246 
 2377 ; 3 пенса. Австралия. Георг V ; 1914 ;  ; Ag ; VF+ ; 18 ; lawyer ; 150 
 2378 ; 10 сентаво. Куба ; 1920 ;  ; Ag ; VF-XF ; 32 ; igaist ; 227 
 2379 ; 5 марок. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1936 ;  ; Ag ; XF ; 46 ; tavitrof ; 561 
 2380 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга. Свастика ; 1939 ;  ; Ag ; XF+ ; 52 ; 19720307 ; 257 
 2381 ; 1 марка. Германия ; 1909 ; А ; Ag ; XF+ ; 107 ; irinka ; 316 
 2382 ; 1/2 доллара. США. Кеннеди ; 1964 ;  ; Ag ; AU ; 15 ; vadimn ; 183 
 2383 ; 1/4 доллара. США. Вашингтон ; 1954 ;  ; Ag ; VF- ; 51 ; kro ; 99 
 2384 ; 5 центов. США. Свобода ; 1906 ;  ; Cu/Ni ; VF- ; 46 ; Al777 ; 101 
 2385 ; 1 дайм. США. Рузвельт ; 1948S ;  ; Ag ; AU ; 73 ; skv-nov ; 163 
 2386 ; 1 дайм. США. Меркури ; 1939 ;  ; Ag ; VF+ ; 38 ; nisni ; 137 
 2387 ; 1 цент. США. Индеец ; 1903 ;  ; Br ; VF ; 41 ; von_Schwarz ; 90 
 2388 ; 1 цент. США. Индеец ; 1900 ;  ; Br ; VF ; 75 ; vadimn ; 189 
 2389 ; 1 цент. США. Индеец ; 1893 ;  ; Br ; VF ; 66 ; MICMAC ; 216 
 2390 ; 2 кроны. Эстония. Крепость Тоомпеа в Таллине ; 1930 ;  ; Ag ; VF+ ; 37 ; Vladimir_78 ; 543 
 2391 ; 1 марка. Германия ; 1874 ; E ; Ag ; F-VF ; 57 ; erfahren ; 75 
 2392 ; 6 пенсов. Новая Зеландия ; 1937 ;  ; Ag ; VF+ ; 31 ; mifod ; 214 
 2393 ; 3 пенса. Новая Зеландия ; 1946 ;  ; Ag ; XF- ; 81 ; hugo ; 561 
 2394 ; 1/4 гульдена. Нидерланды. Антильские ос-ва ; 1965 ;  ; Ag ; VF+ ; 61 ; димитрий ; 254 
 2395 ; 1/10 гульдена. Нидерланды. Антильские о-ва ; 1966 ;  ; Ag ; VF+ ; 11 ; moneta ; 200 
 2396 ; 1/4 гульдена. Нидерлндская Индия ; 1941 ;  ; Ag ; VF+ ; 12 ; Dozen ; 224 
 2397 ; 1/10 гульдена. Нидерландская Индия ; 1942 ;  ; Ag ; AU ; 38 ; Dozen ; 320 
 2398 ; 2 1/2 цента. Нидерландская Индия ; 1945 ;  ; Cu ; VF-XF ; 16 ; Dozen ; 203 
 2399 ; 1 цент. Нидерландская Индия ; 1945 ;  ; Cu ; XF- ; 22 ; Dozen ; 225 
 2400 ; 1/2 цента. Нидерландская Индия ; 1945 ;  ; Cu ; AU ; 18 ; koponen ; 225 
 2401 ; 10 центов. Филиппины ; 1945 ;  ; Ag ; VF+ ; 13 ; Михалыч ; 209 
 2402 ; 2 марки. ФРГ. Макс Планк ; 1959 ; F ; Cu/Ni ; VF+ ; 9 ; 542 ; 136 
 2403 ; 2 марки. ФРГ. Конрад Аденауэр ; 1973 ; F ; Cu/Ni ; VF+ ; 29 ; 542 ; 38 
 2404 ; 2 марки. ФРГ. Теодор Хеусс ; 1973 ; J ; Cu/Ni ; VF- ; 22 ; 542 ; 97 
 2405 ; 200 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 50 ; djr447 ; 355 
 2406 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; AU ; 38 ; dimon-2007 ; 363 
 2407 ; 200 марок. Финляндия ; 1958 ;  ; Ag ; AU ; 43 ; djr447 ; 320 
 2408 ; 2 кроны. Швеция. Оскар II ; 1897 ;  ; Ag ; VF+ ; 40 ; belyakow ; 260 
 2409 ; 2 кроны. Швеция. Густав V ; 1936 ;  ; Ag ; AU ; 50 ; ЕВС ; 494 
 2310 ; 1 марка. Германия ; 1883 ; A ; Ag ; VF ; 14 ; 542 ; 100 
 2311 ; 1 марка. Германия ; 1885 ; A ; Ag ; VF ; 44 ; 542 ; 165 
 2312 ; 1 марка. Германия ; 1886 ; D ; Ag ; F-VF ; 30 ; 542 ; 83 
 2313 ; 1 марка. Германия ; 1887 ; A ; Ag ; F-VF ; 47 ; 542 ; 114 
 2314 ; 1 марка. Германия ; 1891 ; A ; Ag ; VF- ; 12 ; 542 ; 102 
 2315 ; 1 марка. Германия ; 1892 ; A ; Ag ; F-VF ; 11 ; moneta ; 100 
 2316 ; 1 марка. Германия ; 1893 ; A ; Ag ; VF ; 7 ; moneta ; 100 
 2317 ; 1 марка. Германия ; 1896 ; A ; Ag ; VF-XF ; 13 ; obob999 ; 105 
 2318 ; 1 марка. Германия ; 1899 ; A ; Ag ; VF ; 19 ; baa ; 86 
 2319 ; 1 марка. Германия ; 1899 ; F ; Ag ; VF+ ; 71 ; 542 ; 131 
 2320 ; 1 марка. Германия ; 1900 ; A ; Ag ; VF+ ; 58 ; 542 ; 110 
 2321 ; 1 марка. Германия ; 1901 ; A ; Ag ; AU ; 30 ; hugo ; 371 
 2322 ; 1 марка. Германия ; 1901 ; J ; Ag ; VF+ ; 12 ; 542 ; 108 
 2323 ; 1 марка. Германия ; 1902 ; A ; Ag ; VF+ ; 9 ; moneta ; 100 
 2324 ; 1 марка. Германия ; 1902 ; D ; Ag ; VF+ ; 12 ; 542 ; 120 
 2325 ; 1 марка. Германия ; 1902 ; E ; Ag ; VF-XF ; 63 ; baa ; 104 
 2326 ; 1 марка. Германия ; 1903 ; A ; Ag ; VF+ ; 4 ; uin1972 ; 102 
 2327 ; 1 марка. Германия ; 1903 ; D ; Ag ; VF-XF ; 4 ; 542 ; 102 
 2328 ; 1 марка. Германия ; 1904 ; A ; Ag ; VF+ ; 42 ; Михалыч ; 79 
 2329 ; 1 марка. Германия ; 1904 ; D ; Ag ; VF ; 36 ; obob999 ; 83 
 2330 ; 1 марка. Германия ; 1904 ; E ; Ag ; VF-XF ; 21 ; baa ; 102 
 2331 ; 1 марка. Германия ; 1905 ; A ; Ag ; XF ; 34 ; RVK ; 113 
 2332 ; 1 марка. Германия ; 1905 ; D ; Ag ; VF+ ; 50 ; 542 ; 93 
 2333 ; 1 марка. Германия ; 1905 ; J ; Ag ; VF ; 38 ; Poiuyt ; 84 
 2334 ; 1 марка. Германия ; 1906 ; A ; Ag ; XF+ ; 26 ; baa ; 122 
 2335 ; 1 марка. Германия ; 1906 ; D ; Ag ; VF+ ; 31 ; baa ; 89 
 2336 ; 1 марка. Германия ; 1906 ; F ; Ag ; VF+ ; 36 ; obob999 ; 85 
 2337 ; 1 марка. Германия ; 1907 ; A ; Ag ; VF-XF ; 3 ; moneta ; 100 
 2338 ; 1 марка. Германия ; 1907 ; D ; Ag ; VF-XF ; 9 ; moneta ; 100 
 2339 ; 1 марка. Германия ; 1907 ; E ; Ag ; VF+ ; 10 ; uin1972 ; 102 
 2340 ; 1 марка. Германия ; 1907 ; F ; Ag ; VF-XF ; 75 ; baa ; 101 
 2341 ; 1 марка. Германия ; 1908 ; E ; Ag ; VF-XF ; 7 ; uin1972 ; 108 
 2342 ; 1 марка. Германия ; 1908 ; J ; Ag ; VF+ ; 57 ; jef688 ; 87 
 2343 ; 1 марка. Германия ; 1909 ; A ; Ag ; AU ; 15 ; mifod ; 348 
 2344 ; 1 марка. Германия ; 1909 ; D ; Ag ; XF+ ; 40 ; 542 ; 125 
 2345 ; 1 марка. Германия ; 1909 ; G ; Ag ; XF+ ; 30 ; 542 ; 135 
 2346 ; 1 марка. Германия ; 1910 ; A ; Ag ; VF-XF ; 25 ; baa ; 93 
 2347 ; 1 марка. Германия ; 1910 ; D ; Ag ; VF+ ; 22 ; jef688 ; 85 
 2348 ; 1 марка. Германия ; 1910 ; E ; Ag ; F+ ; 13 ; jef688 ; 49 
 2349 ; 1 марка. Германия ; 1910 ; F ; Ag ; VF+ ; 17 ; baa ; 81 
 2350 ; 1 марка. Германия ; 1910 ; J ; Ag ; XF ; 31 ; baa ; 122 
 2351 ; 1 марка. Германия ; 1911 ; A ; Ag ; XF- ; 29 ; baa ; 114 
 2352 ; 1 марка. Германия ; 1911 ; E ; Ag ; XF ; 25 ; baa ; 112 
 2353 ; 1 марка. Германия ; 1911 ; J ; Ag ; VF-XF ; 4 ; Poiuyt ; 102 
 2354 ; 1 марка. Германия ; 1912 ; A ; Ag ; VF-XF ; 11 ; erfahren ; 105 
 2355 ; 1 марка. Германия ; 1914 ; A ; Ag ; AU ; 81 ; vadimn ; 165 
 2356 ; 1 марка. Германия ; 1914 ; J ; Ag ; AU ; 31 ; uin1972 ; 320 
 2357 ; 1 марка. Германия ; 1915 ; A ; Ag ; AU ; 34 ; erfahren ; 115 
 2358 ; 1 марка. Германия ; 1915 ; D ; Ag ; AU ; 21 ; uin1972 ; 155 
 2359 ; 1 марка. Германия ; 1915 ; E ; Ag ; VF+ ; 75 ; baa ; 131 
 2260 ; 1 марка. Германия ; 1875 ; B ; Ag ; VF- ; 23 ; 542 ; 102 
 2261 ; 1 марка. Германия ; 1910 ; J ; Ag ; VF+ ; 43 ; 542 ; 107 
 2262 ; 1/2 марки. Германия ; 1918 ; J ; Ag ; VF-XF ; 51 ; alexvad ; 113 
 2263 ; 50 пфеннигов. Германия ; 1928 ; G ; Ni ; VF-XF ; 76 ; kostian1284 ; 396 
 2264 ; 5 крон. Чехословакия ; 1929 ;  ; Ag ; AU ; 21 ; av ; 383 
 2265 ; 5 марок. Германия ; 1934 ; D ; Ag ; VF ; 8 ; skir ; 187 
 2266 ; 20 драхм. Греция ; 1960 ;  ; Ag ; VF ; 57 ; Михалыч ; 157 
 2267 ; 1 доллар. Китай ; 20 в. ;  ; Ag ; VF-XF ; 18 ; vitapool ; 754 
 2268 ; 1 пенни. Великобритания ; 1799 ;  ;  Cu ; F-VF ; 21 ; kro ; 510 
 2269 ; 200 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 52 ; obob999 ; 255 
 2270 ; 2 марки. Вюртемберг ; 1903 ;  ; Ag ; VF+ ; 108 ; В1951 ; 1000 
 2271 ; 1 песо. Куба. 100 лет Хосе Марти ; 1953 ;  ; Ag ; VF ; 36 ; jef688 ; 435 
 2272 ; 50 динар. Иран ; 1322 л.х. ;  ;  ; VF+ ; 43 ; von_Schwarz ; 238 
 2273 ; 5 шиллингов. Замбия. 1-ая годовщина независимости ;  ;  ; Cu/Ni ; VF+ ; 58 ; S8D36 ; 114 
 2274 ; 5 франков. Швейцария. 100 лет со дня рождения Эрнеста Ансермета ; 1983 ;  ;  ; AU ; 52 ; S8D36 ; 170 
 2275 ; 5 центов. Южная Африка ; 1982 ;  ; Ni ; XF+ ; 17 ; VR62 ; 26 
 2276 ; "1 доллар ""Сакагавеа-индианка из премени Шошонов"". США" ; 2000 ; D ; Cu/Ni ; VF+ ; 49 ; kro ; 101 
 2277 ; 50 пенни. Финляндия ; 1963 ; S ; Al/Br ; VF- ; 17 ; RVK ; 22 
 2278 ; 1 марка. Германия ; 1873 ; A ; Ag ; F-VF ; 54 ; oks ; 91 
 2279 ; 1 марка. Германия ; 1873 ; D ; Ag ; F-VF ; 43 ; oks ; 89 
 2280 ; 1 марка. Германия ; 1874 ; A ; Ag ; F-VF ; 51 ; erfahren ; 62 
 2281 ; 1 марка. Германия ; 1874 ; B ; Ag ; VF- ; 48 ; 542 ; 77 
 2282 ; 1 марка. Германия ; 1874 ; C ; Ag ; F-VF ; 25 ; 542 ; 58 
 2283 ; 1 марка. Германия ; 1874 ; D ; Ag ; F-VF ; 28 ; Михалыч ; 67 
 2284 ; 1 марка. Германия ; 1874 ; E ; Ag ; F-VF ; 44 ; jef688 ; 61 
 2285 ; 1 марка. Германия ; 1874 ; F ; Ag ; F-VF ; 60 ; 542 ; 101 
 2286 ; 1 марка. Германия ; 1874 ; G ; Ag ; F-VF ; 31 ; jef688 ; 61 
 2287 ; 1 марка. Германия ; 1874 ; H ; Ag ; F-VF ; 21 ; jef688 ; 65 
 2288 ; 1 марка. Германия ; 1875 ; A ; Ag ; VF ; 58 ; erfahren ; 74 
 2289 ; 1 марка. Германия ; 1875 ; B ; Ag ; VF- ; 59 ; 542 ; 104 
 2290 ; 1 марка. Германия ; 1875 ; C ; Ag ; VF- ; 11 ; 2First ; 83 
 2291 ; 1 марка. Германия ; 1875 ; D ; Ag ; F-VF ; 32 ; erfahren ; 60 
 2292 ; 1 марка. Германия ; 1875 ; E ; Ag ; F-VF ; 15 ; jef688 ; 63 
 2293 ; 1 марка. Германия ; 1875 ; F ; Ag ; F-VF ; 57 ; Poiuyt ; 85 
 2294 ; 1 марка. Германия ; 1875 ; G ; Ag ; F-VF ; 31 ; obob999 ; 78 
 2295 ; 1 марка. Германия ; 1875 ; H ; Ag ; F-VF ; 2 ; shaxter ; 80 
 2296 ; 1 марка. Германия ; 1875 ; J ; Ag ; F-VF ; 38 ; jef688 ; 90 
 2297 ; 1 марка. Германия ; 1876 ; A ; Ag ; F-VF ; 21 ; jef688 ; 69 
 2298 ; 1 марка. Германия ; 1876 ; C ; Ag ; VF- ; 46 ; 542 ; 105 
 2299 ; 1 марка. Германия ; 1876 ; D ; Ag ; F-VF ; 46 ; 542 ; 108 
 2300 ; 1 марка. Германия ; 1876 ; F ; Ag ; F-VF ; 32 ; Михалыч ; 76 
 2301 ; 1 марка. Германия ; 1876 ; H ; Ag ; F-VF ; 21 ; 542 ; 111 
 2302 ; 1 марка. Германия ; 1878 ; A ; Ag ; F-VF ; 43 ; uin1972 ; 70 
 2303 ; 1 марка. Германия ; 1878 ; B ; Ag ; F-VF ; 22 ; 542 ; 58 
 2304 ; 1 марка. Германия ; 1881 ; A ; Ag ; VF ; 43 ; jef688 ; 75 
 2305 ; 1 марка. Германия ; 1881 ; D ; Ag ; F-VF ; 24 ; jef688 ; 61 
 2306 ; 1 марка. Германия ; 1881 ; F ; Ag ; F-VF ; 41 ; 542 ; 74 
 2307 ; 1 марка. Германия ; 1881 ; H ; Ag ; F-VF ; 26 ; 542 ; 85 
 2308 ; 1 марка. Германия ; 1882 ; A ; Ag ; F-VF ; 6 ; 542 ; 84 
 2309 ; 1 марка. Германия ; 1882 ; G ; Ag ; F-VF ; 46 ; 542 ; 101 
 2210 ; Талер. Баден. Фридрих I ; 1867 ;  ; Ag ; VF+ ; 35 ; bier ; 3060 
 2211 ; Талер. Бавария ; 1865 ;  ; Ag ; VF ; 125 ; sherif-69 ; 2123 
 2212 ; 5 франков. Франция, Имп. Наполеон III ; 1868 ;  ; Ag ; VF+ ; 38 ; партизан ; 989 
 2213 ; 1 гурд. Гаити ; 1882 ;  ; Ag ; VF+ ; 90 ; jef688 ; 1624 
 2214 ; 5 франков. Франция. Наполеон III ; 1868 ;  ; Ag ; VF+ ; 38 ; Алла ; 1152 
 2215 ; 5 марок. Бавария ; 1901 ;  ; Ag ; VF-XF ; 49 ; kolobokoff ; 1709 
 2216 ; 5 марок. Бавария ; 1911 ; D ; Ag ; Au ; 14 ; mcseam ; 3484 
 2217 ; 3 марки. Вюртемберг ; 1914 ; F ; Ag ; VF-XF ; 50 ; igaist ; 1209 
 2218 ; 3 марки. Бавария ; 1914 ; D ; Ag ; XF ; 42 ; kolobokoff ; 1611 
 2219 ; 3 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; Au ; 28 ; neft4 ; 1062 
 2220 ; 3 марки. Пруссия ; 1912 ; А ; Ag ; XF+ ; 33 ; kolobokoff ; 850 
 2221 ; 20 крейцеров. Священная Римская Империя ; 1805 ; E ; Ag ; VF- ; 65 ; vitapool ; 394 
 2222 ; 500 рейс. Португалия ; 1888 ;  ; Ag ; VF-XF ; 48 ; obob999 ; 459 
 2223 ; 3 марки. Веймар. Гете ; 1932 ; A ; Ag ; XF ; 117 ; region23 ; 10404 
 2224 ; 3 марки В. Фогельвайде. Веймар ; 1930 ; A ; Ag ; AU ; 50 ; region23 ; 5461 
 2225 ; 3 марки. Союз Вальдека и Пруссии. Веймар ; 1929 ;  ; Ag ; AU ; 91 ; region23 ; 7153 
 2226 ; 1 крейцер. Австрия ; 1762 ; К ; Cu ; F ; 17 ; oks ; 71 
 2227 ; 5 лева. Болгария. Фердинанд I. Ремонт гурта 12 часов, возможно убрана подвеска ; 1892 ;  ; Ag ; VF+ ; 44 ; Михалыч ; 873 
 2228 ; 50 лева. Болгария. Борис III ; 1930 ;  ; Ag ; XF- ; 26 ; Михалыч ; 334 
 2229 ; 1 лева. Болгария. Фердинанд I ; 1891 ;  ; Ag ; VF ; 9 ; Dozen ; 312 
 2230 ; 1 лева. Болгария ; 1882 ;  ; Ag ; VF- ; 17 ; MDV ; 284 
 2231 ; 50 стотинок. Болгария. Фердинанд I ; 1912 ;  ; Ag ; VF-XF ; 45 ; vitapool ; 207 
 2232 ; 1/2 лек. Албания. Виторио Эммануил III ; 1940 ;  ; St  ; XF- ; 34 ; Михалыч ; 206 
 2233 ; 1/2 доллара. США. Свобода ; 1918 ;  ; Ag ; F-VF ; 64 ; булгарин ; 251 
 2234 ; 1/2 доллара. США ; 1905 ;  ; Ag ; F-VF/F ; 58 ; Mike! ; 221 
 2235 ; 5 центов. США. Свобода ; 1912 ;  ;  ; F-VF ; 11 ; tuz ; 30 
 2236 ; 5 центов. США. Свобода ; 1897 ;  ;  ; VF- ; 56 ; skv-nov ; 120 
 2237 ; 5 центов. США. Свобода ; 1906 ;  ;  ; F-VF ; 7 ; uin1972 ; 25 
 2238 ; 1 дайм. США ; 1916 ;  ; Ag ; F-VF ; 69 ; skv-nov ; 152 
 2239 ; 50 сентимо. Испания. Альфонсо XII ; 1880 ;  ; Ag ; VF- ; 102 ; vitapool ; 255 
 2240 ; 50 сентимов. Бельгия. Король Альберт ; 1910 ;  ; Ag ; VF-XF ; 18 ; vitapool ; 207 
 2241 ; 1 шиллинг. Великобритания. Георг IV ; 1826 ;  ; Ag ; F-VF ; 52 ; 542 ; 667 
 2242 ; 1 шиллинг. Великобритания. Королева Виктория ; 1878 ;  ; Ag ; VF- ; 42 ; 542 ; 558 
 2243 ; 1 грош. Пруссия ; 1851 ; А ; Ag ; VF- ; 59 ; vitapool ; 397 
 2244 ; 10 раппов. Швейцария ; 1885 ;  ; Ni ; XF ; 41 ; SSS777 ; 71 
 2245 ; 10 чентезими. Сан-Марино ; 1935 ;  ; Br ; VF-XF ; 13 ; В1951 ; 159 
 2246 ; 1/2 анны. Британская Индия, Ост-Индийская компания. Уильям IV ; 1835 ;  ; Br ; F-VF ; 83 ; tv ; 373 
 2247 ; 1/2 пайс. Британская Индия. Георг VI ; 1939 ;  ; Br ; VF+ ; 26 ; Dozen ; 105 
 2248 ; 1/4 рупии. Британская Индия. Георг VI ; 1940 ;  ; Ag ; VF-XF ; 34 ; Михалыч ; 204 
 2249 ; 1 анна. Британская Индия. Георг VI ; 1943 ;  ; Ni ; VF+ ; 23 ; swr ; 125 
 2250 ; 2 анны. Британская Индия. Георг VI ; 1947 ;  ; Ni ; VF+ ; 21 ; Dozen ; 171 
 2251 ; 2000 шиллингов. Уганда. 50 лет ООН ; 1995 ;  ; Cu/Ni ; AU ; 15 ; cornelius ; 134 
 2252 ; Настольная медаль. Федеральный канцлер Конрад Аденауэр. Германия ; 1993 ;  ; Ag ; Proof ; 64 ; Ромбор ; 536 
 2253 ; 1 доллар. Канада. Елизавета II ; 1965 ;  ; Ag ; XF+ ; 9 ; jagerV ; 459 
 2254 ; 1 песо. Мексика ; 1966 ;  ; Ag ; VF- ; 31 ; moneta ; 200 
 2255 ; 1 шиллинг. Восточная Африка ; 1945 ;  ; Ag ; VF- ; 10 ; Михалыч57 ; 219 
 2256 ; 10 шиллингов. Австрия ; 1957 ;  ; Ag ; XF ; 32 ; Poiuyt ; 96 
 2257 ; 1 песо. Мексика ; 1963 ;  ; Ag ; VF- ; 71 ; moneta ; 134 
 2258 ; 3 пенса. ЮАР ; 1940 ;  ; Ag ; VF+ ; 44 ; vitapool ; 251 
 2259 ; 1 марка. Германия ; 1874 ; D ; Ag ; F-VF ; 24 ; oks ; 83 
 1710 ; 20 копеек ; 1946 ; л/с звезда плоская  ; Ni ; F-VF ; 2 ; RVK ; 11 
 1711 ; 20 копеек ; 1949 ;  ; Ni ; VF- ; 2 ; RVK ; 11 
 1712 ; 20 копеек ; 1952 ;  ; Ni ; VF+ ; 4 ; antiquar ; 17 
 1713 ; 15 копеек ; 1946 ;  ; Ni ; F-VF ; 4 ; RVK ; 13 
 1714 ; 15 копеек ; 1953 ;  ; Ni ; VF ; 41 ; lm5665 ; 49 
 1715 ; 15 копеек ; 1957 ; в венке герба 15 лент  ; Ni ; VF+ ; 3 ; RVK ; 12 
 1716 ; 10 копеек ; 1925 ;  ; Ag ; VF+ ; 11 ; DMT ; 66 
 1717 ; 5 копеек ; 1954 ;  ; Br ; VF ; 14 ; ЗМЕЙ ; 22 
 1718 ; 5 копеек ; 1955 ;  ; Br ; VF ; 3 ; ЗМЕЙ ; 12 
 1719 ; 3 копейки ; 1931 ;  ; Br ; VF ; 3 ; dimon-2007 ; 12 
 1720 ; 3 копейки ; 1946 ;  ; Br ; F-VF ; 1 ; vic-dmitrievic ; 10 
 1721 ; 3 копейки ; 1949 ;  ; Br ; VF ; 2 ; Lotus 99 ; 11 
 1722 ; 3 копейки ; 1950 ;  ; Br ; VF ; 8 ; vlkorchev ; 44 
 1723 ; 2 копейки ; 1926 ;  ; Br ; VF- ; 14 ; Poiuyt ; 22 
 1724 ; 2 копейки ; 1930 ;  ; Br ; F-VF ; 2 ; vanamo ; 11 
 1725 ; 2 копейки ; 1931 ;  ; Br ; VF- ; 2 ; vanamo ; 11 
 1726 ; 2 копейки ; 1936 ;  ; Br ; VF- ; 1 ; vic-dmitrievic ; 10 
 1727 ; 2 копейки ; 1937 ;  ; Br ; F-VF ; 4 ; Lotus 99 ; 28 
 1728 ; 2 копейки ; 1940 ;  ; Br ; F-VF ; 1 ; vic-dmitrievic ; 10 
 1729 ; 2 копейки ; 1950 ;  ; Br ; VF- ; 25 ; lm5665 ; 42 
 1730 ; 2 копейки ; 1956 ;  ; Br ; VF- ; 1 ; vic-dmitrievic ; 10 
 1731 ; 2 копейки ; 1957 ; в венке герба 15 лент  ; Br ; VF- ; 1 ; vic-dmitrievic ; 10 
 1732 ; 1 копейка ; 1938 ;  ; Br ; VF+ ; 15 ; o.k. ; 22 
 1733 ; 1 копейка ; 1940 ;  ; Br ; VF+ ; 41 ; lm5665 ; 49 
 1734 ; 1 копейка ; 1946 ;  ; Br ; VF-XF ; 6 ; RVK ; 26 
 1735 ; 1 копейка ; 1949 ;  ; Br ; VF+ ; 13 ; vanamo ; 21 
 1736 ; 1 копейка ; 1953 ;  ; Br ; F+ ; 4 ; vlkorchev ; 16 
 1737 ; 1 копейка ; 1954 ;  ; Br ; VF+ ; 4 ; vlkorchev ; 13 
 1738 ; 1 копейка ; 1955 ;  ; Br ; VF ; 6 ; MICMAC ; 42 
 1739 ; Набор монет СССР (6 шт): 1 р. Олимпиада-80. В подарочной коробке ; 1977-1980 ;  ; Cu/Ni  ; proof ; 117 ; vladimir232 ; 11222 
 1740 ; Набор монет СССР (10 шт): 1 р, 50, 20, 15, 10, 5, 3, 2, 1 коп + жетон ЛМД ; 1969 ;  ; Cu/Ni, Cu/ ; UNC ; 123 ; IrinaM ; 2375 
 2191 ; Дублон. Швейцария. Берн ; 1796 ;  ; Au ; XF- ; 4 ; юров ; 26531 
 2192 ; 40 франков. Франция. Карл X ; 1830 ; А ; Au ; VF+/XF- ; 58 ; кашира ; 22934 
 2193 ; 20 марок. Саксония. Король Альберт ; 1895 ; E ; Au ; XF/XF+ ; 34 ; region23 ; 14000 
 2194 ; 20 марок. Пруссия. Вильгельм I ; 1873 ; C ; Au ; VF-XF ; 21 ; Михалыч ; 7772 
 2195 ; 20 марок. Баден. Фридрих II ; 1912 ; G ; Au ; AU ; 45 ; vadimn ; 15101 
 2196 ; 20 франков. Франция. Тип ангел ; 1848 ; А ; Au ; VF+ ; 45 ; кашира ; 9690 
 2197 ; 20 франков. Франция. Наполеон III ; 1866 ;  ; Au ; XF+ ; 47 ; кашира ; 14100 
 2198 ; 100 долларов. Канада. XXI олимпиада. В подарочной коробке с сертификатом подлинности ; 1976 ;  ; Au ; proof ; 55 ; boroda ; 13786 
 2199 ; 2 песо. Мексика ; 1945 ;  ; Au ; AU ; 29 ; djr447 ; 2360 
 2200 ; 15 долларов. Австралия. Год собаки ; 2006 ;  ; Au ; proof ; 115 ; 4nuts ; 10000 
 2201 ; 2 талера. Брауншвейг-Вольфенбютель. 25 лет правления ; 1856 ; B ; Ag ; XF- ; 25 ; kolobokoff ; 11052 
