 3271 ; Бона иностранная ;  ;  ;  ;  ; 6 ; тнн ; 214 
 2434 ; 25 эре. Швеция ; 1953 ;  ; Ag ; XF+ ; 35 ; vitapool ; 102 
 2435 ; 25 эре. Швеция ; 1918 ;  ; Ag ; VF+ ; 40 ; salim ; 55 
 2436 ; 10 эре. Швеция ; 1916 ;  ; Ag ; VF ; 25 ; alex995 ; 26 
 2437 ; 10 эре. Швеция ; 1937 ;  ; Ag ; VF+ ; 13 ; kpblca ; 29 
 2438 ; Набор монет Канады (6 шт): 1 доллар, 50, 25, 10, 5, 1 цент ; 1976 ;  ; Br, Ni, Ag ; AU ; 28 ; obob999 ; 617 
 2439 ; Набор монет США (5 шт с галограммой): 1/4 доллара. Пенсильвания, Нью-Джерси, Коннектикут, Джорджия, Делавер. В коробке с сертификатом ; 1999 ;  ; Cu/Ni ; AU ; 33 ; salim ; 612 
 3001 ; 3 копейки ; 1915 ; Деньги-марки  ;  ;  ; 50 ; Coins911 ; 157 
 3002 ; 10 копеек ; 1915 ; Деньги-марки  ;  ;  ; 34 ; oxana ; 66 
 3003 ; 15 копеек ; 1915 ; Деньги-марки  ;  ;  ; 47 ; priwet ; 55 
 3004 ; 1 рубль. Батум ;  ;  ;  ;  ; 14 ; dtdt ; 279 
 3005 ; 3 рубля. Батум ;  ;  ;  ;  ; 20 ; Fedor_K ; 450 
 3006 ; 1 копейка ;  ;  ;  ;  ; 57 ; dtdt ; 101 
 3007 ; 5 рублей ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 8 ; AAE2006 ; 161 
 3008 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 55 ; Grisha7 ; 448 
 3009 ; 10 копеек ; 1918 ; Разменные знаки и кредитные би ;  ;  ; 11 ; AAE2006 ; 373 
 3010 ; 25 рублей. Сцепка 2 шт. ; 1922 ;  ;  ;  ; 4 ; Гарин ; 220 
 3011 ; 30 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 73 ; Grisha7 ; 386 
 3012 ; 5 рублей ; 1920 ; Денежный знак Дальне-Восточной ;  ;  ; 39 ; sdubov ; 1801 
 3013 ; Бона, Грузия ;  ;  ;  ;  ; 24 ; 542 ; 364 
 3014 ; 60 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 22 ; Grisha7 ; 201 
 3015 ; 100 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 25 ; obob999 ; 29 
 3016 ; 100 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 28 ; AAE2006 ; 105 
 3017 ; 3 рубля ; 1918 ; Закавказье  ;  ;  ; 49 ; natallli ; 152 
 3018 ; 50 копеек. Екатеринодар ;  ;  ;  ;  ; 31 ; AAE2006 ; 257 
 3019 ; 1 марка золотом ; 1916 ; Финляндия билет  ;  ;  ; 50 ; Dj ; 510 
 3020 ; 1 марка золотом ; 1915 ; Финляндия билет  ;  ;  ; 34 ; priwet ; 305 
 2360 ; 10 эре. Норвегия ; 1924 ;  ; Cu/Ni ; VF+ ; 13 ; Klin ; 153 
 2361 ; 1 флорин. Австрия ; 1860 ; А ; Ag ; AU ; 69 ; vitapool ; 550 
 2362 ; 5 лев. Болгария. 50 лет антифашистского восстания ; 1973 ;  ; Ag ; Proof ; 45 ; Dj ; 616 
 2363 ; 10 марок. ФРГ. Олимпиада в Мюнхене ; 1972 ;  ; Ag ; AU ; 84 ; vonpilek ; 405 
 2364 ; 1 пфенниг. Рейсс ; 1868 ; А ; Cu ; VF ; 49 ; shuslik61 ; 200 
 2365 ; 1 шиллинг. Великобритания ; 1817 ;  ; Ag ; VF+ ; 42 ; Vict_1 ; 724 
 2366 ; 200 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 17 ; Жендос ; 241 
 2367 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; AU ; 38 ; salim ; 204 
 2368 ; 200 марок. Финляндия ; 1958 ;  ; Ag ; AU ; 10 ; obob999 ; 235 
 2369 ; 25 марок. Финляндия. 750 лет г. Турку ; 1979 ;  ; Ag ; UNC/AU ; 14 ; hantas ; 459 
 2370 ; 1 марка. Финляндия ; 1921 ;  ; Cu-Ni ; XF- ; 6 ; solder13 ; 36 
 2371 ; 1 марка. Финляндия ; 1922 ;  ; Cu-Ni ; VF-XF ; 24 ; В1951 ; 57 
 2372 ; 1 марка. Финляндия ; 1928 ;  ; Cu-Ni ; VF+ ; 28 ; Скрудж ; 46 
 2373 ; 1 марка. Финляндия ; 1929 ;  ; Cu-Ni ; VF+ ; 49 ; iloverockandroll ; 54 
 2374 ; 1 марка. Финляндия ; 1930 ;  ; Cu-Ni ; VF+ ; 17 ; solder13 ; 30 
 2375 ; 1 марка. Финляндия ; 1931 ;  ; Cu-Ni ; VF ; 9 ; sts ; 18 
 2376 ; 1 марка. Финляндия ; 1932 ;  ; Cu-Ni ; VF ; 25 ; sts ; 24 
 2377 ; 1 марка. Финляндия ; 1933 ;  ; Cu-Ni ; VF ; 18 ; obob999 ; 24 
 2378 ; 1 марка. Финляндия ; 1936 ;  ; Cu-Ni ; VF+ ; 7 ; sts ; 123 
 2379 ; 1 марка. Финляндия ; 1937 ;  ; Cu-Ni ; VF+ ; 9 ; solder13 ; 26 
 2380 ; 1 марка. Финляндия ; 1938 ;  ; Cu-Ni ; VF- ; 9 ; alex995 ; 16 
 2381 ; 1 марка. Финляндия ; 1939 ;  ; Cu-Ni ; VF+ ; 9 ; sts ; 39 
 2382 ; 1 марка. Финляндия ; 1940 ;  ; Cu-Ni ; VF+ ; 11 ; sts ; 34 
 2383 ; 1 марка. Финляндия ; 1940 ;  ; Cu ; VF+ ; 15 ; sts ; 57 
 2384 ; 1 марка. Финляндия ; 1941 ;  ; Cu ; VF+ ; 17 ; sts ; 41 
 2385 ; 1 марка. Финляндия ; 1942 ;  ; Cu ; VF+ ; 7 ; Жендос ; 55 
 2386 ; 1 марка. Финляндия ; 1943 ;  ; Cu ; VF+ ; 7 ; Жендос ; 64 
 2387 ; 1 марка. Финляндия ; 1943 ;  ; Fe ; VF+ ; 15 ; sts ; 41 
 2388 ; 1 марка. Финляндия ; 1944 ;  ; Fe ; VF+ ; 19 ; sts ; 36 
 2389 ; 1 марка. Финляндия ; 1945 ;  ; Fe ; VF+ ; 23 ; sts ; 102 
 2390 ; 1 марка. Финляндия ; 1946 ;  ; Fe ; VF+ ; 7 ; sts ; 54 
 2391 ; 1 марка. Финляндия ; 1947 ;  ; Fe ; VF+ ; 5 ; 542 ; 37 
 2392 ; 1 марка. Финляндия ; 1948 ;  ; Fe ; XF+ ; 5 ; solder13 ; 22 
 2393 ; 1 марка. Финляндия ; 1949 ;  ; Fe ; XF+ ; 5 ; Жендос ; 108 
 2394 ; 1 марка. Финляндия ; 1950 ;  ; Fe ; XF- ; 11 ; sts ; 46 
 2395 ; 1 марка. Финляндия ; 1950 ;  ; Cu ; VF ; 4 ; 542 ; 175 
 2396 ; 1 марка. Финляндия ; 1951 ;  ; Cu ; VF-XF ; 36 ; sts ; 72 
 2397 ; 1 марка. Финляндия ; 1951 ;  ; Fe ; XF- ; 9 ; sts ; 32 
 2398 ; 1 марка. Финляндия ; 1952 ;  ; Fe ; XF- ; 45 ; sts ; 102 
 2399 ; 1 марка. Финляндия. Новый тип ; 1952 ;  ; Fe ; VF-XF ; 56 ; hantas ; 61 
 2400 ; 1 марка. Финляндия ; 1953 ;  ; Fe ; VF- ; 10 ; 542 ; 43 
 2401 ; 1 марка. Финляндия ; 1954 ;  ; Fe ; VF+ ; 5 ; sts ; 24 
 2402 ; 1 марка. Финляндия ; 1955 ;  ; Fe ; XF- ; 7 ; sts ; 22 
 2403 ; 1 марка. Финляндия ; 1956 ;  ; Fe ; XF- ; 5 ; В1951 ; 43 
 2404 ; 1 марка. Финляндия ; 1957 ;  ; Fe ; XF ; 7 ; sts ; 31 
 2405 ; 1 марка. Финляндия ; 1958 ;  ; Fe ; XF- ; 7 ; sts ; 36 
 2406 ; 1 марка. Финляндия ; 1959 ;  ; Fe ; XF- ; 7 ; Жендос ; 48 
 2407 ; 1 марка. Финляндия ; 1960 ;  ; Fe ; XF ; 5 ; bh ; 31 
 2408 ; 1 марка. Финляндия ; 1961 ;  ; Fe ; AU ; 8 ; sts ; 46 
 2409 ; 1 марка. Финляндия ; 1962 ;  ; Fe ; XF+ ; 7 ; 542 ; 43 
 2310 ; Лот монет Антильских ос-в (2 шт): 25, 10 центов ; 1974-1979 ;  ; Cu/Ni ; XF+ ; 11 ; tuz ; 32 
 2311 ; Лот монет Перу (6 шт): 50, 20, 10, 5, 1 сентимо, новый соль ; 1996-2000 ;  ; Латунь, Cu ; AU ; 1 ; pixel ; 100 
 2312 ; Лот монет Зимбабве (6 шт): 1 доллар, 50, 20, 10, 5, 1 центов ; 1980-1997 ;  ; Cu/Ni, Br/ ; AU ; 9 ; Poiuyt ; 120 
 2313 ; Лот монет Гамбии (6 шт): 50, 25, 10, 5, 1 бутутов, 1 даласи ; 1998 ;  ; Cu/Ni, Cu/ ; AU ; 14 ; Poiuyt ; 130 
 2314 ; Лот монет Эритреи (6 шт) : 100, 50, 25, 10, 5, 1 центов ; 1997 ;  ; Ni/St ; AU ; 18 ; Dozen ; 161 
 2315 ; Лот монет Танзании (5 шт): 50, 20, 10, 5 центов, 1 шиллинг ; 1981-1992 ;  ; Ni/Лат, Cu ; AU ; 19 ; salim ; 161 
 2316 ; Лот монет Брунея (5 шт): 50, 20, 10, 5, 1 сен ; 2002-2005 ;  ; Cu/Ni, Cu/ ; AU ; 24 ; salim ; 189 
 2317 ; Лот монет Гвианы (6 шт): 10, 5, 1 долларов, 25, 10, 5, 1 центов ; 1978-1996 ;  ; Cu/Ni, Cu/ ; AU ; 24 ; smel ; 181 
 2318 ; Лот монет Сомали (5 шт): 20, 10, 5, 1 шиллингов ; 1994-2002 ;  ; Al, латунь ; AU ; 3 ; salim ; 105 
 2319 ; 1 рубль. Беларусь. Легенда про Бусла ; 2007 ;  ; Cu/Ni ; Proof ; 9 ; fanil ; 332 
 2320 ; 1 рубль. Беларусь. Горнолыжный центр Силичи ; 2006 ;  ; Cu/Ni ; Proof ; 57 ; Nalivaichenko ; 334 
 2321 ; 1 пенни. Великобритания ; 1894 ;  ; Ag ; XF ; 61 ; shuslik61 ; 906 
 2322 ; 1 пенни. Великобритания ; 1873 ;  ; Ag ; VF-XF ; 69 ; shuslik61 ; 1016 
 2323 ; 1 пенни. Великобритания ; 1928 ;  ; Ag ; XF- ; 39 ; тнн ; 567 
 2324 ; 1 пенни. Великобритания ; 1800 ;  ; Ag ; VF+ ; 33 ; shuslik61 ; 996 
 2325 ; 1 грош. Пруссия ; 1870 ; А ; Ag ; XF+/AU ; 86 ; lesnik1 ; 430 
 2326 ; 2 1/2 гроша. Пруссия ; 1871 ; А ; Ag ; AU ; 39 ; lesnik1 ; 559 
 2327 ; 2 1/2 гроша. Пруссия ; 1867 ; А ; Ag ; XF+/AU ; 71 ; os ; 473 
 2328 ; 3 крейцера. Бавария ; 1839 ;  ; Ag ; AU ; 90 ; igor_r65 ; 1080 
 2329 ; 1/6 талера. Пруссия ; 1826 ;  ; Ag ; VF ; 63 ; slav_1962 ; 362 
 2330 ; 1/2 гульдена. Бавария. Максимилиан II ; 1861 ;  ; Ag ; XF+ ; 62 ; lesnik1 ; 1405 
 2331 ; 1/2 гульдена. Бавария. Людвиг II ; 1865 ;  ; Ag ; VF-XF ; 61 ; os ; 1352 
 2332 ; 6 крейцеров. Бавария ; 1848 ;  ; Ag ; XF- ; 31 ; AAE2006 ; 757 
 2333 ; 1 крейцер. Бавария ; 1871 ;  ; Ag ; AU ; 81 ; AAE2006 ; 513 
 2334 ; 1 грош. Пруссия ; 1873 ; В ; Ag ; XF ; 52 ; Гарин ; 536 
 2335 ; 4 гроша. Пруссия ; 1807 ;  ; Ag ; F-VF ; 43 ; vitapool ; 300 
 2336 ; Торговый доллар Гонконг ; 1902 ;  ; Ag ; AU ; 67 ; Dj ; 2489 
 2337 ; "5 марок ""Дуб"" Веймар" ; 1928 ; F ; Ag ; XF- ; 19 ; kolobokoff ; 12222 
 2338 ; "5 марок ""Граф Цеппелин"" Веймар" ; 1930 ; А ; Ag ; AU ; 41 ; макс ; 14860 
 2339 ; "5 марок ""Орел на мосту"" Веймар" ; 1930 ; J ; Ag ; XF+ ; 45 ; макс ; 17236 
 2340 ; 5 франков. Франция ;  ;  ; Ag ; VF- ; 28 ; Abbat ; 1698 
 2341 ; 5 франков. Франция ; 1822 ; В ; Ag ; VF+ ; 82 ; Cook ; 2706 
 2342 ; 10 гурдов. Гаити. Двойной вес ; 1971 ;  ; Ag ; Proof ; 28 ; petrserebr ; 903 
 2343 ; 1 цент. США ; 1850 ;  ; Cu ; F-VF ; 37 ; shuslik61 ; 331 
 2344 ; 1 франк. Камерун ; 1943 ;  ; Br ; XF ; 51 ; ВМШ ; 1360 
 2345 ; 1 пайс. Британская Индия ; 1944 ;  ; Br ; AU ; 76 ; igor_r65 ; 265 
 2346 ; 3 пенса. Великобритания ; 1843 ;  ; Ag ; VF- ; 60 ; shuslik61 ; 918 
 2347 ; 2 пенса. Великобритания ; 1838 ;  ; Ag ; VF ; 72 ; vengriya ; 918 
 2348 ; 2 пенса. Великобритания ; 1848 ;  ; Ag ; VF+ ; 147 ; hjk1974 ; 1010 
 2349 ; 5 эре. Швеция ; 1881 ;  ; Cu ; F-VF ; 27 ; smel ; 102 
 2350 ; 5 бани. Румыния ; 1867 ;  ; Cu ; F-VF ; 26 ; Vict_1 ; 89 
 2351 ; Нотгельд 10000 марок Германия ; 1923 ;  ; ЖМ ; AU ; 29 ; petrserebr ; 1118 
 2352 ; 10 пфеннигов. Германия ; 1924 ; D ; Al/Br ; VF+ ; 31 ; В1951 ; 54 
 2353 ; 1 доллар. Канада. 100 лет Риджайне ; 1982 ;  ; Ag ; Proof ; 44 ; obob999 ; 525 
 2354 ; 1 доллар. США ; 1923 ;  ; Ag ; VF-XF ; 67 ; Niks ; 709 
 2355 ; 20 франков. Франция ; 1929 ;  ; Ag ; VF+ ; 49 ; lsp25 ; 403 
 2356 ; 20 пара. Сербия ; 1912 ;  ; Cu/Ni ; VF+ ; 38 ; shuslik61 ; 111 
 2357 ; 6 пенсов. Великобритания ; 1920 ;  ; Ag ; VF+ ; 48 ; vitapool ; 234 
 2358 ; 3 пенса. Великобритания ; 1902 ;  ; Ag ; F-VF ; 13 ; vitapool ; 123 
 2359 ; 1/2 пенни. Великобритания ; 1945 ;  ; Br ; AU ; 37 ; hjk1974 ; 357 
 2260 ; 2 марки. Гессен-Дармштадт ; 1904 ;  ; Ag ; AU ; 44 ; AAE2006 ; 2996 
 2261 ; "3 марки ""Победа над Наполеоном"" Пруссия" ; 1913 ;  ; Ag ; AU ; 71 ; ICEK ; 1563 
 2262 ; 5 марок. Баден ; 1894 ; G ; Ag ; VF ; 79 ; УГРЮМЫЙ ; 1835 
 2263 ; 1 грош. Пруссия ; 1838 ; А ; Ag ; VF-XF ; 88 ; lesnik1 ; 306 
 2264 ; 3 пфеннинга. Пруссия ; 1871 ; А ; Cu ; AU ; 55 ; lesnik1 ; 204 
 2265 ; 3 пфеннинга. Пруссия ; 1871 ; А ; Cu ; XF ; 31 ; slav_1962 ; 156 
 2266 ; 3 пфеннинга. Пруссия ; 1872 ; А ; Cu ; VF+ ; 14 ; ICEK ; 204 
 2267 ; 3 пфеннинга. Пруссия ; 1864 ; А ; Cu ; VF- ; 70 ; RuNum1 ; 153 
 2268 ; 3 пфеннинга. Пруссия ; 1867 ; А ; Cu ; VF+ ; 21 ; slav_1962 ; 101 
 2269 ; 3 пфеннинга. Пруссия ; 1853 ; А ; Cu ; VF- ; 95 ; slav_1962 ; 160 
 2270 ; 1/2 крейцера. Бавария ; 1854 ;  ; Cu ; XF+ ; 35 ; Tilla ; 301 
 2271 ; 1 геллер. Бавария ; 1845 ;  ; Cu ; XF+ ; 17 ; slav_1962 ; 300 
 2272 ; 1 геллер. Бавария ; 1820 ;  ; Cu ; VF+ ; 29 ; Tilla ; 301 
 2273 ; 1 геллер. Бавария ; 1832 ;  ; Cu ; VF+ ; 14 ; hantas ; 308 
 2274 ; 1 талер. Австрия ; 1864 ; Е ; Ag ; VF-XF ; 71 ; kolobokoff ; 2056 
 2275 ; 5 марок. Веймар. 1000 лет освобождения Рейнланда ; 1925 ; А ; Ag ; AU ; 18 ; kolobokoff ; 4882 
 2276 ; 3 марки. Веймар. 1000 лет освобождения Рейнланда ; 1925 ; D ; Ag ; XF+ ; 27 ; AAE2006 ; 1627 
 2277 ; 3 марки. Веймар. 10 лет конституции ; 1929 ; А ; Ag ; XF+ ; 36 ; Sky2 ; 1867 
 2278 ; 3 марки. Веймар ; 1930 ;  ; Ag ; AU ; 42 ; Sky2 ; 4635 
 2279 ; 1 флорин. Австралия. Открытие парламента в Канберре ; 1927 ;  ; Ag ; VF+ ; 5 ; QSL ; 435 
 2280 ; 1 рупия. Индия ; 1886 ;  ; Ag ; VF+ ; 32 ; gors ; 468 
 2281 ; 100 лев. Болгария ; 1930 ;  ; Ag ; VF-XF ; 18 ; lsp25 ; 521 
 2282 ; 100 лев. Болгария ; 1934 ;  ; Ag ; VF-XF ; 8 ; lsp25 ; 334 
 2283 ; 100 лев. Болгария ; 1937 ;  ; Ag ; VF-XF ; 11 ; lsp25 ; 439 
 2284 ; 10 лев. Болгария. Освобождение от Османского Ига ; 1978 ;  ; Ag ; Proof ; 10 ; Dj ; 421 
 2285 ; 1/2 юаня. Китай, Республика. Провинция Юннань ; 1932 ;  ; Ag ; VF+ ; 119 ; gors ; 379 
 2286 ; 1 песо. 30 лет со дня смерти Эрнесто Че Гевара. Куба ; 1997 ;  ; Cu-Ni ; AU ; 44 ; salim ; 309 
 2287 ; 1/4 анны. Британская Индия ; 1907 ;  ; Br ; VF ; 69 ; Dj ; 242 
 2288 ; 2 лата. Латвия ; 1925 ;  ; Ag ; XF- ; 12 ; QSL ; 197 
 2289 ; 2 лита. Литва ; 1925 ;  ; Ag ; VF ; 26 ; димитрий ; 274 
 2290 ; 1 марка. Германия ; 1881 ; А ; Ag ; F-VF ; 45 ; obob999 ; 129 
 2291 ; 1 марка. Германия ; 1915 ; А ; Ag ; VF+ ; 56 ; hantas ; 152 
 2292 ; 5 марок. Германия ; 1935 ; J ; Ag ; VF+ ; 22 ; vonpilek ; 353 
 2293 ; 1/4 доллара. США ; 1959 ;  ; Ag ; VF-XF ; 62 ; MICMAC ; 73 
 2294 ; 20 драхм. Греция ; 1960 ;  ; Ag ; VF ; 43 ; Tosha ; 231 
 2295 ; 50 центов. Кабо-Верде ; 1930 ;  ; Ni-Br ; VF ; 46 ; оскол ; 331 
 2296 ; 20 пфеннигов. Германия ; 1888 ;  ; Cu-Ni ; VF ; 39 ; ICEK ; 1020 
 2297 ; 10 мунгу. Монголия ; 1937-1938 ;  ; Cu-Ni ; XF ; 16 ; ВМШ ; 122 
 2298 ; 5 центов. Гон-Конг ; 1899 ;  ; Ag ; VF-XF ; 52 ; levsha ; 261 
 2299 ; 1/2 вон. Корея ; н ХХв ;  ; Ag ; VF+ ; 71 ; levsha ; 5102 
 2300 ; 50 центов. Ньюфаундленд ; 1919 ;  ; Ag ; F-VF ; 35 ; vitapool ; 417 
 2301 ; 10 чентезими. Сан-Марино ; 1893 ;  ; Cu ; VF- ; 2 ; Olimpia ; 500 
 2302 ; 25 центов. Канада ; 1964 ;  ; Ag ; VF+ ; 59 ; 542 ; 127 
 2303 ; 1/4 доллара. США ; 1943 ;  ; Ag ; VF ; 24 ; jef688 ; 63 
 2304 ; 6 пенсов. Великобритания ; 1941 ;  ; Ag ; VF ; 15 ; Gari 77 ; 119 
 2305 ; 6 пенсов. Великобритания ; 1930 ;  ; Ag ; VF- ; 32 ; tuz ; 79 
 2306 ; 10 центов. Нидерланды ; 1928 ;  ; Ag ; VF ; 34 ; vitapool ; 129 
 2307 ; 5 пфеннигов. Германия ; 1925 ; А ; Al/Br ; XF ; 32 ; hantas ; 41 
 2308 ; 10 сантимов. Франция ; 1854 ;  ; Br ; VF-XF ; 54 ; jef688 ; 161 
 2309 ; Лот монет Борнео (3 шт): 10, 5 центов ; 1948-1961 ;  ; Cu/Ni ; VF-XF ; 26 ; shuslik61 ; 161 
 2210 ; Соверен. Великобритания. Королева Виктория ; 1872 ;  ; Au ; VF-XF ; 21 ; san-stefano ; 8708 
 2211 ; Соверен (старый тип). Австралия. Королева Виктория ; 1870 ;  ; Au ; VF+ ; 21 ; san-stefano ; 7885 
 2212 ; 1 соверен. Великобритания ; 1886 ;  ; Au ; VF-XF ; 108 ; luda ; 6626 
 2213 ; 10 гульденов. Нидерланды ; 1898 ;  ; Au ; AU ; 51 ; *** ; 12433 
 2214 ; 20 франков. Бельгия ; 1914 ;  ; Au ; AU ; 53 ; ЕВС ; 6130 
 2215 ; 20 драхм. Греция ; 1884 ;  ; Au ; XF+/AU ; 21 ; Mmm ; 6800 
 2216 ; Соверен Великобритания ; 1911 ;  ; Au ; AU ; 44 ; *** ; 6759 
 2217 ; 20 марок Пруссия ; 1888 ; А ; Au ; XF+ ; 27 ; aleshka ; 6628 
 2218 ; 20 марок. Вюртемберг ; 1898 ; F ; Au ; AU ; 17 ; ЕВС ; 8618 
 2219 ; 20 марок. Саксония ; 1905 ; Е ; Au ; XF+ ; 25 ; drozd-24 ; 10993 
 2220 ; 20 франков. Франция ; 1866 ; А ; Au ; AU ; 44 ; ЕВС ; 5827 
 2221 ; 10 гульденов Нидерланды ; 1875 ;  ; Au ; AU ; 34 ; ASV_77 ; 5517 
 2222 ; 100 курушей. Турция. Au, m-12,9 гр. D-40мм ; 1966 ;  ; Au ; AU ; 65 ; sherif-69 ; 10200 
 2223 ; 50 курушей. Турция ; 1923 ;  ; Au ; AU ; 27 ; Ромбор ; 3157 
 2224 ; 250 песо. Мексика. Слоения ; 1986 ;  ; Au ; Proof ; 44 ; dima ; 6804 
 2225 ; 1/2 соверен. Остров Мэн. Свадьба принца Чарльза и леди Дианы ; 1981 ;  ; Au ; Proof ; 32 ; luda ; 3250 
 2226 ; 25 долларов. Острова Кука. Вымирающие животные-слон ; 1990 ;  ; Au ; Proof ; 78 ; dima ; 3000 
 2227 ; Монета. Индия ; 1600-1750 ;  ; Au ; VF-XF ; 40 ; priwet ; 2378 
 2228 ; Монета. Индия ; 1600-1750 ;  ; Au ; VF-XF ; 30 ; priwet ; 2043 
 2229 ; Монета. Индия ; 1600-1750 ;  ; Au ; XF ; 24 ; priwet ; 2619 
 2230 ; Дукат. Нидерланды ; 1775 ;  ; Ag ; VF- ; 37 ; jef688 ; 1465 
 2231 ; 1 талер. Брауншвейг-Вольфенбюттель ; 1729 ;  ; Ag ; VF ; 56 ; Arsak ; 8000 
 2232 ; 1 талер. Саксония ; 1778 ;  ; Ag ; VF+ ; 44 ; foma71 ; 4131 
 2233 ; 1 риксдалер. Швеция. Густав III. Ремонт гурта ; 1782 ;  ; Ag ; VF- ; 84 ; foma71 ; 3060 
 2234 ; 1 талер. Пруссия ; 1786 ; А ; Ag ; VF ; 41 ; foma71 ; 2882 
 2235 ; 1 талер. Саксония ; 1797 ;  ; Ag ; VF+/XF+ ; 30 ; os ; 3370 
 2236 ; 1 талер. Бавария ; 1789 ;  ; Ag ; VF ; 33 ; ВЯЗ ; 1850 
 2237 ; 1/3  риксдалера. Швеция. Густав III. Ремонт гурта ; 1788 ;  ; Ag ; VF- ; 41 ; foma71 ; 1062 
 2238 ; 1/6  риксдалера. Швеция. Густав III ; 1788 ;  ; Ag ; VF- ; 44 ; foma71 ; 816 
 2239 ; 1/6 талера. Пруссия ; 1764 ; F ; Ag ; VF+ ; 37 ; ICEK ; 674 
 2240 ; 4 гроша. Пруссия ; 1797 ;  ; Ag ; F-VF ; 63 ; allur65 ; 160 
 2241 ; 3 крейцера. Бавария ; 1720 ;  ; Ag ; XF+ ; 19 ; lesnik1 ; 483 
 2242 ; 1 талер. Саксония ; 1831 ;  ; Ag ; VF-XF ; 60 ; Arsak ; 3901 
 2243 ; Талер Саксония ; 1833 ; G ; Ag ; XF ; 33 ; HILL ; 3593 
 2244 ; 1 талер. Пруссия ; 1860 ;  ; Ag ; AU ; 37 ; luda ; 3317 
 2245 ; 1 талер. Пруссия. Коронация Вильгельма и Августы ; 1861 ;  ; Ag ; AU ; 45 ; Sky2 ; 1842 
 2246 ; 1/3 талера. Саксония. Смерть короля Фридриха Августа II ; 1854 ; F ; Ag ; XF ; 62 ; Sky2 ; 1538 
 2247 ; 1/6 талера. Саксония. Смерть короля Фридриха Августа ; 1827 ; S ; Ag ; VF-XF ; 67 ; os ; 1602 
 2248 ; 1/6 талера. Саксония. Смерть короля Фридриха Августа II ; 1854 ; F ; Ag ; VF-XF ; 31 ; os ; 1143 
 2249 ; 20 крейцеров. Бавария ; 1811 ;  ; Ag ; VF+ ; 26 ; WinterCat ; 816 
 2250 ; 4 гроша. Пруссия ; 1807 ;  ; Ag ; F-VF ; 66 ; vitapool ; 189 
 2251 ; 3 марки. Бавария. 90 лет принцу-регенту Люитпольду ; 1911 ;  ; Ag ; XF ; 29 ; AAE2006 ; 1274 
 2252 ; 3 марки. Вюртемберг. На серебряную свадьбу ; 1911 ;  ; Ag ; AU ; 47 ; aqua ; 1977 
 2253 ; 3 марки. Пруссия. 25 лет правления ; 1913 ;  ; Ag ; AU ; 17 ; priwet ; 914 
 2254 ; 3 марки. Пруссия. 25 лет правления ; 1913 ;  ; Ag ; AU ; 12 ; QSL ; 914 
 2255 ; 3 марки. Саксония. 100 лет битвы народов ; 1913 ;  ; Ag ; XF+ ; 15 ; priwet ; 960 
 2256 ; 2 марки. Баден. На золотую свадьбу ; 1906 ;  ; Ag ; AU ; 37 ; vost ; 1377 
 2257 ; 2 марки. Пруссия. 200 лет королевству ; 1901 ;  ; Ag ; AU ; 23 ; igor_r65 ; 714 
 2258 ; 2 марки. Мекленбург-Шверин ; 1904 ;  ; Ag ; AU ; 49 ; AAE2006 ; 2833 
 2259 ; 2 марки. Саксон-Веймар-Айзенах ; 1908 ;  ; Ag ; AU ; 24 ; kolobokoff ; 5001 
 1511 ; 2 копейки ; 1926 ;  ; Br ; VF+ ; 36 ; o.k. ; 62 
 1512 ; 2 копейки ; 1941 ;  ; Br ; VF ; 27 ; Lotus 99 ; 36 
 1513 ; 2 копейки ; 1951 ;  ; Br ; VF- ; 35 ; 61К ; 36 
 1514 ; 1 копейка ; 1949 ;  ; Br ; VF+ ; 20 ; surf2k5 ; 20 
 1515 ; 1 копейка ; 1954 ;  ; Br ; VF+ ; 12 ; alex995 ; 21 
 1516 ; 1 копейка ; 1975 ;  ; Cu-Zn ; VF-XF ; 2 ; weter41 ; 50 
 1517 ; 5 рублей ; 1993 ; Сергиев Пасад  ; Cu-Ni ; Proof ; 78 ; gors ; 310 
 1518 ; "10 рублей. ""300 лет Российскому флоту""" ; 1996 ;  ; Б/м ; AU ; 6 ; Kammerer ; 532 
 1519 ; 1 рубль. Упаковка ; 1968 ;  ; Cu-Ni ; UNC ; 34 ; Гарин ; 111 
 1520 ; 50 копеек ; 1991 ; ММД  ; Cu-Ni ; AU ; 32 ; MICMAC ; 204 
 1521 ; 20 копеек ; 1942 ; л/с звезда плоская  ; Ni ; VF+ ; 91 ; lvl555 ; 306 
 1522 ; 15 копеек ; 1936 ;  ; Ni ; VF+ ; 36 ; sity007 ; 250 
 1523 ; 15 копеек ; 1941 ;  ; Ni ; VF+ ; 11 ; lvl555 ; 53 
 1524 ; 15 копеек ; 1957 ; в венке герба 15 лент  ; Ni ; VF+ ; 3 ; surf2k5 ; 24 
