 1161 ; 200 рублей. М-31,1г ; 1994 ; ММД Сохраним наш мир. Соболя ; Au999 ; Proof ; 0 ; Участник № 44 ; 60000 
 3523 ; Бона иностранная ;  ;  ;  ;  ; 31 ; GODlike777 ; 32 
 3524 ; Бона иностранная ;  ;  ;  ;  ; 13 ; STEP ; 203 
 3525 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ppp ; 46 
 3526 ; Бона иностранная ;  ;  ;  ;  ; 63 ; Sky2 ; 159 
 3527 ; Бона иностранная ;  ;  ;  ;  ; 68 ; derk02 ; 282 
 3528 ; Бона иностранная ;  ;  ;  ;  ; 35 ; ДСВ777 ; 201 
 3529 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Sky2 ; 34 
 3530 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Sky2 ; 37 
 3531 ; Бона иностранная ;  ;  ;  ;  ; 46 ; Sky2 ; 112 
 3451 ; Бона иностранная ;  ;  ;  ;  ; 34 ; smel ; 50 
 3452 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 007ns ; 31 
 3453 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 007ns ; 31 
 3454 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 007ns ; 21 
 3455 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 007ns ; 31 
 3456 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 007ns ; 21 
 3457 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 007ns ; 21 
 3458 ; Бона иностранная ;  ;  ;  ;  ; 16 ; 007ns ; 21 
 3459 ; Бона иностранная ;  ;  ;  ;  ; 16 ; 007ns ; 31 
 3460 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 007ns ; 21 
 3461 ; Бона иностранная ;  ;  ;  ;  ; 21 ; 007ns ; 27 
 3462 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ДСВ777 ; 32 
 3463 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ДСВ777 ; 32 
 3464 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ДСВ777 ; 36 
 3465 ; Бона иностранная ;  ;  ;  ;  ; 16 ; ДСВ777 ; 34 
 3466 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ДСВ777 ; 31 
 3467 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 007ns ; 32 
 3468 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ДСВ777 ; 34 
 3469 ; Бона иностранная ;  ;  ;  ;  ; 26 ; ДСВ777 ; 32 
 3470 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 007ns ; 21 
 3471 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 007ns ; 31 
 3472 ; Бона иностранная ;  ;  ;  ;  ; 15 ; valsv ; 31 
 3473 ; Бона иностранная ;  ;  ;  ;  ; 12 ; valsv ; 31 
 3474 ; Бона иностранная ;  ;  ;  ;  ; 10 ; valsv ; 31 
 3475 ; Бона иностранная ;  ;  ;  ;  ; 44 ; ДСВ777 ; 67 
 3476 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Sterh ; 51 
 3477 ; Бона иностранная ;  ;  ;  ;  ; 14 ; valsv ; 31 
 3478 ; Бона иностранная ;  ;  ;  ;  ; 23 ; МОЁ ; 36 
 3479 ; Бона иностранная ;  ;  ;  ;  ; 28 ; МОЁ ; 32 
 3480 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Полянка ; 35 
 3481 ; Бона иностранная ;  ;  ;  ;  ; 41 ; en_ssw ; 48 
 3482 ; Бона иностранная ;  ;  ;  ;  ; 39 ; en_ssw ; 48 
 3483 ; Бона иностранная ;  ;  ;  ;  ; 24 ; ДСВ777 ; 81 
 3484 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Dave ; 25 
 3485 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Sky2 ; 38 
 3486 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Sky2 ; 32 
 3487 ; Бона иностранная ;  ;  ;  ;  ; 40 ; GODlike777 ; 41 
 3488 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Полянка ; 39 
 3489 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 2244 ; 31 
 3490 ; Бона иностранная ;  ;  ;  ;  ; 48 ; 2244 ; 78 
 3491 ; Бона иностранная ;  ;  ;  ;  ; 52 ; KKK ; 101 
 3492 ; Бона иностранная ;  ;  ;  ;  ; 45 ; KKK ; 101 
 3493 ; Бона иностранная ;  ;  ;  ;  ; 17 ; GODlike777 ; 129 
 3494 ; Бона иностранная ;  ;  ;  ;  ; 67 ; KKK ; 91 
 3495 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 76ss76 ; 33 
 3496 ; Бона иностранная ;  ;  ;  ;  ; 14 ; strestas ; 115 
 3497 ; Бона иностранная ;  ;  ;  ;  ; 61 ; strestas ; 101 
 3498 ; Бона иностранная ;  ;  ;  ;  ; 41 ; strestas ; 38 
 3499 ; Бона иностранная ;  ;  ;  ;  ; 28 ; en_ssw ; 49 
 3500 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 2244 ; 34 
 3401 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 20 ; смит ; 702 
 3402 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 34 ; смит ; 702 
 3403 ; 1 рубль. Урал. Штамп Пермского ОГБ ; 1918 ; Областной кредитный билет Урал ;  ;  ; 41 ; смит ; 1200 
 3404 ; 3 рубля. Лысьва ;  ;  ;  ;  ; 38 ; смит ; 1224 
 3405 ; 5 рублей ; 1922 ; Хорезмская Республика ;  ;  ; 39 ; derk02 ; 1456 
 3406 ; 20 рублей ; 1922 ; Хорезмская Республика ;  ;  ; 64 ; смит ; 1381 
 3407 ; 1000 рублей. Хорезмская республика ; 1923 ;  ;  ;   ; 30 ; Bagrin ; 1122 
 3408 ; 1000 рублей. Хорезмская республика ; 1923 ;  ;  ;   ; 42 ; А2007 ; 1530 
 3409 ; 10 рублей=100000 р ; 1922 ; Хорезмская Республика ;  ;  ; 30 ; сс400 ; 710 
 3410 ; 10 рублей=100000 р ; 1922 ; Хорезмская Республика ;  ;  ; 30 ; derk02 ; 2582 
 3411 ; 3 червонца ; 1932 ; Билет ;  ;  ; 51 ; сми ; 436 
 3412 ; 3 червонца ; 1932 ; Билет ;  ;  ; 29 ; сми ; 436 
 3413 ; 3 червонца ; 1932 ; Билет ;  ;  ; 22 ; en_ssw ; 499 
 3414 ; 25 рублей. Пятигорск ; 1918 ;  ;  ;  ; 27 ; kollega ; 1652 
 3415 ; 20000 рублей ; 1922 ; Бухарская Республика ;  ;  ; 32 ; смит ; 1316 
 3416 ; 20000 рублей ; 1921 ; Бухарская Республика ;  ;  ; 17 ; сс400 ; 653 
 3417 ; 20000 рублей ; 1921 ; Бухарская Республика ;  ;  ; 48 ; derk02 ; 1020 
 3418 ; 10000 рублей ; 1921 ; Бухарская Республика ;  ;  ; 43 ; сс400 ; 833 
 3419 ; 3000 рублей ; 1920 ; Бухарская Республика ;  ;  ; 46 ; derk02 ; 5096 
 3420 ; 10000 теньге ; 1920 ; Бухарская Республика ;  ;  ; 53 ; derk02 ; 4122 
 3421 ; 1 рубль. Сочи ; 1919 ;  ;  ; AU ; 40 ; 2244 ; 1995 
 3422 ; 5 рублей. Сочи ; 1919 ;  ;  ; AU ; 46 ; смит ; 3977 
 3423 ; 5 рублей ; 1919 ; Кредитный билет.Северо-Кавказс ;  ; AU ; 21 ; смит ; 6543 
 3424 ; 10 рублей. Сочи ; 1919 ;  ;  ; XF ; 43 ; смит ; 3966 
 3425 ; 25 рублей. Сочи ; 1919 ;  ;  ; AU ; 42 ; derk02 ; 4615 
 3426 ; 50 рублей (в слове "билет" - твердый знак) ; 1919 ; Кредитный билет.Северо-Кавказс ;  ; XF ; 37 ; derk02 ; 7012 
 3427 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ; AU ; 79 ; смит ; 3009 
 3428 ; 10 рублей ; 1947 ; билет ;  ; XF ; 99 ; 76ss76 ; 1016 
 3429 ; 5 червонцев ; 1928 ; Билет ;  ;  ; 35 ; Sky2 ; 9565 
 3430 ; 5 червонцев ; 1928 ; Билет ;  ;  ; 55 ; Mmm ; 15200 
 3431 ; Облигация Московско-Виндаво-Рыбинской ж/д ; 1903 ;  ;  ;  ; 9 ; lvovich ; 745 
 3432 ; Заем об-ва железнодорожных вервей. Облигация ; 1913 ;  ;  ;  ; 24 ; lvovich ; 1019 
 3433 ; Центральное электрическое об-во в Москве. Облигация ; 1902 ;  ;  ;  ; 20 ; сми ; 518 
 3434 ; Об-во Закавказской ж/д. Облигация в 125 рублей ; 1882 ;  ;  ;  ; 20 ; ТУК2 ; 1200 
 3435 ; Об-во Закавказской ж/д. Облигация в 625 рублей ; 1882 ;  ;  ;  ; 13 ; irokez ; 1326 
 3436 ; Облигация ; 1916 ;  ;  ;  ; 10 ; МОЁ ; 510 
 3437 ; Облигация ; 1955 ;  ;  ;  ; 29 ; en_ssw ; 55 
 3438 ; Облигация ; 1955 ;  ;  ;  ; 20 ; Микола ; 40 
 3439 ; 5 червонцев ; 1937 ;  ;  ;  ; 21 ; tau ; 153 
 3440 ; 5 червонцев ; 1937 ;  ;  ;  ; 23 ; Микола ; 70 
 3441 ; 5 червонцев ; 1937 ;  ;  ;  ; 9 ; AMG ; 104 
 3442 ; 5 червонцев ; 1937 ;  ;  ;  ; 38 ; АТ ; 141 
 3443 ; 5 червонцев ; 1937 ;  ;  ;  ; 47 ; zev ; 260 
 3444 ; 500 рублей (3 шт) ; 1993 ;  ;  ;  ; 24 ; JonSamyrai ; 51 
 3445 ; 500 рублей (3 шт) ; 1993 ;  ;  ;  ; 14 ; solder13 ; 153 
 3446 ; 100 рублей (3 шт) ; 1993 ;  ;  ;  ; 2 ; сми ; 30 
 3447 ; 100 рублей (3 шт) ; 1993 ;  ;  ;  ; 3 ; сми ; 30 
 3448 ; 100 рублей (3 шт) ; 1993 ;  ;  ;  ; 8 ; solder13 ; 51 
 3449 ; Купоны (79 шт) ;  ;  ;  ;  ; 25 ; koga ; 55 
 3450 ; Купоны (276 шт) ;  ;  ;  ;  ; 3 ; koga ; 46 
 3351 ; 50 рублей ; 1991 ; билет ;  ;  ; 24 ; AMG ; 157 
 3352 ; 100 рублей ; 1991 ; билет ;  ;  ; 23 ; denis--72 ; 34 
 3353 ; 100 рублей ; 1991 ; билет ;  ;  ; 20 ; denis--72 ; 57 
 3354 ; 100 рублей ; 1991 ; билет ;  ;  ; 40 ; kkait ; 51 
 3355 ; 100 рублей ; 1991 ; билет ;  ;  ; 16 ; denis--72 ; 42 
 3356 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 18 ; sveta6369 ; 59 
 3357 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 29 ; zev ; 62 
 3358 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 61 ; strestas ; 65 
 3359 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 12 ; kkait ; 62 
 3360 ; 10000 рублей ; 1995 ; банкнота ;  ;  ; 70 ; Luidor ; 397 
 3361 ; 5000 рублей ; 1994 ; банкнота ;  ;  ; 57 ; zev ; 220 
 3362 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 8 ; denis--72 ; 32 
 3363 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 4 ; denis--72 ; 30 
 3364 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 18 ; denis--72 ; 51 
 3365 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 13 ; denis--72 ; 30 
 3366 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 63 ; Полянка ; 161 
 3367 ; 10000 рублей ; 1994 ; банкнота ;  ;  ; 59 ; zev ; 301 
 3368 ; 50000 рублей ; 1994 ; банкнота ;  ;  ; 120 ; егор ; 819 
 3369 ; Листовка ;  ;  ;  ;  ; 110 ; derk02 ; 2089 
 3370 ; Листовка ;  ;  ;  ;  ; 24 ; Ohotnik ; 201 
 3371 ; 3 червонца ; 1937 ; Билет ;  ;  ; 55 ; Sky2 ; 204 
 3372 ; 3 червонца ; 1937 ; Билет ;  ;  ; 52 ; zev ; 237 
 3373 ; 100 марок ; 1910 ;  ;  ;  ; 27 ; faga2003 ; 125 
 3374 ; 100 марок ; 1910 ;  ;  ;  ; 14 ; Юджин ; 119 
 3375 ; 100 марок ; 1910 ;  ;  ;  ; 42 ; denis--72 ; 135 
 3376 ; 50 рублей ; 1947 ; билет ;  ;  ; 31 ; vladzory ; 155 
 3377 ; 5000 рублей ; 1919 ;  ;  ;  ; 37 ; анна ; 133 
 3378 ; 5000 рублей ; 1919 ;  ;  ;  ; 30 ; seeren ; 105 
 3379 ; 5000 рублей ; 1919 ;  ;  ;  ; 27 ; АТ ; 120 
 3380 ; 5000 рублей ; 1919 ;  ;  ;  ; 82 ; denis--72 ; 153 
 3381 ; 50 копеек ;  ;  ;  ; AU ; 20 ; сми ; 408 
 3382 ; 50 копеек. С подписью. ;  ;  ;  ; AU ; 16 ; Mmm ; 479 
 3383 ; 1 рубль. Родзянко ; 1919 ;  ;  ; AU ; 39 ; andrei6808 ; 1318 
 3384 ; 10 рублей. Родзянко ; 1919 ;  ;  ; AU ; 9 ; andrei6808 ; 1122 
 3385 ; 5 рублей ; 1918 ; Казначейский знак Сибирского в ;  ; AU ; 40 ; СТАРПОМ ; 479 
 3386 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 140 ; wladimir ; 1038 
 3387 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 192 ;  ; AU ; 77 ; Mmm ; 1450 
 3388 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 64 ; ask ; 852 
 3389 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 20 ; сми ; 816 
 3390 ; 3 рубля ; 1922 ; Гос.денежные знаки образца 192 ;  ; AU ; 79 ; wladimir ; 2081 
 3391 ; 500 рублей ; 1992 ; билет ;  ; AU ; 21 ; QSCl ; 117 
 3392 ; 500 рублей ; 1992 ; билет ;  ; AU ; 14 ; Sky2 ; 112 
 3393 ; 500 рублей ; 1992 ; билет ;  ; AU ; 19 ; denis--72 ; 114 
 3394 ; 500 рублей ; 1992 ; билет ;  ; AU ; 75 ; Ramzess ; 119 
 3395 ; 3 рубля. Одесса ; 1917 ;  ;  ; AU ; 53 ; tigris ; 614 
 3396 ; 3 рубля. Одесса ; 1917 ;  ;  ; AU ; 20 ; 4А ; 614 
 3397 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 27 ; dimitri ; 408 
 3398 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 39 ; смит ; 689 
 3399 ; 5 рублей. Касимов ; 1918 ;  ;  ; AU ; 22 ; Luidor ; 1287 
 3400 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 35 ; Mmm ; 512 
 2949 ; Лот иностранных монет: 4шт ; 20 век ;  ; Al/Br,Cu-N ; VF ; 33 ; Siluminov ; 32 
 2950 ; Лот монет Чехословакии: 7шт ; 20 век ;  ; Al/Br,Cu-N ; VF/XF ; 17 ; vasil47 ; 57 
 2951 ; Лот монет Италии: 6шт ; 20 век ;  ; Al,Al/Br ; VF-/XF- ; 10 ; Siluminov ; 25 
 2952 ; Лот иностранных монет: 8шт ; 20 век ;  ; Cu-Ni,Al ; VF-/XF ; 26 ; Т-80 ; 53 
 2953 ; Лот иностранных монет: 8шт ; 20 век ;  ; Cu-Ni,Al,B ; VF-/XF- ; 78 ; Полянка ; 131 
 2954 ; Лот иностранных монет: 7шт ; 20 век ;  ; Cu-Ni,Al ; VF/XF+ ; 19 ; Т-80 ; 105 
 2955 ; Лот монет Израиля: 9шт ; 20 век ;  ; Al/Br ; VF-/XF+ ; 33 ; Siluminov ; 32 
 2956 ; Лот монет Венгрии: 6шт ; 20 век ;  ; Al,Cu-Ni,л ; VF-/XF ; 28 ; Rustman ; 29 
 2957 ; Лот монет Венгрии: 4шт ; 20 век ;  ; Al,Cu-Ni,л ; VF/XF+ ; 6 ; valsv ; 32 
 2958 ; Лот иностранных монет: 8шт ; 20 век ;  ; Cu-Ni,Br,A ; VF-/AU ; 32 ; Т-80 ; 136 
 2959 ; Лот монет Турции: 5шт ; 20 век ;  ; Cu-Ni-Zn,S ; VF-/VF+ ; 5 ; Suleiman ; 28 
 2960 ; Лот иностранных монет: 13шт ; 20 век ;  ; Al,Zn,Br,A ; VF-/XF ; 30 ; Т-80 ; 83 
 2961 ; Лот монет ФРГ: 11шт ; 20 век ;  ; Латунь/St, ; VF-/XF- ; 32 ; Rober ; 58 
 2962 ; Лот монет Финляндии: 50,20,10,1 марок, 50 пенни + 1 пенни Россия для Финляндии (1917г): 9шт ; 1917,1921-1954 ;  ; Al/Br,Cu-N ; VF-/VF+ ; 31 ; vinter ; 703 
 2963 ; Лот монет ФРГ: 2,1 марки (13шт) ; 1973-1994 ;  ; Cu-Ni ; VF-/XF ; 46 ; vc57 ; 510 
 2964 ; 5 крон. Швеция ; 1972 ;  ; Cu-Ni ; XF/AU ; 78 ; hjk1974 ; 227 
 2965 ; 2 кроны. Швеция ; 1952 ;  ; Ag ; XF+ ; 20 ; Rober ; 155 
 2966 ; 2 кроны. Швеция ; 1969 ;  ; Cu-Ni ; XF/AU ; 11 ; CoBan ; 102 
 2967 ; 1 крона. Швеция ; 1906 ;  ; Ag ; F-VF ; 52 ; dimon-2007 ; 174 
 2968 ; 1 крона. Швеция ; 1910 ;  ; Ag ; F-VF ; 72 ; BOOL19 ; 157 
 2969 ; 1 крона. Швеция ; 1945 ;  ; Ag ; F-VF ; 38 ; BOOL19 ; 131 
 2970 ; 1 крона. Швеция ; 1946 ;  ; Ag ; F-VF ; 18 ; BOOL19 ; 129 
 2971 ; 1 крона. Швеция ; 1955 ;  ; Ag ; XF+ ; 35 ; BOOL19 ; 130 
 2972 ; 1 крона. Швеция ; 1968 ;  ; Ag ; XF/AU ; 11 ; Shrrv ; 117 
 2973 ; 50 эре. Швеция ; 1907 ;  ; Ag ; F-VF ; 79 ; vc57 ; 191 
 2974 ; 25 эре. Швеция ; 1889 ;  ; Ag ; F-VF ; 31 ; zelya ; 71 
 2975 ; 25 эре. Швеция ; 1907 ;  ; Ag ; VF- ; 32 ; vc57 ; 125 
 2976 ; 10 эре. Швеция ; 1907 ;  ; Ag ; VF ; 27 ; DVZ ; 71 
 2977 ; 10 эре. Швеция ; 1920 ;  ; Ni/Br ; F-VF ; 29 ; alskr ; 29 
 2978 ; Жетон. 1 рубль. Балтийское морское пароходство ;  ;  ; Ж/м ; AU ; 24 ; kamensk61 ; 541 
 3331 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 4 ; seeren ; 32 
 3332 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 37 ; zev ; 55 
 3333 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 25 ; zev ; 55 
 3334 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 18 ; Dave ; 77 
 3335 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 48 ; AMG ; 101 
 3336 ; 20000 рублей. Крымский союз потреб.обществ ;  ;  ;  ;  ; 34 ; смит ; 1483 
 3337 ; 10000 рублей. Крымский союз потреб.обществ ;  ;  ;  ;  ; 20 ; смит ; 1486 
 3338 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 9 ; AMG ; 32 
 3339 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 3 ; AMG ; 32 
 3340 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 13 ; kkait ; 30 
 3341 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 17 ; анна ; 57 
 3342 ; 5 рублей ; 1997 ; банкнота ;  ;  ; 33 ; сс400 ; 115 
 3343 ; 1000 рублей ; 1995 ; банкнота ;  ;  ; 68 ; strestas ; 104 
 3344 ; 1000 рублей ; 1995 ; банкнота ;  ;  ; 49 ; AMG ; 132 
 3345 ; 5000 рублей ; 1995 ; банкнота ;  ;  ; 36 ; AMG ; 115 
 3346 ; 5000 рублей ; 1995 ; банкнота ;  ;  ; 8 ; denis--72 ; 30 
 3347 ; 5000 рублей ; 1995 ; банкнота ;  ;  ; 13 ; Luidor ; 156 
 3348 ; 1 рубль ; 1976 ;  ;  ;  ; 23 ; егор ; 168 
 3349 ; 5 рублей ; 1976 ;  ;  ;  ; 18 ; егор ; 288 
 3350 ; 200 рублей ; 1992 ; билет ;  ;  ; 41 ; kkait ; 107 
 2899 ; Лот монет Чехословакии (4шт) ; 1963-1976 ;  ; Cu-Ni,Br,A ; VF-/VF+ ; 14 ; kai2009 ; 37 
 2900 ; Лот монет Югославии (4шт) ; 1965-1987 ;  ; Cu-Ni, Лат ; VF/XF+ ; 22 ; Rustman ; 23 
 2901 ; Лот монет Кении (4шт) ; 1975,1990 ;  ; Cu-Ni,Fe,Л ; VF- ; 36 ; alskr ; 44 
 2902 ; Лот монет Испании (6шт) ; 1975-1987 ;  ; Cu-Ni,Al,Л ; VF/XF ; 15 ; nikolay ; 40 
 2903 ; Лот монет Чехословакии: 6шт ; 20 век ;  ; Al,Cu-Ni,Л ; VF-/XF- ; 11 ; kai2009 ; 35 
 2904 ; Лот монет Франции (6шт) ; 1963-1986 ;  ; Cu-Ni,Cu-Z ; XF-/XF+ ; 13 ; nikolay ; 34 
 2905 ; Лот монет Польши (7шт), Чехословакии (1шт) ; 1949-1978 ;  ; Al ; F-VF/XF ; 14 ; kai2009 ; 37 
 2906 ; Лот монет Болгарии: 1, 2, 5, 20, 50 стотинок (6шт) ; 1974-1999 ;  ; Cu-Ni,лату ; VF/AU ; 6 ; UFO333 ; 32 
 2907 ; Лот монет Туниса (7шт),Чехословакии (1шт) ; 1960-1963 ;  ; Br,Al ; VF-/VF+ ; 12 ; UFO333 ; 32 
 2908 ; Лот монет Омана (4шт) ; 20 век ;  ; Cu-Ni,Ж/м ; AU ; 28 ; Siluminov ; 107 
 2909 ; Лот монет Норвегии (5шт) ; 1953-1956 ;  ; Cu-Ni,Br ; VF-/XF- ; 34 ; nikolay ; 79 
 2910 ; Лот монет Украины:25,10,5 копеек (6шт) ; 1992,2004,2006 ;  ; Cu-Ni,Br ; XF-/AU ; 14 ; UFO333 ; 15 
 2911 ; Лот монет Украины: 1 гривна,50,25,10,5,2,1 коп (7шт) ; 1992-2008 ;  ; Латунь,St ; XF-/XF+ ; 14 ; Shrrv ; 15 
 2912 ; Лот монет Испании: 5шт ; 20 век ;  ; Cu-Ni,Al ; VF+/XF+ ; 9 ; valsv ; 31 
 2913 ; Лот монет Португалии: 7шт ; 20 век ;  ; Cu-Ni ; VF+/XF+ ; 30 ; ask ; 67 
 2914 ; Лот монет Польши: 6шт ; 20 век ;  ; Al ; VF/XF- ; 8 ; UFO333 ; 32 
 2915 ; Лот монет Испании: 9шт ; 20 век ;  ; Cu-Ni,Al,A ; VF/XF- ; 32 ; Siluminov ; 32 
 2916 ; Лот монет Испании: 10шт ; 20 век ;  ; Cu-Ni,Al,A ; VF+/AU ; 19 ; asternox ; 41 
 2917 ; Лот монет Испании: 7шт ; 20 век ;  ; Cu-Ni,Al,A ; VF+/XF ; 6 ; Siluminov ; 32 
 2918 ; Лот монет Испании: 5шт ; 20 век ;  ; Cu-Ni,Al,A ; VF/XF+ ; 12 ; Siluminov ; 32 
 2919 ; Лот монет Тайланда: 6шт ; 20 век ;  ; Cu-Ni,Лату ; XF/AU ; 22 ; Sterh ; 23 
 2920 ; Лот монет Тайланда: 6шт ; 20 век ;  ; Cu-Ni,Лату ; XF/AU ; 21 ; UFO333 ; 22 
 2921 ; Лот монет Тайланда: 5шт ; 20 век ;  ; Cu-Ni,Лату ; VF-/AU ; 17 ; UFO333 ; 26 
 2922 ; Лот иностранных монет: 9шт ; 20 век ;  ; Cu-Ni,Лату ; VF/XF ; 22 ; alskr ; 35 
 2923 ; Лот иностранных монет: 7шт ; 20 век ;  ; Cu-Ni,Cu,A ; VF/XF ; 17 ; Т-80 ; 110 
 2924 ; Лот монет Франции: 8шт ; 20 век ;  ; Al,Al/Br,Z ; VF-/XF- ; 19 ; nikolay ; 60 
 2925 ; Лот монет Франции: 6шт ; 20 век ;  ; Al/Br,Cu-N ; VF/XF ; 25 ; nikolay ; 49 
 2926 ; Лот монет Франции: 6шт ; 20 век ;  ; Al/Br,Al ; VF/XF ; 22 ; nikolay ; 49 
 2927 ; Лот монет Франции: 6шт ; 20 век ;  ; Al/Br,Cu-N ; VF/AU ; 55 ; !give me! ; 193 
 2928 ; Лот иностранных монет: 8шт ; 20 век ;  ; Cu-Ni,Лату ; VF-/XF ; 7 ; garf ; 44 
 2929 ; Лот монет Испании: 5шт ; 20 век ;  ; Cu-Ni,Al/B ; VF/XF+ ; 5 ; UFO333 ; 31 
 2930 ; Лот монет Греции: 7шт ; 20 век ;  ; Cu-Ni,лату ; VF/AU ; 15 ; nikolay ; 79 
 2931 ; Лот монет Греции: 8шт ; 20 век ;  ; Cu-Ni,лату ; VF/AU ; 14 ; nikolay ; 54 
 2932 ; Лот монет Бельгии: 6шт ; 20 век ;  ; Cu-Ni,Ni/B ; VF-/XF- ; 25 ; Siluminov ; 34 
 2933 ; Лот монет Бельгии: 6шт ; 20 век ;  ; Cu-Ni,Ni/B ; VF/XF+ ; 33 ; chekist ; 35 
 2934 ; Лот монет Греции: 4шт ; 20 век ;  ; Cu-Ni,лату ; VF+/AU ; 23 ; nikolay ; 50 
 2935 ; Лот монет Греции: 7шт ; 20 век ;  ; Cu-Ni,лату ; VF/XF ; 16 ; nikolay ; 51 
 2936 ; Лот монет Норвегии: 7шт ; 20 век ;  ; Cu-Ni,Br ; VF/XF ; 37 ; tdp ; 85 
 2937 ; Лот монет Норвегии: 5шт ; 20 век ;  ; Cu-Ni,Br ; VF/XF ; 22 ; tdp ; 99 
 2938 ; Лот монет Норвегии: 6шт ; 20 век ;  ; Cu-Ni,Br ; VF-/XF- ; 27 ; nikolay ; 79 
 2939 ; Лот монет Норвегии: 8шт ; 20 век ;  ; Cu-Ni,Br ; VF/AU ; 13 ; tdp ; 85 
 2940 ; Лот монет Греции: 6шт ; 20 век ;  ; Cu-Ni,Лату ; VF/XF ; 11 ; nikolay ; 79 
 2941 ; Лот монет Дании: 9шт ; 20 век ;  ; Br,Cu-Ni ; VF+/XF+ ; 81 ; keldish ; 136 
 2942 ; Лот монет Дании: 7шт ; 20 век ;  ; Br,Zn ; VF-/XF ; 41 ; alskr ; 42 
 2943 ; Лот монет Португалии: 9шт ; 20 век ;  ; Cu-Ni ; VF/XF- ; 28 ; Полянка ; 45 
 2944 ; Лот монет Великобритании: 12шт ; 20 век ;  ; Br ; F-VF/XF+ ; 47 ; alex995 ; 59 
 2945 ; Лот монет США: 10шт ; 20 век ;  ; Cu-Zn ; VF/AU ; 62 ; кашира ; 95 
 2946 ; Лот монет Польши: 8шт ; 20 век ;  ; Латунь,Al ; VF ; 36 ; kai2009 ; 102 
 2947 ; Лот монет Румынии и Югославии: 9шт ; 20 век ;  ; Cu-Zn,Cu-N ; VF/XF ; 18 ; faga2003 ; 32 
 2948 ; Лот монет Румынии и Югославии: шт ; 20 век ;  ; Cu-Zn,Cu-N ; VF/XF+ ; 8 ; Siluminov ; 32 
 2849 ; 1 эре. Швеция ; 1948 ;  ; Fe ; VF+ ; 12 ; suhua ; 36 
