 5909 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; aleksander2015 ; 36 
 3467 ; 200 000 карбованцев. Украина. Чернобыль ; 1996 ;  ; Сu-Ni ; AU ; 22 ; Один54 ; 269 
 3468 ; 10 динар. Сербия ; 1943 ;  ; Zn ; VF- ; 9 ; ВЕПРЬ ; 125 
 3469 ; 25 новых пенсов. Гибралтар ; 1971 ;  ; Сu-Ni ; AU ; 27 ; sampler22 ; 340 
 3470 ; 25 новых пенсов. Гибралтар. 25 лет правления Елизаветы ; 1977 ;  ; Сu-Ni ; AU ; 31 ; SKeeper ; 236 
 3471 ; 5 франков. Швейцария ; 1982 ;  ; Cu-Ni ; AU ; 18 ; SKeeper ; 308 
 3472 ; 2 пфеннига. Германия ; 1938F ;  ; Br ; VF-XF ; 46 ; musik ; 136 
 3473 ; 2 крейцера. Австрия ; 1911 ;  ; Br ; VF-XF ; 23 ; gusar ; 74 
 3474 ; 20 раппен. Швейцария ; 1988 ;  ; Cu-Ni ; XF+ ; 12 ; killer777 ; 41 
 3475 ; 2-1/2 экю. Нидерланды ; 1992 ;  ; Cu-Ni ; AU ; 16 ; krugerrand ; 186 
 3476 ; 50 крон. Исландия ; 1978 ;  ; Cu-Ni ; AU ; 22 ; кот баюн ; 114 
 3477 ; 6 пенсов. Великобритания ; 1866 ;  ; Ag ; F-VF ; 27 ; Александ98 ; 206 
 3478 ; 25 долларов. Соломонов острова. Корабль ; 2005 ;  ; Ag ; Proof ; 30 ; asm1048576 ; 1591 
 3479 ; 1 крона. Триниад и Тобаго. Знаменитые корабли королевского флота ; 2008 ;  ; Cu-Ni ; Proof-Like ; 33 ; Bronco ; 561 
 3480 ; 1 крона. Триниад и Тобаго. Знаменитые корабли королевского флота ; 2008 ;  ; Cu-Ni ; Proof-Like ; 51 ; Bronco ; 555 
 3481 ; 1 крона. Триниад и Тобаго. Знаменитые корабли королевского флота ; 2008 ;  ; Cu-Ni ; Proof-Like ; 31 ; Bronco ; 567 
 3482 ; 1 крона. Триниад и Тобаго. Знаменитые корабли королевского флота ; 2008 ;  ; Cu-Ni ; Proof-Like ; 25 ; Bronco ; 563 
 3483 ; 1 крона. Триниад и Тобаго. Знаменитые корабли королевского флота ; 2008 ;  ; Cu-Ni ; Proof-Like ; 21 ; Bronco ; 551 
 3484 ; 1 крона. Триниад и Тобаго. Знаменитые корабли королевского флота ; 2008 ;  ; Cu-Ni ; Proof-Like ; 47 ; Ивпага ; 345 
 3485 ; 1 крона. Триниад и Тобаго. Знаменитые корабли королевского флота ; 2008 ;  ; Cu-Ni ; Proof-Like ; 25 ; Bronco ; 563 
 3486 ; 1 крона. Триниад и Тобаго. Знаменитые корабли королевского флота ; 2008 ;  ; Cu-Ni ; Proof-Like ; 18 ; torbey ; 395 
 3487 ; 5 центов. Маврикия ; 1975 ;  ; Br ; AU ; 26 ; калинов мост ; 138 
 3488 ; 5 центов. Маврикия ; 1945 ;  ; Br ; VF ; 16 ; irino4ka ; 153 
 3489 ; 2 цента. Маврикия ; 1897 ;  ; Br ; F ; 31 ; mital ; 372 
 3490 ; 2 цента. Маврикия ; 1924 ;  ; Br ; F+ ; 44 ; Dahan ; 283 
 3491 ; 2 цента. Маврикия ; 1952 ;  ; Br ; VF- ; 19 ; irino4ka ; 216 
 3492 ; 2 цента. Маврикия ; 1971 ;  ; Br ; XF ; 16 ; калинов мост ; 104 
 3493 ; 2 цента. Маврикия ; 1946 ;  ; Br ; VF+ ; 19 ; irino4ka ; 225 
 3494 ; 1 цент. Маврикия ; 1890 ;  ; Br ; VF+ ; 49 ; sax ; 2040 
 3495 ; 1 цент. Маврикия ; 1971 ;  ; Br ; XF ; 22 ; kornum ; 161 
 3496 ; 1 цент. Маврикия ; 1945 ;  ; Br ; VF ; 23 ; ВМШ ; 239 
 3497 ; 1 цент. Маврикия ; 1922 ;  ; Br ; VF ; 39 ; mital ; 294 
 3498 ; 1/4 рупии. Маврикия ; 1950 ;  ; Cu-Ni ; VF+ ; 25 ; kornum ; 184 
 3499 ; 1/4 рупии. Маврикия ; 1975 ;  ; Cu-Ni ; XF ; 22 ; kornum ; 161 
 3500 ; 1 крона. Норвегия ; 1950 ;  ; Cu-Ni ; XF ; 14 ; killer777 ; 46 
 3501 ; 5 крон. Норвегия ; 1963 ;  ; Cu-Ni ; VF+ ; 30 ; CASABLANCA ; 53 
 3502 ; 50 эре. Норвегия ; 1926 ;  ; Cu-Ni ; VF ; 22 ; killer777 ; 41 
 3503 ; 50 эре. Норвегия ; 1957 ;  ; Cu-Ni ; XF ; 14 ; vihufa ; 92 
 3504 ; 50 эре. Норвегия ; 1942 ;  ; Zn ; F+ ; 11 ; Magger ; 57 
 3505 ; 10 эре. Норвегия ; 1942 ;  ; Zn ; F ; 15 ; Magger ; 51 
 3506 ; 10 рупии. Маврикия ; 1997 ;  ; Cu-Ni ; XF+ ; 12 ; killer777 ; 36 
 3507 ; 5 крон. Швеция ; 1972 ;  ; Cu-Ni ; AU ; 15 ; SKeeper ; 153 
 3508 ; 1 пенни. Великобритания ; 1965 ;  ; Br ; XF ; 18 ; killer777 ; 38 
 3509 ; 5 эре. Дания ; 1966 ;  ; Br ; XF ; 19 ; killer777 ; 41 
 3510 ; 20 пара. Югославия ; 1965 ;  ; ж/м ; VF- ; 12 ; killer777 ; 23 
 3511 ; 2 лева. Болгария. 150  лет Добри Чинтулову ; 1972 ;  ; Cu-Ni ; AU ; 34 ; Arlekino82 ; 203 
 3412 ; 5 лир. Ватикан ; 1958 ;  ; Al ; AU ; 18 ; vladimirov ; 208 
 3413 ; 1 лира. Ватикан ; 1958 ;  ; Al ; AU ; 22 ; SKeeper ; 141 
 3414 ; 20 лир. Ватикан ; 1964 ;  ; Al/Br ; AU ; 28 ; SKeeper ; 141 
 3415 ; 20 лир. Ватикан ; 1962 ;  ; Al/Br ; AU ; 20 ; vladimirov ; 300 
 3416 ; 20 лир. Ватикан ; 1966 ;  ; Al/Br ; AU ; 16 ; jj ; 184 
 3417 ; 20 лир. Ватикан ; 1958 ;  ; Al/Br ; AU ; 25 ; vladimirov ; 357 
 3418 ; 20 лир. Ватикан ; 1965 ;  ; Al/Br ; AU ; 25 ; SKeeper ; 123 
 3419 ; 2 гривны. Украина. Рождество ; 2002 ;  ; Cu-Ni ; XF ; 45 ; Victory-2001 ; 3481 
 3420 ; 2 лиры. Италия ; 1950 ;  ; Al ; XF+ ; 24 ; lestes ; 308 
 3421 ; 1 лира. Италия ; 1950 ;  ; Al ; AU ; 24 ; banks ; 288 
 3422 ; 2 лиры. Ватикан ; 1936 ;  ; St ; XF ; 23 ; igor26 ; 381 
 3423 ; 50 чентезимо. Ватикан ; 1936 ;  ; St ; AU ; 47 ; igor26 ; 545 
 3424 ; 50 чентезимо. Ватикан ; 1940 ;  ; St ; XF+ ; 27 ; lestes ; 306 
 3425 ; 1 лира. Ватикан ; 1936 ;  ; St ; XF+ ; 48 ; batuke ; 414 
 3426 ; 20 чентезимо. Ватикан ; 1936 ;  ; St ; AU ; 28 ; zuza ; 386 
 3427 ; 20 чентезимо. Ватикан ; 1940 ;  ; St ; AU ; 23 ; batuke ; 305 
 3428 ; 10 чентезимо. Ватикан ; 1936 ;  ; Br ; XF+ ; 69 ; igor26 ; 718 
 3429 ; 5 чентезимо. Ватикан ; 1936 ;  ; Br ; AU ; 38 ; $$$ ; 654 
 3430 ; 1 лиард Франция ; 1633 ;  ; Cu ; F ; 30 ; сама71 ; 801 
 3431 ; 1 лиард Франция ; 1658 ;  ; Cu ; F ; 11 ; Хаа ; 627 
 3432 ; 5 сантимов. Колонии Франции ; 1825 ;  ; Cu ; VF+ ; 29 ; dmivanych ; 797 
 3433 ; 500 лир. Ватикан ; 1963 ;  ; Ag ; AU ; 37 ; kornum ; 816 
 3434 ; 500 лир. Ватикан ; 1964 ;  ; Ag ; AU ; 19 ; aleksss ; 642 
 3435 ; 500 лир. Ватикан ; 1962 ;  ; Ag ; AU ; 50 ; d-master ; 1457 
 3436 ; 500 лир. Ватикан ; 1958 ;  ; Ag ; AU ; 31 ; aleksss ; 738 
 3437 ; 500 лир. Ватикан ; 1965 ;  ; Ag ; AU ; 23 ; aleksss ; 816 
 3438 ; 500 лир. Ватикан ; 1958 ;  ; Ag ; AU ; 46 ; d-master ; 1733 
 3439 ; 500 лир. Ватикан ; 1966 ;  ; Ag ; AU ; 33 ; aleksss ; 698 
 3440 ; 10 лир. Ватикан ; 1936 ;  ; Ag ; XF ; 58 ; агент Холдер ; 1665 
 3441 ; 10 лир. Ватикан ; 1939 ;  ; Ag ; AU ; 44 ; агент Холдер ; 2223 
 3442 ; 5 лир. Ватикан ; 1936 ;  ; Ag ; AU ; 72 ; zuza ; 2001 
 3443 ; 5 лир. Ватикан ; 1934 ;  ; Ag ; XF ; 24 ; mmmm ; 777 
 3444 ; 5 лир. Ватикан ; 1939 ;  ; Ag ; AU ; 57 ; remetalk ; 2500 
 3445 ; 5 франков. Франция ; 1871 ;  ; Ag ; VF+ ; 55 ; Мотя ; 2604 
 3446 ; 2 франка. Франция ; 1887 ;  ; Ag ; VF+ ; 59 ; dmivanych ; 1250 
 3447 ; 2 франка. Франция ; 1871 ;  ; Ag ; VF ; 52 ; VOLKODAVS5 ; 686 
 3448 ; 1 франк. Франция ; 1867 ;  ; Ag ; VF ; 42 ; kornum ; 805 
 3449 ; 1 франк. Франция ; 1887 ;  ; Ag ; XF ; 40 ; dmivanych ; 944 
 3450 ; 20 сантимов. Франция ; 1850 ;  ; Ag ; XF ; 45 ; dmivanych ; 726 
 3451 ; 20 сантимов. Франция ; 1867 ;  ; Ag ; VF+ ; 52 ; 1023oxana ; 504 
 3452 ; 500 лир. Ватикан ; 1979 ;  ; Ag ; AU ; 33 ; d-master ; 816 
 3453 ; 500 лир. Ватикан ; 1977 ;  ; Ag ; AU ; 37 ; wwn ; 686 
 3454 ; 500 лир. Ватикан ; 1978 ;  ; Ag ; AU ; 18 ; SKeeper ; 612 
 3455 ; 1000 лир. Ватикан ; 1978 ;  ; Ag ; AU ; 32 ; wwn ; 975 
 3456 ; 500 лир. Ватикан ; 1978 ;  ; Ag ; AU ; 32 ; SKeeper ; 604 
 3457 ; 100 лир. Ватикан ; 1979 ;  ; St ; AU ; 23 ; SKeeper ; 148 
 3458 ; 50 лир. Ватикан ; 1979 ;  ; St ; AU ; 18 ; SKeeper ; 148 
 3459 ; 10 лир. Ватикан ; 1979 ;  ; Al ; AU ; 41 ; lestes ; 184 
 3460 ; 20 лир. Ватикан ; 1979 ;  ; Al/Br ; AU ; 20 ; SKeeper ; 101 
 3461 ; 200 лир. Ватикан ; 1979 ;  ; Al/Br ; AU ; 22 ; SKeeper ; 111 
 3362 ; 1 пенни. Ирландия ; 1964 ;  ; Cu ; XF ; 23 ; killer777 ; 57 
 3363 ; 1 цент. Британское Северное Борнео ; 1890 ;  ; Cu ; VF- ; 13 ; niger ; 500 
 3364 ; 1 цент. Саравак ; 1927 ;  ; Cu ; VF- ; 61 ; pissimist ; 357 
 3365 ; Фартинг. Великобритания ; 1864 ;  ; Cu ; F ; 14 ; Bronco ; 148 
 3366 ; 1/2 пайсы. Индия ; 1924 ;  ; Cu ; VF ; 26 ; nfandeev ; 124 
 3367 ; 1/2 цента. Нидерландская Индия ; 1945 ;  ; Cu ; XF+ ; 17 ; $$$ ; 67 
 3368 ; 1 цент. Стрейтс-Сетлмент ; 1920 ;  ; Cu ; VF ; 23 ; трутень ; 137 
 3369 ; Фартинг. Великобритания ; 1903 ;  ; Cu ; VF ; 26 ; igor26 ; 251 
 3370 ; Фартинг. Великобритания ; 1906 ;  ; Cu ; VF ; 28 ; Jeff ; 257 
 3371 ; 1 пайс. Индия ; 1953 ;  ; Cu ; VF- ; 24 ; 000SABik ; 113 
 3372 ; 1 пайс. Индия ; 1943 ;  ; Cu ; F-VF ; 8 ; shtainn ; 148 
 3373 ; 1/4 анны. Британская Индия ; 1940 ;  ; Cu ; VF ; 20 ; кот баюн ; 55 
 3374 ; 1/2 рупии. Индия ; 1947 ;  ; Cu-Ni ; F-VF ; 10 ; кот баюн ; 101 
 3375 ; 1/4 рупии. Индия ; 1947 ;  ; Cu-Ni ; F-VF ; 18 ; кот баюн ; 82 
 3376 ; 2 шиллинга. Великобритания ; 1944 ;  ; Ag ; F-VF ; 12 ; кот баюн ; 227 
 3377 ; Динейро. Испания. Карлос III ; 1707-1710 ;  ; Cu ; F ; 25 ; aziya11 ; 211 
 3378 ; Пайса. Индия. Датия. Мухаммад Акбар II ; 1806-1837 ;  ; Cu ; F ; 25 ; mkm1968 ; 279 
 3379 ; Пайса. Индия. Датия. Мухаммад Акбар II ; 1806-1837 ;  ; Cu ; F ; 16 ; mkm1968 ; 279 
 3380 ; Пайса. Индия. Оргха. Шах Алам II ; 1776-1817 ;  ; Cu ; F ; 20 ; mkm1968 ; 279 
 3381 ; 100 лир. Ватикан ; 1965 ;  ; St ; AU ; 22 ; Александр007 ; 155 
 3382 ; 100 лир. Ватикан ; 1964 ;  ; St ; AU ; 34 ; Александр007 ; 165 
 3383 ; 50 лир. Ватикан ; 1966 ;  ; St ; AU ; 30 ; SKeeper ; 147 
 3384 ; 100 лир. Ватикан ; 1962 ;  ; St ; AU ; 26 ; wwn ; 171 
 3385 ; 100 лир. Ватикан ; 1957 ;  ; St ; AU ; 25 ; SKeeper ; 167 
 3386 ; 100 лир. Ватикан ; 1966 ;  ; St ; AU ; 17 ; SKeeper ; 155 
 3387 ; 100 лир. Ватикан ; 1958 ;  ; St ; AU ; 16 ; SKeeper ; 129 
 3388 ; 50 лир. Ватикан ; 1962 ;  ; St ; AU ; 35 ; wwn ; 173 
 3389 ; 50 лир. Ватикан ; 1958 ;  ; St ; AU ; 16 ; jj ; 175 
 3390 ; 50 лир. Ватикан ; 1964 ;  ; St ; AU ; 23 ; SKeeper ; 147 
 3391 ; 10 лир. Ватикан ; 1950 ;  ; Al ; XF ; 24 ; vladimirov ; 459 
 3392 ; 10 лир. Ватикан ; 1950 ;  ; Al ; XF+ ; 46 ; vladimirov ; 466 
 3393 ; 10 лир. Ватикан ; 1962 ;  ; Al ; AU ; 31 ; SKeeper ; 306 
 3394 ; 10 лир. Ватикан ; 1958 ;  ; Al ; XF+ ; 19 ; batuke ; 213 
 3395 ; 10 лир. Ватикан ; 1964 ;  ; Al ; AU ; 29 ; jj ; 180 
 3396 ; 10 лир. Ватикан ; 1965 ;  ; Al ; AU ; 29 ; jj ; 199 
 3397 ; 10 лир. Ватикан ; 1966 ;  ; Al ; AU ; 21 ; wwn ; 200 
 3398 ; 50 лир. Ватикан ; 1965 ;  ; St ; AU ; 29 ; jj ; 204 
 3399 ; 2 лиры. Ватикан ; 1964 ;  ; Al ; XF ; 24 ; jj ; 171 
 3400 ; 2 лиры. Ватикан ; 1965 ;  ; Al ; AU ; 40 ; batuke ; 203 
 3401 ; 2 лиры. Ватикан ; 1966 ;  ; Al ; AU ; 23 ; jj ; 180 
 3402 ; 5 лир. Ватикан ; 1962 ;  ; Al ; AU ; 28 ; doc2 ; 305 
 3403 ; 2 лиры. Ватикан ; 1962 ;  ; Al ; AU ; 20 ; jj ; 228 
 3404 ; 2 лиры. Ватикан ; 1958 ;  ; Al ; AU ; 40 ; batuke ; 153 
 3405 ; 1 лира. Ватикан ; 1965 ;  ; Al ; AU ; 36 ; jj ; 199 
 3406 ; 1 лира. Ватикан ; 1962 ;  ; Al ; AU ; 19 ; banks ; 203 
 3407 ; 1 лира. Ватикан ; 1966 ;  ; Al ; AU ; 18 ; jj ; 156 
 3408 ; 1 лира. Ватикан ; 1964 ;  ; Al ; AU ; 27 ; batuke ; 201 
 3409 ; 5 лир. Ватикан ; 1965 ;  ; Al ; AU ; 50 ; doc2 ; 309 
 3410 ; 5 лир. Ватикан ; 1966 ;  ; Al ; AU ; 13 ; doc2 ; 305 
 3411 ; 5 лир. Ватикан ; 1964 ;  ; Al ; AU ; 22 ; jj ; 183 
 3312 ; 1/10 гульдена. Нидерландская Индия ; 1913 ;  ; Ag ; F+ ; 20 ; Один54 ; 150 
 3313 ; 10 эре. Швеция ; 1959 ;  ; Ag ; XF ; 18 ; Один54 ; 100 
 3314 ; 4 скиллинга. Швеция ; 1854 ;  ; Ag ; F ; 9 ; кот баюн ; 233 
 3315 ; 10 центов. Нидерланды ; 1914 ;  ; Ag ; F ; 23 ; killer777 ; 47 
 3316 ; 1 гульден. Нидерланды ; 1954 ;  ; Ag ; XF ; 18 ; rem ; 168 
 3317 ; 1-1/4 скиллинга. Дания ; 1841 ;  ; Ag ; F-VF ; 31 ; 1000 ; 1441 
 3318 ; 2 пиастра. Египет ; 1917 ;  ; Ag ; VF ; 35 ; PPS ; 781 
 3319 ; 10 центов. Либерия ; 1961 ;  ; Ag ; VF- ; 28 ; nfandeev ; 200 
 3320 ; 25 пиастров. Сирия ; 1947 ;  ; Ag ; VF ; 26 ; Волк33 ; 277 
 3321 ; 1 дайм. США ; 1964 ;  ; Ag ; XF ; 5 ; shaxter2015 ; 100 
 3322 ; 1/10 гульдена. Нидерландская Индия ; 1915 ;  ; Ag ; VF- ; 10 ; ВНВ ; 108 
 3323 ; 6 пенсов. Великобритания ; 1942 ;  ; Ag ; VF- ; 5 ; shtainn ; 101 
 3324 ; 6 пенсов. Австралия ; 1951 ;  ; Ag ; VF ; 15 ; ВНВ ; 114 
 3325 ; 25 эре. Дания ; 1874 ;  ; Ag ; F ; 27 ; CASH ; 177 
 3326 ; 6 пенсов. ЮАР ; 1933 ;  ; Ag ; F+ ; 11 ; banks ; 153 
 3327 ; 25 эре. Швеция ; 1943 ;  ; Ag ; VF-XF ; 22 ; АЛЕКСАНДР72 ; 200 
 3328 ; 6 пенсов. Великобритания ; 1914 ;  ; Ag ; VF ; 10 ; Хемуль ; 161 
 3329 ; 10 центов. Нидерланды ; 1925 ;  ; Ag ; VF ; 16 ; Один54 ; 100 
 3330 ; 1/10 гульдена. Нидерландская Индия ; 1912 ;  ; Ag ; F-VF ; 10 ; Александ98 ; 102 
 3331 ; 10 эре. Швеция ; 1859 ;  ; Ag ; F ; 29 ; Monata ; 320 
 3332 ; 50 сантимов. Франция ; 1910 ;  ; Ag ; VF-XF ; 16 ; Fontan ; 108 
 3333 ; 1/2 десимо. Чили. Отверстие ; 1884 ;  ; Ag ; F ; 25 ; CASH ; 102 
 3334 ; 50 филс. Ирак ; 1948 ;  ; Ag ; VF ; 36 ; d-master ; 213 
 3335 ; 50 куруш. Турция ; 1947 ;  ; Ag ; VF- ; 25 ; shaxter2015 ; 155 
 3336 ; 4 шиллинга. Мекленбург-Шверин ; 1763 ;  ; Ag ; F ; 45 ; mkm1968 ; 495 
 3337 ; 1 франк. Швейцария ; 1894 ;  ; Ag ; VF- ; 8 ; CASH ; 153 
 3338 ; 1 гирш. Эфиопия ;  ;  ; Ag ; VF ; 17 ; vesta78 ; 216 
 3339 ; 100 йен. Япония ;  ;  ; Ag ; VF-XF ; 18 ; kostyuksa ; 305 
 3340 ; 6 пенсов. Великобритания ; 1931 ;  ; Ag ; VF- ; 15 ; Один54 ; 150 
 3341 ; 5 пиастров. Египет ; 1917 ;  ; Ag ; F ; 25 ; CASH ; 126 
 3342 ; 10 центов. Нидерланды ; 1917 ;  ; Ag ; F ; 14 ; ВНВ ; 55 
 3343 ; 2 дирхама. Марокко ; 2002 ;  ; Cu-Ni ; AU ; 8 ; killer777 ; 50 
 3344 ; 3 пенса. Британский Южно-Африканский союз. Георг V ; 1926 ;  ; Ag ; F-VF ; 13 ; t_v_v ; 100 
 3345 ; 6 пенсов. Британский Южно-Африканский союз. Георг V ; 1932 ;  ; Ag ; F-VF ; 13 ; Jeff ; 117 
 3346 ; 500 эскудо. Португалия. Святой Антоний ; 1995 ;  ; Ag ; XF+ ; 21 ; спарта ; 517 
 3347 ; 500 эскудо. Португалия ; 2000 ;  ; Ag ; XF+ ; 17 ; спарта ; 481 
 3348 ; 500 эскудо. Португалия. Присоединение Макао к Китаю ; 1999 ;  ; Ag ; XF ; 19 ; mask ; 432 
 3349 ; 50 пфеннигов. Веймар ; 1921 ;  ; Al ; XF ; 19 ; 06031983 ; 101 
 3350 ; 10 крон. Норвегия ; 2011 ;  ; Al/Br ; AU ; 17 ; vihufa ; 249 
 3351 ; 10 крон. Норвегия ; 2010 ;  ; Al/Br ; AU ; 17 ; vihufa ; 257 
 3352 ; 10 крон. Норвегия ; 2008 ;  ; Al/Br ; AU ; 15 ; vihufa ; 261 
 3353 ; 500 эскудо. Португалия. Васко да Гама ; 1998 ;  ; Ag ; XF+ ; 12 ; страус ; 510 
 3354 ; 1 лира. Турция ; 2015 ;  ; Би/м ; AU ; 9 ; спарта ; 32 
 3355 ; 50 пара. Югославия ; 1925 ;  ; Cu-Ni ; VF ; 18 ; dvlless ; 107 
 3356 ; 5 рупий. Цейлон. 2500 лет Буддизму ; 1957 ;  ; Ag ; XF- ; 54 ; 19efim63 ; 2353 
 3357 ; 1 пенни. Великобритания. Токен ; 1850 ;  ; Cu ; F+ ; 24 ; Jeff ; 107 
 3358 ; 1/2 пенни. Канада. Монреаль. Токен ; 1844 ;  ; Cu ; F+ ; 14 ; ВНВ ; 408 
 3359 ; 1 цент. Британская Малайя ; 1939 ;  ; Cu ; VF ; 19 ; nfandeev ; 100 
 3360 ; 1 цент. Канада ; 1929 ;  ; Cu ; VF- ; 24 ; ВНВ ; 65 
 3361 ; 1/2 пенни. Канада.  Токен ; 1857 ;  ; Cu ; F ; 13 ; трутень ; 340 
 3262 ; 5 евро. Австрия. Зимний спорт ; 2005 ;  ; Ag ; AU ; 27 ; Mike! ; 510 
 3263 ; 1/10 гульдена. Нидерландская Индия ; 1930 ;  ; Ag ; VF+ ; 17 ; Mike! ; 116 
 3264 ; 10 эре. Дания ; 1894 ;  ; Ag ; VF ; 44 ; asru ; 914 
 3265 ; 2 стубера. Зеландия ; 1735 ;  ; Ag ; VF- ; 23 ; Mike! ; 642 
 3266 ; 5 центов. Нидерланды ; 1863 ;  ; Ag ; VF+ ; 19 ; sveta6369 ; 444 
 3267 ; 1 доллар. США. ; 1990 ;  ; Ag ; AU ; 29 ; Mike! ; 1666 
 3268 ; 1 доллар. США. ; 1991D ;  ; Ag ; AU ; 37 ; Mike! ; 1660 
 3269 ; 1 доллар. США. ; 1991D ;  ; Ag ; AU ; 29 ; Mike! ; 1550 
 3270 ; 1 доллар. Канада ; 1959 ;  ; Ag ; XF ; 23 ; Mike! ; 1125 
 3271 ; 1 доллар. Канада ; 1952 ;  ; Ag ; XF ; 41 ; Mike! ; 1653 
 3272 ; 1 доллар. Каймановы острова ; 1973 ;  ; Ag ; XF+ ; 23 ; Mike! ; 1216 
 3273 ; 1 доллар. Канада. Калгари ; 1975 ;  ; Ag ; XF+ ; 30 ; Mike! ; 803 
 3274 ; 1 доллар. Канада. Британская Колумбия ; 1971 ;  ; Ag ; XF+ ; 32 ; miranda ; 972 
 3275 ; 1 доллар. Канада. Игры содружества ; 1978 ;  ; Ag ; XF+ ; 37 ; Mike! ; 878 
 3276 ; 1 доллар. Канада. Ж/д ; 1981 ;  ; Ag ; Proof ; 48 ; Mike! ; 1033 
 3277 ; 25 фунтов. Джерси. Серебряная свадьба ; 1972 ;  ; Ag ; XF+ ; 21 ; Mike! ; 2000 
 3278 ; 1 крона. Остров Вознесения. Коронация ; 1978 ;  ; Ag ; AU ; 56 ; Zигзаг ; 2100 
 3279 ; 10 квача. Малави. Независимость ; 1964 ;  ; Ag ; AU ; 31 ; Zигзаг ; 2544 
 3280 ; 5 пенго. Венгрия. Святой Стефан ; 1938 ;  ; Ag ; AU ; 43 ; Schwer ; 2440 
 3281 ; 1 крона. Остров Мэн. Серебряный юбилей ; 1977 ;  ; Ag ; AU ; 13 ; Mike! ; 1530 
 3282 ; 1 крона. Тристан-да-Кунья. Коронация ; 1978 ;  ; Ag ; Proof ; 16 ; Mike! ; 1357 
 3283 ; 500 франков. Бельгия. 150 лет независимости ; 1980 ;  ; Ag ; XF ; 12 ; Emv ; 499 
 3284 ; 50 центов. Канада ; 1965 ;  ; Ag ; XF ; 11 ; Mike! ; 456 
 3285 ; 50 центов. Канада ; 1964 ;  ; Ag ; XF ; 32 ; shaxter2015 ; 600 
 3286 ; 50 центов. Канада ; 1945 ;  ; Ag ; XF- ; 13 ; Mike! ; 510 
 3287 ; 50 центов. Канада ; 1940 ;  ; Ag ; XF ; 16 ; Mike! ; 510 
 3288 ; 1 дайм. США ; 1916 ;  ; Ag ; F-VF ; 18 ; АЛЕКСАНДР72 ; 283 
 3289 ; 10 стотинок. Болгария ; 1881 ;  ; Cu ; VF ; 37 ; dmivanych ; 750 
 3290 ; 2000 динаров. Иран ; 1330 ;  ; Ag ; VF ; 21 ; PPS ; 918 
 3291 ; 1 дайм. США ; 1960 ;  ; Ag ; VF ; 17 ; кот баюн ; 136 
 3292 ; 5 така Лаос ;  ;  ; St ; AU ; 22 ; kornum ; 120 
 3293 ; Монета Лаос ;  ;  ; St ; AU ; 27 ; kornum ; 133 
 3294 ; 5 центов. Бельгийское Конго ; 1909 ;  ; Cu-Ni ; VF- ; 13 ; SKeeper ; 258 
 3295 ; 50 сантимов. Франция ; 1925 ;  ; Al/Br ; VF ; 15 ; killer777 ; 48 
 3296 ; 5 франков. Бельгийское Конго ; 1947 ;  ; Al/Br ; VF- ; 15 ; SKeeper ; 156 
 3297 ; 20 сантимов. Франция ; 1942 ;  ; Zn ; VF- ; 8 ; Magger ; 63 
 3298 ; 1/4 рупии. Пакистан ; 1949 ;  ; Cu-Ni ; VF+ ; 20 ; vb96 ; 155 
 3299 ; 5 марок. ГДР. 20 лет ГДР ; 1969 ;  ; Cu-Ni-Zn ; VF+ ; 19 ; Brawler ; 101 
 3300 ; 1 цент. Нидерланды ; 1944 ;  ; Zn ; VF- ; 14 ; калинов мост ; 51 
 3301 ; 10 пара. Турция ; 1327 ;  ; Cu-Ni ; VF- ; 19 ; спартак 30 ; 120 
 3302 ; Монета Непал ;  ;  ; Al ; VF ; 19 ; кот баюн ; 55 
 3303 ; 10 марок. Финляндия ; 1993 ;  ; Би/м ; VF+ ; 10 ; кот баюн ; 92 
 3304 ; 10 бат. Тайланд ;  ;  ; Би/м ; VF+ ; 10 ; killer777 ; 42 
 3305 ; 2 марки. ФРГ ; 1963 ;  ; Cu-Ni ; VF+ ; 70 ; maleevsw ; 550 
 3306 ; 3 пенса. Австралия ; 1942 ;  ; Ag ; VF-XF ; 12 ; Один54 ; 100 
 3307 ; 10 эре. Швеция ; 1961 ;  ; Ag ; VF-XF ; 15 ; Один54 ; 100 
 3308 ; 5 пиастров. Египет ; 1953 ;  ; Ag ; VF ; 30 ; Серж PirGS ; 300 
 3309 ; 25 эре. Швеция ; 1944 ;  ; Ag ; VF ; 10 ; АЛЕКСАНДР72 ; 79 
 3310 ; 1/2 франка. Швейцария ; 1907 ;  ; Ag ; VF- ; 27 ; Один54 ; 200 
 3311 ; 6 пенсов. Великобритания ; 1933 ;  ; Ag ; VF ; 24 ; Один54 ; 150 
 3212 ; 1 марка. Финляндия ; 1967 ;  ; Ag ; VF+ ; 9 ; юрий73 ; 102 
 3213 ; 2 кроны. Дания. 25-летие свадьбы короля Кристиана Х и королевы Александрины ; 1923 ;  ; Ag ; XF ; 32 ; miranda ; 1338 
 3214 ; 2 кроны. Дания. 25-летие правления короля Христиана Х ; 1937 ;  ; Ag ; XF ; 45 ; miranda ; 848 
 3215 ; 2 кроны. Дания. Совершеннолетие принцессы Маргрете ; 1958 ;  ; Ag ; AU ; 41 ; aleksss ; 700 
