 3283 ; Бона иностранная ;  ;  ;  ;  ; 33 ; jj ; 34 
 2463 ; 1/2 шиллинга. Австрия ; 1925 ;  ; Ag ; AU ; 36 ; vitapool ; 258 
 2464 ; 1/2 шиллинга. Австрия ; 1926 ;  ; Ag ; XF+ ; 46 ; vansy ; 138 
 2465 ; 1 крона. Австрия ; 1912 ;  ; Ag ; AU ; 43 ; vitapool ; 169 
 2466 ; 1 крона. Австрия ; 1915 ;  ; Ag ; AU ; 49 ; Бамс ; 157 
 2467 ; 1/2 доллара. США ; 1965 ;  ; Ag ; AU ; 68 ; obob999 ; 206 
 2468 ; 1 дайм. США ; 1957 ;  ; Ag ; VF+ ; 31 ; kostik_ne ; 58 
 2469 ; 1/2 доллара. США. Джордж Вашингтон ; 1982 ;  ; Ag ; AU ; 13 ; petrserebr ; 362 
 2470 ; 1/2 доллара. США ; 1964 ;  ; Ag ; AU ; 36 ; jef688 ; 147 
 2471 ; 1 доллар. США ; 1974 ;  ; Б/м ; AU ; 22 ; SadKo ; 135 
 2472 ; 1/2 доллара. США ; 1994 ;  ; Cu-Ni ; AU ; 27 ; kro ; 138 
 2473 ; 1 шиллинг. Великобритания ; 1936 ;  ; Ag ; VF ; 43 ; vitapool ; 181 
 2474 ; 3 пенса. Великобритания ; 1920 ;  ; Ag ; VF ; 43 ; kro ; 73 
 2475 ; 3 пенса. Великобритания ; 1918 ;  ; Ag ; VF+ ; 59 ; kro ; 357 
 2476 ; 25 пенсов. Великобритания. Серебрянный юбилей правления ; 1977 ;  ; Cu-Ni ; AU ; 56 ; kro ; 79 
 2477 ; 1 флорин. Австралия. Открытие парламента в Канберре ; 1927 ;  ; Ag ; VF- ; 48 ; vitapool ; 379 
 2478 ; 1/2 пенни. Австралия ; 1938 ;  ; Br ; VF+ ; 29 ; В1951 ; 51 
 2479 ; 1/2 пенни. Австралия ; 1934 ;  ; Br ; VF+ ; 17 ; В1951 ; 53 
 2480 ; 5 шиллингов. Южная Африка. 300 лет со дня основания Кейптауна ; 1952 ;  ; Ag ; AU ; 29 ; lawyer ; 771 
 2481 ; 10 гульденов. Нидерланды. 25 лет правления ; 1973 ;  ; Ag ; AU ; 48 ; 542 ; 510 
 2482 ; 10 гульденов. Нидерланды. 25 лет освобождению ; 1970 ;  ; Ag ; AU ; 13 ; vitapool ; 374 
 2483 ; 2 1/2 гульдена. Нидерланды ; 1964 ;  ; Ag ; XF+ ; 62 ; Mike! ; 175 
 2484 ; 2 1/2 гульдена. Нидерланды ; 1960 ;  ; Ag ; XF ; 78 ; obob999 ; 204 
 2485 ; 2 1/2 гульдена. Нидерланды ; 1966 ;  ; Ag ; XF- ; 43 ; obob999 ; 203 
 2486 ; 2 1/2 гульдена. Нидерланды ; 1931 ;  ; Ag ; AU ; 135 ; vitapool ; 414 
 2487 ; 2 1/2 гульдена. Нидерланды ; 1931 ;  ; Ag ; VF+ ; 53 ; jef688 ; 312 
 2488 ; 2 1/2 гульдена. Нидерланды ; 1929 ;  ; Ag ; VF-XF ; 64 ; xabib ; 343 
 2489 ; 2 1/2 гульдена. Нидерланды ; 1961 ;  ; Ag ; VF-XF ; 100 ; nikoniko ; 222 
 2490 ; 2 1/2 гульдена. Нидерланды ; 1962 ;  ; Ag ; VF-XF ; 99 ; obob999 ; 169 
 2491 ; 2 1/2 гульдена. Нидерланды ; 1959 ;  ; Ag ; XF ; 79 ; Poiuyt ; 111 
 2492 ; 2 1/2 гульдена. Нидерланды ; 1963 ;  ; Ag ; XF ; 85 ; 542 ; 306 
 2493 ; 1 гульден. Нидерланды ; 1957 ;  ; Ag ; AU ; 78 ; vitapool ; 120 
 2494 ; 1 гульден. Нидерланды ; 1963 ;  ; Ag ; VF-XF ; 57 ; 542 ; 85 
 2495 ; 1 гульден. Нидерланды ; 1964 ;  ; Ag ; XF ; 33 ; 542 ; 69 
 2496 ; 1 гульден. Нидерланды ; 1965 ;  ; Ag ; XF+ ; 51 ; В1951 ; 53 
 2497 ; 1 гульден. Нидерланды ; 1923 ;  ; Ag ; VF+ ; 63 ; vitapool ; 207 
 2498 ; 1 гульден. Нидерланды ; 1966 ;  ; Ag ; XF ; 18 ; jef688 ; 82 
 2499 ; 1 гульден. Нидерланды ; 1956 ;  ; Ag ; XF- ; 63 ; obob999 ; 73 
 2500 ; 1 гульден. Нидерланды ; 1955 ;  ; Ag ; VF-XF ; 19 ; jef688 ; 40 
 2401 ; 2 марки. Баден. На золотую свадьбу ; 1906 ;  ; Ag ; AU ; 56 ; AAE2006 ; 1446 
 2402 ; 1 крейцер. Австрия ; 1816 ;  ; Cu ; VF ; 52 ; papkarlo ; 114 
 2403 ; 1 крейцер. Австрия ; 1885 ;  ; Cu ; VF+ ; 51 ; kostian1284 ; 146 
 2404 ; 1 крейцер. Австрия ; 1851 ; A ; Cu ; VF- ; 53 ; 542 ; 102 
 2405 ; 1 крейцер. Австрия ; 1851 ; A ; Cu ; VF ; 43 ; Peugene ; 120 
 2406 ; 1 крейцер. Австрия ; 1851 ; A ; Cu ; VF- ; 53 ; oks ; 83 
 2407 ; Солид. Пруссия ; 1737 ;  ; Ag ; VF- ; 94 ; vitapool ; 1020 
 2408 ; 20 крейцеров. Австрия. Фердинанд I ; 1848 ; A ; Ag ; AU ; 30 ; hugo ; 1224 
 2409 ; 20 крейцеров. Австрия ; 1786 ; A ; Ag ; XF/AU ; 26 ; 542 ; 452 
 2410 ; 20 крейцеров. Венгрия ; 1843 ;  ; Ag ; XF/AU ; 48 ; selezsi ; 455 
 2411 ; 1 форинт. Венгрия. Франц Иосиф I ; 1881 ;  ; Ag ; AU ; 92 ; Alexdav ; 428 
 2412 ; 2 фунта. Южная Джорджия и Южные Сандвичевы о-ва. Золотой юбилей королевы Елизаветты II ; 2002 ;  ; Cu/Ni ; AU ; 14 ; o.k. ; 285 
 2413 ; 200 крон. Чешская республика. Город Табор. Железная дорога ; 2003 ;  ; Ag ; AU ; 64 ; nikoniko ; 408 
 2414 ; 5 евро. Австрия. Моцарт ; 2006 ;  ; Ag ; AU ; 63 ; kro ; 345 
 2415 ; 10 евро. Австрия. Аббатство Бенедиктианцев Гётвайг ; 2006 ;  ; Ag ; AU ; 33 ; kro ; 459 
 2416 ; 5 евро. Австрия. Австрийское президентство в Евросоюзе ; 2006 ;  ; Ag ; AU ; 99 ; kro ; 765 
 2417 ; 1 флорин. Австралия. Открытие австралийского парламента в Канберра ; 1927 ;  ; Ag ; VF+ ; 27 ; vitapool ; 486 
 2418 ; 1 шиллинг. Австрия. Здание парламента в Вене ; 1925 ;  ; Ag ; VF-XF ; 27 ; vitapool ; 290 
 2419 ; 1 гульден. Нидерланды. Королева Джулиана ; 1958 ;  ; Ag ; VF-XF ; 61 ; vitapool ; 113 
 2420 ; 1 гульден. Нидерланды. Королева Вильгельмина ; 1931 ;  ; Ag ; AU ; 51 ; Бамс ; 124 
 2421 ; 1000 рейс. Бразилия ; 1858 ;  ; Ag ; VF ; 18 ; Poiuyt ; 419 
 2422 ; 1000 рейс. Бразилия ; 1860 ;  ; Ag ; XF+ ; 45 ; AAE2006 ; 903 
 2423 ; 500 рейс. Бразилия ; 1860 ;  ; Ag ; XF ; 63 ; AAE2006 ; 1020 
 2424 ; 500 рейс. Бразилия ; 1864 ;  ; Ag ; XF+ ; 47 ; AAE2006 ; 482 
 2425 ; 500 рейс. Бразилия ; 1862 ;  ; Ag ; XF ; 23 ; AAE2006 ; 424 
 2426 ; 500 рейс. Бразилия ; 1856 ;  ; Ag ; XF ; 9 ; AAE2006 ; 445 
 2427 ; 500 рейс. Бразилия ; 1867 ;  ; Ag ; XF+ ; 37 ; xabib ; 793 
 2428 ; 1 доллар. Канада ; 1966 ;  ; Ag ; AU ; 72 ; obob999 ; 558 
 2429 ; 20 лир. Италия. Муссолини ; 1928 ;  ; Б/м ; AU ; 28 ; Copirchik ; 469 
 2430 ; 5 лир. Италия ; 1927 ;  ; Ag ; AU ; 46 ; bigbenny ; 347 
 2431 ; 1000 рейс. Бразилия ; 1913 ;  ; Ag ; AU ; 17 ; xabib ; 412 
 2432 ; 1/12 шиллинга. Джерси ; 1933 ;  ; Br ; VF+ ; 51 ; lawyer ; 122 
 2433 ; 50 крон. Чехословакия. Прага ; 1986 ;  ; Ag ; AU ; 53 ; Dj ; 717 
 2434 ; 10 марок. Финляндия. 10-ый чемпионат мира по легкой атлетике ; 1971 ;  ; Ag ; XF/AU ; 35 ; SadKo ; 234 
 2435 ; 5 франков. Конго. Встреча папы Иоанна Павла II и леди Дианы ; 1997 ;  ; Ni ; Proof ; 40 ; alexiy2 ; 259 
 2436 ; 1 крона. Южная Родезия. 200 лет со дня рождения Сесиль Родс ; 1953 ;  ; Ag ; VF-XF ; 32 ; lelik ; 684 
 2437 ; 1 флорин. Австрия ; 1873 ;  ; Ag ; VF+ ; 40 ; 542 ; 368 
 2438 ; 3 марки. Пруссия. 25 лет правлению ; 1913 ;  ; Ag ; AU ; 62 ; hugo ; 1423 
 2439 ; 3 марки. Пруссия ; 1909 ;  ; Ag ; VF-XF ; 24 ; Niks ; 600 
 2440 ; 3 марки. Пруссия ; 1911 ;  ; Ag ; VF-XF ; 13 ; obob999 ; 494 
 2441 ; 3 марки. Вюртемберг. На серебряную свадьбу ; 1911 ;  ; Ag ; AU ; 105 ; vost ; 2435 
 2442 ; 3 марки. Бавария. 90 лет принцу-регенту Люитпольду ; 1911 ;  ; Ag ; AU ; 31 ; AAE2006 ; 1575 
 2443 ; 20 пфеннигов. Саксония ; 1921 ;  ; Керамика ; AU ; 66 ; erfahren ; 1020 
 2444 ; 1 унция серебра. США ;  ;  ; Ag ; AU ; 46 ; erfahren ; 745 
 2445 ; 2 доллара. Багамы. Фламинго ; 1966 ;  ; Ag ; AU ; 25 ; vitapool ; 682 
 2446 ; 2 фунта. Альдерней. Годовщина золотой свадьбы королевы ; 1997 ;  ; Cu-Ni ; AU ; 21 ; lelik ; 171 
 2447 ; 1 крона. Остров Гоф ; 2005 ;  ; Cu-Ni ; AU ; 62 ; petrserebr ; 405 
 2448 ; 1 паанга. Тонго ; 1967 ;  ; Cu-Ni ; AU ; 11 ; оскол ; 204 
 2449 ; 25 рупий. Серебрянный юбилей королевы ; 1977 ;  ; Ag ; AU ; 6 ; vitapool ; 382 
 2450 ; 10 долларов. Тринидад и Тобаго. 10 лет независимости ; 1972 ;  ; Ag ; AU ; 99 ; petrserebr ; 1300 
 2351 ; 2 марки. Германия. 450 лет со дня смерти Мартина Лютера ; 1933 ; F ; Ag ; AU ; 26 ; hugo ; 2353 
 2352 ; 2 марки. Баден. На золотую свадьбу ; 1906 ;  ; Ag ; AU ; 109 ; AAE2006 ; 1958 
 2353 ; 10 пфеннигов. Данциг ; 1923 ;  ; Cu/Ni ; VF-XF ; 88 ; ганс72 ; 479 
 2354 ; 3 пфеннинга. Пруссия ; 1856 ; А ; Cu ; VF-XF ; 17 ; Copirchik ; 219 
 2355 ; 50 пфеннигов. Веймар ; 1921 ; G ; Al ; AU ; 24 ; AAE2006 ; 71 
 2356 ; 50 пфеннигов. Веймар ; 1921 ; A ; Al ; AU ; 18 ; AAE2006 ; 75 
 2357 ; 50 пфеннигов. Веймар ; 1921 ; A ; Al ; XF+ ; 8 ; veektor ; 68 
 2358 ; 50 пфеннигов. Веймар ; 1920 ; A ; Al ; XF ; 33 ; obob999 ; 34 
 2359 ; 200 марок. Веймар ; 1923 ; A ; Al ; AU ; 29 ; Copirchik ; 101 
 2360 ; 500 марок. Веймар ; 1923 ; A ; Al ; AU ; 65 ; Copirchik ; 287 
 2361 ; 3 марки. Веймар ; 1922 ; J ; Al ; AU ; 67 ; Copirchik ; 312 
 2362 ; 1 пфеннинг. Пруссия ; 1858 ; A ; Cu ; VF-XF ; 41 ; Copirchik ; 174 
 2363 ; 2 пфеннига. Веймар ; 1924 ; J ; Br ; VF-XF ; 37 ; tavitrof ; 105 
 2364 ; 2 пфеннига. Германия ; 1939 ; F ; Br ; VF+ ; 23 ; veektor ; 73 
 2365 ; 1 пфенниг. Германия ; 1938 ; A ; Br ; AU ; 18 ; veektor ; 70 
 2366 ; 1 пфенниг. Германия ; 1939 ; E ; Br ; XF ; 24 ; veektor ; 61 
 2367 ; 1 пфенниг. Германия ; 1937 ; F ; Br ; XF+ ; 49 ; shmatko24 ; 70 
 2368 ; 10 пфеннигов. Германия. Бонн ; 1919 ;  ; Zn ; VF ; 17 ; Copirchik ; 202 
 2369 ; 1 крейцер. Австрия ; 1816 ; A ; Cu ; F-VF ; 45 ; eddy ; 150 
 2370 ; 1 крейцер. Австрия ; 1816 ; A ; Cu ; XF+ ; 6 ; olq ; 201 
 2371 ; 5 пфеннигов. Германия ; 1939 ; A ; Al/Br ; VF-XF ; 24 ; 542 ; 120 
 2372 ; 5 пфеннигов. Германия ; 1939 ; F ; Al/Br ; VF ; 2 ; 542 ; 74 
 2373 ; 5 пфенниг. Германия ; 1938 ; F ; Al/Br ; VF+ ; 21 ; 542 ; 126 
 2374 ; 5 пфенниг. Германия ; 1938 ; A ; Al/Br ; VF-XF ; 1 ; Mike! ; 72 
 2375 ; 5 пфенниг. Германия ; 1937 ; D ; Al/Br ; VF ; 6 ; shmatko24 ; 80 
 2376 ; 2 пфеннига. Германия ; 1937 ; A ; Br ; VF-XF ; 19 ; Grod ; 96 
 2377 ; 1 пфенниг. Германия ; 1938 ; A ; Br ; VF+ ; 2 ; Grod ; 64 
 2378 ; 1 пфенниг. Германия ; 1937 ; A ; Br ; VF+ ; 1 ; Mike! ; 62 
 2379 ; 1 пфенниг. Германия ; 1937 ; D ; Br ; VF+ ; 6 ; eddy ; 60 
 2380 ; 1 пфенниг. Германия ; 1938 ; E ; Br ; VF+ ; 2 ; 542 ; 54 
 2381 ; 1 пфенниг. Германия ; 1937 ; A ; Br ; VF+ ; 2 ; veektor ; 54 
 2382 ; 1 пфенниг. Германия ; 1938 ; J ; Br ; VF-XF ; 2 ; vasily ; 54 
 2383 ; 10 пфеннигов. Германия ; 1939 ; A ; Al/Br ; VF ; 9 ; veektor ; 130 
 2384 ; 10 пфеннигов. Германия ; 1938 ; D ; Al/Br ; VF- ; 2 ; veektor ; 115 
 2385 ; 10 пфеннигов. Германия ; 1937 ; A ; Al/Br ; F-VF ; 6 ; 542 ; 100 
 2386 ; 10 пфеннигов. Германия ; 1937 ; A ; Al/Br ; VF- ; 1 ; Mike! ; 112 
 2387 ; 5 пфеннигов. Германия ; 1937 ; J ; Al/Br ; VF ; 2 ; Grod ; 74 
 2388 ; 5 пфеннигов. Германия ; 1939 ; D ; Al/Br ; VF- ; 1 ; Mike! ; 62 
 2389 ; 10 пфеннигов. Германия ; 1938 ; А ; Al/Br ; VF+ ; 60 ; Grod ; 68 
 2390 ; 50 грошей. Польша ; 1923 ; WJ ; Ni ; VF- ; 73 ; ICEK ; 100 
 2391 ; 25 сентимов. Франция ; 1904 ;  ; Cu/Ni ; F-VF ; 70 ; scaevola ; 100 
 2392 ; 20 чентезимо. Италия ; 1921 ;  ; Ni ; VF- ; 47 ; selezsi ; 48 
 2393 ; 4 пфеннига. Пруссия ; 1826 ; А ; Cu ; F ; 75 ; drozd-24 ; 153 
 2394 ; 1 крейцер. Австрия ; 1816 ; А ; Cu ; F ; 30 ; selezsi ; 63 
 2395 ; 1/4 рупии. Британская Индия ; 1940 ;  ; Ag ; AU ; 35 ; vitapool ; 363 
 2396 ; 10 сен. Япония ; 1901-1906 ;  ; Ag ; VF ; 66 ; vitapool ; 416 
 2397 ; 5 фенигов. Польша ; 1917 ;  ; Fe ; VF ; 24 ; Copirchik ; 261 
 2398 ; 20 филлеров. Венгрия ; 1914 ;  ; Ni ; AU ; 42 ; veektor ; 61 
 2399 ; 50 пфеннигов. Саксония ; 1921 ;  ; Керамика ; AU ; 48 ; region23 ; 483 
 2400 ; 2 марки. Пруссия. 200 лет королевству ; 1901 ;  ; Ag ; AU ; 38 ; obob999 ; 573 
 2301 ; 2 марки. Пруссия. Вильгельм II ; 1905 ; A ; Ag ; VF ; 40 ; obob999 ; 463 
 2302 ; 2 марки. Пруссия. 25 лет правления Вильгельма II ; 1913 ; A ; Ag ; AU ; 65 ; xabib ; 627 
 2303 ; 2 марки. Пруссия. 200 лет королевству Пруссии ; 1901 ;  ; Ag ; AU ; 67 ; irinka ; 1000 
 2304 ; 2 марки. Пруссия. 200 лет королевству Пруссии ; 1901 ;  ; Ag ; AU ; 68 ; MAD_B ; 713 
 2305 ; 2 марки. Пруссия. 200 лет королевству Пруссии ; 1901 ;  ; Ag ; AU ; 57 ; vitapool ; 700 
 2306 ; 2 марки. Пруссия. 200 лет королевству Пруссии ; 1901 ;  ; Ag ; VF-XF ; 68 ; Copirchik ; 714 
 2307 ; 2 марки. Пруссия. 200 лет королевству Пруссии ; 1901 ;  ; Ag ; AU ; 8 ; obob999 ; 629 
 2308 ; 2 марки. Пруссия. 200 лет королевству Пруссии ; 1901 ;  ; Ag ; XF+ ; 55 ; Михалыч ; 676 
 2309 ; 2 марки. Баден. На золотую свадьбу ; 1906 ;  ; Ag ; AU ; 72 ; AAE2006 ; 1813 
 2310 ; 2 марки. Бавария. 90 лет со дня рождения принца-регента Люитпольда ; 1911 ; D ; Ag ; AU ; 146 ; AAE2006 ; 1244 
 2311 ; 5 марок. ФРГ. 50 лет со дня смерти Фридриха Эберта, политического и государственного деятеля ; 1975 ; J ; Ag ; UNC/AU ; 57 ; AAE2006 ; 370 
 2312 ; 50 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 15 ; o.k. ; 355 
 2313 ; 50 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 10 ; УГРЮМЫЙ ; 379 
 2314 ; 50 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 10 ; o.k. ; 379 
 2315 ; 50 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 34 ; starplay ; 389 
 2316 ; 50 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 83 ; 4nuts ; 595 
 2317 ; 50 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 15 ; Конрос бид 32 ; 467 
 2318 ; 50 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; XF+ ; 120 ; smel ; 329 
 2319 ; 100 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 32 ; vadimn ; 478 
 2320 ; 100 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 22 ; QSL ; 466 
 2321 ; 100 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 79 ; Ромбор ; 464 
 2322 ; 100 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 43 ; Ромбор ; 453 
 2323 ; 100 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 59 ; Михалыч ; 477 
 2324 ; 100 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 41 ; o.k. ; 465 
 2325 ; 100 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 44 ; starplay ; 531 
 2326 ; 100 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; XF+ ; 14 ; jagerV ; 501 
 2327 ; 100 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 57 ; Ромбор ; 514 
 2328 ; 100 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 31 ; xabib ; 492 
 2329 ; 100 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; AU ; 49 ; 4nuts ; 3060 
 2330 ; 100 крон. Чехословакия. 70 лет со дня рождения Иосифа Сталина ; 1949 ;  ; Ag ; XF+ ; 27 ; УГРЮМЫЙ ; 516 
 2331 ; 1 доллар. США. Морган ; 1881 ;  ; Ag ; XF+ ; 44 ; AAE2006 ; 958 
 2332 ; 1 доллар. США. Морган ; 1884 ;  ; Ag ; AU ; 32 ; avs ; 1351 
 2333 ; 1 доллар. Австралия. Австралийская Кукабарра ; 1993 ;  ; Ag ; Proof ; 38 ; Poiuyt ; 629 
 2334 ; 10 франков. Франция. Свобода, равенство, братство ; 1967 ;  ; Ag ; AU ; 69 ; hugo ; 609 
 2335 ; Талер. Мария Терезия. Новодел ; 1780 ;  ; Ag ; XF+ ; 3 ; gelind ; 461 
 2336 ; Талер. Мария Терезия. Новодел ; 1780 ;  ; Ag ; AU ; 2 ; джон007 ; 451 
 2337 ; Талер. Мария Терезия. Новодел ; 1780 ;  ; Ag ; AU ; 2 ; Niks ; 451 
 2338 ; 1 марка. Германия ; 1915 ; A ; Ag ; AU ; 54 ; tavitrof ; 159 
 2339 ; 1 марка. Германия ; 1914 ; A ; Ag ; AU ; 89 ; erfahren ; 140 
 2340 ; 1 марка. Германия ; 1915 ; A ; Ag ; AU ; 41 ; igor_r65 ; 159 
 2341 ; 1/2 марки. Германия ; 1915 ; A ; Ag ; AU ; 23 ; vitapool ; 102 
 2342 ; 1/2 марки. Германия ; 1916 ; A ; Ag ; AU ; 36 ; first ; 93 
 2343 ; 5 марок. Веймар. 1000 лет Рейнланду ; 1925 ; D ; Ag ; AU ; 5 ; os ; 3584 
 2344 ; 3 марки. Веймар. 1000 лет Рейнланду ; 1925 ; E ; Ag ; AU ; 24 ; AAE2006 ; 2564 
 2345 ; 3 марки. Веймар. 1000 лет Рейнланду ; 1925 ; A ; Ag ; VF-XF ; 3 ; o.k. ; 1501 
 2346 ; 3 марки. Веймар. 1000 лет Мейссену ; 1929 ; E ; Ag ; AU ; 16 ; AAE2006 ; 2698 
 2347 ; 3 марки. Веймар. 10 лет Веймарской конституции ; 1929 ; A ; Ag ; AU ; 34 ; AAE2006 ; 2161 
 2348 ; 3 марки. Веймар. Освобождение Рейнланда ; 1930 ; A ; Ag ; AU ; 26 ; o.k. ; 2267 
 2349 ; 3 марки. Веймар. 1000 лет Рейнланду ; 1925 ; D ; Ag ; XF+ ; 2 ; AAE2006 ; 1471 
 2350 ; 3 марки. Веймар. 700 лет со дня смерти Вальтера фон дер Фогельвейде ; 1930 ;  ; Ag ; AU ; 40 ; bier ; 3143 
 2251 ; Талер. Саксония. В честь победы над Францией ; 1871 ; В ; Ag ; AU ; 44 ; petrserebr ; 5723 
 2252 ; 5 франков. Франция. Наполеон III ; 1868 ;  ; Ag ; XF+ ; 38 ; AAE2006 ; 1556 
 2253 ; Талер. Сакс-Кобург-Гота. 25 лет правления ; 1869 ; В ; Ag ; VF+ ; 39 ; region23 ; 4786 
 2254 ; Талер. Франкфурт на Майне. Памятный. 100 лет юбилею ; 1859 ;  ; Ag ; AU ; 43 ; QSL ; 3400 
 2255 ; 1 рупия. Немецкая Восточная Африка ; 1892 ;  ; Ag ; VF+ ; 14 ; von_Schwarz ; 1563 
 2256 ; 1/6 талера. Анхальт Бернбург ; 1856 ; А ; Ag ; XF+ ; 77 ; region23 ; 1567 
 2257 ; 3 крейцера. Бавария ; 1717 ;  ; Ag ; XF ; 80 ; irinka ; 956 
 2258 ; 10 крейцеров. Бавария ; 1772 ;  ; Ag ; VF+ ; 80 ; Бамс ; 450 
 2259 ; 1/6 талера. Пруссия. Фридрих Вильгельм IV ; 1849 ; А ; Ag ; XF+ ; 50 ; region23 ; 2824 
 2260 ; 6 крейцеров. Бавария ; 1825 ;  ; Ag ; VF- ; 73 ; Бамс ; 383 
 2261 ; 1 силбергрош. Пруссия. Фридрих Вильгельм III ; 1826 ; D ; Ag ; VF+ ; 100 ; weter41 ; 403 
 2262 ; 1 силбергрош. Пруссия. Фридрих Вильгельм III ; 1838 ; А ; Ag ; AU ; 102 ; AAE2006 ; 2042 
 2263 ; 3 пфеннига. Пруссия ; 1752 ; А ; Cu ; F-VF ; 47 ; erfahren ; 267 
 2264 ; 4 пфеннига. Пруссия ; 1821 ; А ; Cu ; VF-XF ; 38 ; olq ; 261 
 2265 ; 3 крейцера. Бавария. Людвиг I ; 1835 ;  ; Ag ; VF+ ; 51 ; vitapool ; 1020 
 2266 ; 1 крейцер. Бавария ; 1839 ;  ; Ag ; VF+ ; 27 ; vitapool ; 206 
 2267 ; 5 марок. Саксония. Фридрих Август III ; 1914 ; E ; Ag ; AU ; 57 ; region23 ; 2833 
 2268 ; 3 марки. Саксония. Фридрих Август III ; 1910 ; E ; Ag ; AU ; 100 ; Kolya-kms ; 3500 
 2269 ; 3 марки. Саксония. Фридрих Август III ; 1910 ; E ; Ag ; XF/AU ; 87 ; foma71 ; 1343 
 2270 ; 3 марки. Саксония. Фридрих Август III ; 1909 ; E ; Ag ; AU ; 57 ; AAE2006 ; 1544 
 2271 ; 3 марки. Вюртемберг. На серебряную свадьбу ; 1911 ; F ; Ag ; AU ; 53 ; Kolya-kms ; 1288 
 2272 ; 3 марки. Вюртемберг. На серебряную свадьбу ; 1911 ; F ; Ag ; AU ; 39 ; AAE2006 ; 1202 
 2273 ; 3 марки. Вюртемберг. Вильгельм II ; 1908 ; F ; Ag ; VF+ ; 85 ; Copirchik ; 1118 
 2274 ; 3 марки. Гамбург ; 1912 ; J ; Ag ; XF ; 46 ; AAE2006 ; 1307 
 2275 ; 3 марки. Вюртемберг. Вильгельм II ; 1914 ; F ; Ag ; AU ; 88 ; AAE2006 ; 1160 
 2276 ; 3 марки. Гамбург ; 1909 ; J ; Ag ; VF ; 49 ; Copirchik ; 1090 
 2277 ; 3 марки. Бавария. Принц-регент Люитпольд ; 1913 ; D ; Ag ; XF+ ; 50 ; AAE2006 ; 1091 
 2278 ; 2 марки. Шварцбург-Зондерсхаузен. 25 лет правлению ; 1905 ;  ; Ag ; AU ; 44 ; petrserebr ; 4519 
 2279 ; 2 марки. Бавария. 90 лет со дня рождения принца-регента Люитпольда ; 1911 ; D ; Ag ; AU ; 53 ; AAE2006 ; 1294 
 2280 ; 2 марки. Гессе-Дармстадт. 400 лет со дня рождения Филиппа Великодушного ; 1904 ;  ; Ag ; XF ; 46 ; ганс72 ; 3400 
 2281 ; 3 марки. Анхальт-Дессау. На серебряную свадьбу ; 1914 ;  ; Ag ; AU ; 28 ; os ; 2706 
 2282 ; 3 марки. Анхальт-Дессау. Фридрих II ; 1909 ; A ; Ag ; VF ; 82 ; foma71 ; 2381 
 2283 ; 3 марки. Баден. Фридрих II ; 1910 ; G ; Ag ; XF ; 56 ; Copirchik ; 1020 
 2284 ; 5 марок. Пруссия. 200 лет королевству Пруссии ; 1901 ;  ; Ag ; AU ; 26 ; tisa66 ; 2754 
 2285 ; 5 марок. Пруссия. Вильгельм II ; 1913 ; A ; Ag ; XF ; 74 ; Copirchik ; 1152 
 2286 ; 5 марок. Пруссия. Вильгельм II ; 1907 ; A ; Ag ; VF ; 120 ; Niks ; 1070 
 2287 ; 5 марок. Пруссия. Вильгельм II ; 1914 ; A ; Ag ; AU ; 29 ; os ; 1206 
 2288 ; 5 марок. Пруссия. 200 лет королевству Пруссии ; 1901 ;  ; Ag ; AU ; 19 ; партизан ; 2142 
 2289 ; 5 марок. Пруссия. Вильгельм II ; 1908 ; A ; Ag ; XF+ ; 85 ; region23 ; 1530 
 2290 ; 3 марки. Пруссия. 100 лет разгрому Наполеона ; 1913 ; A ; Ag ; XF+ ; 15 ; Niks ; 918 
