 5577 ; Акция ; 1923 ;  ;  ;  ; 9 ; denis.davydov ; 120 
 4255 ; Набор монет Швеции (4шт): 10кр,5кр,1кр,50эре + жетон. Упаковка ; 2000 ;  ; б/м,жм ; Unc ; 9 ; Walther ; 173 
 4256 ; Набор монет Швеции (4шт): 10кр,5кр,1кр,50эре + жетон. Упаковка, сертификат ; 2000 ;  ; б/м,жм ; Unc ; 13 ; zx123 ; 316 
 4257 ; Набор монет Латвии: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт). Буклет ; 2014 ;  ; Би/м,Лат,Cu/St ; AU ; 14 ; murew ; 325 
 4258 ; Набор евро монет Латвии: 2,1 евро, 50,20,10,5,2,1 евро цент (8шт). Буклет ; 2014 ;  ; Cu/St,Би/м,Лат ; AU ; 18 ; murew ; 365 
 4259 ; 5 гривен. Украина. Щедрик. Буклет ; 2016 ;  ; Cu-Ni ; AU ; 25 ; an78gg ; 309 
 4260 ; Набор монет Македонии: 4шт. Упаковка ; 1993-2001 ;  ; Al/Br ; AU ; 12 ; slava64 ; 150 
 4261 ; Набор монет Танзании: 5шт. Упаковка ; 1981-1993 ;  ; Cu-Ni,Лат ; AU ; 15 ; прохожий ; 464 
 4262 ; Набор монет Колумбии: 5шт. Упаковка ; 1997-2003 ;  ; Cu-Ni,Лат ; AU ; 32 ; прохожий ; 453 
 4263 ; Набор монет Румынии: 3шт. Упаковка ; 2000-2004 ;  ; Al ; AU ; 7 ; Mike! ; 51 
 4264 ; Набор монет Ирака: 3шт. Упаковка ; 2004 ;  ; Cu-Ni,Br,Лат ; AU ; 15 ; Mike! ; 101 
 4265 ; Набор монет Зимбабве: 7шт. Упаковка ; 1997-2002 ;  ; Cu-Ni,Лат,Br ; AU ; 36 ; прохожий ; 803 
 4266 ; Набор монет Болгарии: 7шт. Упаковка ; 1999-2002 ;  ; Би/м,Cu-Ni,Br ; AU ; 12 ; Mike! ; 258 
 4267 ; Набор монет Фиджи: 7шт. Упаковка ; 1995-1999 ;  ; Cu-Ni,Лат,Br ; AU ; 15 ; прохожий ; 516 
 4268 ; Набор монет Болгарии: 7шт. Упаковка ; 1999-2002 ;  ; Би/м,Cu-Ni,Br ; AU ; 19 ; slava64 ; 300 
 4269 ; Лот монет Словакии: 7шт ; 1994-2007 ;  ; Cu-Ni,Al,Al/Br ; XF ; 41 ; Mike! ; 138 
 4270 ; Набор монет Болгарии: 8шт ; 1951-1960 ;  ; Cu-Ni,Cu-Zn ; AU ; 22 ; u10257 ; 1129 
 4271 ; Набор монет Бельгии: 2,1 евро, 50,20,10,5,2,1 евроцент (8шт). ; 1999-2005 ;  ; Би/м,Cu/St,Лат ; XF/AU ; 19 ; Mike! ; 401 
 4272 ; Набор монет Норвегии: 10, 5,1 крона, 50,10 эре (5шт). В пластиковой упаковке ; 1986 ;  ; Cu-Ni,Cu-Zn-Ni ; Unc ; 13 ; D-503 ; 567 
 4273 ; Набор монет Португалии: 200,100,50,20,10,5,1 эскудо (8шт). F.A.O.Буклет ; 1995 ;  ; Би/мCu-NiЛат/Ni ; Unc ; 36 ; zx123 ; 566 
 4274 ; Набор монет Норвегии: 10, 1 крона, 50 эре (3шт)+ жетон. В пластиковой упаковке ; 2010 ;  ; Cu-Ni,Cu-Zn-Ni ; Unc ; 15 ; D-503 ; 395 
 4275 ; Набор монет Великобритании: 1/2 кроны, 2, 1 шиллинг, 6,3,1,1/2 пенни (8шт)+ жетон. В пластиковой упаковке, с сертификатом ; 1970 ;  ; Cu-Ni,Br,ж/м ; Unc ; 45 ; прохожий ; 1321 
 4276 ; Набор монет Испании: 3шт. Буклет ; 1975 ;  ; Cu-Ni,AlBr ; AU ; 9 ; 7755 ; 82 
 4277 ; Набор монет Греции: 6шт. Буклет ;  ;  ; Cu-Ni,AlBr ; VF/XF ; 11 ; rem ; 41 
 4278 ; 25 лир. Мальтийский Орден. Упаковка ; 2005 ;  ; Ag ; Proof ; 20 ; заяц побегаец ; 1134 
 4279 ; 5 гривен. Украина. Трамвай. Буклет ; 2016 ;  ; Cu-Ni ; AU ; 9 ; кс ; 204 
 4280 ; Набор монет Канады: 6шт. Упаковка ; 1970 ;  ; Cu-Ni,Br ; AU ; 19 ; Mike! ; 254 
 4281 ; Лот монет Израиля (40шт) ; 20-21в ;  ; б/м,ж/м ; VF+/XF ; 51 ; Termist ; 714 
 4282 ; Лот монет Израиля (40шт) ; 20-21в ;  ; б/м,ж/м ; VF+/XF ; 31 ; osir12 ; 505 
 4283 ; Ролл монет Швеции (40шт): 25 эре ; 1976 ;  ; Cu-Ni ;  ; 7 ; daymand ; 227 
 4284 ; Лот иностранных монет (100шт) ;  ;  ; Cu-Ni,Br,St/Лат ; VF-XF ; 9 ; Roskur ; 200 
 4285 ; Лот иностранных монет (100шт) ;  ;  ; Cu-Ni,Br,Zn,ж/м ; VF-XF ; 17 ; Roskur ; 377 
 4286 ; Лот иностранных монет (100шт) ;  ;  ; Cu-Ni,Br,St/Лат ; F/XF ; 8 ; mvf ; 153 
 4287 ; Лот иностранных монет (100шт) ;  ;  ; Cu-Ni,Br,St/Лат ; VF-XF ; 15 ; Yuraha76 ; 125 
 4288 ; Лот монет Швеции и Норвегии: 79шт ;  ;  ; Fe,Br,Сu-Ni ; VF/XF+ ; 31 ; Yuraha76 ; 168 
 4289 ; Лот монет США: 1/4 доллара (54шт) ;  ;  ; Cu-Ni ; VF/XF ; 7 ; von_Schwarz ; 714 
 4290 ; 5 евро Нидерланды. Буклет ; 2013 ;  ; Cu-Ni,серебрени ; AU ; 14 ; Ибранец ; 480 
 4291 ; 5 евро Нидерланды. Буклет ; 2013 ;  ; Cu-Ni,серебрени ; AU ; 10 ; Ибранец ; 461 
 4192 ; 20 геллеров. Чехословакия ; 1989 ;  ; Al/Br ; XF ; 4 ; папашаГарпагон ; 29 
 4193 ; 1 раппен. Швейцария ; 1957 ;  ; Br ; XF+ ; 10 ; tar ; 57 
 4194 ; 20 драхм. Греция ; 1990 ;  ; Al/Br ; XF ; 7 ; Yuraha76 ; 40 
 4195 ; 2 злотых. Польша ; 2012 ;  ; Латунь ; XF ; 10 ; ag58 ; 61 
 4196 ; 10 франков. Франция ; 1991 ;  ; Би/м ; XF ; 5 ; бриз33 ; 6 
 4197 ; 25 сентимес. Франция ; 1939 ;  ; Cu-Ni ; VF+ ; 3 ; Maksss163 ; 28 
 4198 ; 2 франка. Бельгия ; 1944 ;  ; St/Хром ; F-VF ; 17 ; franklin ; 61 
 4199 ; 5 грошен. Австрия ; 1966 ;  ; Zn ; VF ; 3 ; Maksss163 ; 28 
 4200 ; 20 сентимес. Франция ; 1967 ;  ; Al/Br ; VF ; 3 ; Maksss163 ; 28 
 4201 ; 250 ливр. Ливан ; 2006 ;  ; Al/Br ; XF+ ; 4 ; Gagarin ; 29 
 4202 ; 500 ливр. Ливан ; 2000 ;  ; St/Ni ; XF ; 9 ; Rodan Lewarx ; 50 
 4203 ; Эскудо. Кабо Верде ; 1994 ;  ; St/Лат ; AU ; 16 ; chief com ; 83 
 4204 ; 10 центов. Бермуды ; 1986 ;  ; Cu-Ni ; XF ; 16 ; ZOLTAN333 ; 70 
 4205 ; 10 центов. Каймановы острова ; 1992 ;  ; St/Ni ; XF ; 12 ; Jeff ; 37 
 4206 ; 5 сентаво. Гондурас ; 1999 ;  ; Al/Br ; XF+ ; 7 ; 333985 ; 29 
 4207 ; Монета. Восток ;  ;  ; Al/Br ; XF ; 3 ; karl ; 30 
 4208 ; 25 пиастров. Египет ;  ;  ; St/Ni ; XF+ ; 5 ; зуммер ; 29 
 4209 ; 25 центов. Каймановы острова ; 2002 ;  ; St/Ni ; XF+ ; 22 ; xoltecl ; 161 
 4210 ; 20 центов. Южная Африка ; 1997 ;  ; St/Br ; XF ; 5 ; бриз33 ; 29 
 4211 ; Монета. Восток ;  ;  ; Br ; AU ; 25 ; калинов мост ; 61 
 4212 ; 100 ливр. Ливан ; 1996 ;  ; Br ; XF ; 9 ; митяй ; 40 
 4213 ; 5 центов. Южная Африка ; 2011 ;  ; St/Br ; XF ; 5 ; kornum ; 51 
 4214 ; 5 сентаво. Бразилия ; 2010 ;  ; St/Br ; XF+ ; 7 ; птичка16 ; 100 
 4215 ; 1 пенни. Фолклендские острова ; 2011 ;  ; St/Br ; XF+ ; 8 ; hoop ; 30 
 4216 ; 1 пенни. Остров Мэн ; 2008 ;  ; St/Br ; XF+ ; 7 ; SKeeper ; 31 
 4217 ; 1 сент. Нидерландские Антилы ; 1976 ;  ; Br ; AU ; 28 ; 1879 ; 51 
 4218 ; 1 цент. Багамы ; 2006 ;  ; Br ; XF+ ; 4 ; tar ; 29 
 4219 ; Монета. Восток ; 2012 ;  ; Br ; XF ; 16 ; калинов мост ; 31 
 4220 ; 1 пенни. Джерси ; 2006 ;  ; St/Br ; XF ; 13 ; tar ; 30 
 4221 ; 1 цент. Багамы ; 2009 ;  ; Br ; XF+ ; 23 ; hoop ; 30 
 4222 ; 10 пфенниг. Босния и Герцеговина ; 1998 ;  ; St/Br ; XF ; 5 ; митяй ; 40 
 4223 ; 1 цент. Барбадос ; 2011 ;  ; St/Br ; AU ; 3 ; зуммер ; 29 
 4224 ; 1 пенни. Остров Мэн ; 2000 ;  ; St/Br ; XF ; 9 ; бриз33 ; 29 
 4225 ; 1/2 пенни. Остров Мэн ; 1979 ;  ; Br ; XF+ ; 31 ; kornum ; 79 
 4226 ; 1 цент. Каймановы острова ; 2008 ;  ; St/Br ; XF ; 7 ; птичка16 ; 100 
 4227 ; 1 сенити. Тонга ; 2005 ;  ; St/Br ; XF ; 21 ; hoop ; 37 
 4228 ; 1 пенни. Великобритания ; 1967 ;  ; Br ; XF+ ; 24 ; 1879 ; 36 
 4229 ; 1/2 пенни. Великобритания ; 1966 ;  ; Br ; XF+ ; 21 ; зуммер ; 29 
 4230 ; 300 рейс. Бразилия ; 1940 ;  ; Cu-Ni ; VF- ; 18 ; ag58 ; 59 
 4231 ; 1 цент. Канада ; 1928 ;  ; Br ; VF+ ; 23 ; tar ; 67 
 4232 ; 1 крейцер. Нассау ; 1859 ;  ; Cu ; VF ; 21 ; Markgraf ; 133 
 4233 ; 1/12 анны. Британская Индия ; 1921 ;  ; Br ; XF ; 24 ; Вадим Скифский ; 73 
 4234 ; 10 шиллингов. Сомалиленд ; 2002 ;  ; Br ; XF+ ; 15 ; ShYrik_RUS ; 54 
 4235 ; 10 пфеннигов. Германия. Нотгельд. Кобленц ; 1920 ;  ; Fe ; F-VF ; 11 ; Sterh ; 57 
 4236 ; Набор монет Канада: 1 доллар, 50,25,10,5,1 цент (7шт). В пластиковой упаковке ; 1974 ;  ; Ag,Cu-Ni,Br ; Unc ; 15 ; Недорого ; 1010 
 4237 ; Набор монет Канада: 1 доллар, 50,25,10,5,1 цент (7шт). В пластиковой упаковке, с сертификатом ; 1981 ;  ; Ag,Cu-Ni,Br ; Proof ; 10 ; л842 ; 1009 
 4238 ; Набор монет Великобритании: 1 фунт, 50, 20, 10, 5, 2, 1, 1/2 новых пенса (8шт)+ жетон. В пластиковой упаковке, с сертификатом ; 1984 ;  ; Cu-Ni,Br,ж/м ; Proof ; 55 ; BSG ; 933 
 4239 ; Набор монет Канады: 1 доллар, 50, 25, 10, 5, 1 цент (7шт). В пластиковой упаковке. С сертификатом ; 1977 ;  ; Cu-Ni,Ag,Br ; Unc ; 15 ; chief com ; 813 
 4240 ; Набор монет Малави: 20,10,5,2,1 тамбала (5шт). В пластиковой упаковке, с сертификатом ; 1985 ;  ; Cu-Ni,Cu/St ; Proof ; 29 ; von_Schwarz ; 997 
 4241 ; Набор монет Великобритании: 25 пенсов (к 25-летию свадьбы королевы Елизаветы II и принца Филиппа), 50, 10, 5, 2,1, 1/2 новых пенни. В пластиковой упаковке ; 1972 ;  ; Cu-Ni,Br ; Unc ; 23 ; 1879 ; 635 
 4142 ; 5 гривен. Украина. 500 лет Чигирин ; 2012 ;  ; Cu-Ni ; AU ; 11 ; Foxes ; 185 
 4143 ; 5 гривен. Украина. Киевский меридиан ; 2010 ;  ; Cu-Ni ; AU ; 9 ; Shurmon ; 219 
 4144 ; 5 гривен. Украина. Тарас Шевченко ; 2014 ;  ; Cu-Ni ; AU ; 7 ; Valera G ; 203 
 4145 ; 5 гривен. Украина. 150 лет Национальной парламентской библиотеке ; 2016 ;  ; Cu-Ni ; AU ; 17 ; зуммер ; 193 
 4146 ; 1/4 доллара. США ; 2013D ;  ; Cu-Ni ; XF+ ; 8 ; vl-solo ; 30 
 4147 ; 1/4 доллара. США ; 2014D ;  ; Cu-Ni ; XF+ ; 16 ; smn51 ; 55 
 4148 ; 1/4 доллара. США ; 2014D ;  ; Cu-Ni ; XF ; 18 ; sparrow ; 42 
 4149 ; 1/4 доллара. США ; 2015D ;  ; Cu-Ni ; XF+ ; 9 ; X3.96rus ; 31 
 4150 ; 1/4 доллара. США ; 2007D ;  ; Cu-Ni ; XF+ ; 6 ; vl-solo ; 30 
 4151 ; 1/4 доллара. США ; 2015D ;  ; Cu-Ni ; XF+ ; 6 ; X3.96rus ; 30 
 4152 ; 1/4 доллара. США ; 2006D ;  ; Cu-Ni ; XF+ ; 8 ; X3.96rus ; 32 
 4153 ; 1/4 доллара. США ; 2009D ;  ; Cu-Ni ; XF+ ; 18 ; don Pacheko ; 123 
 4154 ; 1/4 доллара. США ; 2000D ;  ; Cu-Ni ; XF+ ; 6 ; X3.96rus ; 30 
 4155 ; 1/4 доллара. США ; 2007D ;  ; Cu-Ni ; XF+ ; 17 ; don Pacheko ; 101 
 4156 ; 1/4 доллара. США ; 2005D ;  ; Cu-Ni ; XF+ ; 11 ; don Pacheko ; 102 
 4157 ; 1/4 доллара. США ; 2016D ;  ; Cu-Ni ; AU ; 15 ; smn51 ; 57 
 4158 ; 1/4 доллара. США ; 2014D ;  ; Cu-Ni ; XF+ ; 12 ; smn51 ; 57 
 4159 ; 1/4 доллара. США ; 2002D ;  ; Cu-Ni ; XF+ ; 6 ; X3.96rus ; 30 
 4160 ; 1/4 доллара. США ; 2006D ;  ; Cu-Ni ; XF+ ; 5 ; 333985 ; 29 
 4161 ; 1/4 доллара. США ; 2003D ;  ; Cu-Ni ; XF+ ; 6 ; vl-solo ; 30 
 4162 ; 1/4 доллара. США ; 2002D ;  ; Cu-Ni ; XF+ ; 7 ; X3.96rus ; 31 
 4163 ; 1/4 доллара. США ; 2004D ;  ; Cu-Ni ; XF+ ; 9 ; Dinar02 ; 40 
 4164 ; 1/4 доллара. США ; 2005D ;  ; Cu-Ni ; XF+ ; 17 ; don Pacheko ; 101 
 4165 ; 1/4 доллара. США ; 2000P ;  ; Cu-Ni ; XF+ ; 14 ; zodiak ; 51 
 4166 ; 1/4 доллара. США ; 2017D ;  ; Cu-Ni ; AU ; 20 ; X3.96rus ; 41 
 4167 ; 1/4 доллара. США ; 2013D ;  ; Cu-Ni ; XF+ ; 14 ; smn51 ; 57 
 4168 ; 1/4 доллара. США ; 2005D ;  ; Cu-Ni ; XF+ ; 14 ; don Pacheko ; 101 
 4169 ; 1/4 доллара. США ; 2005D ;  ; Cu-Ni ; XF+ ; 6 ; vl-solo ; 30 
 4170 ; 1/4 доллара. США ; 2002P ;  ; Cu-Ni ; XF+ ; 17 ; don Pacheko ; 101 
 4171 ; 20 липа. Хорватия ; 1993 ;  ; St/Ni ; XF ; 5 ; Maksss163 ; 28 
 4172 ; 15 бани. Румыния ; 1960 ;  ; Ni ; VF ; 10 ; ag58 ; 30 
 4173 ; 5 куна. Хорватия ; 1998 ;  ; Cu-Ni ; VF ; 23 ; SKeeper ; 61 
 4174 ; 1 драхма. Греция ; 1962 ;  ; Cu-Ni ; VF+ ; 24 ; Yuraha76 ; 59 
 4175 ; 50 сентимос. Испания ; 1949 ;  ; Cu-Ni ; VF ; 18 ; ZOLTAN333 ; 72 
 4176 ; 1000 лей. Румыния ; 2004 ;  ; Al ; VF ; 5 ; MAPKu3 ; 30 
 4177 ; 10 драм. Армения ; 2004 ;  ; Al ; VF+ ; 24 ; sts ; 61 
 4178 ; 10 геллеров. Чехословакия ; 1999 ;  ; Al ; VF+ ; 3 ; Maksss163 ; 28 
 4179 ; 5 марок. Финляндия ; 1946 ;  ; Al/Br ; VF ; 3 ; Maksss163 ; 28 
 4180 ; 1 марка. Финляндия ; 1943 ;  ; Cu ; XF- ; 3 ; Maksss163 ; 28 
 4181 ; 1 марка. Финляндия ; 1937 ;  ; Cu-Ni ; VF+ ; 3 ; Maksss163 ; 28 
 4182 ; 1 динар. Сербия ; 2007 ;  ; Ж/м ; XF ; 3 ; Maksss163 ; 28 
 4183 ; 1/2 пенни. Великобритания ; 1959 ;  ; Br ; XF ; 5 ; 333985 ; 29 
 4184 ; Фартинг. Великобритания ; 1918 ;  ; Br ; VF- ; 7 ; зуммер ; 29 
 4185 ; 1 грошен. Австрия ; 1937 ;  ; Br ; VF+ ; 4 ; MAPKu3 ; 29 
 4186 ; 50 злотых. Польша ; 1980 ;  ; Cu-Ni ; XF ; 24 ; ag58 ; 61 
 4187 ; 20 чентезимо. Италия ; 1943 ;  ; St ; VF ; 4 ; SKeeper ; 29 
 4188 ; 100 лир. Италия ; 1979 ;  ; St ; XF ; 5 ; Yuraha76 ; 40 
 4189 ; 10 центов. Мальта ; 1995 ;  ; Cu-Ni ; XF ; 3 ; зуммер ; 29 
 4190 ; 50 эре. Швеция ; 1973 ;  ; Cu-Ni ; XF ; 7 ; teso ; 11 
 4191 ; 5 сентимес. Франция ; 1968 ;  ; Ni/Хром ; XF ; 4 ; MAPKu3 ; 29 
 4092 ; 1/2 доллара. США ; 1976S ;  ; Cu-Ni ; Proof ; 11 ; Mike! ; 93 
 4093 ; 10 франков. Конго ; 1965 ;  ; Al ; VF ; 18 ; Rodan Lewarx ; 331 
 4094 ; 10 экю. Нидерланды ; 1990 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 204 
 4095 ; 5 дирхем. Марокко ; 1980 ;  ; Cu-Ni ; XF ; 24 ; Rodan Lewarx ; 234 
 4096 ; 2 евро. Германия. 50 лет Римскому договору ; 2007 ;  ; Би/м ; XF+ ; 7 ; suomi ; 250 
 4097 ; 2 евро. Италия. Турин ; 2006 ;  ; Би/м ; XF+ ; 11 ; Mike! ; 134 
 4098 ; 2 евро. Италия. Всемирная продовольственная программа ; 2004 ;  ; Би/м ; XF+ ; 13 ; Mike! ; 145 
 4099 ; 2 евро. Германия. Гамбург ; 2008 ;  ; Би/м ; XF ; 8 ; Mike! ; 240 
 4100 ; 2 евро. Греция. Олимпиада ; 2004 ;  ; Би/м ; XF+ ; 9 ; Mike! ; 133 
 4101 ; 2 евро. Германия. 25 лет ; 2015 ;  ; Би/м ; AU ; 3 ; Mike! ; 185 
 4102 ; 2 евро. Германия. 10 лет экономическому и валютному союзу ; 2012 ;  ; Би/м ; XF+ ; 13 ; Mike! ; 145 
 4103 ; 2 евро. Австрия. 50 лет Римскому договору ; 2007 ;  ; Би/м ; XF+ ; 22 ; Mike! ; 203 
 4104 ; 2 евро. Финляндия. 10 лет ЕВРО ; 2012 ;  ; Би/м ; XF+ ; 12 ; Mike! ; 184 
 4105 ; Платежный жетон 5 ;  ;  ; Zn ; F ; 5 ; Mike! ; 38 
 4106 ; Платежный жетон 20 ;  ;  ; Zn ; F ; 5 ; Mike! ; 33 
 4107 ; Платежный жетон 20 ;  ;  ; Ж/м ; VF ; 5 ; Mike! ; 33 
 4108 ; Платежный жетон 20 ;  ;  ; Б/м ; VF ; 13 ; Папа Свин ; 203 
 4109 ; Платежный жетон 20 ;  ;  ; Ж/м ; F+ ; 5 ; Mike! ; 48 
 4110 ; 2 евро. Франция ; 2013 ;  ; Би/м ; XF+ ; 18 ; Mike! ; 159 
 4111 ; 5 сентаво. Мексика ; 1906 ;  ; Cu-Ni ; XF ; 17 ; 1879 ; 152 
 4112 ; 1 бат. Тайланд ;  ;  ; Cu-Ni ; XF+ ; 19 ; Mike! ; 92 
 4113 ; 1 франк. Бельгия ; 1923 ;  ; Cu-Ni ; VF ; 3 ; Mike! ; 29 
 4114 ; 500000 лир. Турция ; 2002 ;  ; Cu-Ni ; XF ; 19 ; жора ; 119 
 4115 ; 1 фунт. Ирландия ; 1990 ;  ; Cu-Ni ; XF ; 17 ; Mike! ; 111 
 4116 ; Монета Непал ;  ;  ; Al/Br ; XF ; 11 ; кот баюн ; 77 
 4117 ; 1 доллар. Канада. ; 1994 ;  ; Cu-Ni-Zn ; AU ; 26 ; Mike! ; 153 
 4118 ; 1 доллар. Канада. ; 1993 ;  ; Cu-Ni-Zn ; AU ; 9 ; Jeff ; 68 
 4119 ; 2 гривны. Украина. Азовка ; 2004 ;  ; Cu-Ni ; XF ; 23 ; Опятор ; 818 
 4120 ; 2 гривны. Украина. Михаил Бажан ; 2004 ;  ; Cu-Ni ; XF+ ; 13 ; SKeeper ; 135 
 4121 ; 2 гривны. Украина. Аскания-Нова ; 1998 ;  ; Cu-Ni ; XF- ; 14 ; Хромосян ; 592 
 4122 ; 2 гривны. Украина. Авиация ; 2003 ;  ; Cu-Ni ; XF+ ; 20 ; Опятор ; 720 
 4123 ; 2 гривны. Украина. Михаил Дерегус ; 2004 ;  ; Cu-Ni ; XF+ ; 21 ; Ratmen ; 253 
 4124 ; 200000 карбованцев. Украина. Первое участие в Летних Олимпийских играх ; 1996 ;  ; Cu-Ni ; Proof ; 50 ; CASABLANCA ; 464 
 4125 ; 200000 карбованцев. Украина. 50 лет окончания ВОВ ; 1995 ;  ; Cu-Ni ; Proof ; 47 ; bcg ; 345 
 4126 ; 2 гривны. Украина. Богдан Ступка ; 2016 ;  ; Cu-Ni ; AU ; 21 ; SKeeper ; 400 
 4127 ; 5 гривен. Украина. Денежная система ; 2006 ;  ; Cu-Ni ; AU ; 9 ; Valera G ; 305 
 4128 ; 5 гривен. Украина. 500 лет битвы под Оршей ; 2014 ;  ; Cu-Ni ; AU ; 11 ; Valera G ; 213 
 4129 ; 5 гривен. Украина. Древний Малин ; 2016 ;  ; Cu-Ni ; AU ; 9 ; бриз33 ; 161 
 4130 ; 5 гривен. Украина. Елецкий Свято-Успенский собор ; 2012 ;  ; Cu-Ni ; AU ; 14 ; kornum ; 240 
 4131 ; 5 гривен. Украина. Никитский ботанический сад ; 2012 ;  ; Cu-Ni ; AU ; 10 ; Shurmon ; 219 
 4132 ; 5 гривен. Украина. 70 лет освобождения Мелитополя ; 2013 ;  ; Cu-Ni ; AU ; 12 ; 75SA ; 215 
 4133 ; 5 гривен. Украина. 50-летия основания Национальной премии Украины имени Тараса Шевченко ; 2011 ;  ; Cu-Ni ; AU ; 12 ; 3ТЭП75 ; 171 
 4134 ; 5 гривен. Украина. Одесса ; 2014 ;  ; Cu-Ni ; AU ; 13 ; 2104 ; 408 
 4135 ; 5 гривен. Украина. 500 лет казацким поселениям ; 2005 ;  ; Cu-Ni ; XF+ ; 32 ; Вованыч ; 261 
 4136 ; 5 гривен. Украина. Древний Дрогобич ; 2016 ;  ; Cu-Ni ; AU ; 10 ; Вованыч ; 189 
 4137 ; 5 гривен. Украина. 15 лет независимости Украины ; 2006 ;  ; Cu-Ni ; XF+ ; 20 ; Вованыч ; 221 
 4138 ; 5 гривен. Украина. Геноцид Крымско-татарского народа ; 2016 ;  ; Cu-Ni ; AU ; 32 ; SKeeper ; 455 
 4139 ; 5 гривен. Украина. Ужгород ; 2013 ;  ; Cu-Ni ; AU ; 9 ; зуммер ; 171 
 4140 ; 5 гривен. Украина. Церковь Св. Николая ; 2016 ;  ; Cu-Ni ; AU ; 17 ; Shurmon ; 353 
 4141 ; 5 гривен. Украина. Геодезична дуга Струве ; 2016 ;  ; Cu-Ni ; AU ; 6 ; Shurmon ; 200 
 4042 ; 10 сантимов. Тунис ; 1912 ;  ; Cu ; F-VF ; 5 ; Mike! ; 150 
 4043 ; 1/4 стюбера. Юлих-Берг ; 1785 ;  ; Cu ; F ; 5 ; Mike! ; 200 
 4044 ; 5 пара. Османская Империя ; 1277 ;  ; Cu ; F ; 9 ; Mike! ; 179 
 4045 ; 1 хеллер. Немецкая Ост-Африка ; 1913A ;  ; Cu ; VF- ; 19 ; Mike! ; 182 
 4046 ; 1 хелер. Немецкая Ост-Африка ; 1905A ;  ; Cu ; VF ; 23 ; Mike! ; 215 
 4047 ; 1/4 крейцера. Германия. Пфальц ; 1773 ;  ; Cu ; VF- ; 25 ; mkm1968 ; 340 
 4048 ; 5 центов. Эфиопия ;  ;  ; Cu ; VF ; 23 ; Mike! ; 101 
 4049 ; 1 крейцер. Австрия ; 1885 ;  ; Cu ; VF- ; 7 ; Black Cat ; 114 
 4050 ; 2 пфеннига. Сакс-Кобург-Гота ; 1851 ;  ; Cu ; F ; 5 ; Mike! ; 101 
 4051 ; 1 цент. Французский Индо-Китай ; 1886 ;  ; Cu ; VF- ; 11 ; Mike! ; 328 
 4052 ; 10 чентезимо. Италия ; 1867 ;  ; Cu ; VF- ; 37 ; Mike! ; 131 
 4053 ; 1 цент. США ; 1943 ;  ; Zn ; VF- ; 8 ; Mike! ; 62 
 4054 ; 1/2 цента. Цейлон ; 1937 ;  ; Br ; XF ; 13 ; Mike! ; 234 
 4055 ; 25 центов. Эфиопия ;  ;  ; Br ; F-VF ; 10 ; chief com ; 114 
 4056 ; 1 хеллер. Немецкая Ост-Африка ; 1907J ;  ; Cu ; VF ; 19 ; Mike! ; 215 
 4057 ; Фартинг. Великобритания ; 1919 ;  ; Cu ; VF ; 7 ; Mike! ; 32 
 4058 ; 2 эре. Швеция ; 1872 ;  ; Cu ; VF ; 13 ; Mike! ; 263 
 4059 ; 2 сентаво. Перу ; 1933 ;  ; Cu ; VF- ; 13 ; sparrow ; 114 
 4060 ; 1 хеллер. Франкфурт ; 1819 ;  ; Cu ; F- ; 9 ; Mike! ; 123 
 4061 ; 1 хеллер. Франкфурт ; 1860 ;  ; Cu ; VF- ; 19 ; Mike! ; 177 
 4062 ; 2 пфеннига. Сакс-Мейнинген ; 1859 ;  ; Cu ; F-VF ; 7 ; Mike! ; 139 
 4063 ; 1 пфенниг. Бавария ; 1856 ;  ; Cu ; VF- ; 7 ; Mike! ; 149 
 4064 ; 1 крейцер. Баден ; 1852 ;  ; Cu ; F+ ; 5 ; Mike! ; 101 
 4065 ; 1 пенни. Англия ; 1806 ;  ; Cu ; F- ; 15 ; Mike! ; 102 
 4066 ; 10 сантимов. Тунис ; 1903 ;  ; Cu ; F-VF ; 19 ; Mike! ; 181 
 4067 ; 1 крейцер. Баден ; 1852 ;  ; Cu ; F+ ; 5 ; Mike! ; 61 
 4068 ; 1 хеллер. Франкфурт ; 1855 ;  ; Cu ; VF- ; 17 ; Mike! ; 153 
 4069 ; 1/2 пенни. Великобритания ; 1899 ;  ; Cu ; F+ ; 17 ; Mike! ; 53 
 4070 ; 1/40 гирш. Египет ; 1327 ;  ; Cu ; XF ; 42 ; Rodan Lewarx ; 663 
 4071 ; 1 пфенниг. Брауншвейг-Вольфенбюттель ; 1797 ;  ; Cu ; VF- ; 17 ; Mike! ; 153 
 4072 ; 20 рейс. Португалия ; 1892 ;  ; Cu ; F-VF ; 25 ; photosnowmaker ; 175 
 4073 ; 1 цент. Цейлон ; 1891 ;  ; Cu ; F ; 17 ; Mike! ; 181 
 4074 ; 2 сенти. Эстония ; 1934 ;  ; Cu ; VF ; 15 ; Mike! ; 87 
 4075 ; 1 крейцер. Баден ; 1845 ;  ; Cu ; F ; 15 ; Mike! ; 179 
 4076 ; 1 цент Маврикий ; 1952 ;  ; Cu ; VF ; 15 ; Mike! ; 102 
 4077 ; 50 хеллеров. Чехия и Моравия ; 1941 ;  ; Zn ; F-VF ; 11 ; antoniounh ; 153 
