 4808 ; Бона иностранная ;  ;  ;  ;  ; 51 ; Etich ; 135 
 3591 ; 200 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 41 ; лесной ; 348 
 3592 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; AU ; 44 ; Rober ; 254 
 3593 ; 100 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 98 ; лесной ; 189 
 3594 ; 100 марок. Финляндия ; 1957 ;  ; Ag ; AU ; 102 ; LAB-A ; 201 
 3495 ; 1 песета. Экваториальная Гвинея ; 1969 ;  ; Al/Br ; XF+ ; 20 ; pvg ; 120 
 3496 ; 10 франков. Мали ; 1961 ;  ; Al ; VF+ ; 82 ; pvg ; 189 
 3497 ; 50 франков. Коморские острова ; 1994 ;  ; Ni ; AU ; 18 ; aurin1 ; 57 
 3498 ; 10 центов. ЮАР ; 1963 ;  ; Ag ; VF ; 46 ; барсик ; 144 
 3499 ; 5 мильемов. Судан ; 1972 ;  ; Br ; XF- ; 23 ; aziya11 ; 64 
 3500 ; 50 гирш. Судан. ФАО ; 1972 ;  ; Cu-Ni ; AU ; 23 ; smel ; 230 
 3501 ; 10 пиастров. Ливан ; 1961 ;  ; Cu-Ni ; VF-XF ; 13 ; pvg ; 48 
 3502 ; 1 фунт. Сирия ; 1991 ;  ; St ; VF+ ; 10 ; alskr ; 29 
 3503 ; 50 риалов. Иран ; 1990 ;  ; Cu-Ni ; VF-XF ; 9 ; барсик ; 51 
 3504 ; 50 куруш. Турция ; 1949 ;  ; Лат ; VF ; 21 ; alskr ; 41 
 3505 ; 1 риэль. Камбоджа (Кхмерская респ) ; 1970 ;  ; Cu-Ni ; XF+ ; 15 ; pvg ; 144 
 3506 ; 2 сене. Самоа и Сисифо ; 1967 ;  ; Br ; VF-XF ; 39 ; vc57 ; 84 
 3507 ; 10 квача. Малави. Животные подвергающиеся опасности ; 2005 ;  ; Ag ; Proof ; 52 ; RusExo ; 625 
 3508 ; 5 лир. Италия ; 1955R ;  ; Al ; VF-XF ; 26 ; latgale ; 51 
 3509 ; 1/4 доллара. США ; 1978 ;  ; Cu/Ni ; VF ; 27 ; alex.k ; 50 
 3510 ; 1/4 доллара. США ; 1966 ;  ; Cu/Ni ; VF ; 28 ; military ; 51 
 3511 ; 1/4 гульдена. Нидерландское Кюрасао ; 1944D ;  ; Ag ; VF+ ; 22 ; Rober ; 84 
 3512 ; 1 крона. Швеция ; 1961 ;  ; Ag ; VF+ ; 49 ; Searcher ; 86 
 3513 ; 10 центов. Нидерланды ; 1938 ;  ; Ag ; VF ; 24 ; pvg ; 92 
 3514 ; 10 эре. Швеция ; 1938 ;  ; Ag ; VF- ; 25 ; Revd ; 51 
 3515 ; 10 эре. Швеция ; 1890 ;  ; Ag ; F+ ; 44 ; BAG ; 75 
 3516 ; 10 эре. Швеция ; 1954 ;  ; Ag ; XF ; 6 ; t_v_v ; 47 
 3517 ; 10 эре. Швеция ; 1950 ;  ; Ag ; XF ; 41 ; Revd ; 51 
 3518 ; 10 эре. Швеция ; 1919 ;  ; Ag ; VF- ; 12 ; sever1967 ; 55 
 3519 ; 10 эре. Швеция ; 1934 ;  ; Ag ; XF- ; 15 ; Revd ; 79 
 3520 ; 25 эре. Швеция ; 1944 ;  ; Ag ; XF- ; 41 ; Revd ; 69 
 3521 ; 25 эре. Швеция ; 1910 ;  ; Ag ; F-VF ; 62 ; and1972 ; 91 
 3522 ; 20 лева. Болгария ; 1930 ;  ; Ag ; VF+ ; 18 ; Ратамахатта ; 92 
 3523 ; 50 эре. Швеция ; 1953 ;  ; Ag ; VF+ ; 7 ; BAG ; 91 
 3524 ; 10 центов. Нидерланды ; 1937 ;  ; Ag ; VF+ ; 7 ; t_v_v ; 90 
 3525 ; 10 эре. Швеция ; 1944 ;  ; Ag ; XF ; 10 ; ADD ; 55 
 3526 ; 1 крона. Швеция ; 1946 ;  ; Ag ; VF-XF ; 20 ; Searcher ; 139 
 3527 ; 10 сентаво. Филиппины ; 1945D ;  ; Ag ; VF ; 71 ; alskr ; 93 
 3528 ; 10 сентаво. Филиппины ; 1945D ;  ; Ag ; VF+ ; 40 ; Рыжая_Кыся ; 100 
 3529 ; 10 центов. Канада ; 1965 ;  ; Ag ; VF+ ; 20 ; elinsckij123 ; 94 
 3530 ; 10 центов. Канада ; 1962 ;  ; Ag ; VF- ; 10 ; Harlock ; 92 
 3531 ; 1/2 шиллинга. Австрия ; 1925 ;  ; Ag ; XF ; 33 ; pvg ; 288 
 3532 ; 50 сентаво. Сальвадор ; 1953 ;  ; Ag ; F ; 16 ; Dahan ; 92 
 3533 ; 20 сентаво. Колумбия ; 1953 ;  ; Ag ; F+ ; 45 ; t_v_v ; 90 
 3534 ; 3 цента. США ; 1853 ;  ; Ag ; F ; 69 ; gabbels ; 1748 
 3535 ; 1/4 боливара. Венесуэлла ; 1919 ;  ; Ag ; F ; 22 ; t_v_v ; 90 
 3536 ; 1 дирхам. Марокко ; 1960 ;  ; Ag ; VF+ ; 19 ; дед морос ; 188 
 3537 ; 25 сентимов. Франция ; 1904 ;  ; Cu-Ni ; VF ; 50 ; pvg ; 169 
 3538 ; 20 чентезимо. Италия ; 1920R ;  ; Ni ; XF ; 54 ; Sky2 ; 173 
 3539 ; 20 чентезимо. Италия ; 1920R ;  ; Ni ; XF+ ; 52 ; latgale ; 412 
 3540 ; 1 драхма. Греция ; 1973 ;  ; Cu-Ni ; AU ; 26 ; latgale ; 155 
 3541 ; 1 франк. Бельгия ; 1939 ;  ; Cu-Ni ; XF ; 69 ; pvg ; 261 
 3542 ; 1 франк. Люксембург ; 1960 ;  ; Cu-Ni ; XF- ; 29 ; Sam ; 43 
 3543 ; 5 марок. Эстония ; 1922 ;  ; Cu-Ni ; VF-XF ; 22 ; лесной ; 257 
 3544 ; 50 песет. Испания. Футбол ; 1980 ;  ; Cu-Ni ; AU ; 12 ; Анатоль ; 49 
 3445 ; 10 пфеннигов. ГДР ; 1950G ;  ; Латунь ; VF- ; 15 ; Searcher ; 16 
 3446 ; 1 динар. Югославия ; 1965 ;  ; Cu-Ni ; VF ; 12 ; Jordan ; 13 
 3447 ; 1 лей. Румыния ; 1966 ;  ; Cu-Ni ; XF ; 22 ; StanislavAK ; 21 
 3448 ; 100 лей. Румыния ; 1993 ;  ; Cu-Ni ; XF- ; 29 ; Jordan ; 65 
 3449 ; 2 лиры. Италия ; 1924 ;  ; Cu-Ni ; VF- ; 25 ; krugerrand ; 46 
 3450 ; 5 куруш. Труция ; 1966 ;  ; Cu ; VF ; 20 ; aziya11 ; 38 
 3451 ; 1 лат. Латвия ; 1924 ;  ; Ag ; VF ; 69 ; asternox ; 250 
 3452 ; 5 лит. Литва ; 1925 ;  ; Ag ; VF ; 86 ; Mart_11 ; 1281 
 3453 ; 5 лит. Литва ; 1936 ;  ; Ag ; VF+ ; 30 ; Ясер ; 486 
 3454 ; 1 лит. Литва ; 1925 ;  ; Ag ; F-VF ; 11 ; dolotov.leha ; 200 
 3455 ; 2 кроны. Эстония. Креспость Томпеа ; 1930 ;  ; Ag ; VF- ; 45 ; Dave ; 462 
 3456 ; 10 марок. Финляндия. 75 лет со дня рождения президента Кекконена ; 1975 ;  ; Ag ; AU ; 48 ; princ ; 407 
 3457 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; VF+ ; 39 ; Jordan ; 270 
 3458 ; 100 марок. Финляндия ; 1956 ;  ; Ag ; XF ; 81 ; sever1967 ; 179 
 3459 ; 25 сенти. Эстония ; 1928 ;  ; Cu-Ni ; F-VF ; 29 ; vengriya ; 458 
 3460 ; 1 марка. Эстония ; 1926 ;  ; Cu-Ni ; VF ; 44 ; pvg ; 590 
 3461 ; 1 крона. Эстония ; 1934 ;  ; Al/Br ; VF ; 23 ; vengriya ; 204 
 3462 ; 5 марок. Эстония ; 1922 ;  ; Cu-Ni ; VF-XF/VF ; 5 ; von_Schwarz ; 200 
 3463 ; 5 сенти. Эстония ; 1931 ;  ; Br ; F-VF ; 19 ; Mukoved ; 43 
 3464 ; 2 сенти. Эстония ; 1934 ;  ; Br ; VF ; 16 ; pvg ; 37 
 3465 ; 1 сент. Эстония ; 1939 ;  ; Br ; XF ; 35 ; vengriya ; 603 
 3466 ; 100 крон. Исландия ; 1995 ;  ; лат ; VF+ ; 56 ; Mukoved ; 117 
 3467 ; 1 франк. Бельгийское Конго. Провинция Руанда-Урунди ; 1959 ;  ; Al ; VF ; 45 ; pvg ; 89 
 3468 ; 5 рупий. Маврикий ; 1992 ;  ; Cu-Ni ; XF+ ; 25 ; aurin1 ; 51 
 3469 ; 10 рупий. Маврикий ; 1997 ;  ; Cu-Ni ; XF+ ; 28 ; Tarkus ; 53 
 3470 ; 1 теб. Ботсвана ; 1976 ;  ; Al ; AU ; 20 ; Jordan ; 39 
 3471 ; 40 сентаво. Куба ; 1916 ;  ; Ag ; F-VF ; 57 ; pvg ; 257 
 3472 ; 6 пенсов. Великобритания ; 1937 ;  ; Ag ; VF- ; 26 ; and1972 ; 92 
 3473 ; 25 эре. Швеция ; 1943 ;  ; Ag ; VF ; 16 ; BAG ; 78 
 3474 ; 1 таньга. Центральная Азия. Бухара. D-15мм. М-3,13г ; 1310 ;  ; Ag ; F+ ; 18 ; campan ; 276 
 3475 ; 5 таньга. Центральная Азия. Хива. D-30мм. М-10,14г ; 1337 ;  ; Br ; F ; 28 ; sonegr ; 549 
 3476 ; 5 центов. США ; 1923 ;  ; Cu-Ni ; VF- ; 60 ; Harlock ; 155 
 3477 ; 6 пенсов. Британская Западгая Африка, Нигенрия. Елизавета II ; 1959 ;  ; Cu-Ni ; VF- ; 7 ; pvg ; 140 
 3478 ; 1 шиллинг. Британская Западгая Африка, Нигенрия. Елизавета II ; 1961 ;  ; Cu-Ni ; VF ; 33 ; pvg ; 177 
 3479 ; 1 франк. Бельгийское Конго ; 1922 ;  ; Cu-Ni ; VF ; 9 ; pvg ; 245 
 3480 ; 50 сантимов. Бельгийское Конго ; 1927 ;  ; Cu-Ni ; VF ; 26 ; кве ; 153 
 3481 ; 50 сантимов. Бельгийское Конго ; 1924 ;  ; Cu-Ni ; VF+ ; 17 ; pvg ; 228 
 3482 ; 5 миллимов. Египет. Фарух ; 1943 ;  ; Br ; VF- ; 37 ; ship-nik ; 76 
 3483 ; 10 миллимов. Египет. Фарух ; 1938 ;  ; Cu-Ni ; VF ; 16 ; aziya11 ; 82 
 3484 ; 5 франков. Французское Марокко ; 1365 ;  ; Al/Br ; VF+ ; 15 ; alskr ; 107 
 3485 ; 100 франков. Французское Марокко ; 1953 ;  ; Ag ; XF ; 28 ; aurin1 ; 434 
 3486 ; 1 чентезимо. Итальянское Сомали ; 1950 ;  ; Cu ; VF-XF ; 32 ; pvg ; 254 
 3487 ; 5 чентезимо. Итальянское Сомали ; 1950 ;  ; Cu ; VF ; 27 ; pvg ; 240 
 3488 ; 5 франков. Французский Тунис ; 1946 ;  ; Al/Br ; XF- ; 36 ; vesta78 ; 313 
 3489 ; 5 франков. Французский Тунис ; 1954 ;  ; Cu-Ni ; VF ; 20 ; aurin1 ; 181 
 3490 ; 100 франков. Французский Тунис ; 1950 ;  ; Cu-Ni ; VF- ; 28 ; alskr ; 184 
 3491 ; 1 пенни. Замбия ; 1966 ;  ; Br ; VF- ; 38 ; pvg ; 345 
 3492 ; 1 куруш. Турция Республика ; 1942 ;  ; Cu-Ni ; VF ; 30 ; Недорого ; 102 
 3493 ; 5 центов. Тринидад и Тобаго ; 1971 ;  ; Br ; VF-XF ; 18 ; pvg ; 42 
 3494 ; 10 песев. Гана ; 1967 ;  ; Cu-Ni ; VF- ; 12 ; Sam ; 32 
 3395 ; 2 гривны. Украина. Василий Стус ; 2008 ;  ; Cu-Ni ; AU ; 3 ; brat52 ; 131 
 3396 ; 2 гривны. Украина. 100 лет Украинскому хоккею ; 2010 ;  ; Cu-Ni ; AU ; 5 ; brat52 ; 137 
 3397 ; 2 гривны. Украина. Ковыль ; 2010 ;  ; Cu-Ni ; AU ; 3 ; brat52 ; 131 
 3398 ; 2 гривны. Украина. 125 лет Национальному Техническому университету ; 2010 ;  ; Cu-Ni ; AU ; 3 ; military ; 128 
 3399 ; 2 гривны. Украина. Украинское общество врачей ; 2010 ;  ; Cu-Ni ; AU ; 8 ; brat52 ; 163 
 3400 ; 1 рубль. Беларусь. Легенда про жаворонка ; 2009 ;  ; Cu-Ni ; Proof-like ; 7 ; August31 ; 247 
 3401 ; 2 евро. ФРГ. 10-летие Экономического и валютного союза ; 2009A ;  ; Би/м ; XF+ ; 9 ; Толяныч ; 232 
 3402 ; 2 евро. Франция. 70-летие воззвания Шарля де Голля «Ко всем французам» 18 июня 1940 года ; 2010 ;  ; Би/м ; AU ; 23 ; svv ; 229 
 3403 ; 2 евро. Бельгия. Председательство Бельгии в Европейском союз ; 2010 ;  ; Би/м ; AU ; 45 ; rusland74 ; 628 
 3404 ; 2 евро. Испания ; 2010 ;  ; Би/м ; AU ; 29 ; rusland74 ; 490 
 3405 ; 50 лева. Болгария ; 1943 ;  ; Cu-Ni ; VF+ ; 2 ; Jordan ; 90 
 3406 ; 50 стотинок. Болгария ; 1937 ;  ; Латунь ; VF ; 4 ; vb96 ; 72 
 3407 ; 10 стотинок. Болгария ; 1912 ;  ; Cu-Ni ; VF+ ; 1 ; Mike! ; 50 
 3408 ; 10 стотинок. Болгария ; 1913 ;  ; Cu-Ni ; VF+ ; 1 ; Mike! ; 50 
 3409 ; 2 стотинки. Болгария ; 1901 ;  ; Cu ; F-VF ; 1 ; Mike! ; 100 
 3410 ; 200 эскудо. Португалия. Тайвань ; 1996 ;  ; Cu-Ni ; AU ; 14 ; alexpakh ; 227 
 3411 ; 200 эскудо. Португалия. Китай ; 1996 ;  ; Cu-Ni ; AU ; 7 ; olga42 ; 169 
 3412 ; 200 эскудо. Португалия. Макао ; 1996 ;  ; Cu-Ni ; AU ; 17 ; olga42 ; 206 
 3413 ; 100 эскудо. Португалия. Открытие Канасрких островов ; 1989 ;  ; Cu-Ni ; AU ; 3 ; military ; 157 
 3414 ; 25 руфий. Мальдивы. 50 лет ООН ; 1996 ;  ; Cu-Ni ; XF ; 2 ; Mike! ; 200 
 3415 ; 2 фунта. Остров Мэн ; 2011 ;  ; Би/м ; AU ; 9 ; Makys ; 326 
 3416 ; 5 пара. Сербия ; 1912 ;  ; Cu-Ni ; VF ; 22 ; vengriya ; 153 
 3417 ; 1 доллар. Австралия. Содружество пенсионеров ; 2009 ;  ; Латунь ; AU ; 4 ; Jordan ; 119 
 3418 ; 1 доллар. Австралия. 100 лет "Гел-скаут" ; 2010 ;  ; Латунь ; AU ; 3 ; military ; 114 
 3419 ; 50 центов. Австралия. День Австралии ; 2010 ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 100 
 3420 ; 20 центов. Австралия. 100 лет Австралийскому налоговому управлению ; 2010 ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 83 
 3421 ; 20 центов. Австралия. Международный день женщин ; 2011 ;  ; Cu-Ni ; AU ; 3 ; brat52 ; 85 
 3422 ; 50 пара. Югославия ; 1938 ;  ; Латунь ; VF-XF ; 18 ; av ; 152 
 3423 ; 10 динаров. Югославия ; 1938 ;  ; Cu-Ni ; XF+ ; 15 ; лесной ; 201 
 3424 ; 2 песо. Аргентина ; 2007 ;  ; Cu-Ni ; AU ; 10 ; vc57 ; 95 
 3425 ; 2 песо. Аргентина ; 2010 ;  ; Cu-Ni ; AU ; 2 ; Mike! ; 55 
 3426 ; 50 сентаво. Аргентина ; 1985 ;  ; Латунь ; VF+ ; 2 ; Mike! ; 66 
 3427 ; 50 сентаво. Аргентина ; 1998 ;  ; Латунь ; AU ; 4 ; Mike! ; 69 
 3428 ; 1 тугрик. Монголия. 60 лет народной республике ; 1984 ;  ; Al/Br ; AU ; 12 ; Mike! ; 249 
 3429 ; 1 стотинка. Болгария ; 1951 ;  ; Латунь ; AU ; 15 ; pvg ; 123 
 3430 ; 3 стотинки. Болгария ; 1951 ;  ; Латунь ; AU ; 17 ; лесной ; 102 
 3431 ; 5 стотинки. Болгария ; 1951 ;  ; Латунь ; XF ; 11 ; pvg ; 46 
 3432 ; 10 стотинок. Болгария ; 1951 ;  ; Cu-Ni ; AU ; 12 ; pvg ; 123 
 3433 ; 25 стотинок. Болгария ; 1951 ;  ; Cu-Ni ; F-VF ; 72 ; pvg ; 236 
 3434 ; 20 стотинок. Болгария ; 1954 ;  ; Cu-Ni ; AU ; 27 ; велко ; 69 
 3435 ; 50 стотинок. Болгария ; 1959 ;  ; Cu-Ni ; VF+ ; 80 ; pvg ; 506 
 3436 ; 1 лев. Болгария ; 1960 ;  ; Cu-Ni ; F-VF ; 13 ; МНП68 ; 54 
 3437 ; 50 стоитнок. Болгария. Универсиада ; 1977 ;  ; Cu-Ni ; XF ; 42 ; МНП68 ; 94 
 3438 ; 1 лев. Болгария ; 1990 ;  ; Cu-Ni ; AU ; 19 ; МНП68 ; 84 
 3439 ; 10 лева. Болгария ; 1992 ;  ; Cu-Ni ; XF ; 5 ; gurtov ; 47 
 3440 ; 10 лева. Болгария ; 1997 ;  ; Латунь ; AU ; 17 ; pvg ; 102 
 3441 ; 200 эскудо. Португалия. Смерть в море ; 1999 ;  ; Cu-Ni ; AU ; 29 ; Jordan ; 159 
 3442 ; 10 пфеннигов. ГДР ; 1950D ;  ; Латунь ; VF ; 17 ; Augusto ; 18 
 3443 ; 10 пфеннигов. ГДР ; 1950J ;  ; Латунь ; VF- ; 16 ; evgeniyl75 ; 15 
 3444 ; 10 пфеннигов. ГДР ; 1950F ;  ; Латунь ; VF- ; 13 ; military ; 21 
 3345 ; 100 лева. Болгария. Охрана дикой природы ; 1993 ;  ; Ag ; Proof ; 47 ; Mike! ; 931 
 3346 ; 5 лева. Болгария. 100 лет Апрельского восстания ; 1976 ;  ; Ag ; Proof ; 23 ; brat52 ; 600 
 3347 ; 500 лева. Болгария. Атлантическая солидарность ; 1997 ;  ; Cu-Ni ; Proof ; 8 ; sasa1369 ; 177 
 3348 ; 50 лева. Болгария ; 1989 ;  ; Cu-Ni ; Proof ; 9 ; military ; 155 
 3349 ; 50 лева. Болгария. 100 лет гимнастике в Болгарии ; 1994 ;  ; Cu-Ni ; Proof ; 4 ; StanislavAK ; 132 
 3350 ; 20 лева. Болгария ; 1989 ;  ; Cu-Ni ; Proof ; 6 ; МНП68 ; 135 
 3351 ; 5 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; AU ; 6 ; military ; 173 
 3352 ; 5 лева. Болгария. Охотничья выставка ; 1981 ;  ; Cu-Ni ; AU ; 4 ; Harlock ; 157 
 3353 ; 5 лева. Болгария. Вторая международная ассамблея ; 1982 ;  ; Cu-Ni ; Proof ; 2 ; Mike! ; 150 
 3354 ; 5 лева. Болгария. 100 лет со дня рождения Владимира Димитрова. Следы хранения ; 1982 ;  ; Cu-Ni ; Proof ; 1 ; Mike! ; 150 
 3355 ; 5 лева. Болгария. Экспо 85. Пловдив ; 1985 ;  ; Cu-Ni ; Proof ; 1 ; Mike! ; 150 
 3356 ; 5 лева. Болгария. 90 лет организации туризма ; 1985 ;  ; Cu-Ni ; Proof ; 10 ; yuri.gruzdev ; 247 
 3357 ; 5 лева. Болгария. Генеральная конференция. ЮНЕСКО ; 1985 ;  ; Cu-Ni ; Proof ; 4 ; brat52 ; 157 
 3358 ; 5 лева. Болгария. Международная детская ассамблея ; 1985 ;  ; Cu-Ni ; Proof ; 2 ; military ; 153 
 3359 ; 5 лева. Болгария. Кремиковский металл ; 1988 ;  ; Cu-Ni ; Proof ; 4 ; yuri.gruzdev ; 251 
 3360 ; 5 лева. Болгария. Софроний Врачански ; 1989 ;  ; Cu-Ni ; Proof ; 2 ; Mike! ; 150 
 3361 ; 5 лева. Болгария. Васил Априлов ; 1989 ;  ; Cu-Ni ; Proof ; 1 ; Mike! ; 150 
 3362 ; 2 лева. Болгария. Добри Чинтулов ; 1972 ;  ; Cu-Ni ; AU ; 3 ; military ; 126 
 3363 ; 2 лева. Болгария. 100 лет Апрельского восстания ; 1976 ;  ; Cu-Ni ; Proof ; 6 ; brat52 ; 133 
 3364 ; 2 лева. Болгария. Первенство по футболу ; 1980 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 122 
 3365 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; Proof ; 2 ; Mike! ; 123 
 3366 ; 2 лева. Болгария. 1300 лет Болгарии. Следы хранения ; 1981 ;  ; Cu-Ni ; Proof ; 3 ; Атлантик ; 126 
 3367 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; Proof ; 3 ; military ; 126 
 3368 ; 2 лева. Болгария. 1300 лет Болгарии. Мать с ребенком ; 1981 ;  ; Cu-Ni ; Proof ; 4 ; StanislavAK ; 132 
 3369 ; 2 лева. Болгария. Апрельское восстание ; 1981 ;  ; Cu-Ni ; Proof ; 3 ; brat52 ; 131 
 3370 ; 2 лева. Болгария. 1300 лет Болгарии. Восстание Асена и Петра ; 1981 ;  ; Cu-Ni ; Proof ; 33 ; yuri.gruzdev ; 252 
 3371 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; Proof ; 10 ; yuri.gruzdev ; 149 
 3372 ; 2 лева. Болгария. 1300 лет Болгарии ; 1981 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 122 
 3373 ; 2 лева. Болгария. Первенство по художественной гимнастике ; 1987 ;  ; Cu-Ni ; Proof ; 14 ; yuri.gruzdev ; 251 
 3374 ; 2 лева. Болгария. Софийский университет. Климент Охридский ; 1988 ;  ; Cu-Ni ; Proof ; 5 ; yuri.gruzdev ; 134 
 3375 ; 2 лева. Болгария. Второй совместный космический полет СССР - НРБ ; 1988 ;  ; Cu-Ni ; Proof ; 4 ; Harlock ; 213 
 3376 ; 2 лева. Болгария. Первенство Кану-Каяк ; 1989 ;  ; Cu-Ni ; Proof ; 8 ; yuri.gruzdev ; 247 
 3377 ; 1 лев. Болгария. Охотничья выставка ; 1981 ;  ; Cu-Ni ; AU ; 4 ; brat52 ; 131 
 3378 ; 1 лев. Болгария. Олимпийские игры ; 1987 ;  ; Cu-Ni ; Proof ; 14 ; олег45 ; 164 
 3379 ; 1 доллар. Палау. Живая природа подвергающаяся опасности ; 2011 ;  ; Cu-Ni ; Proof ; 15 ; patap100 ; 700 
 3380 ; 1 доллар. Палау. Живая природа подвергающаяся опасности ; 2011 ;  ; Cu-Ni ; Proof ; 5 ; varvara ; 510 
 3381 ; 1 доллар. Палау. Живая природа подвергающаяся опасности ; 2011 ;  ; Cu-Ni ; Proof ; 5 ; varvara ; 510 
 3382 ; 10 евро. Испания. Чемпионат по футболу ; 2002 ;  ; Ag ; Proof ; 30 ; олег45 ; 1767 
 3383 ; 5 гривен. Украина. Голодомор ; 2007 ;  ; Cu-Ni ; AU ; 25 ; Гранит ; 363 
 3384 ; 5 гривен. Украина. 50 лет городу Снятин ; 2008 ;  ; Cu-Ni ; AU ; 5 ; Антон Семенович ; 157 
 3385 ; 5 гривен. Украина. Рада Европы ; 2009 ;  ; Би/м ; AU ; 5 ; Sky2 ; 184 
 3386 ; 5 гривен. Украина. 925 лет г Луцку ; 2010 ;  ; Cu-Ni ; AU ; 8 ; Rober ; 169 
 3387 ; 5 гривен. Украина. Гончарное дело ; 2010 ;  ; Cu-Ni ; AU ; 12 ; military ; 189 
 3388 ; 5 гривен. Украина. Спас ; 2010 ;  ; Cu-Ni ; AU ; 3 ; brat52 ; 157 
 3389 ; 5 гривен. Украина. Гопак ; 2011 ;  ; Cu-Ni ; AU ; 7 ; vc57 ; 169 
 3390 ; 5 гривен. Украина. Национальная премия им Тараса Шевченко ; 2011 ;  ; Cu-Ni ; AU ; 2 ; military ; 153 
 3391 ; 5 гривен. Украина. 20 лет независимости Украины ; 2011 ;  ; Cu-Ni ; AU ; 24 ; vladzory ; 250 
 3392 ; 5 гривен. Украина. Кузнец ; 2011 ;  ; Cu-Ni ; AU ; 2 ; УФА ; 153 
 3393 ; 5 гривен. Украина. 15 лет Конституции Украины ; 2011 ;  ; Cu-Ni ; AU ; 8 ; vc57 ; 164 
 3394 ; 5 гривен. Украина. 800 лет г Збараж ; 2011 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 150 
 3295 ; 1/2 крейцера. Баден, Леопольд I (1830-1852) ; 1849 ;  ; Br ; F-VF ; 30 ; santan93 ; 183 
 3296 ; 1 пфенниг. Германия, Вальдек-Пирмонт, Георг Виктор (1852-1893) ; 1867В ;  ; Br ; F+ ; 18 ; santan93 ; 174 
 3297 ; 1 пфенниг. Германия, Гессен-Дармштадт, Людвиг III (1848-1877) ; 1868 ;  ; Br ; F+ ; 27 ; santan93 ; 153 
 3298 ; 5 шиллингов. Астрия ; 1961 ;  ; Ag ; AU ; 38 ; Slava28 ; 365 
 3299 ; 1/12 шиллинга. Британский о-в Джерси, Георг V ; 1911 ;  ; Br ; VF+ ; 39 ; AGM62 ; 146 
 3300 ; 1/12 шиллинга. Британский о-в Джерси, Георг V ; 1931 ;  ; Br ; VF+ ; 12 ; pvg ; 139 
 3301 ; 1/2 пенни. Британская Австралия, Георг V ; 1919 ;  ; Br ; VF-XF ; 16 ; andreyM ; 59 
 3302 ; 1/2 пенни. Британская Новая Зеландия, Георг VI ; 1941 ;  ; Br ; VF+ ; 50 ; pvg ; 145 
 3303 ; 50 центов. Британские Вирджинские о-ва, Елизавета II ; 1974 ;  ; Ni ; Proof ; 23 ; ML ; 209 
 3304 ; 5 сантимов. Франция, 3-я Республика ; 1924 ;  ; Ni ; VF ; 15 ; av ; 58 
 3305 ; 100 лир. Ватикан, Павел VI ; 1967 ;  ; St ; AU ; 15 ; vc57 ; 104 
 3306 ; 1 крона. Швеция, Густав VI Адольф ; 1964 ;  ; Ag ; XF+ ; 53 ; aurin1 ; 113 
 3307 ; 1/2 франка. Швейцария ; 1950 ;  ; Ag ; VF+ ; 76 ; Rober ; 99 
 3308 ; 1 цент. США ; 1903 ;  ; Br ; VF- ; 78 ; varvara ; 107 
 3309 ; 1 цент. Нидерландская Восточня Индия ; 1938 ;  ; Br ; VF+ ; 17 ; валери ; 49 
 3310 ; 50 песо. Чили ; 1987 ;  ; Br ; AU ; 45 ; vc57 ; 53 
 3311 ; 10 прут. Израиль ; 1949 ;  ; Br ; VF+ ; 19 ; werespider ; 162 
 3312 ; 1 лит. Литва ; 1925 ;  ; Ag ; VF ; 104 ; dolotov.leha ; 181 
 3313 ; 10 центов. Нидерланды ; 1928 ;  ; Ag ; VF- ; 57 ; t_v_v ; 63 
 3314 ; 1 крона. Швеция ; 1960 ;  ; Ag ; VF ; 53 ; Нед Огл ; 108 
 3315 ; 3 пенса. Южная Африка ; 1953 ;  ; Ag ; VF- ; 28 ; pvg ; 93 
 3316 ; 10 центов. Канада ; 1959 ;  ; Ag ; VF- ; 42 ; Harlock ; 94 
 3317 ; 1/2 доллара. США ; 1968 ;  ; Ag ; VF- ; 39 ; brat52 ; 312 
 3318 ; 1 пайса. Индия. Бахавалпур ; 1343 ;  ; Br ; XF ; 36 ; Pilimov ; 178 
 3319 ; 1 пайса. Индия. Бахавалпур ; 1343 ;  ; Br ; XF ; 26 ; dolotov.leha ; 165 
 3320 ; Танга. Бухарский Эмират ; к. XIXв ;  ; Ag ; VF- ; 11 ; aziya11 ; 214 
 3321 ; 5 шиллингов. Южная Африка ; 1949 ;  ; Ag ; VF+ ; 22 ; Mike! ; 756 
 3322 ; 5 лат. Латвия ; 1931 ;  ; Ag ; VF+ ; 11 ; Mike! ; 896 
