 5633 ; Бона иностранная ;  ;  ;  ;  ; 7 ; северянин ; 30 
 3719 ; 6 сексэрос ;  ;  ; Би/м ; AU ; 6 ; Jana ; 101 
 3720 ; 6 сексэрос ;  ;  ; Би/м ; AU ; 27 ; Masik ; 200 
 3721 ; 6 сексэрос ;  ;  ; Би/м ; AU ; 19 ; Masik ; 204 
 3722 ; 6 сексэрос ;  ;  ; Би/м ; AU ; 6 ; Jana ; 101 
 3723 ; 6 сексэрос ;  ;  ; Би/м ; AU ; 29 ; Masik ; 197 
 3724 ; 6 сексэрос ;  ;  ; Би/м ; AU ; 22 ; Masik ; 197 
 3725 ; 6 сексэрос ;  ;  ; Би/м ; AU ; 25 ; Masik ; 200 
 3726 ; 200 марок Финляндии ; 1956 ;  ; Ag ; AU ; 16 ; zoloto ; 168 
 3727 ; 200 марок Финляндии ; 1957 ;  ; Ag ; AU ; 13 ; Rober ; 163 
 3728 ; 100 марок Финляндии ; 1956 ;  ; Ag ; UNC/AU ; 19 ; 347 ; 163 
 3729 ; 100 марок Финляндии ; 1957 ;  ; Ag ; UNC/AU ; 18 ; 347 ; 155 
 3730 ; 100 марок Финляндии ; 1958 ;  ; Ag ; UNC/AU ; 23 ; 347 ; 165 
 3731 ; 1 пенни. Финляндия ; 1919 ;  ; Cu ; UNC/AU ; 24 ; prince1959 ; 75 
 3732 ; 1 пенни. Финляндия ; 1924 ;  ; Cu ; AU ; 8 ; Sergio L ; 47 
 3733 ; 2 евро. Словакия. Свобода демократии. Буклет ; 2009 ;  ; Би/м ; Unc ; 23 ; zoloto ; 157 
 3734 ; 5 евро. Нидерланды. Живопись Нидерландов. Буклет ; 2011 ;  ; Cu,серебрение ; Unc ; 24 ; zoloto ; 335 
 3735 ; 1 доллар. США.  XXIII Олимпийские игры в Лос-Анжелесе ; 1983S ;  ; Ag ; Proof ; 17 ; Luka1 ; 1001 
 3736 ; Монетовидный жетон. 2 евро. Проба. Ватикан. Буклет ; 2005 ;  ; Би/м ; XF+ ; 28 ; aziya11 ; 93 
 3737 ; 5 марок. ФРГ. Лессинг. Конверт, марка ; 1981J ;  ; Cu-Ni ; Unc ; 10 ; valent77 ; 189 
 3738 ; 5 марок. ФРГ. Организация ООН по вопросам окр среды. Конверт, марка ; 1982F ;  ; Cu-Ni ; Unc ; 15 ; valent77 ; 225 
 3739 ; 5 марок. ФРГ. Бартольди. Конверт, марка ; 1984J ;  ; Cu-Ni ; Unc ; 22 ; doiu33 ; 261 
 3740 ; 5 марок. ФРГ. Эйсенбахская ж/д. Конверт, марка ; 1985G ;  ; Cu-Ni ; Unc ; 16 ; doiu33 ; 261 
 3741 ; 5 марок. ФРГ. Хейдельбергский университет. Конверт, марка ; 1986D ;  ; Cu-Ni ; Unc ; 16 ; aziya11 ; 261 
 3742 ; 5 марок. ГДР. Мэйсен. Конверт, марка ; 1983 ;  ; Cu-Ni ; Unc ; 5 ; yuri.gruzdev ; 352 
 3743 ; 2 марки. ФРГ. Конверт, марка ; 1984 ;  ; Cu-Ni ; Unc ; 20 ; valent77 ; 107 
 3744 ; 5 марок. ГДР. Николай Вертель. Конверт, марка ; 1987 ;  ; Cu-Ni ; Unc ; 5 ; yuri.gruzdev ; 283 
 3745 ; 20 марок. ГДР. Фридрих Шиллер. Конверт, марка ; 1942 ;  ; Cu-Ni ; Unc ; 21 ; aziya11 ; 247 
 3746 ; 50 пенсов. Остров Мэн. Рождество. Конверт, марка ; 1991 ;  ; Cu-Ni ; Unc ; 11 ; chebeer ; 308 
 3747 ; 50 пенсов. Гибралтар. Рождество. Конверт, марка ; 1991 ;  ; Cu-Ni ; Unc ; 9 ; SKeeper ; 193 
 3748 ; 20 марок. ГДР. Карл Маркс. Конверт, марка ; 1983A ;  ; Cu-Ni ; AU ; 13 ; salim ; 236 
 3749 ; 100 эскудо. Португальские Азорские острова. Конверт, марка ; 1986 ;  ; Cu-Ni ; Unc ; 18 ; SKeeper ; 135 
 3750 ; 2 марки. ГДР. Конверт, марка ; 1986J ;  ; Cu-Ni ; AU ; 11 ; valent77 ; 145 
 3751 ; 2 марки. ГДР. Конверт, марка ; 1988 ;  ; Cu-Ni ; Unc ; 13 ; valent77 ; 147 
 3752 ; 5 марок. ГДР. Бранденбургские ворота. Конверт, марка ; 1988 ;  ; Cu-Ni ; Unc ; 7 ; балбес ; 516 
 3753 ; 20 шиллингов. Австрия. Франц Грильпарцер. D-28мм. Конверт с маркой ;  ;  ; Ж/м ; Unc ; 9 ; aziya11 ; 206 
 3754 ; 1 марка. Германия. В конверте, с маркой ; 1988J ;  ; Cu-Ni, покрытие ; AU ; 11 ; banks ; 133 
 3755 ; 20 пенсов. Гибралтар. Конверт с маркой ; 1990 ;  ; Cu-Ni ; Unc ; 27 ; Бейн99999 ; 93 
 3756 ; 1 фунт. Ирландия. Конверт с маркой ; 1990 ;  ; Cu-Ni ; Unc ; 11 ; krugerrand ; 117 
 3757 ; 50 пенсов. Гибралтар. Конверт с маркой ; 1989 ;  ; Cu-Ni ; Unc ; 7 ; Бейн99999 ; 82 
 3758 ; 2 марки. ФРГ. Конверт с маркой ; 1988G ;  ; Cu-Ni ; Unc ; 11 ; salim ; 139 
 3759 ; 2 марки. ФРГ. Конверт с маркой ; 1990J ;  ; Cu-Ni ; Unc ; 5 ; salim ; 93 
 3760 ; 5 марок. ФРГ. Гете. В конверте с маркой ; 1982D ;  ; Cu-Ni ; Unc ; 29 ; doiu33 ; 238 
 3761 ; 1 крона. Остров Мэн. Кошка. В конверте с маркой ; 1988 ;  ; Cu-Ni ; Unc ; 20 ; chebeer ; 555 
 3762 ; 2 фунта. Гернси. Королевксий визит. В конверте с маркой ; 1989 ;  ; Cu-Ni ; Unc ; 28 ; sibirian ; 257 
 3763 ; 5 долларов. Острова Кука. 500 лет открытия Америки. В конверте с маркой ; 1991 ;  ; Cu-Ni ; AU ; 27 ; sibirian ; 207 
 3764 ; 25 новых пенсов. Великобритания. На свадьбу принца Чарльза и леди Дианы. В конверте с маркой ; 1981 ;  ; Cu-Ni ; AU ; 24 ; sampler22 ; 145 
 3665 ; 100 песо. Колумбия ; 2014 ;  ; Би/м ; AU ; 7 ; SKeeper ; 84 
 3666 ; 500 йен. Япония ;  ;  ; Би/м ; AU ; 27 ; cotangens ; 333 
 3667 ; 5 марок. ФРГ. Фогельвейде ; 1980D ;  ; Cu-Ni ; Proof ; 12 ; aziya11 ; 181 
 3668 ; 5 марок. ГДР. 20 лет ГДР ; 1969 ;  ; Cu-Ni ; VF+ ; 8 ; Jana ; 37 
 3669 ; 5 динаров. Югославия ; 1970 ;  ; Cu-Ni ; XF ; 8 ; Бейн99999 ; 46 
 3670 ; 1 песо. Куба ; 1979 ;  ; Cu-Ni ; AU ; 7 ; chebeer ; 327 
 3671 ; 1 песо. Куба. Олимпиада ; 1986 ;  ; Cu-Ni ; AU ; 11 ; salim ; 338 
 3672 ; 1 песо. Куба. 70 лет революции ; 1987 ;  ; Cu-Ni ; AU ; 7 ; lsp25 ; 465 
 3673 ; 1 песо. Куба. Олимпиада ; 1983 ;  ; Cu-Ni ; AU ; 3 ; salim ; 340 
 3674 ; 50 пенсов. Гибралтар. Рождество ; 2012 ;  ; Cu-Ni ; Proof-Like ; 22 ; SKeeper ; 179 
 3675 ; 5 марок. ГДР. Юранденбургские ворота ; 1971 ;  ; Cu-Ni ; VF+ ; 9 ; cotangens ; 72 
 3676 ; 1 эскудо. Португалия ; 1961 ;  ; Cu-Ni ; VF ; 35 ; Хаа ; 81 
 3677 ; 10 сантимов. Латвия ; 1922 ;  ; Cu-Ni ; VF ; 23 ; vasilyi66 ; 44 
 3678 ; 20 сантимов. Латвия ; 1922 ;  ; Cu-Ni ; VF ; 27 ; Бейн99999 ; 53 
 3679 ; 1 лира. Италия ; 1923 ;  ; Cu-Ni ; VF ; 18 ; SKeeper ; 45 
 3680 ; 25 центов. Барбадос ; 1998 ;  ; Cu-Ni ; VF+ ; 12 ; sampler22 ; 36 
 3681 ; 200000 карбованцев. Украина. Бодан Хмельницкий. Упаковка ; 1995 ;  ; Cu-Ni ; Proof-Like ; 15 ; lbah1 ; 138 
 3682 ; 200000 карбованцев. Украина. Победв в ВОВ ; 1995 ;  ; Cu-Ni ; Proof-Like ; 19 ; scipion ; 137 
 3683 ; 10 крон. Норвегия ; 2008 ;  ; Cu-Ni ; XF ; 19 ; cotangens ; 111 
 3684 ; 500 йен. Япония. Нагано ; 1998 ;  ; Cu-Ni ; AU ; 22 ; генерал777 ; 363 
 3685 ; 5 марок. ФРГ. Мартин Лютер ; 1983G ;  ; Cu-Ni ; Proof-Like ; 23 ; aziya11 ; 183 
 3686 ; 200 лир. Сан-Марино ; 1994 ;  ; Al/Br ; AU ; 10 ; sampler22 ; 54 
 3687 ; 1 лек. Албания ; 1964 ;  ; Al ; VF ; 36 ; sampler22 ; 59 
 3688 ; 25 пфеннигов. Германия. Нотгельд. Кобленц ; 1918 ;  ; Fe ; F-VF ; 8 ; aziya11 ; 91 
 3689 ; 10 пфеннигов. Германия. Нотгельд. Бремен ; 1920 ;  ; Fe ; F+ ; 7 ; aziya11 ; 97 
 3690 ; 10 пфеннигов. Германия. Нотгельд. Мюнстер ; 1918 ;  ; Fe ; VF- ; 9 ; aziya11 ; 102 
 3691 ; 10 пфеннигов. Германия. Нотгельд. Халле ; 1920 ;  ; Fe ; VF- ; 31 ; Tche ; 159 
 3692 ; 2 злотых. Польша ; 2012 ;  ; Al/Br ; AU ; 12 ; страус ; 46 
 3693 ; 2 злотых. Польша ; 2012 ;  ; Al/Br ; AU ; 8 ; dsp ; 44 
 3694 ; 2 злотых. Польша ; 2014 ;  ; Al/Br ; AU ; 20 ; dsp ; 113 
 3695 ; 2 злотых. Польша ; 2012 ;  ; Al/Br ; AU ; 6 ; страус ; 42 
 3696 ; 2 злотых. Польша ; 2012 ;  ; Al/Br ; AU ; 10 ; t_v_v ; 58 
 3697 ; 2 злотых. Польша ; 2012 ;  ; Al/Br ; AU ; 28 ; artmaks ; 113 
 3698 ; 2 злотых. Польша ; 2011 ;  ; Al/Br ; AU ; 10 ; artmaks ; 53 
 3699 ; 2 злотых. Польша ; 2013 ;  ; Al/Br ; AU ; 11 ; artmaks ; 116 
 3700 ; 2 злотых. Польша ; 2011 ;  ; Al/Br ; AU ; 16 ; kozerog ; 102 
 3701 ; 2 злотых. Польша ; 2014 ;  ; Al/Br ; AU ; 16 ; kozerog ; 116 
 3702 ; 2 злотых. Польша ; 2011 ;  ; Al/Br ; AU ; 21 ; artmaks ; 97 
 3703 ; 2 злотых. Польша ; 2013 ;  ; Al/Br ; AU ; 13 ; kozerog ; 116 
 3704 ; 2 злотых. Польша ; 2011 ;  ; Al/Br ; AU ; 9 ; artmaks ; 45 
 3705 ; 2 злотых. Польша ; 2013 ;  ; Al/Br ; AU ; 16 ; dsp ; 102 
 3706 ; 2 злотых. Польша ; 2010 ;  ; Al/Br ; AU ; 12 ; artmaks ; 48 
 3707 ; 2 злотых. Польша ; 2013 ;  ; Al/Br ; AU ; 13 ; dsp ; 113 
 3708 ; 2 злотых. Польша ; 2013 ;  ; Al/Br ; AU ; 14 ; dsp ; 82 
 3709 ; 2 злотых. Польша ; 2013 ;  ; Al/Br ; AU ; 34 ; kozerog ; 116 
 3710 ; Монетовидный жетон. 1 евро. Греция. Проба ; 1998 ;  ; Би/м ; XF+ ; 35 ; svv ; 204 
 3711 ; Монетовидный жетон. 1 евро. Мальта. Проба ; 2003 ;  ; Би/м ; XF+ ; 19 ; ваван 5 ; 146 
 3712 ; Монетовидный жетон. 1 евро. Ватикан. Проба ; 1998 ;  ; Би/м ; XF+ ; 23 ; doiu33 ; 211 
 3713 ; Монетовидный жетон. 2 евро. Андорра. Проба ; 2004 ;  ; Би/м ; XF+ ; 27 ; valencio ; 245 
 3714 ; 6 сексэрос ;  ;  ; Би/м ; AU ; 30 ; Masik ; 190 
 3615 ; 2 динара. Югославия ; 1938 ;  ; Al/Br ; VF+ ; 20 ; v81 ; 42 
 3616 ; 1 даласи. Гамбия ; 1987 ;  ; Cu-Ni ; XF ; 21 ; smel ; 61 
 3617 ; Торговый жетон ;  ;  ; Al ; VF ; 14 ; von_Schwarz ; 34 
 3618 ; 5 пиастров. Ливан ; 1955 ;  ; Al/Br ; XF ; 19 ; Бейн99999 ; 47 
 3619 ; 50 пфеннигов. Германия ; 1940A ;  ; Al ; VF ; 15 ; maleevsw ; 300 
 3620 ; 1 фунт. Египет ; 2008 ;  ; Би/м ; XF+ ; 9 ; Jana ; 26 
 3621 ; 10 раппен. Швейцария ; 1932 ;  ; Cu-Ni ; XF+ ; 18 ; Jana ; 49 
 3622 ; 2 евро. Италия. 150 лет единой Италии ; 2011 ;  ; Би/м ; AU ; 11 ; gusar ; 141 
 3623 ; 2 евро. Испания. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 6 ; zoloto ; 136 
 3624 ; 2 евро. Португалия. 25 апреля ; 2014 ;  ; Би/м ; AU ; 5 ; salim ; 206 
 3625 ; 2 евро. Испания ; 2012 ;  ; Би/м ; AU ; 6 ; zoloto ; 136 
 3626 ; 2 евро. Финляндия ; 2013 ;  ; Би/м ; AU ; 6 ; gusar ; 136 
 3627 ; 2 евро. Словакия. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 5 ; cotangens ; 133 
 3628 ; 2 евро. Словения. 50 лет Римскому договору ; 2007 ;  ; Би/м ; AU ; 24 ; Димон777 ; 906 
 3629 ; 2 евро. Словения. 10 лет экономическому и валютному союзу ; 2009 ;  ; Би/м ; AU ; 15 ; nivva ; 169 
 3630 ; 2 евро. Финляндия. ЕС ; 2005 ;  ; Би/м ; AU ; 8 ; nivva ; 210 
 3631 ; 2 евро. Греция. Олимпиада ; 2011 ;  ; Би/м ; AU ; 14 ; niklis ; 185 
 3632 ; 2 евро. Бельгия ; 2013 ;  ; Би/м ; AU ; 6 ; cotangens ; 135 
 3633 ; 2 евро. Словения. Франц Розман Стейн ; 2011 ;  ; Би/м ; AU ; 6 ; rasti ; 136 
 3634 ; 2 евро. Португалия ; 2012 ;  ; Би/м ; AU ; 12 ; nivva ; 155 
 3635 ; 2 евро. Португалия ; 2013 ;  ; Би/м ; AU ; 11 ; gusar ; 151 
 3636 ; 2 евро. Франция. Кавур ; 2010 ;  ; Би/м ; AU ; 9 ; gusar ; 139 
 3637 ; 2 евро. Нидерланды ; 2014 ;  ; Би/м ; AU ; 15 ; dsp ; 240 
 3638 ; 2 евро. Финляндия. Туве Янссон ; 2014 ;  ; Би/м ; AU ; 12 ; nivva ; 155 
 3639 ; 2 евро. Бельгия. 100 лет 1МВ ; 2014 ;  ; Би/м ; AU ; 12 ; kadadin ; 318 
 3640 ; 2 евро. Словакия. Вышеградская встреча ; 2011 ;  ; Би/м ; AU ; 11 ; rasti ; 144 
 3641 ; 2 евро. Мальта. Совет большинства ; 2012 ;  ; Би/м ; AU ; 23 ; cotangens ; 199 
 3642 ; 2 евро. Словения. Ботанический сад ; 2010 ;  ; Би/м ; AU ; 6 ; ОМОН10 ; 136 
 3643 ; 2 евро. Италия. 10 лет ЕВРО ; 2012 ;  ; Би/м ; AU ; 6 ; rasti ; 136 
 3644 ; 2 евро. Испания ; 2014 ;  ; Би/м ; AU ; 11 ; gusar ; 151 
 3645 ; 2 евро. Люксембург ; 2012 ;  ; Би/м ; AU ; 7 ; gusar ; 139 
 3646 ; 2 евро. Словения. Примоз Трубар ; 2008 ;  ; Би/м ; AU ; 7 ; gusar ; 139 
 3647 ; 2 евро. Португалия. Президентство в ЕС ; 2007 ;  ; Би/м ; AU ; 19 ; nivva ; 183 
 3648 ; 2 евро. Словения. Постоинска-яма ; 2013 ;  ; Би/м ; AU ; 7 ; gusar ; 139 
 3649 ; 2 евро. Финляндия. Избирательное право ; 2006 ;  ; Би/м ; AU ; 22 ; nivva ; 208 
 3650 ; 2 евро. Финляндия. Права человека ; 2008 ;  ; Би/м ; AU ; 7 ; nivva ; 287 
 3651 ; 2 евро. Финляндия ; 2004 ;  ; Би/м ; AU ; 31 ; D-503 ; 809 
 3652 ; 2 евро. Словакия. 10 лет вступления в ЕС ; 2014 ;  ; Би/м ; AU ; 10 ; gusar ; 148 
 3653 ; 2 евро. Финляндия. 200 лет Банку Финляндии ; 2011 ;  ; Би/м ; AU ; 11 ; ОМОН10 ; 155 
 3654 ; 2 евро. Люксембург ; 2014 ;  ; Би/м ; AU ; 15 ; nivva ; 168 
 3655 ; 2 евро. Финляндия.  Лет Римскому договору ; 2007 ;  ; Би/м ; AU ; 27 ; nivva ; 459 
 3656 ; 2 евро. Финляндия ; 2013 ;  ; Би/м ; AU ; 6 ; rasti ; 136 
 3657 ; 2 евро. Германия. Бавария ; 2012 ;  ; Би/м ; XF ; 5 ; cotangens ; 133 
 3658 ; 1 лира. Турция ; 2012 ;  ; Би/м ; AU ; 11 ; jj ; 193 
 3659 ; 1 лира. Турция ; 2012 ;  ; Би/м ; AU ; 5 ; kolbur ; 181 
 3660 ; 10 писо. Филиппины ; 2013 ;  ; Би/м ; AU ; 11 ; gusar ; 79 
 3661 ; 10 марок. Финляндия. ЕС ; 1995 ;  ; Би/м ; AU ; 17 ; cotangens ; 238 
 3662 ; 500 лир. Сан-Марино. ФАО ; 1995 ;  ; Би/м ; AU ; 19 ; salim ; 105 
 3663 ; 25 куна. Хорватия ; 2011 ;  ; Би/м ; XF+ ; 10 ; SKeeper ; 192 
 3664 ; 1 лира. Турция ; 2012 ;  ; Би/м ; AU ; 12 ; gusar ; 70 
 3565 ; 2 эре. Швеция ; 1867 ;  ; Cu ; F ; 11 ; t_v_v ; 66 
 3566 ; 1/12 анны. Британская Индия ; 1930 ;  ; Br ; F ; 7 ; Monata ; 61 
 3567 ; 1/12 скиллинга. Швеция ; 1812 ;  ; Cu ; F ; 4 ; jj ; 149 
 3568 ; 2 пфеннига. Веймар ; 1923 ;  ; Br ; VF+ ; 3 ; Jana ; 39 
 3569 ; 20 сентаво. Чили ; 1942 ;  ; Br ; VF+ ; 25 ; t_v_v ; 40 
 3570 ; 1 эре. Швеция ; 1872 ;  ; Cu ; F-VF ; 5 ; banks ; 90 
 3571 ; 1 пфенниг. Германия ; 1911D ;  ; Br ; VF+ ; 7 ; 1879 ; 21 
 3572 ; 2 эре. Норвегия ; 1863 ;  ; Cu ; VF ; 12 ; krugerrand ; 91 
 3573 ; 2 эре. Швеция ; 1889 ;  ; Cu ; VF ; 5 ; Bulgar ; 37 
 3574 ; 10 центов. Уганда ; 1975 ;  ; Br ; XF ; 10 ; SKeeper ; 57 
 3575 ; 50 эре. Швеция ; 2008 ;  ; Br ; AU ; 7 ; kornum ; 42 
 3576 ; 1 эре. Швеция ; 1922 ;  ; Br ; VF+ ; 6 ; фрегат ; 20 
 3577 ; 1/4 анны. Британская Индия ; 1936 ;  ; Br ; VF ; 5 ; Bulgar ; 40 
 3578 ; 25 эре. Дания ; 1943 ;  ; Zn ; F-VF ; 3 ; banks ; 44 
 3579 ; 10 пфеннигов. Германия ; 1921 ;  ; Zn ; VF+ ; 11 ; dim66 ; 23 
 3580 ; 10 пфеннигов. Германия ; 1942 ;  ; Zn ; F-VF ; 5 ; Bulgar ; 31 
 3581 ; 100 эскудо. Португалия ; 1991 ;  ; Би/м ; VF-XF ; 12 ; Jana ; 22 
 3582 ; 50 сантимов. Франция ; 1945 ;  ; Al ; XF ; 12 ; kornum ; 114 
 3583 ; 5 рупий. Индонезия ; 1979 ;  ; Al ; XF ; 6 ; gusar ; 55 
 3584 ; 2 франка. Французская Полинезия ; 1982 ;  ; Al ; XF ; 10 ; kornum ; 82 
 3585 ; 1 анна. Британская Индия ; 1945 ;  ; Al/Br ; VF ; 9 ; t_v_v ; 61 
 3586 ; 10 франков. Центральная Африка ; 1979 ;  ; Al/Br ; XF+ ; 23 ; Бейн99999 ; 50 
 3587 ; Монета Китай ;  ;  ; Al/Br ; F-VF ; 5 ; aziya11 ; 46 
 3588 ; 5 стотинок. Болгария ; 1951 ;  ; Al/Br ; XF ; 13 ; Александр007 ; 114 
 3589 ; 5 марок. Финляндия ; 1979 ;  ; Al/Br ; XF ; 12 ; anshel ; 69 
 3590 ; 5 пфеннигов. Веймар ; 1924D ;  ; Al/Br ; VF ; 6 ; нормировщик9 ; 30 
 3591 ; 20 марок. Финляндия ; 1954 ;  ; Al/Br ; VF ; 5 ; v81 ; 48 
 3592 ; Жетон. 1/4 крейцера. ;  ;  ; Al/Br ; VF ; 15 ; von_Schwarz ; 223 
 3593 ; 20 крон. Дания ; 2000 ;  ; Al/Br ; XF ; 11 ; vb96 ; 239 
 3594 ; 1 крона. Дания ; 1926 ;  ; Al/Br ; VF+ ; 10 ; SKeeper ; 57 
 3595 ; 3 пенса. Великобритания ; 1945 ;  ; Al/Br ; XF ; 7 ; Шипк ; 35 
 3596 ; 2 анны. Британская Индия ; 1942 ;  ; Al/Br ; VF+ ; 14 ; igor26 ; 114 
 3597 ; 2 доллара. Австралия ; 1995 ;  ; Al/Br ; XF ; 11 ; gusar ; 91 
 3598 ; 50 франков. Франция ; 1953 ;  ; Al/Br ; VF+ ; 10 ; нормировщик9 ; 50 
 3599 ; 2-1/2 новых пенса. Токен ;  ;  ; Al/Br ; VF+ ; 7 ; kont ; 101 
 3600 ; 1 доллар. Сингапур ; 1995 ;  ; Al/Br ; XF+ ; 12 ; северянин ; 34 
 3601 ; 200 лир Сан-Марино ; 1993 ;  ; Al/Br ; XF+ ; 5 ; фрегат ; 44 
 3602 ; 200 лир Сан-Марино ; 1995 ;  ; Al/Br ; XF+ ; 18 ; фрегат ; 44 
 3603 ; 1 крона. Дания ; 1957 ;  ; Al/Br ; XF ; 9 ; gusar ; 84 
 3604 ; 5 заиров. Заир ; 1987 ;  ; Al/Br ; XF ; 23 ; Junona ; 42 
 3605 ; 10 крон. Словакия ; 1993 ;  ; Al/Br ; XF+ ; 17 ; Bambr ; 42 
 3606 ; 1 крона. Эстония ; 2008 ;  ; Al/Br ; XF+ ; 4 ; v81 ; 20 
 3607 ; 25 франков. Центральная Африка ; 1990 ;  ; Al/Br ; XF+ ; 19 ; kornum ; 42 
 3608 ; 1/12 анны. Британская Индия ; 1932 ;  ; Br ; VF+ ; 22 ; Bulgar ; 42 
 3609 ; 100 франков. Франция ; 1954 ;  ; Cu-Ni ; XF+ ; 3 ; v81 ; 46 
 3610 ; 1 шиллинг. Австрия ; 1957 ;  ; Al ; XF ; 7 ; Bulgar ; 16 
 3611 ; 2 анны. Британская Индия ; 1945 ;  ; Al/Br ; VF ; 14 ; t_v_v ; 72 
 3612 ; 1 пфенниг. Германия ; 1911J ;  ; Br ; XF ; 15 ; 1879 ; 31 
 3613 ; 50 центов. Уганда ; 1966 ;  ; Cu-Ni ; VF ; 6 ; SKeeper ; 50 
 3614 ; 5 центов. Эфиопия ;  ;  ; Br ; XF ; 24 ; kornum ; 62 
 3515 ; 50 пенсов. Великобритания ; 1994 ;  ; Cu-Ni ; AU ; 19 ; kornum ; 126 
 3516 ; 50 пенсов. Великобритания ; 1973 ;  ; Cu-Ni ; XF ; 9 ; Хемуль ; 69 
 3517 ; 1 доллар. Новая Зеландия ; 1990 ;  ; Латунь ; XF ; 29 ; banks ; 90 
 3518 ; 1 доллар. Австралия ; 1985 ;  ; Латунь ; XF+ ; 25 ; gusar ; 128 
 3519 ; 2 доллара. Австралия ; 1988 ;  ; Латунь ; VF+ ; 11 ; SKeeper ; 59 
 3520 ; 100 долларов. Мексика. 400 лет Дон Кихоту ; 2005 ;  ; Би/м ; AU ; 19 ; Bonyf ; 579 
 3521 ; 1 юань. Китай. 100 лет со дня рождения Мао Цзэдуна ; 1993 ;  ; Cu-Ni ; AU ; 37 ; kornum ; 173 
 3522 ; 25 новых пенсов. Великобритания. Принц Чарльз и леди Диана ; 1981 ;  ; Cu-Ni ; XF+ ; 21 ; krugerrand ; 79 
 3523 ; 1 реал. Бразилия ;  ;  ;  ; AU ; 20 ; SKeeper ; 35 
 3524 ; 1/4 анны. Индия. Гвалиор ;  ;  ; Cu ; F-VF ; 10 ; byrozka ; 62 
 3525 ; 10 сентаво. Гватемала ; 1988 ;  ; Cu-Ni ; VF ; 8 ; byrozka ; 19 
 3526 ; 10 хеллеров. Австрия ; 1915 ;  ; Cu-Ni ; VF ; 21 ; ag58 ; 31 
 3527 ; 10 долларов. Либерия. Первая Леди. Жаклин Кеннеди ; 2002 ;  ; Cu-Ni ; AU ; 17 ; salim ; 226 
 3528 ; 5 долларов. Либерия. Воссоединение Германии ; 2000 ;  ; Cu-Ni ; AU ; 15 ; kornum ; 177 
 3529 ; 5 долларов. Либерия. XXVII олимпиада ; 2000 ;  ; Cu-Ni ; AU ; 9 ; генерал777 ; 310 
 3530 ; 5 долларов. Либерия. Первый человек на луне ; 2000 ;  ; Cu-Ni ; AU ; 16 ; sibirian ; 209 
 3531 ; 1 доллар. Ямайка. Чемпионат по футболу ; 1982 ;  ; Cu-Ni ; AU ; 43 ; doiu33 ; 207 
 3532 ; 2 лита. Литва ; 2002 ;  ; Би/м ; XF+ ; 7 ; Александр007 ; 50 
 3533 ; 1 фунт. Египет ; 20 век ;  ; Би/м ; VF+ ; 3 ; SKeeper ; 4 
 3534 ; Монета Китай ;  ;  ; Cu ; F ; 9 ; aziya11 ; 45 
 3535 ; 50 франков. Центральная Африка ; 1980 ;  ; Cu-Ni ; XF+ ; 11 ; Марик ; 41 
 3536 ; 1 бат. Тайланд ;  ;  ; Cu-Ni ; XF+ ; 13 ; Шипк ; 16 
 3537 ; 50 центов. Австралия ; 1979 ;  ; Cu-Ni ; XF ; 3 ; dudinjohn ; 50 
 3538 ; 25 эре. Норвегия ; 1927 ;  ; Cu-Ni ; VF ; 10 ; ag58 ; 30 
 3539 ; 10 крон. Исландия ; 1971 ;  ; Cu-Ni ; VF+ ; 5 ; северянин ; 20 
 3540 ; 10 сантимов. Франция ; 1928 ;  ; Cu-Ni ; VF+ ; 11 ; Kamp ; 57 
 3541 ; 10 центов. Австралия ; 1982 ;  ; Cu-Ni ; AU ; 9 ; gusar ; 57 
 3542 ; 50 эре. Швеция ; 1924 ;  ; Cu-Ni ; VF+ ; 3 ; Magger ; 23 
 3543 ; 50 эре. Норвегия ; 1926 ;  ; Cu-Ni ; VF+ ; 16 ; ag58 ; 39 
 3544 ; 200 пеест. Испания ; 1986 ;  ; Cu-Ni ; XF ; 15 ; ag58 ; 20 
 3545 ; 1 доллар. Барбадос ; 1973 ;  ; Cu-Ni ; VF ; 7 ; SKeeper ; 36 
 3546 ; 5 раппен. Швейцария ; 1903 ;  ; Cu-Ni ; VF+ ; 4 ; Flagman ; 31 
 3547 ; 10 песет. Испания ; 1984 ;  ; Cu-Ni ; XF ; 7 ; страус ; 23 
 3548 ; 50 лип. Хорватия ; 1993 ;  ; Cu-Ni ; XF ; 8 ; aншлaг ; 26 
 3549 ; 25 центов. Аруба ; 2000 ;  ; Cu-Ni ; XF ; 7 ; t_v_v ; 28 
 3550 ; 50 сентаво. Португалия ; 1931 ;  ; Cu-Ni ; VF ; 13 ; Sterh ; 23 
 3551 ; 5 центов. США ; 1935 ;  ; Cu-Ni ; F-VF ; 15 ; северянин ; 72 
 3552 ; 10 раппен. Швейцария ; 1944 ;  ; Cu-Ni ; XF ; 3 ; kornum ; 30 
 3553 ; 5 эре. Норвегия ; 1907 ;  ; Br ; VF ; 5 ; vesta78 ; 88 
 3554 ; 2 эре. Дания ; 1928 ;  ; Br ; VF ; 10 ; SKeeper ; 28 
 3555 ; 5 пенни. Финляндия ; 1919 ;  ; Cu ; AU ; 7 ; krugerrand ; 50 
 3556 ; 5 айрари. Мадагаскар ; 1992 ;  ; Br ; AU ; 21 ; sibirian ; 45 
