 4816 ; Бона иностранная. Дания ; 1936 ;  ;  ; AU ; 68 ; POSHEXON ; 272 
 3891 ; Лот монет Иордании: 2шт ; 2006,2007 ;  ; Cu-Ni,Би/м ; XF- ; 73 ; caiman67 ; 107 
 3892 ; Лот монет Данцига и Польши: 5шт ; 1928,1937 ;  ; Cu,Br ; F+/VF ; 55 ; andreyM ; 360 
 3893 ; Лот монет Ирана, Ирака и Туниса: 10шт ;  ;  ; Cu-Ni,Би/м,Лат ; F+/XF ; 79 ; aziya11 ; 107 
 3894 ; Лот монет Польши: 20,10,5,2,1 злотых (5шт) ; 1988 ;  ; Cu-Ni,Al,лат ; XF-/XF+ ; 79 ; Mikola_1 ; 112 
 3895 ; Лот монет Польши: 1 злотый, 50,20,10,5,2,1 грошей (7шт) ; 1991 ;  ; Cu-Ni,лат ; XF-/XF+ ; 65 ; Mikola_1 ; 79 
 3896 ; Лот монет Кубы: 4шт ; 1988 ;  ; Al ; VF/XF ; 81 ; vb96 ; 153 
 3897 ; Лот монет Кубы: 7шт ; 1989-2007 ;  ; Cu-Ni,лат,Br ; VF/XF ; 45 ; vb96 ; 510 
 3898 ; Лот монет Cловакии: 3шт ; 1939,1940,1941 ;  ; Cu-Ni,Br ; F/F-VF ; 120 ; denita ; 269 
 3899 ; Лот иностранных монет: 7шт ; 18,19 века ;  ; Cu ; VG/F ; 67 ; DVZ ; 321 
 3900 ; Лот монет Бельгии: 10шт ; 1864-1939 ;  ; Br,Cu-Ni ; F-VF/VF ; 71 ; av ; 258 
 3901 ; Лот монет Люксембурга, Югославии, Германии, Дании, Швеции и Нидерландов: 14шт ; 1892-2011 ;  ; Br,Cu-Ni,Лат ; VF/AU ; 71 ; велес ; 326 
 3902 ; Лот монет Испании, Франции, Сан-Марино, Австрии и Италии: 9шт ; 1863-1987 ;  ; Би/м,Cu-Ni,Cu,B ; F-VF/XF ; 82 ; andreyM ; 347 
 3903 ; Лот монет Азии, Африки и США: 13шт ;  ;  ; Cu-Ni,лат,Al, ; VF-/AU ; 22 ; zx123 ; 267 
 3904 ; Лот монет Великобритании: 1/2 пенни (5шт) ; 1959-1967 ;  ; Br ; VF/VF+ ; 35 ; sergey7 ; 50 
 3905 ; Лот монет Великобритании: 1 пенни (5шт) ; 1918-1967 ;  ; Br ; F-VF/XF- ; 44 ; DVZ ; 71 
 3906 ; Лот монет Болгарии: 9шт ; 1912-1999 ;  ; Cu-Ni,Cu-Zn ; VF/XF ; 24 ; Сырбор ; 214 
 3907 ; Лот монет Сингапура: 5шт ; 1988-2007 ;  ; Cu-Ni,Лат ; VF/XF ; 62 ; Pro2 ; 104 
 3908 ; Лот монет Таланда: 4шт ;  ;  ; Cu-Ni ; XF/AU ; 5 ; Pro2 ; 33 
 3909 ; Лот монет Чехословакии: 13шт ; 1962-1993 ;  ; Cu-Ni,Лат,Al ; VF/AU ; 46 ; Сырбор ; 142 
 3910 ; Лот монет Югославии: 11шт ; 1953-1965 ;  ; Cu-Ni,Лат,Al ; XF/AU ; 14 ; Pro2 ; 101 
 3911 ; Лот монет Швейцарии и Бельгии: 6шт ; 1864-1954 ;  ; Br,Cu-Ni ; F-VF/VF-XF ; 45 ; zelya ; 105 
 3912 ; Лот монет Франции, Веймара, Испании, Италии и Швеции: 6шт ; 1901-1957 ;  ; Br,Cu-Ni,Al,лат ; F-VF/XF ; 11 ; zelya ; 46 
 3813 ; Лот монет Перу, Австралии, Гон-Конга (8шт) ; 1966-1994 ;  ; Br,Al/Br,Латунь ; VF-/VF+ ; 17 ; Атлантик ; 55 
 3814 ; Лот монет ФРГ (7шт) ; 1950-1992 ;  ; Br/St,Лат/St ; VF/VF+ ; 7 ; lubopitnaja ; 42 
 3815 ; Лот монет Южной Африки, Сингапура (6шт) ; 1976-2002 ;  ; Br,Al/Br ; VF-/VF+ ; 29 ; DVZ ; 46 
 3816 ; Лот монет Сингапура, Кипра, Гон-Конга, Ирландии (10шт) ; 1977-1995 ;  ; Br,Cu,Al/Br ; VF-/VF+ ; 9 ; rik ; 92 
 3817 ; Лот монет Югославии, Греции, Дании, Бельгии, Швейцарии, Канады (11шт) ; 1951-1995 ;  ; Br,Al/Br,ж/м ; VF-/VF+ ; 24 ; rik ; 58 
 3818 ; Лот иностранных монет (25шт) ; 20 век ;  ; Cu-Ni,Al,Br,ж/м ; VF/VF-XF ; 6 ; seechi ; 66 
 3819 ; Лот иностранных монет (25шт) ; 20 век ;  ; Cu-Ni,Al,Br,ж/м ; VF/VF-XF ; 7 ; RF ; 68 
 3820 ; Лот иностранных монет (25шт) ; 20 век ;  ; Cu-Ni,Al,Br,ж/м ; VF/VF-XF ; 36 ; ТЕХНОЛОГ ; 66 
 3821 ; Лот иностранных монет (25шт) ; 20 век ;  ; Cu-Ni,Al,Br,ж/м ; VF/VF-XF ; 6 ; Атлантик ; 66 
 3822 ; Лот иностранных монет (50шт) ; 20 век ;  ; Cu-Ni,Al,Br,ж/м ; VF/XF ; 20 ; DVZ ; 114 
 3823 ; Лот монет Австрии (2шт) ;  ;  ; Cu ; VG/F ; 54 ; mkm1968 ; 119 
 3824 ; Лот монет Великобритании, Вестфалии,Пруссии (3шт) ; 1760-1856 ;  ; Cu ; F/VF- ; 40 ; Павлов75 ; 522 
 3825 ; Лот монет Сербии (Нац герои и универсиада): 20,10 динаров (5шт) ; 2006-2010 ;  ; Cu-Ni ; XF/AU ; 5 ; caiman67 ; 135 
 3826 ; Лот монет Македонии: 50 дени, 1,2,5,10,50 денаров (6шт) ; 1993-2008 ;  ; Cu-Ni,лат ; AU ; 46 ; vesta78 ; 204 
 3827 ; Лот монет Сербии: 1,2,5,10,20 динаров (5шт) ; 2010 ;  ; Cu-Ni,лат ; AU ; 31 ; Oleg2000 ; 261 
 3828 ; Лот монет Сербии: 5,10,20 динаров (3шт) ; 2011 ;  ; Cu-Ni,лат ; AU ; 51 ; sparrow ; 57 
 3829 ; Лот монет Болгарии: 50,20,10,5,2,1 стотинки (6шт) ; 1974 ;  ; Cu-Ni,лат ; VF/VF-XF ; 15 ; olga42 ; 46 
 3830 ; Лот монет Болгарии: 1 лев, 50,20,10,2,1 стотинки (6шт) ; 1999-2002 ;  ; Cu-Ni,лат,Би/м ; AU ; 8 ; caiman67 ; 153 
 3831 ; Лот монет Болгарии (ЕС и НАТО): 50 стотинок (3шт) ; 2004,2005,2007 ;  ; Cu-Ni ; AU ; 11 ; vesta78 ; 102 
 3832 ; Лот монет Болгарии (3шт): 50,20 лева, 50стотинок ; 1937,1940 ;  ; Cu/Ni,Al/Br ; VF-/VF ; 32 ; krugerrand ; 93 
 3833 ; Лот монет Чехии (4шт) ; 2000-2007 ;  ; Ni, латунь ; VF/XF ; 24 ; denita ; 54 
 3834 ; Лот монет иностранных (США, Нидерланды, Франция, Испания, Бельгия, Германия): 10шт. Отверстия, напайки, дефекты ; 18,19 века ;  ; Ag ; F-/F+ ; 4 ; Harlock ; 816 
 3835 ; Лот монет Конго: 3шт ; 1955?-1967 ;  ; Al ; F ; 30 ; t_v_v ; 77 
 3836 ; Лот монет Франции (3шт): 5 франков ; 1945,1947,1949 ;  ; Al ; VF-/VF ; 9 ; av ; 55 
 3837 ; Лот монет Польши (4шт): 10,5,2 злотых ; 1958-1964 ;  ; Cu/Ni,Al ; VF-/VF ; 24 ; sellary ; 117 
 3838 ; Лот монет Швеции (3шт): 5,1 эре ; 1942,1944,1950 ;  ; Fe,Cu ; VF-/VF ; 23 ; seechi ; 64 
 3839 ; Лот монет Марокко и Франции (2шт) ; 1923,1371л.х. ;  ; Al/Br ; VF- ; 27 ; С Урала ; 40 
 3840 ; Лот монет Северной Кореи. обезьяны (3шт): 20 вон ; 2004 ;  ; Латунь ; Proof ; 62 ; vb96 ; 1084 
 3841 ; Лот монет Европы: 2 евроцента (8шт) ; 2002-2011 ;  ; Cu-Ni, Cu-Zn ; XF-/XF ; 33 ; Gell13 ; 34 
 3842 ; Лот монет Германии: 10,2 пфеннига (7шт) ; 1966-1979 ;  ; ж/м ; VF-/VF ; 5 ; alex995 ; 30 
 3843 ; Лот монет Германии: 1 пфенниг (11шт) ; 1983-1995 ;  ; Al ; XF-/XF+ ; 14 ; lubopitnaja ; 34 
 3844 ; Лот монет Европы: 5,2 евроцентов (10шт) ; 2000-2010 ;  ; Cu/St ; VF+/VF-XF ; 3 ; Gell13 ; 44 
 3845 ; Лот монет Финляндии: 50,10 пенни (5шт) ; 1990-1992 ;  ; Cu/St ; XF-/XF ; 15 ; С Урала ; 43 
 3846 ; Лот монет Великобритании: 1 пенни (5шт) ; 1994-1999 ;  ; Cu ; VF+/VF-XF ; 9 ; seechi ; 18 
 3847 ; Лот монет США: 5 центов (5шт) ; 1993-2005 ;  ; Cu-Ni ; VF+/XF+ ; 16 ; Gell13 ; 44 
 3848 ; Лот монет Европы: 5 евроцентов (11шт) ; 2000-2011 ;  ; Би/м ; VF+/XF ; 3 ; Gell13 ; 44 
 3849 ; Лот монет Чехословакии, Польши, Германии, Венгрии (21шт) ; 20 век ;  ; Cu-Zn ; F-VF/VF- ; 36 ; Атлантик ; 56 
 3850 ; Лот монет США: 1 цент (5шт) ; 2000-2005 ;  ; Cu/St ; XF/AU ; 16 ; Gell13 ; 23 
 3851 ; Лот монет Италии: 2,1 евро (2шт) ; 2002 ;  ; ж/м ; VF/VF+ ; 16 ; Gell13 ; 141 
 3852 ; Лот монет США: 1/4 доллара, 1 цент (4шт) ; 1959-2000 ;  ; Латунь ; VF/XF ; 6 ; xct ; 34 
 3853 ; Лот монет Франции: 10 сентимов (4шт) ; 1984-1997 ;  ; Cu-Ni ; VF/VF+ ; 2 ; Gell13 ; 20 
 3854 ; Лот монет США: 1 дайм (6шт) ; 1985-2001 ;  ; Cu-Ni ; XF/XF+ ; 4 ; Gell13 ; 42 
 3855 ; Лот монет ЕВРО: 9шт ; 1999-2005 ;  ; Cu/St,Би/м,Лат ; VF/AU ; 50 ; Spellko ; 178 
 3856 ; Лот монет Кабо-Верде (3шт): 20,5,1 эскудо ; 1994 ;  ; Cu/Ni,Al/Br,Cu ; AU/XF ; 23 ; caiman67 ; 233 
 3857 ; Лот монет Бельгии и Дании: 3шт ; 1945,1946 ;  ; Zn ; F-VF/VF- ; 30 ; zx123 ; 49 
 3858 ; Лот монет США: 3шт ; 1946-1972 ;  ; Cu-Ni,Сu-Zn ; VF-/VF+ ; 22 ; барсик ; 30 
 3859 ; Лот монет Швейцарии: 5шт ; 1883-1922 ;  ; Cu-Ni ; VF/VF+ ; 37 ; zx123 ; 90 
 3860 ; Лот Монет Крымского ханства, Шахин Гирей (2шт): бешлык ; 1777 ;  ; Cu ; F/F+ ; 94 ; aziya11 ; 156 
 3861 ; Лот монет Австралии и Великобритании: 3шт ; 1971-1980 ;  ; Br,Cu-Ni ; VF/VF+ ; 8 ; seechi ; 37 
 3862 ; Лот монет Нидерландов и Нидерландских Антилл: 7шт ; 1959-2004 ;  ; Br,Cu-Ni ; VF/AU ; 36 ; caiman67 ; 132 
 3763 ; Годовой набор монет Эстонии: 5,1 крон, 50,20,10 сенти (6шт). Упаковка ; 1992-2003 ;  ; Лат/St,Ni/St ; Unc ; 22 ; Oleg2000 ; 381 
 3764 ; Набор монет США (2шт): 1 доллар+Жетон. Упаковка ; 1971 ;  ; Ag, пластмасса ; Unc ; 80 ; kaktus ; 1020 
 3765 ; Набор монет Швеции: 5,1 крона, 50, 25 ,10, 5 эре (6шт). Упаковка ; 1980 ;  ; Cu-Ni,Cu-Zn ; Unc ; 15 ; Oleg2000 ; 153 
 3766 ; Набор монет Швеции: 5,1 крона, 50, 25 ,10, 5 эре (6шт). Упаковка ; 1984 ;  ; Cu-Ni,Cu-Zn ; Unc ; 11 ; caiman67 ; 204 
 3767 ; Набор монет Швеции: 5,1 крона, 50, 10 эре (4шт). Упаковка ; 1987 ;  ; Cu-Ni ; Unc ; 27 ; kaktus ; 172 
 3768 ; Набор монет Швеции: 5,1 крона, 50, 10 эре (4шт). Упаковка ; 1988 ;  ; Cu-Ni ; Unc ; 23 ; dsp ; 152 
 3769 ; Набор монет Швеции: 5,1 крона, 50, 10 эре (4шт). Упаковка ; 1989 ;  ; Cu-Ni ; Unc ; 16 ; dsp ; 169 
 3770 ; Набор монет Швеции: 5,1 крона, 50, 10 эре (4шт). Упаковка ; 1990 ;  ; Cu-Ni ; Unc ; 31 ; dsp ; 152 
 3771 ; Набор монет Швеции: 10, 5,1 крона, 50, 10 эре (5шт). Упаковка ; 1991 ;  ; Cu-Ni,Cu-Al-Zn ; Unc ; 22 ; andreyM ; 173 
 3772 ; Набор монет Чехословакии: 5,2,1 крон, 50,20,10,5 хеллеров (7шт). Упаковка ; 1984 ;  ; Cu-Ni,Лат ; AU ; 81 ; b197312 ; 577 
 3773 ; Лот монет Финляндии: 5 марок, 1 марка (36шт) ; 1952-1961 ;  ; Ni/St ; XF+/VF+ ; 16 ; DVZ ; 181 
 3774 ; Лот монет Финляндии: 1 марка (43шт) ; 1923-1951 ;  ; Cu,Fe,Cu-Ni ; VF-XF/VF ; 20 ; zx123 ; 297 
 3775 ; Лот монет Финляндии (все разные): 50 пенни (10шт) ; 1921-1945 ;  ; Cu,Fe,Cu-Ni ; XF/VF+ ; 91 ; Опятор ; 164 
 3776 ; Лот монет Финляндии (все разные): 25 пенни (11шт) ; 1921-1945 ;  ; Fe,Cu-Ni ; XF+/VF+ ; 73 ; Опятор ; 107 
 3777 ; Лот монет Финляндии (все разные): 10 пенни (20шт) ; 1919-1944 ;  ; Fe,Cu ; XF/VF+ ; 97 ; Опятор ; 227 
 3778 ; Лот монет Финляндии (все разные): 5 пенни (18шт) ; 1918-1942 ;  ; Cu ; XF+/VF+ ; 97 ; Опятор ; 206 
 3779 ; Лот монет Финляндии (все разные): 1 пенни (12шт) ; 1919-1924 ;  ; Cu ; XF+/VF+ ; 87 ; Опятор ; 161 
 3780 ; Лот монет Финляндии (все разные): 10 пенни (14шт) ; 1990-2000 ;  ; Cu-Ni ; AU ; 46 ; маманя ; 45 
 3781 ; Лот монет Эстонии: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2011 ;  ; Би/м,Cu/St,лат ; AU ; 21 ; liderssen ; 229 
 3782 ; Лот монет Нидерланды, Португалии, Бразилии, Испании (6шт) ; 1945-1982 ;  ; Cu-Ni,Al/Br ; VF-/XF ; 33 ; Атлантик ; 58 
 3783 ; Лот монет Норвегии, Португалии, Испании (4шт) ; 1972-1989 ;  ; Cu-Ni ; VF/VF+ ; 18 ; rik ; 33 
 3784 ; Лот монет КНР (4шт) ; 1999-2004 ;  ; Cu-Ni ; XF-/XF ; 14 ; seechi ; 31 
 3785 ; Лот монет Дании (5шт) ; 1964-1972 ;  ; Cu-Ni ; VF/VF+ ; 18 ; seechi ; 53 
 3786 ; Лот монет Франции (6шт) ; 1960-1999 ;  ; Cu-Ni ; VF+/XF- ; 19 ; seechi ; 30 
 3787 ; Лот монет Индонезии, Малайзии, Кипра, Сингапура (7шт) ; 1967-2006 ;  ; Cu-Ni ; VF-/XF- ; 20 ; sparrow ; 53 
 3788 ; Лот монет Исландии (3шт) ; 1984-1996 ;  ; Cu-Ni ; XF-/XF+ ; 8 ; caiman67 ; 51 
 3789 ; Лот монет Швеции, Бельгии, Великобритании (7шт) ; 1961-1995 ;  ; Cu-Ni ; VF/XF ; 4 ; xct ; 24 
 3790 ; Лот монет Греции, Австралии, Чехословакии, Австрии (8шт) ; 1967-1982 ;  ; Cu-Ni ; VF/VF+ ; 12 ; t_v_v ; 98 
 3791 ; Лот монет Нидерланды (8шт) ; 1948-1967 ;  ; Br ; VF-/VF+ ; 18 ; Lena6975 ; 37 
 3792 ; Лот монет Дании (7шт) ; 1949-1967 ;  ; Zn ; VF-/VF ; 2 ; RF ; 30 
 3793 ; Лот монет Бразилии (6шт) ; 1945-2003 ;  ; Al/Br,St/Лат ; VF-/VF+ ; 26 ; DVZ ; 53 
 3794 ; Лот монет Бразилии (6шт) ; 2001-2007 ;  ; St/Лат,ж/м ; VF+/XF- ; 25 ; DVZ ; 38 
 3795 ; Лот монет Греции (3шт) ; 1990-1994 ;  ; Латунь ; XF- ; 2 ; RF ; 32 
 3796 ; Лот монет Норвегии (8шт) ; 1940-1976 ;  ; Cu-Ni,Br ; VF/VF+ ; 14 ; С Урала ; 42 
 3797 ; Лот монет Бельгии (5шт) ; 1953-1977 ;  ; Br ; VF/VF+ ; 20 ; xct ; 31 
 3798 ; Лот монет Португалии (5шт) ; 1969-1979 ;  ; Br ; VF-/VF+ ; 9 ; alex995 ; 30 
 3799 ; Лот монет Дании (8шт) ; 1964-1970 ;  ; Br ; VF+/XF ; 8 ; seechi ; 28 
 3800 ; Лот монет Норвегии (9шт) ; 1939-1955 ;  ; Br ; VF-/VF+ ; 13 ; Klin ; 92 
 3801 ; Лот монет Норвегии (8шт) ; 1935-1957 ;  ; Br ; VF-/VF ; 9 ; Klin ; 86 
 3802 ; Лот монет Франции (4шт) ; 1977-1984 ;  ; Ni/Лат ; VF/VF+ ; 14 ; xct ; 23 
 3803 ; Лот монет Швейцарии, Австралии (5шт) ; 1963-1970 ;  ; Cu-Ni,Br ; VF+/XF- ; 9 ; seechi ; 37 
 3804 ; Лот монет Финляндии, Швеции, Бельгии, Канады (9шт) ; 1952-2006 ;  ; Cu,Br ; VF+/XF ; 17 ; С Урала ; 36 
 3805 ; Лот монет Финляндии (9шт) ; 1955-1960 ;  ; St ; XF-/XF ; 14 ; LAB-A ; 53 
 3806 ; Лот монет КНР, Исландии, Южной Африки (4шт) ; 1981-2000 ;  ; Cu-Ni,Br,St/Лат ; VF/XF ; 34 ; Атлантик ; 51 
 3807 ; Лот монет США (5шт) ; 1981-2000 ;  ; Cu-Zn ; XF/XF+ ; 15 ; kaktus ; 26 
 3808 ; Лот монет Италии (6шт) ; 1940-1942 ;  ; St ; VF/XF ; 21 ; MC17 ; 71 
 3809 ; Лот монет Канады (8шт) ; 1974-2006 ;  ; Br,Cu/St ; VF/XF ; 33 ; маманя ; 33 
 3810 ; Лот монет Швеции (9шт) ; 1942-1950 ;  ; Br,Fe ; VF-/VF+ ; 8 ; dsp ; 46 
 3811 ; Лот монет Нидерланды (10шт) ; 1948-1969 ;  ; Br ; VF/VF+ ; 12 ; seechi ; 45 
 3812 ; Лот монет Швеции, Австрии, Франции (12шт) ; 1962-2007 ;  ; Br,Cu-Zn,Al/Br ; VF/XF ; 9 ; rik ; 37 
 3713 ; 1 доллар. Австралия ; 2009 ;  ; Латунь ; AU ; 37 ; caiman67 ; 246 
 3714 ; 5 лева. Болгария. Крум ; 1930 ;  ; Cu-Ni ; VF ; 39 ; caiman67 ; 150 
 3715 ; 10 пфеннигов. Германия ; 1938A ;  ; Al/Br ; VF-XF ; 4 ; krugerrand ; 125 
 3716 ; 5 пфеннигов. Германия ; 1937A ;  ; Al/Br ; VF-XF ; 17 ; sibtec ; 152 
 3717 ; 8 дублей. Гернси ; 1959 ;  ; Br ; XF- ; 2 ; Mike! ; 111 
 3718 ; 1 цент. Канада ; 1933 ;  ; Br ; VF ; 89 ; СВл ; 302 
 3719 ; 1 цент. Канада ; 1920 ;  ; Br ; VF ; 45 ; СВл ; 309 
 3720 ; 1 цент. Канада ; 1931 ;  ; Br ; VF ; 3 ; Rober ; 57 
 3721 ; 1 цент. Канада ; 1921 ;  ; Br ; VF ; 4 ; Rober ; 59 
 3722 ; 1 цент. Нидерланды ; 1928 ;  ; Br ; VF+ ; 33 ; caiman67 ; 99 
 3723 ; 1 цент. Нидерланды ; 1941 ;  ; Br ; VF+ ; 3 ; t_v_v ; 45 
 3724 ; 1 цент. Нидерланды ; 1929 ;  ; Br ; VF+ ; 21 ; arkadevnaa ; 55 
 3725 ; 1 цент. Нидерланды ; 1940 ;  ; Br ; VF+ ; 15 ; vesta78 ; 53 
 3726 ; 20 стотинок. Болгария ; 1917 ;  ; Zn ; F+ ; 3 ; 161rus ; 126 
 3727 ; 10 стотинок. Болгария ; 1917 ;  ; Zn ; F+ ; 2 ; Mike! ; 123 
 3728 ; 5 стотинок. Болгария ; 1917 ;  ; Zn ; F-VF ; 3 ; 161rus ; 126 
 3729 ; 500 марок. Веймар ; 1923A ;  ; Al ; VF ; 5 ; westof ; 120 
 3730 ; 10 лир. Ватикан ; 1951 ;  ; Al ; VF+ ; 37 ; caiman67 ; 150 
 3731 ; 5 квача. Малави. 60 лет победы. Корабль "Молотов" ; 2005 ;  ; латунь ; Proof ; 9 ; karden5 ; 400 
 3732 ; 5 квача. Малави. 60 лет победы. Английский военный корабль ; 2005 ;  ; латунь ; Proof ; 6 ; aurin1 ; 408 
 3733 ; 1 лев. Болгария ; 1913 ;  ; Ag ; VF-XF ; 66 ; xino ; 490 
 3734 ; 10 пфеннигов. Германия ; 1908A ;  ; Cu-Ni ;  ; 7 ; foh1985 ; 30 
 3735 ; 200 марок. Финляндия ; 1956Н ;  ; Ag ; AU ; 17 ; caiman67 ; 267 
 3736 ; 200 марок. Финляндия ; 1957Н ;  ; Ag ; AU ; 13 ; caiman67 ; 255 
 3737 ; 100 марок. Финляндия ; 1956H ;  ; Ag ; AU ; 19 ; caiman67 ; 198 
 3738 ; 20 марок. Финляндия ; 1938 ;  ; Al/Br ; XF+ ; 25 ; DVZ ; 185 
 3739 ; 20 марок. Финляндия ; 1939 ;  ; Al/Br ; XF+ ; 36 ; olga42 ; 209 
 3740 ; 10 марок. Финляндия ; 1932 ;  ; Al/Br ; XF ; 38 ; olga42 ; 183 
 3741 ; 10 марок. Финляндия ; 1958 ;  ; Al/Br ; AU ; 44 ; olga42 ; 172 
 3742 ; 5 марок. Финляндия ; 1946 ;  ; Al/Br ; AU ; 23 ; dsp ; 140 
 3743 ; 5 марок. Финляндия ; 1947 ;  ; Al/Br ; XF+ ; 30 ; LAB-A ; 90 
 3744 ; 5 марок. Финляндия ; 1948 ;  ; Al/Br ; AU ; 28 ; dsp ; 227 
 3745 ; 5 марок. Финляндия. Ледокол "Варма" ; 1973 ;  ; Al/Br ; AU ; 50 ; caiman67 ; 101 
 3746 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1979 ;  ; Al/Br ; AU ; 28 ; caiman67 ; 77 
 3747 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1982 ;  ; Al/Br ; AU ; 33 ; v_bond ; 69 
 3748 ; 5 марок. Финляндия. Ледокол "Урхо" ; 1984 ;  ; Al/Br ; AU ; 5 ; caiman67 ; 86 
 3749 ; 5 марок. Финляндия ; 2000 ;  ; Al/Br ; Unc/AU ; 60 ; solder13 ; 123 
 3750 ; 5 марок. Финляндия ; 2001 ;  ; Al/Br ; Unc/AU ; 33 ; solder13 ; 71 
 3751 ; 50 пенни. Финляндия ; 1990 ;  ; Cu-Ni ; XF+ ; 16 ; С Урала ; 46 
 3752 ; 50 пенни. Финляндия ; 1991 ;  ; Cu-Ni ; AU ; 11 ; caiman67 ; 42 
 3753 ; 50 пенни. Финляндия ; 1992 ;  ; Cu-Ni ; AU ; 14 ; rik ; 43 
 3754 ; 50 пенни. Финляндия ; 1997 ;  ; Cu-Ni ; AU ; 15 ; caiman67 ; 41 
 3755 ; 10 пенни. Финляндия ; 1987 ;  ; Al ; AU ; 11 ; t_v_v ; 34 
 3756 ; Монетовиднвый жетон. Джимми Картер. США. Упаковка ; 1977 ;  ; Ж/м ; Proof ; 41 ; Атлантик ; 64 
 3757 ; Набор монет Канады (7шт): 1доллар, 50,25,10,5,1 цент. В оригинальной коробке. С сертификатом ; 1978 ;  ; Ni,Br ; Unc ; 41 ; Makys ; 1062 
 3758 ; Набор "мини-монет"  "Президенты и Первые Леди": 4шт. Упаковка ; 1977 ;  ; Ag ; Proof ; 52 ; E.V.A. ; 1030 
 3759 ; Набор "мини-монет"  "Президенты и Первые Леди": 4шт. Упаковка ; 1977 ;  ; Ag ; Proof ; 24 ; E.V.A. ; 1062 
 3760 ; Набор "мини-монет"  "Президенты и Первые Леди": 4шт. Упаковка ; 1977 ;  ; Ag ; Proof ; 24 ; E.V.A. ; 1020 
 3761 ; Набор "мини-монет"  "Президенты и Первые Леди": 4шт. Упаковка ; 1977 ;  ; Ag ; Proof ; 19 ; E.V.A. ; 1020 
 3762 ; Набор монет Словакии: 10,5,2,1 крон, 50,20,10 хеллеров (7шт) + жетон. Пластиковая упаковка ; 1994 ;  ; Cu-Ni,Лат,Al ; Unc ; 23 ; Oleg2000 ; 480 
 3663 ; 5 гривен. Украина. Последний путь Кобзаря ; 2011 ;  ; Cu-Ni ; Proof ; 11 ; caiman67 ; 250 
 3664 ; 5 гривен. Украина. Кузнец ; 2011 ;  ; Cu-Ni ; Proof ; 24 ; August31 ; 255 
 3665 ; 5 гривен. Украина. 15 лет конституции Украины ; 2011 ;  ; Cu-Ni ; Proof ; 9 ; caiman67 ; 250 
 3666 ; 5 лева. Болгария. Вторая международная ассамблея ; 1982 ;  ; Cu-Ni ; Proof ; 2 ; Mike! ; 143 
 3667 ; 5 лева. Болгария. Охотничья выставка ; 1981 ;  ; Cu-Ni ; AU ; 27 ; caiman67 ; 249 
 3668 ; 20 лева. Болгария ; 1989 ;  ; Cu-Ni ; Proof ; 28 ; vasek ; 337 
 3669 ; 1 лев. Болгария. Охотничья выставка ; 1981 ;  ; Cu-Ni ; AU ; 17 ; caiman67 ; 248 
 3670 ; 5 долларов. Ниуэ. Олимпийские игры в Сеуле. Теннис ; 1987 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 264 
 3671 ; 500 динаров. Босния и Герцоговина ; 1994 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 303 
 3672 ; 100 эскудо. Португалия. Футбол ; 1986 ;  ; Cu-Ni ; AU ; 37 ; potapov0 ; 571 
 3673 ; 25 сентимов. Андорра. ФАО ; 1995 ;  ; Cu-Ni ; XF ; 22 ; Sterh ; 53 
 3674 ; 2 песо. Аргентина. Национальные герои ; 2007 ;  ; Cu-Ni ; XF ; 2 ; Mike! ; 73 
 3675 ; 1/2 доллара. США. 100 лет Статуе Свободы ; 1986S ;  ; Cu-Ni ; Proof ; 24 ; Mike! ; 308 
 3676 ; 10 юаней. Тайвань ;  ;  ; Cu-Ni ; AU ; 7 ; Sky2 ; 76 
 3677 ; 10 юаней. Тайвань ;  ;  ; Cu-Ni ; AU ; 19 ; Sky2 ; 102 
 3678 ; 2 марки. ФРГ ; 1951D ;  ; Cu-Ni ; VF ; 2 ; Mike! ; 553 
 3679 ; 1 марка. Босния и Герцоговина ; 2006 ;  ; Ni/St ; XF ; 4 ; asparagus ; 59 
 3680 ; 20 лева. Болгария ; 1940 ;  ; Cu-Ni ; VF ; 4 ; lsp25 ; 92 
 3681 ; 1 лек. Албания ; 1930 ;  ; Cu-Ni ; VF- ; 3 ; asparagus ; 116 
 3682 ; 2 фунта. Великобритания ; 2006 ;  ; Cu-Ni ; XF- ; 59 ; olga42 ; 279 
 3683 ; 2 фунта. Великобритания ; 2003 ;  ; Би/м ; XF- ; 23 ; Makys ; 303 
 3684 ; 2 фунта. Великобритания ; 2007 ;  ; Би/м ; XF ; 22 ; Makys ; 279 
 3685 ; 2 фунта. Великобритания ; 2005 ;  ; Би/м ; XF ; 28 ; Krechet ; 368 
 3686 ; 50 центов. Австралия. День Австралии ; 2010 ;  ; Би/м ; AU ; 25 ; Спанчбоб ; 150 
 3687 ; 50 пенсов. Великобритания. Олимпиада ; 2011 ;  ; Cu-Ni ; XF ; 4 ; Mike! ; 129 
 3688 ; 50 пенсов. Великобритания. Олимпиада ; 2011 ;  ; Cu-Ni ; XF ; 37 ; potapov0 ; 299 
 3689 ; 50 пенсов. Великобритания. Олимпиада ; 2011 ;  ; Cu-Ni ; XF ; 8 ; Mike! ; 141 
