 501 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF+ ; 26 ; Участник № 51 ; 7500 
 286 ; Копейка ; 1860 ; ВМ ; Cu ; VF-XF ; 6 ; Участник № 133 ; 1600 
 287 ; 20 копеек. Редкие буквы минцмейстера для этого года ; 1861 ; СПБ МИ ; Ag ; VF+ ; 26 ; Участник № 18 ; 8800 
 288 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 8 ; tisa66 ; 1100 
 289 ; Полушка ; 1861 ; ЕМ ; Cu ; VF-XF ; 15 ; ZOLTAN333 ; 3000 
 290 ; Полтина (редкая датировка, Петров-3р) ; 1862 ; СПБ МИ ; Ag ; VF-XF ; 23 ; Участник № 16 ; 44000 
 291 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 37 ; astart ; 1100 
 292 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 32 ; max7421 ; 6500 
 293 ; 2 копейки ; 1862 ; ЕМ ; Cu ; XF ; 27 ; AVA01 ; 10199 
 294 ; Денежка ; 1862 ; ЕМ ; Cu ; XF- ; 9 ; Маша-растеряша ; 600 
 295 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU/XF+ ; 5 ; Участник № 585 ; 750 
 296 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 7 ; max7421 ; 2400 
 297 ; 2 копейки ; 1865 ; ЕМ ; Cu ; VF+ ; 13 ; luda ; 939 
 298 ; 25 копеек. Редкая датировка ; 1866 ; СПБ HI ; Ag ; VF+ ; 7 ; Глол ; 46000 
 299 ; Рубль ; 1867 ; СПБ HI ; Ag ; XF ; 49 ; Gatchina ; 27540 
 300 ; 20 копеек ; 1868 ; СПБ HI ; Ag ; XF+ ; 14 ; Участник № 222 ; 1400 
 201 ; 10 копеек ; 1835 ; СПБ НГ ; Ag ; VF+ ; 29 ; max7421 ; 3800 
 202 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF ; 43 ; Участник № 149 ; 9500 
 203 ; Полтина ; 1836 ; СПБ НГ ; Ag ; VF-XF ; 28 ; Участник № 62 ; 7500 
 204 ; 5 копеек (Ильин-1р) ; 1836 ; СМ ; Cu ; VF+/VF ; 46 ; partanen ; 1940 
 205 ; 5 копеек (Ильин-5р) ; 1837 ; ЕМ ФХ ; Cu ; VF+ ; 71 ; fikus ; 5083 
 206 ; 20 копеек ; 1838 ; СПБ НГ ; Ag ; XF+ ; 33 ; max7421 ; 3627 
 207 ; 10 копеек ; 1838 ; ЕМ НА ; Cu ; VF-XF ; 18 ; Участник № 133 ; 3600 
 208 ; 5 копеек (Ильин-1р) ; 1838 ; СМ ; Cu ; VF+ ; 27 ; Участник № 222 ; 3300 
 209 ; 25 копеек. Брак монетного двора ; 1839 ; СПБ НГ ; Ag ; VF+ ; 8 ; Участник № 140 ; 2800 
 210 ; 5 копеек (Петров-2р, Ильин-1р) ; 1839 ; СМ ; Cu ; VF+ ; 32 ; Участник № 222 ; 10000 
 211 ; 10 копеек (Ильин-4р) ; 1840 ; СПБ НГ ; Ag ; VF ; 18 ; PSP ; 1530 
 212 ; 5 копеек ; 1840 ; СПБ НГ ; Ag ; XF+ ; 27 ; лопух ; 4500 
 213 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; XF+ ; 9 ; Участник № 133 ; 800 
 214 ; 3 копейки ; 1840 ; СПМ ; Cu ; VF+ ; 28 ; Участник № 9 ; 4500 
 215 ; 3 копейки (Ильин-2р). Трещина 3 часа ; 1840 ; СМ ; Cu ; VF+ ; 11 ; Участник № 18 ; 3600 
 216 ; 1/4 копейки ; 1840 ; ЕМ ; Cu ; AU ; 3 ; Участник № 9 ; 3200 
 217 ; Копейка ; 1841 ; СМ ; Cu ; VF+ ; 7 ; лопух ; 204 
 218 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; XF+ ; 17 ; Участник № 222 ; 1500 
 219 ; 1/4 копейки ; 1841 ; СПМ ; Cu ; XF- ; 7 ; Участник № 1 ; 2200 
 220 ; Рубль ; 1842 ; MW ; Ag ; XF ; 20 ; Участник № 2 ; 18000 
 221 ; 1/2 копейки ; 1842 ; СПМ ; Cu ; XF+ ; 21 ; AVA01 ; 5565 
 222 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; AU/XF+ ; 18 ; Участник № 51 ; 14000 
 223 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 31 ; Участник № 692 ; 8000 
 224 ; 3 копейки ; 1843 ; ЕМ ; Cu ; VF ; 9 ; Маша-растеряша ; 816 
 225 ; Копейка ; 1843 ; СМ ; Cu ; VF-XF ; 9 ; Участник № 18 ; 4200 
 226 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF- ; 21 ; Участник № 62 ; 6000 
 227 ; Рубль ; 1844 ; MW ; Ag ; VF-XF ; 21 ; PSP ; 4162 
 228 ; Полтина ; 1844 ; СПБ КБ ; Ag ; XF- ; 15 ; PSP ; 4284 
 229 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 18 ; Конрос бид 32 ; 3729 
 230 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; XF ; 8 ; Участник № 4 ; 2200 
 231 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF+ ; 22 ; Участник № 606 ; 6200 
 232 ; Рубль ; 1846 ; MW ; Ag ; VF+ ; 26 ; PSP ; 4692 
 233 ; Рубль ; 1847 ; MW ; Ag ; VF+ ; 11 ; PSP ; 5202 
 234 ; Полтина ; 1847 ; СПБ ПА ; Ag ; VF-XF ; 15 ; PSP ; 4200 
 235 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; XF+ ; 17 ; PSP ; 2200 
 236 ; Полтина ; 1848 ; СПБ HI ; Ag ; XF+ ; 9 ; Участник № 7 ; 5400 
 237 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF+ ; 5 ; Участник № 133 ; 8200 
 238 ; Полтина ; 1849 ; СПБ ПА ; Ag ; XF- ; 60 ; Участник № 692 ; 5200 
 239 ; 25 копеек ; 1849 ; СПБ ПА ; Ag ; AU/XF+ ; 18 ; Участник № 16 ; 4200 
 240 ; 5 копеек (Редкая) ; 1849 ; СПМ Пробная ; Cu ; Unc ; 66 ; berson ; 271600 
 241 ; 2 копейки (Редкая) ; 1849 ; СПМ Пробная ; Cu ; AU ; 35 ; berson ; 137545 
 242 ; Рубль (Ильин-3р) ; 1850 ; СПБ ПА ; Ag ; VF+ ; 17 ; Участник № 16 ; 8500 
 243 ; Рубль (Ильин-3р) ; 1850 ; СПБ ПА ; Ag ; XF- ; 21 ; Участник № 222 ; 13000 
 244 ; Полтина ; 1850 ; СПБ ПА ; Ag ; VF-XF ; 17 ; aleks-2007 ; 4986 
 245 ; 25 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 18 ; Участник № 42 ; 3200 
 246 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 9 ; Участник № 133 ; 3000 
 247 ; 20 копеек-40 грошей ; 1850 ; MW Рус.-Пол. ; Ag ; XF- ; 40 ; Участник № 16 ; 7600 
 248 ; Денежка ; 1850 ; ВМ ; Cu ; AU ; 23 ; Участник № 42 ; 19000 
 249 ; Полушка ; 1850 ; ЕМ ; Cu ; AU ; 21 ; AVA01 ; 9000 
 250 ; Полтина ; 1851 ; СПБ ПА ; Ag ; XF-/VF+ ; 12 ; PSP ; 3672 
 151 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF+ ; 7 ; AVA01 ; 1600 
 152 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF- ; 3 ; fikus ; 238 
 153 ; Деньга ; 1811 ; ИМ МК ; Cu ; VF+ ; 7 ; тен ; 567 
 154 ; Рубль ; 1812 ; СПБ МФ ; Ag ; VF ; 9 ; федя ; 2600 
 155 ; 2 копейки ; 1812 ; ЕМ НМ ; Cu ; VF-XF ; 5 ; кабан ; 420 
 156 ; Деньга (Ильин-3р) ; 1812 ; КМ АМ ; Cu ; F-VF ; 26 ; overshtag ; 2142 
 157 ; Деньга ; 1812 ; ИМ ПС ; Cu ; XF ; 21 ; Участник № 1 ; 3000 
 158 ; Рубль ; 1813 ; СПБ ПС ; Ag ; AU ; 27 ; Участник № 5 ; 28000 
 159 ; Рубль ; 1814 ; СПБ ПС ; Ag ; XF+ ; 35 ; Глол ; 15300 
 160 ; 20 копеек ; 1814 ; СПБ ПС ; Ag ; XF+ ; 15 ; AVA01 ; 12240 
 161 ; 10 копеек ; 1814 ; СПБ ПС ; Ag ; AU ; 25 ; AVA01 ; 14949 
 162 ; 5 копеек ; 1814 ; СПБ ПС ; Ag ; XF+ ; 11 ; AVA01 ; 6500 
 163 ; 2 копейки ; 1814 ; КМ АМ ; Cu ; VF-XF ; 11 ; кабан ; 86 
 164 ; Деньга (Ильин-3р) ; 1814 ; КМ АМ ; Cu ; VF- ; 56 ; monos72 ; 5096 
 165 ; Полтина ; 1815 ; СПБ МФ ; Ag ; XF+ ; 19 ; Участник № 135 ; 40000 
 166 ; Полтина ; 1817 ; СПБ ПС ; Ag ; VF+ ; 11 ; hummer ; 5000 
 167 ; Полтина ; 1818 ; СПБ ПС ; Ag ; AU ; 16 ; Участник № 135 ; 26000 
 168 ; 10 копеек ; 1818 ; СПБ ПС ; Ag ; VF-XF ; 29 ; Участник № 133 ; 1100 
 169 ; 10 копеек ; 1819 ; СПБ ПС ; Ag ; XF- ; 9 ; Участник № 9 ; 2200 
 170 ; 10 копеек (Ильин-3р) ; 1819 ; СПБ ПС ; Ag ; VF-XF ; 9 ; Участник № 9 ; 5000 
 171 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; XF ; 1 ; overshtag ; 567 
 172 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; VF+ ; 17 ; Участник № 657 ; 3800 
 173 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 41 ; Участник № 606 ; 2800 
 174 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; VF+ ; 13 ; Участник № 62 ; 2000 
 175 ; 2 копейки ; 1823 ; КМ АМ ; Cu ; XF+ ; 9 ; AVA01 ; 932 
 176 ; 10 копеек (Ильин-4р, Петров-4р) ; 1825 ; СПБ НГ ; Ag ; VF-XF ; 33 ; Участник № 133 ; 9000 
 177 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 18 ; Участник № 657 ; 4600 
 178 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 11 ; RF ; 2267 
 179 ; Рубль ; 1828 ; СПБ НГ ; Ag ; XF- ; 43 ; Участник № 692 ; 7500 
 180 ; Двойной абаз ; 1829 ; АТ Грузия ; Ag ; VF-XF ; 19 ; Участник № 545 ; 4600 
 181 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 15 ; Участник № 692 ; 6800 
 182 ; 2 копейки ; 1830 ; КМ АМ ; Cu ; XF+ ; 9 ; лопух ; 1000 
 183 ; 20 копеек ; 1831 ; СПБ НГ ; Ag ; VF+ ; 15 ; Участник № 606 ; 4300 
 184 ; 5 копеек ; 1831 ; СПБ НГ ; Ag ; AU ; 33 ; dimon46 ; 6123 
 185 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; VF-XF ; 19 ; AAE2006 ; 1887 
 186 ; 5 копеек (Петров-2р) ; 1831 ; ЕМ ; Cu ; VF+ ; 27 ; Участник № 114 ; 1600 
 187 ; 3 гроша ; 1831 ; KG польское восстание 1830-183 ; Cu ; VF+ ; 6 ; overshtag ; 1632 
 188 ; 15 копеек - 1 злотый. Инкузный след от застрявшей в штемпеле монеты ; 1832-1841 ;  ; Ag ; VF- ; 16 ; Участник № 9 ; 6500 
 189 ; 10 копеек (Петров-5p, Ильин-5р). Редкая датировка ; 1832 ; СПБ НГ ; Ag ; VF+ ; 22 ; SSK ; 15000 
 190 ; 5 копеек ; 1832 ; СПБ НГ ; Ag ; XF+ ; 29 ; AVA01 ; 13770 
 191 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 11 ; SSK ; 4533 
 192 ; 5 копеек (Ильин-1р) ; 1832 ; СМ ; Cu ; VF+ ; 48 ; SSK ; 2039 
 193 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; XF+ ; 9 ; SSK ; 6001 
 194 ; Рубль ; 1833 ; СПБ НГ ; Ag ; XF ; 24 ; Участник № 402 ; 6400 
 195 ; 10 копеек ; 1833 ; СПБ НГ ; Ag ; VF+ ; 19 ; Участник № 9 ; 5400 
 196 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 14 ; Участник № 133 ; 1600 
 197 ; 5 копеек ; 1833 ; СМ ; Cu ; XF- ; 33 ; Участник № 222 ; 7500 
 198 ; Рубль ; 1834 ; "На открытие Александровской к ; Ag ; XF ; 51 ; Участник № 183 ; 64000 
 199 ; 5 копеек ; 1834 ; СМ ; Cu ; VF-XF ; 21 ; Участник № 51 ; 6000 
 200 ; 25 копеек ; 1835 ; СПБ НГ ; Ag ; VF+ ; 22 ; Участник № 222 ; 4600 
 101 ; 5 копеек ; 1783 ; КМ ; Cu ; AU ; 25 ; Глол ; 7010 
 102 ; 20 копеек ; 1784 ; СПБ ; Ag ; AU ; 15 ; Участник № 133 ; 14000 
 103 ; 5 копеек ; 1784 ; КМ ; Cu ; XF+ ; 14 ; Участник № 55 ; 2400 
 104 ; Гривенник ; 1785 ; СПБ ; Ag ; VF ; 28 ; Участник № 18 ; 4400 
 105 ; 5 копеек ; 1785 ; КМ ; Cu ; XF ; 17 ; Участник № 133 ; 3400 
 106 ; Денга (Петров-1р) ; 1785 ; КМ ; Cu ; VF+ ; 35 ; Участник № 51 ; 15000 
 107 ; Полушка (Ильин-5р, Петров-3р) ; 1786 ; КМ ; Cu ; VF-XF ; 39 ; Участник № 51 ; 28000 
 108 ; 5 копеек. (Петров-9р, Ильин-10р). Трещина ; 1787 ; ТМ ; Cu ; VF- ; 22 ; кабан ; 17000 
 109 ; 5 копеек ; 1788 ; ММ ; Cu ; VF+ ; 21 ; кабан ; 1660 
 110 ; Полушка (Ильин-5р) ; 1788 ; КМ ; Cu ; F-VF ; 21 ; Участник № 523 ; 2600 
 111 ; Денга (Ильин-5р) ; 1789 ; КМ ; Cu ; F-VF ; 26 ; кабан ; 5799 
 112 ; Полушка ; 1789 ; ЕМ ; Cu ; VF-XF ; 21 ; Участник № 1 ; 1000 
 113 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 15 ; кабан ; 1019 
 114 ; Копейка ; 1790 ; ЕМ ; Cu ; VF+ ; 19 ; Участник № 523 ; 520 
 115 ; Полуполтинник ; 1792 ; СПБ ЯА ; Ag ; XF- ; 20 ; кабан ; 8000 
 116 ; 5 копеек ; 1792 ; ЕМ ; Cu ; XF ; 10 ; Участник № 1 ; 650 
 117 ; 5 копеек ; 1792 ; АМ ; Cu ; XF+ ; 19 ; Конрос бид 32 ; 2350 
 118 ; 5 копеек ; 1792 ; КМ ; Cu ; XF+ ; 20 ; 25 ; 6500 
 119 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 11 ; Участник № 222 ; 2400 
 120 ; 2 копейки ; 1793 ; Е- М Павл.перечекан ; Cu ; VF ; 24 ; Участник № 9 ; 4200 
 121 ; 5 копеек ; 1794 ; АМ ; Cu ; AU ; 19 ; Участник № 222 ; 3600 
 122 ; 5 копеек ; 1794 ; ЕМ ; Cu ; XF- ; 11 ; Sky2 ; 522 
 123 ; 5 копеек ; 1795 ; КМ ; Cu ; XF+ ; 26 ; Участник № 114 ; 7000 
 124 ; 5 копеек ; 1795 ; ЕМ ; Cu ; XF+ ; 19 ; vid ; 4533 
 125 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 13 ; SadKo ; 282 
 126 ; Рубль (Ильин-3р) ; 1796 ; СПБ IC TI ; Ag ; VF+ ; 43 ; Alexdav ; 15418 
 127 ; 5 копеек ; 1796 ; КМ ; Cu ; XF- ; 43 ; 25 ; 10500 
 128 ; 2 копейки ; 1797 ;  ; Cu ; VF ; 15 ; Участник № 1 ; 21000 
 129 ; 2 копейки ; 1797 ; АМ ; Cu ; VF ; 3 ; лопух ; 261 
 130 ; Полушка ; 1797 ; АМ ; Cu ; XF+ ; 11 ; Участник № 9 ; 3200 
 131 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF+ ; 32 ; Участник № 692 ; 16000 
 132 ; Полуполтинник ; 1798 ; СП  ОМ ; Ag ; VF/F-VF ; 19 ; кабан ; 10500 
 133 ; 2 копейки ; 1798 ; ЕМ ; Cu ; XF ; 17 ; Zabbral ; 510 
 134 ; Рубль ; 1799 ; СМ МБ ; Ag ; VF-XF ; 47 ; Участник № 692 ; 16000 
 135 ; 2 копейки ; 1800 ; ЕМ ; Cu ; VF-XF ; 5 ; SadKo ; 306 
 136 ; 2 копейки ; 1801 ; ЕМ ; Cu ; XF- ; 16 ; лопух ; 700 
 137 ; 2 копейки (Ильин-3р) ; 1802 ; ЕМ Рельефный чекан ; Cu ; AU ; 35 ; Участник № 222 ; 16000 
 138 ; Рубль ; 1803 ; СПБ АИ ; Ag ; AU ; 54 ; Участник № 149 ; 78000 
 139 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF+ ; 17 ; ВВС ; 2766 
 140 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF+ ; 21 ; Участник № 222 ; 3000 
 141 ; Копейка (Ильин-1р) ; 1805 ; ЕМ ; Cu ; F-VF ; 28 ; МИГ ; 12750 
 142 ; Полубисти ; 1806 ; Грузия ; Cu ; VF- ; 25 ; Участник № 222 ; 9500 
 143 ; Двойной абаз ; 1807 ; АК Грузия ; Ag ; VF+ ; 18 ; Участник № 222 ; 7000 
 144 ; 5 копеек ; 1810 ; ЕМ ; Cu ; VF+ ; 25 ; Участник № 9 ; 6000 
 145 ; 2 копейки (Ильин-8р) ; 1810 ; СПБ ПС ; Cu ; VF- ; 50 ; Участник № 140 ; 50000 
 146 ; 2 копейки ; 1810 ; СПБ ФГ ; Cu ; VF ; 50 ; А25 ; 714 
 147 ; 2 копейки ; 1810 ; СПБ МК ; Cu ; VF+ ; 26 ; TDN ; 1247 
 148 ; Бисти ; 1810 ; Грузия ; Cu ; VF ; 21 ; Участник № 545 ; 2400 
 149 ; 10 копеек ; 1811 ; СПБ ФГ ; Ag ; XF- ; 24 ; Участник № 16 ; 4800 
 150 ; 2 копейки ; 1811 ; СПБ МК ; Cu ; AU/XF ; 45 ; AVA01 ; 3162 
 51 ; Полтина (Петров-3р) ; 1762 ; ММД ДМ ; Ag ; VF ; 46 ; Участник № 692 ; 56000 
 52 ; 10 копеек ; 1762 ;  ; Cu ; VF ; 23 ; Участник № 222 ; 38000 
 53 ; 4 копейки ; 1762 ;  ; Cu ; VF ; 78 ; Участник № 140 ; 9500 
 54 ; 2 копейки ; 1762 ;  ; Cu ; F-VF ; 4 ; Участник № 1 ; 19000 
 55 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; XF/XF+ ; 23 ; Участник № 18 ; 28000 
 56 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; XF ; 7 ; саша спб ; 20000 
 57 ; 5 копеек ; 1763 ; ЕМ ; Cu ; VF+/VF ; 7 ; Участник № 114 ; 750 
 58 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; AU ; 38 ; Глол ; 28000 
 59 ; 5 копеек ; 1764 ; ЕМ ; Cu ; VF+ ; 29 ; Участник № 523 ; 1900 
 60 ; 5 копеек (Ильин-3р) ; 1764 ; СПМ ; Cu ; VF- ; 18 ; Участник № 140 ; 3400 
 61 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; VF-XF ; 15 ; Участник № 930 ; 8000 
 62 ; 5 копеек ; 1766 ; СМ ; Cu ; VF+ ; 16 ; sinisha ; 2500 
 63 ; Рубль (Петров-20р, Ильин-5р) ; 1767 ; СПБ EI ; Ag ; VF- ; 13 ; Участник № 16 ; 11000 
 64 ; 10 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF+ ; 27 ; кабан ; 6122 
 65 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 66 ; 5 копеек (Ильин-5р, Петров-3р) ; 1767 ; СПМ ; Cu ; VF ; 35 ; Участник № 140 ; 10000 
 67 ; 5 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF ; 22 ; Участник № 9 ; 3000 
 68 ; Рубль ; 1768 ; СПБ АШ TI ; Ag ; VF+ ; 11 ; PSP ; 6913 
 69 ; Полушка ; 1768 ; КМ "Сибирь" ; Cu ; VF+ ; 113 ; fikus ; 5020 
 70 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF+ ; 31 ; Глол ; 20284 
 71 ; Гривенник ; 1769 ; СПБ TI ; Ag ; VF-XF ; 41 ; Участник № 585 ; 3600 
 72 ; 10 копеек ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 59 ; Глол ; 7900 
 73 ; Гривенник ; 1770 ; СПБ TI ; Ag ; VF-XF ; 19 ; Участник № 18 ; 5000 
 74 ; Рубль ; 1771 ; СПБ АШ TI ; Ag ; AU ; 13 ; fikus ; 22000 
 75 ; 15 копеек ; 1771 ; ММД ; Ag ; VF+ ; 17 ; Alexdav ; 3400 
 76 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 6 ; кабан ; 4590 
 77 ; 2 копейки ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 17 ; кабан ; 1134 
 78 ; 5 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; кабан ; 5049 
 79 ; Пара-3 деньги (Ильин-15р). ВАЛАК ; 1772 ; Валахия ; Cu ; F-VF ; 53 ; fikus ; 22746 
 80 ; 10 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 68 ; Глол ; 7500 
 81 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 21 ; legprom ; 5202 
 82 ; Копейка ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 13 ; Участник № 1 ; 2400 
 83 ; 10 рублей ; 1775 ; СПБ ТI ; Au ; AU ; 30 ; Участник № 51 ; 440000 
 84 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF/VF+ ; 9 ; кабан ; 4659 
 85 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF+/AU ; 33 ; Глол ; 37599 
 86 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF+ ; 16 ; кабан ; 2142 
 87 ; Рубль (Петров-4р) ; 1777 ; СПБ ФЛ ; Ag ; AU ; 9 ; finger ; 52224 
 88 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; AU/XF+ ; 19 ; Участник № 1 ; 26000 
 89 ; Копейка ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 17 ; кабан ; 920 
 90 ; 20 копеек ; 1778 ; СПБ ; Ag ; AU ; 31 ; Участник № 133 ; 19000 
 91 ; 15 копеек (Петров-5р, Ильин-4р, редкая) ; 1778 ; СПБ ; Ag ; XF ; 13 ; Глол ; 60000 
 92 ; 2 копейки ; 1778 ; КМ "Сибирь" ; Cu ; VF ; 10 ; Участник № 55 ; 1700 
 93 ; Гривенник ; 1779 ; СПБ ; Ag ; VF-XF ; 19 ; 61К ; 2720 
 94 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 20 ; кабан ; 4533 
 95 ; 2 копейки (Петров-8р, Ильин-2р) ; 1779 ; ЕМ ; Cu ; VF- ; 23 ; Участник № 16 ; 15000 
 96 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF ; 14 ; Участник № 7 ; 21000 
 97 ; 5 копеек (Петров-5р, Ильин-1р) ; 1780 ; КМ "Сибирь" ; Cu ; VF ; 20 ; тен ; 10189 
 98 ; Рубль ; 1782 ; СПБ ИЗ ; Ag ; AU ; 31 ; Глол ; 51199 
 99 ; 5 копеек ; 1782 ; КМ ; Cu ; AU ; 11 ; 25 ; 5500 
 100 ; 15 копеек ; 1783 ; СПБ ; Ag ; VF-XF ; 27 ; Участник № 133 ; 4600 
 1 ; Сребренник ; 980-1015 ; Владимир Святославович(Святой) ; Ag ; F-VF ; 43 ; Участник № 1 ; 150000 
 2 ; Севский чех ; 1685 ;  ; Ag ; F-VF ; 11 ; Участник № 16 ; 12000 
 3 ; Гривенник ; 1701 ; Новодел ; Ag ; AU ; 22 ; Участник № 51 ; 17000 
 4 ; Полтина. Ремонт - 12 часов ; 1705 ;  ; Ag ; VF ; 18 ; Участник № 585 ; 26000 
 5 ; Гривна ; 1705 ; БК ; Ag ; VF+ ; 31 ; TDN ; 8000 
 6 ; Полушка ; 1707 ;  ; Cu ; VF ; 25 ; monos72 ; 6132 
 7 ; Полтина (Петров-5р) ; 1718 ; L ; Ag ; VF ; 51 ; TDN ; 20000 
 8 ; Копейка ; 1718 ; L перевернута ; Ag ; XF ; 36 ; Участник № 55 ; 24000 
 9 ; Рубль (Петров-10р) ; 1719 ; OK ; Ag ; VF-XF ; 48 ; Участник № 186 ; 85000 
 10 ; Полтина. Редкая (Петров-10р) ; 1719 ; L ; Ag ; F-VF ; 25 ; finger ; 42842 
 11 ; 2 рубля. Редкая (Петров-20р) ; 17-20 ;  ; Au ; XF+ ; 98 ; Участник № 51 ; 620000 
 12 ; Полтина ; 1721 ;  ; Ag ; F-VF ; 29 ; Участник № 692 ; 19000 
 13 ; Рубль ; 1723 ; ОК ; Ag ; VF+ ; 39 ; Участник № 9 ; 52000 
 14 ; Рубль ; 1723 ;  ; Ag ; VF+ ; 7 ; 4758 ; 20400 
 15 ; Рубль ; 1723 ; ОК ; Ag ; VF+ ; 36 ; 4758 ; 61200 
 16 ; Рубль ; 1724 ;  ; Ag ; VF+ ; 15 ; 4758 ; 22000 
 17 ; Полтина (Петров-4р) ; 1724 ;  ; Ag ; F-VF ; 29 ; TDN ; 20000 
 18 ; Рубль ; 1725 ; СПБ ; Ag ; VF-XF ; 24 ; skylink ; 100000 
 19 ; Рубль ; 1725 ; СПБ ; Ag ; F-VF ; 27 ; Участник № 222 ; 24000 
 20 ; Рубль ; 1725 ; СПБ ; Ag ; VF ; 4 ; 4758 ; 30000 
 21 ; 5 копеек ; 1726 ; НД Дата снизу вверх ; Cu ; VF-XF ; 7 ; Участник № 222 ; 8500 
 22 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF+ ; 13 ; Участник № 114 ; 5000 
 23 ; Рубль ; 1728 ;  ; Ag ; XF ; 23 ; Участник № 640 ; 55000 
 24 ; Рубль ; 1729 ;  ; Ag ; VF+ ; 40 ; Участник № 692 ; 30000 
 25 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF- ; 2 ; kirin ; 2000 
 26 ; Рубль ; 1733 ;  ; Ag ; XF+/AU ; 61 ; Участник № 51 ; 77000 
 27 ; Рубль ; 1734 ;  ; Ag ; VF-XF ; 13 ; Участник № 585 ; 28000 
 28 ; Рубль ; 1738 ;  ; Ag ; VF-XF ; 25 ; Участник № 1 ; 21000 
 29 ; Полтина (Ильин-3р) ; 1745 ; СПБ ; Ag ; VF ; 15 ; Участник № 1 ; 21000 
 30 ; Гривенник ; 1747 ;  ; Ag ; XF+ ; 54 ; Участник № 692 ; 7000 
 31 ; Рубль ; 1749 ; СПБ ; Ag ; XF+/AU ; 24 ; Участник № 692 ; 52000 
 32 ; Полуполтинник ; 1751 ; ММД А ; Ag ; VF ; 29 ; Участник № 9 ; 5000 
