 3194 ; 250 рублей. Обязательство ; 1919 ;  ;  ;  ; 40 ; lelik ; 105 
 2432 ; 5 пенни. Финляндия ; 1964 ;  ; Cu ; VF-XF ; 12 ; asru ; 38 
 2433 ; 5 пенни. Финляндия ; 1969 ;  ; Cu ; VF-XF ; 45 ; 542 ; 46 
 2434 ; 5 пенни. Финляндия ; 1971 ;  ; Cu ; VF+ ; 3 ; alex995 ; 12 
 2435 ; 5 пенни. Финляндия ; 1975 ;  ; Cu ; AU ; 7 ; asru ; 16 
 2436 ; 5 пенни. Финляндия ; 1976 ;  ; Cu ; AU ; 7 ; rizovtpl ; 21 
 2437 ; 5 пенни. Финляндия ; 1977 ;  ; Cu ; AU ; 10 ; solder13 ; 26 
 2438 ; 5 пенни. Финляндия ; 1980 ;  ; Al ; AU ; 10 ; tdp ; 28 
 2439 ; 2 кроны. Швеция. Оскар II ; 1897 ;  ; Ag ; VF+ ; 28 ; asru ; 465 
 2340 ; 5 марок. Германия. Церковь в Потсдаме ; 1935A ;  ; Ag ; VF ; 17 ; Mike! ; 291 
 2341 ; 5 марок. Германия. Церковь в Потсдаме ; 1934F ;  ; Ag ; VF ; 23 ; lelik ; 350 
 2342 ; 5 марок. Германия. На смерть Пауля фон Гинденбурга ; 1935J ;  ; Ag ; VF+ ; 46 ; Mike! ; 244 
 2343 ; 5 марок. Германия. На смерть Пауля фон Гинденбурга ; 1936J ;  ; Ag ; VF+ ; 11 ; Abbat ; 270 
 2344 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1938B ;  ; Ag ; VF-XF ; 27 ; o.k. ; 199 
 2345 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1938B ;  ; Ag ; VF+ ; 65 ; Mike! ; 184 
 2346 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1938F ;  ; Ag ; VF+ ; 41 ; lsp25 ; 308 
 2347 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1939F ;  ; Ag ; VF+ ; 47 ; ВМШ ; 343 
 2348 ; 1 марка. Германия ; 1914A ;  ; Ag ; XF+ ; 23 ; asru ; 132 
 2349 ; 1/2 марки. Германия ; 1906D ;  ; Ag ; VF ; 9 ; GEK71 ; 78 
 2350 ; 2 кроны. Австрия. Франц Иосиф ; 1913 ;  ; Ag ; VF+ ; 15 ; Mike! ; 272 
 2351 ; 10 шиллингов. Австрия ; 1971 ;  ; Ag ; VF-XF ; 24 ; Mike! ; 124 
 2352 ; 10 шиллингов. Австрия ; 1972 ;  ; Ag ; XF+ ; 25 ; МИГ ; 79 
 2353 ; 5 шиллингов. Австрия ; 1961 ;  ; Ag ; VF-XF ; 21 ; cochu ; 77 
 2354 ; 5 шиллингов. Австрия ; 1966 ;  ; Ag ; XF ; 13 ; zoom30 ; 60 
 2355 ; 1 гульден. Нидерланды. Джулиана ; 1957 ;  ; Ag ; VF-XF ; 35 ; Бамс ; 149 
 2356 ; 1 франк. Швейцария ; 1963B ;  ; Ag ; VF+ ; 31 ; rse ; 201 
 2357 ; 10 центов. Нидерланды. Вильгельмина ; 1936 ;  ; Ag ; VF ; 28 ; Артемыч ; 65 
 2358 ; 1 песо. Мексика ; 1961 ;  ; Ag ; VF ; 28 ; Гурий ; 136 
 2359 ; 1 доллар. США. Эйзенхауэр ; 1978D ;  ; Cu/Ni ; XF+ ; 3 ; МИГ ; 85 
 2360 ; 1 доллар. США. Эйзенхауэр. 200 лет юбилею ; 1976D ;  ; Cu/Ni ; AU ; 23 ; Mike! ; 204 
 2361 ; 20 рублей. Беларусь. Усяслай Полацки. С сертификатом подлинности ; 2005 ;  ; Ag ; proof ; 21 ; Ромбор ; 905 
 2362 ; 25 матонас. Эфиопия ; 1923 ;  ; Ni ; AU ; 47 ; vc57 ; 314 
 2363 ; 10 матонас. Эфиопия ; 1923 ;  ; Ni ; AU ; 16 ; vc57 ; 255 
 2364 ; 1 крона. Австрия ; 1894 ;  ; Ag ; VF ; 10 ; dimon-2007 ; 74 
 2365 ; 1 крона. Австрия ; 1899 ;  ; Ag ; VF ; 10 ; cochu ; 76 
 2366 ; 1 крона. Австрия ; 1913 ;  ; Ag ; XF+ ; 18 ; нумизмат ; 92 
 2367 ; 1 крона. Австрия ; 1915 ;  ; Ag ; XF+ ; 27 ; нумизмат ; 120 
 2368 ; 2 кроны. Швеция ; 1878 ;  ; Ag ; VF+ ; 35 ; Poiuyt ; 153 
 2369 ; 1/2 франка. Швейцария ; 1957 ;  ; Ag ; XF ; 35 ; vc57 ; 57 
 2370 ; 50 сантимов. Франция ; 1918 ;  ; Ag ; AU ; 17 ; tpa ; 72 
 2371 ; 10 центов. Нидерланды. Вильгельмина ; 1938 ;  ; Ag ; XF- ; 35 ; lomotok ; 41 
 2372 ; 10 центов. Нидерланды. Вильгельмина ; 1939 ;  ; Ag ; XF+ ; 20 ; Артемыч ; 36 
 2373 ; 10 центов. Канада ; 1962 ;  ; Ag ; XF ; 29 ; 542 ; 48 
 2374 ; 10 центов. Канада ; 1964 ;  ; Ag ; XF- ; 26 ; VR62 ; 53 
 2375 ; 10 марок. ФРГ. 2000 лет городу Бонну ; 1989D ;  ; Ag ; AU ; 17 ; ВЯЗ ; 459 
 2376 ; 1 марка. Германия ; 1908A ;  ; Ag ; VF+ ; 57 ; VEU3 ; 128 
 2377 ; 1/2 марки. Германия ; 1905J ;  ; Ag ; VF ; 30 ; kpblca ; 46 
 2378 ; 1/2 марки. Германия ; 1909A ;  ; Ag ; VF+ ; 29 ; domowoy ; 68 
 2379 ; 1/2 марки. Германия ; 1915J ;  ; Ag ; AU ; 50 ; Sanya ; 114 
 2380 ; 1/2 марки. Германия ; 1918J ;  ; Ag ; XF+ ; 9 ; solder13 ; 86 
 2381 ; 1 дайм. США. Рузвельт ; 1947 ;  ; Ag ; XF ; 13 ; alex995 ; 29 
 2382 ; 1 дайм. США. Рузвельт ; 1951 ;  ; Ag ; XF ; 3 ; alex995 ; 31 
 2383 ; 1 дайм. США. Рузвельт ; 1956 ;  ; Ag ; XF+ ; 23 ; 542 ; 38 
 2384 ; 1 дайм. США. Рузвельт ; 1957D ;  ; Ag ; XF+ ; 12 ; 542 ; 41 
 2385 ; 1/2 пенни. Великобритания. Корабль ; 1949 ;  ; Br ; XF ; 72 ; tau ; 122 
 2386 ; 4 пенса. Великобритания. Вильям IV ; 1833 ;  ; Ag ; XF+ ; 47 ; hjk1974 ; 4453 
 2387 ; 3 пенса. Великобритания. Георг III ; 1762 ;  ; Ag ; VF-XF ; 33 ; ZAC ; 4246 
 2388 ; 3 пенса. Великобритания. Георг III ; 1795 ;  ; Ag ; AU ; 29 ; zerkalozemli ; 4590 
 2389 ; 3 пенса. Великобритания. Георг III ; 1800 ;  ; Ag ; AU ; 26 ; ZAC ; 4246 
 2290 ; 1 шиллинг. Великобритания. Георг V ; 1936 ;  ; Ag ; VF+ ; 5 ; vc57 ; 189 
 2291 ; 10 центов. Малайя ; 1941 ;  ; Ag ; XF+ ; 21 ; GEK71 ; 195 
 2292 ; 10 центов. Стрейтс-Сеттельмент ; 1927 ;  ; Ag ; AU ; 59 ; hjk1974 ; 476 
 2293 ; 10 центов. Нидерланды. Королева Вильгельмина ; 1941 ;  ; Ag ; AU ; 4 ; joss2010 ; 120 
 2294 ; 50 сантимов. Франция ; 1917 ;  ; Ag ; AU ; 31 ; tau ; 119 
 2295 ; 25 сентаво. Мексика ; 1953 ;  ; Ag ; VF-XF ; 12 ; vc57 ; 156 
 2296 ; 1 шиллинг. Восточная Африка. Георг V ; 1922 ;  ; Ag ; VF+ ; 26 ; vc57 ; 206 
 2297 ; 50 центов. Австралия ; 1966 ;  ; Ag ; AU ; 57 ; ez ; 231 
 2298 ; 25 шиллингов. Австрия. 800 лет царскому дворцу Мариацель ; 1957 ;  ; Ag ; AU ; 24 ; Бамс ; 312 
 2299 ; 25 шиллингов. Австрия. 100 лет со дня рождения Ауэра фон Вельсбаха ; 1958 ;  ; Ag ; AU ; 22 ; Бамс ; 300 
 2300 ; 25 шиллингов. Австрия. 100 лет со дня рождения Ауэра фон Вельсбаха ; 1958 ;  ; Ag ; AU ; 20 ; Бамс ; 300 
 2301 ; 100 йен. Япония. Император Хирохито ; 20 век ;  ; Ag ; VF-XF ; 30 ; ВЯЗ ; 147 
 2302 ; 100 йен. Япония. Олимпийские игры 1964 года ; 1964 ;  ; Ag ; AU ; 13 ; tati1545 ; 171 
 2303 ; 100 йен. Япония. Олимпийские игры 1964 года ; 1964 ;  ; Ag ; AU ; 34 ; o.k. ; 146 
 2304 ; 2 риала. Иран. Правитель Мухаммад Реза Пахлави Шах ; 1325 лх ;  ; Ag ; XF+ ; 6 ; tau ; 142 
 2305 ; 1 риал. Иран. Правитель Мухаммад Реза Пахлави Шах ; 1322 лх ;  ; Ag ; AU ; 7 ; tau ; 153 
 2306 ; 1 риал. Иран. Правитель Мухаммад Реза Пахлави Шах ; 1323 лх ;  ; Ag ; XF+ ; 1 ; vitapool ; 120 
 2307 ; 20 центов. Китай. Провинция Гуандун ; 20 век ;  ; Ag ; VF-XF ; 14 ; slav_1962 ; 212 
 2308 ; 20 центов. Китай. Провинция Гуандун ; 20 век ;  ; Ag ; XF ; 19 ; slav_1962 ; 272 
 2309 ; 5 центов. Гон-Конг ; 1904 ;  ; Ag ; XF- ; 51 ; ez ; 1165 
 2310 ; 10 центов. Китай ; 20 век ;  ; Cu ; VF+ ; 26 ; o.k. ; 102 
 2311 ; 1 шо. Тибет ; 1923 ;  ; Cu ; VF ; 20 ; hjk1974 ; 666 
 2312 ; 2 куруша. Турция. Абдул Хамид II. 27 год правления ; 1293 лх ;  ; Ag ; VF+ ; 14 ; tau ; 357 
 2313 ; 10 марок. ФРГ. Мировая благотворительная организация для детей оставшихся без родителей ; 1999D ;  ; Ag ; proof ; 53 ; 542 ; 541 
 2314 ; 10 марок. ФРГ. 1000 лет Потсдаму ; 1993F ;  ; Ag ; AU ; 36 ; лот мой! ; 663 
 2315 ; 10 марок. ФРГ. 2000 лет городу Бонну ; 1989D ;  ; Ag ; AU ; 18 ; Mike! ; 370 
 2316 ; 10 марок. ФРГ. Попытка устранить Гитлера 20 июля 1944 года ; 1994A ;  ; Ag ; AU ; 42 ; Mike! ; 397 
 2317 ; 10 марок. ФРГ. 125 лет со дня рождения Кетти Кольвитз ; 1992G ;  ; Ag ; AU ; 26 ; Mike! ; 417 
 2318 ; 10 евро. ФРГ. Макс Планк ; 2008F ;  ; Ag ; AU ; 24 ; Mike! ; 542 
 2319 ; 5 марок. ФРГ. Вильгельм и Александр фон Гумбольдт ; 1967F ;  ; Ag ; AU ; 16 ; Бамс ; 500 
 2320 ; 5 марок. ФРГ. 150 лет со дня рождения Фридриха Райффайзена ; 1968J ;  ; Ag ; AU ; 30 ; kladoiskatel ; 234 
 2321 ; 5 марок. ФРГ. 250 лет со дня смерти Готтфрида Вильгельма Лейбница ; 1966D ;  ; Ag ; AU ; 24 ; Mike! ; 520 
 2322 ; 5 марок. ФРГ. 100 лет со дня рождения Густава Стресеманна ; 1978D ;  ; Ag ; AU ; 68 ; lomotok ; 224 
 2323 ; 5 марок. ФРГ. 50 лет со дня смерти Фридриха Эберта ; 1975J ;  ; Ag ; AU ; 9 ; МИГ ; 180 
 2324 ; 5 марок. ФРГ. 750 лет со дня смерти Фон дер Фогельвейде ; 1980D ;  ; Cu/Ni ; AU ; 39 ; МИГ ; 181 
 2325 ; 5 марок. ФРГ. 150 лет со дня смерти Гете ; 1982D ;  ; Cu/Ni ; AU ; 32 ; Mike! ; 184 
 2326 ; 5 марок. ФРГ. 150 лет со дня смерти Карла фон Штейна ; 1981G ;  ; Cu/Ni ; AU ; 15 ; Mike! ; 157 
 2327 ; 5 марок. ФРГ. 175 лет со дня рождения Феликса Бартольди ; 1984J ;  ; Cu/Ni ; proof ; 87 ; Mike! ; 187 
 2328 ; 5 марок. ФРГ. 500 лет со дня рождения Мартина Лютера ; 1983G ;  ; Cu/Ni ; proof ; 81 ; ez ; 180 
 2329 ; 5 марок. ФРГ. Европейский год музыки ; 1985F ;  ; Cu/Ni ; proof ; 42 ; ez ; 180 
 2330 ; 5 марок. ФРГ. 100 лет со дня смерти Карла Маркса ; 1983J ;  ; Cu/Ni ; proof ; 21 ; sinisha ; 290 
 2331 ; 5 марок. ФРГ. 10 лет конференции ООН по вопросам окружающей среды ; 1982F ;  ; Cu/Ni ; proof ; 91 ; vadimn ; 199 
 2332 ; 5 марок. ФРГ. 600 лет Хейдельбергскому университету ; 1986D ;  ; Cu/Ni ; proof ; 11 ; ez ; 170 
 2333 ; 5 марок. ФРГ. 200 лет со дня смерти Лессинга ; 1981J ;  ; Cu/Ni ; proof ; 79 ; МИГ ; 162 
 2334 ; 20 марок. ГДР. Фридрих фон Шиллер ; 1972A ;  ; Cu/Ni ; AU ; 49 ; МИГ ; 138 
 2335 ; 20 марок. ГДР. 85 лет со дня рождения Эрнста Тельманна ; 1971A ;  ; Cu/Ni ; AU ; 9 ; МИГ ; 104 
 2336 ; 10 марок. ГДР. 20 лет Варшавскому договору ; 1975A ;  ; Cu/Ni ; AU ; 35 ; ez ; 435 
 2337 ; 10 марок. ГДР. Бухенвальдский памятник ; 1972A ;  ; Cu/Ni ; AU ; 41 ; sinisha ; 275 
 2338 ; 10 марок. ГДР. 25 лет юбилею ; 1974A ;  ; Cu/Ni ; AU ; 33 ; МИГ ; 112 
 2339 ; 5 марок. ГДР. Город Мейсен ; 1972A ;  ; Cu/Ni ; XF+ ; 9 ; МИГ ; 33 
 2240 ; 5 марок. Германия. Церковь в Потсдаме ; 1934A ;  ; Ag ; VF ; 19 ; лот мой! ; 323 
 2241 ; 5 марок. Германия. На смерть Пауля фон Гинденбурга ; 1935F ;  ; Ag ; VF+ ; 7 ; мурзилка ; 248 
 2242 ; 3 марки. Пруссия. Вильгельм II ; 1910A ;  ; Ag ; VF+/VF-XF ; 38 ; Almazin ; 693 
 2243 ; 3 марки. Бавария. 90 лет со дня рождения принца-регента Люитпольда ; 1911D ;  ; Ag ; AU ; 43 ; нумизмат ; 1504 
 2244 ; 3 марки. Саксония. Битва под Лейпцигом ; 1913Е ;  ; Ag ; AU ; 18 ; lelik ; 1020 
 2245 ; 3 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 35 ; нумизмат ; 1600 
 2246 ; 3 марки. Веймар. Гете ; 1932А ;  ; Ag ; AU ; 36 ; kolobokoff ; 2984 
 2247 ; 1 торговый доллар. США ; 1877S ;  ; Ag ; VF- ; 88 ; priwet ; 5000 
 2248 ; 2 марки. Германия. 450 лет со дня рождения Мартина Лютера ; 1933A ;  ; Ag ; VF+/XF- ; 32 ; lelik ; 1383 
 2249 ; 2 1/2 гроша. Пруссия ; 1873А ;  ; Ag ; Unc ; 50 ; Sanya ; 538 
 2250 ; 1/2 гроша. Пруссия ; 1870А ;  ; Ag ; Unc ; 45 ; tau ; 487 
 2251 ; 3 марки. Вюртемберг. На серебряную свадьбу ; 1911 ;  ; Ag ; AU ; 25 ; lelik ; 1248 
 2252 ; 3 марки. Веймар. 1000-летие освобождения Рейнланда ; 1925А ;  ; Ag ; XF+/AU ; 27 ; Sky2 ; 1532 
 2253 ; 2 марки. Пруссия. ; 1876А ;  ; Ag ; VF- ; 43 ; num1 ; 437 
 2254 ; 2 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 51 ; Sky2 ; 800 
 2255 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1937D ;  ; Ag ; VF+ ; 3 ; o.k. ; 160 
 2256 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1937E ;  ; Ag ; VF+ ; 11 ; andriano ; 185 
 2257 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1937J ;  ; Ag ; VF+ ; 6 ; o.k. ; 168 
 2258 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1938А ;  ; Ag ; VF+ ; 3 ; obob999 ; 157 
 2259 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1938D ;  ; Ag ; VF+ ; 15 ; o.k. ; 203 
 2260 ; 1 марка. Германия ; 1875C ;  ; Ag ; VF- ; 41 ; num1 ; 94 
 2261 ; 1 марка. Германия ; 1875G ;  ; Ag ; F-VF ; 25 ; num1 ; 111 
 2262 ; 1 марка. Германия ; 1875H ;  ; Ag ; F-VF ; 13 ; мурзилка ; 47 
 2263 ; 1 крона. Великобритания. Образец ; 1868 ;  ; Би/м ; AU ; 13 ; hjk1974 ; 1050 
 2264 ; 10 марок. ФРГ. 50 лет миру и согласию. Упаковка ; 1995J ;  ; Ag ; proof ; 46 ; Mike! ; 435 
 2265 ; 5 марок. ФРГ. 150 лет со дня смерти Иоганна Готлиба Фихте ; 1964J ;  ; Ag ; AU ; 87 ; Abbat ; 2062 
 2266 ; 10 тысяч марок. Германия. Вестфалия. Нотгельд ; 1923 ;  ; Ж/м ; AU ; 90 ; st-micke ; 1224 
 2267 ; 10 тысяч марок. Германия. Вестфалия. Нотгельд ; 1923 ;  ; Ж/м ; AU ; 38 ; st-micke ; 655 
 2268 ; 20 грошей. Центральное правительство. Немецкая оккупация Польши 1939-1944 ; 1923 ;  ; Zn ; VF ; 56 ; ВМШ ; 169 
 2269 ; 20 фенигов. Королевство Польское. Немецкая оккупация Польши ; 1918 ;  ; Fe ; XF+ ; 30 ; lsp25 ; 416 
 2270 ; 10 фенигов. Королевство Польское. Немецкая оккупация Польши ; 1917 ;  ; Fe ; VF ; 39 ; ВМШ ; 161 
 2271 ; 10 фенигов. Королевство Польское. Немецкая оккупация Польши ; 1917 ;  ; Fe ; VF+ ; 24 ; ВМШ ; 317 
 2272 ; 5 фенигов. Королевство Польское. Немецкая оккупация Польши ; 1917 ;  ; Fe ; VF ; 54 ; ВМШ ; 263 
 2273 ; 5 фенигов. Королевство Польское. Немецкая оккупация Польши ; 1917 ;  ; Fe ; VF+ ; 59 ; ВМШ ; 185 
 2274 ; 1 грош. Гессен-Кассель ; 1858А ;  ; Ag ; F-VF ; 19 ; ez ; 255 
 2275 ; 1 соль. Франция ; 1787 ;  ; Cu ; F-VF ; 57 ; tau ; 567 
 2276 ; 1 форинт. Венгрия ; 1883 ;  ; Ag ; VF- ; 48 ; нумизмат ; 518 
 2277 ; 3 стубера. Берг ; 1806 ;  ; Ag ; F-VF ; 34 ; VR62 ; 296 
 2278 ; 1 крона. Австрия ; 1893 ;  ; Ag ; VF-XF ; 38 ; num1 ; 123 
 2279 ; 1 дайм. США. Меркури ; 1944 ;  ; Ag ; VF ; 23 ; lomotok ; 61 
 2280 ; 1 анна. Британская Индия ; 1909 ;  ; Ni ; VF-XF ; 31 ; ZAC ; 765 
 2281 ; 1/2 рупии. Британская Индия. Виктория ; 1899 ;  ; Ag ; VF+ ; 30 ; cochu ; 600 
 2282 ; 2 анны. Британская Индия. Виктория ; 1883 ;  ; Ag ; VF+ ; 39 ; ez ; 518 
 2283 ; 6 пенсов. Великобритания. Георг V ; 1913 ;  ; Ag ; VF+ ; 31 ; 542 ; 204 
 2284 ; 3 пенса. Великобритания. Георг V ; 1916 ;  ; Ag ; VF-XF ; 19 ; Бамс ; 131 
 2285 ; 1/4 рупии. Британская Индия. Георг VI ; 1943 ;  ; Ag ; VF-XF ; 39 ; vitapool ; 151 
 2286 ; 20 эскудо. Мозамбик ; 1952 ;  ; Ag ; VF-XF ; 23 ; Бамс ; 261 
 2287 ; 1 песо. Филиппины. Визит папы Павла VI ; 1970 ;  ; Ag ; AU ; 26 ; S1952 ; 480 
 2288 ; 1 песо. Мексика ; 1966 ;  ; Ag ; VF-XF ; 48 ; 542 ; 113 
 2289 ; 1 песо. Мексика ; 1959 ;  ; Ag ; VF-XF ; 19 ; ВЯЗ ; 200 
 1630 ; 1 рубль ; 1984 ; 150 лет со дня рождения Д.И.Ме ; Cu-Ni ; XF ; 33 ; o.k. ; 51 
 1631 ; 1 рубль ; 1987 ; 130 лет со дня рождения К.Э.Ци ; Cu-Ni ; XF ; 25 ; tron ; 35 
 1632 ; 1 рубль ; 1990 ; 150 лет со дня рождения П.И.Ча ; Cu-Ni ; XF ; 22 ; ЧИС ; 31 
 1633 ; 1 рубль ; 1991 ; 125 лет со дня рождения П.Н.Ле ; Cu-Ni ; XF ; 26 ; Максимус 1 ; 36 
 1634 ; 1 рубль ; 1985 ; 115 лет со дня рождения В.И.Ле ; Cu-Ni ; XF ; 57 ; grig2006 ; 165 
 1635 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; XF ; 21 ; bcs ; 87 
 1636 ; 1 рубль ; 1991 ; 101 год со дня рождения К.В.Ив ; Cu-Ni ; XF ; 3 ; хруст ; 34 
 1637 ; 1 рубль ; 1990 ; Маршал СССР Г.К.Жуков ; Cu-Ni ; XF ; 38 ; bcs ; 87 
 1638 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Ше ; Cu-Ni ; XF ; 24 ; Hant  ; 34 
 1639 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Че ; Cu-Ni ; XF ; 25 ; tron ; 35 
 1640 ; 1 рубль ; 1989 ; 150 лет со дня рождения М.П.Му ; Cu-Ni ; XF ; 26 ; Максимус 1 ; 36 
 1641 ; 1 рубль ; 1989 ; 100 лет со дня рождения Ниязи ; Cu-Ni ; XF ; 4 ; vladimir232 ; 35 
 1642 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Ле ; Cu-Ni ; XF ; 25 ; tron ; 35 
 1643 ; 1 рубль ; 1988 ; 120 лет со дня рождения А.М.Го ; Cu-Ni ; XF ; 24 ; Hant  ; 34 
 1644 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райн ; Cu-Ni ; XF ; 34 ; tron ; 35 
 1645 ; Набор монет. Упаковка ; 1995 ; 50 лет Победы ;  ; UNC ; 29 ; ZAC ; 2082 
 1646 ; Годовой набор монет: 1 рубль, 50,20,15,10,5,3,2,1 коп (9шт). Упаковка ; 1976 ;  ; Cu-Ni,Cu/Z ; UNC ; 16 ; tdp ; 3518 
 2207 ; 2 1/2 талера. Ганновер ; 1855В ;  ; Au ; AU ; 45 ; карта 123 ; 19379 
 2208 ; Двойной луидор. Франция. Людовик XVI ; 1786 ;  ; Au ; XF-/XF+ ; 49 ; тнн ; 18585 
 2209 ; Соверен. Великобритания ; 1963 ;  ; Au ; AU ; 10 ; Волк ; 6898 
 2210 ; 20 франков. Франция. Людовик XVIII ; 1824А ;  ; Au ; VF+ ; 15 ; nikolay ; 5862 
 2211 ; 20 франков. Франция ; 1865 ;  ; Au ; AU ; 32 ; irinka ; 7664 
 2212 ; 20 франков. Венгрия ; 1889 ;  ; Au ; VF-XF ; 19 ; нумизмат ; 5610 
 2213 ; 20 франков. Швейцария ; 1897 ;  ; Au ; AU ; 23 ; лот мой! ; 5945 
 2214 ; 20 франков. Бельгия ; 1876 ;  ; Au ; AU ; 32 ; domosed ; 7664 
 2215 ; 20 лир. Италия ; 1862 ;  ; Au ; XF-/XF+ ; 45 ; domosed ; 5723 
 2216 ; 20 лир. Италия ; 1882 ;  ; Au ; AU ; 20 ; Almazin ; 5838 
 2217 ; 20 марок. Гессен ; 1906А ;  ; Au ; VF-XF ; 44 ; region23 ; 15122 
 2218 ; 20 крон. Дания. Фредерик VIII ; 1912 ;  ; Au ; AU ; 16 ; Almazin ; 8262 
 2219 ; 20 крон. Дания. Кристиан X ; 1913 ;  ; Au ; AU ; 11 ; lynx ; 7933 
 2220 ; 20 крон. Дания ; 1917 ;  ; Au ; XF ; 11 ; domosed ; 7777 
 2221 ; 10 крон. Дания ; 1913 ;  ; Au ; XF- ; 11 ; lynx ; 4085 
 2222 ; 10 крон. Австрия ; 1905 ;  ; Au ; XF+/AU ; 30 ; нумизмат ; 3512 
 2223 ; 10 крон. Австрия ; 1909 ;  ; Au ; XF+/AU ; 27 ; нумизмат ; 3656 
 2224 ; 5 долларов. США. 200 лет конституции. В подарочной упаковке с сертификатом подлинности ; 1987 ;  ; Au ; proof ; 66 ; luda ; 6141 
 2225 ; Талер. Пруссия ; 1814А ;  ; Ag ; F-VF ; 54 ; ВЯЗ ; 1581 
 2226 ; Талер. Рейсс-Шлейц ; 1858А ;  ; Ag ; VF-XF ; 40 ; region23 ; 7429 
 2227 ; Талер. Ганновер ; 1859В ;  ; Ag ; F-VF ; 47 ; Sanya ; 2123 
 2228 ; Талер. Франкфурт на Майне ; 1860 ;  ; Ag ; VF+ ; 22 ; romanov21 ; 1533 
 2229 ; Талер. Пруссия. Коронация Вильгельма и Августы ; 1861 ;  ; Ag ; VF+ ; 29 ; vatom22 ; 1622 
 2230 ; Талер. Пруссия. Победа над Австрией ; 1866А ;  ; Ag ; VF-XF ; 29 ; vatom22 ; 2500 
 2231 ; Талер. Пруссия. Победа над Францией ; 1871 ;  ; Ag ; F-VF ; 57 ; VR62 ; 753 
 2232 ; 1/2 талера. Венгрия ; 1789А ;  ; Ag ; VF-XF ; 86 ; НБ ; 1931 
 2233 ; 20 крейцеров. Зальцбург ; 1784М ;  ; Ag ; F-VF ; 38 ; slav_1962 ; 816 
 2234 ; 20 крейцеров. Зальцбург ; 1790М ;  ; Ag ; VF+ ; 64 ; tau ; 1230 
 2235 ; 1 крона. Великобритания ; 1889 ;  ; Ag ; XF/XF+ ; 65 ; 4758 ; 4500 
 2236 ; Талер. Мария Терезия. Австрия. Новодел ; 1780 ;  ; Ag ; AU ; 14 ; tau ; 745 
 2237 ; 5 франков. Франция. Наполеон III ; 1868 ;  ; Ag ; VF+/VF-XF ; 32 ; Гурий ; 738 
 2238 ; 5 марок. Баден ; 1876G ;  ; Ag ; VF- ; 34 ; Sanya ; 1944 
 2239 ; 5 марок. Пруссия. Вильгельм II ; 1903A ;  ; Ag ; VF ; 6 ; мурзилка ; 872 
 1580 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; VF-XF ; 26 ; Danilas_ ; 26 
 1581 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; VF-XF ; 18 ; evgen72 ; 35 
 1582 ; 1 рубль ; 1977 ; 60 лет Советской власти ; Cu-Ni ; VF-XF ; 20 ; Danilas_ ; 30 
 1583 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ло ; Cu-Ni ; XF ; 12 ; evgen72 ; 55 
 1584 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ло ; Cu-Ni ; XF ; 53 ; evgen72 ; 55 
 1585 ; 1 рубль ; 1983 ; 20 лет полета в космос В.Тереш ; Cu-Ni ; XF ; 34 ; bcs ; 97 
 1586 ; 1 рубль ; 1984 ; 125 лет со дня рождения А.С.По ; Cu-Ni ; XF ; 19 ; piron ; 73 
 1587 ; 1 рубль ; 1983 ; 165 лет со дня рождения К.Марк ; Cu-Ni ; XF ; 40 ; grig2006 ; 209 
 1588 ; 1 рубль ; 1987 ; 70 лет Октябрьской революции ; Cu-Ni ; XF ; 21 ; Danilas_ ; 27 
 1589 ; 1 рубль ; 1986 ; 275 лет со дня рождения М.В.Ло ; Cu-Ni ; XF ; 12 ; grig2006 ; 100 
 1590 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скор ; Cu-Ni ; XF ; 2 ; dron ; 53 
 1591 ; 1 рубль ; 1989 ; 100 лет со дня смерти Эминеску ; Cu-Ni ; XF ; 6 ; evgen72 ; 55 
 1592 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; XF ; 15 ; grig2006 ; 50 
 1593 ; 1 рубль ; 1985 ; 40 лет Победы над Германией ; Cu-Ni ; XF ; 1 ; Глава ; 200 
