 3212 ; Бона иностранная ;  ;  ;  ;  ; 16 ; buzykin ; 43 
 3002 ; 15 копеек ; 1915 ; Деньги-марки  ;  ;  ; 7 ; test ; 32 
 3003 ; 10 копеек. Минводы ;  ;  ;  ;  ; 8 ; kozh ; 220 
 3004 ; 10 бани. Румыния ; 1917 ;  ;  ;  ; 27 ; cochu ; 101 
 3005 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР  ;  ;  ; 15 ; evgen72 ; 72 
 3006 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР  ;  ;  ; 60 ; den_ff ; 89 
 3007 ; 5 рублей ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 31 ; suhoi ; 131 
 3008 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 11 ; suhoi ; 153 
 3009 ; 50 бани. Румыния ; 1917 ;  ;  ;  ; 32 ; cochu ; 104 
 3010 ; 2 копейки. Екатеринодар ;  ;  ;  ;  ; 28 ; hjk1974 ; 834 
 3011 ; 1 марка золотом ; 1915 ; Финляндия билет  ;  ;  ; 43 ; lelik ; 419 
 2302 ; 1 цент. Канада ; 1902 ;  ; Br ; VF ; 70 ; Gop ; 957 
 2303 ; 10 марок. Финляндия. 10 чемпионат мира по легкой атлетике. Сертификат ; 1971 ;  ; Ag ; AU ; 50 ; В1951 ; 303 
 2304 ; 10 марок финляндия. 75 лет со дня рождения президента Кекконена. Сертификат ; 1975 ;  ; Ag ; AU ; 19 ; rbcrf ; 300 
 2305 ; 10 марок. Финляндия. 60 лет независимости. Сертификат ; 1977 ;  ; Ag ; AU ; 30 ; erfahren ; 408 
 2306 ; 10 марок. Финляндия. 100 лет со дня рождения президента Паасикиви. Сертификат ; 1970 ;  ; Ag ; AU ; 17 ; erfahren ; 309 
 2307 ; 2 золота. Турция. Мустафа III. Убраны подвески по гурту ; 1171 л.х. ;  ; Ag ; F+ ; 75 ; ВЯЗ ; 930 
 2308 ; Таньга. Бухара ;  ;  ; Ag ; VF- ; 16 ; xabib ; 53 
 2309 ; Таньга. Бухара ;  ;  ; Ag ; VF- ; 23 ; QSL ; 166 
 2310 ; Таньга. Бухара ;  ;  ; Ag ; VF- ; 3 ; Qersej ; 107 
 2311 ; 1 злотый. Польша (Народная республика) ; 1978 ;  ; Al ; VF+ ; 1 ; ton2519 ; 2 
 2312 ; 10 грошей. Польша (Народная республика) ; 1970 ;  ; Al ; XF ; 5 ; ton2519 ; 6 
 2313 ; 10 пфеннигов. ГДР ; 1963 ; А ; Al ; VF+ ; 45 ; Dj ; 51 
 2314 ; 5 пфеннигов. ГДР ; 1978 ; А ; Al ; XF- ; 33 ; Gop ; 52 
 2315 ; 10 грошей. Польша ; 1992 ;  ; Cu/Ni ; VF-XF ; 19 ; surf2k5 ; 20 
 2316 ; 5 копеек. Молдова ; 2000 ;  ; Al ; VF-XF ; 12 ; sts ; 14 
 2317 ; 1 пенни. Великобритания. Елизавета II ; 1996 ;  ; Cu/St ; XF ; 17 ; Xe72 ; 15 
 2318 ; 50 эре. Швеция. Карл XVI Густав ; 1981 ;  ; Cu/Ni ; XF+ ; 32 ; 542 ; 62 
 2319 ; 10 эре. Швеция. Карл XVI Густав ; 1981 ;  ; Cu/Ni ; XF ; 20 ; Xe72 ; 20 
 2320 ; 10 центов. Нидерланды. Королева Джулиана ; 1970 ;  ; Ni ; VF-XF ; 20 ; Xe72 ; 20 
 2321 ; 1 франк. Бельгия ; 1951 ;  ; Cu/Ni ; VF+ ; 18 ; Xe72 ; 26 
 2322 ; 1 франк. Бельгия ; 1989 ;  ; Ni/Fe ; XF+ ; 7 ; Xe72 ; 22 
 2323 ; 1 цент. США. Линкольн ; 1989 ; D ; Cu/Zn ; VF+ ; 2 ; ton2519 ; 10 
 2324 ; 2 евроцента. Бельгия. Альберт II ; 2000 ;  ; Cu/St ; XF- ; 7 ; Xe72 ; 18 
 2325 ; 1 шиллинг. Великобритания ; 1856 ;  ; Ag ; VF ; 4 ; fatima ; 581 
 2326 ; 1 фартинг. Великобритания ; 1826 ;  ; Cu ; F-VF ; 6 ; Gop ; 647 
 2327 ; 1 крейцер. Гессе-Дармштадт ; 1870 ;  ; Cu ; VF+ ; 36 ; von_Schwarz ; 194 
 2328 ; 5 марок. Вюртемберг ; 1901 ; F ; Ag ; VF+ ; 42 ; ЕВС ; 1134 
 2329 ; 50 пфеннигов. Веймар ; 1922 ; А ; Al ; XF ; 9 ; Xe72 ; 54 
 2330 ; 1 доллар. США ; 1924 ;  ; Ag ; AU ; 63 ; Hant  ; 1844 
 2331 ; 1 доллар. Канада. Ванкувер ; 1986 ;  ; Ag ; Proof ; 14 ; Chirchic ; 521 
 2332 ; 10 крон. Норвегия. 150 лет конституции ; 1964 ;  ; Ag ; AU ; 27 ; Бамс ; 348 
 2333 ; 500 лир. Италия. 100 лет объединению Италии ; 1961 ;  ; Ag ; AU ; 61 ; rizovtpl ; 765 
 2334 ; Таньга. Бухара ;  ;  ; Ag ; VF- ; 12 ; Qersej ; 89 
 2335 ; 200 марок. Финляндия ; 1956 ;  ; Ag ; AU ; 39 ; Алек ; 459 
 2336 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; AU ; 17 ; av ; 221 
 2337 ; 10 пенни. Финляндия ; 1919 ;  ; Cu ; VF+ ; 15 ; mars6307 ; 32 
 2338 ; 10 пенни. Финляндия ; 1920 ;  ; Cu ; VF+ ; 9 ; mars6307 ; 21 
 2339 ; 10 пенни. Финляндия ; 1921 ;  ; Cu ; VF-XF ; 21 ; Xe72 ; 51 
 2340 ; 10 пенни. Финляндия ; 1922 ;  ; Cu ; VF-XF ; 9 ; sts ; 79 
 2341 ; 10 пенни. Финляндия ; 1924 ;  ; Cu ; XF ; 11 ; mars6307 ; 63 
 2342 ; 10 пенни. Финляндия ; 1926 ;  ; Cu ; XF ; 14 ; rizovtpl ; 72 
 2343 ; 10 пенни. Финляндия ; 1927 ;  ; Cu ; VF-XF ; 7 ; solder13 ; 62 
 2344 ; 10 пенни. Финляндия ; 1929 ;  ; Cu ; VF+ ; 11 ; solder13 ; 14 
 2345 ; 10 пенни. Финляндия ; 1930 ;  ; Cu ; VF-XF ; 10 ; solder13 ; 12 
 2346 ; 10 пенни. Финляндия ; 1934 ;  ; Cu ; VF-XF ; 24 ; sts ; 40 
 2347 ; 10 пенни. Финляндия ; 1935 ;  ; Cu ; VF-XF ; 9 ; solder13 ; 51 
 2348 ; 10 пенни. Финляндия ; 1936 ;  ; Cu ; XF- ; 9 ; 542 ; 114 
 2349 ; 10 пенни. Финляндия ; 1937 ;  ; Cu ; XF- ; 7 ; sts ; 68 
 2350 ; 10 пенни. Финляндия ; 1938 ;  ; Cu ; VF-XF ; 23 ; sts ; 77 
 2351 ; 10 пенни. Финляндия ; 1939 ;  ; Cu ; XF- ; 8 ; obob999 ; 11 
 2252 ; 3 марки. Веймар. 1000 лет Рейнланду ; 1925 ; Е ; Ag ; AU ; 29 ; mifod ; 1664 
 2253 ; 3 марки. Веймар. 1000 лет г.Мейсен ; 1929 ; Е ; Ag ; AU ; 14 ; igaist ; 2086 
 2254 ; 3 марки. Пруссия. Университет в Бреслау ; 1911 ; А ; Ag ; AU ; 69 ; igor_r65 ; 2443 
 2255 ; 3 марки. Бавария. 90 лет со дня рождения Принца-регента Луитпольда ; 1911 ; D ; Ag ; AU ; 12 ; ЕВС ; 1230 
 2256 ; 3 марки. Бавария. 90 лет со дня рождения принца-регента Луитпольда ; 1911 ; D ; Ag ; AU ; 47 ; igor_r65 ; 1474 
 2257 ; 2 марки. Баден. Годовщина золотой свадьбы ; 1906 ;  ; Ag ; AU ; 83 ; igor_r65 ; 2123 
 2258 ; 2 марки. Бавария. 90 лет со дня рождения Принца-регента Луитпольда ; 1911 ; D ; Ag ; AU ; 15 ; num1 ; 1416 
 2259 ; 50 пфеннигов. Веймар ; 1921 ; А ; Al ; XF ; 10 ; QSL ; 69 
 2260 ; 500 рейс. Бразилия ; 1860 ;  ; Ag ; XF ; 31 ; Алек ; 765 
 2261 ; 10 гривен. Украина. XIX зимние олимпийские игры в Солт-Лейк-Сити. Капсула ; 2001 ;  ; Ag ; Proof ; 60 ; Mike! ; 542 
 2262 ; 10 лева. Болгария. XIX зимние олимпийские игры. Капсула ; 2001 ;  ; Ag ; Proof ; 53 ; mifod ; 437 
 2263 ; 500 тугриков. Монголия. XIX зимние олимпийские игры. Капсула ; 2001 ;  ; Ag ; Proof ; 32 ; Mike! ; 483 
 2264 ; 10 динар. Андорра. XIX зимние олимпийские игры. Капсула ; 2002 ;  ; Ag ; Proof ; 66 ; QSL ; 360 
 2265 ; 1/2 доллара. США ; 1964 ;  ; Ag ; AU ; 36 ; paxa ; 225 
 2266 ; 2 пенса. Великобритания. Королева Виктория ; 1838 ;  ; Ag ; AU ; 58 ; rizovtpl ; 1672 
 2267 ; 2 пенса. Великобритания. Королева Виктория ; 1843 ;  ; Ag ; AU ; 41 ; hjk1974 ; 1574 
 2268 ; 2 пенса. Великобритания. Георг V ; 1928 ;  ; Ag ; AU ; 89 ; hjk1974 ; 1497 
 2269 ; 2 пенса. Великобритания. Королева Елизавета ; 1962 ;  ; Ag ; AU ; 73 ; hjk1974 ; 1613 
 2270 ; 1 пенни. Великобритания. Георг III ; 1800 ;  ; Ag ; AU ; 40 ; Gop ; 2102 
 2271 ; 1 пенни. Великобритания. Королева Виктория ; 1850 ;  ; Ag ; AU ; 39 ; hjk1974 ; 1574 
 2272 ; 1 пенни. Великобритания. Георг VI ; 1939 ;  ; Ag ; AU ; 21 ; zerkalozemli ; 1581 
 2273 ; 1 пенни. Великобритания. Королева Елизавета ; 1962 ;  ; Ag ; AU ; 81 ; hjk1974 ; 1543 
 2274 ; Крона. Великобритания. Королева Виктория ; 1887 ;  ; Ag ; VF ; 8 ; lelik ; 1134 
 2275 ; 1/6 талера. Пруссия. Ремонт 12 ч ; 1764 ;  ; Ag ; F-VF ; 78 ; акча ; 507 
 2276 ; 20 марок. ГДР. 150 лет со дня рождения Карла Маркса ; 1968 ;  ; Ag ; AU ; 42 ; СВл ; 3866 
 2277 ; 20 марок. ГДР. 150 лет со дня рождения Карла Маркса ; 1968 ;  ; Ag ; AU ; 3 ; Alekss_27 ; 2081 
 2278 ; 20 марок. ГДР. 150 лет со дня рождения Фридриха Энгельса ; 1970 ;  ; Ag ; AU ; 5 ; HILL ; 2184 
 2279 ; 20 марок. ГДР. Карл Лейбкнехт. Роза Люксембург ; 1971 ;  ; Ag ; AU ; 21 ; HILL ; 2313 
 2280 ; 1 форинт. Венгрия ; 1879 ;  ; Ag ; VF- ; 83 ; VR62 ; 206 
 2281 ; 10 злотых. Польша ; 1938 ;  ; Ag ; XF+/AU ; 22 ; st-micke ; 793 
 2282 ; 25 лева. Болгария. 40 лет Социалистической Болгарии ; 1984 ;  ; Ag ; Proof ; 3 ; Igor11111968 ; 306 
 2283 ; 50 лева. Болгария ; 1989 ;  ; Cu/Ni/Zn ; AU ; 3 ; Gop ; 204 
 2284 ; 2 лева. Болгария. 2-й совместный космический полет СССР-НРБ ; 1988 ;  ; Cu/Ni ; Proof ; 24 ; Gop ; 101 
 2285 ; 2 стотинки. Болгария ; 1912 ;  ; Br ; AU ; 5 ; rizovtpl ; 313 
 2286 ; 10 юаней. Тайвань ; 20 век ;  ; Cu/Ni ; AU ; 11 ; Xe72 ; 32 
 2287 ; 1000 квача. Замбия. Календарь 2004г ; 2004 ;  ; Cu/Ni ; AU ; 35 ; ton2519 ; 241 
 2288 ; 50 центов. Австралия ; 1978 ;  ; Cu/Ni ; VF ; 7 ; Xe72 ; 39 
 2289 ; 5 злотых. Польша ; 1933 ;  ; Ag ; VF-XF ; 68 ; rbcrf ; 521 
 2290 ; 3 марки. Пруссия ; 1910 ;  ; Ag ; VF- ; 36 ; obob999 ; 612 
 2291 ; 2 марки. Германия. На смерть Пауля фон Гинденбурга ; 1934 ; D ; Ag ; VF+ ; 14 ; Xe72 ; 230 
 2292 ; 2000 динар. Иран. Отверстие 12 ч ;  ;  ; Ag ; F+ ; 17 ; VR62 ; 42 
 2293 ; 10 марок. ФРГ. Олимпиада в Мюнхене-стадион ; 1972 ; G ; Ag ; AU ; 41 ; Алек ; 459 
 2294 ; 1 доллар. Канада ; 1973 ;  ; Ag ; AU ; 20 ; Chen ; 467 
 2295 ; 1/2 доллара. США ; 1964 ;  ; Ag ; XF+ ; 19 ; Chen ; 170 
 2296 ; 1/4 доллара. США ; 1951 ;  ; Ag ; VF ; 17 ; tss ; 102 
 2297 ; 1 дайм. США ; 1935 ;  ; Ag ; VF ; 48 ; Chirchic ; 181 
 2298 ; 1 дайм. США ; 1948 ;  ; Ag ; VF+ ; 33 ; кашира ; 87 
 2299 ; 1 цент. США ; 1901 ;  ; Cu ; VF ; 50 ; Xe72 ; 235 
 2300 ; 1 цент. США ; 1903 ;  ; Cu ; VF ; 59 ; Chirchic ; 143 
 2301 ; 1 цент. США ; 1906 ;  ; Cu ; VF ; 8 ; von_Schwarz ; 55 
 1503 ; 1 рубль ; 1975 ; 30 лет Победы в войне 1941-194 ; Cu-Ni ; VF-XF ; 8 ; Hant  ; 22 
 1504 ; 1 рубль ; 1978 ; Олимпиада 80.Московский Кремль ; Cu-Ni ; XF+ ; 44 ; Hant  ; 46 
 1505 ; 1 рубль ; 1981 ; Дружба на веки  ; Cu-Ni ; AU ; 53 ; Grod ; 157 
 1506 ; 1 рубль ; 1987 ; 175 лет Бородино (барельеф)  ; Cu-Ni ; XF+ ; 26 ; tuz ; 72 
 1507 ; 1 рубль ; 1982 ; 60 лет образования СССР  ; Cu-Ni ; XF+ ; 27 ; shmatko24 ; 62 
 1508 ; 5 рублей ; 1989 ; Ансамбль Регистан в Самарканде ; Cu-Ni ; AU ; 23 ; tavitrof ; 84 
 1509 ; 5 рублей ; 1991 ; Памятник Давиду Сасунскому в Е ; Cu-Ni ; AU ; 5 ; tuz ; 47 
 1510 ; 3 рубля ; 1987 ; 70 лет Октябрьской революции  ; Cu-Ni ; AU ; 14 ; limon1976 ; 41 
 1511 ; "Набор монет СССР ""50 лет советской власти"" (6шт): 1р, 50к, 20к, 15к, 10к+Жетон. Упаковка" ; 1967 ;  ; Cu-Ni ; Unc ; 70 ; tong ; 696 
 1512 ; Лот монет СССР (20 шт): 20, 15, 10 коп ; 1923-1935 ;  ; Ag, Ni ; VF-/XF- ; 75 ; ank123 ; 939 
 1513 ; Лот монет СССР: 50 копеек (42шт) ; 1964-1991гг ;  ; Cu/Ni ; VF+/XF+ ; 45 ; sts ; 716 
 1514 ; Лот монет СССР (36 шт): 20, 15, 10 коп. Разных годов ;  ;  ; Ni ; F/VF- ; 54 ; акча ; 302 
 1515 ; Лот монет СССР: 15,10 копеек (286шт) ; 1961-1991 ;  ; Cu-Ni ; VF-/AU ; 58 ; sts ; 214 
 1516 ; Лот монет СССР: 10,15,20 коп. (129шт) ; 1961-1991гг ;  ; Cu/Ni ; VF+/XF+ ; 5 ; and000 ; 134 
 1517 ; Лот монет СССР: 5 коп. (156шт) ; 1961-1991гг ;  ; Cu/Zn ; VF+/XF+ ; 8 ; sts ; 349 
 1518 ; Лот монет СССР: 5 копеек (52шт) ; 1961-1991гг ;  ; Cu/Zn ; VF+/AU ; 41 ; surf2k5 ; 216 
 1519 ; Лот советских монет: 1,2,3 коп. (127шт) ; 1961-1991гг ;  ; Cu/Zn ; VF+/XF+ ; 39 ; alex22 ; 305 
 1520 ; Лот монет СССР (44 шт): 3 коп. Разных годов ;  ;  ; Br ; F/VF+ ; 65 ; Amber ; 344 
 1521 ; Лот монет СССР (29 шт): 2 коп. Разных годов ;  ;  ; Br ; F/VF+ ; 48 ; alex22 ; 503 
 1522 ; Лот монет СССР (12 шт): 2 коп ; 1956-1975 ;  ; Cu/Zn ; VF/XF ; 14 ; piter_k ; 59 
 2222 ; Луидор. Франция. Людовик XIV ; 170? ; С ; Au ; VF+ ; 54 ; юров ; 29413 
 2223 ; 20 франков. Франция ; 1811 ; А ; Au ; VF+ ; 36 ; luda ; 5972 
 2224 ; 20 марок. Пруссия ; 1888 ; А ; Au ; XF+ ; 21 ; Lеnin ; 6604 
 2225 ; 20 марок. Пруссия ; 1889 ; А ; Au ; XF+ ; 25 ; Nabokoff ; 7429 
 2226 ; 10 марок. Пруссия ; 1903 ; А ; Au ; XF+ ; 68 ; ~~~~~~~~ ; 3468 
 2227 ; 1 соверен. Великобритания ; 1895 ;  ; Au ; AU ; 42 ; кашира ; 8120 
 2228 ; 1 соверен. Великобритания ; 1910 ;  ; Au ; XF+/AU ; 65 ; Gop ; 9894 
 2229 ; 1/2 соверен. Великобритания ; 1913 ;  ; Au ; AU ; 49 ; сытый ; 4020 
 2230 ; 20 крон. Дания ; 1873 ;  ; Au ; AU ; 47 ; fatima ; 9690 
 2231 ; 10 франков. Франция ; 1855 ; А ; Au ; VF ; 33 ; nikolay ; 2973 
 2232 ; 10 франков. Франция ; 1859 ; А ; Au ; VF- ; 86 ; nikolay ; 3027 
 2233 ; 10 франков. Франция ; 1857 ; А ; Au ; VF- ; 49 ; slav_1962 ; 2856 
 2234 ; 20 франков. Швейцария ; 1908 ; В ; Au ; AU ; 40 ; кашира ; 7739 
 2235 ; 50 долларов. Канада. Елизаветта II ; 1982 ;  ; Au ; AU ; 50 ; кашира ; 24240 
 2236 ; 20 крон. Дания ; 1915 ;  ; Au ; AU ; 31 ; ЕВС ; 7623 
 2237 ; 20 крон. Дания ; 1908 ;  ; Au ; AU ; 24 ; ЕВС ; 7730 
 2238 ; 10 крон. Дания ; 1913 ;  ; Au ; AU ; 31 ; Alexdav ; 5100 
 2239 ; 10 крон. Дания ; 1908 ;  ; Au ; AU ; 24 ; fatima ; 5012 
 2240 ; 10 крон. Дания ; 1877 ;  ; Au ; XF ; 25 ; fatima ; 5506 
 2241 ; 10 крон. Венгрия ; 1907 ;  ; Au ; VF+ ; 12 ; nikolay ; 2812 
 2242 ; 100 долларов. Канада. Елизаветта II. Олимпиада в Калгари. С сертификатом подлинности, в коробке ; 1987 ;  ; Au ; proof ; 27 ; кашира ; 7664 
 2243 ; 10 крейцеров. Зальцбург ; 1754 ;  ; Ag ; XF+ ; 38 ; Sky2 ; 1754 
 2244 ; Талер. Пруссия. Победа над Францией ; 1871 ; А ; Ag ; XF- ; 25 ; tuz ; 1522 
 2245 ; 1 талер. Саксония. Смерть короля Антона ; 1836 ; G ; Ag ; XF- ; 43 ; QSL ; 3064 
 2246 ; 1 талер. Пруссия ; 1819 ; А ; Ag ; VF-XF ; 77 ; ВЯЗ ; 2115 
 2247 ; Талер на смерть саксонского короля. Фридрих Август I (1806-1827гг). Саксония ; 1827 ;  ; Ag ; XF+ ; 124 ; молот ; 4767 
 2248 ; 3 марки. Веймар. 10 лет конституции Веймара ; 1929 ; G ; Ag ; XF ; 11 ; Lеnin ; 1473 
 2249 ; Талер. Австрия. Новодел ;  ;  ; Ag ; AU ; 17 ; Гурий ; 435 
 2250 ; Талер. Австрия. Новодел ; 1780 ;  ; Ag ; AU ; 22 ; Гурий ; 510 
 2251 ; 3 марки. Веймар. Свобода Рейнланда ; 1930 ; D ; Ag ; AU ; 14 ; QSL ; 2052 
 1453 ; 5 копеек ; 1938 ;  ; Br ; VF+ ; 47 ; focus-nik2006 ; 285 
 1454 ; 5 копеек ; 1940 ;  ; Br ; VF- ; 33 ; serg007 ; 38 
 1455 ; 5 копеек ; 1940 ;  ; Br ; VF- ; 35 ; Poiuyt ; 42 
 1456 ; 5 копеек ; 1940 ;  ; Br ; VF- ; 47 ; focus-nik2006 ; 48 
 1457 ; 5 копеек ; 1941 ;  ; Br ; VF+ ; 19 ; alex22 ; 469 
 1458 ; 5 копеек ; 1943 ;  ; Br ; VF ; 38 ; Lotus 99 ; 72 
 1459 ; 5 копеек ; 1943 ;  ; Br ; F-VF ; 6 ; Poiuyt ; 31 
 1460 ; 5 копеек ; 1943 ;  ; Br ; VF- ; 7 ; vjacha ; 33 
 1461 ; 5 копеек ; 1946 ;  ; Br ; F+ ; 2 ; alex995 ; 11 
 1462 ; 5 копеек ; 1946 ;  ; Br ; VF- ; 2 ; Poiuyt ; 22 
 1463 ; 5 копеек ; 1946 ;  ; Br ; VF ; 10 ; turkmen ; 18 
 1464 ; 5 копеек ; 1946 ;  ; Br ; VF- ; 1 ; alex995 ; 2 
 1465 ; 5 копеек ; 1948 ;  ; Br ; F+ ; 44 ; sts ; 51 
 1466 ; 5 копеек ; 1949 ;  ; Br ; VF- ; 38 ; serg007 ; 74 
 1467 ; 5 копеек ; 1949 ;  ; Br ; VF- ; 7 ; SadKo ; 12 
 1468 ; 5 копеек ; 1949 ;  ; Br ; F-VF ; 8 ; Poiuyt ; 16 
 1469 ; 5 копеек ; 1950 ;  ; Br ; F+ ; 40 ; serg007 ; 123 
 1470 ; 5 копеек ; 1952 ;  ; Br ; F-VF ; 2 ; serg007 ; 82 
 1471 ; 5 копеек ; 1953 ;  ; Br ; VF+ ; 37 ; serg007 ; 64 
 1472 ; 5 копеек ; 1953 ;  ; Br ; VF+ ; 14 ; limon1976 ; 28 
 1473 ; 5 копеек ; 1953 ;  ; Br ; VF- ; 13 ; vjacha ; 17 
 1474 ; 5 копеек ; 1954 ;  ; Br ; XF ; 44 ; shknikolay ; 209 
 1475 ; 5 копеек ; 1954 ;  ; Br ; F+ ; 2 ; alex995 ; 6 
 1476 ; 5 копеек ; 1955 ;  ; Br ; F+ ; 10 ; alex995 ; 11 
 1477 ; 5 копеек ; 1955 ;  ; Br ; F+ ; 7 ; obob999 ; 7 
 1478 ; 5 копеек ; 1955 ;  ; Br ; F-VF ; 6 ; obob999 ; 7 
 1479 ; 5 копеек ; 1955 ;  ; Br ; F-VF ; 3 ; aleksius ; 7 
 1480 ; 5 копеек ; 1955 ;  ; Br ; F-VF ; 2 ; alex995 ; 6 
 1481 ; 5 копеек ; 1957 ; в венке герба 15 лент  ; Br ; VF- ; 2 ; alex995 ; 3 
 1482 ; 5 копеек ; 1957 ; в венке герба 15 лент  ; Br ; VF-XF ; 62 ; limon1976 ; 92 
 1483 ; 5 копеек ; 1967 ;  ; Cu-Zn ; VF+ ; 29 ; 61К ; 267 
 1484 ; 5 копеек ; 1969 ;  ; Cu-Zn ; VF- ; 88 ; dragonfly ; 682 
 1485 ; 5 копеек ; 1972 ;  ; Cu-Zn ; VF ; 123 ; акча ; 1195 
 1486 ; 5 копеек ; 1972 ;  ; Cu-Zn ; VF- ; 22 ; alex22 ; 487 
 1487 ; 5 копеек ; 1973 ;  ; Cu-Zn ; VF ; 8 ; kuril ; 369 
 1488 ; 3 копейки ; 1939 ;  ; Br ; VF+ ; 24 ; serg007 ; 32 
 1489 ; 2 копейки ; 1950 ;  ; Br ; XF- ; 4 ; piter_k ; 102 
 1490 ; 1 копейка ; 1940 ;  ; Br ; XF+ ; 49 ; alex22 ; 213 
 1491 ; 1 копейка ; 1963 ;  ; Cu-Zn ; VF+ ; 15 ; weter41 ; 67 
 1492 ; 5 рублей ; 1990 ; Большой дворец в Петродворце  ; Cu-Ni ; AU ; 32 ; Hant  ; 155 
 1493 ; 5 рублей ; 1988 ; Памятник Петру I в Ленинграде  ; Cu-Ni ; AU ; 36 ; Hant  ; 111 
 1494 ; 3 рубля ; 1989 ; Землятресение в Армении  ; Cu-Ni ; AU ; 31 ; Hant  ; 54 
 1495 ; 1 рубль ; 1986 ; Международный год мира.В рубле ; Cu-Ni ; AU ; 46 ; Chen ; 510 
 1496 ; 1 рубль ; 1990 ; 500 лет со дня рождения Ф.Скор ; Cu-Ni ; AU ; 51 ; Hant  ; 71 
 1497 ; 1 рубль ; 1990 ; 125 лет со дня рождения Я.Райн ; Cu-Ni ; AU ; 20 ; Hant  ; 46 
 1498 ; 1 рубль ; 1977 ; 60 лет Советской власти  ; Cu-Ni ; VF-XF ; 20 ; Hant  ; 41 
 1499 ; 1 рубль ; 1989 ; 175 лет со дня рождения М.Ю.Ле ; Cu-Ni ; XF ; 14 ; Hant  ; 102 
 1500 ; 1 рубль ; 1991 ; 850 лет со дня рождения Низами ; Cu-Ni ; AU ; 16 ; Hant  ; 54 
 1501 ; 1 рубль ; 1989 ; 175 лет со дня рождения Т.Г.Ше ; Cu-Ni ; AU ; 48 ; HighFlyer ; 102 
 1502 ; 1 рубль ; 1990 ; 130 лет со дня рождения А.П.Че ; Cu-Ni ; AU ; 34 ; Hant  ; 102 
 1403 ; 3 копейки ; 1924 ; Гурт гладкий  ; Cu ; F-VF ; 23 ; lelik ; 49 
 1404 ; 2 копейки ; 1924 ; Гурт рубчатый  ; Cu ; F-VF ; 17 ; lelik ; 34 
 1405 ; 2 копейки ; 1924 ; Гурт рубчатый  ; Cu ; VF+ ; 51 ; PolAn ; 450 
 1406 ; 2 копейки ; 1924 ; Гурт рубчатый  ; Cu ; F-VF ; 19 ; alex995 ; 25 
 1407 ; 1 копейка ; 1924 ; Гурт рубчатый  ; Cu ; F-VF ; 34 ; ton2519 ; 68 
 1408 ; 1 копейка ; 1924 ; Гурт рубчатый  ; Cu ; VF- ; 34 ; ton2519 ; 123 
 1409 ; 1 копейка ; 1925 ; Гурт рубчатый  ; Cu ; F-VF ; 64 ; baikal.k ; 5414 
 1410 ; Полкопейки ; 1925 ;  ; Cu ; F-VF ; 15 ; tss ; 287 
 1411 ; Полкопейки ; 1925 ;  ; Cu ; F-VF ; 73 ; serg007 ; 234 
 1412 ; 50 копеек ; 1991 ; Л   ; Cu-Ni ; AU ; 92 ; Рэп-6 ; 152 
 1413 ; 1 рубль ; 1991 ; Олимпиада в Барселоне.Велосипе ; Cu-Ni ; Proof ; 39 ; kamensk61 ; 1428 
 1414 ; 20 рублей. 300-летие Российского флота - научно-исследовательское судно. ЛМД ; 1996 ;  ; Cu-Ni ; AU ; 33 ; alisa ; 742 
 1415 ; 1 рубль ; 1965 ;  ; Cu-Ni ; VF+ ; 4 ; alex22 ; 51 
 1416 ; 1 рубль ; 1965 ;  ; Cu-Ni ; VF- ; 8 ; ton2519 ; 16 
 1417 ; 1 рубль ; 1976 ;  ; Cu-Ni ; AU ; 36 ; uin1972 ; 226 
 1418 ; 50 копеек ; 1970 ;  ; Cu-Ni ; VF ; 28 ; акча ; 2385 
 1419 ; 50 копеек ; 1971 ;  ; Cu-Ni ; VF ; 32 ; акча ; 2190 
 1420 ; 20 копеек ; 1937 ; л/с звезда плоская  ; Ni ; VF-XF ; 19 ; o.k. ; 119 
 1421 ; 20 копеек. Упаковка ; 1968 ;  ; Cu-Ni ; Unc ; 31 ; kuril ; 517 
 1422 ; 15 копеек ; 1938 ;  ; Ni ; VF ; 41 ; sity007 ; 155 
 1423 ; 15 копеек ; 1946 ;  ; Ni ; VF+ ; 4 ; tirex ; 38 
 1424 ; 15 копеек. Упаковка ; 1971 ;  ; Cu-Ni ; Unc ; 19 ; Алек ; 3060 
 1425 ; 10 копеек ; 1938 ;  ; Ni ; VF+ ; 43 ; solder13 ; 255 
 1426 ; 10 копеек ; 1941 ;  ; Ni ; VF-XF ; 15 ; 61К ; 291 
 1427 ; 10 копеек ; 1969 ;  ; Cu-Ni ; VF+ ; 2 ; weter41 ; 100 
 1428 ; 10 копеек ; 1991 ; без буквы  ; Cu-Ni ; XF+ ; 48 ; Gop ; 1171 
 1429 ; 5 копеек ; 1926 ;  ; Br ; VF- ; 23 ; sity007 ; 298 
 1430 ; 5 копеек ; 1926 ;  ; Br ; F-VF ; 4 ; alex22 ; 261 
 1431 ; 5 копеек ; 1928 ;  ; Br ; VF ; 82 ; Coins911 ; 93 
 1432 ; 5 копеек ; 1928 ;  ; Br ; VF ; 69 ; serg007 ; 116 
