 4327 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 51 ; bob_tauranga ; 59 
 3093 ; 2 евроцента. Образец. Андора ; 2003 ;  ; Cu ; AU ; 8 ; musik ; 160 
 3094 ; 1 евроцент. Образец. Андора ; 2003 ;  ; Cu ; AU ; 15 ; musik ; 165 
 3095 ; 10 пфеннигов. Германия ; 1896F ;  ; Cu/Ni ; VF ; 24 ; Vasya ; 25 
 2996 ; 2 кроны. Швеция ; 1950 ;  ; Ag ; AU ; 107 ; Mike! ; 226 
 2997 ; 2 кроны. Швеция ; 1959 ;  ; Ag ; AU ; 72 ; tss ; 228 
 2998 ; 2 кроны. Швеция ; 1961 ;  ; Ag ; AU ; 62 ; саров ; 156 
 2999 ; 10 злотых. Польша ; 1932 ;  ; Ag ; VF-XF ; 85 ; fillin ; 579 
 3000 ; 10 злотых. Польша ; 1935 ;  ; Ag ; VF ; 62 ; fillin ; 708 
 3001 ; 5 злотых. Польша ; 1933 ;  ; Ag ; VF-XF ; 74 ; нэри ; 249 
 3002 ; 2 злотых. Польша ; 1934 ;  ; Ag ; VF+ ; 107 ; Serg78 ; 344 
 3003 ; 2 1/2 гульдена. Нидерланды ; 1964 ;  ; Ag ; XF ; 50 ; bv812 ; 306 
 3004 ; 1/2 доллара. США ; 1968 ;  ; Ag ; AU ; 27 ; lesnik1 ; 279 
 3005 ; 1 флорин. Великобритания ; 1929 ;  ; Ag ; VF+ ; 32 ; Сакович ; 417 
 3006 ; 20 драхм. Греция ; 1960 ;  ; Ag ; VF ; 11 ; pref ; 102 
 3007 ; 5 франков. Франция ; 1965 ;  ; Ag ; XF+ ; 122 ; bv812 ; 357 
 3008 ; 2 кроны. Швеция ; 1957 ;  ; Ag ; AU ; 47 ; Dbrnjh ; 283 
 3009 ; 100 форинтов. Венгрия. 1-ый совместный Советско-Венгерский космический полет ; 1980 ;  ; Ni ; XF ; 23 ; lsp25 ; 314 
 3010 ; 5 форинтов. Венгрия. 100 лет революции Петефи 1884г ; 1948 ;  ; Ag ; XF ; 38 ; lsp25 ; 544 
 3011 ; 5 форинтов. Венгрия. Кошут ; 1947 ;  ; Ag ; VF-XF ; 31 ; Юбер ; 171 
 3012 ; 2 фунта. Великобритания, Елизавета II. Игры в Шотландии ; 1986 ;  ; Al/Br ; AU ; 25 ; тс219 ; 147 
 3013 ; 2 фунта. Великобритания, Елизавета II. 1945-1995 ; 1995 ;  ; Al/Br ; AU ; 40 ; Krechet ; 213 
 3014 ; 2 фунта. Великобритания, Елизавета II. 10-ый европейский чемпионат по футболу ; 1996 ;  ; Al/Br ; AU ; 111 ; dsp ; 326 
 3015 ; 2 фунта. Великобритания, Елизавета II. 1945-2005 ; 2005 ;  ; Би/м ; XF- ; 104 ; Рыба ; 388 
 3016 ; 2 фунта. Великобритания, Елизавета II. Брунель ; 2006 ;  ; Би/м ; AU ; 94 ; vc57 ; 192 
 3017 ; 2 фунта. Великобритания, Елизавета II. 1807г ; 2007 ;  ; Би/м ; XF+ ; 123 ; Рыба ; 343 
 3018 ; 1 фунт. Великобритания, Елизавета II ; 1983 ;  ; Al/Br ; VF- ; 14 ; USS ; 57 
 3019 ; 1 фунт. Великобритания, Елизавета II ; 1984 ;  ; Al/Br ; F-VF ; 11 ; asparagus ; 63 
 3020 ; 1 фунт. Великобритания, Елизавета II ; 1985 ;  ; Al/Br ; F-VF ; 4 ; USS ; 50 
 3021 ; 1 фунт. Великобритания, Елизавета II ; 1992 ;  ; Al/Br ; VF ; 24 ; Рыба ; 126 
 3022 ; 1 доллар. Канада, Елизавета II ; 1990 ;  ; Al/Br ; AU ; 64 ; vc57 ; 94 
 3023 ; 1 доллар. Канада, Елизавета II. 1909-2009 ; 2009 ;  ; Al/Br ; AU ; 39 ; vengriya ; 119 
 3024 ; 50 пенсов. Великобритания, Елизавета II ; 1979 ;  ; Cu/Ni ; VF+ ; 32 ; asparagus ; 51 
 3025 ; 50 центов. Австралия, Елизавета II ; 1976 ;  ; Cu/Ni ; VF+ ; 27 ; Юбер ; 51 
 3026 ; 50 центов. Австралия, Елизавета II, Свадьба Принца Чарля и леди Дианы ; 1981 ;  ; Cu/Ni ; AU ; 51 ; Alex75 ; 127 
 3027 ; 10 пенсов. О-в Гоф, Елизавета II. Утка ; 2009 ;  ; Cu/Ni ; AU ; 28 ; hobot ; 79 
 3028 ; 10 пенсов. Фолклендские о-ва, Елизавета II ; 1998 ;  ; Cu/Ni ; AU ; 27 ; 100924 ; 57 
 3029 ; 3 пенса. Родезия, Елизавета II ; 1968 ;  ; Cu/Ni ; XF ; 49 ; mirumir ; 120 
 3030 ; 2 цента. Британские Каррибские территории ; 1962 ;  ; Br ; XF- ; 80 ; andorf ; 177 
 3031 ; Фартинг. Великобритания, Эдвард VII ; 1909 ;  ; Br ; VF ; 34 ; Рыба ; 167 
 3032 ; 1/5 цента. Французский Индо-Китай ; 1894А ;  ; Br ; F-VF ; 54 ; М662 ; 740 
 3033 ; 50 пфеннигов. Германия ; 1950А ;  ; Al/Br ; VF+ ; 53 ; грос79 ; 55 
 3034 ; 2 толария. Словения ; 1996 ;  ; латунь ; AU ; 6 ; asparagus ; 36 
 3035 ; 2 песеты. Испания ; 1870 ;  ; Ag ; VF- ; 30 ; валери ; 242 
 3036 ; 200 форинтов. Венгрия ; 1992 ;  ; Ag ; XF- ; 119 ; 542 ; 352 
 3037 ; 200 форинтов. Венгрия ; 1994 ;  ; Ag ; XF ; 114 ; валери ; 317 
 3038 ; 5 гривен. Украина. Ткачиха ; 2010 ;  ; Cu-Ni ; Proof ; 78 ; jj ; 131 
 3039 ; 5 гривен. Украина. Спас ; 2010 ;  ; Cu-Ni ; Proof ; 74 ; дед морос ; 128 
 3040 ; 10 квача. Замбия. Для детей мира ; 2000 ;  ; Cu-Ni ; AU ; 29 ; Недорого ; 145 
 3041 ; 5 квача. Малави ; 1995 ;  ; Cu-Ni ; AU ; 24 ; vc57 ; 149 
 3042 ; 10 лир. Мальта. ; 2005 ;  ; Cu-Ni ; AU ; 35 ; alskr ; 263 
 3043 ; 1 крона. Гибралтар. 100 лет истории о полете ; 2003 ;  ; Cu-Ni ; AU ; 51 ; hobot ; 296 
 3044 ; 5 долларов. Либерия. Титаник ; 1998 ;  ; Cu-Ni ; AU ; 49 ; musik ; 227 
 3045 ; 5 долларов. Либерия. Титаник ; 2000 ;  ; Cu-Ni ; AU ; 117 ; spstudio ; 261 
 2946 ; 1 эре. Швеция ; 1893 ;  ; Br ; VF ; 14 ; MC17 ; 51 
 2947 ; 1 эре. Швеция ; 1900 ;  ; Br ; VF ; 16 ; Dbrnjh ; 77 
 2948 ; 10 эре. Швеция ; 1942 ;  ; Zn ; F-VF ; 23 ; Юбер ; 45 
 2949 ; 5 эре. Норвегия ; 1922 ;  ; Br ; VF ; 15 ; Klin ; 101 
 2950 ; 5 эре. Норвегия ; 1951 ;  ; Br ; VF ; 9 ; pref ; 22 
 2951 ; 1 дубль. Гернси ; 1885Н ;  ; Br ; AU ; 37 ; Юбер ; 142 
 2952 ; 5 центов. Нидерланды ; 1913 ;  ; Cu-Ni ; VF ; 31 ; vc57 ; 173 
 2953 ; 5 центов. Нидерланды ; 1932 ;  ; Cu-Ni ; VF ; 34 ; krugerrand ; 128 
 2954 ; 2 цента. Нидерланды ; 1870 ;  ; Br ; VF- ; 36 ; грос79 ; 94 
 2955 ; 1 цент. Нидерланды ; 1916 ;  ; Br ; VF+ ; 22 ; 161rus ; 38 
 2956 ; 1 франк. Французская Полинезия ; 1965 ;  ; Al ; AU ; 16 ; bv812 ; 49 
 2957 ; 10 эре. Дания ; 1940 ;  ; Cu-Ni ; VF ; 6 ; krugerrand ; 23 
 2958 ; 10 франков. Бельгия ; 1969 ;  ; Cu-Ni ; XF ; 43 ; bv812 ; 71 
 2959 ; 50 сентимов. Испания ; 1949 ;  ; Cu-Ni ; VF+ ; 5 ; asparagus ; 21 
 2960 ; 50 сентимов. Испания ; 1963 ;  ; Cu-Ni ; XF ; 12 ; bv812 ; 36 
 2961 ; 1 эскудо. Португалия ; 1969 ;  ; Br ; VF+ ; 8 ; Shrrv ; 24 
 2962 ; 50 сентавос. Португалия ; 1973 ;  ; Br ; VF+ ; 5 ; Shrrv ; 21 
 2963 ; 100 франков. Франция ; 1955 ;  ; Cu-Ni ; VF+ ; 6 ; Юбер ; 57 
 2964 ; 50 франков. Франция ; 1952 ;  ; Al/Br ; VF+ ; 13 ; Юбер ; 55 
 2965 ; 20 франков. Франция ; 1953B ;  ; Al/Br ; VF ; 7 ; Юбер ; 24 
 2966 ; 10 сентимес. Франция ; 1929 ;  ; Cu-Ni ; VF+ ; 10 ; Al0851 ; 45 
 2967 ; 10 сентимес. Франция ; 1937 ;  ; Cu-Ni ; VF-XF ; 9 ; Gera_K ; 31 
 2968 ; 1 франк. Франция ; 1923 ;  ; Al/Br ; VF ; 10 ; Юбер ; 31 
 2969 ; 1 эре. Швеция. Карл XV ; 1871 ;  ; Cu ; F-VF ; 33 ; Юбер ; 72 
 2970 ; 5 сентавос. Колумбия ; 1935 ;  ; Cu-Ni ; F-VF ; 24 ; vc57 ; 57 
 2971 ; 10 крон. Норвегия ; 1986 ;  ; Cu-Zn-Ni ; XF ; 74 ; Рыба ; 98 
 2972 ; 5 эре . Дания ; 1943 ;  ; Zn ; VF ; 11 ; Юбер ; 84 
 2973 ; 10 пфеннигов. Веймар ; 1923А ;  ; Al/Br ; VF- ; 63 ; Vasya ; 75 
 2974 ; 20 песо. Колумбия ; 1994 ;  ; Al/Br ; XF- ; 10 ; vc57 ; 57 
 2975 ; 20 сентавос. Эквадор ; 1981 ;  ; Cu-Ni ; XF+ ; 12 ; alskr ; 28 
 2976 ; 5 сентавос. Колумбия ; 1958 ;  ; Br ; VF ; 9 ; Юбер ; 48 
 2977 ; 10 центов. Барбадос ; 1973 ;  ; Cu-Ni ; XF ; 8 ; Юбер ; 31 
 2978 ; 50 сентавос. Португалия ; 1965 ;  ; Cu-Ni ; VF+ ; 5 ; Юбер ; 33 
 2979 ; 5 сентимес. Гаити ; 1997 ;  ; Cu/St ; XF+ ; 8 ; alskr ; 26 
 2980 ; 2 геллера. Австрия ; 1910 ;  ; Br ; VF+ ; 19 ; Юбер ; 43 
 2981 ; 2 геллера. Австрия ; 1914 ;  ; Br ; VF+ ; 21 ; Юбер ; 48 
 2982 ; 2 филлера. Венгрия ; 1907 ;  ; Br ; F-VF ; 6 ; Leon17 ; 21 
 2983 ; 3 лей. Румыния ; 1966 ;  ; Cu-Ni ; VF ; 4 ; Shrrv ; 21 
 2984 ; 10 франков. Французская Западная Африка ; 1956 ;  ; Al/Br ; VF-XF ; 81 ; Galancer ; 113 
 2985 ; 3 пенса. Южная Африка ; 1956 ;  ; Ag ; AU ; 43 ; maremark ; 293 
 2986 ; 3 пенса. Южная Африка ; 1956 ;  ; Ag ; VF-XF ; 32 ; Galancer ; 88 
 2987 ; 5 шиллингов. Великобритания. Фестиваль ; 1951 ;  ; Cu/Ni ; AU ; 40 ; vc57 ; 375 
 2988 ; 10 крон. Норвегия. 150 лет Конституции ; 1964 ;  ; Ag ; AU ; 141 ; maremark ; 495 
 2989 ; 2 кроны. Эстония. Крепость Томпеа ; 1930 ;  ; Ag ; VF+ ; 143 ; нэри ; 396 
 2990 ; 5 квача. Малави ; 2006 ;  ; Ag ; Proof ; 15 ; Иа-Иа ; 722 
 2991 ; 5 квача. Малави ; 2006 ;  ; Ag ; Proof ; 13 ; Иа-Иа ; 722 
 2992 ; 2 кроны. Швеция ; 1913 ;  ; Ag ; VF ; 71 ; Mike! ; 344 
 2993 ; 2 кроны. Швеция ; 1936 ;  ; Ag ; AU ; 11 ; AnvlaSar6216 ; 500 
 2994 ; 2 кроны. Швеция ; 1944 ;  ; Ag ; AU ; 120 ; Vasya ; 344 
 2995 ; 2 кроны. Швеция ; 1947 ;  ; Ag ; AU ; 131 ; нэри ; 340 
 2896 ; 1 назарана рупия. Индия. Штат Джампур, Георг VI ; 1939 ;  ; Ag ; AU ; 51 ; чуток накину ; 1620 
 2897 ; 1000 добра. Сан-Томе и Принсипи. Миллениум ; 1999 ;  ; Ag ; AU ; 30 ; SOS ; 714 
 2898 ; 20 пфеннигов. Саксония ; 1921 ;  ; Керамика ; XF+ ; 48 ; zuza ; 431 
 2899 ; 1 лат. Латвия ; 1924 ;  ; Ag ; F-VF ; 52 ; нэри ; 132 
 2900 ; 1 флорин. Великобритания ; 1928 ;  ; Ag ; F-VF ; 62 ; Сакович ; 206 
 2901 ; 10 чентезими. Италия ; 1866Н ;  ; Cu ; F-VF ; 19 ; MC17 ; 65 
 2902 ; 100 шиллингов. Австрия.  XII зимняя олимпиада в Инсбруке. Прыжки с трамплина ; 1974 ;  ; Ag ; AU ; 63 ; Mike! ; 700 
 2903 ; 100 шиллингов. Австрия. XII зимняя олимпиада в Инсбруке. Эмблема ; 1974 ;  ; Ag ; AU ; 78 ; 1ИЛЬЯ ; 539 
 2904 ; 100 шиллингов. Австрия. XII зимняя олимпиада в Инсбруке ; 1976 ;  ; Ag ; AU ; 74 ; 1ИЛЬЯ ; 633 
 2905 ; 100 шиллингов. Австрия. 1000 лет округу Каринтия ; 1976 ;  ; Ag ; AU ; 130 ; Mike! ; 705 
 2906 ; 100 шиллингов. Австрия. 175 лет со дня рождения Иоганна Нестроя ; 1976 ;  ; Ag ; AU ; 68 ; 1ИЛЬЯ ; 691 
 2907 ; 100 шиллингов. Австрия. 1100 лет со дня основания г. Виллах ; 1978 ;  ; Ag ; AU ; 62 ; 1ИЛЬЯ ; 704 
 2908 ; 50 шиллингов. Австрия. 150 лет национальному банку ; 1966 ;  ; Ag ; AU ; 75 ; 1ИЛЬЯ ; 619 
 2909 ; 50 шиллингов. Австрия. 100 лет Вальсу "Дунайские волны" ; 1967 ;  ; Ag ; AU ; 91 ; 1ИЛЬЯ ; 614 
 2910 ; 50 шиллингов. Австрия. Международная выставка садоводства ; 1974 ;  ; Ag ; AU ; 67 ; 1ИЛЬЯ ; 579 
 2911 ; 1 доллар. Канада ; 1963 ;  ; Ag ; XF ; 18 ; 1ИЛЬЯ ; 531 
 2912 ; 1 доллар. Канада ; 1965 ;  ; Ag ; XF ; 22 ; 1ИЛЬЯ ; 638 
 2913 ; 25 экю. Нидерланды. Франклин Рузвельт ; 1994 ;  ; Ag ; AU ; 25 ; 1ИЛЬЯ ; 878 
 2914 ; 1 доллар. США ; 1971 ;  ; Ag ; AU ; 56 ; CHARLI ; 969 
 2915 ; 1 крона. Бермуды ; 1964 ;  ; Ag ; AU ; 43 ; 1ИЛЬЯ ; 675 
 2916 ; 1000 эскудо. Португалия. Год выставки международные океаны ; 1998 ;  ; Ag ; AU ; 24 ; 1ИЛЬЯ ; 867 
 2917 ; 200 крон. Словакия. 100 лет олимпийскому коммитету ; 1994 ;  ; Ag ; AU ; 11 ; 1ИЛЬЯ ; 567 
 2918 ; 5 экю. Бельгия. 30 лет соглашению с Римом. Карл V ; 1987 ;  ; Ag ; AU ; 8 ; 1ИЛЬЯ ; 500 
 2919 ; 40 пара. Турция ; 1839(1255л.х.) ;  ; Cu ; F-VF ; 27 ; MC17 ; 105 
 2920 ; 1 цент. Либерия ; 1847 ;  ; Cu ; F+ ; 67 ; ead ; 765 
 2921 ; 5 сантимов. Франция ; 1854 ;  ; Cu ; VF ; 39 ; Tche ; 224 
 2922 ; 1 доллар. Австралия. Открытие Австралии ; 2006 ;  ; Ag ; Proof ; 87 ; ЕВС ; 1530 
 2923 ; 1 доллар. Австралия. Год тигра ; 2007 ;  ; Ag ; AU ; 28 ; генадич ; 1581 
 2924 ; 2 доллара. Острова Кука. Мотоцикл ; 2007 ;  ; Ag ; AU ; 31 ; ЕВС ; 1326 
 2925 ; 1/4 доллара. США ; 1902 ;  ; Ag ; F-VF ; 15 ; Моряк-собиратель ; 510 
 2926 ; 5 эскудо. Португальский Сан Том и Принсипе ; 1962 ;  ; Ag ; VF+ ; 43 ; ADD ; 260 
 2927 ; 500 лир. Сан Марино ; 1973 ;  ; Ag ; AU ; 13 ; shais1 ; 510 
 2928 ; 500 лир. Сан Марино ; 1974 ;  ; Ag ; AU ; 148 ; 199z ; 510 
 2929 ; 500 лир. Ватикан ; 1970 ;  ; Ag ; AU ; 20 ; alskr ; 453 
 2930 ; 50 эре. Швеция ; 1956TS ;  ; Ag ; VF-XF ; 45 ; саров ; 92 
 2931 ; 1 крона. Швеция ; 1943G ;  ; Ag ; VF+ ; 64 ; саров ; 102 
 2932 ; 1 крона. Швеция ; 1966U ;  ; Ag ; XF- ; 73 ; саров ; 105 
 2933 ; 10 эре. Швеция ; 1936G ;  ; Ag ; VF+ ; 43 ; нэри ; 76 
 2934 ; 10 эре. Швеция ; 1942G ;  ; Ag ; VF+ ; 50 ; нэри ; 92 
 2935 ; 25 сентимов. Коста Рика ; 1924 ;  ; Ag ; VF ; 31 ; vc57 ; 204 
 2936 ; 1/2 цента. Нидерланды ; 1863 ;  ; Cu ; VF ; 40 ; бормоглот ; 204 
 2937 ; 1 крейцер. Австрия ; 1816А ;  ; Cu ; F-VF ; 18 ; грос79 ; 77 
 2938 ; 2 фунта. Великобритания ; 1997 ;  ; Би/м ; XF ; 22 ; krugerrand ; 269 
 2939 ; 10 сентесимов. Италия ; 1866N ;  ; Cu ; F-VF ; 8 ; MC17 ; 53 
 2940 ; 1 цент. США ; 1893 ;  ; Cu ; F-VF ; 19 ; Сакович ; 202 
 2941 ; 5 эре. Норвегия ; 1902 ;  ; Br ; VF- ; 91 ; Рыба ; 507 
 2942 ; 5 эре. Швеция ; 1895 ;  ; Br ; VF ; 15 ; MC17 ; 102 
 2943 ; 5 эре. Швеция ; 1896 ;  ; Br ; VF ; 18 ; Klin ; 108 
 2944 ; 5 эре. Швеция ; 1899 ;  ; Br ; VF ; 6 ; MC17 ; 55 
 2945 ; 1 эре. Швеция ; 1889 ;  ; Br ; VF ; 11 ; Klin ; 51 
 1780 ; Лот монет СССР (6шт): 20 копеек ; 1981-1991 ;  ; Cu/Ni ; AU ; 10 ; Gera_K ; 11 
 1781 ; Лот монет СССР (7шт): 3 копейки ; 1946-1957 ;  ; Br ; F-VF/VF- ; 11 ; miha ; 125 
 1782 ; Лот монет СССР (7шт): 3 копейки ; 1957 ;  ; Br ; F+/F-VF ; 10 ; foxraptor ; 10 
 1783 ; Лот монет СССР (4шт): 15 копеек ; 1978,1987,1990,1991 ;  ; Cu/Ni ; AU ; 7 ; Pantera ; 8 
 1784 ; Лот монет СССР (2шт): 50 копеек ; 1980,1981 ;  ; Cu/Ni ; VF+/VF ; 19 ; пенсионер ; 40 
 1785 ; Лот монет Банка России (6шт): 50р,20р,10р,1р ; 1991,1992,1993 ;  ; Cu/Ni,Cu/Zn ; AU ; 12 ; TECHNO ; 102 
 1786 ; Лот монет Банка России (5шт): 10р,5р,1р,50к,10к ; 1991 ;  ; Би/м,Cu/Ni,St ; XF-/XF ; 34 ; samurai 969 ; 55 
 1787 ; Лот монет Банка России (6шт): 100р,50р,20р,10р,5р,1р ; 1992 ;  ; Би/м,Cu/Ni,Fe/B ; XF-/XF+ ; 39 ; Pantera ; 64 
 1788 ; Лот монет Банка России (10шт): 100р,50р,20р,10р ; 1993 ;  ; Cu/Ni,Cu/Zn ; XF-/XF ; 70 ; intrest ; 125 
 2855 ; 20 франков. Франция. М-6,42гр ; 1859 ;  ; Au ; XF ; 90 ; Vaneev ; 11264 
 2856 ; 20 франков. Франция. М-6,45гр ; 1875А ;  ; Au ; AU ; 28 ; Печенег ; 11793 
 2857 ; 20 франков. Франция. М-6,45гр ; 1909 ;  ; Au ; AU ; 96 ; Vaneev ; 11219 
 2858 ; 20 франков. Франция. М-6,45гр ; 1912 ;  ; Au ; AU ; 38 ; N66 ; 11424 
 2859 ; 10 франков. Швейцария. М-3,23гр ; 1922В ;  ; Au ; AU ; 37 ; kirkar ; 6630 
 2860 ; 10 песо. Мексика. М-1,56гр ; 1945 ;  ; Au ; XF ; 117 ; Sky2 ; 3121 
 2861 ; 100 долларов. Канада.Первые автомобили. М-13,34гр ; 1993 ;  ; Au ; Proof ; 51 ; visa ; 18360 
 2862 ; 100 долларов. Канада. Арктическая экспедиция. М-13,34гр ; 2000 ;  ; Au ; Proof ; 17 ; shais1 ; 19380 
 2863 ; 1/3 талера. Брауншвейг-Вольфенбюттель. М-6,94гр ; 1764IDB ;  ; Ag ; VF- ; 34 ; volod ; 1323 
 2864 ; 5 марок. Пруссия ; 1900А ;  ; Ag ; VF- ; 37 ; GLLS ; 1040 
 2865 ; 5 марок. Германия. Церковь в Потсдаме ; 1935D ;  ; Ag ; VF ; 26 ; валери ; 489 
 2866 ; 5 марок. Германия. Пауль фон Гинденбург ; 1936J ;  ; Ag ; VF ; 27 ; валери ; 497 
 2867 ; 3 марки. Пруссия. 25 лет правления ; 1913А ;  ; Ag ; F-VF ; 29 ; Опятор ; 585 
 2868 ; 1/2 марки. Германия ; 1906J ;  ; Ag ; VF- ; 60 ; asparagus ; 69 
 2869 ; 1/2 марки. Германия ; 1913D ;  ; Ag ; XF- ; 84 ; 199z ; 340 
 2870 ; 20 крейцеров, Зальцбург ; 1794 ;  ; Ag ; VF ; 75 ; бормоглот ; 1106 
 2871 ; 16 грошей. Ганновер ; 1830М ;  ; Ag ; VF-XF ; 89 ; бормоглот ; 1964 
 2872 ; 1 грош. Пруссия ; 1867А ;  ; Ag ; VF+ ; 59 ; volod ; 273 
 2873 ; 1000 франков (3 унции серебра). Руанда. Козерог. М-94,13гр ; 2009 ;  ; Ag ; AU ; 35 ; shais1 ; 5634 
 2874 ; 1 доллар. Ниуэ. Сочи-Морской порт. В подарочной коробке, с сертификатом ; 2008 ;  ; Ag ; Unc ; 55 ; shais1 ; 2999 
 2875 ; 1 доллар. Новая Зеландия. Добыча золота. В коробке ; 2006 ;  ; Ag ; Proof ; 26 ; vlas ; 1591 
 2876 ; 1 доллар. Канада. Калгари. В коробке ; 1975 ;  ; Ag ; AU ; 16 ; 1ИЛЬЯ ; 758 
 2877 ; 5 долларов. Канада. Ветераны II МВ. В коробке ; 2005 ;  ; Ag ; AU ; 35 ; 1ИЛЬЯ ; 1592 
 2878 ; 5 лат. Латвия ; 1929 ;  ; Ag ; XF ; 184 ; нэри ; 1008 
 2879 ; 5 лат. Латвия ; 1931 ;  ; Ag ; AU ; 51 ; SergeyAnatoljevich ; 1113 
 2880 ; 1/2 доллара. США. Выставка Колумба в Чикаго ; 1892 ;  ; Ag ; XF+ ; 86 ; Gell13 ; 2040 
 2881 ; 10 долларов. Самоа и Сисифо. Олимпийские игры 1992г. Метание молота ; 1992 ;  ; Ag ; Proof ; 51 ; SOS ; 858 
 2882 ; 1/2 доллара. США. Чемпионат мира по футболу ; 1994 ;  ; Cu/Ni ; AU ; 16 ; sveta6369 ; 324 
 2883 ; 1/2 доллара. США. Бейсбол ; 1995 ;  ; Cu/Ni ; AU ; 24 ; dbnfvby ; 1134 
 2884 ; 1/2 доллара. США. Гражданская война ; 1995 ;  ; Cu/Ni ; AU ; 25 ; dbnfvby ; 1019 
 2885 ; 1/2 доллара. США. II МВ ; 1995? ;  ; Cu/Ni ; AU ; 37 ; dbnfvby ; 1019 
 2886 ; 1/2 доллара. США. Баскетбол ; 1995 ;  ; Cu/Ni ; AU ; 13 ; dbnfvby ; 1019 
 2887 ; 1/2 доллара. США. Плавание ; 1996 ;  ; Cu/Ni ; AU ; 29 ; Недорого ; 1732 
 2888 ; 1/2 доллара. США. Футбол ; 1996 ;  ; Cu/Ni ; AU ; 34 ; Недорого ; 1328 
 2889 ; 1 лат. Латвия. Кувшинка ; 2008 ;  ; Cu/Ni ; AU ; 22 ; dsp ; 151 
 2890 ; 1 лат. Латвия. Трубочист ; 2008 ;  ; Cu/Ni ; AU ; 36 ; E.C. ; 196 
 2891 ; 1 лат. Латвия. Жаба ; 2010 ;  ; Cu/Ni ; AU ; 71 ; andorf ; 146 
 2892 ; 1 лат. Латвия. Кружка ; 2011 ;  ; Cu/Ni ; AU ; 56 ; E.C. ; 105 
 2893 ; 4 эре. Швеция. Отверстие 12 часов ;  ;  ; Ag ; F+ ; 32 ; aldor ; 243 
 2894 ; 1 соль. Перу ; 1944 ;  ; Латунь ; VF+ ; 39 ; ВМШ ; 113 
 2895 ; 5 франков. Франция ; 1828А ;  ; Ag ; F-VF ; 35 ; FEDOTOV1920 ; 2048 
 1730 ; Лот монет Банка России (3шт): 10 рублей. 60 лет победы, Вооруженные силы РФ, Владимир ; 2002,2005,2008 ;  ; Би/м ; XF-/XF ; 9 ; jimmysu ; 66 
 1731 ; Лот монет России:  10 рублей Воронежская облась, 25 рублей Олимпийские игры в Сочи 2014. Упаковка ; 2011 ;  ; Cu-Ni,Би/м ; AU/Unc ; 92 ; yas ; 602 
 1732 ; Лот монет Банка России (9шт): 10 рублей (60 лет Великой победы, Ленинградская обл, Тверская обл, Краснодарский край, Ростовская обл, Респ. Хакасия, Орловская обл, Москва, Удмуртская респ) ; 2005, 2007, 2008 ;  ; Би/м ; XF-/XF ; 27 ; Zorro ; 192 
 1733 ; Лот монет Банка России (5шт): 10 рублей (Ленинградская обл, Ростовская обл, Краснодарский край, Респ. Саха, 55 лет Великой победы) ; 2000-2007 ;  ; Би/м ; XF-/XF ; 14 ; Gell13 ; 71 
 1734 ; Лот монет Банка России (5шт): 10 рублей (Вологда, Гдов, Каргополь, 60 лет Великой победы, Министерство финансов РФ) ; 2002-2007 ;  ; Би/м ; XF-/XF ; 32 ; sasha14 ; 144 
 1735 ; Лот монет Банка России (2шт): 10 рублей. Брянск, Елец ; 2010,2011 ;  ; Би/м ; AU ; 32 ; gvg1975 ; 82 
 1736 ; Лот монет Банка России (9шт): 10 рублей (60 лет Великой победы, Старая Русса, Министерства РФ: Иностранных дел, Образования, Внутренних дел, Финансов, Вооруженные силы, Юстиции), 1 рубль "Содружество независимых государств" ; 2001, 2002, 2005 ;  ; Би/м, Cu-Ni ; XF/AU ; 64 ; ДРОВЯНОЙ - 2 ; 350 
 1737 ; Лот монет Банка России (4шт): 10 рублей (Соликамск, Елец, Респ. Бурятия, Воронежская обл) ; 2011 ;  ; Би/м ; AU ; 86 ; jagger ; 365 
 1738 ; Лот монет Банка России (7шт): 2рубля. Города+10р 55 и 60 лет победы ; 2000,2005 ;  ; Cu/Ni,Би/м ; XF-/XF ; 55 ; sasha14 ; 83 
 1739 ; Лот монет Банка России (10шт): 10 рублей (Выборг, Брянск, Азов, Регионы) ; 2007-2010 ;  ; Би/м ; VF-XF/XF ; 11 ; vovan555 ; 166 
 1740 ; Лот монет Банка России (10шт): 10 рублей (Псков, Гдов, 60 лет Победы, Регионы) ; 2003-2007 ;  ; Би/м ; VF+/XF ; 17 ; jimmysu ; 157 
 1741 ; Лот монет Банка России (3шт): 10 рублей. Министерства ; 2002 ;  ; Би/м ; XF/AU ; 14 ; jimmysu ; 90 
 1742 ; Лот монет Банка России (3шт): 10 рублей. Вологда, Москва, Владимир ; 2005,2007,2008 ;  ; Би/м ; XF/AU ; 13 ; dobro ; 77 
 1743 ; Лот монет Банка России (Елец, Соликамск): 10 рублей (2шт) ; 2011 ;  ; Би/м ; AU ; 54 ; bob_tauranga ; 111 
 1744 ; Лот монет Банка России (Ненецкий АО, Елец, Соликамск): 10 рублей (3шт) ; 2011 ;  ; Би/м ; AU ; 31 ; WOLK ; 153 
 1745 ; Лот монет Банка России (Елец, Соликамск): 10 рублей (2шт) ; 2011 ;  ; Би/м ; AU ; 52 ; vc57 ; 108 
 1746 ; Лот монет Банка России (Ненецкий АО, Елец, Соликамск): 10 рублей (3шт) ; 2011 ;  ; Би/м ; AU ; 27 ; yas ; 150 
