 4359 ; Бона иностранная ;  ;  ;  ;  ; 20 ; shneyder ; 79 
 3107 ; 50 тенге. Казахстан. Звезда ордена ; 2009 ;  ; Cu-Ni ; AU ; 18 ; Gell13 ; 48 
 3108 ; 50 евроцентов. Образец. Кипр ; 2003 ;  ; Латунь ; AU ; 26 ; ask ; 128 
 3109 ; 20 евроцентов. Образец. Кипр ; 2003 ;  ; Латунь ; AU ; 13 ; ADD ; 111 
 3110 ; 10 евроцентов. Образец. Кипр ; 2003 ;  ; Латунь ; AU ; 9 ; ADD ; 102 
 3111 ; 5 евроцентов. Образец. Кипр ; 2003 ;  ; Cu ; AU ; 18 ; 100924 ; 126 
 3112 ; 2 евроцента. Образец. Кипр ; 2003 ;  ; Cu ; AU ; 13 ; ADD ; 102 
 3113 ; 1 евроцент. Образец. Кипр ; 2003 ;  ; Cu ; AU ; 17 ; avs ; 136 
 3114 ; 50 евроцентов. Образец. Джерси ; 2003 ;  ; Латунь ; AU ; 29 ; ADD ; 102 
 3115 ; 20 евроцентов. Образец. Джерси ; 2003 ;  ; Латунь ; AU ; 11 ; ask ; 108 
 3116 ; 10 евроцентов. Образец. Джерси ; 2003 ;  ; Латунь ; AU ; 9 ; ADD ; 102 
 3117 ; 5 евроцентов. Образец. Джерси ; 2003 ;  ; Cu ; AU ; 9 ; ADD ; 102 
 3118 ; 2 евроцента. Образец. Джерси ; 2003 ;  ; Cu ; AU ; 33 ; Vasya ; 108 
 3019 ; 100 франков. Марокко ; 1953 ;  ; Ag ; VF+ ; 77 ; Vasya ; 272 
 3020 ; 1 франк. Бельгия ; 1914 ;  ; Ag ; XF- ; 63 ; cotangens ; 201 
 3021 ; 50 пара. Сербия ; 1915 ;  ; Ag ; XF- ; 72 ; Lena6975 ; 184 
 3022 ; 50 сентаво. Испания ; 1904 ;  ; Ag ; VF-XF ; 60 ; митька ; 231 
 3023 ; 5 франков. Швейцария ; 1967 ;  ; Ag ; AU ; 32 ; delf ; 670 
 3024 ; 5 франков. Бельгия ; 1932 ;  ; Cu-Ni ; VF- ; 41 ; av ; 77 
 3025 ; 5 эре. Швеция ; 1899 ;  ; Br ; VF- ; 58 ; Boing749 ; 83 
 3026 ; 1 крейцер. Баден ; 1864 ;  ; Cu ; VF ; 75 ; Буратино ; 410 
 3027 ; 8 дублей. Гернси ; 1956 ;  ; Br ; VF ; 36 ; Юбер ; 116 
 3028 ; 10 центов. Восточная Африка ; 1936 ;  ; Br ; VF- ; 54 ; кабачок ; 177 
 3029 ; 1/4 анны. Мускат и Оман ; 1315лх ;  ; Br ; F-VF ; 40 ; егор ; 255 
 3030 ; 2 сантима. Латвия ; 1939 ;  ; Br ; VF ; 21 ; o.k. ; 72 
 3031 ; 1/2 цента. Нидерландская Индия ; 1945Р ;  ; Br ; VF+ ; 12 ; Vasya ; 55 
 3032 ; 1 динар. Югославия ; 1938 ;  ; Латунь ; XF ; 29 ; Юбер ; 136 
 3033 ; 5 пфеннигов. Веймар ; 1925G ;  ; Al/Br ; VF- ; 58 ; 542 ; 61 
 3034 ; 1/2 пайсы. Индия. Штат Бахавалпур ; 1342-1343лх ;  ; Br ; F-VF ; 20 ; kont ; 136 
 3035 ; 1 шо. Тибет ;  ;  ; Cu ; F-VF ; 48 ; матвед ; 132 
 3036 ; 1/2 кроны. Великобритания ; 1939 ;  ; Ag ; VF-XF ; 59 ; Сакович ; 379 
 3037 ; 1 флорин. Великобритания ; 1933 ;  ; Ag ; VF- ; 42 ; Boing749 ; 363 
 3038 ; 6 пенсов. Великобритания ; 1940 ;  ; Ag ; VF- ; 8 ; Инвестор ; 153 
 3039 ; 25 центов. Нидерланды ; 1941 ;  ; Ag ; XF ; 26 ; Юбер ; 164 
 3040 ; 100 йен. Япония. Олимпиада в Токио ; 1964 ;  ; Ag ; AU ; 28 ; Хорошист ; 364 
 3041 ; 1 шиллинг. Нигерия ; 1959 ;  ; Cu-Ni ; VF-XF ; 18 ; Leon17 ; 104 
 3042 ; 10 динаров. Югославия ; 1938 ;  ; Ni ; XF- ; 29 ; Boing749 ; 129 
 3043 ; 1 хеллер. Австрия ; 1910 ;  ; Br ; VF ; 41 ; 542 ; 108 
 3044 ; 2 хеллера. Австрия ; 1912 ;  ; Br ; VF ; 62 ; Буратино ; 176 
 3045 ; 2 раппена. Швейцария ; 1919 ;  ; Br ; XF- ; 44 ; Boing749 ; 264 
 3046 ; 1 пенни. Австралия ; 1919 ;  ; Br ; VF+ ; 11 ; Boing749 ; 92 
 3047 ; 1 цент. Нидерланды ; 1940 ;  ; Br ; VF ; 9 ; Сергей58 ; 71 
 3048 ; 2-1/2 цента. Нидерландская Индия ; 1945 ;  ; Br ; VF-XF ; 23 ; матвед ; 84 
 3049 ; 3 марки. Веймар ; 1922А ;  ; Al ; XF- ; 20 ; andreyM ; 95 
 3050 ; 10 лир. Ватикан ; 1951 ;  ; Al ; XF ; 19 ; PaulMS ; 100 
 3051 ; 50 пфеннигов. Германия. Нотгельд. Липпе ; 1917 ;  ; Zn ; F ; 25 ; Boing749 ; 167 
 3052 ; 10 пфеннигов. Германия. Нотгельд. Позен ; 1917 ;  ; Zn ; F-VF ; 19 ; Boing749 ; 181 
 3053 ; 10 пфеннигов. Германия. Нотгельд. Апольда ; 1918 ;  ; Zn ; F-VF ; 21 ; smel ; 178 
 3054 ; 10 пфеннигов. Германия. Нотгельд. Висбаден ; ND ;  ; Fe ; F-VF ; 19 ; Boing749 ; 181 
 3055 ; 25 пфеннигов. Германия. Нотгельд. Дюрен ; 1919 ;  ; Fe ; F-VF ; 22 ; Trespass ; 272 
 3056 ; 10 филлеров. Венгрия ; 1894 ;  ; Cu-Ni ; VF ; 26 ; Юбер ; 83 
 3057 ; 10 злотых. Польша. ФАО ; 1971 ;  ; Cu-Ni ; AU ; 33 ; vc57 ; 199 
 3058 ; 10 злотых. Польша. Сверчевский ; 1967 ;  ; Cu-Ni ; XF ; 43 ; alskr ; 188 
 3059 ; 2 рупии. Цейлон. ФАО ; 1968 ;  ; Cu-Ni ; AU ; 20 ; vc57 ; 159 
 3060 ; 5 шиллингов. Танзания. ФАО ; 1972 ;  ; Cu-Ni ; AU ; 17 ; Trespass ; 104 
 3061 ; 10 сенити. Тонга. ФАО ; 1975 ;  ; Cu-Ni ; AU ; 54 ; vc57 ; 252 
 3062 ; 25 сантимов. Бельгия ; 1909 ;  ; Cu-Ni ; VF ; 21 ; av ; 126 
 3063 ; 25 сантимов. Бельгия ; 1938 ;  ; Cu-Ni ; VF ; 43 ; av ; 119 
 3064 ; 10 сантимов. Бельгия ; 1926 ;  ; Cu-Ni ; VF- ; 36 ; av ; 104 
 3065 ; 100 миллимов. Либия ; 1965 ;  ; Cu-Ni ; VF+ ; 19 ; andorf ; 81 
 3066 ; 1 фунт. Сирия. ФАО ; 1968 ;  ; Cu-Ni ; AU ; 29 ; mirumir ; 151 
 3067 ; 1 бат. Тайланд. Юбилейная ; 1978 ;  ; Cu-Ni ; AU ; 15 ; vc57 ; 93 
 3068 ; 8 кэш. Индия. Штат Траванкор ; 1906-1935 ;  ; Cu ; F-VF ; 46 ; кве ; 395 
 2969 ; 1 доллар. Канада. 100лет морскому флоту ; 2010 ;  ; Латунь ; AU ; 59 ; СВл ; 633 
 2970 ; 2 цента. Цейлон ; 1955 ;  ; Латунь ; XF- ; 21 ; alskr ; 102 
 2971 ; 20 центов. Британский Гон-Конг ; 1979 ;  ; Латунь ; VF- ; 31 ; alskr ; 43 
 2972 ; 20 центов. Британский Гон-Конг. Другой тип портрета ; 1991 ;  ; Латунь ; VF+ ; 23 ; nik23455 ; 93 
 2973 ; 2 пенса. Остров Гоф. Птица ; 2009 ;  ; Br ; AU ; 47 ; ask ; 102 
 2974 ; 1 пенни. Тристан-да-Кунья. Рак ; 2008 ;  ; Br ; AU ; 32 ; 100924 ; 171 
 2975 ; 2 пенса. Остров Столтенхоф. Корабль ; 2008 ;  ; Br ; AU ; 27 ; Сухов ; 159 
 2976 ; 2 цента. Новая Зеландия ; 1985 ;  ; Br ; XF ; 20 ; alskr ; 21 
 2977 ; 1 цент. Острова Кука. Гончая ; 2003 ;  ; Al ; AU ; 28 ; 100924 ; 55 
 2978 ; 1 пенни. Джерси. Башня ; 2008 ;  ; Cu/St ; AU ; 27 ; Юбер ; 27 
 2979 ; 1 цент. Острова Кука. Островитянка ; 2010 ;  ; Cu/St ; AU ; 21 ; Сакович ; 134 
 2980 ; 1/2 доллара. США. Кеннеди ; 1968D ;  ; Ag ; XF+ ; 35 ; BVN-2 ; 216 
 2981 ; 50 сентимо. Испания ; 1885 ;  ; Ag ; VF-XF ; 107 ; Flagman ; 209 
 2982 ; 50 сентимо. Испания ; 1894 ;  ; Ag ; VF ; 28 ; vc57 ; 340 
 2983 ; 1/4 рупии. Индия ; 1910 ;  ; Ag ; AU ; 35 ; vengriya ; 514 
 2984 ; 5 центов. США ; 1902 ;  ; Cu-Ni ; VF- ; 44 ; барабашка ; 306 
 2985 ; 1 шиллинг. Великобритания ; 1948 ;  ; Cu-Ni ; F-VF ; 14 ; Сергей58 ; 51 
 2986 ; 1 пенни. Великобритания ; 1896 ;  ; Br ; VF ; 107 ; Germanfox ; 192 
 2987 ; 1 цент. США ; 1899 ;  ; Br ; F-VF ; 45 ; барабашка ; 261 
 2988 ; 1 фартинг. Великобритания ; 1869 ;  ; Cu ; F-VF ; 26 ; Павлов75 ; 397 
 2989 ; 50 сантимов. Испания ; 1910 ;  ; Ag ; VF- ; 51 ; митька ; 211 
 2990 ; 25 эре. Швеция ; 1954 ;  ; Ag ; XF- ; 18 ; охота ; 159 
 2991 ; 10 центов. Нидерланды ; 1941 ;  ; Ag ; XF ; 32 ; delf ; 100 
 2992 ; 10 центов. Нидерланды ; 1941 ;  ; Ag ; XF ; 37 ; Инвестор ; 48 
 2993 ; 1/4 анны. Британская Индия ; 1896 ;  ; Br ; F-VF ; 67 ; kompman ; 81 
 2994 ; 20 злотых. Польша. Международный женский день ; 1975 ;  ; Cu-Ni ; XF- ; 18 ; vc57 ; 88 
 2995 ; 50 злотых. Польша. ФАО. Всемирный день еды ; 1981 ;  ; Cu-Ni ; AU ; 27 ; zaalkind ; 113 
 2996 ; 10 злотых. Польша. 700 лет Варшаве ; 1965 ;  ; Cu-Ni ; VF+ ; 37 ; alskr ; 122 
 2997 ; 2 кроны. Швеция ; 1953 ;  ; Ag ; AU ; 86 ; breizh ; 663 
 2998 ; 2 кроны. Швеция ; 1937 ;  ; Ag ; XF ; 6 ; breizh ; 561 
 2999 ; 2 кроны. Швеция ; 1946 ;  ; Ag ; XF+ ; 5 ; breizh ; 328 
 3000 ; 2-1/2 гульдена. Нидерланды. На бракосочетание ; 1962 ;  ; Ag ; AU ; 40 ; hugo ; 404 
 3001 ; 10 крон. Дания ; 1968 ;  ; Ag ; AU ; 103 ; S1952 ; 510 
 3002 ; 5 франков. Франция ; 1962 ;  ; Ag ; VF+ ; 69 ; Al777 ; 227 
 3003 ; 1 гульден. Нидерланды ; 1957 ;  ; Ag ; XF ; 81 ; delf ; 159 
 3004 ; 1 франк. Швейцария ; 1936 ;  ; Ag ; VF+ ; 32 ; Boing749 ; 159 
 3005 ; 2 франка. Швейцария ; 1936 ;  ; Ag ; VF ; 19 ; Flagman ; 238 
 3006 ; 1 крона. Швеция ; 1942 ;  ; Ag ; XF+ ; 14 ; Boing749 ; 204 
 3007 ; 10 шиллингов. Австрия ; 1973 ;  ; Ag ; AU ; 39 ; вик21 ; 192 
 3008 ; 1/2 доллара. США. Кеннеди ; 1966 ;  ; Ag ; XF ; 21 ; vlas ; 253 
 3009 ; 25 сентаво. Куба. 100 лет Хосе Марти ; 1953 ;  ; Ag ; VF+ ; 60 ; xabib ; 208 
 3010 ; 10 рублей. Белрусь. Захаров Г.Ф ; 2010 ;  ; Ag ; Proof ; 18 ; vlas ; 601 
 3011 ; 10 рублей. Белрусь. Ракасовский К.К ; 2010 ;  ; Ag ; Proof ; 9 ; vlas ; 601 
 3012 ; 10 рублей. Белрусь. Баграмян ; 2010 ;  ; Ag ; Proof ; 13 ; s451 ; 625 
 3013 ; 10 рублей. Белрусь. Чарняховский ; 2010 ;  ; Ag ; Proof ; 9 ; Иа-Иа ; 612 
 3014 ; 5 песет. Испания ; 1870 ;  ; Ag ; VF- ; 32 ; Boing749 ; 1674 
 3015 ; 5 лева. Болгария ; 1885 ;  ; Ag ; VF- ; 25 ; lsp25 ; 897 
 3016 ; 30 драхм. Греция. На бракосочетание ; 1964 ;  ; Ag ; AU ; 36 ; cammal ; 765 
 3017 ; 2 песеты. Испания ; 1870 ;  ; Ag ; VF- ; 37 ; КостяVa ; 306 
 3018 ; 20 динар. Югославия ; 1938 ;  ; Ag ; AU ; 24 ; avs ; 1115 
 2919 ; 1 1/2 пенса. Великобритания. Виктория ; 1839 ;  ; Ag ; VF ; 87 ; nik23455 ; 731 
 2920 ; 100 крон. Гренландия. Чемпионат мира по гольфу на снегу ; 2011 ;  ; Ag ; Proof ; 57 ; Boing749 ; 1022 
 2921 ; 2000 песо. Остров Пасхи. Эсмеральда ; 2006 ;  ; Ag ; Unc ; 48 ; shais1 ; 2080 
 2922 ; 3 пенса. Новая Зеландия ; 1937 ;  ; Ag ; VF+ ; 33 ; imi ; 91 
 2923 ; 5 центов. Канада ; 1917 ;  ; Ag ; VF- ; 51 ; Инвестор ; 131 
 2924 ; 5 центов. Канада ; 1919 ;  ; Ag ; VF+ ; 60 ; Vasya ; 156 
 2925 ; 5 центов. Канада ; 1920 ;  ; Ag ; VF ; 41 ; nik23455 ; 159 
 2926 ; 5 эскудо. Португальский Сан Том и Принсипе ; 1962 ;  ; Ag ; VF+ ; 42 ; AnvlaSar6216 ; 420 
 2927 ; 10 центов. Канада ; 1968 ;  ; Ag ; Unc/AU ; 37 ; maremark ; 137 
 2928 ; 10 центов. Нидерланды. Вильгемина ; 1943 ;  ; Ag ; AU ; 11 ; maremark ; 601 
 2929 ; 500 лир. Сан Марино ; 1973 ;  ; Ag ; AU ; 5 ; maremark ; 501 
 2930 ; 5 эре. Швеция ; 1876 ;  ; Cu ; VF ; 32 ; dsp ; 340 
 2931 ; 1 эре. Швеция. Карл XV ; 1864 ;  ; Br ; VF- ; 47 ; Юбер ; 208 
 2932 ; 1/3 скиллинга. Швеция ; 1836 ;  ; Cu ; VF- ; 24 ; dsp ; 296 
 2933 ; 2 скиллинга. Дания ; 1815 ;  ; Cu ; VF ; 31 ; Boing749 ; 459 
 2934 ; 2 эре. Дания ; 1886 ;  ; Br ; VF ; 63 ; andreyM ; 138 
 2935 ; 2 эре. Дания ; 1906 ;  ; Br ; VF+ ; 27 ; av ; 79 
 2936 ; 4 добля. Гернси ; 1864 ;  ; Br ; VF- ; 9 ; ask ; 104 
 2937 ; 1 добль. Гернси ; 1889Н ;  ; Br ; XF+ ; 6 ; alko25 ; 131 
 2938 ; 2 фунта. Великобритания. Олимпийские игры в Лондоне в 2012 году ; 2008 ;  ; Би/м ; AU ; 36 ; salim ; 275 
 2939 ; 2 фунта. Великобритания. Чарльз Дарвин ; 2009 ;  ; Би/м ; AU ; 35 ; salim ; 277 
 2940 ; 2 фунта. Великобритания. 150-летие со дня рождения Роберта Бернса ; 2009 ;  ; Би/м ; AU ; 32 ; salim ; 236 
 2941 ; 1 доллар. США. Морган ; 1880 ;  ; Ag ; VF-XF ; 100 ; gors ; 1905 
 2942 ; 1 дайм. США. Рузвельт ; 1953 ;  ; Ag ; VF+ ; 22 ; gvg1975 ; 100 
 2943 ; 1 дайм. США. Рузвельт ; 1982P ;  ; Cu-Ni ; XF- ; 29 ; Vova6074 ; 51 
 2944 ; 1/2 доллара. США. Кеннеди ; 1997D ;  ; Cu-Ni ; VF ; 87 ; serggei ; 153 
 2945 ; 25 центов. Канада. Олимпиада Ванкувер. Елизавета II ; 2007 ;  ; St/Ni ; AU ; 12 ; nik23455 ; 66 
 2946 ; 25 центов. Канада. Олимпиада Ванкувер. Елизавета II ; 2008 ;  ; St/Ni ; AU ; 21 ; mrotkin ; 66 
 2947 ; 25 центов. Канада. Женский хоккей ; 2009 ;  ; St/Ni ; AU ; 18 ; mrotkin ; 62 
 2948 ; 5 долларов. Британский Гон-Конг ; 1988 ;  ; Cu-Ni ; VF+ ; 47 ; vc57 ; 104 
 2949 ; 2 доллара. Британский Гон-Конг ; 1975 ;  ; Cu-Ni ; VF ; 43 ; nik23455 ; 101 
 2950 ; 1 рупия. Маврикий ; 1951 ;  ; Cu-Ni ; VF ; 21 ; Микки 5 ; 114 
 2951 ; 50 центов. Австралия. Географические открытия ; 1998 ;  ; Cu-Ni ; VF+ ; 6 ; sikachai ; 165 
 2952 ; 1 доллар. Канада. Елизавета II ; 1977 ;  ; Cu-Ni ; AU ; 20 ; СВл ; 145 
 2953 ; 50 пенсов. Великобритания ; 2008 ;  ; Cu-Ni ; AU ; 26 ; Vasya ; 75 
 2954 ; 20 центов. Новая Зеландия. Елизавета II. Птица ; 1977 ;  ; Cu-Ni ; AU ; 24 ; vb96 ; 53 
 2955 ; 6 пенсов. Новая Зеландия. Птица ; 1948 ;  ; Cu-Ni ; VF ; 40 ; Сергей58 ; 87 
 2956 ; 3 пенса. Гернси ; 1956 ;  ; Cu-Ni ; AU ; 39 ; 100924 ; 227 
 2957 ; 10 пенсов. Остров Столтенхоф. Корабль ; 2008 ;  ; Cu-Ni ; AU ; 24 ; Сухов ; 81 
 2958 ; 1 анна. Британская Индия ; 1930 ;  ; Cu-Ni ; F-VF ; 48 ; Микки 5 ; 92 
 2959 ; 50 тенге. Казахстан. 20 лет ; 2006 ;  ; Cu-Ni ; AU ; 41 ; Беломорочка ; 46 
 2960 ; 25 центов. Канада ; 1975 ;  ; Cu-Ni ; AU ; 6 ; 100924 ; 31 
 2961 ; 2 фунта. Великобритания. Олимпиада ; 2008 ;  ; Би/м ; XF ; 39 ; vc57 ; 255 
 2962 ; 1 доллар. Острова Кука. Идол. Елизавета II ; 2010 ;  ; Би/м ; AU ; 44 ; Буратино ; 152 
 2963 ; 1 фунт. Остров Мэн. Пейзаж города ; 2009 ;  ; Латунь ; AU ; 26 ; Сакович ; 164 
 2964 ; 1 доллар. Австралия. 2 МВ ; 2005 ;  ; Латунь ; AU ; 10 ; КостяVa ; 70 
 2965 ; 1 доллар. Австралия. Олимпиада. Елизавета II ; 2000 ;  ; Латунь ; AU ; 16 ; vc57 ; 155 
 2966 ; 1 доллар. Канада ; 1992 ;  ; Cu-Ni-Zn ; AU ; 26 ; vc57 ; 135 
 2967 ; 1 доллар. Бермудские острова. Корабль ; 2008 ;  ; Латунь ; AU ; 65 ; sikachai ; 270 
 2968 ; 1/2 анны. Британская Индия ; 1944 ;  ; Латунь ; VF-XF ; 19 ; mclion1 ; 67 
 2869 ; Талер. Пруссия. Коронация ; 1861А ;  ; Ag ; XF ; 30 ; KRASLAVA ; 1497 
 2870 ; Талер. Пруссия. Коронация ; 1861А ;  ; Ag ; VF-XF ; 16 ; pamel ; 1475 
 2871 ; Талер. Пруссия. Коронация ; 1861А ;  ; Ag ; VF ; 27 ; nikita1980 ; 1432 
 2872 ; Талер. Пруссия. В честь победы над Францией ; 1871А ;  ; Ag ; VF-XF ; 34 ; lsp25 ; 1388 
 2873 ; 1/3 талера. Пруссия ; 1790Е ;  ; Ag ; F-VF ; 35 ; Буратино ; 627 
 2874 ; 5 марок. Пруссия ; 1875B ;  ; Ag ; F-VF ; 52 ; Mike! ; 982 
 2875 ; 5 марок. Пруссия ; 1898А ;  ; Ag ; VF- ; 41 ; trifons ; 937 
 2876 ; 5 марок. Пруссия. Отверстие 12 часов ; 1901А ;  ; Ag ; VF ; 25 ; Опятор ; 640 
 2877 ; 5 марок. Пруссия ; 1903А ;  ; Ag ; VF+ ; 16 ; Boing749 ; 943 
 2878 ; 5 марок. Пруссия ; 1914А ;  ; Ag ; XF+ ; 29 ; Flagman ; 1505 
 2879 ; 5 марок. Саксония ; 1914Е ;  ; Ag ; XF+ ; 28 ; trifons ; 2045 
 2880 ; 3 марки. Пруссия ; 1908А ;  ; Ag ; XF- ; 39 ; Lena6975 ; 781 
 2881 ; 3 марки. Пруссия ; 1909А ;  ; Ag ; VF ; 26 ; Boing749 ; 705 
 2882 ; 3 марки. Пруссия ; 1910А ;  ; Ag ; XF- ; 18 ; serg2010 ; 722 
 2883 ; 3 марки. Пруссия. Вильгельм II ; 1911A ;  ; Ag ; XF ; 15 ; Boing749 ; 691 
 2884 ; 3 марки. Пруссия. 100 лет разгрома Наполеона ; 1913 ;  ; Ag ; AU ; 55 ; trifons ; 1734 
 2885 ; 3 марки. Пруссия. 25 лет правления ; 1914А ;  ; Ag ; VF+ ; 6 ; Mike! ; 888 
 2886 ; 2 марки. Баден. 50 лет правления Фридриха I ; 1902 ;  ; Ag ; XF- ; 29 ; HARDCOROV ; 1383 
 2887 ; 2 марки. Пруссия ; 1904А ;  ; Ag ; VF-XF ; 15 ; murew ; 611 
 2888 ; 2 марки. Пруссия. 25 лет правления ; 1913А ;  ; Ag ; F-VF ; 25 ; jj ; 486 
 2889 ; 2 марки. Германия. Пауль фон Гинденбург ; 1937А ;  ; Ag ; AU ; 30 ; harley-doctor ; 956 
 2890 ; 2 марки. Германия. Пауль фон Гинденбург ; 1938В ;  ; Ag ; AU ; 17 ; trifons ; 392 
 2891 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939А ;  ; Ag ; AU ; 16 ; охота ; 408 
 2892 ; 2 марки. Германия. Пауль фон Гинденбург ; 1939А ;  ; Ag ; VF-XF ; 24 ; N66 ; 343 
 2893 ; 1/2 марки. Германия ; 1905A ;  ; Ag ; VF- ; 3 ; Dima.Varg ; 126 
 2894 ; 1/2 марки. Германия ; 1905А ;  ; Ag ; F-VF ; 5 ; Инвестор ; 151 
 2895 ; 1/2 марки. Германия ; 1906A ;  ; Ag ; VF- ; 11 ; Инвестор ; 150 
 2896 ; 1/2 марки. Германия ; 1913D ;  ; Ag ; XF- ; 30 ; Хорошист ; 355 
 2897 ; 1/2 марки. Германия ; 1914А ;  ; Ag ; VF-XF ; 47 ; Инвестор ; 139 
 2898 ; 2-1/2 зилбергроша. Пруссия ; 1843А ;  ; Ag ; VF- ; 23 ; N66 ; 279 
 2899 ; 5 лат. Латвия ; 1931 ;  ; Ag ; XF ; 30 ; Harder ; 730 
 2900 ; 5 лат. Латвия ; 1929 ;  ; Ag ; XF ; 14 ; vengriya ; 759 
 2901 ; 1 лат. Латвия ; 2011 ;  ; Cu-Ni ; AU ; 32 ; vc57 ; 124 
 2902 ; 1 лат. Латвия ; 2008 ;  ; Cu-Ni ; AU ; 28 ; vc57 ; 116 
 2903 ; 1 лат. Латвия ; 2008 ;  ; Cu-Ni ; AU ; 27 ; alex.k ; 114 
 2904 ; 1 лат. Латвия ; 2010 ;  ; Cu-Ni ; AU ; 44 ; vc57 ; 157 
 2905 ; 10 марок. ГДР. 25 лет ГДР ; 1974А ;  ; Cu-Ni ; AU ; 40 ; PaulMS ; 130 
 2906 ; 1 крона. Великобритания. Серебряный Юбилей правления Георга V ; 1935 ;  ; Ag ; AU ; 70 ; trifons ; 1632 
 2907 ; 1 крона Великобритания. Коронация Георга VI ; 1937 ;  ; Ag ; AU ; 39 ; trifons ; 1428 
 2908 ; 500 лир. Сан Марино ; 1973 ;  ; Ag ; AU ; 18 ; trifons ; 500 
 2909 ; 500 лир. Сан Марино ; 1974 ;  ; Ag ; AU ; 5 ; trifons ; 500 
 2910 ; 500 лир. Сан Марино ; 1975 ;  ; Ag ; Unc/AU ; 7 ; trifons ; 500 
 2911 ; 500 лир. Ватикан ; 1974 ;  ; Ag ; Unc/AU ; 17 ; trifons ; 669 
 2912 ; 1/2 доллара. США ; 1966 ;  ; Ag ; AU ; 18 ; tehnadzor ; 255 
 2913 ; 1/2 доллара. США ; 1967 ;  ; Ag ; AU ; 22 ; delf ; 214 
 2914 ; 1/4 доллара. США ; 1897 ;  ; Ag ; F-VF ; 33 ; Моряк-собиратель ; 556 
 2915 ; 500 эскудо. Португалия. 150 лет банку Португалии ; 1996 ;  ; Ag ; AU ; 36 ; AnvlaSar6216 ; 673 
 2916 ; 6 пенсов. Великобритания. Вильем IV ; 1834 ;  ; Ag ; F-VF ; 31 ; фёкла ; 385 
 2917 ; 6 пенсов. Великобритания. Виктория ; 1846 ;  ; Ag ; VF ; 47 ; lesnik1 ; 762 
 2918 ; 6 пенсов. Великобритания. Виктория ; 1890 ;  ; Ag ; VF+ ; 25 ; lesnik1 ; 725 
 2178 ; Набор монет + Гагарин и 10 лет СНГ (10шт) ; 2000,2001 ; Города-герои. (7 монет по 2 руб) ; Cu-Ni ; XF-/XF+ ; 36 ; o.k. ; 185 
 2179 ; Набор монет + Гагарин и 10 лет СНГ (10шт) ; 2000,2001 ; Города-герои. (7 монет по 2 руб) ; Cu-Ni ; XF-/XF ; 33 ; InoS ; 167 
 2180 ; Лот монет "Города герои", Гагарин (9шт) ; 2000,2001 ;  ; Cu-Ni ; XF/AU ; 40 ; QQXA ; 185 
 2181 ; Лот монет Банка России (Ненецкий АО, Елец, Соликамск): 10 рублей (3шт) ; 2011 ;  ; Би/м ; AU ; 43 ; Mart_11 ; 204 
 2182 ; Лот монет Банка России (Ненецкий АО, Елец, Соликамск): 10 рублей (3шт) ; 2011 ;  ; Би/м ; AU ; 6 ; ААФ ; 130 
 2183 ; Лот монет Банка России (Ненецкий АО, Елец, Соликамск): 10 рублей (3шт) ; 2011 ;  ; Би/м ; AU ; 27 ; cammal ; 133 
 2184 ; Лот монет Банка России (Ненецкий АО и Пермский край): 10 рублей (2шт) ; 2010 ;  ; Би/м ; AU ; 43 ; ask ; 519 
 2185 ; Лот монет Банка России (Ненецкий АО и Пермский край): 10 рублей (2шт) ; 2010 ;  ; Би/м ; AU ; 74 ; vatom22 ; 530 
 2186 ; Лот монет Банка России (Ненецкий АО и Пермский край): 10 рублей (2шт) ; 2010 ;  ; Би/м ; AU ; 46 ; 4747 ; 567 
 2187 ; Лот монет Банка России (Ненецкий АО и Чеченская республика): 10 рублей (2шт) ; 2010 ;  ; Би/м ; AU ; 45 ; КСН ; 1383 
 2188 ; Лот монет Банка России (5шт): 10 рублей (Калининград, Галич, Боровск, Гдов), 2 рубля (Ю. Гагарин) ; 2001-2009 ;  ; Би/м, Cu-Ni ; XF-/XF+ ; 63 ; Mart_11 ; 344 
 2189 ; Лот монет Банка России (5шт): 10 рублей (Ленинградская обл, Удмуртская респ, Орловская обл, Краснодарскмй край, 60 лет Победы) ; 2005, 2008 ;  ; Би/м ; XF/XF+ ; 42 ; Boing749 ; 95 
 2190 ; Лот монет Банка России (5шт): 10 рублей (Сахалинская обл, Удмуртская респ, Читинская обл, Респ. Саха, Приморский край) ; 2006, 2008 ;  ; Би/м ; XF/AU ; 53 ; Boing749 ; 141 
 2191 ; Лот монет Банка России (8шт): 10 рублей (Сахалинская обл, Тверская обл, Новосибирская обл, Удмуртская респ, Респ. Хакасия, Респ. Саха, 60 лет Победы, Респ. Калмыкия) ; 2005-2009 ;  ; Би/м ; XF/XF+ ; 29 ; Boing749 ; 184 
 2192 ; Лот монет Банка России (Древние города России, РФ,  55 лет победы): 10 рублей (7шт) ; 2000-2009 ;  ; биметалл ; VF-XF/XF ; 19 ; nivva ; 165 
 2193 ; Лот монет Банка России (7шт): 10 рублей. Министерства ; 2002 ;  ; Би/м ; XF-/XF ; 25 ; Boing749 ; 306 
 2194 ; Лот монет Банка России (Министерства): 10 рублей (4шт) ; 2002 ;  ; биметалл ; XF-/XF ; 25 ; jimmysu ; 170 
