 6035 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 11 ; prostor.71 ; 24 
 4178 ; 5 франков. Франция ; 1933 ;  ; Cu-Ni ; VF+ ; 20 ; нормировщик9 ; 81 
 4179 ; 5 гривен. Украина. Андреевская церковь ; 2011 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 232 
 4180 ; 2 гривны. Украина. Нестор Махно ; 2013 ;  ; Cu-Ni ; AU ; 14 ; mart_si ; 459 
 4181 ; 1/4 гульдена. Нидерландское Кюрасао ; 1944 ;  ; Ag ; VF ; 14 ; Mike! ; 132 
 4182 ; 5 гривен. Украина. Ровненская область ; 2014 ;  ; Би/м ; AU ; 10 ; heavy_fly ; 379 
 4183 ; 1 гульден. Нидерландские Антиллы ; 1971 ;  ; Cu-Ni ; VF ; 1 ; Mike! ; 88 
 4184 ; 2 гривны. Украина."Львовская политехника" ; 2010 ;  ; Cu-Ni ; AU ; 18 ; mart_si ; 208 
 4185 ; 5 гривен. Украина. Год лесов ; 2011 ;  ; Би/м ; AU ; 9 ; Mike! ; 272 
 4186 ; 200 песет. Испания ; 1990 ;  ; Cu-Ni ; VF+ ; 36 ; vb96 ; 197 
 4187 ; 2 гривны. Украина. Украинское товарищество врачей ; 2010 ;  ; Cu-Ni ; AU ; 13 ; heavy_fly ; 289 
 4188 ; 5 гривен. Украина. Мечеть ; 2014 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 357 
 4189 ; 500 драхм. Греция ; 2004 ;  ; Cu-Ni ; XF ; 9 ; Mike! ; 132 
 4190 ; 10 эре. Швеция ; 1959 ;  ; Ag ; XF- ; 23 ; shaxter2015 ; 50 
 4191 ; 5 гривен. Украина. Авиация ; 2012 ;  ; Cu-Ni ; AU ; 10 ; v_bond ; 375 
 4192 ; 2 марки. ФРГ ; 1990J ;  ; Cu-Ni ; VF ; 21 ; Mike! ; 67 
 4193 ; 2 гривны. Украина. Олег Антонов ; 2006 ;  ; Cu-Ni ; AU ; 8 ; Mike! ; 319 
 4194 ; 5 гривен. Украина. Херсонская область ; 2014 ;  ; Би/м ; AU ; 9 ; Mike! ; 305 
 4195 ; 5 гривен. Украина. 60 лет Нац музею ; 2009 ;  ; Cu-Ni ; AU ; 15 ; Mike! ; 234 
 4196 ; 2 гривны. Украина. Николай Рерих ; 2014 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 169 
 4197 ; 2 гривны. Украина. Евгений Петрушевич ; 2008 ;  ; Cu-Ni ; AU ; 10 ; mart_si ; 189 
 4198 ; 10 эре. Швеция ; 1937 ;  ; Ag ; VF+ ; 13 ; Mike! ; 41 
 4199 ; 10 евро. Германия. Чемпионат по футболу ; 2011 ;  ; Cu-Ni ; AU ; 35 ; seva777 ; 1185 
 4200 ; 5 гривен. Украина. Симферополь ; 2009 ;  ; Cu-Ni ; AU ; 10 ; heavy_fly ; 340 
 4201 ; 5 гривен. Украина. Чернигов ; 2007 ;  ; Cu-Ni ; AU ; 22 ; heavy_fly ; 339 
 4202 ; 2 гривны. Украина. Донецкая область ; 2007 ;  ; Cu-Ni ; AU ; 15 ; dinkini ; 682 
 4203 ; 2 гривны. Украина. Ковыль Украинский ; 2010 ;  ; Cu-Ni ; AU ; 19 ; heavy_fly ; 338 
 4204 ; 5 гривен. Украина. Никитский Ботанический сад ; 2012 ;  ; Cu-Ni ; AU ; 13 ; heavy_fly ; 334 
 4205 ; 200 эскудо. Португалия. Олимпиада ; 1992 ;  ; Cu-Ni ; XF+ ; 9 ; Mike! ; 129 
 4206 ; 2 гривны. Украина. Запорлжская область ; 2009 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 140 
 4207 ; 2 гривны. Украина. Наталия Ужвий ; 2008 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 151 
 4208 ; 5 гривен. Украина. Цимбали ; 2006 ;  ; Би/м ; AU ; 15 ; mart_si ; 222 
 4209 ; 1 писо. Филиппины. Папа Павел VI ; 1970 ;  ; Cu-Ni ; AU ; 16 ; REC ; 378 
 4210 ; 6 пенсов. Великобритания ; 1939 ;  ; Ag ; VF-XF ; 1 ; Mike! ; 121 
 4211 ; 2 гривны. Украина. Джон Джеймс Юз ; 2014 ;  ; Cu-Ni ; AU ; 21 ; Mike! ; 181 
 4212 ; 2 гривны. Украина. Александр Ляпунов ; 2007 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 117 
 4213 ; 50 пара. Сербия ; 1879 ;  ; Ag ; F+ ; 33 ; Христ ; 327 
 4214 ; 2 гривны. Украина. Сергей Королев ; 2007 ;  ; Cu-Ni ; AU ; 12 ; Mahfey ; 386 
 4215 ; 5 лева. Болгария. ФИФА ; 1980 ;  ; Cu-Ni ; Proof ; 38 ; Arlekino82 ; 319 
 4216 ; 30 вон. Северная Корея ; 2008 ;  ; Би/м ; Proof ; 34 ; каи51 ; 319 
 4217 ; 1 крона. Тристан-да-Кунья. Герои земли ; 2011 ;  ; Латунь ; Proof-Like ; 29 ; ZET ; 492 
 4218 ; 1 бат. Тайлнад ; 1966 ;  ; Cu-Ni ; XF ; 39 ; 1023oxana ; 310 
 4219 ; 50 метикас. Мозамбик. ФАО ; 1983 ;  ; Cu-Ni ; AU ; 40 ; vb96 ; 873 
 4220 ; 5 гривен. Украина. Черкасская область ; 2014 ;  ; Би/м ; AU ; 16 ; Опятор ; 398 
 4221 ; 5 гривен. Украина. Институт Судебной экспертизы ; 2013 ;  ; Би/м ; AU ; 17 ; Mike! ; 717 
 4222 ; 2 гривны. Украина. Михаил Лисенко ; 2006 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 114 
 4223 ; 50 сентимо. Испания ; 1880 ;  ; Ag ; F+ ; 33 ; shaxter2015 ; 308 
 4124 ; 20 пара. Турция ; 1277 ;  ; Cu ; VF ; 23 ; Mike! ; 236 
 4125 ; 5 бани. Румыния ; 1867 ;  ; Cu ; F ; 1 ; Mike! ; 131 
 4126 ; 100 эскудо. Португалия. Амадео ди Соза ; 1987 ;  ; Cu-Ni ; AU ; 17 ; Mike! ; 150 
 4127 ; 100 эскудо. Португалия. Диего Као ; 1987 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 129 
 4128 ; 20 хеллеров. Австрия ; 1907 ;  ; Cu-Ni ; VF ; 21 ; qver ; 153 
 4129 ; 10 пенни. Токен ;  ;  ; Ж/м ; VF ; 3 ; Mike! ; 34 
 4130 ; 10 центов. Канада ; 1964 ;  ; Ag ; XF+ ; 16 ; Mike! ; 111 
 4131 ; 5 марок. Гамбург ; 1923 ;  ; Al ; VF-XF ; 29 ; Mike! ; 313 
 4132 ; 1 марка. Финляндия ; 1966 ;  ; Ag ; VF+ ; 5 ; Mike! ; 101 
 4133 ; 1 песета. Испания ; 1870 ;  ; Ag ; F ; 17 ; Mike! ; 377 
 4134 ; 2 цента. Нидерландская Индия ; 1838 ;  ; Cu ; VG ; 1 ; Mike! ; 111 
 4135 ; Монета иностранная ; 1769 ;  ; Ag ; F ; 32 ; Mike! ; 327 
 4136 ; Монета ;  ;  ; Ag ; F ; 24 ; Mike! ; 330 
 4137 ; 10 центов. Канада ; 1967 ;  ; Ag ; VF+ ; 1 ; Mike! ; 121 
 4138 ; 100 эскудо. Португалия. Камило Кастело Бранко ; 1990 ;  ; Cu-Ni ; AU ; 15 ; Mike! ; 138 
 4139 ; 25 центов. Канада ; 1964 ;  ; Ag ; XF+ ; 9 ; Mike! ; 123 
 4140 ; 1 хеллер. Франкфурт на Майне ; 1863 ;  ; Cu ; VF ; 15 ; Mike! ; 228 
 4141 ; 1 цент. США ; 1943 ;  ; Fe ; F+ ; 37 ; F+ ; 150 
 4142 ; 100 эскудо. Португалия. Камило Кастело Бранко ; 1990 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 129 
 4143 ; 1 марка. Финляндия ; 1967 ;  ; Ag ; XF ; 7 ; Mike! ; 111 
 4144 ; 1 марка. Финляндия ; 1965 ;  ; Ag ; VF+ ; 7 ; Mike! ; 119 
 4145 ; 10 центов. Нидерланды ; 1910 ;  ; Ag ; VF- ; 4 ; shaxter2015 ; 77 
 4146 ; 10 франков. Саарленд ; 1954 ;  ; Al/Br ; VF ; 26 ; нормировщик9 ; 225 
 4147 ; 2-1/2сантима. Люксембург ; 1854 ;  ; Br ; VF ; 1 ; Mike! ; 150 
 4148 ; 5 марок. Германия. Шлезвиг-Гольштейн ; 1923 ;  ; Al ; F-VF ; 24 ; Rosomaha ; 327 
 4149 ; 200 марок. Веймар ; 1923A ;  ; Al ; XF ; 4 ; serow1975 ; 111 
 4150 ; 200 эскудо. Португалия. Небесная навигация ; 1991 ;  ; Cu-Ni ; AU ; 9 ; Mike! ; 155 
 4151 ; 2 гривны. Украина. Евгений Березняк ; 2014 ;  ; Cu-Ni ; AU ; 21 ; Mike! ; 204 
 4152 ; 5 гривен. Украина. Запорожская область ; 2014 ;  ; Cu-Ni ; AU ; 5 ; Mike! ; 305 
 4153 ; 5 гривен. Украина. Мечеть хана Узбека ; 2014 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 357 
 4154 ; 5 гривен. Украина. Херсонская область ; 2014 ;  ; Cu-Ni ; UA ; 7 ; Mike! ; 365 
 4155 ; 5 гривен. Украина. Винница ; 2013 ;  ; Cu-Ni ; AU ; 25 ; kornum ; 235 
 4156 ; 100 эскудо. Португалия. Якоб Родригез Перейра ; 1981 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 135 
 4157 ; 100 эскудо. Португалия. Независимоть ; 1990 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 135 
 4158 ; 5 гривен. Украина. Голодомор ; 2007 ;  ; Cu-Ni ; AU ; 8 ; irmilah ; 305 
 4159 ; 5 гривен. Украина. Корсунь-Шевченковская битва ; 2014 ;  ; Cu-Ni ; AU ; 16 ; mart_si ; 217 
 4160 ; 2 гривны. Украина. Киевский нац университет им Тараса Шевченко ; 2014 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 443 
 4161 ; 2 гривны. Украина. Владимир Сергеев ; 2014 ;  ; Cu-Ni ; AU ; 19 ; Mike! ; 295 
 4162 ; 1 ринггит. Малайзия ; 1982 ;  ; Cu-Ni ; AU ; 12 ; Mike! ; 257 
 4163 ; 1 доллар. Сингапур ; 1969 ;  ; Cu-Ni ; XF+ ; 29 ; Mike! ; 302 
 4164 ; 2 гривны. Украина. Гриф ; 2008 ;  ; Cu-Ni ; AU ; 21 ; Mike! ; 232 
 4165 ; 5 гривен. Украина. Волынская область ; 2014 ;  ; Би/м ; AU ; 11 ; Mike! ; 387 
 4166 ; 5 гривен. Украина. Летучая мышь ; 2012 ;  ; Cu-Ni ; AU ; 11 ; Mike! ; 465 
 4167 ; 5 гривен. Украина. Судинок М.Волошина ; 2013 ;  ; Cu-Ni ; AU ; 13 ; Ratmen ; 275 
 4168 ; 2 гривны. Украина. Борис Гринченко ; 2013 ;  ; Cu-Ni ; AU ; 17 ; mart_si ; 255 
 4169 ; 5 гривен. Украина. Ужгород ; 2013 ;  ; Cu-Ni ; AU ; 13 ; kornum ; 227 
 4170 ; 5 гривен. Украина. Судак ; 2012 ;  ; Cu-Ni ; AU ; 22 ; heavy_fly ; 372 
 4171 ; 20 марок. ГДР. Эрнст Тельманн ; 1971 ;  ; Cu-Ni ; XF ; 9 ; Mike! ; 89 
 4172 ; 2 гривны. Украина. Евгений Березняк ; 2014 ;  ; Cu-Ni ; AU ; 1 ; Mike! ; 222 
 4173 ; 5 гривен. Украина. Запорожская область ; 2014 ;  ; Би/м ; AU ; 7 ; Mike! ; 319 
 4074 ; 1/10 гульдена. Нидерландская Индия ; 1930 ;  ; Ag ; VF ; 1 ; Mike! ; 177 
 4075 ; 3 пенса. Австралия ; 1943 ;  ; Ag ; VF+ ; 1 ; Mike! ; 121 
 4076 ; 6 пенсов. Великобритания ; 1944 ;  ; Ag ; VF+ ; 11 ; shaxter2015 ; 150 
 4077 ; 5 сентаво. Мексика ; 1905 ;  ; Ag ; XF ; 38 ; 1023oxana ; 430 
 4078 ; 10 центов. Канада ; 1967 ;  ; Ag ; VF+ ; 1 ; Mike! ; 121 
 4079 ; 3 пенса. Австралия ; 1951 ;  ; Ag ; XF- ; 5 ; Mike! ; 123 
 4080 ; 3 пенса. Австралия ; 1927 ;  ; Ag ; VF+ ; 18 ; shaxter2015 ; 210 
 4081 ; 3 пенса. Австралия ; 1958 ;  ; Ag ; XF ; 2 ; heavy_fly ; 114 
 4082 ; 25 эре Швеция ; 1907 ;  ; Ag ; VF ; 18 ; Mike! ; 174 
 4083 ; 50 сантимо. Испания ; 1880 ;  ; Ag ; VF ; 17 ; Mike! ; 182 
 4084 ; 1/4 гульдена. Нидерландское Кюрасао ; 1947 ;  ; Ag ; VF ; 17 ; CASH ; 125 
 4085 ; 3 пенса. Австралия ; 1963 ;  ; Ag ; XF ; 3 ; Mike! ; 117 
 4086 ; 10 сентаво. Португалия ; 1915 ;  ; Ag ; XF ; 25 ; zsefvg ; 332 
 4087 ; 1 шиллинг. Великобритания ; 1836 ;  ; Ag ; F ; 1 ; Mike! ; 234 
 4088 ; 1 песо. Мексика ; 1958 ;  ; Ag ; VF ; 20 ; Gyron ; 209 
 4089 ; 20 сентаво. Филиппины ; 1944D ;  ; Ag ; XF ; 20 ; Mike! ; 210 
 4090 ; 2-1/2 зилбергроша. Пруссия ; 1855A ;  ; Ag ; VF ; 27 ; qver ; 340 
 4091 ; 2 куруша. Турция ; 1327 ;  ; Ag ; XF ; 34 ; gusar ; 399 
 4092 ; 1 крона. Лихтенштейн ; 1910 ;  ; Ag ; XF ; 59 ; Mike! ; 2268 
 4093 ; 1 куруш. Турция ; 1293 ;  ; Ag ; XF- ; 26 ; Mike! ; 317 
 4094 ; 50 пара. Сербия ; 1904 ;  ; Ag ; F+ ; 33 ; Mike! ; 134 
 4095 ; 2 крейцера. Пфальц-Сульбах ; 1743 ;  ; Ag ; F ; 33 ; стрелка ; 697 
 4096 ; 5/10 сольдо. Ломбардия и Венеция ; 1862 ;  ; Br ; VF+ ; 22 ; Mike! ; 495 
 4097 ; 20 чентезимо. Италия ; 1894 ;  ; Cu-Ni ; VF- ; 21 ; Александ98 ; 95 
 4098 ; 50 чентезимо. Италия ; 1863 ;  ; Ag ; VF ; 50 ; сама71 ; 371 
 4099 ; 1/10 гульдена. Нидерландские Антиллы ; 1956 ;  ; Ag ; VF ; 5 ; Mike! ; 123 
 4100 ; 1 крона. Великобритания. Виктория ; 1889 ;  ; Ag ; VF- ; 37 ; Семен ; 1339 
 4101 ; 5 долларов (1 унция серебра). Канада. Кленовый лист ; 2012 ;  ; Ag ; AU ; 28 ; Dei Gratia ; 1133 
 4102 ; 10 центов. Канада. 100 лет Конфедерации ; 1967 ;  ; Ag ; XF ; 1 ; Mike! ; 111 
 4103 ; 10 франков. Франция ; 1938 ;  ; Ag ; XF- ; 23 ; Mike! ; 355 
 4104 ; 2 шиллинга. Великобритания ; 1941 ;  ; Ag ; XF- ; 1 ; Mike! ; 300 
 4105 ; 50 сентаво. Португалия ; 1913 ;  ; Ag ; VF-XF ; 11 ; vesta78 ; 530 
 4106 ; 5 франков. Франция ; 1963 ;  ; Ag ; XF ; 31 ; Mike! ; 456 
 4107 ; 100 песет. Испания ; 1966 ;  ; Ag ; XF+ ; 20 ; Mike! ; 603 
 4108 ; 10 франков. Франция ; 1933 ;  ; Ag ; XF ; 33 ; STANDART ; 346 
 4109 ; 5 франков. Швейцария. 100 лет конституции ; 1948 ;  ; Ag ; AU ; 52 ; старом ; 1221 
 4110 ; 1 франк. Венгрия ; 1879 ;  ; Ag ; VF-XF ; 17 ; Mike! ; 931 
 4111 ; 5 франков. Швейцария. 100 лет Красному кресту ; 1963 ;  ; Ag ; AU ; 31 ; Mike! ; 906 
 4112 ; 2 куруша. Турция ; 1293 ;  ; Ag ; VF-XF ; 18 ; Mike! ; 222 
 4113 ; 2 куруша. Турция ; 1293 ;  ; Ag ; VF+ ; 20 ; Mike! ; 340 
 4114 ; 5 лир. Италия ; 1926R ;  ; Ag ; VF-XF ; 25 ; av ; 396 
 4115 ; 5 центов. Канада ; 1918 ;  ; Ag ; VF ; 18 ; трутень ; 257 
 4116 ; 1 крона. Австрия ; 1895 ;  ; Ag ; VF ; 3 ; Mike! ; 159 
 4117 ; 5 крон. Иран ; 1320 ;  ; Ag ; VF-XF ; 34 ; Mike! ; 1345 
 4118 ; 25 центов. Канада. 100 лет Конфедерации ; 1967 ;  ; Ag ; XF+ ; 7 ; Mike! ; 155 
 4119 ; 1 сентаво. Филиппины ; 1944 ;  ; Cu ; VF+ ; 1 ; Mike! ; 123 
 4120 ; 1/2 кроны. Великобритания ; 1948 ;  ; Cu-Ni ; VF+ ; 3 ; Mike! ; 55 
 4121 ; 10 сентимо. Испания ; 1870 ;  ; Сu ; F ; 25 ; sahakala ; 303 
 4122 ; 10 сентаво. Гватемала ; 1929 ;  ; Ag ; XF- ; 32 ; olancepok ; 306 
 4123 ; 10 центов. Нидерланды ; 1941 ;  ; Ag ; XF ; 24 ; irmilah ; 93 
 4024 ; 1 крейцер. Австрия ; 1860 ;  ; Сu ; VF- ; 9 ; Mike! ; 101 
 4025 ; 1 шиллинг. Новая Зеландия ; 1934 ;  ; Ag ; VF+ ; 59 ; Mike! ; 317 
 4026 ; 1 марка. Финляндия ; 1964 ;  ; Ag ; VF+ ; 13 ; Mike! ; 101 
 4027 ; 10 марок. ГДР. Национальная Народная армия ; 1976A ;  ; Cu-Ni ; XF+ ; 13 ; Mike! ; 220 
 4028 ; 1 хеллер. Немецкая Ост-Африка ; 1904 ;  ; Br ; F+ ; 26 ; Mike! ; 319 
 4029 ; 5 марок. ГДР. Майсен ; 1972A ;  ; Cu-Ni ; VF+ ; 11 ; Mike! ; 90 
 4030 ; 3 пенса. Австралия ; 1942 ;  ; Ag ; XF ; 1 ; Mike! ; 131 
 4031 ; 2 эре. Дания ; 1874 ;  ; Cu ; VF- ; 1 ; Mike! ; 121 
 4032 ; 10 шиллингов. Австрия ; 1958 ;  ; Ag ; XF ; 11 ; Mike! ; 123 
 4033 ; 1 сольдо. Ватикан ; 1866 ;  ; Cu ; VF- ; 32 ; Mike! ; 286 
 4034 ; 10 центов. Канада ; 1965 ;  ; Ag ; VF+ ; 7 ; Mike! ; 101 
 4035 ; 2 пфеннига. Пруссия ; 1821 ;  ; Cu ; F ; 1 ; Mike! ; 121 
 4036 ; 6 пенсов. Австралия ; 1943 ;  ; Ag ; XF ; 37 ; Mike! ; 157 
 4037 ; 10 сантимов. Франция ; 1903 ;  ; Cu ; VF ; 14 ; Mike! ; 126 
 4038 ; 1 гульден. Нидерланыд ; 1931 ;  ; Ag ; XF ; 15 ; Mike! ; 204 
 4039 ; 3 пенса. Австралия ; 1942 ;  ; Ag ; XF ; 3 ; Mike! ; 111 
 4040 ; 20 рейс. Португалия ; 1891 ;  ; Cu ; F-VF ; 13 ; Mike! ; 44 
 4041 ; 100 эскудо. Португалия. Независимость ; 1990 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 138 
 4042 ; 100 рейс Португалия ; 1900 ;  ; Cu-Ni ; F-VF ; 15 ; Mike! ; 54 
 4043 ; 1 франк. Швейцария ; 1944 ;  ; Ag ; VF-XF ; 42 ; Anton A ; 258 
 4044 ; 10 эре. Дания ; 1925 ;  ; Cu-Ni ; VF ; 15 ; Mike! ; 28 
 4045 ; 10 злотых. Польша ; 1932 ;  ; Ag ; VF-XF ; 26 ; Mike! ; 718 
 4046 ; 1 флорин. Великобритания ; 1887 ;  ; Ag ; VF- ; 37 ; Хаа ; 1199 
 4047 ; 1 шиллинг. Гамбург ; 172? ;  ; Ag ; F ; 1 ; Mike! ; 222 
 4048 ; 5 сентимо. Коста-Рика ; 1914 ;  ; Ag ; XF ; 41 ; PPS ; 450 
 4049 ; 1 пенни. Токен. Великобритания ; 1807 ;  ; Cu ; F ; 1 ; Mike! ; 333 
 4050 ; 2 доллара. Канада ; 1996 ;  ; Би/м ; XF+ ; 18 ; Mike! ; 157 
 4051 ; 1 крейцер. Австрия ; 1881 ;  ; Сu ; VF- ; 8 ; qver ; 210 
 4052 ; 100 эскудо. Португалия. Камило Кастело Бранко ; 1990 ;  ; Cu-Ni ; AU ; 13 ; Mike! ; 135 
 4053 ; 3 пенса. Австралия ; 1936 ;  ; Ag ; VF- ; 1 ; Mike! ; 133 
 4054 ; 25 эре. Швеция ; 1936 ;  ; Ag ; VF ; 1 ; Mike! ; 88 
 4055 ; 1 песета. Испания ; 1883 ;  ; Ag ; VF- ; 1 ; Mike! ; 222 
 4056 ; 10 эре. Швеция ; 1938 ;  ; Ag ; VF+ ; 14 ; shaxter2015 ; 70 
 4057 ; 10 эре. Швеция ; 1942 ;  ; Ag ; XF ; 11 ; Mike! ; 76 
 4058 ; 1 дайм. США ; 1944 ;  ; Ag ; VF ; 12 ; Mike! ; 104 
 4059 ; 25 центов. Канада ; 1942 ;  ; Ag ; VF ; 29 ; STANDART ; 230 
 4060 ; 50 сантимо. Испания ; 1904 ;  ; Ag ; F-VF ; 1 ; Mike! ; 155 
 4061 ; 25 эре. Швеция ; 1938 ;  ; Ag ; VF- ; 1 ; Mike! ; 77 
 4062 ; 25 центов. Нидерланды ; 1849 ;  ; Ag ; VF+ ; 55 ; DVZ ; 972 
 4063 ; 50 бани. Румыния ; 1910 ;  ; Ag ; F ; 7 ; Mike! ; 201 
 4064 ; 5 центов. Нидерланды ; 1863 ;  ; Ag ; VF+ ; 17 ; Mike! ; 417 
 4065 ; 10 центов. Нидерланды ; 1914 ;  ; Ag ; VF- ; 12 ; shaxter2015 ; 89 
 4066 ; 2 гирша. Египет ; 1293 ;  ; Ag ; VF ; 22 ; Mike! ; 385 
 4067 ; 3 пенса. Австралия ; 1940 ;  ; Ag ; XF ; 1 ; Mike! ; 121 
 4068 ; 10 центов. Нидерланды ; 1918 ;  ; Ag ; VF ; 17 ; Mike! ; 87 
 4069 ; 1 гульден. Нидерландские Антиллы ; 1971 ;  ; Cu-Ni ; XF ; 3 ; Mike! ; 51 
 4070 ; 10 центов. Нидерланды ; 1926 ;  ; Ag ; VF ; 26 ; STANDART ; 116 
 4071 ; 50 сентимо. Венесуэла ; 1960 ;  ; Ag ; XF ; 31 ; Mike! ; 150 
 4072 ; 1/10 гульдена. Нидерландские Антиллы ; 1960 ;  ; Ag ; XF ; 3 ; Mike! ; 104 
 4073 ; 10 эре Швеция ; 1892 ;  ; Ag ; VF- ; 4 ; Mike! ; 225 
 3974 ; 10 бат. Тайланд ;  ;  ; Би/м ; XF- ; 12 ; V.I.P.E.R. ; 26 
 3975 ; 100 эскудо. Португалия ; 1999 ;  ; Би/м ; XF- ; 22 ; sibirian ; 37 
 3976 ; 500 драм. Армения ; 2003 ;  ; Би/м ; VF+ ; 12 ; SKeeper ; 37 
 3977 ; 5/100 марки. Гамбург ; 1923 ;  ; Al ; VF+ ; 27 ; qver ; 317 
 3978 ; 5 шиллингов. Австрия ; 1952 ;  ; Al ; VF ; 9 ; smel ; 42 
 3979 ; 5 рупий. Индонезия ; 1979 ;  ; Al ; XF ; 15 ; t_v_v ; 41 
 3980 ; 500 марок Гамбург ; 1923A ;  ; Al ; VF+ ; 14 ; komod ; 67 
 3981 ; 1/2 доллара. США ; 1972 ;  ; Cu-Ni ; VF+ ; 24 ; F+ ; 77 
 3982 ; 4 пфеннига. Пруссия ; 1868С ;  ; Cu ; F-VF ; 23 ; Аня ; 496 
 3983 ; 1 франк. Бельгия ; 1923 ;  ; Cu-Ni ; VF ; 18 ; Mike! ; 46 
 3984 ; 2 пфеннига Сакс-Альтенбург ; 1856F ;  ; Cu ; F-VF ; 21 ; lestes ; 388 
 3985 ; Монетовидный жетон. Австрия ;  ;  ; Al ; VF ; 12 ; Mike! ; 215 
 3986 ; 1 пфенниг. Пруссия ; 1856A ;  ; Cu ; VF ; 13 ; qver ; 210 
 3987 ; 1 тефан грошен. Австрия ; 1950 ;  ; Al ; VF ; 10 ; visitor ; 178 
 3988 ; 1 пфенниг. Пруссия ; 1871C ;  ; Cu ; VF+ ; 22 ; qver ; 212 
 3989 ; 1 крейцер. Австрия ; 1851A ;  ; Cu ; VF ; 19 ; Mike! ; 130 
 3990 ; 3 пфеннига. Пруссия ; 1850A ;  ; Cu ; VF+ ; 15 ; qver ; 214 
 3991 ; 20 центов. Лаос ; 1952 ;  ; Al ; XF ; 28 ; Mike! ; 87 
 3992 ; 1 пфенниг. Пруссия ; 1865A ;  ; Cu ; VF-XF ; 11 ; qver ; 212 
 3993 ; 4 гроша. Пруссия ; 1803 ;  ; Ag ; F ; 75 ; Mike! ; 579 
 3994 ; 1 хеллер. Франкфурт на Майне ; 1862 ;  ; Cu ; VF ; 8 ; Mike! ; 319 
 3995 ; 2 пфеннига. Саксония ; 1853F ;  ; Cu ; VF ; 17 ; Mike! ; 217 
 3996 ; 1 пфенниг. Бавария ; 1871 ;  ; Cu ; VF ; 11 ; Mike! ; 217 
 3997 ; 5 франков. Бельгийское Конго ; 1936 ;  ; Al/Br ; F ; 1 ; Mike! ; 333 
 3998 ; 1/2 крейцера. Баден ; 1851 ;  ; Cu ; VF- ; 11 ; Mike! ; 101 
 3999 ; 5 vooruii ; 1921 ;  ; Б/м ; VF ; 31 ; Rosomaha ; 561 
 4000 ; 1 пфенниг. Пруссия ; 1867A ;  ; Cu ; VF+ ; 14 ; qver ; 212 
 4001 ; 1/4 стубера. Германия ; 1799 ;  ; Cu ; F ; 3 ; Mike! ; 117 
 4002 ; 200 марок. Веймар ; 1923F ;  ; Al ; XF ; 11 ; serow1975 ; 111 
 4003 ; 1 эре. Дания ; 1938 ;  ; Cu ; VF ; 16 ; _Владимир_ ; 34 
 4004 ; 20 пфеннигов. Германия ; 1873 ;  ; Ag ; F-VF ; 24 ; asnik ; 402 
 4005 ; 1 пфенниг. Брауншвейг-Люнебург-Каленберг-Ганновер ; 1779 ;  ; Cu ; VF ; 21 ; ЛБС ; 239 
 4006 ; 2 сантима. Франция ; 1899 ;  ; Br ; F-VF ; 6 ; Mike! ; 101 
 4007 ; 1 крейцер. Нассау ; 1862 ;  ; Сu ; VF- ; 26 ; ЛБС ; 306 
 4008 ; 20 пфеннигов. Саксония ; 1921 ;  ; Керамика ; XF ; 13 ; Mike! ; 208 
 4009 ; 40 пара. Турция ; 1255 ;  ; Cu ; VF- ; 17 ; Mike! ; 193 
 4010 ; 20 крейцеров. Венгрия. Ремонт гурта 12, 6 часов ; 1779 ;  ; Ag ; F-VF ; 10 ; Александр007 ; 591 
 4011 ; 2 пфеннига. Данциг ; 1926 ;  ; Br ; VF ; 14 ; Mike! ; 181 
 4012 ; 1 марка. Финляндия ; 1966 ;  ; Ag ; VF-XF ; 13 ; Mike! ; 111 
 4013 ; 1/2 гульдена. Нидерланды ; 1861 ;  ; Ag ; VF- ; 69 ; Mike! ; 509 
 4014 ; 1 скиллинг. Дания ; 1856 ;  ; Br ; VF ; 1 ; Mike! ; 123 
 4015 ; 1 шиллинг. Австралия ; 1957 ;  ; Ag ; XF ; 17 ; Mike! ; 237 
 4016 ; 1 пенни. Токен. Канада ; 1837 ;  ; Cu ; F+ ; 1 ; Mike! ; 222 
 4017 ; 4 пфеннига. Пруссия ; 1851 ;  ; Cu ; VF- ; 1 ; Mike! ; 222 
 4018 ; 1 дайм. США ; 1943 ;  ; Ag ; VF+ ; 12 ; Mike! ; 104 
 4019 ; 1 марка. Финляндия ; 1968 ;  ; Ag ; XF ; 11 ; Mike! ; 101 
 4020 ; Дуит. Нидерландская Индия ; 1790 ;  ; Cu ; F+ ; 53 ; ЛБС ; 192 
 4021 ; 2 эре. Швеция ; 1893 ;  ; Br ; VF ; 3 ; Mike! ; 121 
